ID,名字,描述,追踪
1083,Thợ Mỏ Chăm Chỉ-I,Tạo 100 #L#cfa7a0f Cuốc Quặng Đá #n@1#r (Cuốc Quặng Đá có thể thu thập Bạc Bí Mật),Chế tạo #cfa7a0fCuốc Quặng Đá
1084,Thợ Mỏ Chăm Chỉ-II,Tạo 50 #L#cfa7a0f Cuốc Bạc Kín#n@1#r (Cuốc Bạc Kín có thể thu thập quặng cao cấp),Chế tạo #cfa7a0fCuốc Bạc Kín
1085,Thợ Mỏ Chăm Chỉ-III,Tạo 20 #L#cfa7a0f Khoan Kim Cương #n@1#r (Khoan Kim Cương có thể thu thập Quặng Đá),Chế tạo #cfa7a0fKhoan Kim Cương
1086,Thủy Tinh-I,Dung luyện 10 #L#cfa7a0f Khối Thủy Tinh #n@1,Dung luyện#cfa7a0fKhối Thủy Tinh
1087,Thủy Tinh-II,Dung luyện 500 #L#cfa7a0f khối thủy tinh #n@1,Dung luyện#cfa7a0fKhối Thủy Tinh
1088,Thủy Tinh-III,Dung luyện 2000 #L#cfa7a0f khối thủy tinh #n@1,Dung luyện#cfa7a0fKhối Thủy Tinh
1089,Phần Bạc Kín-I,Dung luyện 10 #L#cfa7a0f Bạc Kín#n@1,Dung luyện#cfa7a0fBạc Kín
1090,Phần Bạc Kín-II,Dung luyện 100 #L#cfa7a0f Bạc Kín #n@1,Dung luyện#cfa7a0fBạc Kín
1091,Phần Bạc Kín-III,Dung luyện 300 #L#cfa7a0f Bạc Kín #n@1,Dung luyện#cfa7a0fBạc Kín
1092,Mỏ Vàng Đen-I,Đào 10 #L#cfa7a0f Đá Mỏ Vàng Đen #n@1,Khai thác #cfa7a0fĐá Mỏ Vàng Đen
1093,Mỏ Vàng Đen-II,Đào 50 #L#cfa7a0f Đá Mỏ Vàng Đen #n@1,Khai thác #cfa7a0fĐá Mỏ Vàng Đen
1094,Mỏ Vàng Đen-III,Đào 200 #L#cfa7a0f Đá Mỏ Vàng Đen #n@1,Khai thác #cfa7a0fĐá Mỏ Vàng Đen
1095,Bậc Thầy Huấn Luyện-I,Thuần hóa 1 con Sói với Trứng Gà@1,Thuần phục #cfa7a0fSói
1096,Bậc Thầy Huấn Luyện-II,Thuần phục 5 Sói với Trứng Gà@1,Thuần phục #cfa7a0fSói
1097,Bậc Thầy Huấn Luyện-III,Thuần phục 20 Sói với Trứng Gà@1,Thuần phục #cfa7a0fSói
1098,Lửa Rực-I,Dung luyện 5 #L#cfa7a0f Lửa Rực #n@1,Dung luyện#cfa7a0fLửa Rực
1099,Lửa Rực-II,Dung luyện 100 #L#cfa7a0f Lửa Rực #n@1,Dung luyện#cfa7a0fLửa Rực
1100,Lửa Rực-III,Dung luyện 500  #L#cfa7a0f Lửa Rực #n@1,Dung luyện#cfa7a0fLửa Rực
1101,Cao Thủ Tinh Năng-I,Đào 10 #L#cfa7a0f Đá Quặng Tinh Năng #n@1,Khai thác #cfa7a0fĐá Quặng Tinh Năng
1102,Cao Thủ Tinh Năng-II,Đào 200 #L#cfa7a0f Đá Quặng Tinh Năng#n@1,Khai thác #cfa7a0fĐá Quặng Tinh Năng
1103,Cao Thủ Tinh Năng-III,Đào 500 #L#cfa7a0f Đá Quặng Tinh Năng#n@1,Khai thác #cfa7a0fĐá Quặng Tinh Năng
1104,Cần Tên Đá-I,Tạo 10 #L#cfa7a0f mũi tên #n@1,Chế tạo #cfa7a0ftên đá
1105,Cần Tên Đá-II,Tạo 100  #L#cfa7a0f mũi tên #n@1,Chế tạo #cfa7a0ftên đá
1106,Cần Tên Đá-III,Tạo 1000 #L#cfa7a0f mũi tên #n@1,Chế tạo #cfa7a0ftên đá
1107,Vệ Sĩ Rừng-I,Trồng trên 10 cây  @1#r (tay cầm #L#cfa7a0f hạt giống gỗ cây #n để trồng trong hố đất),Trồng #cfa7a0fcây
1108,Vệ Sĩ Rừng-II,Trồng trên 200 cây @1#r (tay cầm #L#cfa7a0f hạt giống gỗ cây #n để trồng trong hố đất),Trồng #cfa7a0fcây
1109,Vệ Sĩ Rừng-III,Trồng trên 2000 cây @1#r (tay cầm #L#cfa7a0f hạt giống gỗ cây #n để trồng trong hố đất),Trồng #cfa7a0fcây
1110,Sườn Heo Con! (1),Tạo 50  #L#cfa7a0f Sườn Heo Con Nướng #n@1,Chế tạo #cfa7a0fSườn Heo Con Nướng
1111,Sườn Heo Con! (2),Tạo 200 phần #L#cfa7a0f Sườn Heo Con Nướng #n@1,Chế tạo #cfa7a0fSườn Heo Con Nướng
1112,Sườn Heo Con! (3),Tạo 1000 phần #L#cfa7a0f Sườn Heo Con Nướng #n@1,Chế tạo #cfa7a0fSườn Heo Con Nướng
1113,Thịt Bò! (1),Tạo 50 phần #L#cfa7a0f Thịt Bò Nướng#n@1,Chế tạo #cfa7a0fThịt Bò Nướng
1114,Thịt Bò! (2),Tạo 200 phần #L#cfa7a0f Thịt Bò Nướng#n@1,Chế tạo #cfa7a0fThịt Bò Nướng
1115,Thịt Bò! (3),Tạo 1000 phần #L#cfa7a0f Thịt Bò Nướng#n@1,Chế tạo #cfa7a0fThịt Bò Nướng
1116,Gà Quay! (1),Tạo 50 phần #L#cfa7a0f Thịt Gà Quay #n@1,Chế tạo #cfa7a0fThịt Gà Quay
1117,Gà Quay! (2),Tạo 200 phần #L#cfa7a0f Thịt Gà Quay #n@1,Chế tạo #cfa7a0fThịt Gà Quay
1118,Gà Quay! (3),Tạo 1000 phần #L#cfa7a0f Thịt Gà Quay #n@1,Chế tạo #cfa7a0fThịt Gà Quay
1119,Thịt Cừu Nướng! (1),Tạo 50 phần #L#cfa7a0f Thịt Cừu Nướng #n@1,Chế tạo #cfa7a0fThịt Cừu Nướng
1120,Thịt Cừu Nướng! (2),Tạo 200 phần #L#cfa7a0f Thịt Cừu Nướng #n@1,Chế tạo #cfa7a0fThịt Cừu Nướng
1121,Thịt Cừu Nướng! (3),Tạo 1000 #L#cfa7a0f Thịt Cừu Nướng #n@1,Chế tạo #cfa7a0fThịt Cừu Nướng
1122,Bông Vải (I),Làm 50 #L#cfa7a0f khối Bông Vải #n@1,Nhận #cfa7a0fKhối Bông Vải
1123,Bông Vải (II),Làm 200 #L#cfa7a0f khối Bông Vải #n@1,Nhận #cfa7a0fkhối Bông Vải
1124,Bông Vải (III),Làm 1000 #L#cfa7a0f khối Bông Vải #n@1,Nhận #cfa7a0fkhối Bông Vải
1125,Máy Nghiền Đá-I,Đào 100 #L#cfa7a0f Đá #n@1,Đập #cfa7a0fĐá
1126,Máy Nghiền Đá-II,Đào 100 #L#cfa7a0f Đá #n@1,Đào #cfa7a0fĐá
1127,Máy Nghiền Đá-III,Đào 5000 #L#cfa7a0f Đá #n@1,Đào #cfa7a0fĐá
1128,Sợ Tối-I,Chế tạo 50  #L#cfa7a0f Bó Đuốc Nhỏ Thiêu Đốt #n@1,Chế tạo #cfa7a0fBó Đuốc Nhỏ Thiêu Đốt
1129,Sợ Tối-II,Chế tạo 200 #L#cfa7a0f Bó Đuốc Nhỏ Thiêu Đốt #n@1,Chế tạo #cfa7a0fBó Đuốc Nhỏ Thiêu Đốt
1130,Sợ Tối-III,Chế tạo 500 #L#cfa7a0f Bó Đuốc Nhỏ Thiêu Đốt #n@1,Chế tạo #cfa7a0fBó Đuốc Nhỏ Thiêu Đốt
1131,Cố Gắng-I,Thất bại 1 lần @1,#cfa7a0fThất bại
1132,Cố Gắng-II,Thất bại 100 lần @1,#cfa7a0fThất bại
1133,Cố Gắng-III,Thất bại 500 lần @1,#cfa7a0fThất bại
1134,Đồ Ăn Ngon Hải Dương-I,Chế tạo 1 #L#cfa7a0f Cá Ngố Nướng #n,Chế tạo #cfa7a0fCá Ngố Nướng
1135,Đồ Ăn Ngon Hải Dương-II,Chế tạo 10  #L#cfa7a0f Cá Ngố Nướng #n,Chế tạo #cfa7a0fCá Ngố Nướng
1136,Đồ Ăn Ngon Hải Dương-III,Chế tạo 100 #L#cfa7a0f Cá Ngố Nướng #n,Chế tạo #cfa7a0fCá Ngố Nướng
1137,Chấm Dứt Hỗn Loạn,Đánh bại Hắc Long Hỗn Loạn#r (Rồng Đen Hỗn Loạn: \(-^-)/)@1,Đánh bại #cfa7a0fHắc Long Hỗn Loạn
1138,Xây dựng một tàu vũ trụ,Thu thập nguyên liệu để tạo #L#cfa7a0f tên lửa #n@1,Thu thập tài liệu và xây dựng tàu vũ trụ #cfa7a0f của riêng bạn
1139,Đã đến Mặt Trăng!,Lấy một chiếc tên lửa đến Horas để thu thập #L#cfa7a0f đá Horas #n@1,Đi tàu vũ trụ của bạn và tiếp cận với #cfa7a0fHoras
1140,Đã kích hoạt đá Rune thần bí,Dùng #L#cfa7a0f đá regen rune #n để kích hoạt vật tổ@1,Kích hoạt #cfa7a0f Regen Rune
1141,Khoan Đồng Mặt Trăng,Tạo #L#cfa7a0f máy khoan đồng Horas#n@1,Chế tạo #cfa7a0f Horas Đồng khoan
1142,Móc nào!,Tạo #L#cfa7a0f máy móc bắn #n@1,Chế tạo #cfa7a0f Móc Bắn
1143,Còn tiếp,Nhiều cuộc thám hiểm nữa sẽ đến!,Cuộc phiêu lưu khác đang diễn ra
1144,Nhà Phát Minh Oxy,"Dùng Ngọc Trai, Đá Ngầm, Đồng Thau, Vật Liệu Gỗ ở bàn chế tạo để chế tạo #L#cfa7a0f Máy Cất Oxy #n@1",Chế tạo #cfa7a0f Máy Cất Oxy
1145,Chuần bị sẵn sàng,Dùng Thủy Tinh và Đồng Thau chế tạo #L#cfa7a0f Bình Gas #n@1,Chế tạo #cfa7a0f Bình Gas
1146,Niềm Vui Không Gian,Dùng bình Gas và đồng Horas để chế tạo #L#cfa7a0f Gói Oxy #n@1,Chế tạo #cfa7a0f Gói Phun Sơn
1147,Đất Không Gian,"Dùng Khối Cỏ Horas, đá Horas, Bình Nước và phân bón động vật để chế tạo #L#cfa7a0f Môi trường nuôi dưỡng #n@1",Chế tạo #cfa7a0fMôi trường nuôi dưỡng
1148,Người khám phá không gian,Tự động hoàn thành nhiệm vụ sau khi hoàn thành nhiệm vụ tiền nhiệm,Tìm hiểu thêm trong không gian
1149,Hạ gục Rocki,Đánh bại 200 Rocki @1,Hạ #cfa7a0fRocki
1150,Hạ gục Frosti,Đánh bại 200 frosti @1,Hạ #cfa7a0fFrosti
1151,Hạ gục Bulli,Đánh bại 200 Bulli @1,Hạ #cfa7a0fBulli
1152,Hạ gục Graviti,Đánh bại 100 graviti @1,Hạ  #cfa7a0fGraviti
1153,K.O.,Tự động hoàn thành nhiệm vụ sau khi hoàn thành nhiệm vụ tiền nhiệm,Hoàn thành toàn bộ những thành tự quái vật  Horas
1154,Người Hùng Mặt Trăng I,Sống sót 7 ngày tại Horas @1,Tồn tại trong 7 ngày trên #cfa7a0f Horas
1155,Horas Survivor II,Sống sót 60 ngày tại Horas @1,Sống sót trong 60 ngày trên #cfa7a0f Horas
1156,Horas Survivor III,Sống sót 365 ngày tại Horas @1,Sống sót trong 365 ngày trên #cfa7a0f Horas
1157,Yammy Oxy I,Ăn 10  #L#cfa7a0f oxy #n@1,Tiêu thụ 10 #cfa7a0f Oxy
1158,Yammy Oxy II,Ăn 100 #L#cfa7a0f oxy #n@1,Tiêu thụ 100 #cfa7a0f Oxy
1159,Yammy Oxy III,Ăn 500 #L#cfa7a0f oxy #n@1,Tiêu thụ 500 #cfa7a0f Oxy
1160,Regen I,Kích hoạt 5 #L#cfa7a0f vật tổ #n@1,Kích hoạt 5 #cfa7a0f Regen Runes
1161,Regen II,Kích hoạt 50 #L#cfa7a0f vật tổ #n@1,Kích hoạt 50 #cfa7a0f Regen Runes
1162,Regen III,Kích hoạt 300 #L#cfa7a0f vật tổ #n@1,Kích hoạt 300 #cfa7a0f Regen Runes
1163,Illu I,Thắp sáng 5 #L#cfa7a0f vật tổ #n@1,Kích hoạt 5 #cfa7a0f Illu Runes
1164,Illu II,Thắp sáng 50 #L#cfa7a0f vật tổ #n@1,Kích hoạt 50 #cfa7a0f Illu Runes
1165,Illu III,Thắp sáng 300 #L#cfa7a0f vật tổ #n@1,Kích hoạt 300 #cfa7a0f Illu Runes
1166,Quặng Đồng Sao I,Đào 10 #L#cfa7a0f Quặng Đồng Sao #n@1,Đào #cfa7a0f Quặng Đồng Sao
1167,Quặng Đồng Sao II,Đào 100  #L#cfa7a0f Quặng Đồng Sao #n@1,Đào #cfa7a0f Quặng Đồng Sao
1168,Quặng Đồng Sao III,Đào 500 #L#cfa7a0f Quặng Đồng Sao #n@1,Đào #cfa7a0f Quặng Đồng Sao
1169,Quặng Đóm Tím I,Đào 10 #L#cfa7a0f Quặng Đóm Tím #n@1,Đào #cfa7a0f Quặng Đóm Tím
1170,Quặng Đóm Tím II,Đào 100 #L#cfa7a0f Quặng Đóm Tím #n@1,Đào #cfa7a0f Quặng Đóm Tím
1171,Quặng Đóm Tím III,Đào 500 #L#cfa7a0f Quặng Đóm Tím #n@1,Đào #cfa7a0f Quặng Đóm Tím
1172,Quái Tượng,Đặt kim / malachite/ horas đồng/ khối horas graviti lên 4 khối cạnh lõi vật tổ và triệu hồi Quái Tượng Cổ để đánh nó @1,Đánh bại#cfa7a0f Quái Tượng
1173,Quái Tượng,Đánh bại Quái Tượng,Đánh bại#cfa7a0f Quái Tượng
1174,@Null@,@Null@,@Null@
1175,Tôi cần một chút gỗ,Thu thập gỗ và lấy một #L#cfa7a0f khối gỗ  #n@1#r (Ấn lâu vào thân cây để nhặt),Thu thập #cfa7a0f gỗ
1176,Tay nghề thủ công!,"Sử dụng miếng gỗ bất kỳ để làm ván, và dùng 4 miếng ván để tạo ra 1 #L#cfa7a0f hộp dụng cụ #n@1#r (đầu tiên mở túi ra, và chọn để tạo ở phần nhãn bên trái)",Tạo #cfa7a0f hộp dụng
1177,@Null@,@Null@,@Null@
1178,@Null@,@Null@,@Null@
1179,@Null@,@Null@,@Null@
1180,@Null@,@Null@,@Null@
1181,@Null@,@Null@,@Null@
1182,@Null@,@Null@,@Null@
1183,@Null@,@Null@,@Null@
1184,@Null@,@Null@,@Null@
1185,@Null@,@Null@,@Null@
1186,@Null@,@Null@,@Null@
1187,@Null@,@Null@,@Null@
1188,@Null@,@Null@,@Null@
1189,@Null@,@Null@,@Null@
