ID,名字,描述,获得方式
27,Bình Ước Nguyện Phương Xa,"Trang giấy trong Bình Ước Nguyện được đóng kín luôn ẩn chứa những nội dung quan trọng hoặc lời chúc phúc tận đáy lòng, đương nhiên cũng có thể là vài dòng suy nghĩ vu vơ của một ai đó vào một lúc nào đó, trông có vẻ chiếc bình đã vượt qua sông núi, vượt cả không gian ... Đặt chiếc bình trên mặt đất rồi lấy tờ giấy ra xem thử nào ...",Có tỉ lệ nhận được khi Câu Cá hoặc Thám Hiểm Đại Dương
28,Bình Thủy Tinh Nhỏ (Khối),"Bày nó ra, đặt Cuộn Da viết đầy chữ vào",
29,Cát Vàng,"Thường thấy ở vùng gần nước và sa mạc, có thể dùng công cụ Xẻng để khai thác nhanh, là vật liệu gốc để chế biến ra Cát Thạch Anh, Cát Thạch Anh thường dùng để nung tạo Thủy Tinh",Phổ biến ở #c0aba1d nước #n và #c0aba1d sa mạc #n
30,"Phiên bản đã hết hạn, hãy cập nhật phiên bản mới nhất !",Hãy cập nhật phiên bản mới nhất!,@Null@
31,Nhũ Băng Cứng,"Nhũ băng #c0aba1dổn định#n, phải đội mũ khi tới gần",
32,Nhũ Băng Giòn,"Nhũ băng rất dễ #c0aba1drơi#n ra, phải đội mũ khi tới gần",
33,Mỏ Ngọc Thường,Cần dùng @item_11013# hoặc Cuốc cao cấp hơn để khai thác,"Đá quặng hiếm, xuất hiện trong #c0aba1dhang núi tuyết#n của Cánh Đồng Băng và #c0aba1ddưới lòng đất#n của Rừng Mưa"
34,Mỏ Đá Sương Lửa,"Đá quặng tỏa hơi lạnh, cần dùng @item_11011# hoặc Cuốc cao cấp hơn để khai thác, khiến #c0aba1dnhiệt độ xung quanh giảm xuống#n","Đá quặng hiếm, xuất hiện trong #c0aba1dhang núi tuyết#n của Cánh Đồng Băng"
35,Khối Đá Sương Lửa,"Được chế biến từ lượng lớn @item_11824#, khối phát ra ánh sáng lạnh lẽo, khiến #c0aba1dnhiệt độ xung quanh giảm mạnh#n",
36,Làm mới cửa hang động,,
37,Làm mới lối đi hang động,,
38,Làm mới hốc lớn hang động,,
39,Làm mới hốc nhỏ hang động,,
40,Khối Hư Không,"Dùng khối vuông do Tinh Thể Hư Không ghép thành có thể chiếu sáng không gian xung quanh, sau khi đặt bên dưới @item_596# sẽ có Quái mạnh nhất đến tập kích vào sáng Đêm Hư Không, hãy sử dụng cẩn thận!",
100,Khối Đất Mọc Cỏ,"Khối bề mặt trái đất, có thể dùng công cụ Xẻng để khai thác nhanh, #c0aba1d dùng công cụ Cuốc có thể để biến thành @item_102#, dùng công cụ Xẻng sẽ biến thành @item_103#",Với @item_101# sử dụng @item_11226# có thể nhận được
101,Khối Đất,"Dưới bề mặt trái đất, giơ tay ra là có được ngay, sau cơn mưa có khả năng nảy mầm ra Khối Cỏ, dùng công cụ loại Xẻng để khai thác nhanh, #c0aba1d dùng công cụ Cuốc để biến thành Đất Canh Tác, dùng công cụ Xẻng sẽ biến thành Hố",Có sẵn dưới bề mặt
102,Đất Canh Tác,"Có thể trồng mùa vụ, trồng gần nước hoặc dùng nguồn nước tưới có thể duy trì độ ẩm, có lợi cho sinh vật tăng trưởng",
103,Hố,"Có thể trồng Hạt Giống Hoa, Mầm, trồng gần nước hoặc dùng nguồn nước tưới có thể duy trì độ ẩm, có lợi cho sinh vật tăng trưởng",
104,Khối Đá,"Dưới đất có thể thấy bất kỳ nơi nào, dùng công cụ loại Cuốc để khai thác nhanh",
105,Đá phủ rêu,Vật liệu xây dựng được chế tạo từ Đá và Rêu,
106,Cát Vàng Mịn,"Thường thấy ở những nơi gần nước và sa mạc, dùng công cụ Xẻng để khai thác nhanh, là vật liệu nguồn để chế biến Cát Thạch Anh, Cát Thạch Anh thường dùng để nung tạo Thủy Tinh #r Sẽ rơi xuống do chịu ảnh hưởng của trọng lực",Thường thấy ở vùng nước và sa mạc.
107,Sỏi,"Đống Đá Bể không chắc chắn, dùng công cụ loại Xẻng để khai thác nhanh. # r Khi phía dưới trống không, nếu đứng bên trên sẽ sập, cẩn thận, cần đứng vững đấy.",
108,Gạch Nung Vàng Hoa Thô,Vật liệu xây dựng làm ra khi nung tạo Cát Vàng,
109,Cát,"Khối Đất cằn cỗi, thực vật không thể sinh trưởng trên khối này, dùng công cụ loại Xẻng để khai thác nhanh",
110,Đá Vụn,"Nham Thạch nhỏ bị gió bào mòn, sau khi khai thác sẽ được Đá, dùng để chế biến công cụ bằng Đá",
111,không khả dụng trong phiên bản này,"Phiên bản đã hết hạn, hãy cập nhật phiên bản mới",@Null@
112,Pha lê đen,"Chịu ảnh hưởng của Bóng Ma Hư Không, kết cấu địa chất thay đổi kịch liệt, Quặng này đã không còn tồn tại",
113,Băng trôi,"Băng Trôi trên nước, sau khi đập bể sẽ hóa thành nhiều điểm sao phân tán trong trời đất",
114,Phù Sa,"Khối Đất dưới nước, dủng công cụ Cuốc để khai thác nhanh",
115,Tuyết Xốp,"Tấm ván mỏng tuyết mềm cao 1/4 ô, có thể chồng chất để thay đổi độ dày",
116,Khối Đá Horas,"Khối Đá đặc biệt ở Horas, năng lực Kháng Nổ mạnh, cần dùng #c0aba1d Cuốc Bạc Kín#n hoặc công cụ loại Cuốc cao cấp hơn để khai thác",
117,Khối Cỏ Horas,"Khối Cỏ Horas, có chứa chất dinh dưỡng cần thiết cho thực vật sinh trưởng. Cần dùng #c0aba1d Xẻng Bạc Kín#n hoặc công cụ Xẻng cao cấp hơn để khai thác",
118,Đám mây Horas,"Khối Mây xung quanh các đảo nổi Horas, sẽ bắt đầu nứt vỡ khi đạp lên nó",
119,Đất khô,"Ở Horas, Khối Đất của Miras cần phải đặt trên môi trường thực vật mới có thể giữ được chất dinh dưỡng, nếu không sẽ mất chất và trở thành Đất Khô",
120,Đất Đông Cứng,"Ở môi trường nhiệt độ thấp, @item_100# và @item_101# sẽ chuyển hóa thành @item_120#. Cây ưa lạnh cần trồng trên loại đất này.",
121,Hố Đất Đông Cứng,"Có thể trồng Hạt Giống Hoa, Mầm Cây ưa lạnh",
122,Tuyết Dày,"Tuyết dày, gặp phải #c0aba1ddung nham#n có độ nóng cao hoặc ở trong môi trường nhiệt độ cao sẽ tan chảy thành nước, khiến #c0aba1dnhiệt độ xung quanh giảm nhẹ#n",
123,Băng Tự Nhiên,"Thường thấy ở vùng băng tuyết lạnh giá, dùng công cụ Cuốc để khai thác nhanh, chạm phải #c0aba1dmôi trường nhiệt độ cao#n sẽ tan chảy thành nước, khiến #c0aba1dnhiệt độ xung quanh giảm nhẹ#n",
124,Đá lưu huỳnh,"Nham Thạch thường thấy ở Flamas, dùng công cụ Cuốc để khai thác nhanh",
125,Cát Nóng,"Cát Vàng toán ra luồng khí nóng bỏng, dùng công cụ Xẻng để khai thác nhanh",
126,Đá phép thuật,"Cục Đá ở nơi chưa được khám phá, không dễ bị hủy do nổ",Thỉnh thoảng Thương Gia có bán
127,Khối bọt biển,Khối dùng để trang trí,
128,Cát Đỏ,"Đống Cát Đỏ hiếm gặp, chứa Nguyên Tố Khoáng Vật rất phong phú, sau khi hỗn hợp với Băng Cháy Được sẽ trở nên cực kỳ không ổn định",Có khi sẽ phát hiện ở Đảo Đất Đỏ và Đảo San Hô
129,Tuyết Dày,,
130,Khối Tuyết Dày,"Bạn muốn cùng nhau đắp người tuyết, hoặc chơi trò ném tuyết chứ?",@Null@
131,Băng Cứng,"Băng siêu cứng, không thể bị chuyển động",@Null@
132,Cát Tinh Thể Lưu Huỳnh,"Xuất hiện trong Dung Nham ở Flamas, chỉ có thể dùng #c0aba1d Xẻng Vàng Đen#n để khai thác, là một trong những vật liệu để chế tạo Kết Tinh Hỗn Loạn, khi bị thể chảy ngăn lại sẽ phun","#caba1d Sinh mệnh đáng quý, xin đừng bắt chước bất kỳ hành vi nào trng game #n"
133,Tổ Ong Rỗng,"Bây giờ vẫn chưa có Mật Ong được rót vào, đặt dưới #c0aba1d Lá của Cây Hoa Đào#n để tích tụ Mật Ong",
134,Tổ Ong Đầy,"Tổ Ong đã đầy Mật Ong, cẩn thận Ong Mật kìa! Dùng Bình Thủy Tinh Nhỏ cho nó sẽ có thể nhận được Bình Mật Ong",
135,Totem Thần Bí - Đất Rộng,"Tượng Đá có ý nghĩa quan trọng trong nền văn minh cổ đại, ngày nay chỉ có tác dụng trang trí",Thu thập ở Di Tích Văn Minh Maya ở Horas
136,Totem Thần Bí - Trời Cao,"Tượng Đá có ý nghĩa quan trọng trong nền văn minh cổ đại, ngày nay chỉ có tác dụng trang trí",Thu thập ở Di Tích Văn Minh Maya ở Horas
137,Hố Horas,@Null@,@Null@
138,Khối Độc,@Null@,@Null@
139,BOSS,@Null@,@Null@
140,Đá sự sống,"Theo truyền thuyết, việc đặt các thánh vật tương ứng trên ba bàn thờ có thể giải phóng sức mạnh sáng tạo của hành tinh và buộc những thứ xấu xa xuất hiện.",@Null@
141,Khối đá dũng khí,"Bàn thờ ma thuật được xây dựng bởi các anh hùng cổ đại đại diện cho sức mạnh thông minh của_x0008_ Horas; theo truyền thuyết, việc đặt các thánh vật tương ứng trên ba bàn thờ có thể giải phóng sức mạnh sáng tạo của hành tinh và buộc những thứ xấu xa xuất hiện.",@Null@
142,Khối đá trí tuệ,"Bàn thờ ma thuật được xây dựng bởi các anh hùng cổ đại đại diện cho sức mạnh thông minh của_x0008_ Horas; theo truyền thuyết, việc đặt các thánh vật tương ứng trên ba bàn thờ có thể giải phóng sức mạnh sáng tạo của hành tinh và buộc những thứ xấu xa xuất hiện.",@Null@
143,Bàn thờ bị hỏng,"Bàn thờ cổ do đã có tuổi nên không thể phục hồi nguyên trạng sau khi khai quật và mất phép; #r Theo truyền thuyết, các vị anh hùng thời xưa đã xây dựng ba bàn thờ thiêng trên núi lửa và đặt ba thánh vật trên đó để phóng sinh hành tinh. Sức mạnh của sự sáng tạo, buộc những thứ xấu xa xuất hiện",@Null@
144,Lọ Thủy Tinh Bướm Đỏ,"Sau khi đặt, nó có thể chiếu sáng khu vực nhỏ xung quanh","Ở địa hình Đảo Hoang, dùng Bình Thủy Tinh bắt Bướm sẽ nhận"
145,Lọ Thủy Tinh Bướm Xanh,"Sau khi đặt, nó có thể chiếu sáng khu vực nhỏ xung quanh","Ở địa hình Đảo Hoang, dùng Bình Thủy Tinh bắt Bướm sẽ nhận"
146,Lọ Thủy Tinh Bướm Thơm,"Sau khi đặt, nó có thể chiếu sáng khu vực nhỏ xung quanh","Ở địa hình Đảo Hoang, dùng Bình Thủy Tinh bắt Bướm sẽ nhận"
147,Lọ Thủy Tinh Bướm Trắng Hương,"Sau khi đặt, nó có thể chiếu sáng khu vực nhỏ xung quanh","Ở địa hình Đảo Hoang, dùng Bình Thủy Tinh bắt Bướm sẽ nhận"
148,Lọ Thủy Tinh Bướm Lời Rồng,"Sau khi đặt, nó có thể chiếu sáng khu vực nhỏ xung quanh","Ở địa hình Đảo Hoang, dùng Bình Thủy Tinh bắt Bướm sẽ nhận"
149,Lọ Thủy Tinh Bướm Lưỡi Chuông,"Sau khi đặt, nó có thể chiếu sáng khu vực nhỏ xung quanh","Ở địa hình Đảo Hoang, dùng Bình Thủy Tinh bắt Bướm sẽ nhận"
150,Đất Canh Tác Đỏ,"Có thể trồng cây có thể thích ứng đặc biệt, cần trồng ở gần nước hoặc dùng Vòi Sen để tưới mới có thể duy trì độ ẩm",Dùng Cuốc khai hoang Đất Đỏ sẽ nhận
151,Hố Đất Đỏ,"Có thể trồng thực vật đặc biệt, cần phải trồng ở gần nước hoặc dùng Vòi Sen để tưới mới có thể duy trì độ ẩm",Dùng Xẻng khai hoang Đất Đỏ sẽ nhận
152,Ván Đứng Mỏng Dung Nham,"Ván đá mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Gia công Khối Đá Horas trên Bàn Thợ
153,Ván Đứng Mỏng Tre Trúc,"Ván gỗ mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Gia công Cây Trúc trên Bàn Thợ
154,Ván Đứng Mỏng Đỏ Son,"Ván gỗ mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Dùng Thuốc Màu Đỏ Son quét sơn ở Bàn Thợ
155,Ván Đứng Mỏng Gạch Xi Măng,"Ván đá mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Gạch Xi Măng để gia công
156,Ván Đứng Mỏng Gạch Lưu Huỳnh,"Ván đá mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Khối Gạch Lưu Huỳnh để gia công
157,Ván Đứng Mỏng Đá,"Ván đá mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Đá để gia công
158,Ván Đứng Mỏng Gạch Đá Tinh Chế,"Ván đá mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Nham Thạch để gia công
159,Ván Đứng Mỏng Titan,"Ván kim loại mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Titan để gia công
160,Ván Đứng Mỏng Vàng Đồng,"Ván kim loại mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Đồng Vàng để gia công
161,Ván Đứng Mỏng Mi-ca,"Ván kim loại mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Mi-ca để gia công
162,Ván Đứng Mỏng Bạc Kín,"Ván kim loại mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Bạc Kín để gia công
163,Ván Đứng Mỏng Lửa Rực,"Ván kim loại mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Lửa Rực để gia công
164,Ván Đứng Mỏng Vàng Chanh,"Ván gỗ mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Thuốc Màu Vàng Chanh để sơn
165,Ván Đứng Mỏng Xám Đá Biếc,"Ván gỗ mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Thuốc Màu Xám Đá Biếc để sơn
166,Ván Đứng Mỏng Đỏ Hạt Dẻ Đậm,"Ván gỗ mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Màu Đỏ Hạt Dẻ Đậm để quét sơn
167,Ván Đứng Mỏng Cam Hoàng Hôn,"Ván gỗ mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Màu Cam Hoàng Hôn để quét sơn
168,Ván Đứng Mỏng Đỏ Hải Đường,"Ván gỗ mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Màu Đỏ Hải Đường để quét sơn
169,Ván Đứng Mỏng Trắng Ngà Voi,"Ván gỗ mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Màu Trắng Ngà Voi để quét sơn
170,Ván Đứng Mỏng Cam Lá Thu,"Ván gỗ mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Màu Cam Lá Thu để quét sơn
171,Ván Đứng Mỏng,"Ván gỗ mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Vật Liệu Gỗ để gia công
172,Ván Đứng Mỏng Gạch Nung Vàng,"Ván đá mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Gạch Nung Vàng để gia công
173,Ván Đứng Mỏng Khối Manga,"Ván kim loại mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Lõi Hạch Manga để gia công
174,Ván Đứng Mỏng Xám Biếc Nhạt,"Ván gỗ mỏng nhẹ thẳng đứng, có thể chồng chất để thay đổi độ dày",Đến Bàn Thợ dùng Màu Xám Biếc Nhạt để quét sơn
200,Gỗ Cherry,"Thân Cây Cherry, có thể chế biến thành @item_11323# bằng @item_800#, dùng để trang trí, cũng có thể dùng làm chất đốt",Nhận được sau khi khảm Bùa #caba1dhoàn chỉnh#n lên công cụ Rìu
201,Gỗ Thông,"Thân Cây Thông Rụng Lá, có thể chế biến thành @item_11323# bằng @item_800#, dùng để trang trí, cũng có thể dùng làm chất đốt",Nhận được sau khi khảm Bùa #caba1dhoàn chỉnh#n lên Rìu
202,Gỗ Bạch Dương,"Thân Cây Bạch Dương, có thể chế biến thành @item_11323# bằng @item_800#, dùng để trang trí, cũng có thể dùng làm chất đốt",Nhận được sau khi khảm Bùa #caba1dhoàn chỉnh#n lên công cụ Rìu
203,Gỗ Hồng Sam,"Thân Cây Hồng Sam, có thể chế biến thành @item_11323# bằng @item_800#, dùng để trang trí, cũng có thể dùng làm chất đốt",Nhận được sau khi khảm Bùa #caba1dhoàn chỉnh #n lên công cụ Rìu
204,Gỗ Lim,"Thân Cây Gỗ Lim, có thể chế biến thành @item_11323# bằng @item_800#, dùng để trang trí, cũng có thể dùng làm chất đốt",Nhận được sau khi khảm Bùa #caba1dhoàn chỉnh #n lên công cụ Rìu
205,Gỗ Óc Chó,"Thân Cây Óc Chó, có thể chế biến thành @item_11323# bằng @item_800#, dùng để trang trí, cũng có thể dùng làm chất đốt",Nhận được sau khi khảm Bùa #caba1dhoàn chỉnh#n lên công cụ Rìu
206,Ván Gỗ,"Vật liệu xây dựng cơ bản, được dùng rộng rãi trong những kiến trúc bằng gỗ",Đến Bàn Thợ dùng Vật Liệu Gỗ để gia công
207,Ván Gỗ Cam Lá Thu,"Vật liệu xây dựng cơ bản, được dùng rộng rãi trong những kiến trúc bằng gỗ",Đến Bàn Thợ dùng Màu Cam Lá Thu để quét sơn
208,Ván Gỗ Trắng Ngà Voi,"Vật liệu xây dựng cơ bản, được dùng rộng rãi trong những kiến trúc bằng gỗ",Đến Bàn Thợ dùng Màu Trắng Ngà Voi để quét sơn
209,Ván Gỗ Đỏ Hải Đường,"Vật liệu xây dựng cơ bản, được dùng rộng rãi trong những kiến trúc bằng gỗ",Đến Bàn Thợ dùng Màu Đỏ Hải Đường để quét sơn
210,Ván Gỗ Cam Hoàng Hôn,"Vật liệu xây dựng cơ bản, được dùng rộng rãi trong những kiến trúc bằng gỗ",Đến Bàn Thợ dùng Màu Cam Hoàng Hôn để quét sơn
211,Ván Gỗ Đỏ Hạt Dẻ Đậm,"Vật liệu xây dựng cơ bản, được dùng rộng rãi trong những kiến trúc bằng gỗ",Đến Bàn Thợ dùng Màu Đỏ Hạt Dẻ Đậm để quét sơn
212,Mầm Cherry,"Có thể dùng làm Chất Đốt, nhưng sẽ cháy cực kỳ nhanh",
213,Mầm Cây Thông Rụng Lá,"Có thể dùng làm Chất Đốt, nhưng sẽ cháy cực kỳ nhanh",
214,Cây Bạch Dương (Giống),"Có thể dùng làm Chất Đốt, nhưng sẽ cháy cực kỳ nhanh",
215,Mầm Cây Hồng Sam,"Có thể dùng làm Chất Đốt, nhưng sẽ cháy cực kỳ nhanh",
216,Giống Cây Lim,"Có thể dùng làm Chất Đốt, nhưng sẽ cháy cực kỳ nhanh",
217,Mầm Quả Óc Chó,"Có thể dùng làm Chất Đốt, nhưng sẽ cháy cực kỳ nhanh",Có xác suất rớt ra khi phá Lá Cây Óc Chó
218,Lá Cây Gỗ Cherry,"Có thể dùng để làm chất đốt trong @item_1200# hoặc nguyên liệu chế tạo Oxy, cũng có thể làm #c0aba1dtrang sức đầu cho người tuyết#n",
219,Lá Thông Rụng Lá,"Có thể dùng để làm chất đốt trong @item_1200# hoặc nguyên liệu chế tạo Oxy, cũng có thể làm #c0aba1dtrang sức đầu cho người tuyết#n",
220,Lá Bạch Dương,"Có thể dùng để làm chất đốt trong @item_1200# hoặc nguyên liệu chế tạo Oxy, cũng có thể làm #c0aba1dtrang sức đầu cho người tuyết#n",
221,Lá Cây Hồng Sam,"Có thể dùng để làm chất đốt trong @item_1200# hoặc nguyên liệu chế tạo Oxy, cũng có thể làm #c0aba1dtrang sức đầu cho người tuyết#n",
222,Lá Cây Lim,"Có thể dùng để làm chất đốt trong @item_1200# hoặc nguyên liệu chế tạo Oxy, cũng có thể làm #c0aba1dtrang sức đầu cho người tuyết#n",
223,Lá Cây Óc Chó,"Có thể dùng để làm chất đốt trong @item_1200# hoặc nguyên liệu chế tạo Oxy, cũng có thể làm #c0aba1dtrang sức đầu cho người tuyết#n",
224,Cỏ,#c0aba1d Phá hoại#n xong có thể sẽ nhận được #c0aba1d Một Bó Cỏ Dại#n,"Trời xanh biếc, vùng hoang xa xăm, trong gió đất cỏ thấy dê bò"
225,Cỏ Khô,"Dùng công cụ loại #c0aba1d Xẻng#n để thu hoạch #c0aba1d Cỏ Khô#n, những công cụ khác dùng để thu hoạch #c0aba1d Một Bó Cỏ Dại#n","Vùng cỏ xanh xa xăm, khô cằn thêm một tuổi"
226,Măng Đất,"Thực vật sinh trưởng ở nơi tối tăm, là nguyên liệu của nấu ăn, trực tiếp sử dụng #c0aba1dhồi phục Thể Lực#n nhưng cẩn thận kẻo #c0aba1dđau bụng#n nhé, nghe nói sẽ xảy ra một số thay đổi kỳ diệu cùng với #c0aba1dCây Bào Tử Ánh Sao bên dưới Đảo Horas#n",
227,Tía Tô,"Thực vật sinh trưởng ở nơi tối tăm, là nguyên liệu của nấu ăn, trực tiếp sử dụng #c0aba1dhồi phục Thể Lực#n nhưng cẩn thận kẻo #c0aba1dđau bụng#n nhé, nghe nói sẽ xảy ra một số thay đổi kỳ diệu cùng với #c0aba1dCây Bào Tử Ánh Sao bên dưới Đảo Horas#n",
228,Độc Quy,#c0aba1dCho Hươu Sừng ăn#n khiến nó tiến vào trạng thái #c0aba1dtạo sữa#n,Sinh trưởng #c0aba1dtrong rừng mưa#n
229,Ngô,"Có thể gia công thành @item_344#, @item_344# là nguyên liệu cơ bản của nấu ăn. Có thể nướng chín trên @item_1200#","@item_11400# trồng trên @item_102#, hoặc thu hoạch Ngô Dại nhận được"
230,Trái Brugo Lớn,,"Ở trên @item_102#, trồng @item_11401# nhận được"
231,Mầm Quả Jubulu,"Có Ánh Nắng và Nước, đợi thêm một khoảng thời gian, Mầm sẽ mọc ra Quả",
232,Rễ Phụ,"Rễ Phụ rũ xuống trên Cây Lớn, cực kỳ bền dẻo, có thể chịu được trọng lượng của người, đừng trèo cao quá, cẩn thận té xuống đấy!",
233,Đất Đỏ,"Đất đai màu đỏ hiếm gặp, chứa chất dinh dưỡng phong phú và kỳ diệu, thực vật sinh trưởng ở trên này đều sẽ có những biến đổi thần kỳ","Đảo giữa biển trong truyền thuyết, ở đó đều là Đất Đỏ"
234,Lúa Nước,"Mọc ở #c0aba1d vùng nước trong Thung Lũng#n, có thể chế biến thành Gạo, sau đó dùng Nồi Đá nấu chín thành Cơm #r Cho Dodo ăn để nó vào trạng thái sinh sản.","Trồng Hạt Lúa Nước ở nơi có phần đáy là Khối Đất hoặc Cát Vàng, và độ cao mặt nước là 1 ô sẽ nhận được."
236,Dưa Xanh,Có thể trồng trên @item_102#. #rCó thể cho #c0aba1dDon Don#n ăn nhận được @item_11311#.,"Phá hoại Hũ Sứ, đánh bại Trứng Boom đều sẽ có khả năng nhận được."
237,Đậu Bi,"Quả trên cây Gỗ Hồng Sam, là vật liệu gốc để nấu nướng.",
238,Cỏ Gai,"Cỏ có gai, #c0aba1d phá hoại#n có thể sẽ nhận được #c0aba1d Một Bó Cỏ Dại #n",
239,Quả Cá To,"To quá, phải cắt ra mới ăn được! Cần đến Bàn Thợ chế biến một chút",Trồng Hạt Quả Cá To trên Đất Canh Tác cũng có thể nhận được
240,Mầm Quả Cá To,"Có Ánh Nắng và Nước, đợi thêm một khoảng thời gian, Mầm sẽ mọc ra Quả",
241,Khoai Lang,Có thể trồng trên @item_101#. Có thể nướng chín trên @item_1200#,Phá hủy đồ gốm có thể nhận
