角色ID,越南语,越南语,越南语,越南语,越南语
19,Đặc Công Laura,"Nữ thần của công ty bảo an, thích phiêu lưu mạo hiểm.",Linh Cảm,Miễn dịch 1 lần sát thương chí mạng (Chưa kích hoạt),Đạo cụ mở khóa có thể nhận trong Vườn Quả
20,Đặc Công Laura,"Nữ thần của công ty bảo an, thích phiêu lưu mạo hiểm.",Linh Cảm 1,"Khi thiệt hại được thực hiện là hơn 45 điểm và gây tử vong, nó sẽ tái tạo ngay lập tức với 25% giá trị sức khỏe. Khoảng thời gian kích hoạt là 5 phút.",Đạo cụ mở khóa có thể nhận trong Vườn Quả
21,Đặc Công Laura,"Nữ thần của công ty bảo an, thích phiêu lưu mạo hiểm.",Linh Cảm 2,"Khi thiệt hại được thực hiện lớn hơn 25 điểm và gây tử vong, nó sẽ tái tạo ngay lập tức với sức khỏe 50%, và khoảng thời gian kích hoạt là 3 phút.",Đạo cụ mở khóa có thể nhận trong Vườn Quả
22,Cindy Nghịch Ngợm,"Phi công của đội khảo cổ nguyên thủy, nhanh nhạy linh hoạt",Nhảy Siêu Cấp,"Tăng khả năng nhảy, khi Lv2 có thể nhảy 2 đoạn (Chưa kích hoạt)",Đạo cụ mở khóa có thể nhận trong Vườn Quả
23,Cindy Nghịch Ngợm,"Phi công của đội khảo cổ nguyên thủy, nhanh nhạy linh hoạt",Nhảy Siêu Cấp 1,"Độ nhảy cao +50%, sát thương ngã -10",Đạo cụ mở khóa có thể nhận trong Vườn Quả
24,Cindy Nghịch Ngợm,"Phi công của đội khảo cổ nguyên thủy, nhanh nhạy linh hoạt",Nhảy Siêu Cấp 2,"Độ nhảy cao +50%, sát thương ngã -20, có thể nhảy 2 đoạn",Đạo cụ mở khóa có thể nhận trong Vườn Quả
25,Trợ Lý Peter,"Để có bài luận văn tốt nghiệp hoàn hảo, học trưởng đã tham gia vào đội khảo cổ.",Phát Hiện Bất Ngờ,Đánh vỡ hũ có tỷ lệ phát hiện các loại đồ (Chưa kích hoạt),Đạo cụ mở khóa có thể nhận trong Vườn Quả
26,Trợ Lý Peter,"Để có bài luận văn tốt nghiệp hoàn hảo, học trưởng đã tham gia vào đội khảo cổ.",Phát Hiện Bất Ngờ 1,Đánh vỡ hũ có 18% tỷ lệ phát hiện nguyên liệu hiếm,Đạo cụ mở khóa có thể nhận trong Vườn Quả
27,Trợ Lý Peter,"Để có bài luận văn tốt nghiệp hoàn hảo, học trưởng đã tham gia vào đội khảo cổ.",Phát Hiện Bất Ngờ 2,Đánh vỡ hũ có 27% tỷ lệ phát hiện nguyên liệu hiếm hơn và khối vuông đặc biệt,Đạo cụ mở khóa có thể nhận trong Vườn Quả
28,Giáo Sư Stephen,Hiệu trưởng cũ của viện khoa học quốc gia vì sao xuất hiện ở nơi hoang vu này?,Bác Học,Khi đào đá có tỷ lệ phát hiện các loại đồ (Chưa kích hoạt),Đạo cụ mở khóa có thể nhận trong Vườn Quả
29,Giáo Sư Stephen,Hiệu trưởng cũ của viện khoa học quốc gia vì sao xuất hiện ở nơi hoang vu này?,Bác Học 1,Khi đào đá có 4% tỷ lệ phát hiện Khoáng Thạch và nguyên liệu hiếm,Đạo cụ mở khóa có thể nhận trong Vườn Quả
30,Giáo Sư Stephen,Hiệu trưởng cũ của viện khoa học quốc gia vì sao xuất hiện ở nơi hoang vu này?,Bác Học 2,"Khi đào đá có 6% tỷ lệ phát hiện nhiều khoáng thạch, nguyên liệu hiếm hơn và khối vuông đặc biệt",Đạo cụ mở khóa có thể nhận trong Vườn Quả
