ID,名称,文本,作者
32,Thơ thẩn vui,"Ngày buồn, tháng nhớ, năm cô đơn, thế kỷ sầu... Nhớ ai, ai nhớ tui đây? Người đi mang cả ID tui lun rùi *òa òa*",Hươu Con
33,Tếu!,Ăn hối lộ: ăn tiền rồi hối hận không kịp khi bị lộ,Nai Con
34,Thơ bạn bè,"Tình bạn là những vần thơ
Tối về đắp gối ngâm quơ vài lời.",Cà Rốt
35,Viết tiếp câu đê mọi người!,"Có thể bạn không cao, nhưng người khác vẫn phải ngước nhìn ... . Có ai đối câu tiếp theo hem?",Phô Mai
36,Thả bình kiếm bạn,"Chọn bạn mà chơi, chọn nơi mà ở. Chọn game mà chơi, chọn bản đồ mà nghịch. Hế hế. Viết cái này vui nè!",Trà Chanh
37,Đố vui hỏi các ấy,"Đen thủi, đen thui, Dao gươm không sợ, Sợ dùi cui đập đầu. Đoán xem là gì?",Bánh Quy
38,Hỏi bạn nè!,Đầu tròn mình nhỏ thon thon Nắm đầu vặn cổ hai hàng lệ rơi. Đoán một đồ vật?,Kẹo Ngọt
39,Đoán xem!,Con gấu trúc ao ước gì mà không bao giờ được?,Heo Ú
40,Biết câu trả lời hông?,Bệnh gì bác sỹ bó tay?,Công chúa Tuyết
41,Rảnh ngồi hỏi đố,"Cái gì chặt không đứt, bứt không rời, phơi không khô, đốt không cháy?",Pé Thỏ
42,Vu vơ,Chúc KẺ khờ mãi ngu ngơ ĐỜI là bể khổ đừng vơ thêm vào Thông minh có được chi nào Chỉ thêm phiền phức ruớc vào không hay,Đậu Phộng
43,Hỏi đáp vui!,"Điều gì luôn đến, nhưng không bao giờ đến?",Cục Đất
44,Đố vui đêee!,"Cái gì đen khi mới mua nó, đỏ khi đang dùng, xám xịt rồi thì vứt đi?",Bé Bông
45,Hại não quá!,"An gọi Bình bằng bác, Bình gọi Cả là ông nội , Cả kêu Di là cậu, Do kêu Em là dì, Em kêu Sáng là chú, Sáng gọi Hợi là con. Vậy, An gọi Hợi bằng gì?",Bé Cún
46,Nói chiện iu đương xíu,Đố cậu: yêu vợ bạn và bị đánh tím mặt gọi là gì?,Vịt Con
47,Hê hê! Hỏi thử nè.,"Nhìn thấy con chim đang đậu trên nhánh cây, làm sao để lấy nhánh cây mà không làm con chim giật mình?",Gấu Bông
48,Ai khôn giúp với!,"Một con hổ bị cột dưới gốc cây, sợi dây cột con hổ dài 10m , trước mặt con hổ là đồng cỏ xanh rì. Từ cái cây tới đồng cỏ khoảng 13m. Con hổ đang rất đói và thèm ăn. Hỏi làm sao con hổ ăn được đồng cỏ đó?",Gà Bông
49,Đố vui,Cái gì lúc lên lúc xuống nhưng không bao giờ chuyển động?,Thỏ Bông
50,Đố hại não,"Cái gì dài như trái chuối, cầm 1 lúc thì nó chảy nước ra?",Bé Heo
51,Hỏi thử biết hem,Đố đằng ấy: Con đường nào dài nhất?,Bé Gao
52,Đố bạn cho vui,"Nắng ba năm tôi không bỏ bạn, mưa 1 ngày sao bạn lại bỏ tôi. Đoán xem là gì?",Cô chủ nhỏ
53,Chúc ai có duyên lượm được,"Chúc mọi người hay ăn chóng béo, tiền nhiều như kẹo, tình chặt như keo, dẻo dai như mèo, mịn màng trắng trẻo, sức khỏe như voi.",Tiểu Thư
54,Chúc phúc!,mình xin chúc Mini World phát triển lớn và làm ăn may mắn ạ,Vô Danh
55,Confession MiniWorld,"Với những người bạn lạ không quen biết thì mình chả biết gì cả mà mình lúc đó không biết nút kết bạn ở đâu luôn . Khi mở map sinh tồn (nhiều người) thì mình gặp thêm những bạn khác không hề quen biết rất xa lạ . Tụi mình chặt gỗ, đào đá, kiếm quặng sắt , rồi kiêm cương, vàng, ngọc lục bảo, rồi trồng lúa, làm chuồng nuôi bò, heo, gà, ......
Và tụi mình còn đi săn quái và động vật nữa. Lúc trời đêm tụi mình về nhà và ngủ mỗi người 1 cái giường và giường mọi người trang trí rất đẹp trong khi giường mình không có vật trang trí gì hết . ",Vô Danh
56,Confession MiniWorld,"Thấy trên thư viện mini có khá nhiều map đẹp , lúc đó mình cũng đã thử build map để mọi người chơi , thật may mắn vì map đó đã được tuyển chọn , lúc đó mình còn không thể tin nổi là map được tuyển chọn , mình rất vui vì các nhà xuất bản đã cho ra 1 tựa game đồ họa xuất sắc , cách chơi phù hợp với mọi người , chúc game ngày càng phát triển.",Mèo ACE
57,Confession MiniWorld,"Mw đã làm mình vui vẻ hơn , quen biết nhiều bạn hơn , một hôm mình đã vào sảnh liên thông để tìm nhiều bạn hơn , vào 1 map đám cưới và giao lưu với rất nhiều bạn , lúc đó mình cảm thấy như đây không phải là 1 thế giới ảo qua game , vào 1 ngày nọ , dần dần mình đã biết tới group miniworld , các streamer hay ytb về miniworld , người đầu tiên mình biết có lẽ là hùng akira , từ lúc đấy game chưa phổ biến với mọi người , còn ít người biết đến , nhưng giờ game đã là 1 cộng đồng , 1 tập thể cùng giúp nhau đi lên , mình rất vui vì điều đó .",Mèo ACE
58,Confession MiniWorld,"Hello mọi người , đó là vào 1 ngày đẹp trời , chính xác là ngày 29/11 , 1 người bạn đã rủ mình tải game miniworld về chơi ,vẫn nhớ như in ngày đầu tiên chơi miniworld , bọn mình tạo 1 map để sinh tồn cùng nhau , căn nhà đầu tiên 2 bọn mình xây là nhà bằng đất , dần dần cả 2  đã nâng cấp nhà lên bằng gỗ , buổi đi mine đầu tiên cả 2 đã chán nản vì không được gì cả =(( , mình chết đến 2 3  lần vì bị quái đánh , té xuống lava , nhưng càng ngày cả 2 đã rút kinh nghiệm , dần dần cả 2 đã có thể đào đc nhiều đồ hơn , có lần mình đã bị rớt đồ xuống lava , lúc đó thật sự rất nản nhưng không vì vậy mà bỏ map , cả 2 vẫn tiếp tục chơi , đến 2 3 ngày sau mình đã biết thêm những người bạn và  điều đó làm mình thực sự vui vì trong 1 thế giới ảo mà lại làm mình vui đến vậy .",Mèo ACE
59,Kỉ Niệm Cùng Mini World,"Từ khi quyết định gắn bó lâu dài với Mini World, tôi bắt đầu kết giao gặp và làm quen với những người bạn mới họ đều là những con người thân thiện và dễ tính.Những người bạn này tôi chủ yếu gặp ở Map Đám Cưới huyền thoại,Map Hát,Simkai thật sự là tôi không nghĩ tôi có thể chơi thân với những người bạn đó lâu vậy đâu:D Cảm ơn game đã gắn bó chúng tôi lại.",Nô Errol
60,Kỉ Niệm Cùng Mini World,Nếu như nói về kỉ niệm thì đối với tôi nhiều lắm.Từ cái lúc bỡ ngỡ khi biết đến game cho tới hiện tại cũng là một thời gian khá dài chắc cũng tầm 4-5 năm gì đó lúc đó game còn chưa phát triển cơ.Hồi đó mini world bị kêu nhái MC nhiều lắm dù đồ họa các game không liên quan lắm bên mini world dễ thương hơn^^.Với toy một ng chỉ biết sinh tồn cũng chỉ vì vậy mà những cái nick đầu đời của tôi đầu bay màu.Cuối năm 2019 tôi tạo 1 chiếc nick mới và xác định đó là chiếc nick sẽ gắn bó lâu dài với tôi trong những năm tiếp theo gắn bó với tựa game này.Và cũng từ đó tôi đã bắt đầu nạp để làm đẹp nick tôi cũng như ủng hộ cái game đã gắn bó với tôi suốt thời gian qua><.,Nô Errol
61,Kỉ Niệm Cùng Mini World,"Một thời gian dài xóa game, mình đến khi lên đến lớp 7  mới chơi lại với đứa bạn. Dịch Covid 19 mới ngoi lên . Đến giờ mik mới chơi dc như thế này. Ở lớp có 4-5 đứa cũng chơi thì rủ thêm vui lắm. Kỉ niệm đó khó quên cực kì .Ngoài ra còn có PvP và nhiều map khác và đấy là kỉ niệm của mik khi chơi mini World. Mình cảm thấy thích nhất ở MiniWorld là các sự kiện",Phạm Dio
62,Kỉ Niệm Cùng Mini World,"Tự tạo một map dành riêng cũng là một sự thích thú.Khi ấy mình chả biết gì ngoài xây 1 ngôi nhà hình vuông trong khi đó bạn mình nó xây được cả ngôi biệt thự. Hồi ấy chỉ rẻ trâu lắm nhìn con bò chả biết là con gì nó ngộ cục kì rồi đến con gà,….. Cứ về nhà rồi chơi thích lắm luôn ý. Sáng tạo thì không biết dùng khối nhân nhiều nên xây mỏi tay .",Phạm Dio
63,Kỉ Niệm Cùng Mini World,"Mình chơi Mini World từ hồi lớp 6, lúc đó bạn mình chơi  trên máy tính . Bắt đầu từ đó mình về nhà rồi chơi thử thấy cũng vui lúc ấy vì chưa bao giờ chơi 1 game mà nhiều loại như vậy. Dù Mini World không có nhiều đồ như bây giờ, không có skin toàn dùng thử mà vui lắm. Cứ đến giờ tin lại rủ bạn chơi, loại đầu tiên mình chơi là Parkour, thấy bạn chơi pro nhìn thích lắm .",Phạm Dio
64,Kỉ Niệm Cùng Mini World,"Giờ cũng đã là 5 năm rồi ,5 năm gắn bó dài dằng dặc,nhìn lại cũng thật ngắn ngủi biết bao, mình muốn gửi lời cảm ơn Mini World đã khiến mình trở thành con người tích cực hơn quá khứ ,và cũng chúc Mini World càng lúc càng phát triển hơn ,càng lúc càng thêm hay hơn.",Yen Quynh Le
65,Kỉ Niệm Cùng Mini World,"Tình bạn trong game là điều vô cùng ý nghĩa với mình . Mini World giúp đỡ mình nhiều thế đấy , game đến với ta ,trao cho ta những mối quan hệ đặc biệt, những khoảnh khắc đáng nhớ ,những niềm vui không thể quên, những kỉ niệm không nơi nào khác có thể làm nên được  và cả 1 số bài học,kiến thức bổ ích về đời sống,con người và về thế giới xung quanh ta.",Yen Quynh Le
66,Kỉ Niệm Cùng Mini World,"Sau 1 khoảng thời gian chơi game , 1 điều khá bất ngờ về sự thay đổi mà game đem lại cho mình. Từ 1 người khá tự ti như mình ,không thể kết giao với bạn bè ,lúc đó lại có thể nhận được biết bao nhiêu lời mời kết thân của bao người khác .Cả ngoài đời lẫn trong game ,đã vô số tình bạn mới đến với mình.Thật sự quá vui đi mất ! Nhờ đó mình đã có hẳn 1 nhóm bạn chất lượng.Bọn mình đã luôn bên nhau , cười đùa cùng nhau và cũng có những lúc cãi nhau,rồi lại hoà giải một cách nhanh chóng ,thông qua những tác động tuy nhỏ nhoi nhưng lại quan trọng đến không ngờ của Mini World .",Yen Quynh Le
67,Kỉ Niệm Cùng Mini World,"Kể từ ngày đầu chơi Mini World đến giờ cũng đã được 5 năm rồi.Ngày đầu tiên mình biết đến Mini World cũng không phải do tự tìm đến mà lại do vô tình thấy một số người bạn cùng lớp chơi ,nên mới tò mò đến với game.Tuy lúc đó mình đã khá phân vân nên tải hay không ,nhưng dù phân vân đến thế thì nút ""cài đặt"" cũng đã chuyển thành cái nút ấn để vô game .Từ khi tải về, ngày nào cũng không thể kìm được lòng háo hức muốn được khám phá game tiếp,muốn được sáng tạo trong game ,muốn được tiếp tục chơi tiếp.Mini World cuốn hút thế đấy !",Yen Quynh Le
68,Iu lém MiniWorld,Mini World Block Art là tựa game rất hay và lôi cuốn.,Min
69,Confession MiniWorld,"Lần đầu tiên khi nghĩ đến Game về khối thì Min chỉ nghỉ là những tựa Game bắt chước Minecraft vì khi đó Minecraft là tựa Game Sandbox nổi tiếng.
Ấy vậy mà khi chơi, Min lại bị tựa Game mang tên Mini World: Block Art cuốn hút đến lạ thường.
Nó không giống Minecraft. 
Game rất thú vị và cuốn hút người chơi lạ thường.",Min
70,Thank!,Cảm ơn mini world vì đã cho bọn em một kỉ niệm đẹp,Ponyo Yay
71,Kỉ Niệm Cùng Mini World,"Mình đã không ngừng nỗ lực sau khi tìm cách trở thành DEV và đã kiếm được rấtttt nhiều đậu qua những con map mà mình nỗ lực xây, và từ đó acc mình đã có khung tím-trùm cuối và cũng là nguyện vọng mà mình đạt được lớn nhất trong quãng thời gian chơi mini",Ponyo Yay
72,Kỉ Niệm Cùng Mini World,"Mình tải lại game lần thứ 3 từ lúc tháng 11 năm 2020. Mình cũng chỉ chơi cho vui, chứ cũng ko có ý định làm người nổi tiếng hay gì:)Và cùng lúc đấy mình cũng rất thích xem Hero chơi mini world nên đã ko ngừng xin mẹ mình cho tải lại game:))) Nhưng vào mùa hè 2021, mình rủ tất cả các ace họ hàng nhà mình chơi cùng, và mùa hè năm ấy mình đã rủ 2 trong 5 bọn họ vào team của một chị. Bọn mình đã dành 2-3 tháng mùa hè chơi với nhau, cùng xây làng, đi chơi cùng nhau, bắn pvp cùng nhau và đó cũng là một kỉ niệm khó quên đối với mình.",Ponyo Yay
73,Kỉ Niệm Cùng Mini World,"Năm 2020, vì covid mà mình phải học online, lúc đó thì mình tải lại mw, tạo acc thứ 2 và đã biết cách tạo map. Vì mẹ mình biết mình chơi game nên là đã thu thiết bị của mình sau khi học xong=))(lúc đó cũng ko chăm acc đc nên mình đã đưa cho c họ mình, và c ấy cũng dạy mình cách kb nữa, và mình cũng bỏ acc đấy luôn:((.",Ponyo Yay
74,Kỉ Niệm Cùng Mini World,"Tầm mùa đông 2018 là năm mình lớp 4, mình bắt đầu biết đến mini world vì nó hiển thị rất nhiều trên mục đề xuất của  Appstore. Mình cũng khá tò mò và đã tải xuống chơi thử. Mình nhớ lúc đó có 5 con map mình thích chơi nhất như: Quán kfc VN, khách sạn mini world, parkour hero team của bn ng nhật phương và bn kairon và map hầu của bạn cửu vĩ hổ. Mà bây giờ mình chỉ tìm được 4 map thôi, còn map hầu kia thì mình lục cả mw cũng k thấy",Ponyo Yay
75,ủng hộ Mini World!,Anh em hãy ủng hộ game Mini World nhé :>,Nobi Mini
76,Chống dịch cùng Miniworld,"3-4 tháng trôi qua,lúc dịch covid ập đến mình đã có 60 bạn l,nhưng có 3 bạn onl trong Mini World còn lại là off hết,mình đã tự tạo phòng choa riêng mình 1 con map để chs cùng z bạn bè và tìm bạn bè nữa để chống dịch.
Sau bao nhiu tháng thì mình cx cảm thấy chán game nhưng đây là game mà mình mún đc ở lại lâu hơn nên mình sẽ không từ bỏ con game Mini World này,nhưng vấn đề ở đêy là rất nhìu lỗi thậm chí là văng game ở bản cập nhật noel năm 2021,sau khi khắc phục lỗi thì mình đã vô được game,nhưng đây là lần nạp đầu để ủng hộ Mini World cũng như có xu để mình mua đồ này nọ,mình thích nhất là tặng quà choa bạn bè vào ngày mình có xu thui.",Nobi Mini
77,Kỉ Niệm Cùng Mini World,"Hồi năm 2021, 
Lúc vào ngày đó giao thừa,tui quyết định chọnn bộ đồ tết mà sự kiện đã cho mình,mình mặc nó cx khá đẹp để đón tết,nhìu khi cx có mấy bạn onl trong nick của mình,mình vô thử ai đó để mình chs cùng.Đến tết mình cx cần pải chúc Mini World được nhìu sự kiện mới lạ và hay hơn trong bản cập nhật sau.",Nobi Mini
78,Noel trong game cùng bạn bè,"Vào ngày đón giáng sinh,sự kiện đã cho mình rất nhìu đồ để cho mình mặc để đón giáng sinh cùng với bạn bè của mình,nhìu khi cũng có người yêu trong này hẹn hò và buổi noel 2020 nên mình cx cảm thấy cô đơn,nhưng ko sao,mình có bạn bè ở đây rồi thì mình không sợ cái gì hết,đơn thuần là 5 ngày trôi qua chúng ta phải đón năm mới 2021,mấy bạn trong nick của mình cũng đã off hết nên mik cứ tận hưởng cuối năm 2021 đã.Sau 2020 đã qua thì cx đã đến năm 2021,bầu trời bình yên và cx hợp lí để chơi Mini World,có những sự kiện mới để choa mình trao đổi vật phẩm cũng như nhìu cái để mình nhận quà từ Admin làm game tạo ra.",Nobi Mini
79,Xây nhà riêng!,"Sau khi chơi với bạn bè thì mình cx cảm thấy mấy món đồ trong Mini World cx khá là lạ,nên mình đã quyết định ra tạo một con map sáng tạo để xem thử,và mình đã bắt đầu vào giai đoạn mới đó chính là""""Làm quen với những món đồ trong Mini World"""",mình tò mò xem và sử dụng thử,có lúc cái này cái nọ thì mình cx biết sơ sơ,nhưng về sau mình cũng khá quen về những món đồ này nên đã lập ra kế hoạch""""Xây nhà cho riêng mình""",Nobi Mini
80,Anh em nào cảm thấy giống như mình không?,"Mình cx tò mò về cái chế độ Multiplayer là gì,khi mình bấm vô đó dường như các phòng đều mở Sảnh liên thông,tui vô cái map Lớp học toán,vô gặp các bạn bè trong sảnh liên thông,mình cũng không chê giàu nghèo  cho lắm,chỉ cần gặp ai đó là kết bạn liền,mình cảm thấy rất tự hào vì có bạn,mà mình cũng mún đc chơi lâu.",Nobi Mini
81,Anh em nào cảm thấy giống như mình không?,"Hôm đó khi tui học xong lớp 8 thì mình đã lướt qua và thấy game Mini World,cảm thấy game này hay nên mình đã tải về để chơi thử.Mình bước vào game Mini World và mình cảm thấy rất giống như một thế giới xung quanh tràn ngập niềm vui,đôi lúc có những bạn bè chơi cùng và cũng có chút niềm vui.Âm thanh trong sảnh nghe giống tuổi thơ của tựa game Mini World vậy.",Nobi Mini
82,Chúc Mừng 8/3,"Mặt trời ấm áp của tháng ba sẽ mang đến cho bạn một tâm trạng tươi sáng. Cơn gió tháng ba thổi bừng nụ cười trên gương mặt bạn. Mưa phùn tháng ba sẽ gột rửa mọi ưu phiền cho bạn. Những bông hoa của tháng 3 sẽ đua nhau khoe sắc và mang tới cho bạn lời chúc phúc: Ngày 8/3 hạnh phúc, vui vẻ nhé các bạn nữ trong group Mini World!",[ST丶Junwolf]
83,Kỉ Niệm Cùng Mini World,"Chắc hẳn với tựa game này,ai cũng có những kỉ niệm thật khó quên nhỉ?Tôi cũng vậy.",Jadie Chan
84,Kỉ Niệm Cùng Mini World,"Trong mùa dịch,khi mà phải học online ở nhà,cũng là lúc tôi có nhiều thời gian rảnh,nên tôi đã một lần nữa tìm lại những video hướng dẫn các thứ mà tôi thích,nhưng giờ chúng không còn nữa.Mặc dù không có nhiều bạn bè để chơi cùng,nhưng tôi vẫn rất là vui khi được gắn bó cùng game một thời gian lâu như vậy.",Jadie Chan
85,Kỉ Niệm Cùng Mini World,"Trong năm 2022, mình đã nhận được rất nhiều quà tặng từ những sự kiện khác nhau như skin, khung, diy, mình cảm thấy rất vui vì mình đã nhận được những món quà đẹp đẽ, hấp dẫn, ý nghĩa đó. Trong năm đó, mini world đã cập nhật được rất nhiều thứ mới như chế độ nhà, núi lửa, đảo bay, boss mới, chế độ mới,... Lúc đó, mình đã trải nghiệm những thứ ấy rất là nhiều, mình mong mini world sẽ cập nhật thêm được nhiều thứ mới mẻ hơn nữa. Mini world - 1 trò chơi vô cùng ý nghĩa, 1 trò chơi đã gắn bó với mình trong suốt 2-3 năm nay.",Nguyễn Gia Huy
86,Kỉ Niệm Cùng Mini World,"Trên thư viện mw, mình thấy có nhiều bạn tạo những con map rất là thú vị, trong số những map đó, mình thấy có map xây dựng về hoàn cảnh, thời gian chống dịch COVID -19, map đó đã cho mình thấy được rằng: "" Các y bác sĩ đã làm việc hết mình, quên ăn quên ngủ để có thể cứu sống những bệnh nhân bị nhiễm Covid-19, họ thật là tuyệt vời!"". Trong năm 2021, mw đã tổ chức sự kiện nhận khung sinh nhật mw 5 tuổi, mình đã nhận được 1 khung 1 tuổi, mặc dù có tận 5 khung nhưng mình chưa chơi được 5 năm, mình vẫn cảm thấy rất vui.",Nguyễn Gia Huy
