iD,越南语,越南语
21,Kháng Hỗn Loạn,Tăng 1 điểm kháng hỗn loạn.
21,Kháng Hỗn Loạn,Tăng 3 điểm kháng hỗn loạn.
21,Kháng Hỗn Loạn,Tăng 5 điểm kháng hỗn loạn.
21,Kháng Hỗn Loạn,Tăng 9 điểm kháng hỗn loạn.
21,Kháng Hỗn Loạn,Tăng 15 điểm kháng hỗn loạn.
22,Phản Kích,"Khi bị tấn công cận chiến, có 50% tỉ lệ phản lại 5 điểm sát thương."
22,Phản Kích,"Khi bị tấn công cận chiến, có 50% tỉ lệ phản lại 10 điểm sát thương."
22,Phản Kích,"Khi bị tấn công cận chiến, có 50% tỉ lệ phản lại 15 điểm sát thương."
22,Phản Kích,"Khi bị tấn công cận chiến, có 50% tỉ lệ phản lại 20 điểm sát thương."
22,Phản Kích,"Khi bị tấn công cận chiến, có 50% tỉ lệ phản lại 25 điểm sát thương."
23,Kháng Đánh Lui,Khi bị tấn công giảm 1 ô bị đánh lui.
23,Kháng Đánh Lui,Khi bị tấn công giảm 2 ô bị đánh lui.
23,Kháng Đánh Lui,Khi bị tấn công giảm 3 ô bị đánh lui.
23,Kháng Đánh Lui,Khi bị tấn công giảm 4 ô bị đánh lui.
23,Kháng Đánh Lui,Khi bị tấn công giảm 5 ô bị đánh lui.
24,Thu Thập Chuẩn,"Khi thu thập khối vuông, sẽ rơi khối vuông bản thân."
25,Tốc Độ,Tăng 30% tốc độ thu thập.
25,Tốc Độ,Tăng 70% tốc độ thu thập.
25,Tốc Độ,Tăng 120% tốc độ thu thập.
25,Tốc Độ,Tăng 180% tốc độ thu thập.
25,Tốc Độ,Tăng 250% tốc độ thu thập.
26,Đào May Mắn,"Cuốc: Thu thập khoáng, có 16% tỉ lệ nhận X2 vật phẩm."
26,Đào May Mắn,"Cuốc: Thu thập khoáng, có 16/8% tỉ lệ nhận X2/X3 vật phẩm."
26,Đào May Mắn,"Cuốc: Thu thập khoáng, có 20/10/4% tỉ lệ nhận X2/X3/X4 vật phẩm."
27,Xạ Kích Nổ Tung,Khi bắn trúng mục tiêu sẽ gây nổ tung. .
28,Rồng rơi chậm,"Sát thương do rơi/ ngã -150, và giảm tốc độ rơi."
32,Tốc Độ,Tăng 30% tốc độ thu thập.
30,Rơi tốc độ,"Giữ phím Shift khi rơi xuống để tăng tốc độ rơi lên 60%, giảm độ sát thương xuống 25% "
30,Rơi tốc độ,"Giữ phím Shift khi rơi xuống để tăng tốc độ rơi lên 60%, giảm độ sát thương xuống 25% "
30,Rơi tốc độ,"Giữ phím Shift khi rơi xuống để tăng tốc độ rơi lên 60%, giảm độ sát thương xuống 25% "
30,Rơi tốc độ,"Giữ phím Shift khi rơi xuống để tăng tốc độ rơi lên 60%, giảm độ sát thương xuống 25% "
30,Rơi tốc độ,"Giữ phím Shift khi rơi xuống để tăng tốc độ rơi lên 60%, giảm độ sát thương xuống 25% "
31,Giày chân nhện,"Có thể leo lên trên bất kỳ mặt phẳng thẳng đứng nào, mất 1 độ bền mỗi 2 giây"
31,Giày chân nhện,"Có thể leo lên trên bất kỳ mặt phẳng thẳng đứng nào, mất 1 độ bền mỗi 2 giây"
31,Giày chân nhện,"Có thể leo lên trên bất kỳ mặt phẳng thẳng đứng nào, mất 1 độ bền mỗi 2 giây"
31,Giày chân nhện,"Có thể leo lên trên bất kỳ mặt phẳng thẳng đứng nào, mất 1 độ bền mỗi 2 giây"
31,Giày chân nhện,"Có thể leo lên trên bất kỳ mặt phẳng thẳng đứng nào, mất 1 độ bền mỗi 2 giây"
