ID,名称,描述
510312,Thay thế hiệu ứng trạng thái của đối tượng,"Thay thế %2 trên %1 bằng %3, kéo dài vĩnh viễn %4, kéo dài %5 giây"
510320,Đánh bại đối tượng,Đánh bại %1
510321,Xóa đối tượng,Xóa %1
510330,Nhặt đối tượng,Nhặt %1
510331,Thả đối tượng đã nhặt xuống,Thả đối tượng đã nhặt xuống
600101,Đối tượng thực hiện hành động,Đối tượng thực hiện hành động
600102,Mối quan hệ đội,%1 quan hệ
600103,Đội thực tế,%1 đội
600104,Khoảng cách từ vị trí này đến vị trí khác,Khoảng cách giữa %1 và %2
600105,Vị trí tọa độ chỉ định,Vị trí của X%1Y%2Z%3
600106,Tọa độ của vị trí,Giá trị Tọa độ %2 của %1
600107,Nội bộ - Tọa độ Mặt Trăng,Tọa độ Mặt Trăng
600108,Vị trí bù trừ (Vị trí gốc cố định),"%1 dịch chuyển theo trục tọa độ (%2, %3, %4)"
600109,Điểm sinh ra,Vị trí được tạo ra của %1
600110,Thu thập vị trí của đối tượng,Thu thập vị trí của %1
600111,Thu thập vị trí khả dụng trong khu vực,Thu thập vị trí khả dụng trong %1
600130,Chuyển đổi vị trí thành khu vực,"Đặt %1 làm trung tâm, khu vực có kích thước (%2, %3, %4)"
600201,Thuộc tính đối tượng,Thuộc tính %2 của %1
600202,Đội của đối tượng,Đội của %1
600205,Giờ chơi hiện tại,Giờ chơi hiện tại
600206,Thu thập số lần tấn công của pha liên tiếp hiện tại của vũ khí,Thu thập số lần tấn công của vũ khí hiện tại %1
600207,Cường độ ánh sáng trên đối tượng,Cường độ ánh sáng trên %1
600300,Đối tượng người chơi,Đối tượng của %1
600301,Thuộc tính người chơi,Người chơi: thuộc tính %2 của %1
600302,Tìm người chơi gần nhất,"Lấy %1 làm tham chiếu, tìm kiếm %5 gần nhất đến %4 trong phạm vi %2%3 ô"
600311,Thuộc tính người chơi,Thuộc tính %2 của %1
600312,Tìm người chơi gần nhất,"Lấy %1 làm tham chiếu, tìm kiếm người chơi gần nhất đến %4 trong phạm vi %2%3 ô"
600313,Tìm người chơi gần đó,"Lấy %1 làm tham chiếu, tìm kiếm người chơi %4 trong phạm vi %2%3 ô"
600314,Thu thập số lượng người chơi gần đó,"Lấy %1 làm tham chiếu, tìm kiếm số lượng người chơi trong phạm vi %2%3 ô"
600315,Tìm tất cả người chơi trong khu vực,"Lấy %1 làm tham chiếu, tìm kiếm tất cả người chơi của %3 trong %2"
600400,Sinh vật thực hiện hành động,Sinh vật thực hiện hành động
600401,Thuộc tính sinh vật,Sinh vật: thuộc tính %2 của %1
600402,Loại sinh vật được chỉ định,Loại sinh vật %1
600403,Thu thập loại sinh vật của đối tượng,Loại sinh vật của %1
600404,Tìm sinh vật gần nhất,"Lấy %1 làm tham chiếu, tìm kiếm %5 gần nhất đến %4 trong phạm vi %2%3 ô"
600405,Tìm sinh vật được chỉ định gần nhất,"Lấy %1 làm tham chiếu, tìm kiếm %5 gần nhất đến %4 trong phạm vi %2%3 ô"
600406,Đối tượng sinh vật,Đối tượng của %1
600411,Thuộc tính sinh vật,Thuộc tính %2 của %1
600412,Loại sinh vật được chỉ định,Loại sinh vật %1
600413,Thu thập loại sinh vật,Loại sinh vật của %1
600414,Tìm sinh vật gần nhất,"Lấy %1 làm tham chiếu, tìm kiếm sinh vật gần nhất đến %4 trong phạm vi %2%3 ô"
600415,Tìm sinh vật được chỉ định gần nhất,"Lấy %1 làm tham chiếu, tìm kiếm %5 gần nhất đến %4 trong phạm vi %2%3 ô"
600416,Tìm tất cả sinh vật gần đó,"Lấy %1 làm tham chiếu, tìm kiếm %4%5 trong phạm vi %2%3 ô"
600417,Thu thập số lượng sinh vật gần đó,"Lấy %1 làm tham chiếu, tìm kiếm số lượng %4%5 trong phạm vi %2%3 ô"
600418,Tìm tất cả sinh vật trong khu vực,"Lấy %1 làm tham chiếu, tìm kiếm tất cả %4 của %3 trong khu vực %2"
600501,Tìm vị trí của khối gần nhất,"Lấy %1 làm tham chiếu, tìm kiếm vị trí của khối gần nhất trong phạm vi %2 ô"
600510,Cường độ ánh sáng của vị trí,Cường độ ánh sáng của %1
600599,Đối tượng đạn,Đối tượng của %1
600600,Vật phẩm rơi,Đối tượng của %1
600601,Thuộc tính vật phẩm,Vật phẩm: thuộc tính %2 của %1
600602,Loại vật phẩm được chỉ định,Loại vật phẩm %1
600603,Số lượng vật phẩm sở hữu,Số lượng %2 của %1
600604,Thu thập loại vật phẩm của đối tượng,Loại vật phẩm của %1
600605,Tìm vật phẩm được chỉ định gần nhất,"Lấy %1 làm tham chiếu, tìm kiếm %5 gần nhất đến %4 trong phạm vi %2%3 ô"
600606,Tìm vật phẩm được chỉ định gần nhất,"Lấy %1 làm tham chiếu, tìm kiếm %4 gần nhất trong phạm vi %2%3 ô"
600611,Thuộc tính vật phẩm,Vật phẩm: thuộc tính %2 của %1
600612,Loại vật phẩm đang cầm,Loại vật phẩm mà %1 đang giữ
601001,Số ngẫu nhiên,Tạo số ngẫu nhiên: %1 đến %2
601002,Số học nâng cao,%1%2%3
601101,Vị trí với số cụ thể trong nhóm vị trí,ID vị trí %2 trong %1
601102,Vị trí ngẫu nhiên trong nhóm vị trí,Vị trí ngẫu nhiên trong %1
601103,Giá trị với số cụ thể trong nhóm số,ID giá trị %2 trong %1
601104,Giá trị ngẫu nhiên trong nhóm số,Giá trị ngẫu nhiên trong %1
601105,Khu vực với số cụ thể trong nhóm khu vực,ID khu vực %2 trong %1
601106,Khu vực ngẫu nhiên trong nhóm khu vực,Khu vực ngẫu nhiên trong %1
601107,Đối tượng với số được chỉ định trong nhóm đối tượng,Đối tượng với số được chỉ định %2 trong %1
601108,Đối tượng ngẫu nhiên trong nhóm đối tượng,Đối tượng ngẫu nhiên trong %1
601201,Thời gian bộ đếm giờ,Thời gian của %1
610101,Thu thập vị trí của đối tượng,Thu thập vị trí của %1
610102,Tìm đối tượng gần nhất,"Lấy %1 làm tham chiếu, tìm kiếm %5 gần nhất đến %4 trong phạm vi %2%3 ô"
610103,Tìm đối tượng gần đó,"Lấy %1 làm tham chiếu, tìm kiếm %4%5 trong phạm vi %2%3 ô"
610104,Thu thập số lượng đối tượng gần đó,"Lấy %1 làm tham chiếu, tìm kiếm số lượng %4%5 trong phạm vi %2%3 ô"
610105,Tìm tất cả đối tượng trong khu vực,"Lấy %1 làm tham chiếu, tìm kiếm tất cả %4 của %3 trong khu vực %2"
700001,Biến Cây Hành Vi (Khu vực),
700002,Biến Cây Hành Vi (Vị trí),
700003,Biến Cây Hành Vi (Giá trị),
700004,Biến Cây Hành Vi (Chuỗi),
700005,Biến Cây Hành Vi (Giá trị Boolean),
700006,Biến Cây Hành Vi (Đối tượng),
700007,Biến Cây Hành Vi (Loại đối tượng),
700008,Biến Cây Hành Vi (Nhóm đối tượng),
700009,Biến Cây Hành Vi (Người chơi),
700010,Biến Cây Hành Vi (Nhóm người chơi),
700011,Biến Cây Hành Vi (Loại khối),
700012,Biến Cây Hành Vi (Loại vật phẩm),
700013,Biến Cây Hành Vi (Sinh vật),
700014,Biến Cây Hành Vi (Loại sinh vật),
700015,Biến Cây Hành Vi (Nhóm sinh vật),
700016,Biến Cây Hành Vi (Bộ đếm giờ),
700017,Biến Cây Hành Vi (Loại hiệu ứng đặc biệt),
700018,Biến Cây Hành Vi (Nhóm vị trí),
700019,Biến Cây Hành Vi (Nhóm khu vực),
700020,Biến Cây Hành Vi (Nhóm số),
700021,Biến Cây Hành Vi (Nhóm chuỗi),
700022,Biến Cây Hành Vi (Nhóm Boolean),
700023,Biến Cây Hành Vi (Nhóm loại khối),
700024,Biến Cây Hành Vi (Nhóm loại vật phẩm),
700025,Biến Cây Hành Vi (Nhóm loại sinh vật),
700026,Biến Cây Hành Vi (Nhóm bộ đếm giờ),
700027,Biến Cây Hành Vi (Nhóm loại hiệu ứng đặc biệt),
708001,Mẫu Biến Toàn Cục (Khu vực),
708002,Mẫu Biến Toàn Cục (Vị trí),
708003,Mẫu Biến Toàn Cục (Giá trị),
708004,Mẫu Biến Toàn Cục (Chuỗi),
708005,Mẫu Biến Toàn Cục (Giá trị Boolean),
708006,Mẫu Biến Toàn Cục (Người chơi),
708007,Mẫu Biến Toàn Cục (Nhóm đối tượng),
708008,Mẫu Biến Toàn Cục (Loại khối),
708009,Mẫu Biến Toàn Cục (Loại vật phẩm),
708010,Mẫu Biến Toàn Cục (Sinh vật),
708011,Mẫu Biến Toàn Cục (Loại sinh vật),
708012,Mẫu Biến Toàn Cục (Nhóm sinh vật),
708013,Mẫu Biến Toàn Cục(Bộ hẹn giờ),
708014,Mẫu Biến Toàn Cục (Loại hiệu ứng đặc biệt),
708015,Mẫu Biến Toàn Cục (Nhóm vị trí),
708016,Mẫu Biến Toàn Cục (Nhóm khu vực),
708017,Mẫu Biến Toàn Cục (Nhóm số),
708018,Mẫu Biến Toàn Cục (Nhóm chuỗi),
708019,Mẫu Biến Toàn Cục (Nhóm Boolean),
708020,Mẫu Biến Toàn Cục (Nhóm loại khối),
708021,Mẫu Biến Toàn Cục (Nhóm loại vật phẩm),
708022,Mẫu Biến Toàn Cục (Nhóm loại sinh vật),
708023,Mẫu Biến Toàn Cục (Nhóm bộ hẹn giờ),
708024,Mẫu Biến Toàn Cục (Nhóm loại hiệu ứng đặc biệt),
