ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
10,Tuần Lộc,"Chú tuần lộc nhỏ sống trong hang, mỗi dịp Giáng Sinh lại xuất hiện đầy vui vẻ, không ai có thể không cảm mến vẻ nghịch ngợm đáng yêu này.",@Null@,Hiệu ứng cơ thể: Cơ thể phát ra vòng sáng giáng sinh!,Avatar: Mở khóa avatar Tuần Lộc,Dấu chân hành tẩu: Nơi đi qua sẽ để lại dấu chân Tuần Lộc Giáng Sinh,,,
11,Thợ Săn Tuyết,"Đến từ vùng đất khắc nghiệt nhất, Chim ưng cũng trở thành bạn của hắn",@Null@,Hiệu ứng cơ thể: Trên người phát ra hoa tuyết,Avatar: Mở khóa avatar Thợ Săn Tuyết,Dấu chân hành tẩu: Nơi đi qua sẽ để lại dấu chân tuyết cầu,,,
12,Vũ Cơ,"Tiên tử lạc xuống trần gian, tình cờ gặp Mộ Dung công tử",@Null@,Hiệu ứng cơ thể: Trên người có cánh hoa tung bay,Avatar: Mở khóa avatar Vũ Cơ,@Null@,,,
13,Mộ Dung,"Ẩn sĩ xuất sơn tu hành, tình cờ gặp Vũ Cơ",@Null@,Hiệu ứng cơ thể: Trên người phát ra chân khí,Avatar: Mở khóa avatar Mộ Dung,Dấu chân hành tẩu: Nơi đi qua sẽ để lại dấu chân,,,
14,Cảnh Sát Trưởng Joey,"Xin lỗi, có lẽ đạn của ta không thích ngươi.",@Null@,Hiệu ứng cơ thể: Bước chân phát ra khói bụi của cao bồi miền Viễn Tây,Avatar: Mở khóa avatar Cảnh Sát Trưởng Joey,Dấu chân hành tẩu: Nơi đi qua sẽ để lại dấu chân ngôi sao cảnh sát,,,
15,Lucas,"Ý nghĩ sắc bén, bước đi thanh tao,gương mặt tuyệt đẹp, là trung tâm của vũ trụ.",@Null@,@Null@,Avatar: Mở khóa avatar Lucas,Dấu chân hành tẩu: Nơi đi qua sẽ để lại dấu chân bóng rổ,,,
16,Claire,"Giống như Lucas, sự hiện diện của cô ấy thu hút sự chú ý của mọi người và rất quyến rũ.",@Null@,@Null@,Avatar: Mở khóa avatar Claire,Dấu chân hành tẩu: Nơi đi qua sẽ để lại dấu chân dải lụa màu,,,
17,Cao Bồi Rose,"Hừm, đạn của ta có lẽ sẽ thích ngươi",@Null@,Hiệu ứng cơ thể: Phát ra tình yêu thương bao la!,Avatar: Mở khóa avatar Rose,@Null@,,,
18,Thuyền Trưởng Tiki,"Ta muốn trở thành thuyền trưởng hải tặc nổi tiếng nhất, tìm kiếm kho báu vô tận!",@Null@,@Null@,Avatar: Mở khóa avatar Thuyền Trưởng,Dấu chân hành tẩu: Nơi đi qua sẽ để lại dấu chân,,,
19,Mary Ngọt Ngào,Ta sẽ là thuyền trưởng hải tặc nổi tiếng nhất!,@Null@,Hiệu ứng cơ thể: Phát ra mùi vị của biển hồng,Avatar: Mở khóa avatar,@Null@,,,
20,Cẩm Y Vệ,"Tiểu lâu đêm qua lại có gió đông, Cố Quốc không thể về ngắm trăng sáng",@Null@,Hiệu ứng dấu chân: Gót chân sinh ra gió,Avatar: Mở khóa avatar,@Null@,,,
21,Tiểu Hoa,"Nhớ lại lúc nước nhà còn, đã cùng ca ca xem pháo hoa vui vẻ, giờ người lưu lạc không biết phương nào",@Null@,Hiệu ứng cơ thể: Hoa đào trôi,Avatar: Mở khóa avatar Tiểu Hoa,@Null@,,,
22,Lilith,Không cho kẹo thì sẽ bị ta ghẹo đấy!,@Null@,Hiệu ứng cơ thể: Cơ thể phát ra hơi thở của nữ phù thủy,Avatar: Mở khóa avatar,@Null@,,,
23,Vô Song,"Bổn cô nương không phải người dễ bị ăn hiếp như thế, hứ, ta lợi hại lắm đấy!",@Null@,Hiệu ứng cơ thể: Cơ thể phát ra lam hoa,Avatar: Mở khóa avatar Bánh Bao,@Null@,,,
24,Diệp Tiểu Long,Ta bảo vệ thế giới với vẻ ngoài hung dư này!,@Null@,Dấu chân hành tẩu: Nơi đi qua sẽ để lại sương mù đen,Avatar: Mở khóa avatar Diệp Tiểu Long,@Null@,,,
25,Nhị Lang Thần,"Chốn nhân gian lại có một nơi tuyệt đẹp như vậy, ta phải bảo vệ bình yên nơi đây!",@Null@,Hiệu ứng cơ thể: Cơ thể phát ra Thiên Canh Chính Khí,Avatar: Mở khóa avatar Nhị Lang Thần,@Null@,,,
26,Cá nhỏ,"Mẹ luôn nói với tôi rằng, dù có đi bất cứ đâu cũng phải mang theo ước mơ của riêng mình. Mọi thứ khác, có hay không đều không quan trọng.",@Null@,Hiệu ứng cơ thể: Cơ thể phát ra hơi thở của mơ ước…,Avatar: mở khóa avatar của Mermale.,@Null@,,,
27,Misoso,Đại sứ bảo vệ môi trường. Luôn chiến đấu vì một trái đất xanh màu cây lá.,"Đạo cụ mở khóa có thể nhận từ ""kế hoạch bảo vệ thế giới"".",Hiệu ứng cơ thể: Cơ thể phát ra hơi thở của cây cối,Avatar: Mở khóa avatar của Misoso.,@Null@,,,
28,Mini-X,"Vệ nữ giải ngân hà, thích du lịch và âm nhạc.",@Null@,Hiệu ứng cơ thể: Được bao quanh bởi các hạt điện từ.,Avatar: Mở khóa avatar của Mini-X,@Null@,,,
29,Mini-T,"Đằng sau vẻ ngoài lạnh lùng là một tâm hồn ấm áp, muốn bảo vệ cả thế giới!",@Null@,Hiệu ứng cơ thể: Phần lưng tỏa ra các hạt điện từ.,Avatar: Mở khóa avatar của Mini-T,@Null@,,,
30,Hằng Nga,"Dưới ánh sáng lung linh huyền ảo của ngày trăng rằm. Một nàng tiên xuất hiện. Nàng chính là Hằng Nga, vị thần cai quản cung trăng. Điệu múa của nàng có khả năng làm mê hoặc lòng người. Hãy cẩn thận, nàng có thể làm bạn ngẩn ngơ quên đi mọi thứ.",@Null@,Hiệu ứng cơ thể: Ánh trăng chiếu sáng xung quanh Hằng Nga,Avatar: Mở khóa avatar,@Null@,,,
31,Pháp Sư Bí Ngô,"Một pháp sư bí ẩn và mạnh mẽ, với một quyển sách đầy những công thức phù phép và một cái đầu tinh ranh",@Null@,Hiệu ứng cơ thể: Tỏa ra năng lượng pháp thuật,Avatar: Mở khóa avatar hình Pháp Sư Bí Ngô,@Null@,,,
32,Tiên Cá Shelley,Nàng Tiên cá bé bỏng đến từ vương quốc ẩn sâu dưới đáy biển đã bị lạc tới thế giới Mini World. Tiếng hát trong veo của nàng có thể làm tan chảy mọi trái tim.,@Null@,Hiệu ứng cơ thể: Bong bóng bay bay mỗi khi nàng chuyển động.,Ảnh đại diện: Mở khóa ảnh của Tiên cá Shelly,"Dấu chân: Mỗi bước chân qua, nàng Tiên cá để lại một vỏ sò lấp lánh.",,,
33,Christopher,"Bạn có biết bí mật của mùa đông không? Thực ra, tất cả các bông tuyết đều sống và tôi được sinh ra để bảo vệ họ.",@Null@,"Hiệu ứng cơ thể: Bông tuyết bay bay, reo vui xung quanh người tuyết",Avatar: Mở khóa avatar của Christopher,@Null@,,,
34,Popo,"Dodo và Bobo là bạn thân của Khủng Long, họ rất tự ti vì bản thân yếu đuối, họ bắt đầu cuộc hành trình tìm kiếm một hành tinh nơi có thể có được phép thuật với hy vọng trở nên mạnh mẽ hơn.",@Null@,Hiệu ứng cơ thể: Biến màu theo môi trường,Avatar: Mở khóa hình đại diện,@Null@,,,
35,Dodo,"Dodo và Bobo là bạn thân của Khủng Long, họ rất tự ti vì bản thân yếu đuối, họ bắt đầu cuộc hành trình tìm kiếm một hành tinh nơi có thể có được phép thuật với hy vọng trở nên mạnh mẽ hơn.",@Null@,Avatar: Mở khóa hình đại diện,@Null@,@Null@,,,
36,Bobo,"Dodo và Bobo là bạn thân của Khủng Long, họ rất tự ti vì bản thân yếu đuối, họ bắt đầu cuộc hành trình tìm kiếm một hành tinh nơi có thể có được phép thuật với hy vọng trở nên mạnh mẽ hơn.",@Null@,Avatar: Mở khóa hình đại diện,@Null@,@Null@,,,
37,Alice Bé Bỏng,"Em gái của Pha Lê, cô gái thích đồ ngọt với tâm hồn mộng mơ luôn muốn khám phá mọi nơi. Phiêu lưu không chỉ là sở thích mà còn là cách sống của cô búp bê này.",@Null@,Avatar: Mở khóa hình đại diện,Dấu chân: Để lại dấu chân búp bê mỗi nơi cô ấy đi qua,@Null@,,,
38,Thiên Bồng Nguyên Soái,Soái ca này đã từng chỉ huy và trải qua nhiều cuộc chiến. Sức mạnh của Nguyên Soái là không thể chối cãi.,@Null@,Hiệu ứng cơ thể: Bọt nước bắn lên mỗi khi chàng chuyển động.,Avatar: Hình ảnh Thiên Bồng Nguyên Soái,Dấu chân: Để lại dấu chân quyền lực mỗi nơi chàng đi qua,,,
39,Angela,"Đến từ vùng đất thần tiên, đôi mắt lấp lánh như ánh sao và giọng nói cực kỳ ngọt ngào. Angela thích tất cả những đồ màu trắng và tính cách có phần đỏng đảnh. Bằng cây gậy phép nhỏ xíu của mình, cô ấy mang tình yêu đến từng ngõ ngách trong Mini World. ( Chỉ xuất hiện khi có sự kiện).",Nhận được từ sự kiện của MWBA,Hiệu ứng cơ thể: Những chiếc lông trắng mịn màng bay lơ lửng,Avatar: Mở khóa hình đại diện,@Null@,,,
40,Mini-Beast,Hình thù dữ dằn bên ngoài nhưng bên trong lại sở hữu một tâm hồn nghệ thuật. Mini- Beast đến từ không gian là người anh em của Mini - X và Mini - T. Anh ấy là ngôi sao nhạc điện tử với gu âm nhạc rất chất.,@Null@,Hiệu ứng cơ thể: Đuôi phát sáng!,Avatar: Mở khóa hình đại diện,Dấu chân: Để lại dấu chân nốt nhạc mỗi nơi anh ấy đi qua.,,,
41,Lancelot,"Hiệp sĩ là gì ư? Khi gặp nguy hiểm, hiệp sĩ sẽ có mặt , lấy lại công lý cho bạn.",@Null@,Hiệu ứng cơ thể: Ánh sao lấp lánh bao quanh,Avatar: Mở khóa hình đại diện,@Null@,,,
42,Mecha Meow,"Tín hiệu đã có, điện đã về! Mecha cũng đã trở lại và lợi hại hơn xưa!Mọi người gọi ta là Mèo Thần cuồng công nghệ, luôn mang ổ điện theo người vì hết điện đối với ta là một cực hình!  Ồ thì sao nào, Đôi khi tình yêu với khoa học và công nghệ còn lãng mạn hơn cả tình yêu!",@Null@,@Null@,Avatar: Mở khóa hình đại diện,Dấu chân: Để lại dấu chân điện từ mỗi nơi cô ấy đi qua.,,,
43,Samurai Senbei,"Chạy nhanh đấy, nhưng ngươi sẽ không thoát khỏi lưỡi kiếm công lý của Samurai!",@Null@,@Null@,Avatar: Mở khóa hình đại diện,Dấu chân: Để lại dấu chân bám bụi mỗi nơi anh ấy đi qua,,,
44,Meow Racer,"Chiếc cúp vô địch này là món quà sinh nhật của tôi! Meow Racer, người yêu thích cuộc sống hiện đại và đam mê tốc độ. Đối với Meow Racer, chiến thắng đẹp quan trọng hơn nhiều so với chiến thắng bằng mọi giá.",@Null@,@Null@,Avatar: Mở khóa hình đại diện,Dấu chân: Để lại dấu chân trái tim mỗi nơi cô ấy đi qua,,,
45,Xạ Thủ Li,Nữ xạ thủ hoạt bát và nói nhiều. Luôn luôn tìm ra niềm vui trong từng việc nhỏ nhất mà mình làm. Cô rất thích đan len và có vũ khí đặc biệt là chiếc kim bay.,@Null@,@Null@,Avatar: Mở khóa hình đại diện,Dấu chân: Những nơi đã đi qua sẽ lưu lại dấu chân cuộn len,,,
46,Xạ Thủ An,"Xạ thủ An, với thân thủ phi phàm và khả năng ra chiêu xuất thần. Người luôn tỏ ra nguy hiểm nhưng đôi khi lại rất vụng về. An sẽ tức giận nếu mọi người không thấy anh ấy lạnh lùng.",@Null@,@Null@,Avatar: Mở khóa hình đại diện,Dấu chân: Những nơi đã đi qua sẽ lưu lại dấu chân phi tiêu,,,
47,King YoYo,Bạn có biết không? Những đám mây trên bầu trời rộng lớn kia đều có một màu sắc thú vị riêng. Mình nguyện là đôi cánh của bạn và đưa bạn đi chinh phục bầu trời đẹp đẽ này!,@Null@,Hiệu ứng đặc biệt: Ánh vàng lấp lánh trên vương miện!,Avatar: Mở khóa hình đại diện,@Null@,,,
48,Mini-S,"Giữ gìn hòa bình, chính là nhiệm vụ của mình, luôn hết mình vì các bạn và cộng đồng !",@Null@,Hiệu ứng : Cánh giáp sau lưng lấp lánh hạt vàng và ánh sáng điện!,Avatar: Mở khóa hình đại diện,@Null@,,,
49,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
50,Joker,"Xin chào những du khách từ phương xa, bạn có muốn xem chương trình ảo thuật huyền bí không? Những màn trình diễn tuyệt vời nhất đã ở đây!",@Null@,@Null@,Avatar: Mở khóa hình đại diện,Dấu chân huyền bí : Nơi đã đi qua sẽ để lại dấu chân ảo thuật,,,
51,Kana,"Haha ! Mọi quy tắc sinh ra đều có thể bị phá vỡ, nhưng mình sẽ cho bạn một lý do nghe vô lý nhưng lại hết sức thuyết phục !",@Null@,@Null@,Avatar: Mở khóa hình đại diện,Dấu chân huyền bí : Nơi đã đi qua sẽ để lại dấu chân kẹo mút,,,
52,Optimus Prime,Tôi là Optimus Prime! Nào! Hãy nhận lời mời của tôi và chúng ta sẽ lưu lại những kỷ niệm với nhau nhé! Tôi ở đây đợi bạn!,@Null@,Hiệu ứng cơ thể: Biến thành siêu xe trong Map,Avatar: Mở khóa hình đại diện,Dấu chân mạnh mẽ: Nơi đã đi qua sẽ để lại dấu chân logo biệt đội của mình,#cda5b0aBiến hình：Click vào nút biến hình bên phải sẽ biến thành Robot/ siêu xe!#n,#cda5b0aKỹ năng đặc biệt：Robots Attack công kích!#n,
53,Megatron,"Bất luận là chiến thắng hay chiến bại, ta không bao giờ bị khuất phục! Ta là Megatron",@Null@,Hiệu ứng cơ thể: Biến thành siêu xe trong Map,Avatar: Mở khóa hình đại diện,Dấu chân tham vọng: Nơi đã đi qua sẽ để lại dấu chân logo,#cda5b0aBiến hình：Click vào nút biến hình bên phải sẽ biến thành Robot!#n,#cda5b0aBiến hình：Click vào nút biến hình bên phải sẽ biến thành Robot!#n,
54,Bánh Kem Dâu,"Mình là Bánh Kem Dâu, mình xuất hiện trong ngày lễ Giáng sinh cùng bé Tuyết Cute, bác Thông Già và Ông già Noel quyền lực. Mình sẽ mang lại điều ngọt ngào nhất cho ngày lễ Giáng sinh của bạn!",@Null@,@Null@,Avatar: Mở khóa hình đại diện,Dấu chân huyền bí : Nơi đi qua sẽ để lại dấu chân Dâu Tây,,,
55,Chuột Phúc Lộc,"Là anh song sinh của Chuột Như Ý, đúng là anh em thì giàu như nhau là có thật. Chuột Tài Lộc có thú vui tao nhã là thích thu thập trái cây và các loại lá, sau đó làm thành món ngon mời mọi người. Phải chăng đây là cách phô diễn sự giàu có của chàng ta nhỉ?",@Null@,@Null@,Avatar: Mở khóa hình đại diện,Dấu chân huyền bí : Nơi đi qua sẽ để lại dấu chân Hạt Dẻ,,,
56,Chuột Như Ý,"Là em song sinh của Chuột Tài lộc, cặp đôi hoàn hảo mới xuất hiện trong Mini World. Cô nàng giàu có và xinh đẹp, đã dành cả thanh xuân để giúp đỡ các con vật nhỏ bé có đủ sức mạnh vượt qua mùa đông lạnh giá. Cô luôn luôn muốn nhân rộng điều đẹp đẽ này đến mọi người",@Null@,Hiệu ứng đặc biệt : Hoa bay bay khắp cơ thể,Avatar: Mở khóa hình đại diện,Dấu chân huyền bí : Nơi đi qua sẽ để lại dấu chân Bình An,,,
57,Lão Bạch Gia,"Đừng nghĩ ta già, ta già nhưng rất mặn mà. Võ thuật cao cường ai sánh bằng, ta chính là sư phụ của Cẩm Y Vệ, xạ thủ An và Li.",Nhận được từ sự kiện của MWBA,@Null@,Avatar: Mở khóa hình đại diện,Dấu chân huyền bí : Nơi đi qua sẽ để lại dấu chân Rượu Hồ Lô,,,
58,Bumblebee,Tốc độ tạo nên sức mạnh! Tôi - Bumblebee! Luôn bên bạn dù bất cứ nơi đâu!,@Null@,Hiệu ứng cơ thể: Biến thành siêu xe trong Map,Avatar: Mở khóa hình đại diện,Dấu chân nhún nhảy: Nơi đi qua sẽ để lại dấu chân logo của biệt đội,#cda5b0aBiến hình：Click vào nút biến hình bên phải sẽ biến thành Robot/ siêu xe!#n,#cda5b0aKỹ năng đặc biệt：Bumblebee công kích!#n,
59,Tiên Nhỏ Hoa Gió,Nàng Tiên Nhỏ thích cảm giác dạo chơi trong biển hoa đầy màu sắc. Cô bé trồng hoa trước và sau nhà thu hút những bạn nhỏ đi ngang qua bởi mùi hương thơm ngát. Với năng lượng từ hành tinh ma thuật cô bé sẽ tạo ra những hiệu ứng kỳ diệu cho các loài hoa.,@Null@,Hiệu ứng cơ thể: Ánh sao lấp lánh bao quanh,Avatar: Mở khóa hình đại diện,@Null@,,,
60,Sao Tinh Nghịch,"Với tinh thần ngôi sao tỏa sáng đến từ bầu trời bao la, Sao Tinh Nghịch mang sức mạnh đặc biệt có thể biến những điều ước của bạn thành sự thật!",@Null@,Hiệu ứng cơ thể: Cầu vồng rực rỡ bao quanh,Avatar: Mở khóa hình đại diện,@Null@,,,
61,Báo Tuyết,"Cô bé da báo trên núi tuyết với sứ mệnh bảo vệ cao nguyên. Từ khi còn nhỏ, bạn ấy đã nghiêm túc bảo vệ vùng đất thuần khiết này. Dù hiền lành, nhưng khi đối mặt với những thử thách cô bé trở nên rất can đảm.",Nhận được từ sự kiện của MWBA,Hiệu ứng cơ thể: Bông tuyết bay quanh cơ thể,Avatar: Mở khóa hình đại diện,@Null@,,,
62,Ellie,"Cô bé Ellie hiếu kỳ đến từ Học viện phép thuật, một lá bài tây đã đưa cô bé đến với Thế giới này. Trên đường đi Ellie đã gặp ông Thỏ tốt bụng và 2 người luôn đồng hành cùng nhau trong chuyến phiêu lưu kỳ thú.",@Null@,Hiệu ứng cơ thể: Hoa bay quanh mình,Avatar: Mở khóa hình đại diện,@Null@,,,
63,Ninja Ếch,"Ninja Ếch bắt đầu học Ninjutsu từ nhỏ. Bây giờ anh ấy đã trở thành một bậc thầy. Ninja Ếch thích nhất là cảm giác nằm bên bờ ao thanh mát, thích thú nghe tiếng ếch kêu thật bắt tai.",Nhận được từ sự kiện của MWBA,@Null@,Avatar: Mở khóa hình đại diện,Dấu chân: Những nơi đi qua sẽ để lại dấu chân Ếch xanh,,,
64,Starscream,"Starscream đầy tham vọng nghĩ rằng mình có định mệnh là thủ lĩnh của Decepticons, và luôn muốn cạnh tranh với Megatron. Vì vậy, anh ta đã vô tình phá hủy nhiều kế hoạch tấn công của cả đội, khiến Megatron đau đầu.",@Null@,Hiệu ứng đặc biệt: Biến thành siêu xe trong Map,Avatar: Mở khóa hình đại diện,Dấu chân mạnh mẽ: Nơi đi qua sẽ để lại dấu chân logo,#cda5b0aBiến hình：Click vào nút biến hình bên phải sẽ biến thành Robot/ siêu xe!#n,#cda5b0aTransformers Kỹ năng độc quyền: Cảnh báo không trung!#n,
65,Hot Rod,"Bình tĩnh và đầy trách nhiệm, anh ấy là thủ lĩnh tương lai của Autobot, niềm hy vọng mới cho hòa bình trong vũ trụ. Anh ấy không hề sợ hãi khi đối mặt với cái ác dù tình huống có nguy hiểm đến đâu.",@Null@,Hiệu ứng đặc biệt: Biến thành siêu xe trong Map,Avatar: Mở khóa hình đại diện,Dấu chân mạnh mẽ: Nơi đi qua sẽ để lại dấu chân logo,#cda5b0aBiến hình：Click vào nút biến hình bên phải sẽ biến thành Robot/ siêu xe!#n,#cda5b0aTransformers Kỹ năng độc quyền: Đèn nháy đỏ!#n,
66,Galvatron,Mạnh mẽ và tàn nhẫn hơn cả Megatron! Tham vọng chinh phục và cai trị của Galvatron vượt lên trên tất cả.Toàn bộ vũ trụ không thể thỏa mãn sự hiếu chiến của tên bạo chúa tàn nhẫn này.,@Null@,Hiệu ứng Đặc biệt: Biến thành siêu xe trong Map,Avatar: Mở khóa hình đại diện,Dấu chân quyền lực: Nơi đi qua sẽ để lại dấu chân logo đặc biệt,#cda5b0aBiến hình：Click vào nút biến hình bên phải sẽ biến thành Robot/ siêu xe!#n,#cda5b0aKỹ năng độc quyền Transformers: Laser hợp nhất!#n,
67,Raul,"Raul cho rằng cách để vượt qua những vấn đề gặp phải trong cuộc sống cũng như khi chinh phục 1 cửa ải trong game. Nếu như dựa vào thực lực và may mắn đều không thể giải quyết vấn đề, vậy hãy cứ để thời gian trả lời tất cả.",Nhận được từ sự kiện của MWBA,Hiệu ứng Đặc biệt: Cơ thể bao quanh bởi các ký tự,Avatar: Mở khóa hình đại diện,@Null@,,,
68,Lynn,"Lynn thích đưa người bạn nhỏ Cube của mình lang thang trong thế giới giữa thực và ảo. Cô bé yêu thích sự phồn hoa, rực rỡ, kỳ diệu mà thế giới này mang lại. Hãy cùng Lynn khám phá và tận hưởng những điều thú vị nhé!",Nhận được từ sự kiện của MWBA,Hiệu ứng đặc biệt: Cơ thể bao quanh bởi các hạt màu tím,Avatar: Mở khóa hình đại diện,@Null@,,,
69,Uyển Thanh,"Là người thừa kế duy nhất của Hội Quán Bánh Chưng đầu tiên trên thế giới, nhưng Uyển Thanh lại đam mê đàn tranh mãnh liệt. Cô bé tự hứa sẽ phát triển tốt danh tiếng của Hội Quán Bánh Chưng, đồng thời vẫn sẽ theo đuổi đam mê trở thành bậc thầy về đàn tranh",@Null@,Hiệu ứng đặc biệt: Cơ thể bao quanh bởi lá bánh Chưng,Avatar: Mở khóa hình đại diện,@Null@,,,
70,Twilight Sparkle,Twilight Sparkle là người rất hiểu biết. Cô bé thích đọc sách và có khả năng lãnh đạo. Công chúa Celestia giúp cô học thêm nhiều phép thuật và những kiến thức thú vị,@Null@,Hiệu ứng đặc biệt: Cơ thể bao quanh bởi các hạt phép thuật,Avatar: Mở khóa hình đại diện,@Null@,,,
71,Công Chúa Celestia,"Công chúa Celestia quyền lực, người cai trị Vương quốc Equestria, có sức mạnh ma thuật rất lớn. Nhưng cô ấy là một cô gái dễ thương và rất dễ gần. Bánh ngọt là món khoái khẩu của nàng",@Null@,Hiệu ứng đặc biệt: Cơ thể bao quanh bởi các hạt Vàng lấp lánh,Avatar: Mở khóa hình đại diện,@Null@,,,
72,Fluttershy,Fluttershy sống trong một túp lều gỗ ở rìa thung lũng Pony và kết bạn với nhiều loài động vật. Cô có thể chỉ huy chúng hành động cùng nhau như một biểu tượng của sự lương thiện và hòa hợp,@Null@,Hiệu ứng đặc biệt: Cơ thể bao quanh bởi các hạt Vàng lấp lánh,Avatar: Mở khóa hình đại diện,@Null@,,,
73,Công Chúa Luna,"Công chúa Luna là em gái của Công chúa Celestia, người cai trị thứ hai của Equestria, người chịu trách nhiệm về đêm: mặt trăng và những giấc mơ. Cô thường cứu những chú ngựa con trong những cơn ác mộng. Cô có vẻ bí ẩn và xa cách nhưng thực sự cô rất tốt bụng.",Nhận được từ sự kiện của MWBA,Hiệu ứng cơ thể: Được bao quanh bởi các hình mặt trăng,Avatar: Mở khóa hình đại diện,@Null@,,,
74,Grimlock,"Grimlock là kẻ đáng sợ nhất và hùng mạnh nhất trong số các robot khủng long Dinobots.Tuy nhiên, đây là một kẻ khá hoang dã, lạnh lùng, tàn nhẫn và luôn tỏ vẻ khinh bỉ con người dù vẫn bảo vệ họ khi cần thiết.",Nhận được từ sự kiện của MWBA,Hiệu ứng cơ thể: Phát ra tia lửa điện từ,Avatar: Mở khóa hình đại diện,Dấu chân mạnh mẽ: Nơi đi qua sẽ để lại dấu chân logo,,,
75,Swoop,"Những suy nghĩ đơn giản và hành vi liều lĩnh của Swoop đôi khi thực sự gây phiền nhiễu. Nhưng thực tế, anh ta là một chiến binh tốt bụng. Anh ta đóng một vai trò rất lớn trong đội Dinobots và gánh vác các nhiệm vụ quan trọng.",@Null@,Hiệu ứng cơ thể: Phát ra tia lửa điện từ,Avatar: Mở khóa hình đại diện,Dấu chân mạnh mẽ: Nơi đi qua sẽ để lại dấu chân logo,"#cda5b0aBiến hình: Click nút biến hình bên phải, sẽ biến thành Robot Khủng long!#n",#cda5b0a Kỹ năng độc quyền của Transformers: Swift Wings!#n,
76,Snarl,Snarl là một kẻ bàng quan trước mọi sự việc của nhóm. Anh ta chỉ nghe lệnh của Grimlock và chiến đấu khi cần thiết. Điều đó khiến anh ta trở thành chiến binh mạnh nhất trên chiến trường của Grimlock!,@Null@,Hiệu ứng cơ thể: Phát ra tia lửa điện từ,Avatar: Mở khóa hình đại diện,Dấu chân quyền lực: Nơi đi qua sẽ để lại dấu chân logo đặc biệt,"#cda5b0aBiến hình: Click nút biến hình bên phải, sẽ biến thành Robot Khủng long!#n",#cda5b0a Kỹ năng độc quyền của Transformers: Bone Sweep!#n,
