序列ID,物品ID,物品名称,系列ID,大类ID,大类名称
104,1108,厚秘银板,19,2,建筑
105,1102,镜冰,19,2,建筑
106,1105,星能秘银块,19,2,建筑
107,1109,镂空秘银板,19,2,建筑
108,1103,冰灯,19,2,建筑
109,1106,星能秘银板,19,2,建筑
110,1107,紫线秘银块,19,2,建筑
111,1110,实验室灯,19,2,建筑
112,1101,实验室门,19,2,建筑
113,1104,花纹星能块,19,2,建筑
114,1112,秘银丝网,20,2,建筑
115,1113,竖纹秘银板,20,2,建筑
116,1114,锈秘银板,20,2,建筑
117,1115,条纹锈秘银板,20,2,建筑
118,1116,镂空锈秘银板,20,2,建筑
119,1119,花纹秘银块,20,2,建筑
120,1117,星能锈秘银块,20,2,建筑
121,1118,荧光灯,20,2,建筑
122,1111,锈秘银门,20,2,建筑
123,1120,象牙白旧秘银块,20,2,建筑
124,12589,荧光弹弓,21,3,装备
125,15506,圆球爆弹,21,3,装备
126,15507,冰锥,21,3,装备
127,15508,熔岩球,21,3,装备
128,12291,脉冲弓,22,3,装备
129,15519,黑龙熔岩球,22,3,装备
130,15520,黑龙混乱球,22,3,装备
131,1060,反射镜,22,3,装备
132,1136,雪梅屏风,23,4,节日
133,1137,红烛灯,23,4,节日
134,1145,春节窗花-牛,23,4,节日
135,1747,手工雕塑-骆驼,25,2,建筑
136,1748,景观装饰-莫高窟九层塔,25,2,建筑
137,1749,手工雕塑-敦煌飞天,25,2,建筑
138,1750,敦煌壁画1,25,2,建筑
139,1751,敦煌壁画2,25,2,建筑
140,1752,敦煌壁画3,25,2,建筑
149,1811,中式椅子,27,1,家具
150,1812,中式桌子,27,1,家具
151,1813,中式木椅,27,1,家具
152,1814,中式火炉,27,1,家具
153,1815,中式柜子,27,1,家具
