编号,皮肤名称,皮肤ID,角色ID,动作ID（窗口显示）,对应动作ID（实际使用的动作）,对应模型ID,版本是否开放（0不开放，1开放）,动作名,类型（0显示在官方动作列表，1-8分别为动作分类列表筛选）,动作名（备注使用）
211,Avata躺下,,,100102,300239,,1,12517,4,
212,Avata游泳,,,100104,300241,,1,12519,5,
213,Avata攻击,,,100105,300242,,1,12520,6,
214,Avata死亡,,,100106,300243,,1,12521,7,
215,Avata受击,,,100107,300244,,1,12522,8,
216,Avata站立,,,100100,300253,,1,15260,1,
217,Avata跑,,,100101,300254,,1,12516,2,
218,Avata坐下,,,100103,300256,,1,12518,3,
219,Avata躺下,,,100102,300255,,1,12517,4,
220,Avata游泳,,,100104,300257,,1,12519,5,
221,Avata攻击,,,100105,300258,,1,12520,6,
222,Avata死亡,,,100106,300259,,1,12521,7,
223,Avata受击,,,100107,300260,,1,12522,8,
500,打招呼,,,100140,300261,,1,15250,9,
501,低头思考,,,100162,300262,,1,15251,10,
502,哭泣,,,100159,300263,,1,15252,11,
503,生气,,,100158,300264,,1,15253,12,
504,伸懒腰,,,100163,300265,,1,15254,13,
505,胜利（高兴）,,,100155,300266,,1,15255,14,
506,感谢,,,100131,300267,,1,15256,15,
507,休闲动作,,,100130,300268,,1,15257,16,
508,倒地,,,100157,300269,,1,15258,17,
509,pose1,,,100133,300270,,1,15259,18,
,打招呼,,,100140,,,0,,9,
,低头思考,,,100162,,,0,,10,
,哭泣,,,100159,,,0,,11,
,生气,,,100158,,,0,,12,
,伸懒腰,,,100163,,,0,,13,
,胜利（高兴）,,,100155,,,0,,14,
,感谢,,,100131,,,0,,15,
,休闲动作,,,100130,,,0,,16,
,倒地,,,100157,,,0,,17,
,pose1,,,100133,,,0,,18,
