ID,名字,描述,追踪
1039,Baaaa,"Defeat the sheep to pick up #L#cfa7a0f raw lamb leg #n@1#r (the sheep eat grass, bleating)",Get #cfa7a0fraw sheep legs
1040,Wool,Defeat the sheep or use scissors to pick up #L#cfa7a0f wool #n@1,Get #cfa7a0fsheep wool
1041,Wool carpet,Make #L#cfa7a0f floor mat #n@1,Make a #cfa7a0fcarpet
1042,Love for Beauty,"Pick up #L#cfa7a0f flower #n@1#r (beautiful flowers, relatively rare)",Get #cfa7a0fflowers
1043,World of colors,Make a #L#cfa7a0f paint #n@1,Make #cfa7a0fdye
1044,"Hey, it is very nice",Make #L#cfa7a0f red wool #n@1,Make #cfa7a0fRed Wool
1045,Rail tour,Make #L#cfa7a0f rail node #n@1,Make #cfa7a0firon rails
1046,Set off!,Make #L#cfa7a0f rail car #n@1,Make a #cfa7a0fmine car
1047,Chef,Automatically complete the task after completing the predecessor task,Make a #cfa7a0ffeast
1048,To live,Automatically complete the task after completing the predecessor task,Make #cfa7a0fred glass
1049,Piggy Trainer,Use Grass/Meat Feed or Cucumber Feast to feed two Piggys next to the haystack and breed 200 Little Piggys@1,Breed #cfa7a0f Little Piggy
1050,Cow Herd,Use A Handful of Weeds or Grass Feed to feed two Cows next to the haystack and breed 200 Calf@1,Breed #cfa7a0f Calf
1051,Baa!,Use A Handful of Weeds or Grass Feed to feed two Sheep next to the haystack and breed 200 Little Sheep@1,Breed #cfa7a0f Little Sheep
1052,Summon Chick,Use Grass Feed to feed two Chickens next to the Chicken Coop and breed 200 Chicks@1,Breed #cfa7a0fChicks
1053,Large-scale Breeding Base,Automatically complete the task after the prerequisite task is done,Complete #cfa7a0fBreeding Animals series achievements
1054,Stone spear,Make 1 #L#cfa7a0f stone spear #n@1#r (Danger always appears in the dark),Make a #cfa7a0fStone Spear
1055,Sharper,Make 1 #L#cfa7a0f iron sword#n@1#r (building a house can effectively protect yourself),Make an #cfa7a0fIron Sword
1056,Useless materials,"Make 1 #L#cfa7a0f long spear#n@1#r (fully equipped, no fear of being attacked)",Make a #cfa7a0fGold Sword
1057,Kill monsters like grass,Make 1 #L#cfa7a0f energy sword #n@1#r (Now we need to punish those boarman who bully),Make a #cfa7a0fDiamond Sword
1058,Long-range strike,"Make 1 #L#cfa7a0f wooden short bow#n@1#r (the wooden short bow can be shot farther when it is fully drawn, and arrows are needed)",Make a #cfa7a0fbow
1059,I need arrows,Make 1 #L#cfa7a0f arrow #n@1,Make #cfa7a0farrows
1060,Leather helmet,Make 1 #L#cfa7a0f leather helmet #n@1#r (can be worn on the body to increase defense),Make a #cfa7a0fleather helmet
1061,Iron helmet,"Make 1 #L#cfa7a0f iron helmet #n@1#r (practical equipment, increase defense)",Make an #cfa7a0firon helmet
1062,Diamond helmet,"Make 1 #L#cfa7a0f diamond helmet #n@1#r (advanced equipment, add a lot of defense)",Make a #cfa7a0fdiamond helmet
1063,Leather chest armor,Make 1 #L#cfa7a0f leather armor #n@1#r (can be worn on the body to increase defense),Make a #cfa7a0fleather chest armor
1064,Iron chest armor,"Make 1 #L#cfa7a0f iron armor #n@1#r (practical equipment, increase defense)",Make an #cfa7a0firon chest armor
1065,Diamond chest armor,"Make 1 #L#cfa7a0f diamond armor #n@1#r (high-level equipment, add a lot of defense)",Make a #cfa7a0fdiamond chest armor
1066,Leather Greave,Make 1 #L#cfa7a0f leather greave #n@1#r (can be worn on the body to increase defense),Make a #cfa7a0fLeather Greave
1067,Iron Greave,"Make 1 #L#cfa7a0f iron greave #n@1#r (practical equipment, increase defense)",Make an #cfa7a0fIron Greave
1068,Diamond Greave,"Make 1 #L#cfa7a0f diamond greave #n@1#r (advanced equipment, add a lot of defense)",Make a #cfa7a0fDiamond Greave
1069,Leather Boot,Make 1 pair of #L#cfa7a0f leather boots #n@1#r (can be worn on the body to increase defense),Make #cfa7a0fLeather boot
1070,Iron Boot,"Make 1 pair of #L#cfa7a0f iron boots #n@1#r (practical equipment, increase defense)",Make #cfa7a0firon boots
1071,Diamond Boot,"Make 1 pair of #L#cfa7a0f diamond boots #n@1#r (advanced equipment, add a lot of defense)",Make #cfa7a0fdiamond boots
1072,@Null@,@Null@,@Null@
1073,Defense master,You have become an equipment master@1,Complete all #cfa7a0fdefense achievements
1074,I need paper,Make 1 #L#cfa7a0f paper@1#r (made by collecting sugarcane),Make #cfa7a0fpaper
1075,Enchanted book,Make 1 #L#cfa7a0f blank manual #n@1,Make a #cfa7a0fblank book
1076,Master enchanter,Automatically complete the task after completing the predecessor task,Complete all #cfa7a0fenchantment achievements
1077,Defeat them!,Automatically complete the task after completing the predecessor task,Defeat #cfa7a0fmonsters
1078,Enemy of Hunters,Defeat Spear Goblin ×200 @1,Defeat #cfa7a0fSpear Goblin
1079,Public Enemy of the Earth,Defeat 100 Void Apostles @1,Defeat #cfa7a0fVoid Apostles
1080,Enemy of Boarmen,Defeat Boarman ×500 @1,Defeat #cfa7a0fBoarman
1081,Boom Egg!,Defeat Boom Egg ×200 @1,Defeat #cfa7a0fBoom egg
1082,Legend,Automatically complete the task after the prerequisite task is done,Complete #cfa7a0fDefeat Miras Creatures Series Achievements
1083,Hard-working Miner (I),Craft #L#cfa7a0fStone Pickaxe ×100#n@1#r(Stone Pickaxe can mine Mithril Ores),Craft #cfa7a0fStone Pickaxe
1084,Hard-working Miner (II),Craft #L#cfa7a0fMithril Pickaxe ×50#n@1#r(Mithril Pickaxe can collect Advanced Ore),Craft #cfa7a0fMithril Pickaxe
1085,Hard-working Miner (III),Craft #L#cfa7a0fTungsten Drill ×20#n@1#r(Tungsten Drills can be used to collect Ores),Craft #cfa7a0fTungsten Drill
1086,Glass (I),Melt #L#cfa7a0fGlass ×10#n@1,Melt #cfa7a0fGlass
1087,Glass (II),Melt #L#cfa7a0fGlass ×10#n@1,Melt #cfa7a0fGlass
1088,Glass (III),Melt #L#cfa7a0fGlass ×2000#n@1,Melt #cfa7a0fGlass
1089,Mithril Collector (I),Melt #L#cfa7a0fMithril ×10#n@1,Melt #cfa7a0fMithril
1090,Mithril Collector (II),Melt #L#cfa7a0fMithril ×100#n@1,Melt #cfa7a0fMithril
1091,Mithril Collector (III),Melt #L#cfa7a0fMithril ×300#n@1,Melt #cfa7a0fMithril
1092,Tungsten Ore (I),Collect #L#cfa7a0fTungsten Ore ×10#n@1,Collect #cfa7a0fTungsten Ore
1093,Tungsten Ore (II),Collect #L#cfa7a0fTungsten Ore ×50#n@1,Collect #cfa7a0fTungsten Ore
1094,Tungsten Ore (III),Collect #L#cfa7a0fTungsten Ore ×200#n@1,Collect #cfa7a0fTungsten Ore
1095,Training Master (I),Tame Wolf ×1 with Egg@1,Tame #cfa7a0fWolf
1096,Training Master (II),Tame Wolf ×5 with Eggs@1,Tame #cfa7a0fWolf
1097,Training Master (III),Tame Wolf ×20 with Eggs@1,Tame #cfa7a0fWolf
1098,Flamo (I),Melt #L#cfa7a0fFlamo ×5#n@1,Melt #cfa7a0fFlamo
1099,Flamo (II),Melt #L#cfa7a0fFlamo ×100#n@1,Melt #cfa7a0fFlamo
1100,Flamo (III),Melt #L#cfa7a0fFlamo ×500#n@1,Melt #cfa7a0fFlamo
1101,Celesthium Master (I),Collect #L#cfa7a0fCelesthium Ore ×10#n@1,Collect #cfa7a0fCelesthium Ore
1102,Celesthium Master (II),Collect #L#cfa7a0fCelesthium Ore ×200#n@1,Collect #cfa7a0fCelesthium Ore
1103,Celesthium Master (III),Collect #L#cfa7a0fCelesthium Ore ×500#n@1,Collect #cfa7a0fCelesthium Ore
1104,I Need Arrows (I),Craft #L#cfa7a0fStone Arrow ×10#n @1,Craft #cfa7a0fStone Arrow
1105,I Need Arrows (II),Craft #L#cfa7a0fStone Arrow ×100#n @1,Craft #cfa7a0fStone Arrow
1106,I Need Arrows (III),Craft #L#cfa7a0fStone Arrow ×1000#n @1,Craft #cfa7a0fStone Arrow
1107,Forest Guardian (I),Grow over 10 trees@1#r(Use #L#cfa7a0fTree Seed#n for growing),Grow #cfa7a0fTree
1108,Forest Guardian (II),Grow over 200 trees@1#r(Use #L#cfa7a0fTree Seed#n for growing),Grow #cfa7a0fTree
1109,Forest Guardian (III),Grow over 2000 trees@1#r(Use #L#cfa7a0fTree Seed#n for growing),Grow #cfa7a0fTree
1110,Pork Chops! (I),Cook #L#cfa7a0fRoast Pork Chop ×50#n@1,Cook #cfa7a0fRoast Pork Chop
1111,Pork Chops! (II),Cook #L#cfa7a0fRoast Pork Chop ×200#n@1,Cook #cfa7a0fRoast Pork Chop
1112,Pork Chops! (III),Cook #L#cfa7a0fRoast Pork Chop ×1000#n@1,Cook #cfa7a0fRoast Pork Chop
1113,Beef! (I),Cook #L#cfa7a0fRoast Beef ×50#n@1,Cook #cfa7a0fRoast Beef
1114,Beef! (II),Cook #L#cfa7a0fRoast Beef ×200#n@1,Cook #cfa7a0fRoast Beef
1115,Beef! (III),Cook #L#cfa7a0fRoast Beef ×1000#n@1,Cook #cfa7a0fRoast Beef
1116,Roast Chicken! (I),Cook #L#cfa7a0fRoast Chicken ×50#n@1,Cook #cfa7a0fRoast Chicken
1117,Roast Chicken! (II),Cook #L#cfa7a0fRoast Chicken ×200#n@1,Cook #cfa7a0fRoast Chicken
1118,Roast Chicken! (III),Cook 1000 #L#cfa7a0f Roast Chicken#n@1,Cook #cfa7a0fRoasted Chicken
1119,Roast Lamb! (I),Cook #L#cfa7a0fRoast Lambs ×50#n@1,Cook #cfa7a0fRoast Lambs
1120,Roast Lamb! (II),Cook #L#cfa7a0fRoast Lambs ×200#n@1,Cook #cfa7a0fRoast Lamb
1121,Roast Lamb! (III),Cook #L#cfa7a0fRoast Lambs ×1000#n@1,Cook #cfa7a0fRoast Lamb
1122,Cotton (I),Craft #L#cfa7a0fCotton Block ×50#n @1,Craft #cfa7a0fCotton Block
1123,Cotton (II),Craft #L#cfa7a0fCotton Block ×200#n @1,Craft #cfa7a0fCotton Block
1124,Cotton (III),Craft #L#cfa7a0fCotton Block ×1000#n @1,Craft #cfa7a0fCotton Block
1125,Rock Crusher (I),Mine #L#cfa7a0fRock ×100#n@1,Mine #cfa7a0fRock
1126,Rock Crusher (II),Mine #L#cfa7a0fRock ×1000#n@1,Mine #cfa7a0fRock
1127,Rock Crusher (III),Mine #L#cfa7a0fRock ×5000#n@1,Mine #cfa7a0fRock
1128,I'm afraid of darkness (I),Craft #L#cfa7a0fBurning Torch ×50#n@1,Craft #cfa7a0fBurning Torch
1129,I'm afraid of darkness (II),Craft #L#cfa7a0fBurning Torch ×200#n@1,Craft #cfa7a0fBurning Torch
1130,I'm afraid of darkness (III),Craft #L#cfa7a0fBurning Torch ×500#n@1,Craft #cfa7a0fBurning Torch
1131,Resurrection (I),Failed once @1,#cfa7a0fFailed
1132,Resurrection (II),Failed 100 times @1,#cfa7a0fFailed
1133,Resurrection (III),Failed 500 times @1,#cfa7a0fFailed
1134,Ocean Cuisine (I),Cook #L#cfa7a0fRoast Gugufish ×1#n,Cook #cfa7a0fRoast Gugufish
1135,Ocean Cuisine (II),Cook #L#cfa7a0fRoast Gugufish ×10#n,Cook #cfa7a0fRoast Gugufish
1136,Ocean Cuisine (III),Cook #L#cfa7a0fRoast Gugufish ×100#n,Cook #cfa7a0fRoast Gugufish
1137,The End of Chaos,Defeat Chaos Black Dragon#r (Chaotic Black Dragon: \(-^-)/)@1,Defeat #cfa7a0fBlack Dragon Of Chaos
1138,Build a Spaceship,Collecting materials to make #L#cfa7a0f rocket #n@1,Craft #cfa7a0fSpaceship
1139,Land on Horas!,Take a rocket to Horas to collect #L#cfa7a0f horas rock #n@1,Mine #cfa7a0f Horas Rock
1140,Rune Activated,Use #L#cfa7a0f regen rune #n to activate totem@1,Activate #cfa7a0fRune
1141,Horas copper drill,Make #L#cfa7a0f horas copper drill#n@1,Craft #cfa7a0fHoras Copper drill
1142,Hook them!,Make #L#cfa7a0f hook shot #n@1,Craft #cfa7a0fHook Shot
1143,To be continued,More adventrue is on the way,More adventrue is on the way
1144,Oxygen Inventor,"Use Pearl, Reef, Brass, and Timber to craft #L#cfa7a0fOxygen Pump#n@1",Craft #cfa7a0fOxygen Pump
1145,Well Prepared,Use Ice Glass and Brass to craft #L#cfa7a0fGas Tank#n@1,Craft #cfa7a0fGas Tank
1146,Space Joy,Use Gas Tank and Horas Copper to craft #L#cfa7a0fOxygen Backpack#n@1,Craft #cfa7a0fOxygen Backpack
1147,Space Soil,"Use Horas Grass, Horas Rock, Bottled Water and Fertilizer to craft #L#cfa7a0fMedium#n@1",Craft #cfa7a0fMedium
1148,Space Adventurer,Automatically complete the task after the prerequisite task is done,Complete #cfa7a0fHoras Crafting series achievements
1149,Defeat Rocki,Defeat Rocki ×200 @1,Defeat #cfa7a0fRocki
1150,Defeat Frosti,Defeat Frosti ×200 @1,Defeat #cfa7a0fFrosti
1151,Defeat Bulli,Defeat Bulli ×200 @1,Defeat #cfa7a0fBulli
1152,Defeat Gravity Wizard,Defeat Gravity Wizard ×100 @1,Defeat #cfa7a0fGravity Wizard
1153,Space War!,Automatically complete the task after the prerequisite task is done,Complete #cfa7a0fDefeating Horas Creatures Achievement
1154,Horas Survivor (I),Survive 7 days on Horas @1,Survive on #cfa7a0fHoras
1155,Horas Survivor (II),Survive 60 days on Horas @1,Survive on #cfa7a0fHoras
1156,Horas Survivor (III),Survive 365 days on Horas @1,Survive on #cfa7a0fHoras
1157,Oxy (I),Take #L#cfa7a0fOxy ×10#n @1,Take #cfa7a0fOxy
1158,Oxy (II),Take #L#cfa7a0fOxy ×100#n @1,Take #cfa7a0fOxy
1159,Oxy (III),Take #L#cfa7a0fOxy ×500#n @1,Take #cfa7a0fOxy
1160,Activate Totem (I),Activate #L#cfa7a0fTotem ×5#n @1,Activate #cfa7a0fTotem
1161,Activate Totem (II),Activate #L#cfa7a0fTotem ×50#n @1,Activate #cfa7a0fTotem
1162,Activate Totem (III),Activate #L#cfa7a0fTotem ×300#n @1,Activate #cfa7a0fTotem
1163,Illumination (I),Light up #L#cfa7a0fTotem ×5#n @1,Activate #cfa7a0fTotem
1164,Illumination (II),Light up #L#cfa7a0fTotem ×50#n @1,Activate #cfa7a0fTotem
1165,Illumination (III),Light up #L#cfa7a0fTotem ×300#n @1,Activate #cfa7a0fTotem
1166,Horas Copper Ore (I),Collect #L#cfa7a0fHoras Copper Ore ×10#n@1,Collect #cfa7a0fHoras Copper Ore
1167,Horas Copper Ore (II),Collect #L#cfa7a0fHoras Copper Ore ×100#n@1,Collect #cfa7a0fHoras Copper Ore
1168,Horas Copper Ore (III),Collect #L#cfa7a0fHoras Copper Ore ×500#n@1,Collect #cfa7a0fHoras Copper Ore
1169,Horas Graviti Ore (I),Collect #L#cfa7a0fHoras Gravity Ore ×10#n@1,Collect #cfa7a0fHoras Gravity Ore
1170,Horas Gravity Ore (II),Collect #L#cfa7a0fHoras Gravity Ore ×100#n@1,Collect #cfa7a0fHoras Gravity Ore
1171,Horas Gravity Ore (III),Collect #L#cfa7a0fHoras Gravity Ore ×100#n@1,Collect #cfa7a0fHoras Gravity Ore
1172,Ancient Colossus,Place diamond/malachite/horas bronze/horas graviti block on the 4 blocks next to the totem core and summons the ancient colossus to defeat it @1,Defeat #cfa7a0fColossus Statue
1173,Ancient Colossus,Defeat the Ancient Colossus @1,Defeat #cfa7a0fColossus Statue
1174,@Null@,@Null@,@Null@
1175,I need some wood,Collect wood and get a #L#cfa7a0f wood block #n@1#r (Long press the trunk to collect),Collect #cfa7a0f wood
1176,Craftsmanship!,"Use any wood to make planks, and use 4 planks to make 1 #L#cfa7a0f toolbox #n@1#r (open the backpack first, and choose to make by the label on the left)",Make #cfa7a0f toolbox
1177,@Null@,@Null@,@Null@
1178,@Null@,@Null@,@Null@
1179,@Null@,@Null@,@Null@
1180,@Null@,@Null@,@Null@
1181,@Null@,@Null@,@Null@
1182,@Null@,@Null@,@Null@
1183,@Null@,@Null@,@Null@
1184,@Null@,@Null@,@Null@
1185,@Null@,@Null@,@Null@
1186,@Null@,@Null@,@Null@
1187,@Null@,@Null@,@Null@
1188,@Null@,@Null@,@Null@
1189,@Null@,@Null@,@Null@
1190,@Null@,@Null@,@Null@
1191,@Null@,@Null@,@Null@
1192,@Null@,@Null@,@Null@
1193,@Null@,@Null@,@Null@
1194,@Null@,@Null@,@Null@
1195,@Null@,@Null@,@Null@
1196,@Null@,@Null@,@Null@
1197,@Null@,@Null@,@Null@
1198,@Null@,@Null@,@Null@
1199,@Null@,@Null@,@Null@
1200,@Null@,@Null@,@Null@
1201,Stand firm,Survive 7 days in Hardcore Mode @1,Survive #cfa7a0f day(s)
1202,Booming,Survive 60 days in Hardcore Mode @1,Survive #cfa7a0f day(s)
1203,Survival master,Survive 365 days in Hardcore Mode @1,Survive #cfa7a0f day(s)
1204,Boarmen!,Defeat Boarman ×50 @1,Defeat #cfa7a0fBoarman
1205,Wild Jockey!,Defeat Wild Jockey ×20 @1,Defeat #cfa7a0fWild Jockey
1206,Void Apostles!,Defeat 50 Void Apostles@1,Defeat #cfa7a0fVoid Apostles
1207,Trade,Trade with the Traveling Merchant 20 times @1,Trade with the Traveling Merchant#cfa7a0f
1208,Desert trade,Trade with the Desert Merchant 50 times @1,Trade with the Desert Merchant#cfa7a0f
1209,Icefield trade,Trade with the Icefield Merchant 200 times @1,Trade with the Icefield Merchant#cfa7a0f
1210,Boom Egg!,Defeat Boom Egg ×30 @1,Defeat #cfa7a0fBoom Egg
1211,Sulfur Archer!,Defeat Sulfur Archer ×100 @1,Defeat #cfa7a0fSulfur Archer
1212,Dragon Slayer!,Defeat Ancient Black Dragon @1,Defeat #cfa7a0fAncient Black Dragon
1213,Celesthium Material,Mine #L#cfa7a0fCelesthium Ore ×100#n@1,Mine #cfa7a0fCelesthium Ore
1214,Weapon Storage,Melt #L#cfa7a0fMithril ×500#n@1,Melt #cfa7a0fMithril
1215,One Forever,Mine #L#cfa7a0fTungsten Ore ×20#n @1,Mine #cfa7a0fTungsten Ore
1216,Yummy Roast Chicken,Cook #L#cfa7a0fRoast Chicken Bucket ×100#n @1,Cook #cfa7a0fRoast Chicken Bucket
1217,Noodle King,Cook #L#cfa7a0fBarbecue Noodles ×50#n @1,Cook #cfa7a0fBarbecue Noodles
1218,Is the golden apple safe to eat?,Cook #L#cfa7a0fYummy Food ×50#n @1,Cook #cfa7a0fYummy Food
1219,@Null@,@Null@,@Null@
1220,@Null@,@Null@,@Null@
1221,I Need Some Stones,#cfa7a0fCollect Stones#n or #cfa7a0fcraft Rock#n to get #L#cfa7a0fStones#n@1#r(Long press Stones or dismantle Rock on Backpack - Craft to get),Collect #cfa7a0fStones#n on the ground
1222,More Materials,Cut trees to get #L#cfa7a0fBranches#n@1#r(Long press the tree to collect),Collect #cfa7a0fBranches#n from trees
1223,The Beginning of the Stone Age!,Use Stones and Branches to craft #L#cfa7a0fStone Pickaxe#n@1#r(Craft it on Backpack - Craft page),Craft #cfa7a0fStone Pickaxe
1224,Primal Weapon,"Use Timber to craft #L#cfa7a0fWooden Weapon#n@1#r(It is dangerous at night, so you must use weapon to protect yourself)",Craft #cfa7a0fWooden Weapon
1225,Hunter,Defeat Boarman who haunts the night @1#r(Oh? Do you want to be a hunter?),Defeat #cfa7a0fBoarman
1226,Start a Good Life,Use Stones and Branches to craft #L#cfa7a0fStone Axe#n@1#r(Can I use it to make a house first?),Open the Backpack to craft a #cfa7a0fStone Axe
1227,Lumberjack,Use Stone Axe to destroy a tree and collect #L#cfa7a0fTimber#n@1#r(The source of wealth!),Collect #cfa7a0fTimber
1228,Bonfire Party,Use Rock and Timber to craft #L#cfa7a0fBonfire#n@1#r(At night brightness and warmth will give a sense of security),Craft #cfa7a0fBonfire
1229,"Barbecue, nice!",Place Raw Pork on the Bonfire to cook #L#cfa7a0fCooked Pork#n@1#r(I'm full of strength after eating!),#cfa7a0fBarbecue
1230,Mow The Lawn,Collect grass on the ground to get #L#cfa7a0fA Handful of Weeds#n@1#r(Used to tie things),Collect #cfa7a0fA Handful of Weeds
1231,Let there be light!,Use Branches and A Handful of Weeds to craft #L#cfa7a0fBurning Torch#n@1#r(Simple torch only burns for a short time),Craft #cfa7a0fBurning Torch
1232,Quarrier,Rocks mostly hidden underground. Use Stone Pickaxe to dig down and get #L#cfa7a0fRock#n@1#r(It seems that stones are essential components for most things),Collect #cfa7a0fRock#n underground
1233,Craftsman,"Use Timber and Stones to craft #L#cfa7a0fIncomplete Crafting Table#n@1#r(Wow, you can make more items now)",Craft #cfa7a0fIncomplete Crafting Table
1234,Smelting Table Craftsman,Use Rock and Soil to craft #L#cfa7a0fSmelting Table#n@1#r(Melt the ores and craft metal tools! ),Craft #cfa7a0fSmelting Table#n at the Crafting Table
1235,The First Step to Becoming a Chef,Use Rock to craft #L#cfa7a0fStone Pot#n@1#r(Can make nutritious food),Craft #cfa7a0fStone Pot
1236,Eat Enough to be Strong,Cook Corn Powder in Stone Pot to get #L#cfa7a0fNoodles#n@1#r(Remember to place the Stone Pot on the Bonfire. You can only work hard as you are full!),Cook #cfa7a0fNoodles#n in the Stone Pot
1237,The Beginning of the Bronze Age!,Use Stone Pickaxe to mine #L#cfa7a0fCopper Ore#n underground@1#r(See what I have dug deep underground!),Collect #cfa7a0fCopper Ore
1238,New Energy,Use Stone Pickaxe to collect #L#cfa7a0fFlammable Ice#n underground@1#r(Sometimes they are on the surface and cliffs),Collect #cfa7a0fFlammable Ice
1239,Metal Smelting: Copper,Smelt the Copper Ore in the Smelting Table to get #L#cfa7a0fBrass#n@1#r(Can be used to craft better tools),Smelt to get #cfa7a0fBrass
1240,Copper Furnace Craftsman,Use Brass to craft #L#cfa7a0fCopper Furnace#n@1#r,Craft #cfa7a0fCopper Furnace
1241,Stone Rake,"Use Stones and Branches to craft #L#cfa7a0fStone Rake#n@1#r(With it, you can plow the Farmland)",Craft #cfa7a0fStone Rake
1242,Grain Lord,Sow #L#cfa7a0fCorn Seed#n in Farmland@1#r(Can only be planted in Farmland),Grow #cfa7a0fCorn
1243,@Null@,@Null@,@Null@
1244,@Null@,@Null@,@Null@
1245,@Null@,@Null@,@Null@
1246,@Null@,@Null@,@Null@
1247,Metal Smelting: Mithril,Smelt the Mithril Ore in the Smelting Table to get #L#cfa7a0fMithril#n@1,Smelt to get #cfa7a0fMithril
1248,Mithril Furnace Craftsman,Use Mithril to craft #L#cfa7a0fMithril Furnace#n@1,Craft #cfa7a0fMithril Furnace#n at the Crafting Table
1249,Rune Tool!,"Use Rune Table to perform Rune Engraving@1#r(Engrave Efficiency Rune on Tool, Attack Rune on Weapon and Defense Rune on Armor)",Perform #cfa7a0fRune Engraving
1250,Metal Smelting: Titanium,Smelt the Titanium Ore in the Furnace to get #L#cfa7a0fTitanium#n@1,Smelt to get #cfa7a0fTitanium
1251,The Beginning Of The Technological Age!,Use Titanium and Branches to craft #L#cfa7a0fTitanium Pickaxe#n@1#r(Mining time!),Craft #cfa7a0fTitanium Pickaxe
1252,Not The Same Material,Search for #L#cfa7a0fSmart Chip#n on the Floating Island @1#r(Go out and explore into the distance!),Get #cfa7a0fSmart Chip
