ID,名字,描述,获得方式
26,Drift Bottle,#c0aba1dCharge power#n and throw it into oceans or rivers. It will flow away and may someday be found by someone else.,Obtained by putting @item_11806# into @item_28#.
27,Drift Bottle from Afar,"The notes sealed in drift bottles may contain important info, sincere wishes, or someone's thoughts. It seems to have travelled through distance and time... Place the bottle on the ground and take out the note to read it...",Chance to get it from fishing or exploring the ocean.
28,Small Glass Bottle (Block),Place and put @item_11806# with letters into it.,
29,Yellow Sand,It can be quickly collected with #c0aba1dShovels#n and can be used to craft @item_11305# which are used to smelt @item_632#.,Commonly seen around #c0aba1dwater#n and #c0aba1ddesert#n.
30,unavailable in this version,Please upgrade your game to the most recent version!,@Null@
31,Solid Ice Spikes,The Ice Spikes are quite #c0aba1dstable#n. Make sure to wear a helmet when you're around them!,
32,Floating Ice Spikes,These Ice Spikes are quite likely to #c0aba1ddrop#n. Make sure to wear a helmet when you're around them!,
33,Ordinary Crystal Core Ore,Need to be collected with @item_11013# or more advanced ones.,Rare ores that may appear in the #c0aba1dSnow Mountain Caves#n of the Icefield and the #c0aba1dunderground#n of the Rainforest.
34,Frostfire Ore,Ores that emit chilling cold. Need to be collected with @item_11011# or more advanced ones. It'll #c0aba1dlower the surrounding temperature#n.,Rare ores that may appear in the #c0aba1dSnow Mountain Caves#n of the Icefield.
35,Frostfire Stone,A chilling block crafted from lots of @item_11824#. It'll #c0aba1dsignificantly lower the surrounding temperature#n.,
36,Cave Entrance Refresh,,
37,Cave Tunnel Refresh,,
38,Cave Cavern Refresh,,
39,Cave Hole Refresh,,
40,Void Crystal Block,"Crafted using Void Crystal Blocks, this special block illuminates the surrounding space. Be cautious when placing it beneath @item_596#, as it may attract the most powerful monsters during the Void Night. Use it wisely!",
100,Grassy Soil Block,"A block on the surface, can be quickly collected with shovels. #c0aba1dUse Rakes to make it into @item_102#. Use Shovels to make it a @item_103#.",Get it by using @item_11226# on @item_101#.
101,Soil,Use @item_11226# or after raining may turn into @item_100#. Can be quickly collected with shovels. #c0aba1dUse Rakes to make it into @item_102#. Use Shovels to make it into @item_103#.,You can find it everywhere under the surface
102,Farmland,You can grow crops on it. Keep it near water or irrigate it to keep it moist and suitable for crop growth.,
103,Pit,You can grow flower seeds or saplings on it. Keep it near water or irrigate it to keep it moist and suitable for plant growth.,
104,Rock,"Can be seen everywhere underground, and can be quickly collected with Pickaxes.",
105,Moss Stone,Building material crafted with stones and mosses.,
106,Fine Yellow Sand,Commonly seen around water and desert areas. It can be quickly collected with Shovels and can be used to craft Quartz Sand which are used to make glasses. #rIt will fall down by gravity.,Common in waterfront and desert areas
107,Rubble,"Unstable rubble. Can be mined quickly with Shovels.#r When it's empty, standing on it may cause collapse. Be careful.",
108,Plain Brick,Building material crafted from @item_29#,
109,Sand Soil,Poor nutrient soil. Plants cannot grow on them. Can be quickly mined with Shovels.,
110,Stone,Small rock weathered by wind. Mine it to get @item_11627# which are used to craft stone tools.,
111,unavailable in this version,快去下载最新的游戏版本吧！,@Null@
112,Black Crystal,"Affected by the Void Phantom, the geological structure has changed drastically, and the ore no longer exists.",
113,Floating Ice,Floating ice on the water surface. It can be smashed into sparkling dusts and disappear.,
114,Mud,Blocks commonly seen underwater. Can be quickly collected with Pickaxes.,
115,Fluffy Snow,A thin soft snow lamina at the height of a quarter grid. Can be stacked to change the thickness.,
116,Horas Rock,"A special Horas Rock, which is highly resistant to blasts. Can be collected with @item_11013# or more advanced ones.",
117,Horas Grass Block,"Horas Grass Block, which contains basic nutrients for plant growth. Need to be collected with item_11023# or more advanced ones.",
118,Horas Cloud,A cloud block around the Floating Island of Horas. It will break when you step on it!,
119,Dry Soil,"On Horas, @item_100# from Miras need to be placed on the @item_1050# to stay nutritious, otherwise they'll wither into Dry Soil.",
120,Frozen Soil,"In cold environments, @item_100# and @item_101# will transform into @item_120#. Plants that thrive in cold environments need to grow on this type of soil.",
121,Frozen Pit,Seeds and saplings of flowers and trees that prefer cold environments can be planted here.,
122,Thick Snow,Thick snow that melts into water when meeting #c0aba1dlava#n. It'll #c0aba1dslightly lower the environment temperature#n.,
123,Natural Ice,"It's commonly seen in cold and snowy areas, and will melt into water in #c0aba1dhigh-temperature environments#n. Can be quickly collected with Pickaxes. It'll #c0aba1dslightly lower the surrounding temperature#n.",
124,Sulfur Rock,"A common rock in the Flamas, which can be smelt into @item_11214# at the Smelting Table. Can be quickly collected with Pickaxes.",
125,Searing Sand,Searing yellow sand. Can be quickly collected with Shovels.,
126,Magic Rock,Block coming from the Unknown Place. Highly resistant to blasts.,Merchants may sell it.
127,Sponge,A decorative block.,
128,Red Sand,"The rarely seen red beach contains rich minerals, which will become very unstable after mixed with @item_11201#",You may find it on Red Clay islands or Coral islands.
129,Thick Snow,Do you want snowballs?,
130,Thick Snow Block,Do you want to make a snowman or have a snowball fight together?,@Null@
131,Solid Ice,Indestructible ice.,@Null@
132,Sulfur Crystal Sand,"Appears in the lava of Flamas. Can only be collected with @item_11025#. It is one of the essential materials to craft @item_11219# and will erupt when blocked by any fluid. #r#c0aba1dLife matters, please do not imitate any in-game behavior#n",
133,Empty Honeycomb,Empty honeycomb. Place it under @item_255# to get honey.,
134,Full Honeycomb,Honeycomb full of honey. Watch out for bees! Use a @item_11320# on it to get @item_12511#,
135,Horas Totem-Earth,An important statue in the ancient civilization. It's now only used for decoration.,Collected from the ancient ruins of the Horas
136,Horas Totem-Sky,An important statue in the ancient civilization. It's now only used for decoration.,Collected from the ancient ruins of the Horas
137,Horas pit,@Null@,@Null@
138,Toxic Block,@Null@,@Null@
139,BOSS Fight Utility Block,@Null@,@Null@
140,Life Plinth,"The Plinth left by the ""Ancient"" civilization, connecting the life power of Miras.",@Null@
141,Courage Plinth,"The Plinth left by the ""Ancient"" civilization, connecting the courage power of Flamas.",@Null@
142,Wisdom Plinth,"The Plinth left by the ""Ancient"" civilization, connecting the wisdom power of Horas.",@Null@
143,Broken Plinth,An ancient plinth which can't be restored to its original state once excavated.,@Null@
144,Crimson Butterfly Bottle,Place it to illuminate the surrounding small area.,Obtained by using @item_11320# to capture butterflies on the Floating Island.
145,Cyan Butterfly Bottle,Place it to illuminate the surrounding small area.,Obtained by using @item_11320# to capture butterflies on the Floating Island.
146,Fragrant Butterfly Bottle,Place it to illuminate the surrounding small area.,Obtained by using @item_11320# to capture butterflies on the Floating Island.
147,White Butterfly Bottle,Place it to illuminate the surrounding small area.,Obtained by using @item_11320# to capture butterflies on the Floating Island.
148,Dragonkin Butterfly Bottle,Place it to illuminate the surrounding small area.,Obtained by using @item_11320# to capture butterflies on the Floating Island.
149,Bell Butterfly Bottle,Place it to illuminate the surrounding small area.,Obtained by using @item_11320# to capture butterflies on the Floating Island.
150,Red Clay Farmland,You can grow special crops on it. Keep it near water or shower it to keep it moist.,Obtained via cultivating @item_233# with rakes.
151,Red Clay Pit,You can grow special plants on it. Keep it near water or shower it to keep it moist.,Obtained via cultivating @item_233# with shovels.
152,Horas Rock Upright Lamina,"Upright stone plate, light and thin. Can be stacked to change the thickness.",Craft it with Horas Rock on the Crafting Table
153,Bamboo Upright Lamina,"Upright wooden board, light and thin. Can be stacked to change the thickness.",Craft it with Bamboo on the Crafting Table
154,Carmine Upright Lamina,"Upright wooden board, light and thin. Can be stacked to change the thickness.",Craft it with Carmine Dye on the Crafting Table
155,Cement Brick Upright Lamina,"Upright stone plate, light and thin. Can be stacked to change the thickness.",Craft it with Cement Brick on the Crafting Table
156,Sulfur Brick Upright Lamina,"Upright stone plate, light and thin. Can be stacked to change the thickness.",Craft it with Sulfur Brick Block on the Crafting Table
157,Stone Upright Lamina,"Upright stone plate, light and thin. Can be stacked to change the thickness.",Craft it with Stone on the Crafting Table
158,Fine Brick Upright Lamina,"Upright stone plate, light and thin. Can be stacked to change the thickness.",Craft it with Rock on the Crafting Table
159,Titanium Upright Lamina,"Upright metal plate, light and thin. Can be stacked to change the thickness.",Craft it with Titanium on the Crafting Table
160,Brass Upright Lamina,"Upright metal plate, light and thin. Can be stacked to change the thickness.",Craft it with Brass on the Crafting Table
161,Mica Upright Lamina,"Upright metal plate, light and thin. Can be stacked to change the thickness.",Craft it with Mica on the Crafting Table
162,Mithril Upright Lamina,"Upright metal plate, light and thin. Can be stacked to change the thickness.",Craft it with Mithril on the Crafting Table
163,Flamo Upright Lamina,"Upright metal plate, light and thin. Can be stacked to change the thickness.",Craft it with Flamo on the Crafting Table
164,Citrine Upright Lamina,"Upright wooden board, light and thin. Can be stacked to change the thickness.",Craft it with Citrine Dye on the Crafting Table
165,Cinerous Upright Lamina,"Upright wooden board, light and thin. Can be stacked to change the thickness.",Craft it with Cinerous Dye on the Crafting Table
166,Crimson Upright Lamina,"Upright wooden board, light and thin. Can be stacked to change the thickness.",Craft it with Crimson Dye on the Crafting Table
167,Sunset Orange Upright Lamina,"Upright wooden board, light and thin. Can be stacked to change the thickness.",Craft it with Sunset Orange Dye on the Crafting Table
168,Begonia Red Upright Lamina,"Upright wooden board, light and thin. Can be stacked to change the thickness.",Craft it with Begonia Red Dye on the Crafting Table
169,Ivory Upright Lamina,"Upright wooden board, light and thin. Can be stacked to change the thickness.",Craft it with Ivory Dye on the Crafting Table
170,Dark Orange Upright Lamina,"Upright wooden board, light and thin. Can be stacked to change the thickness.",Craft it with Dark Orange Dye on the Crafting Table
171,Upright Lamina,"Upright wooden board, light and thin. Can be stacked to change the thickness.",Craft it with Timber on the Crafting Table
172,Yellow Brick Upright Lamina,"Upright stone plate, light and thin. Can be stacked to change the thickness.",Craft it with Yellow Brick on the Crafting Table
173,Mn Block Upright Lamina,"Upright metal plate, light and thin. Can be stacked to change the thickness.",Craft it with Mn Nodule on the Crafting Table
174,Hoary Upright Lamina,"Upright wooden board, light and thin. Can be stacked to change the thickness.",Craft it with Hoary Dye on the Crafting Table
200,Cherry Wood,Cherry trunk. Can be crafted into @item_11323# on the @item_800#. Used as decoration or fuel.,Collected with axes inlaid with #c0aba1dintact#n Runes.
201,Larch Wood,Larch trunk. Can be crafted into @item_11323# on the @item_800#. Used as decoration or fuel.,Collected with axes inlaid with #c0aba1dintact#n Runes.
202,Poplar Wood,Poplar trunk. Can be crafted into @item_11323# on the @item_800#. Used as decoration or fuel.,Collected with axes inlaid with #c0aba1dintact#n Runes.
203,Redwood,Redwood trunk. Can be crafted into @item_11323# on the @item_800#. Used as decoration or fuel.,Collected with axes inlaid with #c0aba1dintact#n Runes.
204,Phoebe Wood,Phoebe trunk. Can be crafted into @item_11323# on the @item_800#. Used as decoration or fuel.,Collected with axes inlaid with #c0aba1dintact#n Runes.
205,Walnut Wood,Walnut trunk. Can be crafted into @item_11323# on the @item_800#. Used as decoration or fuel.,Collected with axes inlaid with #c0aba1dintact#n Runes.
206,Wooden Board,A basic building material widely used in wooden buildings.,Craft it with Timber on the Crafting Table
207,Dark Orange Board,A basic building material widely used in wooden buildings.,Craft it with Dark Orange Dye on the Crafting Table
208,Ivory Board,A basic building material widely used in wooden buildings.,Craft it with Ivory Dye on the Crafting Table
209,Begonia Red Board,A basic building material widely used in wooden buildings.,Craft it with Begonia Red Dye on the Crafting Table
210,Sunset Orange Board,A basic building material widely used in wooden buildings.,Craft it with Sunset Orange Dye on the Crafting Table
211,Crimson Board,A basic building material widely used in wooden buildings.,Craft it with Crimson Dye on the Crafting Table
212,Cherry Sapling,Can be used as fuel but burns quickly.,Obtained by chance from destroying Fruit Tree Leaves.
213,Larch Sapling,Can be used as fuel but burns quickly.,Obtained by chance from destroying Larch Leaves.
214,Poplar Sapling,Can be used as fuel but burns quickly.,Obtained by chance from destroying Poplar Leaves.
215,Redwood Sapling,Can be used as fuel but burns quickly.,Obtained by chance from destroying Redwood Leaves.
216,Phoebe Sapling,Can be used as fuel but burns quickly.,Obtained by chance from destroying Phoebe Leaves.
217,Walnut Sapling,Can be used as fuel but burns quickly.,Obtained by chance from destroying Walnut Leaves.
218,Cherry Wood Leaves,Can be used as fuel for @item_1200# or as #c0aba1dsnowman's headwear#n.,
219,Larch Leaves,Can be used as fuel for @item_1200# or as #c0aba1dsnowman's headwear#n.,
220,Poplar Leaves,Can be used as fuel for @item_1200# or as #c0aba1dsnowman's headwear#n.,
221,Redwood Leaves,Can be used as fuel for @item_1200# or as #c0aba1dsnowman's headwear#n.,
222,Phoebe Leaves,Can be used as fuel for @item_1200# or as #c0aba1dsnowman's headwear#n.,
223,Walnut Leaves,Can be used as fuel for @item_1200# or as #c0aba1dsnowman's headwear#n.,
224,Grass,"After #c0aba1dbeing destroyed#n, it has a chance to drop @item_11226#",
225,Withered Grass,"#c0aba1dShovels#n can be used to reap @item_225#, while other tools can only reap @item_11226#",The thriving grasses keep withering and thriving year after year.
226,Soil-shoot,"A plant that thrives in the shadows and serves as a raw ingredient for cooking. Consuming it directly #c0aba1drestores Stamina#n, but be aware that it may cause #c0aba1ddigestive issues#n. It is rumored to have intriguing interactions with the #c0aba1dHoras Spore Tree#n on Horas Island.",
227,Perilla,"A plant that thrives in the shadows and serves as a raw ingredient for cooking. Consuming it directly #c0aba1drestores Stamina#n, but be aware that it may cause #c0aba1ddigestive issues#n. It is rumored to have intriguing interactions with the #c0aba1dHoras Spore Tree#n on Horas Island.",
228,Hollyhock,#c0aba1dFeed Antlered Deers#n to facilitate them into the #c0aba1dmilk production#n status,Grows in the #c0aba1drainforest#n
229,Corn,"Can be crafted into @item_344#, and @item_344# is the basic raw material for cooking. Can be roasted on @item_1200#","Plant @item_11400# on @item_102#, or by harvesting Wild Corn to obtain"
230,Giant Buru,,Plant @item_11401# on @item_102# to obtain
231,Giant Buru Seedling,"With sunlight and water, fruits will grow on the seedlings after a while.",
232,Aerial Root,Aerial root of a large tree. Tough and strong enough to carry a man. Don't climb too high or you might fall!,
233,Red Clay,"There is a legendary island at sea, covered in red soil everywhere. The rarely seen red soil contains rich and strange ingredients, which can trigger wonderful changes in plants growing there.",
234,Rice,"Grows in the #c0aba1dwaters of the basin#n. Can be crafted into @item_12528#, then can be further cooked into @item_12529# in @item_794##rFeeding it to Dodo can make Dodo breed.",Obtained by growing @item_11404# on the water surface at a height of one grid with @item_101# or @item_29# as the bottom.
236,Cucumber,Can be grown on @item_102#.#rYou can feed #c0aba1dDwen#n to get @item_11311#.,Obtained by chance from destroying Clay Jar or defeating Boom Egg.
237,Redwood Fruit,Fruit of redwood. A cooking material.,
238,Thorn Grass,"Grass full of thorns. After #c0aba1dbeing destroyed#n, it has a chance to drop @item_11226#",
239,Giant Scaly Fruit,It's too big for your mouth! You need to split it first! Need to be crafted on the @item_800#,Plant @item_11402# on @item_101# to obtain.
240,Giant Scaly Fruit Seedling,"With sunlight and water, fruits will grow on the seedlings after a while.",
241,Sweetpotato,Can be planted on @item_101#. Can be roasted on @item_1200#,Has a chance to obtain by destroying Clay Jars
242,Cereus Stem,Grows in the #c0aba1ddesert#n. Craft it with the @item_12001# to get spiked weapons!,Obtained by sowing @item_11420# in the @item_103#
243,Wild Corn,"After being destroyed, it has a chance to drop @item_229#",The wild grown corn is not very nutritious.
244,Christmas Tree,An Evergreen Tree decorated by Santa. Normally used to decorate buildings.,Purchased from Santa Claus' shop during the Christmas Event.
245,Aquatic Plant,"An aquatic plant growing in the #c0aba1dshallow sea#n. Its intricate branches can entangle creatures and items on it, so try not to stay there too long. If you're lucky enough, you may also find rare treasures there.",Destroy the Aquatic Plants to obtain.
246,Seaweed,A common aquatic plant growing in the #c0aba1dshallow sea#n. Destroy it for a chance to get @item_12615#,Inlay intact Rune to get Seaweed.
247,Floating Petal,Scattered #c0aba1don the surface of water#n. Can be used as decoration.,Destroy Duckweed to obtain.
248,Floating Wooden Board,Place it on the surface of water to hold a #c0aba1dload#n.,Craft it with Wooden Board on the Crafting Table
249,Pinecone,Fruit of Larch. Can be made into delicious food.,
250,Lotus,Grows #c0aba1don the surface of water#n. Can be used as decoration.,Destroy Lotus to obtain.
251,Bamboo,There's a chance to #c0aba1dtame#n #c0aba1dPandas#n after using it on them.#r#c0aba1dFeeding#n it to Tamed Pandas to get a @item_11312#,Grows in the #c0aba1dBamboo Forest#n. Can also be obtained by growing @item_253# in the @item_103#
252,Bamboo Leaves,Can be used as a decoration. There's a chance to obtain @item_253# after being destroyed.,
253,Bamboo Shoot,"Sow it in a @item_103#, and it will grow into @item_251#",Obtained by chance from destroying @item_252#
254,Peachwood,"Can quickly collect by using #c0aba1dAxe Tools#n #rCan be crafted into @item_11323#, or used as fuel.",
255,Peach Leaves,Can be used as fuel for @item_1200# or as raw materials for oxygen production.#rFeeding it to Redchisk can make it breed. It can also be used as #c0aba1dsnowman's headwear#n.,
256,Peach Sapling,"Sow it in a @item_103#, and it will grow into a Peach Tree.",Obtained by chance from destroying @item_255#
257,Genwood,"Can quickly collect by using #c0aba1dAxe Tools#n #rCan be crafted into @item_11323#, or used as fuel.",
258,Genwood Leaves,Can be used as fuel for @item_1200# or as #c0aba1dsnowman's headwear#n.,
259,Genwood Sapling,Genwood Seedling,Obtained by chance from destroying @item_258#
260,Bald Genwood,Grows on the barren surface of Horas. @item_12582# can be planted on its side. #rNeed to use @item_11003# or more advanced axe tools to collect,
261,Horas Spore Stipe,Grow @item_226# and @item_227# around it will cause #c0aba1dmutation#n.,Grows in a #c0aba1dshady place below the Floating Island#n of Horas.
262,Moss,"A moist and moisture-rich plant growth. It has the tendency to make the ground slippery, and breaking it will yield @item_11595##r. Even in the shade where the warm sunshine doesn't reach, moss thrives and adds a touch of green vitality",
263,Horas Spore Seed,#c0aba1dSow#n it in dark places on @item_116#. @item_270# will grow after a while.,
264,Cinerous Board,A basic building material widely used in wooden buildings.,
265,Bald Genwood Board,Used to decorate.,
266,Mutated Soil-shoot,"#c0aba1dEat it#n to get the following effects: #r#c0aba1dFluorescent, Crazy Digging, or Digging Exhaustion.",Mutated from @item_270# near the Soil-shoot.
267,Mutated Perilla,"#c0aba1dEat it#n to get the following effects: #r#c0aba1dFluorescent, HP Recovery, or Poisoned.",Mutated from @item_270# near the Perilla.
268,Mutated Plant Stall,,Grows in a #c0aba1dshady place below the Floating Island#n of Horas.
269,Fluorescent Grass,One of the materials to craft @item_12590# and @item_12591#,Grows on the #c0aba1dFloating Island#n of Horas.
270,Horas Spore,"#c0aba1dEat it#n to get a #c0aba1dFluorescent#n, with a chance of getting Night Vision or Dizzy.",Grows in a shady place below the Floating Island of Horas. Can also be obtained from planting @item_263#
271,Horas Spore,"#c0aba1dEat it#n to get a #c0aba1dFluorescent#n, with a chance of getting Night Vision or Dizzy.",Grows in a shady place below the Floating Island of Horas. Can also be obtained from planting @item_263#
272,Horas Spore,"#c0aba1dEat it#n to get a #c0aba1dFluorescent #n, with a chance of getting Night Vision or Dizzy.",Grows in a shady place below the Floating Island of Horas. Can also be obtained from planting @item_263#
273,Horas Spore,"#c0aba1dEat it#n to get a #c0aba1dFluorescent #n, with a chance of getting Night Vision or Dizzy.",Grows in a shady place below the Floating Island of Horas. Can also be obtained from planting @item_263#
274,Horas Spore,"#c0aba1dEat it#n to get a #c0aba1dFluorescent #n, with a chance of getting Night Vision or Dizzy.",Grows in a shady place below the Floating Island of Horas. Can also be obtained from planting @item_263#
275,Horas Spore,"#c0aba1dEat it#n to get a #c0aba1dFluorescent#n, with a chance of getting Night Vision or Dizzy.",Grows in a shady place below the Floating Island of Horas. Can also be obtained from planting @item_263#
276,Horas Spore,"#c0aba1dEat it#n to get a #c0aba1dFluorescent #n, with a chance of getting Night Vision or Dizzy.",Grows in a shady place below the Floating Island of Horas. Can also be obtained from planting @item_263#
277,Horas Spore,"#c0aba1dEat it#n to get a #c0aba1dFluorescent #n, with a chance of getting Night Vision or Dizzy.",Grows in a shady place below the Floating Island of Horas. Can also be obtained from planting @item_263#
278,Horas Spore,"#c0aba1dEat it#n to get a #c0aba1dFluorescent#n, with a chance of getting Night Vision or Dizzy.",Grows in a shady place below the Floating Island of Horas. Can also be obtained from planting @item_263#
279,Horas Spore,"#c0aba1dEat it#n to get a #c0aba1dFluorescent#n, with a chance of getting Night Vision or Dizzy.",Grows in a shady place below the Floating Island of Horas. Can also be obtained from planting @item_263#
280,Horas Spore,"#c0aba1dEat it#n to get a #c0aba1dFluorescent #n, with a chance of getting Night Vision or Dizzy.",Grows in a shady place below the Floating Island of Horas. Can also be obtained from planting @item_263#
281,Horas Spore,"#c0aba1dEat it#n to get a #c0aba1dFluorescent #n, with a chance of getting Night Vision or Dizzy.",Grows in a shady place below the Floating Island of Horas. Can also be obtained from planting @item_263#
282,Horas Spore,"#c0aba1dEat it#n to get a #c0aba1dFluorescent#n, with a chance of getting Night Vision or Dizzy.",Grows in a shady place below the Floating Island of Horas. Can also be obtained from planting @item_263#
283,Horas Spore,"#c0aba1dEat it#n to get a #c0aba1dFluorescent #n, with a chance of getting Night Vision or Dizzy.",Grows in a shady place below the Floating Island of Horas. Can also be obtained from planting @item_263#
284,Horas Spore,"#c0aba1dEat it#n to get a #c0aba1dFluorescent #n, with a chance of getting Night Vision or Dizzy.",Grows in a shady place below the Floating Island of Horas. Can also be obtained from planting @item_263#
285,Horas Spore,"#c0aba1dEat it#n to get a #c0aba1dFluorescent #n, with a chance of getting Night Vision or Dizzy.",Grows in a shady place below the Floating Island of Horas. Can also be obtained from planting @item_263#
286,Mutated Horas Spore Stipe,The mutated @item_261# after reacting to @item_227# or @item_226#,
287,Ball-less Fern,An ancient plant that grows only on #c0aba1dRed Clay#n. It has sawtooth leaves and some even have @item_12619# which are hard to get rid of once stuck. #rDo stay away from them and don't touch them with bare hands.,
288,Capitulum Fern,An ancient plant that grows only on #c0aba1dRed Clay#n. It has sawtooth leaves and some even have @item_12619# which are hard to get rid of once stuck. #rDo stay away from them and don't touch them with bare hands.,
289,Sawtooth Gravel Wall,"Wrapped with @item_12618#, the defense ability of @item_548# is greatly increased. It now can not only block monsters, but also bounce off monsters it touches. #r#c0aba1dTip#n: Not recommended for raising animals.",
290,Sawtooth Moss Stone Wall,"Wrapped with @item_12618#, the defense ability of @item_549# is greatly increased. It now can not only block monsters, but also bounce off monsters it touches. #r#c0aba1dTip#n: Not recommended for raising animals.",
291,Sawtooth Horas Rock Wall,"Wrapped with @item_12618#, the defense ability of @item_572# is greatly increased. It now can not only block monsters, but also bounce off monsters it touches. #r#c0aba1dTip#n: Not recommended for raising animals.",
292,Coconut Sapling,Coconut Sapling that will grow into a Coconut Tree!,
294,Giant Coconut Leaf,A leaf that big seems to burn for a long time when used as #c0aba1dfuel#n.,
295,Large Coconut,"Plant it in a @item_103# to grow a Coconut Tree. #rThe #c0aba1dCoconut Tree#n can yield giant fruits. Being hit by those fruits will lead to serious injuries, so don't stand below them.",
296,Giant Mutated Coconut Leaf,"Affected by the Red Clay, the leaf's color has greatly changed and the leaf is filled with unstable matters, which seem to have made it burn longer when used as a #c0aba1dfuel#n.",
297,Mutated Large Coconut,"Affected by the #c0aba1dRed Clay#n, the coconut is filled with unstable elements and unsuitable for planting or eating. #rPirates are said to love to make #c0aba1dbombs#n with this kind of mutated coconuts. You may give it a try!",
298,Burning Torch,"Once placed, it'll burn for a while and light up the surroundings before dying out. It can burn again by the touch of fire. For example: You can hold a @item_298# to tap on it, or hold an @item_299# to tap on a burning @item_1200#.#rTip: The torch will be extinguished and can't burn again when it #c0aba1drains#n.",
299,Extinct Torch,"Extinct Torch can burn again by the touch of fire. For example: You can hold a @item_298# to tap on it, or hold an @item_299# to tap on a burning @item_1200#.#rTip: The torch will be extinguished and can't burn again when it #c0aba1drains#n.",
300,Campanula,"Can be made into @item_11228# or Advanced Food, or crafted into @item_431# with the @item_800#. #rHolding it in hand can guide#c0aba1d the Scarecrow to follow you#n.","Can be collected from the wild, or obtained by sowing @item_431# in the @item_103#"
301,Orchid,"Can be made into @item_11228# and Advanced Food, or crafted into @item_432# with the @item_800#","Can be collected from the wild, or obtained by sowing @item_432# in the @item_103#"
302,Limonium Sinuatum,"Can be made into @item_11228# and Advanced Food, or crafted into @item_433# with the @item_800#","Can be collected from the wild, or obtained by sowing @item_433# in the @item_103#"
303,Dracaena Flower,"Can be made into @item_11228# and Advanced Food, or crafted into @item_434# with the @item_800#","Can be collected from the wild, or obtained by sowing Dracaena @item_434# in the @item_103#"
304,Hyacinth,"Can be made into @item_11228# and Advanced Food, or crafted into @item_435# with the @item_800#","Can be collected from the wild, or obtained by sowing @item_435# in the @item_103#"
305,Crowfoot Grass,"Can be made into @item_11228# and Advanced Food, or crafted into @item_436# with the @item_800#","Can be collected from the wild, or obtained by sowing @item_436# in the @item_103#"
306,Dracaena,"Can be made into @item_11228# and Advanced Food, or crafted into @item_437# with the @item_800#","Can be collected from the wild, or obtained by sowing @item_437# in the @item_103#"
307,Red Agave,"Can be made into @item_11228# Advanced Food, or crafted into @item_438# with the @item_800#","Can be collected from the wild, or obtained by sowing Red @item_438# in the @item_103#"
308,Orange Agave,"Can be made into @item_11228# and Advanced Food, or crafted into @item_439# with the @item_800#","Can be collected from the wild, or obtained by sowing @item_439# in the @item_103#"
309,Grey Agave,"Can be made into @item_11228# and Advanced Food, or crafted into @item_440# with the @item_800#","Can be collected from the wild, or obtained by sowing @item_440# in the @item_103#"
310,Pink Agave,"Can be made into @item_11228# and Advanced Food, or crafted into @item_441# with the @item_800#","Can be collected from the wild, or obtained by sowing @item_441# in the @item_103#"
311,White Coco Flower,"Can be made into Advanced Food, or crafted into Flower Seed with the Crafting Table.","Can be collected from the wild, or obtained by sowing @item_442# in the @item_103#"
312,Tecoma Stans,"Can be made into @item_11228# and Advanced Food, or crafted into @item_443# with the @item_800#","Can be collected from the wild, or obtained by sowing @item_443# in the @item_103"
313,Wild Rose,"Can be made into @item_11228# and Advanced Food, or crafted into @item_444# with the @item_800#","Can be collected from the wild, or obtained by sowing @item_444# in the @item_103#"
