ID,名称,描述,说明
1020012,When the server room receives any message,When the server room receives any message,
1020013,Receive Broadcast,When receiving broadcast %1,
1020014,Condition met,When %1 is established,
1020015,When placing blueprints,When the blueprint is placed,
1020016,When the server room receives the server broadcast message,When the server room receives the server broadcast %1,
1030001,The player is defeated,When the player is defeated,
1030002,The player respawns,When the player respawns,
1030003,The player's attributes change,When the player's %1 attribute changes,"When the player's attribute, such as HP changes"
1030004,The player defeats the target,When the player defeats the target,When the player defeats other players and creatures. The defeated players and creatures are the target ones in the event.
1030005,The player attacks,When the player starts attacking,
1030006,The player's attack hits,When the player's attack hits,When the player's attack hits another player or creature. The players and creatures being hit are the target ones in the event.
1030007,The player deals damage,When the player deals damage,"When the player deals damage to other players, and creatures. The players and creatures being attacked are the target ones in the event."
1030008,The player takes damage,When the player takes damage,
1030009,The player moves,When the player moves one grid away,
1030010,The player uses Emote,When the player uses Emote,
1030011,The player uses the item,When the player uses the item,
1030012,The player obtains the item,When the player obtains the item,
1030013,The player consumes the item,When the player consumes the item,
1030014,The player taps the creature or another player,When the player taps the creature or another player,
1030015,The player taps on the block,When the player taps the block,
1030016,The player rides,When the player mounts any mount or vehicle,
1030017,The player cancels mounting,When the player cancels mounting any mount or vehicle,
1030018,The player's motion status changes,When the player starts %1,
1030019,The player is in collision,When the player collides with any players or creatures,
1030020,The player picks up the item,When the player picks up the drops,
1030021,The player enters the area,When the player enters %1,"Entering and leaving area events cannot trigger developer-related actions, such as playing ads, displaying the item purchase window, or opening the Developer Shop."
1030022,The player leaves the area,When the player leaves %1,"Entering and leaving area events cannot trigger developer-related actions, such as playing ads, displaying the item purchase window, or opening the Developer Shop."
1030023,The player's Equipment Bar changes,When the player's Equipment Bar changes,
1030024,The player's backpack slot changes,When the player's backpack slot changes,
1030025,The player's Quick Bar changes,When the player's Quick Bar changes,
1030026,The player selects Quick Bar,When the player selects the Quick Bar,
1030027,The player discards the item,When the player discards the item,
1030028,The player equips the equipment,When the player equips the equipment,
1030029,The player unequips the equipment,When the player unequips the equipment,
1030030,The player displays chat messages,When the player's chat box shows %1,
1030031,The player enters chat messages,When the player sends %1 in the chat box,
1030032,The player presses button,When the player presses %1,
1030033,The player long presses the key,When the player long presses %1,
1030034,The player releases the button,When the player releases %1,
1030035,The player obtains the status,When the player obtains the status,
1030036,The player loses the status,When the player loses the status,
1030037,The player loses specific status effect,When the player loses %1 status,
1030038,The player's level changes,When the player's level changes,
1030039,Players enter chat information (including strings),When any player enters content that includes %1 in the chat box,When the player enters the specified content in the chat box and sends it
1030040,When the player selects the specified item,When the player selects %1 in the Quick Bar,
1030041,Player invite friend,When player invite friend,
1040001,The creature takes damage,When the creature takes damage,
1040002,The creature attacks,When the creature starts attacking,
1040003,The creature's attack hits,When the creature's attack hits,
1040004,The creature deals damage,When the creature deals damage,
1040005,The creature is defeated,When the creature is defeated,
1040006,The creature defeats the target,When the creature defeats the target,
1040007,The creature enters the area,When the creature enters %1,
1040008,The creature leaves the area,When the creature leaves %1,
1040009,The creature's motion status changes,When the creature starts %1,
1040010,The creature is in collision,When the creature collides with any players or creatures,
1040011,The creature's attributes Change,When the creature's attribute %1 changes,
1040012,The creature is created,When the creature is created,
1040013,The creature obtains status effect,When the creature obtains the status,
1040014,The creature loses status,When the creature loses the status,
1040015,The creature loses specific status effect,When the creature loses %1,
1040016,This creature takes damage,When this type of creature takes damage,
1040017,This creature attacks,When this type of creature starts attacking,
1040018,This creature's attack hits,When this type of creature starts attacking and hits the target,
1040019,This creature deals damage,When this type of creature deals damage to target,
1040020,This creature is defeated,When this type of creature is defeated,
1040021,This creature defeats the target,When this type of creature defeats the target,
1040022,This creature's action status changes,When this type of creature starts %1,
1040023,This creature is in collision,When this type of creature collides with any players or creatures,
1040024,This creature's attribute changes,When this type of creature's %1 attribute changes,
1040025,This creature is created,When this type of creature is created,
1040026,This creature obtains status,When this type of creature obtains status,
1040027,This creature loses status,When this type of creature loses status,
1040028,This creature is tapped by players,When this type of creature is tapped by players,
1050001,The block's digging has been finished,When this block's digging has finished,
1050002,The block is destroyed,When this block is destroyed,
1050003,The block's switch status changes,When the block's switch status changes,
1050004,Item changes in storage container,When item changes in storage container,
1050005,The block is created,When this block is created,
1050006,Items are placed into the container,When items are placed into the container,
1050007,Items are taken out of the container,When items are taken out of the container,
1050008,The block is dug,When this block is dug,
1050009,The block's digging is interrupted,When this block is dug but interrupted,
1050010,This block is dug,When this type of block is dug,
1050011,This block's digging has finished,When this type of block's digging is finished,
1050012,This block's digging is interrupted,When this type of block's digging is interrupted,
1050013,This block is destroyed,When this type of block is destroyed,
1050014,This block is created,When this type of block is created,
1050015,This block's switch status changes,When the switch status of this type of block changes,
1050016,This block is obtained,When the player/creature obtains this type of block,
1050017,This block is tapped by players,When the player taps this type of block,
1050018,Block colour changed,When block colour change,
1060001,Projectile hits the target,"When projectile hits any other player, creature or block",
1060002,Projectile enters area,When projectile enters %1,
1060003,Projectile leaves area,When projectile leaves %1,
1060004,Drops enter the area,When the drops enter %1,
1060005,Drops leave the area,When the drops leave %1,
1060006,The drops are picked up,When the drops are picked up,
1060007,Drops disappear,When the drops disappear,
1060008,The projectile is created,When the projectile is created,
1060009,This item is obtained,When this type of item is obtained by players or creatures,
1060010,This item is discarded,When this type of item is discarded,
1060011,This item disappeares,When this type of dropped item disappears,
1060012,This item is damaged,When this type of item is damaged,
1060013,This projectile hits the target,When this type of projectile hits any target,
1060014,This projectile is created or consumed,When this type of projectile is created or consumed,
1060015,This item is consumed,When this type of item is consumed,
1060016,This pack is opened,When this type of pack item is opened,
1060017,This equipment is equipped,When this type of equipment item is equipped,
1060018,This equipment is unequipped,When this type of equipment item is unequipped,
1060019,This equipment is destroyed,When this type of equipment item is destroyed by players or creatures,
1060020,This item is used,When this type of item is used by players,
1060021,When the drop is created in the specified way,When the drop is created with %1,
1060022,When the drop is created in any way,When the drop is created in any way,
1070001,Special Effect is created at the location,When Special Effect is created on the location,
1070002,Special Effect is created on the player,When Special Effect is created on the player,
1070003,Special effect is created on the creature,When Special Effect is created on the creature,
1070004,Special Effect of the projectile is created,When Special Effect is created on the projectile,
1070005,When Special Effect is created on the drops,When Special Effect is created on the drops,
1080001,This status is obtained by creatures,When the creature obtains this type of status,
1080002,This status is removed from creatures,When the creature loses this type of status,
1080003,This status is obtained by players,When the player obtains this type of status,
1080004,This status is removed from players,When the player loses this type of status,
1090001,The crafting of this recipe is complete,When the crafting of this type of recipe is complete,
1090002,The crafting of the recipe is complete,When the crafting of the recipe is complete,
1100001,Melting starts,When the melting starts,
1100002,Melting ends,When the melting ends,
1100003,This melting starts,When this type of melting starts,
1100004,This melting ends,When this type of melting ends,
110001,The player's Vehicle,%1's Vehicle,
1110001,Storyline begins,When the storyline begins,
1110002,Storyline ends,When the storyline ends,
1110003,This storyline begins,When this storyline starts,
1110004,This storyline ends,When this storyline ends,
1120001,Button released,Any button on the current interface is released,
1120002,Interface is opened,The current interface is opened,
1120003,Interface is closed,The current interface is closed,
1120004,Button pressed,Any button on the current interface is pressed,
1120005,The player enters the string on the interface,When the player enters any string on the interface,
1120006,The button of the current interface is released,%1 of the current interface is released,
1120007,The button of the current interface is pressed,%1 of the current interface is pressed,
1120008,When the player enters content in the input box of the current interface,When the player enters content in %1 of the current interface,
1130001,Play Music,When the interface music starts playing,
1140001,Purchase Membership (1 Month),When the player purchases a 1-month Membership,
1140002,Purchase Membership (3 Months),When player subscribed 3 months of Membership,
1140003,Any player purchases or withdraws Developer Shop items,When the player purchases or withdraws Developer Shop items,
120001,Random type of Special Effect,Random type of Special Effect,
120002,Special Effect Type,Special Effect Type %1,
120003,Special Effect Type,Special Effect Type Group %1,
130001,Obtain the current ad slot name,Obtain the current ad slot name,
140001,Block Type,Block Type %1,
140002,Block Type Group,Block Type Group %1,
140003,Block Type Name,%1's Type Name,
140004,Block Type Description,%1's Plugin Description,
140005,Block Type Appearance,%1's Appearance,
150001,Textbox,"Textbox with content %1, font size %2, opacity %3%, ID %4, Auto line feed %5",
150002,Floating Text,"Floating text with content %1, font size %2, ID %3",
150003,Progress Bar,"Settings for Progress Bar, Current Value: %1, Max Value: %2, Bar Color: %3, ID: %4",
150004,Arrow pointing to target object,"Arrow pointing to %1, size %2, color %3, ID %4",
150005,Arrow pointing to location,"Arrow pointing to %1, size %2, color %3, ID %4",
150006,Guide area pointing to target object,"Guide area to %1, size %2, color %3, ID %4",
150007,Guide area pointing to location,"Guide area to %1, size %2, color %3, ID %4",
150008,Guideline pointing to target object,"Guideline to %1, size %2, color %3, ID %4",
150009,Guideline pointing to location,"Guideline to %1, size %2, color %3, ID %4",
150010,Image,"Image is %1, size is %2x, opacity is %3%, ID is %4",
160001,Random Color,Random Color,
170001,Location with the specific numbers in Location Group,Location ID %2 in %1,
170002,Random location in Location Group,Random Location in %1,
180001,Areas with specified numbers in the Area Group,Area ID %2 in %1,
180002,Random area in Area Group,Random Area in %1,
190001,Value with specified numbers in the Numerical Group,Value ID %2 in %1,
190002,Random value in the Numerical Group,Random Value in %1,
190003,Obtain the Max value in a Numerical Group,Obtain the max value in %1,
190004,Obtain the Min value in a Numerical Group,Obtain the min value in %1,
200001,String with the specific numbers in String Group,String ID %2 in %1,
200002,Random String in String Group,Random String in %1,
20001,Value Operation,%1%2%3,
20002,Remainder,%1Mod%2,
20003,Random Number,Generate random integers: from %1 to %2,
20004,Max,%1 and %2's %3,
20005,Exact Division,%2 divided by %1,
20006,Coordinate of Location,%1's %2 Coordinate Value,
20007,Horizontal Angle Between Locations,Horizontal angle between %1 and %2,
20008,Vertical Angle Between Locations,Vertical angle between %1 and %2,
20009,Exponentiation,%1 to the power of %2,
20010,Radication,%1 to the power of %2,
20011,Absolute Value,%1's Absolute Value,
20012,Trigonometry,%1%2%3,
20013,Fixed Base Log Function,%1%2,
20014,Any Base Log Function,Log%1%2,
20015,Round,%2%1,
20016,Convert Angle to Radian,Convert %1 to %2,
20019,exclusive or,%1 or %2,
20020,Advanced Arithmetic,%1%2%3,
2010001,Value Comparison,%1%2%3,
2010002,Random Number,%1%2%3,
2010003,Max or Min,%1%2%3,
2010004,Exact Division,%1%2%3,
2010005,Coordinate of Location,%1%2%3,
2010006,Horizontal Angle between Locations,%1%2%3,
2010007,Vertical Angle between Locations,%1%2%3,
2010008,Exponentiation,%1%2%3,
2010009,Radication,%1%2%3,
2010010,Absolute Value,%1%2%3,
2010011,Trigonometry,%1%2%3,
2010012,Round,%1%2%3,
2010013,Convert Angle to Radian,%1%2%3,
2010018,Any value comparison,%1%2%3,
2010019,.and.,%1 and %2,
2010020,.or.,%1 or %2,
2010021,.not.,Not %1,
2020001,Game Moment,%1%2%3,
2020002,Player Number,%1%2%3,
2020003,Determine Weather,%1%2%3,
2020004,Determine Gravity,%1%2%3,
2020005,Determine Trigger Status,%1 is the enabled status,
2020006,Determine Trigger Group Status,%1 is the enabled status,
2030001,Determine Team Attribute,%1%2%3,
2040001,Determine Player Attribute,%1%2%3,
2040002,Number of Items Owned,%1%2%3,
2040003,Determine player ID in player group,%1%2%3,
2040004,Determine Player Team,%1%2%3,
2040005,Determine Individual Player,%1%2%3,
2040006,Player's Orientation,%1%2%3,
2040007,Determine Player Group,%1%2 is in %3,
2040008,Player is in area to determine,%1%2 is in %3,
2040009,Determine the player's Status Effect,%1%2 is in %3,
2040010,Determine Emote,%1%2 is %3,
2040011,Determine Player Settings,%1's %2 is %3,
2040012,Select Quick Bar Key,%1%2%3,
2040013,Determine handheld item type,%1%2%3,
2040014,Determine Equipment Bar,%1%2%3,
2040015,Determine if the player is equipped,%1%2 is equipped with %3,
2040016,Determine the player's appearance,%1%2%3,
2040017,Determine the player's backpack space,The Quick Bar and Backpack of %1 can save %2 %3 as %4,
2040018,Determine the player's handheld items in the backpack,%3 of %1's %2 is %4,
2040019,Determine the target object type,The target object type in the event is %1 as %2,
2040020,Determine the player's friendship,%1%2 are friends with %3,
2040021,Whether player follows the author,%1 has %2,
2050001,Number of Players in Player Group,%1%2%3,
2050002,Player ID in Player Group,%1%2%3,
2050003,Player with the specific number in Player Group,%1%2%3,
2060001,Creature Attribute,%1%2%3,
2060003,Determine Creature Group,%1%2 is in %3,
2060004,Determine Creature Type,%1%2%3,
2060005,Determine Individual Creature,%1%2%3,
2060006,Creature's Orientation,%1%2%3,
2060007,Creature is in area to determine,%1%2 is in %3,
2060008,Determine Creature Status Effect,%1%2 is in %3,
2060009,Determine Creature Team,%1%2%3,
2060010,Determine Creature ID in Creature Group,%1%2%3,
2060011,Determine Creature Settings,%1's %2 is %3,
2060012,Determine Creature's Appearance,%1%2%3,
2070001,Number of Creatures in Creature Group,%1%2%3,
2070002,Creature with the specified number in the Creature Group,%1%2%3,
2080001,Determine the number of drops,%1%2%3,
2080002,Drops are in the area,%1%2 is in %3,
2080003,Determine Item Type,%1%2%3,
2080004,Projectiles are in the area,%1%2 is in %3,
2090001,The distance between locations,%1%2%3,
2090002,Determine Block Type,%1%2%3,
2090003,Determine Block Switch Status,The block switch status of %1 is %2,
2090004,Determine Block Area,%1%2 is in %3,
2090005,Determine Block Orientation,Block %3 in %1 orientating %2,
2090006,Block Type in Specified Location,Block Type %2%3 in %1,
2090007,Determine Block Settings,%1's %2 is %3,
2100001,Determine Timer time,%1%2%3,
2100002,Boolean Value Comparison,%1%2%3,
2100003,String Comparison,%1%2%3,
2100004,Determine music type,%1%2%3,
2100005,Determine using the value obtained from the server table,Determine %1 using the value obtained from the server table or Ranking List,"1. Undertake the action of getting values from the table or Ranking List.
2. All parameters of the event will be passed (such as the player that triggered the event, and the creature that triggered the event, etc.)"
2100006,Determine the player's membership status,%1%2 Mini Membership is %3,
210001,Boolean Value with the specified number in the Boolean Group,Boolean Value ID %2 in %1,
210002,Random Boolean Values in the Boolean Group,Random Boolean Value in %1,
2110001,Specific Player Vehicles,%1%2%3,
2120001,Determine Special Effect,%1%2%3,
2130001,Play ad and determine,Current ad ends. It's determined as %1,
2140001,Determine Status Effect,%1%2%3,
2140002,Determine Block,"Detected that %2 of %1 exists %3, detection mode %4, require %5",
2140003,Can execute block determination,"Detected that the executable block of %2 in %1 exists %3, detection mode %4, require %5",
2140004,Determine running environment,Detect if a class is currently running,
2150001,Determine unit,%1%2%3's %4,
2150002,Determine Page,%1%2%3,
220001,Block Type with specified numbers in the Block Type Group,Block Type ID %2 in %1,
220002,Random block type in Block Type Group,Random Block Type in %1,
221001,Detect area similarity,"Detect area similarity: original area %1, destination origin %2, detection mode %3",
221002,Block Type Group in the area,Obtain block type group in %1,
221003,Total number of blocks in the area,Obtain the total number of blocks in %1,
221004,Number of blocks of the specified type in the area,Obtain the number of block type %2 in %1,
230001,Item Type with specified numbers in the Item Type Group,Item Type ID %2 in %1,
230002,Random item types in the Item Type Group,Random Item Type in %1,
240001,Creature Type with specified numbers in the Creature Type Group,Creature Type ID %2 in %1,
240002,Random creature type in the Creature Type Group,Random Creature Type in %1,
250001,Timer with specified numbers in the Timer Group,Timer ID %2 in %1,
250002,Random timer in the Timer Group,Random Timer in %1,
260001,Special Effect Type with specified numbers in the Special Effect Type Group,Special Effect Type ID %2 in %1,
260002,Random special effect type in the Special Effect Type Group,Random Special Effect Type in %1,
270004,Item Type Icon,%1's Icon,
270005,Creature Icon,%1's Icon,
270006,Creature Type Icon,%1's Icon,
270007,Status Icon,%1's Icon,
270008,Block Type Icon,%1's Icon,
270009,The player's current character icon,The icon of the current %1 character,
270010,Obtain player's Quick Bar icon,Icon of %2 in %1 Quick Bar,
280001,Random Projectile type,Random Projectile type,
290001,Random Sound Effect,Random Sound Effect,
300001,Location obtained by the server,Location obtained by the server,
300002,Area obtained by the server,Area obtained by the server,
300003,Value obtained by the server,Value obtained by the server,
300004,String obtained by the server,String obtained by the server,
300005,Boolean Value obtained by the server,Boolean Value obtained by the server,
300006,Player obtained by the server,Player obtained by the server,
300007,Block Type obtained by the server,Block Type obtained by the server,
300008,Item Type obtained by the server,Item Type obtained by the server,
300009,Creature obtained by the server,Creature obtained by the server,
30001,Current Game Time,Current Game Time,
300010,Creature Type obtained by the server,Creature Type obtained by the server,
300011,Timer obtained by the server,Timer obtained by the server,
300012,Special Effect Type obtained by the server,Special Effect Type obtained by the server,
300013,Rank obtained by the Ranking List,Rank obtained by the Ranking List,
300014,Name obtained by the server (keys),Obtain server and Ranking List index names (keys),
300015,Player obtained by the server (keys),Obtain server and Ranking List index players (keys),
30002,Team with a specified rank,Team ranked %1,
30003,Current Game Gravity Multiplier,Current Game Gravity,
3010001,Set global weather mode,Set global weather mode to %1,
3010002,Set time,Set game time to %1,
3010003,Set gravity,Set gravity to %1,
3010004,Set midgame to join,Set midgame to join as %1,
3010005,Send broadcast,Send broadcast %1,
3010006,Send broadcast and wait,Send broadcast %1 and wait,
3010007,Set the time elapsed speed,Set the game time lapse speed to %1 times,
3010008,Set skybox texture,Set %1 to %2,"1. Setting the sky texture will cause stars and clouds to be disabled.
2. Setting the sky texture will cause the colors at the top, middle, and bottom of the skybox to be disabled."
3010009,Set skybox color,Set %1%2 to %3,
3010010,Set skybox parameters,Set %1%2 to %3,
3010011,Send server broadcast to all server rooms,Send server broadcast %1 to all server rooms,"1. When executed locally, it will also take effect, but only locally, and will not be sent to the server room.
2. Isolation: Server debugging will only be sent to yourself. If you need to broadcast to a public server room, you need to execute it in the public server room.
3. Restriction: You can only send one broadcast every 15s in each room."
3010012,Set skybox template,Set the current skybox to %1,
3010013,Set terrain group weather,Set %1's weather to %2,
3010014,Set skybox switch,Set %1%2 to %3,
3020001,Run Trigger,"Run %1, check if condition is %2, then perform action",
3020002,Loop Trigger,"From %1 to %2, execute %3",
3020003,Change Trigger Status,Change %1 status to %2,
3020004,Change Trigger Group Status,Change %1 status to %2,
3040001,Create Block,"Create %2 in %1, orientating %3",
3040002,Delete Block,Delete Block on %1,
3040003,Substitute Block,"Replace Block on %1 with %2, orienting %3",
3040004,Set block switch status,Set %1's block switch status to %2,
3040005,Set block permissions,Set %1's %2 to %3,
3040006,Fill up Area with Blocks,"Fill %2 with %1, orientating %3",
3040007,Clear the blocks in the area,Clear %2 in %1,
3040008,Copy the blocks in the area and place them in target area,"Copy all blocks in %1, place in %2, orienting %3",
3040009,Area Substitute Block,"Replace %2 in %1 with %3, orientating %4",
3040010,Destroy Block,Destroy the block on %1,
3040011,Create Color Block,"Create %2 in %1, orientation is %3, color is %4 (only color blocks are valid)",
3040012,Block Play Action,"Make the block on %1 play %2, play mode %3",
3040013,Replace color blocks,"Replace %2 on %1, orientation is %3, color is %4 (only color blocks are valid)",
3040014,Clear all the blocks in the area,Clear all blocks in %1,
3040015,Destroys blocks of the specified type in the area,Destroy %2 in %1,
3040016,Destroy all blocks in the area,Destroy all blocks in %1,
3040017,Replace all blocks in the area,"Replace all blocks within %1 with %2, orientating %3",
3040018,Place Blueprint,"Place %2 in %1, rotate %3, mirror %4, and cover all %5 in the blueprint area",
3050001,Defeat Player,Defeat %1,
3050002,The player respawns in target location,Make %1 respawn in %2,
3050003,Set the player's Respawn Point,Set %1's respawn point to %2,
3050004,Set the player's attribute,Set %1's %2 to %3,
3050005,Grant the player's status effect,"Grant %1%2 effect that lasts permanently %3, lasts for %4s",
3050006,Remove the status effects from the player,Remove %1's %2 effect,
3050007,Set the player's permissions,Set %1's %2 to %3,
3050008,Remove Player,Remove %1 from the current game,
3050009,The player joins spectator mode,Make %1 join spectator mode,
3050010,Set the player's team,Set %1's team to %2,
3050011,Set the player's location,Teleport %1 to %2,
3050012,Set the player's orientation,Set %1's orientation to %2,
3050013,Set the player's camera angle,"Set %1's camera angle to world coordinates horizontal %2 degrees, vertical %3 degrees",
3050014,Add item to the player's backpack,Add %1 %2 to %3 backpack,
3050016,Discard item in the backpack,Discard %2 %3 of %1,
3050017,Destroy item in the player's backpack,Destroy %2 %3 on %1,
3050018,The player rides the vehicle,"Make %1 ride %2, location ID %3",
3050019,The player leaves the vehicle,Make %1 leave the current vehicle,
3050020,Set the player's view,"Set %1's view to %2, lock %3",
3050021,The player controls the vehicle to advance,Make %1 drive the vehicle forward automatically,
3050022,Player Automatic Pathfinding,"Make %1 try to auto-path to %2, operate %3",The event has a distance limit. Exceeding a certain range (about 32 blocks) will cause it to fail to trigger.
3050023,The player wins,Make %1 win the game,
3050024,The player plays an Emote,Make %2 play %1,Emote parameter input value range 1-20 Character action 1-10 General action 11-20
3050025,Display text in floating window to the player,Display text in floating window %2 to %1,
3050026,The player uses the Quick Bar item,Use %1 Quick Bar to select the item,
3050027,Display chat box info to the player,Display chat box info %2 to player %1,
3050028,Specified player items cannot be discarded,Set %1's %2 cannot be discarded as %3,
3050029,Specified items cannot be dropped,Set %1's %2 cannot be dropped as %3,
3050030,Make the player move,Make %1 move towards %2 at speed %3,
3050031,Replace the player's status effects,Replace the %2 on %1 with %3 and %4 lasts %5 sec,
3050032,Equip the player,Make %1 equip %2 in the backpack,
3050033,Unequip the player,Make %1 unequip %2's equipment and put it in the backpack,
3050034,Create Player Equipment,Create %1 in %2 Equipment Bar,
3050035,Destroy the player's equipment,Destroy the equipment in %1%2,
3050036,Set the player's appearance,Set %1's appearance to %2,
3050037,Restore the player's appearance,Restore %1 to its initial appearance,
3050040,Make players deal damage to other players,Make %1 deal %3 points of %4 damage to %2,"1. The damage comes from players and the damage text will be displayed.
2. Melee Damage, Ranged Damage, and Blast Damage will be increased by 5 by default. The final damage will be calculated according to the defense.
3. The corresponding events will be triggered (such as players deal damage, players take damage, etc.), but will not trigger player attacks, or attacks that hit."
3050041,Make players deal damage to creatures,Make %1 deals %3 points of %4 damage to %2,"1. The damage comes from players and the damage text will be displayed.
2. Melee Damage, Ranged Damage, and Blast Damage will be increased by 5 by default. The final damage will be calculated according to the defense.
3. The corresponding events will be triggered (such as players deal damage, players take damage, etc.), but will not trigger player attacks, or attacks that hit."
3050042,Make players deal damage to targets in the area,Make %1 deal %3 points of %4 damage to all targets within %2,"1. Deals damage to everyone (including yourself). The damage comes from players and the damage text will be displayed.
2. Melee Damage, Ranged Damage, and Blast Damage will be increased by 5 by default. The final damage will be calculated according to the defense.
3. The corresponding events will be triggered (such as players deal damage, players and creatures take damage, etc.), but will not trigger player attacks, or attacks that hit."
3050043,Set the player's name,Set %1's name to %2,
3050044,Set the player's movement mode,Set %1's movement mode to %2,"After the character lands, the flying status will be cancelled, and the action needs to be triggered again."
3050045,The player exits spectator mode,Make %1 exit spectator mode,
3050046,Set the player's Immune Damage Type,Set %1 immune to %2,
3050047,Remove the player's Immune Damage Type,Remove %1's immunity to %2,
3050048,Shake the player's camera,Shake %1 camera for %2s at %3 intensity,
3050049,Stop player's camera shaking,Stop %1 camera shaking,
3050050,Set the player's item,Set %1%2's item to %3 and the number to %4,
3050051,Remove the player's item,Remove %3 items from %1%2,
3050052,Send in-room friend applications,Make %1 send a friend application to %2 in the room,
3050053,Clear the player's item library,Clear all %2 in %1,
3050054,Move the player's item,Move %2 %3 on %1 to %4,
3050055,Exchange the player's items,Exchange %2 to %3 on %1,
3050056,Remove all status effects from the player,Remove all status effects from %1,
3050057,Remove all negative status effects from the player,Remove all negative status effects from %1,
3050058,Change the player's orientation,Change the orientation of %1 to %2,
