ID,名字,类别名,描述
50020,Player's Private Variable(Location),Player,@1|'s |@2| (Location)
50021,Player's Private Variable(Value),Player,@1|'s |@2| (Value)
50022,Player's Private Variable(String),Player,@1|'s |@2| (String)
50023,Player's Private Variable (Boolean Value),Player,@1|'s |@2| (Boolean Value)
50024,Player's Private Variable(Player),Player,@1|'s |@2| (Player)
50025,Player's Private Variable(Player Group),Player,@1|'s |@2| (Player Group)
50026,Player's Private Variable(Block Type),Player,@1|'s |@2| (Block Type)
50027,Player's Private Variable(Item Type),Player,@1|'s |@2| (Item Type)
50028,Player's Private Variable(Creature),Player,@1|'s |@2| (Creature)
50029,Player's Private Variable(Creature Type),Player,@1|'s |@2| (Creature Type)
50030,Player's Private Variable(Creature Group),Player,@1|'s |@2| (Creature Group)
50031,Player's Private Variable(Timer),Player,@1|'s |@2| (Timer)
50032,Player's Private Variable (Special Effect Type),Player,@1|'s |@2| (Special Effect Type)
50033,Player's Front Sight Direction,Player,@1|'s Front Sight Direction
50034,The type of player's handheld item,Player,@1|'s Handheld Item Type
50035,Player,Player,|@1
50036,Player Group,Player,|@1
50037,Specified Player Appearance,Player,@1|'s Appearance
50038,Player group,Player,|@1
50039,Player's private variable (location group),Player,@1|'s |@2| (Location Group)
50040,Player's Private Variable (Area Group),Player,@1|'s |@2| (Area Group)
50041,Player's Private Variable (Numerical Group),Player,@1|'s |@2| (Numerical Group)
50042,Player's Private Variable (String Group),Player,@1|'s |@2| (String Group)
50043,Player's Private Variable (Boolean Group),Player,@1|'s |@2| (Boolean Group)
50044,Player's Private Variable (Block Type Group),Player,@1|'s |@2| (Block Type Group)
50045,Player's Private Variable (Item Type Group),Player,@1|'s |@2| (Item Type Group)
50046,Player's Private Variable (Creature Type Group),Player,@1|'s |@2| (Creature Type Group)
50047,Player's Private Variable (Timer Group),Player,@1|'s |@2| (Timer Group)
50048,Player's Private Variable (Special Effect Type Group),Player,@1|'s |@2| (Special Effect Type Group)
50049,Random appearance type,Player,Random appearance type
50050,Obtain player's UID,Player,Obtain |@1|'s UID
50051,Obtain player with specific UID,Player,Obtain player with |@1| UID
50052,Players that launch projectiles,Player,Players that launch projectiles
60001,Number of Players in Player Group,Player Group,Number of players in |@1
60002,Player ID in Player Group,Player Group,@2|'s ID in |@1
60003,Number of Players in Game,Player Group,Number of players in the current game
60004,Player with the specific number in Player Group,Player Group,Player ID |@2| in |@1
60005,Random Player in Player Group,Player Group,Random Player in |@1
60006,All Players,Player Group,All Players
60007,All Players in team,Player Group,All Players in |@1
60008,All Players in Area,Player Group,All Players in |@1
70001,Creature Location,Creature,@1|'s location
70002,Creature Attribute,Creature,@1|'s |@2
70004,Obtain Creature ID in Creature Group,Creature,|@2|'s ID in |@1
70005,Creature's Facing Angle,Creature,@1|'s facing angle
70006,Creature Type Name,Creature,@1|'s Type Name
70007,Determine Individual,Creature,@1||@2||@3
70008,Determine Type,Creature,@1||@2||@3
70009,Determine Creature Group,Creature,@1||@2| is in |@3
70010,Determine Area,Creature,@1||@2| is in |@3|
70011,Determine Status,Creature,@1||@2| obtains |@3| effect
70012,Creature Team,Creature,@1|'s team
70013,Specified Creature Type,Creature,@1|'s Type
70014,Random Creature Type,Creature,Random creature type
70015,Creature Type,Creature,|@1
70016,Creature Group,Creature,|@1
70017,Specified Creature Appearance,Creature,@1|'s Appearance
70018,Creature Group,Creature,|@1
70019,Creature Type Group,Creature,|@1
70020,Creature,Creature,|@1
70021,Creatures that launch projectiles,Creature,Creatures that launch projectiles
80001,Number of Creature in Creature Group,Creature Group,Number of creatures in |@1
80002,Creature with specified number in the Creature Group,Creature Group,Creature ID |@2| in |@1
80003,Random Creature in Creature Group,Creature Group,Random creature in |@1
80004,All Creatures in Team,Creature Group,All Creatures in |@1
80005,All Creatures in Area,Creature Group,All Creatures in |@1
90001,Location of Drops,Item,@1|'s Location
90002,Number of Drops,Item,@1|'s Number
90003,The number of items that have changed in the player's Backpack,Item,The number of items that have changed in the player's backpack
90004,Item Type Name,Item,@1|'s Type Name
90005,Determine Type,Item,@1||@2||@3
90006,Determine whether the drops are in the area,Item,@1||@2| is in |@3|
90007,Determine Projectile Area,Item,@1||@2| is in |@3|
90008,Drops Type,Item,@1|'s Type
90009,Item Type,Item,|@1
90012,Item Type Group,Item,|@1
90013,Random Item Type,Item,Random Item Type
100001,Current Global Weather Mode,World,Obtain the current global weather mode
100002,Distance from one position to another,World,Distance between |@1| and |@2
100003,Comparison of weather type,World,@1||@2||@3
100004,Block Type Comparison,World,@1||@2||@3
100005,Toggle status of Block,World,@1|'s toggle status of blocks
100006,Determine the Area the location belongs to,World,@1||@2| is in |@3|
100007,Block Type in Specified Location,World,@1|'s Block Type
100008,Direction: from one position to another,World,The direction from |@1| to |@2
100009,The direction of absolute three axis coordinates,World,"The direction of X|@1|, Y|@2|, Z|@3|"
100010,The direction of absolute spherical coordinates,World,"Azimuth |@1|, elevation|@2"
100011,Location,World,|@1
100012,Area,World,|@1
100013,Timer,World,|@1
100014,Location group,World,|@1
100015,Area Group,World,|@1
100016,Timer group,World,|@1
100017,Random Weather,World,Random weather
100018,Terrain Group Weather,World,@1|'s Weather
110001,Specified Player Vehicle,Vehicle,@1|'s Vehicle
120001,Random type of special effect,Special Effect,Random type of special effect
120002,Special Effect Type,Special Effect,|@1
120003,Special Effect Type Group,Special Effect,|@1
130001,Obtain the current ad slot name,Play,Obtain the current ad slot name
140001,Block Type,Block,|@1
140002,Block Type Group,Block,|@1
150001,Textbox,Display Info,"Textbox content: |@1|, Font size: |@2|, Background Opacity: |@3|%, ID: |@4"
150002,Floating Text,Display Info,"Floating Text content: |@1|, Font size: |@2|, ID: |@3"
150003,Progress Bar,Display Info,"Settings for Progress Bar, Current Value: |@1|, Max Value: |@2|, Bar Color: |@3|, ID: |@4"
150004,Arrow pointing to target object,Display Info,"Point to |@1|, the size of the arrow is |@2|, the color is |@3|, the ID is |@4"
150005,Arrow pointing to location,Display Info,"Point to |@1|, the size of the arrow is |@2|, the color is |@3|, the ID is |@4"
150006,Guide area pointing to target object,Display Info,"Point to |@1|, the size of the guide area is |@2|, the color is |@3|, the ID is |@4"
150007,Guide area pointing to location,Display Info,"Point to |@1|, the size of the guide area is |@2|, the color is |@3|, the ID is |@4"
150008,Guideline pointing to target object,Display Info,"Point to |@1|, the size of the guideline is |@2|, the color is |@3|, the ID is |@4"
150009,Guideline pointing to location,Display Info,"Point to |@1|, the size of the guideline is |@2|, the color is |@3|, the ID is |@4"
160001,Random Color,Color,Random Color
170001,Location with the specific number in Location Group,Location group,Location ID |@2| in |@1
170002,Random location in location group,Location group,Random Location in |@1
180001,Areas with specific numbers in the Area Group,Area Group,Area ID |@2| in |@1
180002,Random area in area group,Area Group,Random Area in |@1
190001,Value with specified value in the Numerical Group,Numerical group,Value ID |@2| in |@1
190002,Random value in the Numerical Group,Numerical group,Random Value in |@1
190003,Obtain the Max value in a Numerical Group,Numerical group,Obtain the Max value in |@1
190004,Obtain the Min value in a Numerical Group,Numerical group,Obtain the Min value in |@1|
200001,String with the specific number in String Group,String group,String ID |@2| in |@1
200002,Random string in string group,String group,Random String in |@1
210001,Boolean Value with specified number in the Boolean Group,Boolean Group,Boolean Value ID |@2| in |@1
210002,Random Boolean Values ??in the Boolean Group,Boolean Group,Random Boolean Value in |@1
220001,Block Type with specified numbers in the Block Type Group,Block Type Group,Block Type ID |@2| in |@1
220002,Random block type in block type group,Block Type Group,Random Block Type in |@1
230001,Item Type with specified numbers in the Item Type Group,Item Type Group,Item Type ID |@2| in |@1
230002,Random item types in the item type group,Item Type Group,Random Item Type in |@1
240001,Creature Type with specified number in the Creature Type Group,Creature Type Group,Creature Type ID |@2| in |@1
240002,Random creature type in the creature type group,Creature Type Group,Random creature type in |@1
250001,Timer ID in the timer group,Timer group,Timer ID |@2| in |@1
250002,Random timer in the timer group,Timer group,Random Timer in |@1
260001,Special Effect Type with specified number in the Special Effect Type Group,Special Effect Type,Special Effect Type ID |@2| in |@1
260002,Random special effect type in the Special Effect Type Group,Special Effect Type,Random Special Effect Type in |@1
270004,Obtain item type icon,General,|@1
270005,Obtain creature icon,General,|@1
270006,Obtain Creature Type icon,General,|@1
270007,Obtain status icon,General,|@1
270008,Obtain block type icon,General,|@1
270009,Obtain the player's current character icon,General,Current |@1| Character icon
270010,Obtain player's Quick Bar icon,General,@1| Quick Bar is the icon of |@2|
280001,Random Projectile type,Projectile,Random Projectile type
290001,Random Sound Effect,Sound Effect,Random Sound Effect
300001,Location obtained by the server,Data Storage,Location obtained by the server
300002,Area obtained by the server,Data Storage,Area obtained by the server
300003,Value obtained by the server,Data Storage,Value obtained by the server
300004,String obtained by the server,Data Storage,String obtained by the server
300005,Boolean value obtained by the server,Data Storage,Boolean value obtained by the server
300006,Player obtained by the server,Data Storage,Player obtained by the server
300007,Block type obtained by the server,Data Storage,Block type obtained by the server
300008,Item type obtained by the server,Data Storage,Item type obtained by the server
300009,Creature obtained by the server,Data Storage,Creature obtained by the server
300010,Creature type obtained by the server,Data Storage,Creature type obtained by the server
300011,Timer obtained by the server,Data Storage,Timer obtained by the server
300012,Special Effect Type obtained by the server,Data Storage,Special Effect Type obtained by the server
300013,Rank obtained by the Ranking List,Data Storage,Rank obtained by the Ranking List
300014,Name obtained by the server (keys),Data Storage,Obtain server and Ranking List index names (keys)
300015,Player obtained by the server (keys),Data Storage,Obtain server and Ranking List index players (keys)
