接口ID,英文,英文,英文,英文,英文,英文,英文
20021,World ,spawnCreature,"World:spawnCreature(x, y, z, actorid, num)","x|y|z:number, mobid:number, num:number","ErrorCdoe.OK, objids:tableobjid array","Generate creature(including monster, NPC, animals etc.)","local x, y, z = 6, 7, 8
local actorId, actorCnt = 3812, 2 --Little cow
local ret, objids = World:spawnCreature(x, y, z, actorId, actorCnt)
if objids and #objids>0 then
        for idx = 1, #objIds do --Set the Oxygen dependence
                Creature:setOxygenNeed(objids[idx], true)
        end 
end"
20022,World ,despawnCreature,World:despawnCreature(objid),objid:number,ErrorCode.OK,Remove creature,"local result = World:despawnCreature(objids[1])
if result == ErrorCode.OK then print('Despawn the creature') end"
20023,World ,spawnItem,"World:spawnItem(x, y, z, itemid, num)","x|y|z:number, itemid:number, num:number","ErrorCode.OK, objid:number",Generate items in designate location,"local xPos, yPos, zPos = 5, 6, 7
local itemId, itemCnt = 15003, 30 --Item's id and number
local ret, objIds = World:spawnItem(xPos, yPos, zPos, itemId, itemCnt)
if ret == ErrorCode.OK then print(""Item[1]====>>>"", objIds[1]) end"
20024,World ,despawnItemByBox,"World:despawnItemByBox(x1, y1, z1, x2, y2, z2)","x1|y1|z1:number starting point, x2|y2|z2:number ending point",ErrorCode.OK,Remove items(By region),"local x1, y1, z1 = -5, 5, -5
local x2, y2, z2 = 15, 9, 15
local result = World:despawnItemByBox(x1,y1,z1, x2,y2,z2)
if result == ErrorCode.OK then print('Successfully remove Item in designate region') end"
20025,World ,despawnItemByObjid,World:despawnItemByObjid(objid),objid:number,ErrorCode.OK,Remove item(By ID),"local result = World:despawnItemByObjid(objIds[1])
if result == ErrorCode.OK then print('Successfully remove designate item') end"
20026,World ,spawnProjectile,"World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)","shooter:number, itemid:number, x|y|z:number, dirx|diry|dirz:number, speed:number",ErrorCode.OK,Generate Projectile,"local result = World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)"
30001,Block ,isSolidBlock,"Block:isSolidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Whether the block is entity,"local result = Block:isSolidBlock(x, y, z)"
30002,Block ,isLiquidBlock,"Block:isLiquidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Whether the block is fluid,"local result = Block:isLiquidBlock(x, y, z)"
30003,Block ,isAirBlock,"Block:isAirBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Whether the block is air,"local result = Block:isAirBlock(x, y, z)"
30004,Block ,getBlockID,"Block:getBlockID(x, y, z)",x|y|z:number,"ErrorCode.OK, id:number",Obtain corresponding block id,"local result = Block:getBlockID(x, y, z)"
30005,Block ,setBlockAll,"Block:setBlockAll(x, y, z, blockid, data)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Set blockalldata update and inform,"local result = Block:setBlockAll(x, y, z, blockid, data)"
30006,Block ,destroyBlock,"Block:destroyBlock(x, y, z, dropitem)","x|y|z:number, dropitem:boolean",ErrorCode.OK,Destroy the block,"local result = Block:destroyBlock(x, y, z, dropitem)"
30007,Block ,placeBlock,"Block:placeBlock(blockid, x, y, z, face)","blockid:number, x|y|z:number, face:number","ErrorCode.OK, ret:boolean whether it is placed right",Place the block,"local result = Block:placeBlock(blockid, x, y, z, face)"
30008,Block ,setBlockAllForUpdate,"Block:setBlockAllForUpdate(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Set blockalldata and inform surrounding blocks,"local result = Block:setBlockAllForUpdate(x, y, z, blockid)"
30009,Block ,setBlockAllForNotify,"Block:setBlockAllForNotify(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Set blockalldata and update current location blocks,"local result = Block:setBlockAllForNotify(x, y, z, blockid)"
30010,Block ,setBlockSettingAttState,"Block:setBlockSettingAttState(blockid, atttype, switch)","blockid:number, atttype:BLOCKATTR, switch:boolean",ErrorCode.OK,Set block's attribute and state,"local result = Block:setBlockSettingAttState(blockid, atttype, switch)"
30011,Block ,getBlockSwitchStatus,Block:getBlockSwitchStatus(pos),x|y|z:number,"ErrorCode.OK, isactive:boolean",Obtain on-off state of function block,local result = Block:getBlockSwitchStatus(pos)
30012,Block ,setBlockSwitchStatus,"Block:setBlockSwitchStatus(pos, isactive)","x|y|z:number, isactive:boolean",ErrorCode.OK,Set on-off state of function block,"local result = Block:setBlockSwitchStatus(pos, isactive)"
40001,Game Actor,isPlayer,Actor:isPlayer(objid),objid,ErrorCode.OK is player is player,Detect if it's a player,local result = Actor:isPlayer(objid)
40002,Game Actor,isMob,Actor:isMob(objid),objid,ErrorCode.OK is monster is monster,Detect if it's a monster,local result = Actor:isMob(objid)
40003,Game Actor,getObjType,Actor:getObjType(objid),objid,"ErrorCode.OK, objtype:number",Get the type of actor: creature/player...,local result = Actor:getObjType(objid)
40004,Game Actor,isInAir,Actor:isInAir(objid),objid:number,ErrorCode.OK,If it's in the air,local result = Actor:isInAir(objid)
40005,Game Actor,getPosition,Actor:getPosition(objid),objid,"ErrorCode.OK, x|y|z:number",Get the location of actor,local result = Actor:getPosition(objid)
40006,Game Actor,setPosition,"Actor:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Set the location of actor,"local result = Actor:setPosition(objid, x, y, z)"
40007,Game Actor,jump,Actor:jump(objid),objid:number,ErrorCode.OK,Jump,local result = Actor:jump(objid)
40008,Game Actor,killSelf,Actor:killSelf(objid),objid:number,ErrorCode.OK,Kill yourself,local result = Actor:killSelf(objid)
40009,Game Actor,getCurPlaceDir,Actor:getCurPlaceDir(objid),objid:number,"ErrorCode.OK, dir:number",Get the current facing direction,local result = Actor:getCurPlaceDir(objid)
40010,Game Actor,tryMoveToActor,"Actor:tryMoveToActor(self_objid, target_objid, speed)","self_objid:number, target_objid:number, speed:number",ErrorCode.OK,Move toward target actor,"local result = Actor:tryMoveToActor(self_objid, target_objid, speed)"
40011,Game Actor,tryMoveToPos,"Actor:tryMoveToPos(objid, x, y, z, speed)","objid:number, x|y|z:number, speed:number",ErrorCode.OK,Move toward target actor,"local result = Actor:tryMoveToPos(objid, x, y, z, speed)"
40012,Game Actor,addBuff,"Actor:addBuff(objid, buffid, bufflv, customticks)","objid:number, buffid:number, bufflv:number, customticks:number",ErrorCode.OK,Obtain Buff,"local result = Actor:addBuff(objid, buffid, bufflv, customticks)"
40013,Game Actor,hasBuff,"Actor:hasBuff(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ret:boolean",If it has any buff,"local result = Actor:hasBuff(objid, buffid)"
40014,Game Actor,removeBuff,"Actor:removeBuff(objid, buffid)","objid:number, buffid:number",ErrorCode.OK,Delete the buff,"local result = Actor:removeBuff(objid, buffid)"
40015,Game Actor,clearAllBuff,Actor:clearAllBuff(objid),objid:number,ErrorCode.OK,Clear all the buff,local result = Actor:clearAllBuff(objid)
40016,Game Actor,clearAllBadBuff,Actor:clearAllBadBuff(objid),objid:number,ErrorCode.OK,Clear all the negative buff,local result = Actor:clearAllBadBuff(objid)
40017,Game Actor,getBuffList,Actor:getBuffList(objid),objid:number,"ErrorCode.OK, num:numberbuff number, array:tablebuffid array",Get the buff list,local result = Actor:getBuffList(objid)
40018,Game Actor,getBuffLeftTick,"Actor:getBuffLeftTick(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ticks:number",Get the remaining itck of corresponding buff of current index,"local result = Actor:getBuffLeftTick(objid, buffid)"
40019,Game Actor,addHP,"Actor:addHP(objid, hp)","objid:number, hp:number",ErrorCode.OK,Increase current HP,"local result = Actor:addHP(objid, hp)"
40020,Game Actor,getHP,Actor:getHP(objid),objid:number,"ErrorCode.OK, value:number",Get current HP,local result = Actor:getHP(objid)
40021,Game Actor,getMaxHP,Actor:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Get current max HP,local result = Actor:getMaxHP(objid)
40022,Game Actor,addOxygen,"Actor:addOxygen(objid, oxygen)","objid:number, oxygen:number",ErrorCode.OK,Increase oxygen volume,"local result = Actor:addOxygen(objid, oxygen)"
40023,Game Actor,getOxygen,Actor:getOxygen(objid),objid:number,"ErrorCode.OK, value:number",Get oxygen volume,local result = Actor:getOxygen(objid)
40024,Game Actor,addEnchant,"Actor:addEnchant(objid, slot, enchantId, enchantLevel)","objid:number, slot:number, enchantId:number, enchantLevel:number",ErrorCode.OK,Incease the enchantment of corresponding equipment,"local result = Actor:addEnchant(objid, slot, enchantId, enchantLevel)"
40025,Game Actor,removeEnchant,"Actor:removeEnchant(objid, slot, enchantId)","objid:number, slot:number, enchantId:number",ErrorCode.OK,Clear enchantment of corresponding equipment,"local result = Actor:removeEnchant(objid, slot, enchantId)"
40026,Game Actor,findNearestBlock,"Actor:findNearestBlock(objid, blockid, blockRange)","objid:number, blockid:number, blockRange","ErrorCode.OK, x|y|z:number",Find the nearest block's id,"local result = Actor:findNearestBlock(objid, blockid, blockRange)"
40027,Game Actor,setFaceYaw,"Actor:setFaceYaw(objid, yaw)","objid:number, yaw:number angle",ErrorCode.OK,Set the crosswise deviation angle of actor's  view,"local result = Actor:setFaceYaw(objid, yaw)"
40028,Game Actor,getFaceYaw,Actor:getFaceYaw(objid),objid:number,"ErrorCode.OK, yaw:number",Get the crosswise deviation angle of actor's  view,local result = Actor:getFaceYaw(objid)
40029,Game Actor,turnFaceYaw,"Actor:turnFaceYaw(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Change the crosswise deviation angle of actor,"local result = Actor:turnFaceYaw(objid, offset)"
40030,Game Actor,setFacePitch,"Actor:setFacePitch(objid, pitch)","objid:number, pitch:number upward view",ErrorCode.OK,Set the upward angle of actor's view,"local result = Actor:setFacePitch(objid, pitch)"
40031,Game Actor,getFacePitch,Actor:getFacePitch(objid),objid:number,"ErrorCode.OK, pitch:number",Get the upward angle of actor's view,local result = Actor:getFacePitch(objid)
40032,Game Actor,turnFacePitch,"Actor:turnFacePitch(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Change the upward deviation angle of actor,"local result = Actor:turnFacePitch(objid, offset)"
40033,Game Actor,playBodyEffect,"Actor:playBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Play the effects,"local result = Actor:playBodyEffect(objid, type)"
40034,Game Actor,stopBodyEffect,"Actor:stopBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Stop the effects,"local result = Actor:stopBodyEffect(objid, type)"
40035,Game Actor,playBodyEffectByFile,"Actor:playBodyEffectByFile(objid, filename, sync)","objid:number, filename:string file name, sync:bool synchronize",ErrorCode.OK,Play the file effects,"local result = Actor:playBodyEffectByFile(objid, filename, sync)"
40036,Game Actor,stopBodyEffectByFile,"Actor:stopBodyEffectByFile(objid, filename)","objid:number, filename:string file name",ErrorCode.OK,Stop the file effects,"local result = Actor:stopBodyEffectByFile(objid, filename)"
40037,Game Actor,playSound,"Actor:playSound(objid, name, volume, pitch, flag)","objid:number, name:string, volume:number, pitch:number, flag:number",ErrorCode.OK,Play sound,"local result = Actor:playSound(objid, name, volume, pitch, flag)"
40038,Game Actor,playSoundSpecial,"Actor:playSoundSpecial(objid, name, type)","objid:number, name:string, type:number designate name (GSOUND_TYPE)",ErrorCode.OK,Play sound(specific type:GSOUND_TYPE),"local result = Actor:playSoundSpecial(objid, name, type)"
40039,Game Actor,clearActorWithId,"Actor:clearActorWithId(actorid, bkill)","actorid:number, bkill:boolean",ErrorCode.OK,Clear the creature's id whose id is actorid,"local result = Actor:clearActorWithId(actorid, bkill)"
40040,Game Actor,setAttackType,"Actor:setAttackType(objid, attacktype)","objid:number, attacktype:number",ErrorCode.OK,Set the damage type,"local result = Actor:setAttackType(objid, attacktype)"
40041,Game Actor,setImmuneType,"Actor:setImmuneType(objid, immunetype, isadd)","objid:number, immunetype:number, isadd:number",ErrorCode.OK,Set damage immunity type,"local result = Actor:setImmuneType(objid, immunetype, isadd)"
40042,Game Actor,mountActor,"Actor:mountActor(objid, mountobjid, posindex)","objid:number, mountobjid:number, posindex:number ride",ErrorCode.OK,"Get on, off the vehicle","local result = Actor:mountActor(objid, mountobjid, posindex)"
40043,Game Actor,setActionAttrState,"Actor:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,"Set the behavior, attribute and state of creature","local result = Actor:setActionAttrState(objid, actionattr, switch)"
40044,Game Actor,tryNavigationToPos,"Actor:tryNavigationToPos(objid, x, y, z, cancontrol)","objid:number, x|y|z:number, cancontrol:boolean",ErrorCode.OK,Find the way to target location,"local result = Actor:tryNavigationToPos(objid, x, y, z, cancontrol)"
40045,Game Actor,getRidingActorObjId,Actor:getRidingActorObjId(objid),objid:number,ErrorCode.OK,Get the Pferd's objid,local result = Actor:getRidingActorObjId(objid)
50001,Player,getAttr,Player:getAttr(attrtype),"objid:number, atttype:number","ErrorCode.OK, value:number",nil,local result = Player:getAttr(attrtype)
50002,Player,setAttr,"Player:setAttr(attrtype, val)","objid:number, val:number, atttype:number",ErrorCode.OK,nil,"local result = Player:setAttr(attrtype, val)"
50003,Player,getHostUin,Player:getHostUin(),nil,"ErrorCode.OK, uin:number",Get the host,local result = Player:getHostUin()
50004,Player,isMainPlayer,Player:isMainPlayer(objid),objid:number,ErrorCode.OK is local player is local player,Detect if it's local player,local result = Player:isMainPlayer(objid)
50005,Player,getMainPlayerUin,Player:getMainPlayerUin(),nil,"ErrorCode.OK, uin:number",Get the local player's uin,local result = Player:getMainPlayerUin()
50006,Player,getGameResults,Player:getGameResults(objid),objid:number,"ErrorCode.OK, value:number",Get result of the game,local result = Player:getGameResults(objid)
50007,Player,setGameResults,"Player:setGameResults(objid, result)","objid:number, result",ErrorCode.OK,Set result of the game,"local result = Player:setGameResults(objid, result)"
50008,Player,getGameScore,Player:getGameScore(objid),objid:number,"ErrorCode.OK, value:number",Get score of the game,local result = Player:getGameScore(objid)
50009,Player,setGameScore,"Player:setGameScore(objid, score)",objid:number,"ErrorCode.OK, value:number",Set score of the game,"local result = Player:setGameScore(objid, score)"
50010,Player,getGameRanking,Player:getGameRanking(objid),objid:number,"ErrorCode.OK, rank:number",Get the rank of player,local result = Player:getGameRanking(objid)
50011,Player,setGameRanking,"Player:setGameRanking(objid, rank)","objid:number, rank:number",ErrorCode.OK,Set the rank of player,"local result = Player:setGameRanking(objid, rank)"
50012,Player,gainItems,"Player:gainItems(objid, itemid, num, prioritytype)","objid:number, itemid:number, num:number, prioritytype:number(1 is shortcut bar prior 2 is backpack bar prior)",ErrorCode.OK,Add items for players,"local result = Player:gainItems(objid, itemid, num, prioritytype)"
50013,Player,teleportHome,Player:teleportHome(objid),objid:number,ErrorCode.OK,Transfer to spawn point,local result = Player:teleportHome(objid)
50014,Player,getCurToolID,Player:getCurToolID(objid),objid:number,"ErrorCode.OK, ret",Get the item id currently held by the player,local result = Player:getCurToolID(objid)
50015,Player,getNickname,Player:getNickname(objid),objid:number,"ErrorCode.OK, name:string",Get the player's name,local result = Player:getNickname(objid)
50016,Player,removeBackpackItem,"Player:removeBackpackItem(objid, itemid, num)","objid:number, itemid:number, num:number",ErrorCode.OK,Remove items in backpack,"local result = Player:removeBackpackItem(objid, itemid, num)"
50017,Player,getDieTimes,Player:getDieTimes(objid),objid:number,"ErrorCode.OK, value:number",Get the number of deaths,local result = Player:getDieTimes(objid)
50018,Player,getLeftLifeNum,Player:getLeftLifeNum(objid),objid:number,"ErrorCode.OK, value:number",Get the number of remaining lives left,local result = Player:getLeftLifeNum(objid)
50019,Player,setTeam,"Player:setTeam(objid, team)","objid:number, teamid:number",ErrorCode.OK,Set the creature team,"local result = Player:setTeam(objid, team)"
50020,Player,getTeam,Player:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Get the creature team,local result = Player:getTeam(objid)
50021,Player,getFoodLevel,Player:getFoodLevel(objid),objid:number,ErrorCode.OK,Get the current satiety,local result = Player:getFoodLevel(objid)
50022,Player,setFoodLevel,"Player:setFoodLevel(objid, foodLevel)","objid:number, foodLevel:number",ErrorCode.OK,Set the current satiety,"local result = Player:setFoodLevel(objid, foodLevel)"
50023,Player,getCurShotcut,Player:getCurShotcut(objid),objid:number,"ErrorCode.OK, scutIdx:number",Get the current shortcut bar,local result = Player:getCurShotcut(objid)
50024,Player,onCurToolUsed,"Player:onCurToolUsed(objid, num)","objid:number, num:number items number",ErrorCode.OK,Set the consumption of item held by player,"local result = Player:onCurToolUsed(objid, num)"
50025,Player,setSkillCD,"Player:setSkillCD(objid, itemid, cd)","objid:number, itemid:number, cd:number",ErrorCode.OK,Set CD,"local result = Player:setSkillCD(objid, itemid, cd)"
50026,Player,reviveToPos,"Player:reviveToPos(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Respawn player at designated point,"local result = Player:reviveToPos(objid, x, y, z)"
50027,Player,setRevivePoint,"Player:setRevivePoint(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Change the respawn point ,"local result = Player:setRevivePoint(objid, x, y, z)"
50028,Player,playAct,"Player:playAct(objid, actid)","objid:number, actid:number动作id",ErrorCode.OK,Player play the cartoon,"local result = Player:playAct(objid, actid)"
50029,Player,notifyGameInfo2Self,"Player:notifyGameInfo2Self(objid, info)","objid:number, info:string text content",ErrorCode.OK,Display texts in popup window,"local result = Player:notifyGameInfo2Self(objid, info)"
50030,Player,useItem,"Player:useItem(objid, itemid, status, onshift)","objid:number, itemid:number, status:number state of using, onshift:boolean whether to press shift",ErrorCode.OK,Make player use current item,"local result = Player:useItem(objid, itemid, status, onshift)"
50031,Player,rotateCamera,"Player:rotateCamera(objid, yaw, pitch)","objid:number, yaw:number, pitch:number",ErrorCode.OK,Rotate player's lens,"local result = Player:rotateCamera(objid, yaw, pitch)"
50032,Player,changeViewMode,"Player:changeViewMode(objid, viewmode, islock)","objid:number, viewmode:numberVIEWPORTTYPE, islock:boolean",ErrorCode.OK,Change angle mode of player,"local result = Player:changeViewMode(objid, viewmode, islock)"
50033,Player,setActionAttrState,"Player:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,"Set the behavior, attribute and state of creature","local result = Player:setActionAttrState(objid, actionattr, switch)"
50034,Player,checkActionAttrState,"Player:checkActionAttrState(objid, actionattr)","objid:number, actionattr:numberPLAYERATTR",ErrorCode.OK,"The toggle of behavior, attribute and state of player","local result = Player:checkActionAttrState(objid, actionattr)"
50035,Player,getMaxHP,Player:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Get the current max HP,local result = Player:getMaxHP(objid)
50036,Player,getCurHP,Player:getCurHP(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Get the current HP,local result = Player:getCurHP(objid)
50037,Player,getHpRecover,Player:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP recover,local result = Player:getHpRecover(objid)
50038,Player,getCurFood,Player:getCurFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Current satiety,local result = Player:getCurFood(objid)
50039,Player,getMaxOxygen,Player:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",[[,local result = Player:getMaxOxygen(objid)
50040,Player,getCurOxygen,Player:getCurOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Current oxygen volume,local result = Player:getCurOxygen(objid)
50041,Player,getWalkSpeed,Player:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Walking speed,local result = Player:getWalkSpeed(objid)
50042,Player,getSwimSpeed,Player:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Swimming speed(in water),local result = Player:getSwimSpeed(objid)
50043,Player,getJumpPower,Player:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Jump force,local result = Player:getJumpPower(objid)
50044,Player,getRunSpeed,Player:getRunSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Running speed,local result = Player:getRunSpeed(objid)
50045,Player,getSneakSpeed,Player:getSneakSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Sneaking speed,local result = Player:getSneakSpeed(objid)
50046,Player,getDodge,Player:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Dodging speed,local result = Player:getDodge(objid)
50047,Player,getPunchAttack,Player:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Melee attack,local result = Player:getPunchAttack(objid)
50048,Player,getRangeAttack,Player:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Ranged attack,local result = Player:getRangeAttack(objid)
50049,Player,getPunchDefense,Player:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Melee defense,local result = Player:getPunchDefense(objid)
50050,Player,getRangeDefense,Player:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Ranged defense,local result = Player:getRangeDefense(objid)
50051,Player,getStarNum,"Player:getStarNum(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Number of stars,"local result = Player:getStarNum(objid, val)"
