ID,名称,描述,说明
10040,Dapatkan masa peranti hos penuh.,Dapatkan masa peranti penuh.,
10041,Jenis blok rawak,Jenis blok rawak,
10042,Bahagikan rentetan,"Segmentasi%1, segmentasi%2, segmen%3 selepas segmentasi dipintas.",
10043,Dapatkan rentetan teg JSON yang ditentukan,Dapatkan kandungan %1 dalam JSON dengan nama kunci %2,
10044,Dapatkan masa pelayan permainan.,Mendapat%1 masa pelayan permainan,
10045,Tukar setem masa kepada unit masa.,Tukar cap masa%1 kepada%2,
10046,Dapatkan masa pelayan penuh.,Dapatkan masa pelayan penuh.,
10047,Tukar setem masa kepada masa penuh.,Tukar cap masa%1 kepada masa penuh,
10048,Mendapatkan panjang rentetan,Mendapat panjang%1,
10049,Nama Jenis Status,Nama jenis untuk%1,
10050,Penerangan Jenis Status,Keterangan pemalam untuk%1,
10051,Dapatkan koordinat jenis blok.,"Dapatkan koordinat%2 terdekat bagi jarak%1, cari paksi XYZ untuk jejari%3 petak.",
10052,Bar alat peraga beg galas,Dapatkan%1,
10053,Kekunci pintasan,Dapatkan%1,
10054,Lajur Peralatan,Dapatkan%1,
10055,Jenis blok ditukar kepada jenis prop.,Tukar%1 kepada jenis prop,
10056,Jenis prop ditukar kepada jenis blok,%1 ditukar kepada jenis blok,
10057,Dapatkan ID bilik semasa.,Dapatkan ID bilik semasa.,
1010001,Cuaca berubah.,Apabila cuaca berubah.,Cuaca berubah dari hari yang cerah kepada hari hujan dan hari hujan kepada hari yang cerah.
1010002,Apabila cuaca berubah dalam kumpulan rupa bumi.,Apabila cuaca berubah untuk%1 yang dinyatakan.,"Kumpulan biasa: Dataran / Hutan / Tebing / Hutan / Lembangan / Pulau Kosong / Sungai; Kumpulan Lautan: Pantai / Laut Dalam / Laut Cetek / Pulau; Kumpulan Gurun: Gurun / Oasis; Zon sejuk biasa: taiga / kepingan ais; Zon sejuk puncak: gunung ais; Kumpulan gunung berapi: gunung berapi; Kumpulan tanah lembap: hutan hujan / paya; Rata, pulau angkasa"
1020001,Penciptaan permainan,Apabila permainan dicipta,"Selepas memasuki permainan kira detik 3, 2, 1 tamat, apabila permainan bermula."
1020002,Masa permainan,Apabila masa permainan ialah%1 mata.,Apabila masa semasa permainan adalah pada masa yang ditetapkan.
1020003,Tempoh permainan berjalan.,Apabila permainan dijalankan selepas%1 saat,"Selepas memasuki permainan, jalankan selepas masa yang ditetapkan."
1020004,Pemain menang.,Apabila pemain menang.,
1020005,Pemain gagal,Apabila pemain gagal,
1020007,Pemain memasuki permainan.,Apabila pemain memasuki permainan.,
1020008,Pemain meninggalkan permainan.,Apabila pemain meninggalkan permainan.,
1020009,Perubahan Pemasa,Apabila pemasa berubah.,Apabila mana-mana pembolehubah pemasa dalam perpustakaan berubah.
1020010,Nyatakan perubahan pemasa.,Apabila%1 berubah,Apabila pembolehubah pemasa yang ditentukan dalam perpustakaan berubah.
1020011,Setiap kali permainan berlangsung (gelung),Setiap%1 saat permainan dijalankan,"1. Nilai minimum ialah 0.05 saat, 0.05 akan diambil 0.01-0 09.
2. Permainan akan menyala selepas masa yang ditetapkan setiap kali permainan dijalankan (gelung)."
1020012,Apabila bilik cloud menerima sebarang mesej.,Apabila bilik cloud menerima sebarang mesej.,
1020013,Terima siaran langsung.,Apabila menerima siaran%1,
1020014,syarat ditetapkan.,Apabila%1 ditubuhkan.,
1020015,Apabila meletakkan cetak biru,Apabila pelan tindakan diletakkan,
1020016,Apabila bilik cloud menerima mesej siaran pelayan.,Apabila bilik cloud menerima siaran pelayan%1.,
1030001,Pemain telah dikalahkan.,Apabila pemain itu dikalahkan,
1030002,Pemain dihidupkan semula.,Apabila pemain dibangkitkan,
1030003,Perubahan sifat pemain,Apabila sifat%1 pemain berubah.,"Apabila sifat pemain tertentu, seperti jumlah darah, berubah."
1030004,Pemain mengalahkan sasaran.,Apabila pemain mengalahkan sasaran.,"Apabila pemain mengalahkan pemain lain, makhluk. Pemain yang dikalahkan, makhluk ialah pemain sasaran dalam acara, makhluk."
1030005,Pemain menyerang.,Apabila pemain mula menyerang.,
1030006,Pemain memukul semasa serangan.,Apabila pemain memukul semasa serangan.,"Apabila pemain menyerang dan memukul pemain lain, makhluk hidup. Pemain yang terkena, makhluk itu adalah pemain sasaran dalam acara itu, makhluk hidup."
1030007,Pemain menyebabkan kecederaan.,Apabila pemain menyebabkan kerosakan.,"Apabila pemain menyebabkan kerosakan kepada pemain lain, makhluk hidup. Pemain yang cedera, makhluk ialah pemain sasaran dalam acara itu, makhluk hidup."
1030008,Pemain cedera,Apabila pemain cedera,
1030009,Pemain bergerak,Apabila pemain bergerak satu jarak.,
1030010,Pemain menggunakan emotikon animasi.,Apabila pemain menggunakan ekspresi animasi.,
1030011,Pemain menggunakan alat peraga,Apabila pemain menggunakan alat peraga,
1030012,Pemain mendapat alat peraga.,Apabila pemain mendapat alat peraga,
1030013,Pemain menggunakan alat peraga.,Apabila pemain menggunakan alat peraga,
1030014,Pemain klik pada makhluk atau pemain.,Apabila pemain klik pada makhluk atau pemain.,
1030015,Pemain klik pada kotak.,Apabila pemain klik pada kotak.,
1030016,Pemain menunggang.,Apabila pemain menunggang gunung / kenderaan,
1030017,Pemain membatalkan tunggangan.,Apabila pemain membatalkan tunggangan.,
1030018,Keadaan pergerakan pemain berubah.,Apabila pemain memulakan%1,
1030019,Perlanggaran berlaku pada pemain.,Apabila pemain bertembung dengan mana-mana pemain / makhluk.,
1030020,Pemain mengambil barang.,Apabila pemain mengutip barang yang jatuh.,
1030021,Pemain memasuki kawasan,Apabila pemain memasuki%1,"Acara yang memasuki dan meninggalkan kawasan tidak dapat mencetuskan tindakan berkaitan pembangun, seperti memainkan iklan, menunjukkan tetingkap pembelian produk, membuka kedai pembangun."
1030022,Pemain meninggalkan kawasan.,Apabila pemain meninggalkan%1,"Acara yang memasuki dan meninggalkan kawasan tidak dapat mencetuskan tindakan berkaitan pembangun, seperti memainkan iklan, menunjukkan tetingkap pembelian produk, membuka kedai pembangun."
1030023,Lajur peralatan pemain ditukar.,Apabila bar peralatan pemain berubah.,
1030024,Tukar palang beg galas pemain.,Apabila palang beg galas pemain berubah.,
1030025,Bar pintasan pemain berubah.,Apabila bar pintasan pemain berubah.,
1030026,Bar pintasan pemilihan pemain,Apabila pemain memilih bar pintasan.,
1030027,Pemain membuang barang.,Apabila pemain membuang barang.,
1030028,Pemain memakai gear.,Apabila pemain memakai gear.,
1030029,Pemain menanggalkan peralatan.,Apabila pemain menanggalkan gear.,
1030030,Pemain menunjukkan mesej sembang.,%1 dipaparkan apabila kotak sembang pemain dipaparkan.,
1030031,Pemain memasukkan maklumat sembang.,Apabila pemain menghantar%1 dalam kotak sembang.,
1030032,Pemain menekan butang,Semasa pemain menekan%1.,
1030033,Pemain menekan butang lama.,Apabila pemain menekan lama%1.,
1030034,Pemain melonggarkan butang.,Apabila pemain melonggarkan%1,
1030035,Pemain mendapat status,Apabila pemain mendapat status,
1030036,Pemain hilang status,Apabila pemain kehilangan statusnya.,
1030037,Pemain kehilangan status yang ditetapkan.,Apabila pemain kehilangan status%1,
1030038,Tahap pemain telah berubah.,Apabila tahap pemain berubah.,
1030039,Pemain memasukkan maklumat sembang (termasuk rentetan),Apabila mana-mana pemain memasukkan maklumat yang mengandungi%1 dalam kotak sembang.,Apabila pemain memasuki kotak sembang yang mengandungi teks yang ditetapkan dan menghantarnya.
1030040,Apabila pemain memilih item yang ditetapkan.,"Apabila pemain memilih ""%1"" dalam bar pintasan.",
1030041,Pemain menjemput rakan,Apabila pemain menjemput rakan,
1040001,Makhluk terluka.,Apabila makhluk mengalami kecederaan,
1040002,Makhluk menyerang.,Apabila makhluk mula menyerang.,
1040003,Serangan biologi terkena.,Apabila makhluk menyerang dan memukul.,
1040004,Makhluk yang menyebabkan kerosakan,Apabila benda hidup menyebabkan kerosakan.,
1040005,Makhluk telah dikalahkan.,Apabila makhluk itu dikalahkan,
1040006,Makhluk mengalahkan sasaran.,Apabila makhluk mengalahkan sasaran.,
1040007,Bio memasuki kawasan,Apabila makhluk memasuki%1,
1040008,Bio meninggalkan kawasan itu.,Apabila makhluk meninggalkan%1,
1040009,Perubahan dalam keadaan biomotilitas,Apabila makhluk bermula%1,
1040010,Perlanggaran biologi berlaku.,Apabila makhluk bertembung dengan mana-mana pemain / makhluk.,
1040011,Perubahan sifat biologi,Apabila sifat makhluk%1 berubah,
1040012,Makhluk dicipta,Apabila benda hidup dicipta,
1040013,Keadaan perolehan biologi,Apabila makhluk hidup mendapat keadaan,
1040014,Makhluk itu hilang status.,Apabila benda hidup tidak berada dalam keadaan,
1040015,Makhluk kehilangan status yang ditetapkan.,Apabila organisma kehilangan%1,
1040016,Makhluk ini cedera.,Apabila makhluk seperti itu cedera.,
1040017,Makhluk ini menyerang.,Apabila makhluk sedemikian mula menyerang.,
1040018,Makhluk ini menyerang.,"Apabila makhluk sedemikian menyerang sasaran,",
1040019,Makhluk ini menyebabkan kerosakan.,Apabila makhluk sedemikian menyebabkan kerosakan pada sasaran.,
1040020,Makhluk ini telah dikalahkan.,Apabila makhluk seperti itu dikalahkan,
1040021,Makhluk ini mengalahkan sasaran.,Apabila makhluk sedemikian mengalahkan sasaran.,
1040022,Keadaan tindakan biologi ini berubah.,Apabila makhluk ini bermula%1,
1040023,Makhluk ini berlanggar.,Apabila mana-mana makhluk ini bertembung dengan mana-mana pemain / makhluk.,
1040024,Sifat biologi ini berubah.,Apabila sifat makhluk jenis ini%1 berubah.,
1040025,Makhluk ini dicipta,Apabila makhluk sedemikian dicipta,
1040026,Makhluk ini mendapat status,Apabila makhluk sedemikian mendapat keadaan,
1040027,Makhluk ini sudah tidak berkeadaan.,Apabila makhluk ini tidak lagi wujud.,
1040028,Makhluk ini diklik oleh pemain.,Apabila makhluk sedemikian diklik oleh pemain.,
1050001,Bongkah telah digali.,"Apabila blok itu digali,",
1050002,Blok itu musnah.,Apabila blok dimusnahkan,
1050003,Perubahan keadaan suis blok,Apabila keadaan suis blok berubah.,
1050004,Alat peraga bekas simpanan telah ditukar.,Apabila alat peraga dalam bekas simpanan berubah.,
1050005,Blok dicipta.,Apabila blok dibuat,
1050006,Bekas penyimpanan dimasukkan ke dalam prop.,Apabila bekas penyimpanan dimasukkan ke dalam alat peraga.,
1050007,Bekas penyimpanan dikeluarkan dari alat peraga.,"Apabila bekas penyimpanan dikeluarkan, alat peraga",
1050008,Blok itu digali.,Apabila blok itu digali,
1050009,Blok itu terganggu oleh penggalian.,Apabila blok itu digali tetapi diganggu.,
1050010,Blok ini telah digali.,Apabila blok tersebut digali,
1050011,Blok ini telah digali.,Apabila blok tersebut selesai menggali.,
1050012,Blok ini terganggu oleh penggalian.,Apabila penggalian blok sedemikian terganggu.,
1050013,Blok ini telah dimusnahkan.,Apabila blok tersebut dimusnahkan,
1050014,Blok ini dicipta.,Apabila blok sedemikian dibuat,
1050015,Keadaan suis blok ini berubah.,Apabila keadaan pensuisan blok tersebut berubah.,
1050016,Blok ini telah diperolehi.,Apabila pemain / makhluk mendapat blok tersebut.,
1050017,Blok ini telah diklik oleh pemain.,"Apabila pemain mengklik pada kotak sedemikian,",
1050018,Perubahan warna blok,Apabila warna blok berubah,
1060001,balingan mengenai sasaran.,Apabila objek dibaling mengenai mana-mana pemain / makhluk / blok,
1060002,baling barang ke kawasan itu.,Apabila objek dibaling ke dalam%1,
1060003,Buang barang dari kawasan itu.,Apabila objek dibaling meninggalkan%1,
1060004,Barang jatuh memasuki kawasan,Apabila barangan yang jatuh memasuki%1,
1060005,Barang jatuh meninggalkan kawasan itu.,Apabila barang jatuh meninggalkan%1.,
1060006,Barang yang jatuh telah diambil.,Apabila barang yang jatuh diambil.,
1060007,Barang yang jatuh hilang.,Apabila barang yang jatuh hilang,
1060008,Objek lontaran dicipta.,Apabila balingan dibuat,
1060009,,,
1060010,Alat peraga ini dibuang.,Apabila barang sedemikian dibuang,
1060011,Alat peraga ini hilang.,Apabila alat peraga seperti itu jatuh dan hilang.,
1060012,Alat peraga ini rosak.,Apabila barang sedemikian rosak,
1060013,Bungkusan ini mengenai sasaran.,Apabila objek seperti itu mengenai mana-mana sasaran.,
1060014,Objek ini dicipta atau digunakan.,Apabila objek seperti itu dicipta atau digunakan.,
1060015,Alat peraga ini digunakan.,Apabila alat peraga tersebut digunakan,
1060016,Bungkusan ini dibuka.,Apabila prop bungkusan sedemikian dibuka,
1060017,Peralatan ini dipakai.,Apabila peralatan dan alat peraga sedemikian dipakai.,
1060018,Peralatan ini ditanggalkan.,Apabila peralatan dan alat peraga itu ditanggalkan.,
1060019,Peralatan ini rosak.,Apabila peralatan dan prop ini dimusnahkan oleh pemain / makhluk.,
1060020,Alat peraga ini digunakan,Apabila item sedemikian digunakan oleh pemain.,
1060021,Apabila objek jatuh dibuat dengan cara yang ditetapkan.,Apabila barang yang dijatuhkan dicipta dengan%1,
1060022,Apabila barang yang jatuh dicipta dengan cara apa pun.,Apabila barang yang jatuh dicipta dengan cara apa pun.,
1070001,Kesan khas lokasi dicipta.,Apabila kesan khas dicipta di lokasi.,
1070002,Kesan khas pada pemain dicipta.,Apabila kesan khas dicipta dalam pemain.,
1070003,Kesan khas pada organisma dicipta.,Apabila kesan khas dicipta dalam organisma,
1070004,Kesan lontaran dicipta.,Apabila kesan khas dicipta untuk melontar objek,
1070005,Apabila kesan khas dicipta pada objek yang jatuh.,Apabila kesan khas dicipta pada objek yang jatuh,
1080001,Keadaan ini diperolehi oleh makhluk hidup.,"Apabila makhluk memperoleh keadaan sedemikian,",
1080002,Keadaan ini dikeluarkan daripada organisma hidup.,"Apabila organisma kehilangan keadaan sedemikian,",
1080003,Status ini diperolehi oleh pemain.,Apabila pemain mendapat status sedemikian.,
1080004,Status ini dialih keluar daripada pemain.,Apabila pemain kehilangan status ini.,
1090001,Resipi ini telah disintesis.,Apabila formulasi sedemikian disintesis.,
1090002,Sintesis formulasi selesai.,Apabila resipi disintesis.,
1100001,peleburan bermula.,Apabila peleburan bermula.,
1100002,Peleburan sudah siap.,Apabila peleburan selesai.,
1100003,Peleburan ini bermula.,"Apabila peleburan sedemikian bermula,",
1100004,Peleburan ini sudah siap.,Apabila peleburan sedemikian selesai.,
110001,Kenderaan pemain,Alat untuk%1,
1110001,Plot bermula.,Apabila jalan cerita bermula.,
1110002,Tamat cerita.,Apabila plot tamat.,
1110003,Plot ini bermula.,Apabila jalan cerita ini bermula,
1110004,Plot ini sudah tamat.,Apabila jalan cerita ini tamat.,
1120001,Butang itu dilepaskan.,Mana-mana butang antara muka semasa dilonggarkan.,
1120002,Antara muka dibuka.,Antara muka semasa dibuka.,
1120003,Antara muka ditutup.,Antara muka semasa ditutup.,
1120004,Butang itu ditekan.,Mana-mana butang antara muka semasa ditekan.,
1120005,Pemain memasukkan rentetan dalam antara muka.,Apabila pemain memasukkan sebarang rentetan dalam antara muka.,
1120006,Butang pada antaramuka semasa telah dilepaskan.,%1 antara muka semasa telah dibuka.,
1120007,Butang untuk antaramuka semasa ditekan.,Antara muka semasa '%1' ditekan.,
1120008,Apabila pemain memasukkan kandungan dalam kotak input antara muka semasa.,Apabila pemain memasukkan kandungan ke dalam%1 antara muka semasa.,
1130001,Main balik muzik,Apabila muzik antara muka mula dimainkan.,
1140001,Pembelian Ahli Besar (1 bulan),Apabila pemain membeli ahli 1 bulan.,
1140002,Pembelian Ahli Besar (3 bulan),Apabila pemain membeli keahlian 3 bulan.,
1140003,Mana-mana pemain yang membeli atau mengeluarkan item daripada kedai pembangun.,Apabila pemain membeli atau mengeluarkan item daripada kedai pembangun.,
120001,Jenis kesan khas rawak,Jenis kesan khas rawak,
120002,Jenis kesan khas,Jenis kesan khas%1,
120003,Kumpulan jenis kesan khas,Kumpulan jenis kesan%1,
130001,Dapatkan nama slot iklan yang sedang dimainkan.,Dapatkan nama slot iklan yang sedang dimainkan.,
140001,Jenis blok,Jenis blok%1,
140002,Kumpulan jenis blok,Kumpulan jenis blok%1,
140003,Nama jenis blok,Nama jenis untuk%1,
140004,Penerangan Jenis Blok,Keterangan pemalam untuk%1,
140005,Penampilan jenis blok,Penampilan%1,
150001,Papan aksara,"Papan teks dengan kandungan%1, saiz fon%2, kelegapan%3%, nombor%4, Pemindahan baris automatik %5",
150002,Teks Terapung,"Teks terapung dengan kandungan%1, saiz fon%2, nombor%3.",
150003,Bar kemajuan,"Nilai semasa%1, bar kemajuan untuk nilai maksimum%2, warna%3, nombor%4.",
150004,Anak panah menunjuk ke objek,"Anak panah menunjuk ke%1, saiz%2, warna%3, nombor%4.",
150005,Anak panah menunjuk ke lokasi,"Anak panah menunjuk ke%1, saiz%2, warna%3, nombor%4.",
150006,Arah ke permukaan panduan objek,"Tuding ke permukaan panduan%1, saiz%2, warna%3, nombor%4.",
150007,Permukaan pemandu yang menunjuk ke lokasi,"Tuding ke permukaan panduan%1, saiz%2, warna%3, nombor%4.",
150008,Garis panduan menunjuk ke objek.,"Panduan menunjuk ke%1, saiz%2, warna%3, nombor%4.",
150009,Garis panduan menunjuk ke lokasi.,"Panduan menunjuk ke%1, saiz%2, warna%3, nombor%4.",
150010,Gambar,"Gambar ialah%1, saiznya ialah%2 kali, kelegapan ialah%3%dan nombornya ialah%4.",
160001,Warna rawak,Warna rawak,
170001,Lokasi bagi nombor yang dinyatakan dalam kumpulan lokasi.,Lokasi bernombor%2 dalam%1,
170002,Kedudukan rawak dalam kumpulan lokasi,Kedudukan rawak dalam%1,
180001,Kawasan bernombor yang ditetapkan dalam kumpulan kawasan.,Kawasan bernombor%2 dalam%1,
180002,Kawasan rawak dalam kumpulan kawasan,Kawasan rawak dalam%1,
190001,Nilai berangka bagi nombor yang dinyatakan dalam kumpulan nilai.,Nilai bernombor%2 dalam%1,
190002,Nilai rawak dalam kumpulan nilai,Nilai rawak dalam%1,
190003,Dapatkan nilai maksimum dalam kumpulan nilai.,Dapatkan nilai maksimum dalam%1,
190004,Dapatkan nilai terkecil dalam kumpulan nilai.,Dapatkan nilai minimum dalam%1,
200001,Rentetan untuk menentukan nombor dalam kumpulan rentetan.,Rentetan bernombor%2 dalam%1,
200002,Rentetan rawak dalam kumpulan rentetan,Rentetan rawak dalam%1,
20001,Operasi Berangka,%1%2%3,
20002,Pengeluaran lebihan.,%1Mod%2,
20003,Nombor rawak,Menjana integer rawak:%1 hingga%2,
20004,Nilai maksimum,%1 dan%2 daripada%3,
20005,Pembahagian,%1 membahagikan%2,
20006,Nilai koordinat bagi lokasi,Nilai koordinat%2 bagi%1,
20007,Sudut mengufuk antara lokasi,Sudut mengufuk antara%1 dan%2,
20008,Sudut menegak antara kedudukan,Sudut menegak antara%1 dan%2,
20009,Operasi idempoten,Kuasa%2 bagi%1,
20010,segi empat sama,Buka%1 kepada kuasa%2,
20011,Nilai mutlak,Nilai mutlak untuk%1,
20012,Fungsi trigonometri,%1%2%3,
20013,Fungsi logaritma asas tetap,%1%2,
20014,Sebarang fungsi logaritma asas,Log%1%2,
20015,Pembundaran,%2%1,
20016,Penukaran sudut dan radian,Tukarkan%1 kepada%2,
20019,XOR Logik,%1 ialah%2,
20020,Empat Operasi Lanjutan,%1%2%3,
2010001,Perbandingan Berangka,%1%2%3,
2010002,Nombor rawak,%1%2%3,
2010003,Nilai maksimum atau minimum,%1%2%3,
2010004,Pembahagian,%1%2%3,
2010005,Nilai koordinat bagi lokasi,%1%2%3,
2010006,Sudut mengufuk bagi kedudukan dan kedudukan,%1%2%3,
2010007,Sudut menegak bagi kedudukan dan kedudukan,%1%2%3,
2010008,Operasi idempoten,%1%2%3,
2010009,segi empat sama,%1%2%3,
2010010,Nilai mutlak,%1%2%3,
2010011,Fungsi trigonometri,%1%2%3,
2010012,Pembundaran,%1%2%3,
2010013,Penukaran sudut dan radian,%1%2%3,
2010018,Perbandingan mana-mana nilai,%1%2%3,
2010019,Logik dan,%1 dan%2,
2010020,Logik atau,%1 atau%2,
2010021,Logik tidak,Bukan%1,
2020001,Masa permainan,%1%2%3,
2020002,Bilangan pemain,%1%2%3,
2020003,Penghakiman Cuaca,%1%2%3,
2020004,Penghakiman Graviti,%1%2%3,
2020005,Penghakiman keadaan pencetus.,Status Dibenarkan untuk%1,
2020006,Penentuan status kumpulan pencetus,Status Dibenarkan untuk%1,
2030001,Penghakiman atribut pasukan,%1%2%3,
2040001,Penghakiman Atribut Pemain,%1%2%3,
2040002,Bilangan prop yang dimiliki,%1%2%3,
2040003,Penghakiman nombor pemain dalam kumpulan pemain.,%1%2%3,
2040004,Penghakiman pasukan pemain.,%1%2%3,
2040005,Pemain menilai sendiri.,%1%2%3,
2040006,Pemain menghadap sudut.,%1%2%3,
2040007,Dalam penilaian kumpulan pemain.,%1%2 dalam%3,
2040008,Pemain berada penghakiman kawasan,%1 %2 dalam %3,
2040009,Penghakiman kesan keadaan pemain,%1%2 dalam%3,
2040010,Penghakiman Ungkapan Animasi,%1%2 ialah%3,
2040011,Penentuan Tetapan Pemain,%2 daripada%1 ialah%3.,
2040012,Pilih Kunci Bar Pintasan,%1%2%3,
2040013,Penghakiman Jenis Alat Ganti Tangan,%1%2%3,
2040014,Penghakiman lajur peralatan,%1%2%3,
2040015,Pemain memakai peralatan untuk menilai.,%1%2 memakai%3.,
2040016,Penghakiman Penampilan Pemain,%1%2%3,
2040017,Penghakiman ruang beg galas pemain,Bar pintasan dan beg galas%1 boleh menyimpan%2%3 untuk%4.,
2040018,Beg galas pemain memegang alat peraga untuk menilai.,%2 daripada%1 memegang%3 sebagai%4,
2040019,Penghakiman Jenis Objek Sasaran,Jenis objek sasaran dalam acara ialah%1 dan%2.,
2040020,Menilai Rakan Pemain,%1%2 ialah perhubungan rakan%3,
2040021,Adakah pemain mengikuti pengarang?,% 1 sudah % 2,
2050001,Bilangan pemain dalam kumpulan pemain,%1%2%3,
2050002,Bilangan pemain dalam kumpulan pemain.,%1%2%3,
2050003,Pemain dengan nombor yang ditetapkan dalam kumpulan pemain.,%1%2%3,
2060001,Ciri-ciri biologi,%1%2%3,
2060003,Dalam pertimbangan biom.,%1%2 dalam%3,
2060004,Penghakiman Jenis Biologi,%1%2%3,
2060005,Penghakiman individu biologi.,%1%2%3,
2060006,Sudut Bio-Orientasi,%1%2%3,
2060007,Makhluk berada penghakiman kawasan,%1 %2 dalam %3,
2060008,Penghakiman kesan keadaan biologi,%1%2 dalam%3,
2060009,Penghakiman Pasukan Biologi,%1%2%3,
2060010,Penghakiman penomboran biologi dalam biota,%1%2%3,
2060011,Penghakiman Tetapan Bio,%2 daripada%1 ialah%3.,
2060012,Penghakiman Penampilan Biologi,%1%2%3,
2070001,Bilangan organisma dalam biome,%1%2%3,
2070002,Organisma bernombor yang ditetapkan dalam kumpulan biologi.,%1%2%3,
2080001,Penghakiman bilangan barang yang jatuh,%1%2%3,
2080002,Objek yang jatuh berada di kawasan itu.,%1%2 dalam%3,
2080003,Penghakiman Jenis Prop,%1%2%3,
2080004,Bungkusan jatuh di kawasan itu.,%1%2 dalam%3,
2090001,Jarak antara lokasi dan lokasi,%1%2%3,
2090002,Penghakiman Jenis Blok,%1%2%3,
2090003,Penentuan keadaan suis blok,Status suis blok bagi%1 ialah%2.,
2090004,Segi empat sama berada dalam penghakiman kawasan.,%1%2 dalam%3,
2090005,Kiub menghala ke arah penghakiman.,Blok dalam%1 ke arah%2 ialah%3.,
2090006,Menentukan jenis blok untuk lokasi.,Jenis blok%2%3 pada%1,
2090007,Penghakiman Tetapan Blok,%2 daripada%1 ialah%3.,
2100001,Penghakiman Masa Pemasa,%1%2%3,
2100002,Perbandingan Boolean,%1%2%3,
2100003,Perbandingan rentetan,%1%2%3,
2100004,Penghakiman Jenis Muzik,%1%2%3,
2100005,Mendapatkan nilai daripada jadual pelayan untuk menyelesaikan penghakiman.,Mendapatkan nilai daripada jadual pelayan atau papan pendahulu melengkapkan penilaian sebagai%1.,"1. Ambil tindakan untuk mendapatkan nilai daripada jadual atau papan pendahulu.
2. Semua parameter acara akan dihantar (cth., pemain acara pencetus, makhluk acara pencetus, dll.)"
