ID,名字,描述,获得方式
24,Bijih Nodul Mangan,"Digunakan untuk #c0aba1dmemperkuatkan peralatan selam, membuat @item_1206##n untuk menahan tekanan tinggi di laut dalam","Mineral yang dihasilkan oleh pemeluwapan logam mangan secara berterusan di dalam @item_23#, hanya sedikit dihasilkan di laut dalam. @item_12614# akan jatuh setelah dimusnahkan."
25,Terumbu Karang,"Sangat sesuai untuk pertumbuhan karang, warna terumbu akan berubah apabila karang matang",
26,Botol Hanyut,"#c0aba1dCaj tenaga#n dan lempar ke laut atau sungai, air akan membawa keinginan anda ke arah kejauhan, akan ditemui pada sesuatu hari.",Diperolehi dengan meletakkan @item_11806# ke dalam @item_28#.
27,Botol Hanyut Dari Jauh,"Nota yang di dalam botol hanyut selalunya mengandungi maklumat penting atau hasrat yang ikhlas, juga fikiran seseorang pada masa tertentu. Nampaknya telah merentasi gunung dan lautan, merentas masa...Letakkan botol di atas tanah, keluarkan nota dan lihat...",Kemungkinan diperolehi dengan memancing dan meneroka lautan
28,Botol Kaca Kecil (Blok),Letakkannya dan masukkan @item_11806# yang bertulis ke dalamnya,
29,Pasir Kuning,"Gunakan #c0aba1dalat sekop#n untuk melombong dengan cepat, merupakan bahan asal untuk mensintesis @item_11305#, @item_11305# selalu digunakan untuk membuat @item_632#",Biasa ditemui di sekitar #c0aba1dtepi air#n dan #c0aba1dkawasan gurun#n
30,Kemas kini diperlukan,Sila muat turun versi terbaru.,@Null@
31,Pancang Ais Pepejal,Pancang Ais agak #c0aba1dstable#n. Pastikan anda memakai topi keledar semasa anda berada di sekeliling mereka!,
32,Pancang Ais Terapung,Pancang Ais ini berkemungkinan besar #c0aba1ddrop#n. Pastikan anda memakai topi keledar semasa anda berada di sekeliling mereka!,
33,Bijih Teras Kristal Biasa,Perlu dikumpulkan dengan @item_11013 # atau yang lebih maju.,Bijih jarang yang mungkin muncul di #c0aba1dSnow Gua Gunung #n Icefield dan #c0aba1dunderground#n hutan hujan.
34,Bijih Frostfire,Ores yang mengeluarkan sejuk sejuk. Perlu dikumpulkan dengan @item_11011 # atau yang lebih maju. Ia akan #c0aba1dlower suhu sekitarnya #n.,Bijih jarang yang mungkin muncul di #c0aba1dSnow Gua Gunung #n di Icefield.
35,Batu Frostfire,Blok sejuk yang dibuat dari banyak @item_11824 #. Ia #c0aba1dsignificantly akan menurunkan suhu sekeliling #n.,
36,Segar Semula Pintu Masuk Gua,,
37,Segar Semula Terowong Gua,,
38,Segar Semula Gua Gua,,
39,Penyegaran Semula Lubang Gua,,
40,Blok Kristal Hampa,"Blok yang disintesis daripada Kristal Hampa boleh menerangi ruang sekeliling. Apabila diletakkan di bawah @item_596#, raksasa yang paling berkuasa akan menyerang pada awal pagi Malam Hampa. Sila gunakannya dengan berhati-hati!",
100,Blok Tanah Berumput,"Blok di permukaan, boleh dikumpulkan dengan cepat dengan penyodok. #c0aba1dUse Rakes untuk menjadikannya @item_102#. Gunakan Shovels untuk menjadikannya @item_103#.",Dapatkannya dengan menggunakan @item_11226# pada @item_101#.
101,Tanah,"Didapati di bawah permukaan. Kemungkinan menjadi Blok Rumput selepas hujan. Gunakan alat sekop untuk melombong dengan cepat, #c0aba1dgunakan alat garu untuk menjadikan @item_102#, gunakan alat sekop untuk menjadikan @item_103#",Terdapat di bawah permukaan
102,Tanah Pertanian,Dapat menanam tanaman. Dekat dengan air atau siram dengan sumber air untuk mengekalkan kelembapan untuk pertumbuhan tanaman,
103,Lubang,"Boleh menanam biji bunga, bibit pokok, dekat dengan sumber air atau disiram dengan air untuk memastikan kelembapan, yang sesuai untuk pertumbuhan",
104,Batu,Blok yang biasa dijumpai di bawah tanah. Gunakan alat beliung untuk melombong dengan cepat,
105,Batu Berlumut,Bahan binaan yang diperbuat daripada batu dan lumut,
106,Pasir Kuning Halus,"Biasa dijumpai di kawasan tepian air dan gurun pasir, gunakan alat sekop untuk melombong dengan cepat. Adalah bahan mentah untuk mensintesis Pasir Kuarza, Pasir Kuarza selalu digunakan untuk membuat kaca. #rAkan jatuh di bawah pengaruh graviti",Biasanya dijumpai berhampiran air dan kawasan padang pasir.
107,Kerikil,"Kerikil yang tidak kukuk, gunakan alat sekop boleh melombong dengan cepat. #rApabila bahagian bawah kosong, berdiri di atasnya akan runtuh, berhati-hati",
108,Bata Kuning,Bahan binaan yang diperbuat daripada @item_29#,
109,Tanah Pasir,"Tanah yang tidak subur, tanaman tidak boleh tumbuh di atasnya. Cepat melombiong dengan alat sekop.",
110,Batu Bertaburan,"Batu kecil yang dimusnah oleh angina, dilombong untuk mendapatkan @item_11627# untuk mensintesis alat batu",
111,Kemas kini diperlukan,Sila muat turun versi terbaru.,@Null@
112,Kristal Hitam,"Dipengaruhi oleh Bayang Hampa, struktur geologi telah berubah secara drastik, bijih tidak wujud",
113,Ais Rangup,"Ais Rangup di atas air, selepas dihancurkan, akan hilang.",
114,Kelodak,Tanah biasa dijumpa di bawah air. Gunakan alat beliung untuk melombong dengan cepat,
115,Salji gebu,Lamina salji lembut nipis pada ketinggian suku grid. Boleh disusun untuk mengubah ketebalan.,
116,Blok Batu Horas,"Batu istimewa Horas, mempunyai keupayaan anti-letupan yang kuat, melombong dengan menggunakan @item_11013# atau alat beliung yang lebih lanjut",
117,Blok Rumput Horas,"Blok rumput Horas, mengandungi nutrien yang diperlukan untuk pertumbuhan. Melombong dengan menggunakan@item_11023# atau alat sekop yang lebih lanjut",
118,Awan Horas,"Awan di sekitar Pulau Terapung Horas, akan pecah apabila dipijak",
119,Tanah Kering,"Di Horas, @item_100# Miras perlu diletakkan di 
@item_1050# untuk mengekalkan nutrien, jika tidak, akan kehilangan nutrien dan menjadi tanah kering",
120,Tanah Beku,"Dalam persekitaran yang sejuk, @item_100 # dan @item_101 # akan berubah menjadi @item_120 #. Tumbuhan yang berkembang maju dalam persekitaran sejuk perlu tumbuh di tanah jenis ini.",
121,Lubang beku,Benih dan anak pokok bunga dan pokok yang lebih suka persekitaran sejuk boleh ditanam di sini.,
122,Salji tebal,Salji tebal yang cair ke dalam air apabila bertemu #c0aba1dlava#n. Ia #c0aba1dslightly akan menurunkan suhu persekitaran #n.,
123,Ais semulajadi,"Ia biasanya dilihat di kawasan sejuk dan bersalji, dan akan mencairkan air dalam persekitaran suhu #c0aba1dhigh #n. Boleh dikumpulkan dengan cepat dengan Pickaxes. Ia #c0aba1dslightly akan menurunkan suhu sekeliling #n.",
124,Batu Sulfur,"Batu yang biasa ditemui di Flamas, Boleh mensintesis @item_11214# di Meja Peleburan. Gunakan alat beliung untuk melombong dengan cepat",
125,Pasir Panas,"Pasir kuning yang panas, gunakan alat sekop untuk melombong dengan cepat",
126,Batu Magik,"Batu yang tidak diketahui, tidak mudah diletupkan",Kadang kala dijual oleh peniaga.
127,Span,Blok untuk hiasan,
128,Pasir Merah,"Pasir merah yang langka, kaya dengan unsur mineral, tidak stabil apabila dicampur dengan @item_11201#",Ditemui di pulau Tanah Merah dan pulau karang
129,Salji Tebal,,
130,Blok Salji tebal,Mau buat boneka salju atau perang bola salji?,@Null@
131,Ais keras,"Ais yang sangat kukuh, tidak dapat dihancurkan.",@Null@
132,Pasir Kristal Sulfur,"Muncul dalam lava Flamas, hanya boleh dilombong dengan @item_11025#. Adalah salah satu bahan untuk menghasilkan @item_11219#. Ia akan meletus apabila disekat oleh bendalir. #r#c0aba1dHidup itu berharga, jangan tiru sebarang tingkah laku dalam permainan#n",@Null@
133,Sarang Madu Kosong,"Belum ada madu, letak bawah @item_255# untuk mendapatkan madu.",
134,Sarang Madu Penuh,"Sarang penuh dengan madu, berhati-hati dengan lebah! Gunakan @item_11320# untuk mendapatkan @item_12511#",
135,Totem Misteri-Darat,"Patung batu yang sangat penting dalam tamadun purba, kini hanya digunakan untuk hiasan",Koleksi peninggalan Tamadun Horas purba.
136,Totem Misteri-Langit,"Patung batu yang sangat penting dalam tamadun purba, kini hanya digunakan untuk hiasan",Koleksi peninggalan Tamadun Horas purba.
137,Lubang Mathanus,@Null@,@Null@
138,Blok Racun,@Null@,@Null@
139,Blok untuk Boss Fight,@Null@,@Null@
140,Kerusi Batu Hidup,"Kerusi Batu yang ditinggalkan oleh tamadun ""Orang Purba"", menghubungkan kuasa hidup Miras.",@Null@
141,Kerusi Batu Keberanian,"Kerusi Batu yang ditinggalkan oleh tamadun ""Orang Purba"", menghubungkan kuasa keberanian Flamas",@Null@
142,Kerusi Batu Kebijaksanaan,"Kerusi Batu yang ditinggalkan oleh tamadun ""Orang Purba"", menghubungkan kuasa Kebijaksanaan Horas.",@Null@
143,Kerusi Batu Rosak,"Kerusi Batu purba, tidak boleh dipulihkan selepas digali",@Null@
144,Botol Kaca Rama-rama Merah,Dapat menerangi kawasan kecil di sekeliling selepas diletakkan,Diperolehi dengan menangkap rama-rama dengan menggunakan @item_11320# di kawasan Pulau Terapung
145,Botol Kaca Rama-rama Sian,Dapat menerangi ruang sekeliling selepas diletakkan,Diperolehi dengan menangkap rama-rama dengan menggunakan @item_11320# di kawasan Pulau Terapung
146,Botol Kaca rama-rama Harum,Dapat menerangi kawasan kecil di sekeliling selepas diletakkan,Diperolehi dengan menangkap rama-rama dengan menggunakan @item_11320# di kawasan Pulau Terapung
147,Botol Kaca Rama-rama Putih,Dapat menerangi kawasan kecil di sekeliling selepas diletakkan,Diperolehi dengan menangkap rama-rama dengan menggunakan@item_11320# di kawasan Pulau Terapung
148,Botol Kaca Rama-rama Dragonkin,Dapat menerangi kawasan kecil di sekeliling selepas diletakkan,Diperolehi dengan menangkap rama-rama dengan menggunakan @item_11320# di kawasan Pulau Terapung
149,Botol Kaca Rama-rama Loceng,Dapat menerangi kawasan kecil di sekeliling selepas diletakkan,Diperolehi dengan menangkap rama-rama dengan menggunakan  @item_11320# di kawasan Pulau Terapung
150,Tanah Merah Pertanian,"Tanaman khas yang sesuai boleh ditanam, mesti berhampiran dengan air atau siram dengan pemercik untuk mengekalkan kelembapan",Diperolehi dengan meluaskan @item_233# dengan menggunakan garu
151,Lubang Tanah Merah,"Tanaman khas boleh ditanam, mesti berhampiran dengan air atau siram dengan pemercik untuk mengekalkan kelembapan",Diperolehi dengan meluaskan @item_233# dengan menggunakan sekop
152,Papan Batu Nipis Vertikal Horas,"Papan batu nipis dan ringan yang tegak, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan Batu Horas di Meja Tukang
153,Papan Nipis Vertikal Bambu,"Papan kayu nipis dan ringan yang tegak, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan Bambu di Meja Tukang
154,Papan Nipis Vertikal Carmine,"Papan kayu nipis dan ringan yang tegak, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan Pewarna Carmine di Meja Tukang
155,Papan Nipis Vertikal Bata Simen,"Papan batu nipis dan ringan yang ditegakkan, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan Bata Simen di Meja Tukang
156,Papan Nipis Vertikal Bata Sulfur,"Papan batu nipis dan ringan yang ditegakkan, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan bata sulfur di Meja Tukang
157,Papan Nipis Vertikal Batu,"Papan batu nipis dan ringan yang ditegakkan, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan batu di Meja Tukang
158,Papan Vertikal Batu Bata Halus,"Papan batu nipis dan ringan yang ditegakkan, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan batu di Meja Tukang
159,Papan Nipis Vertikal Titanium,"Papan logam nipis dan ringan yang ditegakkan, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan Titanium di Meja Tukang
160,Papan Nipis Vertikal Tembaga,"Papan logam nipis dan ringan yang ditegakkan, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan tembaga di Meja Tukang
161,Papan Nipis Vertikal Mika,"Papan logam nipis dan ringan yang tegak, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan Mika di Meja Tukang
162,Papan Nipis Vertikal Mithril,"Papan logam nipis dan ringan yang ditegakkan, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan mithril di Meja Tukang
163,Papan Nipis Vertikal Flamo,"Papan logam nipis dan ringan yang ditegakkan, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan Flamo di Meja Tukang
164,Papan Nipis Vertikal Kuning Lemon,"Papan kayu nipis dan ringan yang ditegakkan, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan Pewarna Kuning Lemon di Meja Tukang
165,Papan Nipis Vertikal Cinerous,"Papan kayu nipis dan ringan yang ditegakkan, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan pewarna Cinerous di Meja Tukang
166,Papan Nipis Vertikal Merah Marun,Papan kayu nipis tegak yang boleh disusun untuk menukar ketebalan,#N/A
167,Papan Nipis Vertikal Oren Terbenam,"Papan kayu nipis dan ringan yang ditegakkan, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan pewarna Oren Terbenam di Meja Tukang
168,Papan Nipis Tegak Merah Begonia,"Papan kayu nipis yang ditegakkan, boleh ditimbun untuk mengubah ketebalan",Pemprosesan cat dengan pewarna merah begonia di Meja Tukang
169,Papan Nipis Vertikal Gading,"Papan kayu nipis dan ringan yang ditegakkan, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan Pewarna Gading di Meja Tukang
170,Papan Nipis Vertikal Oren Gelap,"Papan kayu nipis dan ringan yang ditegakkan, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan Pewarna Oren Gelap di Meja Tukang
171,Papan Nipis Vertikal,"Papan kayu nipis dan ringan yang ditegakkan, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan kayu di Meja Tukang
172,Papan Bata Kuning Nipis Vertikal,"Papan logam nipis dan ringan yang ditegakkan, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan bata kuning di Meja Tukang
173,Papan Nipis Vertikal Blok Mangan,"Papan logam nipis dan ringan yang ditegakkan, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan Nodul Mangan di Meja Tukang
174,Papan Nipis Vertikal Hoary,"Papan kayu nipis dan ringan yang ditegakkan, boleh ditimbun untuk mengubah ketebalan",Sintesis dengan Pewarna Hoary di Meja Tukang
200,Kayu Ceri,"Batang pokok ceri, boleh disintesis menjadi @item_11323# di @item_800#, boleh digunakan untuk hiasan dan bahan api",Diperolehi dengan menebang selepas Rune #c0aba1dTerima Lengkap#n ditatah pada alat kapak
201,Kayu Pinus,"Batang pokok pinus, boleh disintesis menjadi @item_11323# di @item_800#, boleh digunakan untuk hiasan dan bahan bakar",Diperolehi dengan menebang selepas Rune #c0aba1dTerima Lengkap#n ditatah pada alat kapak
202,Kayu Poplar,"Batang pokok Poplar, boleh disintesis menjadi @item_11323# di @item_800#, boleh digunakan untuk hiasan dan bahan bakar",Diperolehi dengan menebang selepas Rune #c0aba1dTerima Lengkap#n ditatah pada alat kapak
203,Kayu Sequoia,"Batang Kayu Sequoia, boleh disintesis menjadi @item_11323# di @item_800#, boleh digunakan untuk hiasan dan bahan bakar",Diperolehi dengan menebang selepas Rune #c0aba1dTerima Lengkap#n ditatah pada alat kapak
204,Kayu Phoebe,"Batang pokok Phoebe, boleh disintesis menjadi @item_11323# di @item_800#, boleh digunakan untuk hiasan dan bahan bakar",Diperolehi dengan menebang selepas Rune #c0aba1dTerima Lengkap#n ditatah pada alat kapak
205,Kayu Kenari,"Batang pokok kenari, boleh disintesis menjadi @item_11323# di @item_800#, boleh digunakan untuk hiasan dan bahan bakar",Diperolehi dengan menebang selepas Rune #c0aba1dTerima Lengkap#n ditatah pada alat kapak
206,Papan Kayu,"Bahan binaan asas, digunakan secara meluas dalam pembinaan kayu",Sintesis dengan bahan kayu di Meja Tukang.
207,Papan Kayu Oren Gelap,"Bahan binaan asas, digunakan secara meluas dalam pembinaan kayu",Sintesis dengan Pewarna Oren Gelap di Meja Tukang
208,Papan Kayu Gading,"Bahan binaan asas, digunakan secara meluas dalam pembinaan kayu",Sintesis dengan Pewarna Gading di Meja Tukang
209,Papan Merah Begonia,"Bahan binaan asas, digunakan secara meluas dalam pembinaan kayu",Pemprosesan cat dengan pewarna merah begonia di Meja Tukang
210,Papan Kayu Oren Terbenam,"Bahan binaan asas, digunakan secara meluas dalam pembinaan kayu",Sintesis dengan pewarna Oren Terbenam di Meja Tukang
211,Papan Kayu Merah Marun,"Bahan binaan asas, digunakan secara meluas dalam pembinaan kayu",Sintesis dengan Pewarna Merah Marun di Meja Tukang
212,Bibit Pokok Ceri,Boleh digunakan sebagai bahan bakar tetapi dibakar dengan cepat,
213,Bibit Pokok Pinus,Boleh digunakan sebagai bahan bakar tetapi dibakar dengan cepat,
214,Benih Pokok Poplar,Boleh digunakan sebagai bahan bakar tetapi dibakar dengan cepat,
215,Bibit Pokok Sequoia,Boleh digunakan sebagai bahan bakar tetapi dibakar dengan cepat,
216,Bibit Pokok Phoebe,Boleh digunakan sebagai bahan bakar tetapi dibakar dengan cepat,
217,Bibit Pokok Kenari,Boleh digunakan sebagai bahan bakar tetapi dibakar dengan cepat,
218,Daun Kayu Ceri,Boleh digunakan sebagai bahan api untuk @item_1200# atau sebagai tudung #c0aba1dsnowman#n.,
219,Daun Larch,Boleh digunakan sebagai bahan api untuk @item_1200# atau sebagai tudung #c0aba1dsnowman#n.,
220,Daun poplar,Boleh digunakan sebagai bahan api untuk @item_1200# atau sebagai tudung #c0aba1dsnowman#n.,
221,Daun Kayu Merah,Boleh digunakan sebagai bahan api untuk @item_1200# atau sebagai tudung #c0aba1dsnowman#n.,
222,Daun Phoebe,Boleh digunakan sebagai bahan api untuk @item_1200# atau sebagai tudung #c0aba1dsnowman#n.,
223,Daun Walnut,Boleh digunakan sebagai bahan api untuk @item_1200# atau sebagai tudung #c0aba1dsnowman#n.,
224,Rumput,"Selepas #c0aba1ddimusnahkan#n, kemungkinan mendapatkan @item_11226#",
225,Rumput Mati,Gunakan alat #c0aba1dSekop #n untuk mendapatkan @item_225#. Gunakan alat lain untuk mendapatkan @item_11226#,
226,Rebung,"Tumbuhan yang tumbuh di tempat teduh dan menjadi bahan mentah untuk memasak. Makan terus #c0aba1d untuk memulihkan kekuatan fizikal #n. Tapi hati-hati #c0aba1d cirit birit #nOh, kononnya akan ada perubahan indah dengan #c0aba1dPokok Spora Horas#n di bawah pulau langit berbintang yang comel",
227,Perilla,"Tumbuhan yang tumbuh di tempat teduh dan menjadi bahan mentah untuk memasak. Makan terus #c0aba1d untuk memulihkan kekuatan fizikal #n. Tapi hati-hati #c0aba1d cirit birit #nOh, kononnya akan ada perubahan indah dengan #c0aba1dPokok Spora Horas#n di bawah pulau langit berbintang yang comel",
228,Hollyhock,#c0aba1d Beri makan rusa bertanduk#n agar ia memasuki #c0aba1d keadaan penghasil susu#n,Tumbuh di #c0aba1dhutan hujan#n
229,Jagung,Boleh diproses menjadi @item_344# iaitu bahan mentah asas untuk memasak. Boleh dibakar pada @item_1200#,"@item_11400# ditanam di @item_102#, atau diperolehi dengan menuai jagung liar."
230,Brugo Gergasi,@Null@,Diperolehi dengan menanam @item_11401# di @item_102#
231,Bernih Brugo Gergasi,"Dengan cahaya matahari dan air, buah akan tumbuh kemudian",
232,Akar Udara,"Akar udara yang tergantung pada pokok besar adalah sangat kuat, boleh menanggung berat seseorang. Jangan memanjat terlalu tinggi, berhati-hati, jangan jatuh!",
233,Tanah Merah,"Legenda mengatakan bahawa terdapat sebuah pulau di laut, terdapat Tanah Liat Merah di mana-mana. Tanah merah yang langka, kaya dengan bahan-bahan pelik, tumbuhan yang tumbuh di atasnya akan melakukan perubahan ajaib",
234,Padi,"Tumbuh di #c0aba1dperairan lembangan#n, boleh diproses menjadi @item_12528#, kemudian direbus dalam @item_794#, mendapatkan @item_12529#. #rMakanan diberikan kepada Aaym, Ayam boleh memasuki keadaan pembiakan.",@item_101# atau @item_29# di bahagian bawah. Diperolehi dengan menanam @item_11404# di atas permukaan air dengan ketinggian 1 blok
236,Timun,Boleh ditanam di @item_102#.#rYou boleh memberi makan #c0aba1dDwen#n untuk mendapatkan @item_11311#.,Diperolehi secara kebetulan daripada memusnahkan Balang Tanah Liat atau mengalahkan Telur Boom.
237,Buah Sequoia,"Buah pada kayu Sequoia, adalah bahan mentah untuk memasak",
238,Rumput Duri,"Rumput yang berduri, selepas #c0aba1dmemusnahkan#n berpeluang mendapatkan @item_11226#",
239,Buah Bulu Sisik Gergasi,"Ini terlalu besar, potong untuk dimakan! Perlu disintesis di @item_800#",Diperolehi dengan menanam @item_11402# di @item_101#
240,Benih Buah Bulu Sisik Gergasi,"Dengan cahaya matahari dan air, buah akan tumbuh kemudian",
241,Keledek,Boleh ditanam di @item_101#. Boleh dibakar pada @item_1200#,Berpeluang mendapatkan dengan memusnahkan Balang Tanah liat
242,Batang Kaktus,"Tumbuh di #c0aba1dGurun#n, boleh disintesis dengan @item_12001# untuk menjadi senjata berduri!",Diperolehi dengan menanam @item_11420# di dalam @item_103#
243,Jagung Liar,Kemungkinan mendapatkan @item_229# selepas dimusnahkan,Jagung yang ditanam secara liar tidak begitu berkhasiat kerana kurang penjagaan
244,Pokok Krismas,"Pokok Malar Hijau yang dihiasi oleh Santa, selalu digunakan untuk menghias bangunan",Beli di kedai Santa Claus semasa acara Krismas
245,Rumput Air,"Tumbuhan akuatik yang tumbuh di #c0aba1dlaut cetek#n, kerana pertumbuhannya yang rumit, mudah untuk menjerat makhluk dan alat dan tinggal di atasnya. Cuba untuk tidak tinggal terlalu lama. Jika anda bernasib baik, mungkin mendapatkan item langka di dalamnya",
246,Rumpai Laut,"Tumbuhan akuatik biasa yang tumbuh di #c0aba1dlaut cetek#n , kemungkinan menjatuhkan @item_12615# selepas dimusnahkan",Tatah lengkap untuk mendapatkan rune akan menuai rumpai laut
247,Kelopak Terapung,"Tumbuh di #c0aba1dpermukaan air#n, boleh diletakkan di permukaan air untuk hiasan",
248,Papan Terapung,Diletakkan di permukaan air untuk #c0aba1dmenanggung berat#n,Sintesis dengan papan kayu di meja tukang
249,Buah Pinus,"Buah Pokok Pinus, dapat memasak makanan yang lazat,",
250,Teratai,"Tumbuh di #c0aba1dpermukaan air#n, boleh diletakkan di permukaan air untuk hiasan",
251,Bambu,"Selepas menggunakan pada #c0aba1dPanda#n, berpeluang untuk #c0aba1dmenjinakkannya#n. #rSelepas #c0aba1dmemberi makanan#n kepada panda yang dijinakkan, boleh mendapatkan @item_11312#","Tumbuh di #c0aba1dHutan Bambu#n, juga diperolehi dengan menanam @item_253# di dalam @item_103#"
252,Daun Bambu,"Boleh digunakan sebagai hiasan, berpeluang untuk menjatuhkan @item_253# selepas dimusnahkan",
253,Rebung Bambu,"Tanam di dalam @item_103#, @item_251# akan tumbuh",Kemungkinan diperolehi dengan memusnahkan @item_252#
254,Kayu Persik,"Gunakan #c0aba1dalat kapak#n untuk menebang dengan lebih cepat. #rDapat disintesis menjadi @item_11323#, atau digunakan sebagai bahan api",@Null@
255,Daun pic,Boleh digunakan sebagai bahan api untuk @item_1200# atau sebagai bahan mentah untuk pengeluaran oksigen.#rFeeding ia ke Redchisk boleh menjadikannya membiak. Ia juga boleh digunakan sebagai tudung #c0aba1dsnowman#n.,
256,Bibit Pokok Persik,Tanam di @item_103# boleh menumbuh Pokok Persik,Berpeluang diperolehi dengan memusnahkan @item_255#
257,Kayu Gen,"Gunakan #c0aba1dalat kapak#n untuk menebang dengan lebih cepat. #rDapat disintesis menjadi @item_11323#, atau digunakan sebagai bahan api",@Null@
258,Daun Genwood,Boleh digunakan sebagai bahan api untuk @item_1200# atau sebagai tudung #c0aba1dsnowman#n.,
259,Bibit Pokok Gen,Bibit Pokok Gen,Berpeluang menjatuhkannya dengan memusnahkan @item_258#
260,Kayu Gen Botak,"Tumbuh di permukaan tandus Horas, @item_12582# boleh ditanam di tepi. #rPerlu dipotong dengan @item_11003# atau kapak yang lebih lanjut",@Null@
261,Batang Spora Horas,"Menanam @item_226#, @item_227# di sebelahnya akan menyebabkan #c0aba1dMutasi#n",Tumbuh di #c0aba1dtempat teduh bawah Pulau Terapung#n di Horas
262,Lumut,"Pertumbuhan tumbuhan yang lembap dan kaya dengan lembapan. Ia mempunyai kecenderungan untuk menjadikan tanah licin, dan memecahkannya akan menghasilkan @item_11595##r. Walaupun di bawah naungan di mana cahaya matahari yang hangat tidak sampai, lumut tumbuh subur dan menambahkan sentuhan daya hidup hijau",@Null@
263,Biji Spora Horas,"#c0aba1dMenanam#n di atas @item_116# di kawasan teduh, @item_270# akan tumbuh kemudian",
264,Papan Cinerous,"Bahan binaan asas, digunakan secara meluas dalam pembinaan kayu",@Null@
265,Papan Pokok Gen Botak,Boleh digunakan untuk hiasan.,@Null@
266,Rebung Mutan,"Selepas #c0aba1dmakan#n, akan mendapat kesan khas berikut #r#c0aba1d pendarfluor, keadaan keletihan menggali.",Bermutasi apabila @item_270# berhampiran dengan Rebung
267,Perilla Mutan,"Selepas #c0aba1dmakan#n, akan mendapat kesan khas berikut #r#c0aba1d pendarfluor, pemulihan HP atau beracun",Bermutasi apabila @item_270# berhampiran dengan Perilla Mutan
268,Batang Tumbuhan Mutan,,Tumbuh di #c0aba1dtempat teduh bawah pulau Terapung Horas#n
269,Rumput Pendarfluor,Salah satu bahan untuk membuat @item_12590# dan @item_12591#,Tumbuh di atas #c0aba1dPulau Terapung Horas#n
270,Spora Horas,"Selepas #c0aba1dmakan#n, dapatkan #c0aba1dkeadaan pendarfluor#n, berpeluang mendapatkan Penglihatan Malam atau keadaan Pening","Tumbuh di kawasan teduh di bawah Pulau Terapung, juga boleh diperolehi dengan menanam @item_263#"
