ID,名字,描述,追踪
1025,Cenderahati,Pick Up #L#cfa7a0f Black Dragon Statue #n@1#r (Nampaknya Boarman takut patung Black Dragon),Ambil#cfa7a0fpatung naga
1026,Dunia misteri,Adakah ini akhir? Ini hanya permulaan! #r (seseorang: saya akan kembali),Dunia#cfa7a0fyg tak diketahui
1027,Baldi besi,Buat 1 #L#cfa7a0f Iron Bucket #N untuk mengambil air #r (1 grid air untuk mengairi kawasan sekitar 4 grid tanah ladang),Membuat#cfa7a0fbaldi besi
1028,Musim menabur,Gunakan #L#cfa7a0f Benih Gandum #N untuk menanam #r di ladang (hanya boleh ditanam di tanah ladang),Gunakan#cfa7a0fbiji benih gandum
1029,Musim menuai,Dapatkan #L#cfa7a0f WHEAT # N #r (gandum hanya boleh diperolehi selepas tanaman tumbuh dan matang),Mendapat#cfa7a0fgandum
1030,Membakar roti,"Buat 1 #L#cfa7a0f roti gandum #n@1#r (makan satu pada bila-bila masa, anda tidak akan lapar)",Membuat#cfa7a0froti gandum
1031,Tukang roti,Buat 1 #L#cfa7a0f LONG BREAD #n@1,Membuat#cfa7a0froti panjang
1032,Tukang kek,Make #L#cfa7a0f CAKE #n@1,Membuat#cfa7a0fkek
1033,Matador,"Kekalahan lembu untuk mendapatkan #L#cfa7a0f steak steak #n@1#r (lembu makan rumput, moo moo)",Mendapat#cfa7a0fdaging lembu mentah
1034,Kulit,Kekalahan lembu untuk mendapatkan #L#cfa7a0f lembut kulit #n@1,Mendapat#cfa7a0fkulit
1035,Stik lembu panggang,Gunakan relau peleburan untuk membuat #L#cfa7a0f steak panggang #n@1,Membuat#cfa7a0fstik lembu panggang
1036,"Cepat lari, anak ayam!","Kekalahan Ayam untuk Dapatkan #L#cfa7a0f RAW AYAM #n@1#r (Ayam Makan Benih Gandum, Chirp Chirp)",Mendapat#cfa7a0fdaging ayam mentah
1037,Telur emas & telur perak,Pick Up #L#cfa7a0f EGGS #n@1,Mendapat#cfa7a0ftelur ayam
1038,Ayam panggang,Gunakan relau peleburan untuk membuat #L#cfa7a0f Ayam Panggang #n@1,Membuat#cfa7a0fdaging ayam panggang
1039,Baa,"Kalahkan domba untuk mengambil #L#cfa7a0f RAW LAMB LEG ​​#n@1#r (The Sheep Eat Grass, Bleating)",Mendapat#cfa7a0fpaha kambing mentah
1040,Rampas bulu,Kalahkan domba atau gunakan gunting untuk mengambil #L#cfa7a0f wool #n@1,Mendapat#cfa7a0fbulu
1041,Karpet bulu,Buat #L#cfa7a0f Floor Mat #n@1,Membuat#cfa7a0fkarpet
1042,Hati suka kecantikan,"Pick Up #L#cfa7a0f FLOWER #n@1#r (Bunga Cantik, Relatif Rare)",Mendapat#cfa7a0fbunga
1043,Dunia warna,Buat #L#cfa7a0f Paint #n@1,Membuat#cfa7a0fpewarna
1044,"Hai, ini nampak elok",Buat #L#cfa7a0f RED WOOL #n@1,Membuat#cfa7a0fbulu berwarna merah
1045,Lawatan rel,Buat #L#cfa7a0f RAIL NODE #n@1,Membuat#cfa7a0frel besi
1046,Bertolak,Buat #L#cfa7a0f RAIL CAR #n@1,Membuat#cfa7a0ftroli lombong
1047,Tukang masak,Selesaikan tugas secara automatik setelah menyiapkan tugas sebelumnya,Membuat#cfa7a0f makanan
1048,Fahami kehidupan,Selesaikan tugas secara automatik setelah menyiapkan tugas sebelumnya,Mendapat#cfa7a0f kaca berwarna merah
1049,Perternak Alpaka,"Memegang suapan rumput/daging atau hidangan timun untuk memberi makan kepada dua ekor Alpaka di sebelah timbunan jerami, sehingga jumlah Alpaka Kecil mencapai 200 @1",Membiakkan #cfa7a0fAlpaka
1050,Peternak Lembu,"Memegang segenggam rumput/suapan rumput untuk memberi makan kepada dua ekor Lembu di sebelah timbunan jerami, sehingga jumlah Lembu Kecil mencapai 200 @1",Membiakkan #cfa7a0fLembu
1051,Peternak Kambing,"Memegang segenggam rumput/suapan rumput untuk memberi makan kepada dua ekor Kambing di sebelah timbunan jerami, sehingga jumlah Kambing Kecil mencapai 200 @1",Membiakkan #cfa7a0fKambing
1052,Memanggil Ayam Kecil,"Memegang suapan rumput untuk memberi makan kepada dua ekor Ayam , sehingga jumlah Ayam Kecil mencapai 200@1",Membiakkan #cfa7a0fAyam
1053,Pangkalan pembiakan berskala besar,Selesaikan tugas secara automatik setelah menyiapkan tugas sebelumnya,Lengkapkan Pencapaian Siri Haiwan Pembiakan #cfa7a0f
1054,Lembing batu,Buat 1 #L#cfa7a0f Stone Spear #n@1#r (bahaya selalu muncul dalam gelap),Membuat#cfa7a0flembing batu
1055,Lebih tajam,Buat 1 #L#cfa7a0f Iron Sword #n@1#r (Bangunan sebuah rumah berkesan boleh melindungi diri anda),Membuat#cfa7a0fpedang pendek
1056,Barang tidak berguna,"Buat 1 #L#cfa7a0f Long Spear #n@1#r (lengkap, tidak ada ketakutan yang diserang)",Membuat#cfa7a0flembing panjang
1057,Bunuh raksasa dengan mudah,Buat 1 #L#cfa7a0f tenaga pedang #n@1#r (sekarang kita perlu menghukum orang-orang boarman yang membuli),Membuat#cfa7a0fpedang tenaga
1058,Serangan jarak jauh,"Buat 1 #L#cfa7a0f Wooden Short Bow #n@1#r (Bow pendek kayu boleh ditembak lebih jauh apabila ia ditarik sepenuhnya, dan anak panah diperlukan)",Membuat#cfa7a0fbusur panah kayu
1059,Saya perlukan anak panah batu,Buat 1 #L#cfa7a0f arrow #n@1,Membuat#cfa7a0fanak panah batu
1060,Helmet kulit,Buat 1 #L#cfa7a0f Kulit Helmet #n@1#r (boleh dipakai pada badan untuk meningkatkan pertahanan),Membuat#cfa7a0fhelmet kulit
1061,Helmet besi,"Buat 1 #L#cfa7a0f Besi Helmet #n@1#r (Peralatan Praktikal, Meningkatkan Pertahanan)",Membuat#cfa7a0fhelmet besi
1062,Helmet berlian,"Buat 1 #L#cfa7a0f berlian helmet #n@1#r (peralatan canggih, tambahkan banyak pertahanan)",Membuat#cfa7a0fhelmet berlian biru
1063,Pelindung dada kulit,Buat 1 #L#cfa7a0f Kulit Armor #n@1#r (boleh dipakai pada badan untuk meningkatkan pertahanan),Membuat#cfa7a0fpelindung dada kulit
1064,Pelindung dada besi,"Buat 1 #L#cfa7a0f Iron Armor #n@1#r (Peralatan Praktikal, Meningkatkan Pertahanan)",Membuat#cfa7a0fpelindung dada besi
1065,Pelindung dada berlian,"Buat 1 #L#cfa7a0f Diamond Armor #n@1#r (Peralatan Tahap Tinggi, Tambah Banyak Pertahanan)",Membuat#cfa7a0fpelindung dada berlian biru
1066,Pelindung paha kulit,Buat 1 #L#cfa7a0f kulit greave #n@1#r (boleh dipakai pada badan untuk meningkatkan pertahanan),Membuat#cfa7a0fpelindung paha kulit
1067,Pelindung paha besi,"Buat 1 #L#cfa7a0f IRON GREAVE #n@1#r (Peralatan Praktikal, Meningkatkan Pertahanan)",Membuat#cfa7a0fpelindung paha besi
1068,Pelindung paha berlian,"Buat 1 #L#cfa7a0f Diamond Greave #n@1#r (peralatan canggih, tambahkan banyak pertahanan)",Membuat#cfa7a0fpelindung paha berlian biru
1069,But kulit,Buat 1 Sepasang #L#cfa7a0f Boots Kulit #n@1#r (boleh dipakai pada badan untuk meningkatkan pertahanan),Membuat#cfa7a0fbut kulit
1070,But besi,"Buat 1 Sepasang #L#cfa7a0f Besi Boots #n@1#r (Peralatan Praktikal, Meningkatkan Pertahanan)",Membuat#cfa7a0fbut besi
1071,But berlian,"Buat 1 pasang #L#cfa7a0f Diamond Boots #n@1#r (peralatan canggih, tambahkan banyak pertahanan)",Membuat#cfa7a0fbut berlian biru
1072,@Null@,@Null@,@Null@
1073,Mahaguru pertahanan,Anda telah menjadi peralatan Master @1,Selesai#cfa7a0fprestasi pertahanan
1074,Saya perlukan kertas,Buat 1 #L#cfa7a0f kertas @1#r (dibuat dengan mengumpul tebu),Membuat#cfa7a0fkertas
1075,Buku sihir,Buat 1 #L#cfa7a0f kosong manual #n@1,Membuat#cfa7a0fbuku tulis kosong
1076,Mahaguru sihir,Secara automatik menyelesaikan tugas selepas melengkapkan tugas pendahulunya,Selesai#cfa7a0fprestasi sihir
1077,Tewaskan mereka!,Secara automatik menyelesaikan tugas selepas melengkapkan tugas pendahulunya,Kalahkan#cfa7a0fraksasa
1078,Musuh awam Pemburu,Kekalahan 200 Spear Goblin @1,Kalahkan#cfa7a0fpemburu orang liar
1079,Musuh Awam Bumi,Kalahkan 100 Apostle Hampa@1,Kalahkan #cfa7a0fApostle Hampa
1080,Musuh awam Orang Liar,Kekalahan 500 Boarman @1,Kalahkan#cfa7a0forang liar
1081,Bom Telur,Mengalahkan 200 Boomegg @1,Kalahkan#cfa7a0fbom telur
1082,Legenda,Secara automatik menyelesaikan tugas selepas melengkapkan tugas pendahulunya,Lengkapkan semua #cfa7a0f kekalahan pencapaian siri Miras Monster
1083,Pelombong Rajin (I),Buat 100 #L#cfa7a0fBeliung Batu#n@1#r (Beliung Batu boleh melombong Mithril),Buat #cfa7a0fBeliung Batu
1084,Pelombong Rajin (II),Buat 50 #L#cfa7a0fBeliung Mithril#n@1#r (Beliung Mithril boleh melombong bijih lanjutan),Buat #cfa7a0fBeliung Mithril
1085,Pelombong Rajin (III),Buat 20 #L#cfa7a0fGerudi Tungsten #n@1#r (Gerudi Tungsten boleh melombong bijih),Buat #cfa7a0fBeliung Tungsten
1086,Kaca (I),Melebur 10 #L#cfa7a0fBlok Kaca#n@1,Melebur #cfa7a0fBlok Kaca
1087,Kaca (II),Melebur 500 blok #L#cfa7a0fBlok Kaca#n@1,Melebur #cfa7a0fBlok Kaca
1088,Kaca (III),Melebur 2000 #L#cfa7a0fBlok Kaca#n@1,Melebur #cfa7a0fBlok Kaca
1089,Pengumpul Mithril (I),Melebur 10 #L#cfa7a0fMithril#n@1,Melebur #cfa7a0fMithril
1090,Pengumpul Mithril (II),Melebur 100 #L#cfa7a0fMithril#n@1,Melebur #cfa7a0fMithril
1091,Pengumpul Mithril (III),Melebur 300 #L#cfa7a0fMithril#n@1,Melebur #cfa7a0fMithril
1092,Bijih Tungsten (I),Melombong 10 #L#cfa7a0fBijih Tungsten#n@1,Melombong #cfa7a0fBijih Tungsten
1093,Bijih Tungsten (II),Melombong 50 #L#cfa7a0fBijih Tungsten#n@1,Melombong #cfa7a0fBijih Tungsten
1094,Bijih Tungsten (III),Melombong 200 #L#cfa7a0fBijih Tungsten#n@1,Melombong #cfa7a0fBijih Tungsten
1095,Penjinak Serigala (I),Menjinakkan 1 Serigala dengan Telur Ayam@1,Menjinakkan #cfa7a0fSerigala
1096,Penjinak Serigala (II),Menjinakkan 5 Serigala dengan Telur Ayam@1,Menjinakkan #cfa7a0fSerigala
1097,Penjinak Serigala (III),Menjinakkan 20 Serigala dengan Telur Ayam@1,Menjinakkan #cfa7a0f Serigala
1098,Flamo (I),Melebur 5 #L#cfa7a0fFlamo#n@1,Melebur #cfa7a0fFlamo
1099,Flamo (II),Melebur 100 #L#cfa7a0fFlamo#n@1,Melebur #cfa7a0fFlamo
1100,Flamo (III),"Melebur 500 #L#cfa7a0fFlamo#n@1
Melebur #cfa7a0fFlamo",Melebur #cfa7a0fFlamo
1101,Pakar Celesthium (I),Melombong 10 #L#cfa7a0fBijih Celesthium#n@1,Melombong #cfa7a0fBijih Celesthium
1102,Pakar Celesthium (II),Melombong 200 #L#cfa7a0fBijih Celesthium#n@1,Melombong #cfa7a0fBijih Celesthium
1103,Pakar Celesthium (III),Melombong 500 #L#cfa7a0fBijih Celesthium#n@1,Melombong #cfa7a0fBijih Celesthium
1104,Saya perlukan anak panah (I),Buat 10 #L#cfa7a0f arrow #n@1,Membuat#cfa7a0fanak panah batu
1105,Saya perlukan anak panah (II),Buat 100 #L#cfa7a0f arrow #n@1,Membuat#cfa7a0fanak panah batu
1106,Saya perlukan anak panah(III),Buat 1000 #L#cfa7a0f arrow #n@1,Membuat#cfa7a0fanak panah batu
1107,Penjaga Hutan (I),Menanam lebih daripada 10 pokok@1#r (Memegang dan menanam #L#cfa7a0fBiji Pokok#n di dalam lubang),Menanam #cfa7a0fPokok
1108,Penjaga Hutan (II),Menanam lebih daripada 200 pokok@1#r (Memegang dan menanam #L#cfa7a0fBiji Pokok#n di dalam lubang),Menanam #cfa7a0fPokok
1109,Penjaga Hutan (III),Menanam lebih daripada 2000 pokok@1#r (Memegang dan menanam #L#cfa7a0fBiji Pokok#n di dalam lubang),Menanam #cfa7a0fPokok
1110,Daging Alpaka (I),Memasak 50 #L#cfa7a0fDaging Alpaka Panggang#n@1,Memasak #cfa7a0fDaging Alpaka Panggang
1111,Daging Alpaka (II),Memasak 200 #L#cfa7a0fDaging Alpaka Panggang#n@1,Memasak #cfa7a0fDaging Alpaka Panggang
1112,Daging Alpaka (III),Memasak 1000 #L#cfa7a0fDaging Alpaka Panggang#n@1,Memasak #cfa7a0fDaging Alpaka Panggang
1113,Daging Lembu (I),Memasak 50 #L#cfa7a0fDaging Lembu Panggang#n@1,Memasak #cfa7a0fDaging Lembu Panggang
1114,Daging Lembu (II),Memasak 200 #L#cfa7a0fDaging Lembu Panggang#n@1,Memasak #cfa7a0fDaging LembuPanggang
1115,Daging Lembu (III),Memasak 1000 #L#cfa7a0fDaging Lembu Panggang#n@1,Memasak #cfa7a0fDaging Lembu Panggang
1116,Ayam Panggang (I),Memasak 50 #L#cfa7a0fAyam Panggang#n@1,Memasak #cfa7a0fAyam Panggang
1117,Ayam Panggang (II),Memasak 200 #L#cfa7a0fAyam Panggang#n@1,Memasak #cfa7a0fAyam Panggang
1118,Ayam Panggang (III),Memasak 1000 #L#cfa7a0fAyam Panggang#n@1,Memasak #cfa7a0fAyam Panggang
1119,Daging Kambing Panggang (I),Memasak 50 #L#cfa7a0fDaging Kambing Panggang#n@1,Memasak #cfa7a0fDaging Kambing Panggang
1120,Daging Kambing Panggang (II),Memasak 200 #L#cfa7a0fDaging Kambing Panggang#n@1,Memasak #cfa7a0fDaging Kambing Panggang
1121,Daging Kambing Panggang (III),Memasak 1000 #L#cfa7a0fDaging Kambing Panggang#n@1,Memasak #cfa7a0fDaging Kambing Panggang
1122,Kapas (i),Buat 50 #L#cfa7a0f kapas blok #n@1,Membuat#cfa7a0fbulu
1123,Kapas (ii),Buat 200 #L#cfa7a0f kapas blok #n@1,Membuat#cfa7a0fbulu
1124,Kapas (iii),Buat 1000 #L#cfa7a0f COTTON Blocks #n@1,Membuat#cfa7a0fbulu
1125,Penghancur Batu (I),Menggali 100 #L#cfa7a0fBatu#n@1,Menggali #cfa7a0fBatu
1126,Penghancur Batu (II),Menggali 1000 #L#cfa7a0fBatu#n@1,Menggali #cfa7a0fBatu
1127,Penghancur Batu (III),Menggali 100 #L#cfa7a0fBatu#n@1,Menggali #cfa7a0fBatu
1128,Saya takut gelap (I),Membuat 50 #L#cfa7a0fObor Menyala#n@1,Membuat #cfa7a0fObor Menyala
1129,Saya takut gelap (II),Membuat 200 #L#cfa7a0fObor Menyala#n,Membuat #cfa7a0fObor Menyala
1130,Saya takut gelap (III),Membuat 500 #L#cfa7a0fObor Menyala#n,Membuat #cfa7a0fObor Menyala
1131,Kebangkitan (I),Gagal 1 Time @1,Gagal#cfa7a0f
1132,Kebangkitan (II),Gagal 100 kali @1,Gagal#cfa7a0f
1133,Kebangkitan (III),Gagal 500 kali @1,Gagal#cfa7a0f
1134,Makanan Laut (I),Memasak 1 #L#cfa7a0fIkan Gugu Panggang#n,Memasak #cfa7a0fIkan Gugu Panggang
1135,Makanan Laut (II),Memasak 10 #L#cfa7a0fIkan Gugu Panggang#n,Memasak #cfa7a0fIkan Gugu Panggang
1136,Makanan Laut (III),Memasak 100 #L#cfa7a0fIkan Gugu Panggang#n,Memasak #cfa7a0fIkan Gugu Panggang
1137,Penamatan Chaos,Kekalahan Chaos Black Dragon #r (Chaotic Black Dragon: \ (- ^ -) /) @1,Kalahkan#cfa7a0fnaga hitam Chaos
1138,bina roket,Mengumpul Bahan Untuk Membuat #L#cfa7a0f ROCKET #n@1,Membuat#cfa7a0froket
1139,Mendarat di Horas!,Ambil roket ke horas untuk mengumpul #L#cfa7a0f horas rock #n@1,Kumpulkan#cfa7a0fbatu Horas
1140,Mengaktifkan Totem,Gunakan #L#cfa7a0f REGEN RUNE #N untuk mengaktifkan Totem @1,Aktifkan#cfa7a0fTotem
1141,Gerudi tembaga Horas,Buat #L#cfa7a0f HORAS COPPER BORD #n@1,Gabungkan#cfa7a0fGerudi Tembaga Horas
1142,Cangkuk jet,Buat #L#cfa7a0f HOOK SHOT #n@1,Gabungkan#cfa7a0fCangkuk Jet
1143,Bersambung...,Lebih banyak pengembaraan sedang dalam perjalanan,Banyak pengembara akan tiba
1144,Pencipta Oksigen,"Di Meja Tukang, gunakan mutiara, terumbu karang, tembaga dan kayu untuk membuat #L#cfa7a0fPenapisan Oksigen#n@1",Membuat #cfa7a0fPenapisan Oksigen
1145,Bersedia,Gunakan Kaca dan tembaga untuk membuat #L#cfa7a0fTangki Gas Mampat#n@1,Membuat #cfa7a0fTangki Gas Mampat
1146,Kegembiraan Angkasa,Gunakan Tangki Gas Mampat dan Tembaga Horas untuk membuat #L#cfa7a0fRansel Oksigen#n@1,Membuat #cfa7a0fRansel Oksigen
1147,Tanah Angkasa,"Gunakan Rumput Horas, Batu Horas, Air Botol dan Baja Haiwan untuk membuat #L#cfa7a0fMedium Tanaman#n@1",Membuat #cfa7a0fMedium Tanaman
1148,Pengembara Luar Angkasa,Secara automatik menyelesaikan tugas selepas melengkapkan tugas pendahulunya,Mengembara luar angkasa lebih dalami
1149,Kalahkan Rocki,Kekalahan 200 Rocki @1,Kalahkan#cfa7a0fRocki
1150,Kalahkan Frosti,Kekalahan 200 Frosti @1,Kalahkan#cfa7a0fFrosti
1151,Kalahkan Bulli,Kekalahan 200 Bulli @1,Kalahkan#cfa7a0fBulli
1152,Kalahkan Graviti,Kekalahan 100 graviti @1,Kalahkan#cfa7a0fGraviti
1153,Perang angkasa,Secara automatik menyelesaikan tugas selepas melengkapkan tugas pendahulunya,Lengkapkan semua Pencapaian Monster Horas
1154,Terselamat Horas I,Survive 7 hari di Horas @1,Bertahan hidup di#cfa7a0fHoras
1155,Terselamat Horas II,Survive 60 hari di Horas @1,Bertahan hidup di#cfa7a0fHoras
1156,Terselamat Horas III,Survive 365 hari di Horas @1,Bertahan hidup di#cfa7a0fHoras
1157,Buah Oksigen I,Makan 10 #L#cfa7a0f OXY #n@1,Makan#cfa7a0fbuah oksigen
1158,Buah Oksigen II,Makan 100 #L#cfa7a0f OXY #n@1,Makan#cfa7a0fbuah oksigen
1159,Buah Oksigen III,Makan 500 #L#cfa7a0f OXY #n@1,Makan#cfa7a0fbuah oksigen
1160,Aktifkan Totem I,Aktifkan 5 #L#cfa7a0f TOTEM #n@1,Aktifkan#cfa7a0fTotem
1161,Aktifkan Totem II,Aktifkan 50 #L#cfa7a0f TOTEM #n@1,Aktifkan#cfa7a0fTotem
1162,Aktifkan Totem III,Aktifkan 300 #L#cfa7a0f TOTEM #n@1,Aktifkan#cfa7a0fTotem
1163,Nyalakan Totem I,LIGHT UP 5 #L#cfa7a0f TOTEM #n@1,Aktifkan#cfa7a0fTotem
1164,Nyalakan Totem II,LIGHT UP 50 #L#cfa7a0f TOTEM #n@1,Aktifkan#cfa7a0fTotem
1165,Nyalakan Totem III,LIGHT UP 300 #L#cfa7a0f TOTEM #n@1,Aktifkan#cfa7a0fTotem
1166,Bijih Tembaga Horas (I),Melombong 10 #L#cfa7a0fBijih Tembaga Horas#n@1,Melombong #cfa7a0fBijih Tembaga Horas
1167,Bijih Tembaga Horas (II),Melombong 100 #L#cfa7a0fBijih Tembaga Horas#n@1,Melombong #cfa7a0fBijih Tembaga Horas
1168,Bijih Tembaga Horas (III),Melombong 500 #L#cfa7a0fBijih Tembaga Horas#n@1,Melombong #cfa7a0fBijih Tembaga Horas
1169,Bijih Ungu Pendarfluor (I),Melombong 10 #L#cfa7a0fBijih Ungu Pendarfluor#n@1,Melombong #cfa7a0fBijih Ungu Pendarfluor
1170,Bijih Ungu Pendarfluor (II),Melombong 100 #L#cfa7a0fBijih Ungu Pendarfluor#n@1,Melombong #cfa7a0fBijih Ungu Pendarfluor
1171,Bijih Ungu Pendarfluor (III),Melombong 500 #L#cfa7a0fBijih Ungu Pendarfluor#n@1,Melombong #cfa7a0fBijih Ungu Pendarfluor
1172,Colossus kuno,Letakkan Diamond / Malachite / Horas Bronze / Horas Graviti Block di 4 blok di sebelah Totem Core dan Saman Colossus Purba untuk mengalahkannya @1,Kalahkan#cfa7a0fColossus kuno
1173,Colossus kuno,Kalahkan Colossus Purba @1,Kalahkan#cfa7a0fColossus kuno
1174,@Null@,@Null@,@Null@
1175,Saya perlukan beberapa kayu,Kumpulkan kayu dan dapatkan #L#cfa7a0f blok kayu #n@1#r (Tekan lama batangnya untuk dikumpulkan),Kumpulkan #cfa7a0f WOOD
1176,Kekuatan!,"Gunakan mana-mana kayu untuk membuat papan, dan gunakan 4 papan untuk membuat 1 #L#cfa7a0f toolbox #n@1#r (buka ransel dahulu, dan pilih untuk membuat dengan label di sebelah kiri)",Buat #cfa7a0f Toolbox
1177,@Null@,@Null@,@Null@
1178,@Null@,@Null@,@Null@
1179,@Null@,@Null@,@Null@
1180,@Null@,@Null@,@Null@
1181,@Null@,@Null@,@Null@
1182,@Null@,@Null@,@Null@
1183,@Null@,@Null@,@Null@
1184,@Null@,@Null@,@Null@
1185,@Null@,@Null@,@Null@
1186,@Null@,@Null@,@Null@
1187,@Null@,@Null@,@Null@
1188,@Null@,@Null@,@Null@
1189,@Null@,@Null@,@Null@
1190,@Null@,@Null@,@Null@
1191,@Null@,@Null@,@Null@
1192,@Null@,@Null@,@Null@
1193,@Null@,@Null@,@Null@
1194,@Null@,@Null@,@Null@
1195,@Null@,@Null@,@Null@
1196,@Null@,@Null@,@Null@
1197,@Null@,@Null@,@Null@
1198,@Null@,@Null@,@Null@
1199,@Null@,@Null@,@Null@
1200,@Null@,@Null@,@Null@
1201,Berdiri teguh,Bertahan selama 7 hari dalam mod Hardcore @1,Bertahan hidup#cfa7a0fhari
1202,Mengebom,Survive selama 60 hari dalam mod Hardcore @1,Bertahan hidup#cfa7a0fhari
1203,Mahaguru kehidupan,Survive selama 365 hari dalam mod Hardcore @1,Bertahan hidup#cfa7a0fhari
1204,Orang liar!,Kekalahan 50 Boarman @1,Kalahkan#cfa7a0forang liar
1205,Anak orang liar!,Kekalahan 20 joki @1,Kalahkan#cfa7a0fbayi liar
1206,Apostle Hampa!,Kalahkan 50 Apostle Hampa@1,Kalahkan #cfa7a0fApostle Hampa
1207,Perdagangan,Buat 20 berdagang dengan peniaga perjalanan @1,Berdagang dengan pedagang kembara#cfa7a0f
1208,Perdagangan gurun,Buat 50 berdagang dengan pedagang Desert @1,Berdagang dengan pedagang gurun#cfa7a0f
1209,Perdagangan Salju,Buat 200 berdagang dengan pedagang lapangan ais @1,Berdagang dengan pedagang salju#cfa7a0f
1210,Bom Telur,Kekalahan 30 Boomeggs @1,Kalahkan#cfa7a0fbom telur
1211,Pemanah Sulfur,Kekalahan 100 Sulfur Archers @1,Kalahkan#cfa7a0fpemanah sulfur
1212,Pembunuh naga!,Mengalahkan Black Dragon kuno @1,Kalahkan#cfa7a0fnaga hitam kuno
1213,Bahan Celesthium,Melombong 100 #L#cfa7a0fBijih Celesthium#n@1,Melombong #cfa7a0fBijih Celesthium
1214,Simpanan Senjata,Melebur 500 #L#cfa7a0fMithril#n@1,Melebur #cfa7a0fMithril
1215,Satu Selamanya,Melombong 20 #L#cfa7a0fBijih Tungsten#n@1,Melombong #cfa7a0fBijih Tungsten
1216,Ayam Panggang Wangi,Memasak 100 #L#cfa7a0fAyam Panggang Baldi Keluarga#n@1,Memasak #cfa7a0fAyam Panggang Baldi Keluarga
1217,Raja Mee,Memasak 50 #L#cfa7a0fMee Panggang#n@1,Memasak #cfa7a0fMee Panggang
