接口ID,马来语,马来语,马来语,马来语,马来语,马来语,马来语
20003,Pengurusan dunia,isCreativeMode,World:isCreativeMode(),none,"ErrorCode.OK, result:boolean",Adakah mod kreatif,"local result = World:isCreativeMode()
if result==ErrorCode.OK then print('Mod Semasa: Mod Kreatif') end"
20004,Pengurusan dunia,isGodMode,World:isGodMode(),none,"ErrorCode.OK, result:boolean",Mod kreatif berbilang pemain atau mod penyuntingan buatan sendiri,"local result = World:isGodMode()
if result==ErrorCode.OK then print('Mod semasa: Mod kreatif berbilang pemain') end"
20005,Pengurusan dunia,isExtremityMode,World:isExtremityMode(),none,"ErrorCode.OK, result:boolean",Mod melampau,"local result = World:isExtremityMode()
if result==ErrorCode.OK then print('Mod semasa: Mod melampau') end"
20006,Pengurusan dunia,isFreeMode,World:isFreeMode(),none,"ErrorCode.OK, result:boolean",Mod pengembaraan mod bebas,"local result = World:isFreeMode()
if result==ErrorCode.OK then print('Mod Semasa: Mod Pengembaraan Mod Bebas') end"
20007,Pengurusan dunia,isSurviveMode,World:isSurviveMode(),none,"ErrorCode.OK, result:boolean",Mod pemain tunggal atau mod pengembaraan mod bebas,"local result = World:isSurviveMode()
if result==ErrorCode.OK then print('当前模式：单人生存模式') end"
20008,Pengurusan dunia,isCreateRunMode,World:isCreateRunMode(),none,"ErrorCode.OK, result:boolean",Kelangsungan hidup dari mod kreatif,"local result = World:isCreateRunMode()
if result==ErrorCode.OK then print('Mod Semasa: Kelangsungan Hidup dari Mod Kreatif') end"
20009,Pengurusan dunia,isGameMakerMode,World:isGameMakerMode(),none,"ErrorCode.OK, result:boolean",Edit mod permainan buatan sendiri,"local result = World:isGameMakerMode()
if result==ErrorCode.OK then print('Mod semasa: Mod edit permainan buatan sendiri') end"
20010,Pengurusan dunia,isGameMakerRunMode,World:isGameMakerRunMode(),none,"ErrorCode.OK, result:boolean",Mod operasi permainan buatan sendiri,"local result = World:isGameMakerRunMode()
if result==ErrorCode.OK then print('Mod semasa: mod operasi permainan buatan sendiri') end"
20011,Pengurusan dunia,getHours,World:getHours(),none,"ErrorCode.OK, result:number",Dapatkan masa permainan sekarang (h),"local result, dayTime = World:getHours()
if result==ErrorCode.OK then print('Masa sekarang：', dayTime) end"
20012,Pengurusan dunia,getCameraEditState,World:getCameraEditState(),none,"ErrorCode.OK, state:number0Lalai, 1 keadaan edit, 2 keadaan ujian",Dapatkan status penyuntingan tontonan,"local result, state = World:getCameraEditState()
if result==ErrorCode.OK then print('Menyunting status perspektif semasa：', state) end"
20013,Pengurusan dunia,setCameraEditState,World:setCameraEditState(state),state:CameraEditState,ErrorCode.OK,Tetapkan status penyuntingan sudut tontonan,"‘--Apa yang diperoleh adalah objek Kamera(userdata)，Apa yang dikembalikan di sini adalah nil
local result, config = World:getCustomCameraConfig()
if result==ErrorCode.OK and config~=nil then --Perspektif adat
 config:setOption(CAMERA_OPTION_INDEX_CONFIG_SET, CCG_FLATVIEW)
end"
20014,Pengurusan dunia,getCustomCameraConfig,World:getCustomCameraConfig(),none,"ErrorCode.OK, config:CameraEditState",Dapatkan konfigurasi kamera tersuai,local result = World:getCustomCameraConfig()
20015,Pengurusan dunia,getRangeXZ,World:getRangeXZ(),none,"ErrorCode.OK, startX|startZ|endX|endZ:number",Dapatkan pelbagai blok(bahagian),"local result, startX,startZ,endX,endZ = World:getRangeXZ()
if result==ErrorCode.OK then print('StartXZ=(',startX,', ',startZ,'), EndXZ=(',endX,', ',endZ,')') end"
20016,Pengurusan dunia,getActorsByBox,"World:getActorsByBox(objtype, x1, y1, z1, x2, y2, z2)","type:numberJenisyangditentukan, x1|y1|z1:numberkedudukanpermulaan, x2|y2|z2:numberkedudukanakhir","ErrorCode.OK, num:number, objids:tableobjid array",Dapatkan pelakon dalam julat yang ditentukan,"local actorType = 0 --OBJ_TYPE_MONSTER
local x1, y1, z1 = -5, 1, -5
local x2, y2, z2 = 15, 9, 15
local ret, num, array = World:getActorsByBox(actorType, x1,y1,z1, x2,y2,z2)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20017,Pengurusan dunia,getPlayerTotal,World:getPlayerTotal(alive),"alive:number0Bermakna mati, 1 bermaksud bertahan hidup, lalai -1 bermaksud semua pemain","ErrorCode.OK, num:number Number","Dapatkan semua pemain, boleh mengehadkan kelangsungan hidup",local result = World:getPlayerTotal(alive)
20018,Pengurusan dunia,getAllPlayers,World:getAllPlayers(alive),"alive:number0Bermakna mati, 1 bermaksud bertahan hidup, lalai -1 bermaksud semua pemain","ErrorCode.OK, num:number number, array:table pemain uin array","Dapatkan semua pemain, boleh mengehadkan kelangsungan hidup","local aliveType = -1 --Dapatkan semua data pemain
local ret, num, array = World:getAllPlayers(aliveType)
if ret == ErrorCode.OK then print('Actors ===>> ;, num, array) end"
20019,Pengurusan dunia,randomOnePlayer,World:randomOnePlayer(alive),"alive:number0Bermakna mati, 1 bermaksud bertahan hidup, lalai -1 bermaksud semua pemain","ErrorCode.OK, uin:number",Pilih pemain secara rawak,"local aliveType = 1 --Secara rawak pemain yang masih hidupId
local ret, playerId = World:randomOnePlayer(aliveType)
if ret == ErrorCode.OK then print('Player ===>> ', playerId) end"
20020,Pengurusan dunia,despawnActor,World:despawnActor(objid),objid:number,ErrorCode.OK,Padamkan pelakon,"local ret, num, array = World:getActorsByBox(aType, x1,y1,z1, x2,y2,z2)
if array and #array>0 then --KeluarkanActor
 local result = World:despawnActor(array[#array])
 if result == ErrorCode.OK then print('Despawn the last actor') end
end"
20021,Pengurusan dunia,spawnCreature,"World:spawnCreature(x, y, z, actorid, num)","x|y|z:number, mobid:number, num:number","ErrorCdoe.OK, objids:tableobjid array","Makhluk sintesis (termasuk raksasa, NPC, haiwan, dll.)","local x, y, z = 6, 7, 8
local actorId, actorCnt = 3812, 2 --lembu
local ret, objids = World:spawnCreature(x, y, z, actorId, actorCnt)
if objids and #objids>0 then
 for idx = 1, #objIds do --Tetapkan bergantung kepada oksigen
 Creature:setOxygenNeed(objids[idx], true)
 end 
end"
20022,Pengurusan dunia,despawnCreature,World:despawnCreature(objid),objid:number,ErrorCode.OK,Padamkan makhluk,"local result = World:despawnCreature(objids[1])
if result == ErrorCode.OK then print('Despawn the creature') end"
20023,Pengurusan dunia,spawnItem,"World:spawnItem(x, y, z, itemid, num)","x|y|z:number, itemid:number, num:number","ErrorCode.OK, objid:number",Hasilkan alat peraga di lokasi yang ditentukan,"local xPos, yPos, zPos = 5, 6, 7
local itemId, itemCnt = 15003, 30 --Id dan kuantiti item
local ret, objIds = World:spawnItem(xPos, yPos, zPos, itemId, itemCnt)
if ret == ErrorCode.OK then print(""Item[1]====>>>"", objIds[1]) end"
20024,Pengurusan dunia,despawnItemByBox,"World:despawnItemByBox(x1, y1, z1, x2, y2, z2)","x1|y1|z1:numberkedudukanpermulaan, x2|y2|z2:numberkedudukanakhir",ErrorCode.OK,Padamkan alat peraga (melalui kawasan),"local x1, y1, z1 = -5, 5, -5
local x2, y2, z2 = 15, 9, 15
local result = World:despawnItemByBox(x1,y1,z1, x2,y2,z2)
if result == ErrorCode.OK then print('Berjaya mengeluarkan Item di kawasan yang ditentukan') end"
20025,Pengurusan dunia,despawnItemByObjid,World:despawnItemByObjid(objid),objid:number,ErrorCode.OK,Padamkan alat peraga (mengikut ID),"local result = World:despawnItemByObjid(objIds[1])
if result == ErrorCode.OK then print('Berjaya mengeluarkan Item di kawasan yang ditentukan') end"
20026,Pengurusan dunia,spawnProjectile,"World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)","shooter:number, itemid:number, x|y|z:number, dirx|diry|dirz:number, speed:number",ErrorCode.OK,Hasiklan projektil,"local result = World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)"
30001,Pengurusan Blok,isSolidBlock,"Block:isSolidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Sama ada blok itu adalah entiti,"local result = Block:isSolidBlock(x, y, z)"
30002,Pengurusan Blok,isLiquidBlock,"Block:isLiquidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Sama ada blok itu cecair,"local result = Block:isLiquidBlock(x, y, z)"
30003,Pengurusan Blok,isAirBlock,"Block:isAirBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Sama ada bongkah itu udara,"local result = Block:isAirBlock(x, y, z)"
30004,Pengurusan Blok,getBlockID,"Block:getBlockID(x, y, z)",x|y|z:number,"ErrorCode.OK, id:number",Dapatkan id blok yang sesuai,"local result = Block:getBlockID(x, y, z)"
30005,Pengurusan Blok,setBlockAll,"Block:setBlockAll(x, y, z, blockid, data)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Tetapkan memperbaharui + pemberitahuan blockalldata,"local result = Block:setBlockAll(x, y, z, blockid, data)"
30006,Pengurusan Blok,destroyBlock,"Block:destroyBlock(x, y, z, dropitem)","x|y|z:number, dropitem:boolean",ErrorCode.OK,Padamkan blok,"local result = Block:destroyBlock(x, y, z, dropitem)"
30007,Pengurusan Blok,placeBlock,"Block:placeBlock(blockid, x, y, z, face)","blockid:number, x|y|z:number, face:number","ErrorCode.OK, ret:booleanPenempatan yang berjaya",Letakkan blok,"local result = Block:placeBlock(blockid, x, y, z, face)"
30008,Pengurusan Blok,setBlockAllForUpdate,"Block:setBlockAllForUpdate(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Tetapkan blockalldata untuk memberitahu blok di sekitarnya,"local result = Block:setBlockAllForUpdate(x, y, z, blockid)"
30009,Pengurusan Blok,setBlockAllForNotify,"Block:setBlockAllForNotify(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Tetapkan blockalldata untuk mengemas kini blok kedudukan semasa,"local result = Block:setBlockAllForNotify(x, y, z, blockid)"
30010,Pengurusan Blok,setBlockSettingAttState,"Block:setBlockSettingAttState(blockid, atttype, switch)","blockid:number, atttype:BLOCKATTR, switch:boolean",ErrorCode.OK,Tetapkan atribut dan keadaan blok,"local result = Block:setBlockSettingAttState(blockid, atttype, switch)"
30011,Pengurusan Blok,getBlockSwitchStatus,Block:getBlockSwitchStatus(pos),x|y|z:number,"ErrorCode.OK, isactive:boolean",Dapatkan status suis blok fungsi,local result = Block:getBlockSwitchStatus(pos)
30012,Pengurusan Blok,setBlockSwitchStatus,"Block:setBlockSwitchStatus(pos, isactive)","x|y|z:number, isactive:boolean",ErrorCode.OK,Tetapkan keadaan suis blok fungsi,"local result = Block:setBlockSwitchStatus(pos, isactive)"
40001,Pelakon Permainan,isPlayer,Actor:isPlayer(objid),objid,ErrorCode.Okialah pemain ialah pemain,Periksa sama ada ia pemain,local result = Actor:isPlayer(objid)
40002,Pelakon Permainan,isMob,Actor:isMob(objid),objid,ErrorCode.Okialah makhluk ialah makhluk,Periksa sama ada ia adalah raksasa,local result = Actor:isMob(objid)
40003,Pelakon Permainan,getObjType,Actor:getObjType(objid),objid,"ErrorCode.OK, objtype:number",Dapatkan jenis pelakon: makhluk / pemain ...,local result = Actor:getObjType(objid)
40004,Pelakon Permainan,isInAir,Actor:isInAir(objid),objid:number,ErrorCode.OK,Adakah di udara,local result = Actor:isInAir(objid)
40005,Pelakon Permainan,getPosition,Actor:getPosition(objid),objid,"ErrorCode.OK, x|y|z:number",Dapatkan lokasi pelakon,local result = Actor:getPosition(objid)
40006,Pelakon Permainan,setPosition,"Actor:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Tetapkan kedudukan pelakon,"local result = Actor:setPosition(objid, x, y, z)"
40007,Pelakon Permainan,jump,Actor:jump(objid),objid:number,ErrorCode.OK,Lompat,local result = Actor:jump(objid)
40008,Pelakon Permainan,killSelf,Actor:killSelf(objid),objid:number,ErrorCode.OK,Bunuh diri,local result = Actor:killSelf(objid)
40009,Pelakon Permainan,getCurPlaceDir,Actor:getCurPlaceDir(objid),objid:number,"ErrorCode.OK, dir:number",Dapatkan arah menghadap semasa,local result = Actor:getCurPlaceDir(objid)
40010,Pelakon Permainan,tryMoveToActor,"Actor:tryMoveToActor(self_objid, target_objid, speed)","self_objid:number, target_objid:number, speed:number",ErrorCode.OK,Beralih ke sasaran pelakon,"local result = Actor:tryMoveToActor(self_objid, target_objid, speed)"
40011,Pelakon Permainan,tryMoveToPos,"Actor:tryMoveToPos(objid, x, y, z, speed)","objid:number, x|y|z:number, speed:number",ErrorCode.OK,Beralih ke lokasi sasaran,"local result = Actor:tryMoveToPos(objid, x, y, z, speed)"
40012,Pelakon Permainan,addBuff,"Actor:addBuff(objid, buffid, bufflv, customticks)","objid:number, buffid:number, bufflv:number, customticks:number",ErrorCode.OK,Menambah buff,"local result = Actor:addBuff(objid, buffid, bufflv, customticks)"
40013,Pelakon Permainan,hasBuff,"Actor:hasBuff(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ret:boolean",Sama ada ia mempunyai buff,"local result = Actor:hasBuff(objid, buffid)"
40014,Pelakon Permainan,removeBuff,"Actor:removeBuff(objid, buffid)","objid:number, buffid:number",ErrorCode.OK,Padamkan buff,"local result = Actor:removeBuff(objid, buffid)"
40015,Pelakon Permainan,clearAllBuff,Actor:clearAllBuff(objid),objid:number,ErrorCode.OK,Kosongkan semua buff,local result = Actor:clearAllBuff(objid)
40016,Pelakon Permainan,clearAllBadBuff,Actor:clearAllBadBuff(objid),objid:number,ErrorCode.OK,Kosongkan semua buff negatif,local result = Actor:clearAllBadBuff(objid)
40017,Pelakon Permainan,getBuffList,Actor:getBuffList(objid),objid:number,"ErrorCode.OK, num:numberbuffkuantiti, array:tablebuffidarray",Dapatkan senarai buff,local result = Actor:getBuffList(objid)
40018,Pelakon Permainan,getBuffLeftTick,"Actor:getBuffLeftTick(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ticks:number",Dapatkan sisa buff yang sesuai dengan indeks semasa,"local result = Actor:getBuffLeftTick(objid, buffid)"
40019,Pelakon Permainan,addHP,"Actor:addHP(objid, hp)","objid:number, hp:number",ErrorCode.OK,Meningkatkan jumlah darah semasa,"local result = Actor:addHP(objid, hp)"
40020,Pelakon Permainan,getHP,Actor:getHP(objid),objid:number,"ErrorCode.OK, value:number",Dapatkan jumlah darah semasa,local result = Actor:getHP(objid)
40021,Pelakon Permainan,getMaxHP,Actor:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Dapatkan HP maksimum semasa,local result = Actor:getMaxHP(objid)
40022,Pelakon Permainan,addOxygen,"Actor:addOxygen(objid, oxygen)","objid:number, oxygen:number",ErrorCode.OK,Meningkatkan tahap oksigen,"local result = Actor:addOxygen(objid, oxygen)"
40023,Pelakon Permainan,getOxygen,Actor:getOxygen(objid),objid:number,"ErrorCode.OK, value:number",Dapatkan nilai oksigen,local result = Actor:getOxygen(objid)
40024,Pelakon Permainan,addEnchant,"Actor:addEnchant(objid, slot, enchantId, enchantLevel)","objid:number, slot:number, enchantId:number, enchantLevel:number",ErrorCode.OK,Meningkatkan daya tarikan peralatan yang berkaitan,"local result = Actor:addEnchant(objid, slot, enchantId, enchantLevel)"
40025,Pelakon Permainan,removeEnchant,"Actor:removeEnchant(objid, slot, enchantId)","objid:number, slot:number, enchantId:number",ErrorCode.OK,Keluarkan pesona peralatan yang berkaitan,"local result = Actor:removeEnchant(objid, slot, enchantId)"
40026,Pelakon Permainan,findNearestBlock,"Actor:findNearestBlock(objid, blockid, blockRange)","objid:number, blockid:number, blockRange","ErrorCode.OK, x|y|z:number",Cari id blok terdekat,"local result = Actor:findNearestBlock(objid, blockid, blockRange)"
40027,Pelakon Permainan,setFaceYaw,"Actor:setFaceYaw(objid, yaw)","objid:number, yaw:numbersudut",ErrorCode.OK,Tetapkan sudut ofset lateral dari perspektif pelakon,"local result = Actor:setFaceYaw(objid, yaw)"
40028,Pelakon Permainan,getFaceYaw,Actor:getFaceYaw(objid),objid:number,"ErrorCode.OK, yaw:number",Dapatkan sudut ofset sisi perspektif pelakon,local result = Actor:getFaceYaw(objid)
40029,Pelakon Permainan,turnFaceYaw,"Actor:turnFaceYaw(objid, offset)","objid:number, offset:numberputarsudut",ErrorCode.OK,Putar sudut offset pelakon,"local result = Actor:turnFaceYaw(objid, offset)"
40030,Pelakon Permainan,setFacePitch,"Actor:setFacePitch(objid, pitch)","objid:number, pitch:numberSudut pandangsisi",ErrorCode.OK,Tetapkan perspektif pelakon dan sudut pandangan,"local result = Actor:setFacePitch(objid, pitch)"
40031,Pelakon Permainan,getFacePitch,Actor:getFacePitch(objid),objid:number,"ErrorCode.OK, pitch:number",Dapatkan perspektif pelakon dan cari sudut,local result = Actor:getFacePitch(objid)
40032,Pelakon Permainan,turnFacePitch,"Actor:turnFacePitch(objid, offset)","objid:number, offset:numberputarsudut",ErrorCode.OK,Putar pelakon untuk melihat sudut offset,"local result = Actor:turnFacePitch(objid, offset)"
40033,Pelakon Permainan,playBodyEffect,"Actor:playBodyEffect(objid, type)","objid:number, type:numberjeniskesankhasACTORBODY_EFFECT",ErrorCode.OK,Mainkan kesan khas,"local result = Actor:playBodyEffect(objid, type)"
40034,Pelakon Permainan,stopBodyEffect,"Actor:stopBodyEffect(objid, type)","objid:number, type:numberjeniskesankhasACTORBODY_EFFECT",ErrorCode.OK,Hentikan kesan khas,"local result = Actor:stopBodyEffect(objid, type)"
40035,Pelakon Permainan,playBodyEffectByFile,"Actor:playBodyEffectByFile(objid, filename, sync)","objid:number, filename:stringnamafail, sync:boolserentak",ErrorCode.OK,Mainkan kesan khas fail,"local result = Actor:playBodyEffectByFile(objid, filename, sync)"
40036,Pelakon Permainan,stopBodyEffectByFile,"Actor:stopBodyEffectByFile(objid, filename)","objid:number, filename:stringnamafail",ErrorCode.OK,Hentikan kesan fail,"local result = Actor:stopBodyEffectByFile(objid, filename)"
40037,Pelakon Permainan,playSound,"Actor:playSound(objid, name, volume, pitch, flag)","objid:number, name:string, volume:number, pitch:number, flag:number",ErrorCode.OK,Memainkan bunyi,"local result = Actor:playSound(objid, name, volume, pitch, flag)"
40038,Pelakon Permainan,playSoundSpecial,"Actor:playSoundSpecial(objid, name, type)","objid:number, name:string, type:numberjenisyangditentukan(GSOUND_TYPE)",ErrorCode.OK,Mainkan suara(jenis khusus:GSOUND_TYPE),"local result = Actor:playSoundSpecial(objid, name, type)"
40039,Pelakon Permainan,clearActorWithId,"Actor:clearActorWithId(actorid, bkill)","actorid:number, bkill:boolean",ErrorCode.OK,Padamkan makhluk yang ID makhluknya adalah id pelakon,"local result = Actor:clearActorWithId(actorid, bkill)"
40040,Pelakon Permainan,setAttackType,"Actor:setAttackType(objid, attacktype)","objid:number, attacktype:number",ErrorCode.OK,Tetapkan jenis kerosakan,"local result = Actor:setAttackType(objid, attacktype)"
40041,Pelakon Permainan,setImmuneType,"Actor:setImmuneType(objid, immunetype, isadd)","objid:number, immunetype:number, isadd:number",ErrorCode.OK,Tetapkan jenis kerosakan imun,"local result = Actor:setImmuneType(objid, immunetype, isadd)"
40042,Pelakon Permainan,mountActor,"Actor:mountActor(objid, mountobjid, posindex)","objid:number, mountobjid:number, posindex:numberkedudukantunggangan",ErrorCode.OK,Masuk dan turun dari kenderaan,"local result = Actor:mountActor(objid, mountobjid, posindex)"
40043,Pelakon Permainan,setActionAttrState,"Actor:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,Tetapkan status sifat tingkah laku makhluk,"local result = Actor:setActionAttrState(objid, actionattr, switch)"
40044,Pelakon Permainan,tryNavigationToPos,"Actor:tryNavigationToPos(objid, x, y, z, cancontrol)","objid:number, x|y|z:number, cancontrol:boolean",ErrorCode.OK,Mencari jalan ke lokasi sasaran,"local result = Actor:tryNavigationToPos(objid, x, y, z, cancontrol)"
40045,Pelakon Permainan,getRidingActorObjId,Actor:getRidingActorObjId(objid),objid:number,ErrorCode.OK,Dapatkan solat tunggangan makhluk,local result = Actor:getRidingActorObjId(objid)
50001,Pemain,getAttr,Player:getAttr(attrtype),"objid:number, atttype:number","ErrorCode.OK, value:number",nil,local result = Player:getAttr(attrtype)
50002,Pemain,setAttr,"Player:setAttr(attrtype, val)","objid:number, val:number, atttype:number",ErrorCode.OK,nil,"local result = Player:setAttr(attrtype, val)"
50003,Pemain,getHostUin,Player:getHostUin(),nil,"ErrorCode.OK, uin:number",Dapatkan pemilik rumah,local result = Player:getHostUin()
50004,Pemain,isMainPlayer,Player:isMainPlayer(objid),objid:number,ErrorCode.Okialah pemain tempatan ialah pemain tempatan,Periksa sama ada pemain tempatan,local result = Player:isMainPlayer(objid)
50005,Pemain,getMainPlayerUin,Player:getMainPlayerUin(),nil,"ErrorCode.OK, uin:number",Dapatkan pemain tempatan uin,local result = Player:getMainPlayerUin()
50006,Pemain,getGameResults,Player:getGameResults(objid),objid:number,"ErrorCode.OK, value:number",Dapatkan keputusan perlawanan pemain,local result = Player:getGameResults(objid)
50007,Pemain,setGameResults,"Player:setGameResults(objid, result)","objid:number, result",ErrorCode.OK,Tetapkan keputusan perlawanan pemain,"local result = Player:setGameResults(objid, result)"
50008,Pemain,getGameScore,Player:getGameScore(objid),objid:number,"ErrorCode.OK, value:number",Dapatkan markah permainan pemain,local result = Player:getGameScore(objid)
50009,Pemain,setGameScore,"Player:setGameScore(objid, score)",objid:number,"ErrorCode.OK, value:number",Tetapkan markah permainan pemain,"local result = Player:setGameScore(objid, score)"
50010,Pemain,getGameRanking,Player:getGameRanking(objid),objid:number,"ErrorCode.OK, rank:number",Dapatkankedudukan pemain,local result = Player:getGameRanking(objid)
50011,Pemain,setGameRanking,"Player:setGameRanking(objid, rank)","objid:number, rank:number",ErrorCode.OK,Tetapkan kedudukan pemain,"local result = Player:setGameRanking(objid, rank)"
50012,Pemain,gainItems,"Player:gainItems(objid, itemid, num, prioritytype)","objid:number, itemid:number, num:number, prioritytype:number(1 adalah bar pintasan keutamaan 2 adalah bar beg galas keutamaan)",ErrorCode.OK,Tambahkan alat peraga pada pemain,"local result = Player:gainItems(objid, itemid, num, prioritytype)"
50013,Pemain,teleportHome,Player:teleportHome(objid),objid:number,ErrorCode.OK,Teleport untuk tempat kelahiran,local result = Player:teleportHome(objid)
50014,Pemain,getCurToolID,Player:getCurToolID(objid),objid:number,"ErrorCode.OK, ret",Dapatkan id item yang kini dipegang oleh pemain,local result = Player:getCurToolID(objid)
50015,Pemain,getNickname,Player:getNickname(objid),objid:number,"ErrorCode.OK, name:string",Dapatkan nama panggilan pemain,local result = Player:getNickname(objid)
50016,Pemain,removeBackpackItem,"Player:removeBackpackItem(objid, itemid, num)","objid:number, itemid:number, num:number",ErrorCode.OK,Pindahkan isi beg galas,"local result = Player:removeBackpackItem(objid, itemid, num)"
50017,Pemain,getDieTimes,Player:getDieTimes(objid),objid:number,"ErrorCode.OK, value:number",Dapatkan jumlah kematian pemain,local result = Player:getDieTimes(objid)
50018,Pemain,getLeftLifeNum,Player:getLeftLifeNum(objid),objid:number,"ErrorCode.OK, value:number",Dapatkan jumlah nyawa yang ditinggalkan oleh pemain,local result = Player:getLeftLifeNum(objid)
50019,Pemain,setTeam,"Player:setTeam(objid, team)","objid:number, teamid:number",ErrorCode.OK,Menubuhkan pasukan makhluk,"local result = Player:setTeam(objid, team)"
50020,Pemain,getTeam,Player:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Memperolehi pasukan makhluk,local result = Player:getTeam(objid)
50021,Pemain,getFoodLevel,Player:getFoodLevel(objid),objid:number,ErrorCode.OK,Dapatkan rasa kenyang semasa,local result = Player:getFoodLevel(objid)
50022,Pemain,setFoodLevel,"Player:setFoodLevel(objid, foodLevel)","objid:number, foodLevel:number",ErrorCode.OK,Tetapkan rasa kenyang semasa,"local result = Player:setFoodLevel(objid, foodLevel)"
50023,Pemain,getCurShotcut,Player:getCurShotcut(objid),objid:number,"ErrorCode.OK, scutIdx:number",Dapatkan kekunci bar pintasan yang sedang digunakan,local result = Player:getCurShotcut(objid)
50024,Pemain,onCurToolUsed,"Player:onCurToolUsed(objid, num)","objid:number, num:numberkuantitialat",ErrorCode.OK,Tetapkan penggunaan barang yang dipegang oleh pemain semasa,"local result = Player:onCurToolUsed(objid, num)"
50025,Pemain,setSkillCD,"Player:setSkillCD(objid, itemid, cd)","objid:number, itemid:number, cd:number",ErrorCode.OK,TetapkanCD,"local result = Player:setSkillCD(objid, itemid, cd)"
50026,Pemain,reviveToPos,"Player:reviveToPos(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Bangkit semula pemain ke titik yang ditentukan,"local result = Player:reviveToPos(objid, x, y, z)"
50027,Pemain,setRevivePoint,"Player:setRevivePoint(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Tukar kedudukan titik kebangkitan pemain,"local result = Player:setRevivePoint(objid, x, y, z)"
50028,Pemain,playAct,"Player:playAct(objid, actid)","objid:number, actid:numbegerakkanid",ErrorCode.OK,Pemain memainkan animasi,"local result = Player:playAct(objid, actid)"
50029,Pemain,notifyGameInfo2Self,"Player:notifyGameInfo2Self(objid, info)","objid:number, info:stringisikandunganteks",ErrorCode.OK,Paparkan teks tetingkap ke pemain,"local result = Player:notifyGameInfo2Self(objid, info)"
