iD,马来语,马来语
22,Serangan balik,"Semasa diserang dalam jarak dekat, mempunyai kesempatan 50% untuk menyebabkan 15 poin kecederaan pada penyerang"
22,Serangan balik,"Semasa diserang dalam jarak dekat, mempunyai kesempatan 50% untuk menyebabkan 20 poin kecederaan pada penyerang"
22,Serangan balik,"Semasa diserang dalam jarak dekat, mempunyai kesempatan 50% untuk menyebabkan 25 poin kecederaan pada penyerang"
23,Pertahanan serangan mundur,Jarak mundur berkurang 1 blok semasa diserang.
23,Pertahanan serangan mundur,Jarak mundur berkurang 2 blok semasa diserang.
23,Pertahanan serangan mundur,Jarak mundur berkurang 3 blok semasa diserang.
23,Pertahanan serangan mundur,Jarak mundur berkurang 4 blok semasa diserang.
23,Pertahanan serangan mundur,Jarak mundur berkurang 5 blok semasa diserang.
24,Pengumpulan tepat,"Semasa mengumpul blok, blok akan jatuh."
25,Kelajuan,Menambah kelajuan pengumpulan 30%
25,Kelajuan,Menambah kelajuan pengumpulan 70%
25,Kelajuan,Menambah kelajuan pengumpulan 120%
25,Kelajuan,Menambah kelajuan pengumpulan 180%
25,Kelajuan,Menambah kelajuan pengumpulan 250%
26,Menggali tuah,"Beliung: semasa melombong bijih, mempunyai kesempatan 16% untuk mendapat dua kali ganda barang yang jatuh."
26,Menggali tuah,"Beliung: semasa melombong bijih, mempunyai kesempatan 16%/8% untuk mendapat dua / tiga kali ganda barang yang jatuh."
26,Menggali tuah,"Beliung: semasa melombong bijih, mempunyai kesempatan 20 / 10 / 4% untuk mendapat dua / tiga / empat kali ganda barang yang jatuh."
27,Tembakan ledakan,"Apabila sasaran ditembak oleh panah, ledakan akan berlaku."
28,Kejatuhan naga,"Kecederaan kejatuhan -150, dan dapat mengurangkan kelajuan kejatuhan."
32,Kelajuan,Meningkatkan kelajuan pengumpulan 30%
30,Kejatuhan cepat (melindungi kaki),"Semasa jatuh, tekan Shift +40% kelajuan kejatuhan dan -15 kecederaan kejatuhan."
30,Kejatuhan cepat (melindungi kaki),"Semasa jatuh, tekan Shift +55% kelajuan kejatuhan dan -30 kecederaan kejatuhan."
30,Kejatuhan cepat (melindungi kaki),"Semasa jatuh, tekan Shift +70% kelajuan kejatuhan dan -45 kecederaan kejatuhan."
30,Kejatuhan cepat (melindungi kaki),"Semasa jatuh, tekan Shift +85% kelajuan kejatuhan dan -70 kecederaan kejatuhan."
30,Kejatuhan cepat (melindungi kaki),"Semasa jatuh, tekan Shift +100% kelajuan kejatuhan dan -100 kecederaan kejatuhan."
31,Memanjat dinding (kasut),"Dapat memanjat pada permukaan menegak seperti memanjat tangga, -40% kelajuan pergerakan dan setiap 2 saat akan menggunakan 3 poin ketahanan."
31,Memanjat dinding (kasut),"Dapat memanjat pada permukaan menegak seperti memanjat tangga, -30% kelajuan pergerakan dan setiap 2 saat akan menggunakan 3 poin ketahanan."
31,Memanjat dinding (kasut),"Dapat memanjat pada permukaan menegak seperti memanjat tangga, -25% kelajuan pergerakan dan setiap 2 saat akan menggunakan 2 poin ketahanan."
31,Memanjat dinding (kasut),"Dapat memanjat pada permukaan menegak seperti memanjat tangga, -10% kelajuan pergerakan dan setiap 2 saat akan menggunakan 2 poin ketahanan."
31,Memanjat dinding (kasut),"Dapat memanjat pada permukaan menegak seperti memanjat tangga,setiap 2 saat akan menggunakan 1 poin ketahanan."
