id编号,标题,内容,作者,是否匿名
37,<Teka-teki harian>,"<Teka-teki harian>
Haiwan apa yang ejaan dia ada 2 huruf ja?
Jawapan: udang.
Kenapa jawapan dia udang?
(Jawapan: U dan G.)",,
38,<Teka-teki harian>,"<Teka-teki harian>
Kadang putih, kadang hitam, kadang hilang di langit.
(Jawapan: Awan)",,
39,<Teka-teki harian>,"<Teka-teki harian>
4 orang awek share satu payung ketika berjalan. Kenapa sorang pun tak basah?
(Jawapan: Sebab tak hujan)",,
40,<Teka-teki harian>,"<Teka-teki harian>
Benda apa yang lebih kecil dari kuman?
(Jawapan: Anak kuman)",,
41,<Teka-teki harian>,"<Teka-teki harian>
Antara kereta dan motor, mana lebih tua?
(Jawapan: Motor sebab pakai tongkat)",,
42,<Teka-teki harian>,"<Teka-teki harian>
Dalam banyak-banyak ikan, ikan apa tiada kepala, tiada ekor, tiada mulut?
(Jawapan: Bebola ikan)",,
43,<Teka-teki harian>,"<Teka-teki harian>
Dalam banyak-banyak kuih, kuih apa yang orang makan tepinya sahaja tapi tengahnya orang tak makan?
(Jawapan: Donut)",,
44,<Teka-teki harian>,"<Teka-teki harian>
Kenapa keyboard penat? (keyboard laptop/komputer)
(Jawapan: Dia ada dua Shift)",,
45,<Teka-teki harian>,"<Teka-teki harian>
Benda ini sangat berharga, tetapi setiap orang pun ada. Mudah dibuang, tak mungkin disimpan.
(Jawapan: Masa)",,
46,<Teka-teki harian>,Kucing yang mempunyai poket? Itulah Doraemon,Yuna,
47,,Kucing apa ada empat kaki? Mestilah semua kucing kecuali saya.,Yuna,
48,,"Semua kucing berjalan dengan 4 kaki, Saya berjalan dengan 2 kaki sahaja.",Feifei,
49,,"Saya tidak takut sejuk sebab saya berkulit tebal. Ohhh... Salah, saya berbulu tebal",Feifei,
50,<Teka-teki harian>,"Seekor labah-labah lalu di sebelah najis, tapak kakinya tinggal tujuh, kenapa ?
Sebab dia tutup hidung",Andrew,
51,,Cuba teka Spider Girl adalah adik-beradik saya? Rahsia...,Andrew,
52,,Cuba teka Andrew adalah abang saya? Rahsia...,Spider Girl,
53,,Mungkin ramai beranggapan bahawa semua labah-labah membuat sarang dari sutera yang dihasilkan mereka.Tetapi sebenarnya tidak semua labah-labah membuat sarang labah-labah dari sutera mereka. Sebagai contoh adalah labah-labah Wolf yang langsung tidak membina sarang dari suteranya sepertimana labah-labah lain.,Andrew,
54,,"Saya adalah seorang pemimpin Decepticon, paling hebat",Starscream,
55,,Anda lebih suka buah Kiwi manis atau masam?,Mihe,
56,,Anda lebih suka buah Kiwi berwarna kuning atau hijau?,Mihe,
57,<Teka-teki harian>,"Dalam buah-buahan, buah apa yang boleh berkawad?
Itulah buah kiwi. Sebab kiwi kanan, kiwi kanan",Mihe,
58,,Pernahkah anda jumpa kiwi berwarna merah?,Mihe,
59,,Apa jadinya kalau warna hitam tukar kepada merah jambu? Cuba bayangkan,Panda,
60,,Adakah anda suka jika saya menjadi perempuan?,Panda,
61,,"Cuaca panas sangat ini, mari kita mengadakan Pertandingan Renang, seronok?",Panda,
62,Fakta,"Pemain bola keranjang paling tinggi bernama Suleiman Ali Nashnush, ketinggiannya 2.45m.",Lucas,
63,,"Walaupun saya sudah tua dan kelabu, saya tidak akan dapat bermain, tetapi saya masih akan menyukai permainan.",Michael Jordan,
64,,Berapa banyak duit raya Angpau anda dapat?,Si Arnab Cantik,
65,,"Mari kita berkongsi rahsia, adakah anda rasa Si Arnab Cantik berambut panjang stay pendek lagi Cantik? Jangan risau, saya tidak beritahu dia.",Panda,
66,,"Mari kita berkongsi rahsia, adakah anda rasa Panda gemuk? Jangan risau, saya tidak beritahu dia.",Si Arnab Cantik,
67,,Betapa seronok kalau kulit dinasour saya boleh bertukar warna…,Misra,
68,,Bolehkah anda mengenali saya jika saya berpakaian buaya?,Misra,
69,,Sepatutnya saya nampak seperti buaya atau dinosaur?,Misra,
70,,Tahun ini adalah Tahun Arnab. Menyambut Tahun Arnab bersama Mini World.,Si Arnab Cantik,
71,,Saya bagitau satu rahsia. Sepatutnya hobi saya adalah makan dan tidur.,Si Arnab Cantik,
72,,"Hatiku, milikmu.",,
73,,Sebernanya Misra milik saya.,,
74,,"Kalau anda bahagia, saya pun bahagia.",,
75,,Sebernanya Si Arnab Cantik milik saya.,,
76,,"Hatimu, milikku.",,
77,,Hari cuti akan datang. Saya sangat gembira sebab banyak masa untuk bermain permainan.,,
78,,Sesiapa tahu cara mendapatkan peta harta karun di laut dalam…,,
79,,Sesiapa tahu cara mendapatkan peta harta karun atas tanah…,,
80,,"Hari ini makan mi goreng, nasi goreng atau mihun goreng?",,
81,,Bosan betul! Tidur sahaja la. Rasanya masa berlalu dengan lebih pantas.,,
82,,Saya sudah semakin gemuk. Jangan makan malam dekat waktu tidur.,,
83,,"Hari cuti, bersantai di pantai dengan memakai cermin mata hitam. Kacak betul!",,
84,,Jerung datang! Jerung ini takut dinosaur,,
85,,Panas betul berpakaian dinosaur ini.,,
86,,"Hanya sepasang kasut sukan dinosaurdi dunia, itu milik saya.",,
87,,"Pukul berapa sekarang? Mengantuk betul. Ambil buku untuk menutup muka, biar saya tidur sekejap dulu.",Misra,
88,,Ramai kata saya serupa dengan kotak minuman.,Mermale,
89,,Saya memakai jam tangan terbaru. Anda tidak nampak kan? Sebab saya memakai baju lengan panjang.,Nuri YOYO,
90,,Mari teka… saya adalah seekor ayam atau burung?,Nuri YOYO,
91,,Apakah warna arnab anda paling suka?,Rebecca,
92,,Pernahkah anda menjinak arnab di rumah?,Si Arnab Cantik,
93,,Jangka hayat arnab adalah kira-kira 9–12 tahun. Arnab yang paling panjang usia di dunia mencapai 18 tahun.,Si Arnab Cantik,
94,,Telinga ajaiab saya boleh bertukar warna dari masa ke masa.,Tn. Kelinci Laby,
95,,Berapa panjang telinga saya? Saya tidak pernah ukur.,Rebecca,
96,,Saya harap mendapatkan sebuah laptop anti air pada hari jadi saya.,Shelley,
97,,Tiada nyamuk di dalam laut. Nyenyak tidur.,Shelley,
98,,Saya ada satu katil rahsia yang diperbaut daripada kerang.,Shelley,
99,,Bolehkah saya pakai seluar dan tumit tinggi?,Shelley,
100,,Sesiapa boleh mencipta tumit tinggi khas untuk duyung?,Shelley,
101,,"Misteri alam! Betulkah duyung muncul di pantai Latuhalat, Ambon? Atau hanya hantu laut?",Shelley,
102,,Karton duyung adalah salah satu kenangan terindu waktu kecil anda?,Shelley,
103,,Bolehkah saya bina sebuah rumah di atas tanah?,Shelley,
104,,Bersedia untuk berenang! Saya mesti memang! Ekor duyung lebih cepat daripada kaki manusia.,Shelley,
105,,"Cuaca panas sangat, marilah makan ais Krim bersama-sama",Jinyi,
106,,"Kalau saya ada tangan besi untuk memotong pokok, tidak perlu membuat kapak lagi....",Si Arnab Cantik,
107,,"Terdapat buah-buahan yang tumbuh atas daun, boleh memetik untuk mendapatkan makanan",Persimmon,
108,,"Saya sedah menang, semua raksasa yang jahat sudah kalah! HAHAHA'...Alamak...Ini mimpi sahaja...",Jinyi,
109,,"Bahasa apa yang anda ingin belajar? Saya ingin belajar Bahasa Jepun, sebab saya suka makan sushi.",,
110,,Jom bermain sorok-sorok bersama rakan di sekolah. Menjaga keselamatan diri sendiri paling penting.,,
111,,Bilakah kali terakhir anda bermain sorok-sorok?,,
112,,Bilakah kali terakhir kita mengucapkan rasa syukur dan berterima kasih?,,
113,,Bilakah kali terakhir kita mengucapkan “saya sayang ayah”?,,
114,,Bilakah kali terakhir kita mengucapkan “saya sayang ibu”?,,
115,,Bilakah kali terakhir kita membaca surat khabar?,,
116,,Nombor bertuah saya adalah 7. Sesetengah orang kata macam cangku. Apa nombor bertuah anda?,,
117,,"Jangan ketawa. Siapa ketawa, dia yang kalah",,
118,,"Saya buat muka kelakar, berani anda cuba menahan ketawa?",,
119,,"Jom mengadakan aktiviti gotong-royong, kita tanpa mengira perbezaan bangsa dan agama akan bersama-sama menjalankan aktiviti yang sama.",,
120,,Manakah tempat yang paling jauh anda melancong?,,
121,,"Kalau anda boleh mendapatkan kulit percuma, apakah kulit anda suka?",,
122,,"Saya memberi anda sihir, apa anda ingin buat?",,
123,,Bosan! Bosan! Marilah bermain permainan.,,
124,,Dinosaurus datang! Cepat lari! Rupanya Misra. Terkejut saya.,Jinyi,
125,,Pesta Buah-buahan Mini World. Sesiapa ingin menyertai mesti berpakaian buah-buahan.,,
126,,"Rasalah jus buah-buahan baru yang saya cipta. Kisar oren, avacado, durian sekali. Nak minum lagi?",,
127,,"Apa yang saya terminum? Isssshhh… jus buah campur persimmon, durian Dan tembikai. Alamak!",Persimmon,
128,,Siapakah tidak suka makan buah raja “Durian”?,Persimmon,
129,,Bila badan rasa penat. Pergi lah ke pantai. Tanggalkan selipar dan berjalan di atas pasir dengan berkaki ayam. Seronoknya.,,
130,,"Kalau anda kalah, anda mesti menari di depan orang asing",,
131,,"Kalau ana kalah, anda mesti bercakap “saya suka padamu “ kepada orang asing",,
132,,"Kalau anda kalah, anda mesti menyanyi lagu 'Twinkle Twinkle Little Star' di depan orang asing",,
133,,"Z, Y, X, W, V.....Arrrhhh... Saya tak dapat menyebut huruf Z hingga A. Sekarang adalah giliran anda untuk mencuba.",,
134,,Bolehkah anda menyebut nama anda dari belakang ke depan?,,
135,,"Saya pasti anda tidak pernah mengira berapa banyak aksara untuk nama sendiri…Jawab segera, berapa banyak aksara?",,
136,,"Roti canai, roti kosong, roti telur, semua sedap!",,
137,,Ambil sekeping kertas dan sepasang gunting untuk memotong kertas. Tengok potongan kertas siapa paling kreatif.,,
138,,Dududk bersantai di atas rumput sambil menikmati matahari terbenam.,,
139,,Dududk bersantai di atas rumput sambil menikmati pemandangan pelangi yang luar biasa.,,
140,,"Cuaca panas ini, nak mandi air sejuk atau air panas…..",,
141,,"Cuaca sejuk ini, nak mandi air sejuk atau mandi ais…..",,
142,,"Cuaca sejuk ini, nak mandi air sejuk atau mandi tanpa air…..",,
143,,"Orang mana? Orang susah, susah dilupakan",,
144,,"Tak cantik, tak apa, sebab ada filter. Tapi, kalau pendek? Mana boleh cari filter tinggi?",,
145,,"Kalau ingin menjadi kurus, cepatlah putus cinta dengan kentang goreng",,
146,,"Tahukah anda, ikan itu hidup di dalam air, tetapi mengikut kajian, bahawa kambing itu tidak dapat terbang. Hahaha",,
147,,Kebahagian hanyalah kesedihan yang belum berlaku,,
148,,"Kenapa move on itu susah? Kerana sampai sekarang yang dipelajari adalah menghafal atau mengingat, bukan melupakan",,
149,,"Berhentilah menuntut ilmu, kerana ilmu tidak bersalah.",,
150,,"Kalau mencari teman, carilah orang yang tingg. Kerana anda memerlukan dia untuk membawa anda melihat dari tempat tinggi.",,
151,,"Mencari duit sampai stress, selepas itu, duitnya guna buat hilangkan stress. duit habis sambung balik stress.",,
152,,"Tanpa perlu berkata-kata, hanya perlu menjadi pendengar.",,
153,,"Saya memang boleh bergerak dari utara ke selatan dengan sekelip mata sahaja. sebab saya menaiki kereta, kemudian, saya tidur dalam kereta. Buka mata sudah sampai.",,
154,,"Musim sejuk sekarang, setiap hari hujan, semua tempat basah. Semua basah kecuali satu yang kering. Itulah poket saya yang kering.",,
155,,"Pertandingan bola semalam, siapa yang menang? Dua-dua, maksudnya markah kedua-dua pasukan adalah sama. Pasukan A dapat 2 markah, pasukan B dapat 2 markah. Itulah seri 2 sama.",,
156,,"Nak kaya tak? Semua pun nak kaya cepatlah. Kalau nak kaya, pergi ke kedai untuk membeli kaya. Itulah kaya jam.",,
157,,Tahkah anda? Ikan parang tidak digunakan untuk menebang pokok. Burung Tukang tidak boleh digunakan tukang buat rumah.,,
158,,"Dalam kebanyakan binatang, apakah binatang yang mempunyai paling banyak masalah? Kanggaru, sebab tiada duit dalam poket. Jawapan salah. Binatang yang paling banyak masalah adalah ikan temenung, sebab temenung sahaja.",,
159,,"Kenapa doktor bedah menutup mulut dengan topeng? Jika doktor tutup pada mata, macam mana dia nak nampak?",,
160,,"Kenapa lanun pakai penutup mata sebelah? Sebab kalau dia tuptup kedua-dua mata, tak nampaklah pulak.",,
161,,"Jadilah diri sendiri, kerana tiada seorang pun mahu menjadi diri kamu.",,
162,,"Selagi hidup, teruskan berbakti, walaupun tidak dipuji.",,
163,,Garam tak pernah nakal tetapi selalu kena cubit.,,
164,,"Cili tak pernah mencari masalah, tetapi selalu kena tumbuk.",,
165,,"Gula duduk diam-diam, tetapi selalu kena kacau.",,
166,,"Kalau katak diterbalik jadi KATAK. Kopi, kalau diterbalik jadi apa? Jadi tumpahlah",,
167,,"Ayam kalau dekat reban, panggil ayam. Kalau ayam dalam kotak, panggil apa? Ayam jugak la, apa lagi...",,
168,,"Kalau kapal tenggelam di laut, apa benda pertama yang akan timbul? Inikan satu masalah besar, jadilah timbul masalah.",,
169,,"Telur dan ayam, mana satu wujud dulu?",Nuri YOYO,
170,,"Orang gemuk itu, bukan kebanyakan makan, tapi program dietnya yang gagal.",,
171,,"Aku hanya memiliki hati yang tukus, bukan wajah yang mulus",,
172,,"Jodoh ditangan tuhan, mantan ditangan teman",,
173,,"Hidup hanya sekali, jangan meua tanpa arti.",,
174,,Dalam kesulitannada kemudahan. Jangan pernah menyerah. Selagi itu kebaikan tetaplah melangkah.,,
175,,"Untuk mendapatkan apa yang tidak pernah kita miliki, kita harus melakukan apa yang tidak pernah kita lakukan.",,
176,,"Tahukah anda yang sebenarnya kulit beruang kutub bukanlah berwarna putih? Bulu beruang kutub sebenarnya tiada warna dan ia adalah transparent, manakala kulit mereka pula sebenarnya berwarna hitam. Tetapi bulu mereka kelihatan putih kerana strukturnya.",,
177,,Nauru adalah negara terkecil ketiga di dunia yang terletak di sebelah timur Australia. Negara ini terkenal dengan penduduknya yang obesitas.,,
178,,Rusia merupakan negara penghasil oksigen terbesar di dunia karana 25% wilayahnya tertutup hutan.,,
179,,"Kanada adalah salah satu negara berpendidikan terbaik di dunia. Pada tahun 2015, 90% orang di Kanada berumur 25 hingga 64 telah menamatkan sekolah menengah mereka, dan 66% telah memperoleh pendidikan pasca menengah. Kanada mempunyai sistem pendidikan awam yang kuat, banyak dikendalikan dan dibiayai dengan baik.1",,
180,Fakta Haiwan,Beruang dewasa dapat lari secepat kuda.,,
181,Fakta Haiwan,Tulang kuda lebih banyak 18 buah dari tulang manusia.,,
182,Fakta Haiwan,Kulit zebra adalah putih dan bergaris hitam.,,
183,Fakta Haiwan,Setiap manusia tidak dapat menjilat siku tanganya sendiri,,
184,Fakta Haiwan,Lidah zirafah adalah kira-kira 50 cm panjang,,
185,Fakta Haiwan,Semut dapat mengangkat beban 50 kali tubuhnya,,
186,Fakta Manusia,Mulut manusia mengeluarkan 1 liter air liur setiap hari,,
187,Fakta Manusia,"Kita bernafas kira-kira 23,000 kali setiap hari",,
188,Fakta Negara,"Bendera berbentuk tiga segi
Hampir setiap negara benderanya berbentuk empat segi tetapi tahukah anda bendera Nepal berbentuk tiga segi!",,
189,Fakta Negara,"Lampu isyarat berwarna biru
Apabila lampu isyarat bertukar warna hijau, ia petanda untuk meneruskan perjalanan tetapi berapa ramai daripada kita yang pernah dengar tentang lampu isyarat berwarna biru? Di Jepun, ia perkara biasa.",,
190,Fakta Negara,"Nama tempat terpanjang
Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu yang terletak di Porangahau, New Zealand memegang rekod dunia sebagai nama tempat terpanjang di dunia dengan 85 huruf.",,
191,Fakta Negara,"Pusing Monaco dalam sejam
Jika anda melancong ke Eropah, ambil peluang untuk ke Monaco kerana anda hanya memerlukan sejam untuk melawat ke seluruh negara itu dari utara ke selatan!",,
192,,Kita buat satu BBQ pada malam ini sambil berkongsi pengalaman bermain Mini World.,,
193,Fakta Negara,"Jalan tanpa nama
Pelik tapi benar... Kebanyakan jalan di Costa Rica tidak mempunyai nama! Bayangkan anda menggunakan waze di sana?",,
194,Fakta Negara,"Dua pasport
Jika ke Rusia, anda akan mempunyai dua pasport. Satu untuk domestik dan antarabangsa!",,
195,Fakta Negara,"Mandian kayu manis
Jika anda masih bujang di Finland pada usia 25 tahun, bersedia untuk dimandikan dalam air kayu manis tetapi di Malaysia bahan itu digunakan untuk masakan.",,
196,Fakta Negara,"Pen merah
Di Korea Selatan, menulis nama seseorang menggunakan pen merah membawa maksud individu itu sudah meninggal dunia tapi di negara kita ia digunakan untuk menandakan kesalahan yang dilakukan.",,
197,Fakta Manusia,Manusia hanya menggunakkan 10 peratus daripada otaknya untuk berfikir.,,
198,Fakta Manusia,Kerosakan otak akan berlaku jika suhu badan meningkat melebihi 41 darjah Celcius.,,
199,Fakta Manusia,"Orang lelaki mudah mendapat buta warna, 10 kali ganda berbanding wanita.",,
200,Fakta Binatang,"Namun hakikatnya, binatang paling beracun di dunia ialah sejenis katak bernama Terribilis. Berwarna kuning dan bermata hitam, Terribilis sangat beracun sehinggakan menyentuhnya pun boleh membawa kecelakaan. Seekor Terribilis mengandungi racun yang cukup untuk membunuh 20,000 ekor tikus dan 10 orang manusia sekali gus.",,
201,,Black Friday adalah hari jualan murah yang diadakan secara besar-besaran dan biasanya ia disambut di Amerika Syarikat. Black Friday akan diadakan selepas hari Jumaat selepas sambutan Thanksgiving.,,
202,,"Durian dikenali sebagai 'raja buah' dalam kalangan orang ramai khususnya masyarakat di Asia Tenggara. Memiliki bau yang menyengat, tekstur yang lembut, rasa lemak dan berkrim yang enak serta warna kekuningan sudah pasti menarik perhatian semua orang untuk mencubanya.",,
203,,"Gajah, haiwan yang bertubuh besar, adalah logik bagi seekor gajah untuk hamil bagi tempoh yang lama. Tersangat lama. Purata tempoh hamil seekor gajah adalah lebih daripada 2 kali ganda tempoh kehamilan manusia iaitu di antara 85 hingga 100 minggu, iaitu hampir 2 tahun (22 bulan)",,
204,,"Haiwan yang pupus ialah haiwan yang tidak lagi wujud di muka Bumi kita dan tiada sebarang spesisnya yang masih hidup pada hari ini. Beberapa haiwan yang telah pupus ialah dinosaur, Thylacine, burung Moa, burung Dodo dan Mammoth.",,
205,Fakta Haiwan,"Dodo adalah burung pupus yang tidak dapat terbang yang pernah endemik di pulau Mauritius terletak di timur Madagaskar, Lautan Hindi.",,
206,Fakta Haiwan,"Ular Tedung Selar adalah ular berbisa terbesar di dunia. Ia mampu mencapai panjang sehingga 5.58 meter (18.3 kaki.), walaupun saiz biasa adalah sekitar 2.5 meter (8 kaki.); dan mampu mencapai berat sehingga 10 kilogram (22 paun).",,
207,Fakta Mausia,"Dengan hanya senyum, otak anda melepaskan hormon dopamin yang menyebabkan anda menjadi gembira. Oleh itu, sekiranya anda berasa sedih pada masa akan datang, cubalah senyum untuk merasakan nikmatnya. Paling mudah, senyum untuk diri anda sendiri setiap hari di hadapan cermin.",,
208,Fakta Haiwan,"Paus Biru, nama saintifik Balaenoptera musculus, adalah haiwan terbesar di dunia, mencapai 30 meter panjang.",,
209,Fakta Haiwan,"Arnab yang dinamakan sebagai Darius itu mempunyai ketinggian 1.3 meter dan seberat 22.2 kilogram (kg). Pemiliknya Annette Edwards, 62, berkata, Darius yang merupakan arnab biasa telah diberikan 12 batang lobak merah sehari atau 4,000 batang setahun.",,
210,Ilmu pengetahuan,"Apa salah satu cara untuk mengetahui jika telur yang lebih tua atau segar? Selepas meletakkan telur dalam segelas air, jika telur duduk di sudut atau berdiri di satu hujung, telur lebih tua, tetapi masih boleh dimakan. Jika telur terapung, ia harus dibuang.",,
211,Catat Rekor Dunia! Pelangi Ini Muncul Selama 9 Jam,"Umumnya pelangi hanya muncul dalam hitungan menit setelah hujan. Namun Rekor pelangi dengan durasi terpanjang di dunia, yang berlangsung selama hampir sembilan jam terjadi di Taiwan.",,
212,Fakta Haiwan,Mata penguin bekerja dengan lebih baik di bawah air daripada di udara.,,
213,Fakta Haiwan,"Kelawar adalah satu-satunya kumpulan mamalia di dunia yang mempunyai sayap. Walaupun beberapa kumpulan mamalia lain, dapat meluncur menggunakan membran kulit, hanya kelawar mampu terbang sejati.",,
214,Fakta Manusia,Satu-satunya bahagian tubuh kita yang tidak menerima sebarang bekalan darah adalah kornea mata. Ia menerima bekalan oksigen secara langsung dari udara.,,
215,Fakta Manusia,Jantung manusia mengepam 182 juta liter darah sepanjang hayat (purata).,,
216,Fakta Manusia,Embrio manusia berupaya menghasilkan cap jari dalam masa tiga bulan mengandung.,,
217,Fakta Negara,"Hutan hujan tropika di Malaysia dipercayai sudah berusia lebih 130 juta tahun. Ia merupakan antara yang tertua di dunia. Lebih mengejutkan, hutan hujan tropika di Malaysua lebih tua daripada hutan di Amazon dan Congo. Macam tak percaya kan?",,
218,Fakta Negara,"Tahukah anda, keluasan taman negara di Malaysia sama dengan 7 kali negara Singapura. Ia mempunyai keluasan 4343km persegi sama dengan 7 kali ganda negara Singapura. Menakjubkan!",,
219,Fakta Manusia,Paru paru disebelah kiri sebenarnya 10 peratus lebih kecil dari bahagian kanan.,,
220,Fakta Manusia,Mata manusia bersamaan 576 megapiksel,,
221,Fakta Haiwan,Kelawar selalunya membelok ke kiri apabila keluar dari gua.,,
222,Fakta Haiwan,Hanya .016 mg toksin yang dikeluarkan oleh “Poison Frog” (katak beracun) boleh membunuh 180-paun manusia.,,
223,Fakta Haiwan,"Seekor lebah perlu menghisap 4,000 kuntum bunga untuk mendapatkan satu sudu besar madu.",,
224,Fakta Haiwan,Kambing mempunyai anak mata yang berbentuk segi empat tepat.,,
225,Fakta Haiwan,"Lebih 10,000 ekor burung mati setahun kerana merempuh tingkap.",,
226,Fakta Haiwan,Burung unta mempunyai kaki yang terpanjang. Kakinya boleh mencapai sepanjang 1.3m.,,
227,Fakta Haiwan,Semua gajah berjalan berjengkit-jengkit kerana bahagian belakang kakinya dibuat daripada lemak dan tidak bertulang.,,
228,Fakta Haiwan,Itik yang berada di luar kumpulan tidur dengan sebelah mata terbuka tetapi yang berada di tengah pula dengan penuh yakin menutup kedua-dua belah mata.,,
229,Fakta Haiwan,Seekor kucing boleh berlari kira-kira 20 kilometer sejam (12 batu sejam) apabila ia matang.,,
230,Fakta Haiwan,"Seekor lembu betina boleh mengeluarkan lebih kurang 200,000 gelas susu semasa hayatnya",,
231,Fakta Haiwan,Cengkadak hanya mempunyai satu telinga.,,
232,Fakta Haiwan,Hanya nyamuk betina yang akan gigit kerana protein dari darah diperlukan untuk pengeluaran telur.,,
233,Fakta Haiwan,"Gigi tupai akan tumbuh berterusan. Gigi kacipnya boleh tumbuh sepanjang enam inci setahun, tapi masih pendek kerana penggunaan yang kerap.",,
234,Fakta Haiwan,Ular tedung berleher hitam boleh menyemburkan bisa ke musuh sehingga sejauh 2.5m(8 kaki).,,
235,Fakta Haiwan,"Labah-labah mempunyai hidung di kaki yang boleh mengesan bau yang berkemungkinan mangsa, pemangsa atau pasangannya.",,
236,Fakta Haiwan,Lalat mempunyai 4000 kanta pada setiap matanya.,,
237,Fakta Haiwan,Gigi tikus adalah seperti mata pisau kerana ia boleh mengunyah semua benda malah konkrit dan juga besi.,,
238,Fakta Haiwan,Lipas boleh hidup selama sembilan hari tanpa kepala sebelum ia mati kelaparan.,,
239,Fakta Haiwan,Harimau bukan hanya mempunyai bulu yang berbelang malahan kulit nya juga berbelang.,,
240,Fakta Haiwan,"Manusia mempunyai lebih kurang 600 otot; tapi ulat bulu ada lebih 4,000!! Hairan tak?",,
241,Fakta Haiwan,Landak dilahirkan bogel dan “duri” di badannya terdapat dibawah kulit dan akan bertunas dalam masa 36 jam.,,
