ID,名字,描述,获得方式
132,Arena cristalina de azufre,Aparece en el magma de Flames y solo se puede extraer con #c0aba1dpala de oro de tungsteno#n. Es uno de los materiales para hacer cristales caóticos. Entrará en erupción cuando esté bloqueado por líquido,#c0aba1dLa vida es preciosa. No imites ningún comportamiento en el juego.#n
133,colmena vacia,"Aún no hay miel, ponla debajo de las hojas del melocotonero para acumular miel",
134,colmena llena,"Colmena llena de miel, ¡cuidado con las abejas! Use un vial en él para obtener miel embotellada",
135,Tótem de Horas - Tierra,Las estatuas de piedra de gran importancia en las civilizaciones antiguas ahora solo se utilizan para la decoración.,Linda colección de reliquias de la civilización maya de la estrella del ojo
136,Tótem misterioso - Cielo,Las estatuas de piedra de gran importancia en las civilizaciones antiguas ahora solo se utilizan para la decoración.,Linda colección de reliquias de la civilización maya de la estrella del ojo
137,Fosa de Hora,Horas Pit,@Null@
138,Bloque tóxico,Bloque tóxico,@Null@
139,Bloque de Utilidades Lucha del Jefe,Bloque que se usa en la batalla con los Bosses,@Null@
140,Base de Piedra de vida,"El altar mágico construido por los héroes antiguos representa la fuerza vital de Miras. Según la leyenda, la colocación de reliquias sagradas correspondientes en los tres altares puede liberar el poder de la creación del planeta y forzar las cosas malas para aparecer.",@Null@
141,Base de piedra de coraje,El altar mágico construido por los héroes antiguos representa el coraje y el poder de los flamas; Se dice que la colocación de reliquias sagradas correspondientes en los tres altares puede liberar el poder de la creación del planeta y forzar las cosas malas para aparecer.,@Null@
142,Base de piedra de sabituría,"El altar mágico construido por los héroes antiguos representa el poder inteligente de las horas; Según la leyenda, la colocación de la correspondiente reliquia sagrada en los tres altares puede liberar el poder de la creación del planeta y forzar las cosas malas para aparecer.",@Null@
143,Altar roto,"El antiguo altar de la vejez, no pudo ser restaurado a su estado original después de ser excavado y perdió su magia; #r Según la leyenda, la colocación de la correspondiente reliquia sagrada en los tres altares puede liberar el poder de la creación del planeta y forzar las cosas malas para aparecer.",@Null@
144,Botella cde Mariposa roja,"Después de la colocación, puede iluminar un área pequeña de los alrededores.",Obtener utilizando la botella de vidrio para capturar mariposas en las islas flotantes
145,Botella cristal de Mariposa azul,"Después de la colocación, puede iluminar un área pequeña de los alrededores.",Obtener utilizando la botella de vidrio para capturar mariposas en las islas flotantes
146,Botella cristal de Mariposa fragante,"Después de la colocación, puede iluminar un área pequeña de los alrededores.",Obtener utilizando la botella de vidrio para capturar mariposas en las islas flotantes
147,Botella de Mariposa del sol,"Después de la colocación, puede iluminar un área pequeña de los alrededores.",Obtener utilizando la botella de vidrio para capturar mariposas en las islas flotantes
148,Botella de Mariposa Dragonkin,"Después de la colocación, puede iluminar un área pequeña de los alrededores.",Obtener utilizando la botella de vidrio para capturar mariposas en las islas flotantes
149,Botella cristal de Mariposa Shezhong,"Después de la colocación, puede iluminar un área pequeña de los alrededores.",Obtener utilizando la botella de vidrio para capturar mariposas en las islas flotantes
150,Tierra cultivable de laterita,Go and download the latest game version!,Obtenido mediante el uso de un rastrillo para recuperar la laterita
151,Pozo de laterita,Se pueden cultivar plantas especiales，deben estar cerca del agua o irrigadas con una ducha para mantenerse húmedas,Use una pala para recuperar la laterita para obtener
152,Hoja vertical de roca planetária,Hola ligeras verticales，apilables para variar el espesor,Procesamiento con lindas piedras de estrellas Horas en la mesa del artesano.
153,Hoja vertical de bambú,Hojas ligeras verticales，apilables para variar el grosor,Procesado con bambú en la mesa del artesano.
154,Hoja vertical carmín,Tablones ligeros verticales，apilables para variar el grosor,Pintado con pintura roja carmín en la mesa del artesano
155,Hoja vertical de ladrillo de cemento,Hojas ligeras verticales，apilables para variar el espesor,Mecanizado con ladrillos de cemento en la mesa del artesano
156,Hoja vertical de ladrillo de azufre,Hojas ligeras verticales，apilables para variar el espesor,Procesado con ladrillos de azufre en la mesa del artesano
157,Hoja vertical de piedra,Hojas ligeras verticales，apilables para variar el espesor,Hecho con piedra en la mesa del artesano
158,Hoja vertical de piedra refinada,Hojas ligeras verticales，apilables para variar el espesor,Hecha con roca en la mesa del artesano
159,Hoja vertical de titanio,Placas metálicas verticales delgadas y ligeras，apilables para variar el grosor,Mecanizado con titanio en la mesa del artesano.
160,Hoja vertical de bronce,Placas metálicas verticales delgadas y ligeras，apilables para variar el grosor,Hecho con bronce en la mesa del artesano
161,Hoja vertical de mica,Placas metálicas verticales delgadas y ligeras，apilables para variar el grosor,Procesado con mica en la mesa del artesano
162,Hoja vertical de hierro,Placas metálicas verticales delgadas y ligeras，apilables para variar el grosor,Procesado con hierro en la mesa del artesano
163,Hoja vertical ardiente,"Placas metálicas verticales delgadas y ligeras, apilables para variar el grosor",Procesado con llamas ardientes en la mesa del artesano
164,Hoja vertical amarillo limón,Hojas ligeras verticales. Se puede apilar para cambiar el grosor.,Pintado con pintura amarillo limón en la mesa del artesano
165,Hoja vertical gris,Hojas ligeras verticales，apilables para variar el grosor,Pintada con pintura gris en la mesa del artesano
166,Hoja vertical roja oscura,Hojas ligeras verticales，apilables para variar el grosor,Pintado con pintura roja en la mesa del artesano
167,Hoja vertical naranja del sol,Tablones ligeros verticales，apilables para variar el grosor,Pintado con pintura naranja en el escritorio del artesano
168,Hoja vertical roja Begonia,Tablones ligeros verticales，apilables para variar el grosor,Pintado con pintura roja begonia en la mesa del artesano
169,Hoja vertical blanco marfil,Tablones ligeros verticales，apilables para variar el grosor,Pintado con pintura blanca marfil en el escritorio del artesano
170,Hoja vertical naranja,Tablones ligeros verticales，apilables para variar el grosor,Pintado con pintura naranja de hoja de otoño en el escritorio del artesano
171,Hoja vertical,Tablones ligeros verticales，apilables para variar el grosor,Hecho con madera en la mesa del artesano
172,Hoja vertical de ladrillo amarillo,Hojas ligeras verticales，apilables para variar el espesor,Procesado con ladrillos amarillos en la mesa del artesano
173,Hoja vertical de manganeso,Placas metálicas verticales delgadas y ligeras，apilables para variar el grosor,Hecho con nódulos de manganeso en la mesa de artesanos
174,Hoja vertical gris claro,Tablones ligeros verticales，apilables para variar el grosor,Pintado con pintura gris claro en el escritorio del artesano.
200,Madera de cerezo,"Tronco de cerezo, se puede procesar en@artículo_800# en@artículo_11323#, se puede utilizar para decoración, también se puede utilizar como combustible",Incrustación#c0aba1d en la herramienta de hacha para obtener la runa completa#n y luego cortarla para obtener
201,Alerce,"Los troncos de alerce, que se pueden procesar en@item_800# en@item_11323#, se pueden usar para decoración y también se pueden usar como combustible",Incrustación#c0aba1d en la herramienta de hacha para obtener la runa completa#n y luego cortarla para obtener
202,Álamo,"Tronco de álamo, se puede procesar en@artículo_800# en@artículo_11323#, se puede utilizar para decoración, también se puede utilizar como combustible",Incrustación#c0aba1d en la herramienta de hacha para obtener la runa completa#n y luego cortarla para obtener
203,Secoya,"Tronco de secoya, se puede procesar en@item_800# en@item_11323#, se puede usar para decoración, también se puede usar como combustible",Incrustación#c0aba1d en la herramienta de hacha para obtener la runa completa#n y luego cortarla para obtener
204,Nanmu,"Baúl de Nanmu, se puede procesar en@item_800# en@item_11323#, se puede usar para decoración, también se puede usar como combustible",Incrustación#c0aba1d en la herramienta de hacha para obtener la runa completa#n y luego cortarla para obtener
205,Nuez,"Tronco de nogal, se puede procesar en@artículo_800# en@artículo_11323#, se puede utilizar para decoración, también se puede utilizar como combustible",Incrustación#c0aba1d en la herramienta de hacha para obtener la runa completa#n y luego cortarla para obtener
206,Tablón de madera,"Material de construcción básico, ampliamente utilizado en la construcción de madera.",Trabajando con madera en la mesa del artesano
207,Tablón naranjo de madera,"Material de construcción básico, ampliamente utilizado en la construcción de madera.",Pintado con pintura naranja de hoja de otoño en el escritorio del artesano
208,Tablón blanco de madera,"Material de construcción básico, ampliamente utilizado en la construcción de madera.",Pintado con pintura blanca marfil en el escritorio del artesano
209,Tablón rojo de madera,"Material de construcción básico, ampliamente utilizado en la construcción de madera.",Pintado con pintura roja Begonia en el escritorio del artesano
210,Tablón naranjo de madera,"Material de construcción básico, ampliamente utilizado en la construcción de madera.",Pintado con pintura naranja al atardecer en el escritorio del artesano
211,Tablón marrón de madera,"Material de construcción básico, ampliamente utilizado en la construcción de madera.",Pintado con pintura roja castaña profunda en la mesa del artesano
212,Pimpollo de cerezo,"Se puede usar como combustible, pero se quema muy rápido.",Tener las posibilidades de obtener de romper hojas de madera frutal
213,Pimpollo de lárice,"Se puede usar como combustible, pero se quema muy rápido.",Tener las posibilidades de obtener de romper hojas de alerce
214,Pimpollo de álamo,"Se puede usar como combustible, pero se quema muy rápido.",Tener las posibilidades de obtener de romper hojas de álamo
215,Pimpollo de secoya,"Se puede usar como combustible, pero se quema muy rápido.",Tener las posibilidades de obtener de romper las hojas de cedro
216,Pimpollo de Phoebe,"Se puede usar como combustible, pero se quema muy rápido.",Tener las posibilidades de obtener de romper las hojas de Phoebe
217,Pimpollo de nogal,"Se puede usar como combustible, pero se quema muy rápido.",Tener las posibilidades de obtener de romper hojas de nueces
218,Hojas de cerezo,"Se puede usar como combustible para @item_1200# o como materia prima de oxígeno, o como #c0aba1dsombrero de muñeco de nieve#n.",
219,Hojas de lárice,"Se puede usar como combustible para @item_1200# o como materia prima de oxígeno, o como #c0aba1dsombrero de muñeco de nieve#n.",
220,Hojas de álamo,"Se puede usar como combustible para @item_1200# o como materia prima de oxígeno, o como #c0aba1dsombrero de muñeco de nieve#n.",
221,Hojas de secoya,"Se puede usar como combustible para @item_1200# o como materia prima de oxígeno, o como #c0aba1dsombrero de muñeco de nieve#n.",
222,Hojas de phoebe,"Se puede usar como combustible para @item_1200# o como materia prima de oxígeno, o como #c0aba1dsombrero de muñeco de nieve#n.",
223,Hojas de nogal,"Se puede usar como combustible para @item_1200# o como materia prima de oxígeno, o como #c0aba1dsombrero de muñeco de nieve#n.",
224,Hierba,"Después de romperlo, es posible obtener un puñado de heno.","El cielo es vasto, la naturaleza es vasta, el viento sopla la hierba y ve el ganado y las ovejas."
225,Hierba muerta,Use las palas para cosechar hierba muerta y otras herramientas para cosechar un puñado de heno.,Las hierbas siguen marchitándose y prosperan año tras año.
226,Brotes de tierra,"Una planta que prospera en las sombras y sirve como ingrediente crudo para cocinar. Consumirlo directamente #c0aba1drestaura la resistencia#n, pero ten en cuenta que puede causar #c0aba1dproblemas digestivos#n. Se rumorea que tiene interacciones intrigantes con el #c0aba1dárbol de esporas Horas#n en la Isla Horas.",
227,Perilla,"Una planta que prospera en las sombras y sirve como ingrediente crudo para cocinar. Consumirlo directamente #c0aba1drestaura la resistencia#n, pero ten en cuenta que puede causar #c0aba1dproblemas digestivos#n. Se rumorea que tiene interacciones intrigantes con el #c0aba1dárbol de esporas Horas#n en la Isla Horas.",
228,Caña de azúcar,#c0aba1dAlimenta a los ciervos de astas#n para facilitar su transición al estado de #c0aba1dproducción de leche#n.,Crecen en la #c0aba1dselva#n
229,Maíz,Puede ser creado en @item_344# y @item_344# es el material crudo básico para cocinar. Se puede asar en @item_1200#,Planta @item_11400# en @item_102# o cosechando maíz silvestre para obtener
230,Fruto azul gigante,,Planta @item_11401# en @item_102# para obtener
231,plántulas de fruta azul gigante,"Con sol y agua, espere un momento y la fruta crecerá en las plántulas.",
232,Raíces aéreas,"Las raíces aéreas que cuelgan del gran árbol son extremadamente duras y pueden soportar el peso de una persona. ¿No subas demasiado alto, ten cuidado con las caídas!",
233,Arcilla roja,"rico en ingredientes exóticos, y las plantas que crecen en él sufrirán algunos cambios mágicos.","La leyenda dice que hay una isla en medio del mar, donde hay tierra roja por todas partes."
234,Arroz,"Crece #c0aba1en el agua de la cuenca #n y se puede convertir en arroz, que se cocina en una olla de piedra. #rAlimentar a un pájaro dodo hará que se reproduzca",Obtenido al plantar semillas de arroz en la superficie del agua con terrones o arena fina en el fondo y una altura de un bloque.
236,Pepino,Se puede hacer crecer en @item_102#.#rPuedes alimentar a #c0aba1dDwen#n para obtener @item_11311#.,Hay posibilidades de conseguirlo al destruir un Jarrón de Arcilla o derrotar a Huevo Explosivo.
237,Fruta de Secoya,"Frutos de la secuoya, materia prima para cocinar",
238,Hierba espinosa,"Hierba con espinas, después de que #c0aba1d se destruya#n, tiene la posibilidad de soltar #c0aba1dUn puñado de malas hierbas#n.",
239,Sandía,Es tan grande que hay que cortarlo para comerlo! Necesita ser procesado en la mesa del artesano.,Plantar semillas de sandía en las tierras de cultivo para obtener
240,Semilla de sandía,"Con sol y agua, espere un momento y la fruta crecerá en las plántulas.",
241,Batata,Se puede plantar en @item_101#. Se puede asar en @item_1200#,Tiene la posibilidad de obtenerse al destruir jarrones de arcilla
242,Tallo de Cactus,"Crece en #c0aba1ddesierto#n, se puede plantar en pozos de tierra usando semillas de cactus. #rSe puede usar con palos para hacer armas llenas de púas!",Obtenido al romper bloques de tallo de cactus.
243,Maíz silvestre,Es posible obtener maíz después de romper,"Maíz cultivado salvajemente, no muy nutritivo por falta de cuidado"
244,árbol de Navidad,"Un árbol de hoja perenne decorado por el propio Papá Noel, que a menudo se usa para decorar edificios.",Cómpralo a Santa durante el evento de Navidad.
245,Plantas marinas,"Las plantas marinas que crecen en mares poco profundos pueden enredar fácilmente a las criaturas y accesorios que permanecen en ellas debido a su intrincado crecimiento. Trate de no quedarse demasiado tiempo. Si tiene suerte, puede encontrar tesoros raros en ellas.",Corta con tijeras de hierro para conseguirlo.
246,Quelpo,"Una planta acuática común que crece en mares poco profundos, existe la probabilidad de obtener quelpo crudo después de ser destruidas.",Corta con tijeras de hierro para conseguirlo.
247,Pétalos flotantes,"Dispersos en la superficie del agua, se pueden colocar en la superficie del agua para decorar",Destruye la lenteja de agua para conseguirlo.
248,tablones flotantes,Colocado en el agua puede soportar el peso.,Destruye hojas de loto para conseguirlo.
249,Piñas,"El fruto del alerce, que se utiliza para cocinar comidas deliciosas",
250,Lotus,"Se puede colocar en el agua, lenteja de agua, hoja de loto",Destruye hojas de loto para conseguirlo.
251,Bambú,"Después de usarlo en #c0aba1dpanda#n, es posible #c0aba1d para domesticar a #n #r #c0aba1d después de alimentar a #n panda domesticado, puedes obtener una vara de bambú hueca",Crece en el #c0aba1dBosque de Bambú#n. También se puede obtener plantando brotes de bambú en el pozo
252,Hoja de bambú,Se puede usar como decoración y tiene la posibilidad de dejar caer brotes de bambú cuando se rompe.,Corta con tijeras de hierro para conseguirlo.
253,Brote de bambu,Plantado en #c0aba1dtierra#n para cultivar bambú,Destruye las hojas de bambú tiene la posibilidad de caer.
254,Caoba,"Con#c0aba1d las herramientas de hacha#n se pueden cortar rápidamente#r se pueden procesar en@item_11323#, también se pueden usar como combustible",
255,Hoja de durazno,Se puede usar como combustible para @item_1200# o como materia prima de oxígeno.#rDárselo a Redchisk puede hacerle entrar en el estado de reproducción. También se puede usar como #c0aba1dsombrero de muñeco de nieve#n.,
256,Pimpollo de durazno,Plantado en un hoyo para convertirse en un árbol de durazno,Destruye las hojas de durazno tiene la posibilidad de caer.
257,Zhenmu,"Con#c0aba1d las herramientas de hacha#n se pueden cortar rápidamente#r se pueden procesar en@item_11323#, también se pueden usar como combustible",
258,Hoja de Gen,"Se puede usar como combustible para @item_1200# o como materia prima de oxígeno, o como #c0aba1dsombrero de muñeco de nieve#n.",
259,Pimpollo de Gen,Pimpollo de Gen,Tiene la posibilidad de caer después de destruir las hojas de árboles raros.
260,Madera de Gen sin hojas,"Crece en la superficie estéril de Horas, y la fruta de oxígeno se puede plantar a un lado.",Utilice #c0aba1d hacha de mithril #n o herramientas de hacha más avanzadas
261,Tallo de espora con estrella,"Plantar brotes de bambú en el suelo y perilla al lado de el, ellos mutarán",Creciendo en las sombras debajo de #c0aba1d la isla del cielo #n
262,Musgo,"Un crecimiento de plantas húmedo y rico en humedad. Tiene la tendencia de hacer que el suelo resbale y romperlo producirá @item_11595##r. Incluso en la sombra donde no llega la cálida luz del sol, el musgo prospera y añade un toque de vitalidad verde.",
263,Semilla de espora con estrella,Plantealo en la sombra en el bloque de roca en Horas. La espora crecerá después de un tiempo.,
264,Tablón gris de madera,"Material de construcción básico, ampliamente utilizado en la construcción de madera.",Pintar con pintura de cal en la mesa del artesano
265,Tablón de madera de Gen sin hojas,Se puede utilizar para la decoración,Hecho de madera preciosa sin hojas en la mesa del artesano.
266,Brotes de tierra mutado,#c0aba1d restaurará 15 de resistencia después de comer #n. Y obtendrá #c0aba1d Fluorescente BUFF #n en 1 segundos y #c0aba1d Excavación Loca #n o #c0aba1d Excavación Cansada #nBUFF en 6 segundos.,Hecho por esporas de estrellas mutantes cerca de pequeños hongos.
267,Perilla mutada,"Después de comer, restaura 15 de resistencia y obtendrá los siguientes efectos especiales: fluorescencia, recuperación de vida o estado envenenado.",Hecho por esporas de estrellas mutantes cerca de pequeños hongos rojos.
268,Tallo de planta mutado,,Creciendo en las sombras debajo de #c0aba1d la isla del cielo #n
269,Hierba de color fluorescente,Uno de los materiales para hacer bolas fluorescentes.,Crece en #c0aba1dIsla Flotante#n de Horas.
270,Espora Estrella,"Después de comer, restaure 15 de resistencia y obtenga un estado fluorescente, existe la posibilidad de tener visión nocturna o un estado de mareo.",Plantar la semilla de esporas de Horas en la roca de Horas en un lugar oscuro
271,Espora Estrella,"Después de comer, restaure 15 de resistencia y obtenga un estado fluorescente, existe la posibilidad de tener visión nocturna o un estado de mareo.",Plantar la semilla de esporas de Horas en la roca de Horas en un lugar oscuro
272,Espora Estrella,"Después de comer, restaure 15 de resistencia y obtenga un estado fluorescente, existe la posibilidad de tener visión nocturna o un estado de mareo.",Plantar la semilla de esporas de Horas en la roca de Horas en un lugar oscuro
273,Espora Estrella,"Después de comer, restaure 15 de resistencia y obtenga un estado fluorescente, existe la posibilidad de tener visión nocturna o un estado de mareo.",Plantar la semilla de esporas de Horas en la roca de Horas en un lugar oscuro
274,Espora Estrella,"Después de comer, restaure 15 de resistencia y obtenga un estado fluorescente, existe la posibilidad de tener visión nocturna o un estado de mareo.",Plantar la semilla de esporas de Horas en la roca de Horas en un lugar oscuro
275,Espora Estrella,"Después de comer, restaure 15 de resistencia y obtenga un estado fluorescente, existe la posibilidad de tener visión nocturna o un estado de mareo.",Plantar la semilla de esporas de Horas en la roca de Horas en un lugar oscuro
276,Espora Estrella,"Después de comer, restaure 15 de resistencia y obtenga un estado fluorescente, existe la posibilidad de tener visión nocturna o un estado de mareo.",Plantar la semilla de esporas de Horas en la roca de Horas en un lugar oscuro
277,Espora Estrella,"Crece en un lugar sombreado #n debajo del #c0aba1d Sky Island de la linda estrella. Recuperará 15 de resistencia y obtendrá #c0aba1d fluorescente BUFF#n, con probabilidad de tener visión nocturna o mareos BUFF después de comer #n.",Plantar la semilla de esporas de Horas en la roca de Horas en un lugar oscuro
278,Espora Estrella,"Después de comer, restaure 15 de resistencia y obtenga un estado fluorescente, existe la posibilidad de tener visión nocturna o un estado de mareo.",Plantar la semilla de esporas de Horas en la roca de Horas en un lugar oscuro
279,Espora Estrella,"Después de comer, restaure 15 de resistencia y obtenga un estado fluorescente, existe la posibilidad de tener visión nocturna o un estado de mareo.",Plantar la semilla de esporas de Horas en la roca de Horas en un lugar oscuro
