ID,名字,描述,追踪
1116,¡Dodo asado! (I),Cocina 50 #L#cfa7a0f carne de pájaro dodo asado #n@1,Cocina #cfa7a0f carne de pájaro dodo asado
1117,¡Dodo asado! (II),Cocina 200 #L#cfa7a0f carne de pájaro dodo asado #n@1,Cocina #cfa7a0f carne de pájaro dodo asado
1118,¡Dodo asado! (III),Cocina 1000 #L#cfa7a0f carne de pájaro dodo asado #n@1,Cocina #cfa7a0f carne de pájaro dodo asado
1119,¡Ciervo asado! (I),Cocina 50 #L#cfa7a0fcarne de ciervo asado#n@1,Cocina #cfa7a0f carne de ovelha assada
1120,¡Ciervo asado! (II),Cocina 200 #L#cfa7a0fcarne de ciervo asado#n@1,Cocina #cfa7a0f carne de ciervo asado
1121,¡Ciervo asado!(III),Cocina 1000 #L#cfa7a0fcarne de ciervo asado#n@1,Cocina #cfa7a0f carne de ciervo asado
1122,Algodón(I),Hacer 50 #L#cfa7a0f bloques de algodón #n@1,Obtener #cfa7a0fAlgodón
1123,Algodon(II),Hacer 200 #L#cfa7a0f bloques de algodón #n@1,Obtener #cfa7a0fLana
1124,Algodon(III),Hacer 1000 bloques de algodón #L#cfa7a0f #n@1,Obtener #cfa7a0fLana
1125,Trituradoras de roca (I),Mina 100 #L#cfa7a0frocas#n@1,Mina #cfa7a0frocas
1126,Trituradoras de roca (II),Mina 1000 #L#cfa7a0frocas#n@1,Mina #cfa7a0frocas
1127,Trituradoras de roca (III),Mina 5000 #L#cfa7a0frocas#n@1,Mina #cfa7a0frocas
1128,Me asusta la oscuridad (I),Hacer 50 #L#cfa7a0f antorchas ardientes#n@1,Hacer #cfa7a0f antorcha ardiente
1129,Me asusta la oscuridad (II),Hacer 200 #L#cfa7a0f antorchas ardientes#n@1,Hacer #cfa7a0f antorcha ardiente
1130,Me asusta la oscuridad (III),Hacer 500 #L#cfa7a0f antorchas ardientes#n@1,Hacer #cfa7a0f antorcha ardiente
1131,Resurrección (I),Falló 1 vez @1,Fracasar
1132,Resurrección (II),Falló 100 veces @1,Fracasar
1133,Resurrección (III),Falló 500 veces @1,Fracasar
1134,Cocina del océano (I),Cocina 1 #L#cfa7a0fpez gugu asado#n,Cocina #cfa7a0fpez gugu asado
1135,Cocina del océano (II),Cocina 10 #L#cfa7a0fpez gugu asado#n,Cocina #cfa7a0fpez gugu asado
1136,MCocina del océano (III),Cocina 100 #L#cfa7a0fpez gugu asado#n,Cocina #cfa7a0fpez gugu asado
1137,Fin del caos,Derrota al Dragón Negro del Caos#r (Dragón Negro del Caos: \(-^-)/)@1,Derrotar al dragón negro del caos#cfa7a0f
1138,Construye una nave espacial,Recoger materiales para hacer #L#cfa7a0f cohete #n@1,Construye #cfa7a0fNave espacial
1139,Aterriza en Horas!,Llevar un cohete a Horas para recoger #L#cfa7a0f Roca de Horas #n@1,Tome su nave espacial y alcance #cfa7a0fHoras
1140,Runa activada,Utiliza la runa #L#cfa7a0f regenerativa #n para activar el tótem@1,Activar #cfa7a0f Runa de Regeneración
1141,Broca de Cobre Horas,Hacer #L#cfa7a0f horas taladro de cobre#n@1,Construir #cfa7a0f Broca de Cobre Horas
1142,Retenerlos!,Hacer #L#cfa7a0f tiro de gancho #n@1,Construir #cfa7a0f Anzol
1143,A continuarse,Más adventrue está en camino,Más progreso está en camino
1144,Inventor de Oxígeno,"Usa perla, arrecife, latón y madera para fabricar #L#cfa7a0fRefinería de oxígeno#n@1",Hacer #cfa7a0frefinería de oxígeno
1145,Bien preparado,Usa vidrio helado y latón para fabricar #L#cfa7a0fTanque de gas#n@1,Hacer #cfa7a0fTanque de gas
1146,Alegría del espacio,Usa tanque de gas y horas de cobre para hacer #L#cfa7a0f paquete de oxígeno #n@1,Hacer #cfa7a0f Paquete de oxígeno
1147,Suelo espacial,"Usa Hierba de Horas, Roca de Horas, cubo de hierro con agua y abono animal para hacer #L#cfa7a0fmedio de cultivo#n@1",Hacer #cfa7a0fmedio de cultivo
1148,Explorador Espacial,Completar automáticamente la tarea después de completar la tarea predecesora,Más para explorar en el espacio
1149,Rocki Down,Derrota a 200 rocki @1,Derrube #cfa7a0f Rocki #n por 200 veces
1150,Frosti Down,Derrota a 200 frosti @1,Derrube #cfa7a0f Frosti #n por 200 veces
1151,Bulli Down,Derrota a 200 bulli @1,Derrube #cfa7a0f Bulli #n por 200 veces
1152,Gravedad Down,Derrota a 100 graviti @1,Derrube #cfa7a0f Gravedad #n por 100 veces
1153,K.O.,Completa automáticamente la tarea después de completar la tarea anterior,Completa todos los logros de los monstruos de Horas
1154,Horas Supervivientes I,Sobrevivir 7 días en Horas @1,Sobrevivir por 7 días en horas #cfa7a0f
1155,Horas Supervivientes II,Sobrevive 60 días en Horas @1,Sobrevivir por 60 días en #cfa7a0f horas
1156,Horas Supervivientes III,Sobrevive 365 días en Horas @1,Sobrevivir por 365 días en horas #cfa7a0f
1157,Yammy Oxy I,Comer 10 #L#cfa7a0f oxy #n@1,Consuma 10 #cfa7a0f Oxy
1158,Yammy Oxy II,Come 100 #L#cfa7a0f oxy #n@1,Consuma 100 #cfa7a0f Oxy
1159,Yammy Oxy III,Comer 500 #L#cfa7a0f oxy #n@1,Consuma 500 #cfa7a0f Oxy
1160,Regeneración I,Activar 5 #L#cfa7a0f tótem #n@1,Activar 5 #cfa7a0f Runas de Regeneración
1161,Regeneración II,Activar 50 #L#cfa7a0f tótem #n@1,Activar 50 #cfa7a0f Runas de Regeneración
1162,Regeneración III,Activar 300 #L#cfa7a0f tótem #n@1,Activar 300 #cfa7a0f Runas de Regeneración
1163,Illu I,Activar 5 #L#cfa7a0f tótem #n@1,Activar 5 #cfa7a0f Runas Illu
1164,Illu II,Encender 50 #L#cfa7a0f tótem #n@1,Activar 50 #cfa7a0f Runas Illu
1165,Illu III,Ilumina 300 #L#cfa7a0f tótem #n@1,Activar 300 #cfa7a0f Runas Illu
1166,Bloque de cobre de estrella (I),Minar 10 #L#cfa7a0fbloque de cobre de estrella#n@1,Minar #cfa7a0fbloque de cobre de estrella
1167,Bloque de cobre de estrella (II),Minar 100 #L#cfa7a0fbloque de cobre de estrella#n@1,Minar #cfa7a0fbloque de cobre de estrella
1168,Bloque de cobre de estrella (III),Minar 500 #L#cfa7a0fbloque de cobre de estrella#n@1,Minar #cfa7a0fbloque de cobre de estrella
1169,Bloque de mineral violeta (I),Minar 10 #L#cfa7a0fbloque de mineral violeta#n@1,Minar #cfa7a0fmineral de gravedad
1170,Bloque de mineral violeta (II),Minar 100 #L#cfa7a0fbloque de mineral violeta#n@1,Minar #cfa7a0fmineral de gravedad
1171,Bloque de mineral violeta (III),Minar 500 #L#cfa7a0fbloque de mineral violeta#n@1,Minar #cfa7a0fmineral de gravedad
1172,Coloso antiguo,Coloca el bloque de diamante/malacquita/bronce/horas graviti en los 4 bloques junto al núcleo del tótem e invoca al coloso antiguo para derrotarlo @1,Derrote#cfa7a0fColoso Antiguo
1173,Coloso antiguo,Derrota al antiguo coloso @1,Derrote#cfa7a0fColoso Antiguo
1174,@Null@,@Null@,@Null@
1175,Necesito algo de madera,Recoge madera y obtén un #L#cfa7a0f bloque de madera #n@1#r (Mantén presionado el tronco para recolectar),Recoge #cfa7a0f madera
1176,¡Artesanía!,"Utiliza cualquier madera para hacer tablas, y utiliza 4 tablas para hacer 1 #L#cfa7a0f caja de herramientas #n@1#r (abre la mochila y elige la etiqueta de la izquierda para hacer)",Hace #cfa7a0f caja de herramientas
1177,@Null@,@Null@,@Null@
1178,@Null@,@Null@,@Null@
1179,@Null@,@Null@,@Null@
1180,@Null@,@Null@,@Null@
1181,@Null@,@Null@,@Null@
1182,@Null@,@Null@,@Null@
1183,@Null@,@Null@,@Null@
1184,@Null@,@Null@,@Null@
1185,@Null@,@Null@,@Null@
1186,@Null@,@Null@,@Null@
1187,@Null@,@Null@,@Null@
1188,@Null@,@Null@,@Null@
1189,@Null@,@Null@,@Null@
1190,@Null@,@Null@,@Null@
1191,@Null@,@Null@,@Null@
1192,@Null@,@Null@,@Null@
1193,@Null@,@Null@,@Null@
1194,@Null@,@Null@,@Null@
1195,@Null@,@Null@,@Null@
1196,@Null@,@Null@,@Null@
1197,@Null@,@Null@,@Null@
1198,@Null@,@Null@,@Null@
1199,@Null@,@Null@,@Null@
1200,@Null@,@Null@,@Null@
1201,Mantente firme,Sobrevivir 7 días en modo Hardcore @1,Sobrevivir varios días
1202,Explosión,Sobrevivir 60 días en modo Hardcore @1,Sobrevivir varios días
1203,Maestro de la supervivencia,Sobrevive 365 días en el modo Hardcore @1,Sobrevivir varios días
1204,¡Salvajes!,Derrota a 50 Salvajes @1,Derrotar a salvajes
1205,¡Bebés adorables y salvajes!,Derrota a 20 jockeys @1,Derrotar a un bebé adorable y salvaje
1206,¡Apóstol del Vacío!,Derrota a 50 apóstol del vacío@1,Derrotar a #cfa7a0fapóstol del vacío
1207,Comercio,Realiza 20 operaciones con comerciantes viajeros @1,Comerciar con mercaderes viajantes
1208,Comercio en el desierto,Realiza 50 operaciones con comerciantes del desierto @1,Comerciar con mercaderes del desierto
1209,Comercio en zonas heladas,Hacer 200 operaciones con comerciantes del campo de hielo @1,Comerciar con mercaderes de zonas heladas
1210,¡Huevo explosivo!,Derrotar a 30 Huevos Explosivos @1,Derrotar a huevos explosivos
1211,¡Arqueros de azufre!,Derrota a 100 arqueros de azufre @1,Derrotar a arqueros de azufre
1212,¡Asesino de dragones!,Derrota al antiguo dragón negro @1,Derrota al dragón negro antiguo.
1213,Materiales de celesthium,Minar 100 #L#cfa7a0f minerales de celesthium#n@1,Minar #cfa7a0f minerales de celesthium
1214,Almacén de armas,Fundir 500 #L#cfa7a0fhierro#n@1,Fundir #cfa7a0hierro
1215,Uno para siempre,Excavar 20 #L#cfa7a0fminerales oro tungsteno#n@1,Excavar #cfa7a0fminerales oro tungsteno
1216,Pájaro dodo asado,Cocinar 100 #L#cfa7a0fpájaro dodo asado#n@1,Cocinar #cfa7a0fpájaro dodo asado
1217,Rey de los fideos,Cocina 50 #L#cfa7a0ffideos de barbacoa#n@1,Cocina #cfa7a0ffideos de barbacoa
1218,¿Es segura la manzana dorada para comer?,Cocina 50 #L#cfa7a0fcomida deliciosa#n@1,Cocina #cfa7a0fcomida deliciosa
1219,@Null@,@Null@,@Null@
1220,@Null@,@Null@,@Null@
1221,Necesito algunas piedras,Recoge piedras en el suelo para obtener piedras afiladas #r (mantén presionadas las piedras para juntarlas),Recoge #cfa7a0fPiedras en el suelo
1222,Más materiales,Recoge ramitas para #L#cfa7a0f palos #n@1#r (pulsa prolongadamente las ramitas para recogerlas),Obtenga#cfa7a0fPequeño palo de madera de las ramas
1223,¡El comienzo de la Edad de Piedra!,"Usa rocas y ramas delgadas para hacer #L#cfa7a0fpico de piedra#n@1#r (abre la mochila, selecciona la etiqueta de la izquierda para hacerla)",Hacer #cfa7a0fPico de piedra
1224,Armas del Hombre Primitivo,"Usa madera para hacer #L#cfa7a0fpalo#n@1#r(es peligroso por la noche, debes usar armas para protegerte)",Hacer #cfa7a0fpalo
1225,Cazador,Derrota al salvaje que acecha la noche@1#r(¿Oh? ¿Quieres ser un cazador?),Derrota al #cfa7a0fsalvaje
1226,Empieza una buena vida,Usa piedras y ramas para fabricar #L#cfa7a0fhacha de piedra#n@1#r(¿Puedo usarla para hacer una casa primero?),Abre la mochila para hacer #cfa7a0fhacha de piedra
1227,Leñador,Usa 1 hacha de piedra para destruir un árbol y recolecta #L#cfa7a0fmadera#n@1#r(¡La fuente de la riqueza!),Tala árboles para recolectar #cfa7a0fmadera
1228,Hoguera,"Usa roca y madera para crear #L#cfa7a0fhoguera#n@1#r(Por la noche, el brillo y la calidez te darán una sensación de seguridad)",Hacer #cfa7a0fhoguera
1229,"Carne a la parrilla, ¡Fantastico!",Coloca el tontón crudo en la hoguera para cocinar #L#cfa7a0ftontón cocido#n@1#r(¡Estoy lleno de fuerzas después de comer!),#cfa7a0fParilla
1230,Cortar el césped,Recoge hierba en el suelo para obtener #L#cfa7a0f1 puñado de malezas#n@1#r,Recolecta #cfa7a0fa un puñado de malezas
1231,¡Hágase la luz!,Usa ramas y un puñado de hierbas para fabricar #L#cfa7a0fAntorcha ardiente#n@1#r(La antorcha simple solo se quema durante un breve periodo de tiempo),Hacer #cfa7a0fantorcha ardiente
1232,Cantero,Rocas en su mayoría ocultas bajo tierra. Use Stone Pickaxe para excavar y obtener #L#cfa7a0fRoca#n@1#r(Parece que las piedras son componentes esenciales para la mayoría de las cosas),Minar #cfa7a0frocas bajo tierra
1233,Artesano,"Usa madera y piedras para fabricar #L#cfa7a0fMesa Artesanal Incompleta#n@1#r(Vaya, puedes hacer más artículos ahora)",Hacer #cfa7a0Mesa Artesanal Incompleta
