角色ID,西班牙语,西班牙语,西班牙语,西班牙语,西班牙语
15,Niño salvaje,"En toda familia, hay un niño salvaje. ¡Espera! ¿Qué tiene en la mano?",Genio de las bombas2,Reduce un 40% el daño de explosión.,@Null@
16,Capitán Tom,Antiguo soldado de las Fuerzas de Paz del mundo. Se le da bien la supervivencia y disparar.,Supervivencia de campo,Mejora la comida y la respiración bajo el agua (sin activar).,Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.
17,Capitán Tom,Antiguo soldado de las Fuerzas de Paz del mundo. Se le da bien la supervivencia y disparar.,Supervivencia de campo1,La recuperación de la salud/saciedad y el tiempo de respiración bajo el agua aumentan un 15%.,Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.
18,Capitán Tom,Antiguo soldado de las Fuerzas de Paz del mundo. Se le da bien la supervivencia y disparar.,Supervivencia de campo2,La recuperación de la salud/saciedad y el tiempo de respiración bajo el agua aumentan un 30%.,Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.
19,Agente Laura,"Diosa de una empresa de seguridad, a la que le encantan las aventuras emocionantes.",Profecía,Inmune al daño letal una vez (sin activar).,Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.
20,Agente Laura,"Diosa de una empresa de seguridad, a la que le encantan las aventuras emocionantes.",Profecía1,"Cuando el daño tomado es más de 45 puntos y causa la muerte, se regenerará inmediatamente con el 25% del valor de la salud. El intervalo de activación es de 5 minutos.",Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.
21,Agente Laura,"Diosa de una empresa de seguridad, a la que le encantan las aventuras emocionantes.",Profecía2,"Cuando el daño tomado es mayor que 25 puntos y causa la muerte, se regenerará inmediatamente con un 50% de salud, y el intervalo de activación es de 3 minutos.",Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.
22,Cindy la Traviesa,Piloto perspicaz del equipo primitivo de arqueología.,Supersalto,Fortalece la habilidad de salto. Puede realizar saltos dobles en el nivel II (sin activar).,Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.
23,Cindy la Traviesa,Piloto perspicaz del equipo primitivo de arqueología.,Supersalto1,Altura del salto +50% y daño de caída -10.,Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.
24,Cindy la Traviesa,Piloto perspicaz del equipo primitivo de arqueología.,Supersalto2,Altura del salto +50% y daño de caída -20. Puede realizar saltos dobles.,Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.
25,Ayudante Peter,Se une al equipo de arqueología gracias a una graduación perfecta.,Casualidad,Tiene una posibilidad de encontrar varios objetos al romper frascos (sin activar).,Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.
26,Ayudante Peter,Se une al equipo de arqueología gracias a una graduación perfecta.,Casualidad1,Tiene un 18% de probabilidad de encontrar materiales raros al romper frascos.,Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.
27,Ayudante Peter,Se une al equipo de arqueología gracias a una graduación perfecta.,Casualidad2,Tiene un 27% de probabilidad de encontrar más materiales raros y cubos especiales al romper frascos.,Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.
28,Profesor Stephen,¿Qué hace un antiguo profesor de la Academia Nacional de Ciencias en estas tierras salvajes?,Gran aprendizaje,Tiene una posibilidad de encontrar varios objetos al cavar piedras (sin activar).,Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.
29,Profesor Stephen,¿Qué hace un antiguo profesor de la Academia Nacional de Ciencias en estas tierras salvajes?,Gran aprendizaje1,Tiene un 4% de probabilidad de encontrar minerales raros y materiales al cavar piedras.,Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.
30,Profesor Stephen,¿Qué hace un antiguo profesor de la Academia Nacional de Ciencias en estas tierras salvajes?,Gran aprendizaje2,"Tiene un 6% de probabilidad de encontrar minerales raros, materiales y cubos especiales al cavar piedras.",Los accesorios de desbloqueo se pueden conseguir en las frutas del jardín.
