iD,西班牙语,西班牙语
16,Protección cuerpo a cuerpo,Resistencia cuerpo a cuerpo +1
16,Protección cuerpo a cuerpo,Resistencia cuerpo a cuerpo +3
16,Protección cuerpo a cuerpo,Resistencia cuerpo a cuerpo +5
16,Protección cuerpo a cuerpo,Resistencia cuerpo a cuerpo +9
16,Protección cuerpo a cuerpo,Resistencia cuerpo a cuerpo +15
17,Resistencia a larga distancia,Resistencia a distancia +1
17,Resistencia a larga distancia,Resistencia a distancia +3
17,Resistencia a larga distancia,Resistencia a distancia +5
17,Resistencia a larga distancia,Resistencia a distancia +9
17,Resistencia a larga distancia,Resistencia a distancia +15
18,Protección contra explosiones,Resistencia a explosiones +1
18,Protección contra explosiones,Resistencia a explosiones +3
18,Protección contra explosiones,Resistencia a explosiones +5
18,Protección contra explosiones,Resistencia a explosiones +9
18,Protección contra explosiones,Resistencia a explosiones +15
19,Protección contra quemaduras,Resistencia a llamas +1
19,Protección contra quemaduras,Resistencia a llamas +3
19,Protección contra quemaduras,Resistencia a llamas +5
19,Protección contra quemaduras,Resistencia a llamas +9
19,Protección contra quemaduras,Resistencia a llamas +15
20,Protección contra veneno,Resistencia al veneno +1
20,Protección contra veneno,Resistencia al veneno +3
20,Protección contra veneno,Resistencia al veneno +5
20,Protección contra veneno,Resistencia al veneno +9
20,Protección contra veneno,Resistencia al veneno +15
21,Protección contra el caos,Resistencia al caos +1
21,Protección contra el caos,Resistencia al caos +3
21,Protección contra el caos,Resistencia al caos +5
21,Protección contra el caos,Resistencia al caos +9
21,Protección contra el caos,Resistencia al caos +15
22,Contraataque,Otorga un 50% de probabilidad de infligir 5 punto de daño a los atacantes durante un ataque cuerpo a cuerpo.
22,Contraataque,Otorga un 50% de probabilidad de infligir 10 punto de daño a los atacantes durante un ataque cuerpo a cuerpo.
22,Contraataque,Otorga un 50% de probabilidad de infligir 15 punto de daño a los atacantes durante un ataque cuerpo a cuerpo.
22,Contraataque,Otorga un 50% de probabilidad de infligir 20 punto de daño a los atacantes durante un ataque cuerpo a cuerpo.
22,Contraataque,Otorga un 50% de probabilidad de infligir 25 punto de daño a los atacantes durante un ataque cuerpo a cuerpo.
23,Resistencia al rechazo,Reduce 1 metro la distancia de rechazo al recibir un ataque.
23,Resistencia al rechazo,Reduce 2 metro la distancia de rechazo al recibir un ataque.
23,Resistencia al rechazo,Reduce 3 metro la distancia de rechazo al recibir un ataque.
23,Resistencia al rechazo,Reduce 4 metro la distancia de rechazo al recibir un ataque.
23,Resistencia al rechazo,Reduce 5 metro la distancia de rechazo al recibir un ataque.
24,Recolección precisa,Cuando recoges cubos. Caerán cubos.
25,Velocidad,Aumenta un 30% la velocidad de recolección.
25,Velocidad,Aumenta un 70% la velocidad de recolección.
25,Velocidad,Aumenta un 120% la velocidad de recolección.
25,Velocidad,Aumenta un 180% la velocidad de recolección.
25,Velocidad,Aumenta un 250% la velocidad de recolección.
26,Cavación afortunada,"Pico: 16% de probabilidad de duplicar los minerales que caen.
Pala: aumenta un 20% la probabilidad de que caiga gravilla."
26,Cavación afortunada,"Pico: 16%/8% de probabilidad de duplicar/triplicar los minerales que caen.
Pala: aumenta un 33% la probabilidad de que caiga gravilla."
26,Cavación afortunada,"Pico: 20%/10%/4% de probabilidad de duplicar/triplicar/cuadruplicar los minerales que caen.
Pala: aumenta un 100% la probabilidad de que caiga gravilla."
27,Disparo de explosión,El objetivo explotará cuando lo alcance una flecha.
28,Caída lenta del dragón,Se reduce el daño de caída en 150 y se reduce la velocidad de caída.
32,Velocidad,Aumenta un 30% la velocidad de recolección.
30,Caída rápida,"Manteniendo presionado el botón Shift al caer para aumentar la velocidad de caída en un 20%, disminuya el daño por caída en 3"
30,Caída rápida,"Al presionar el botón Shift al caer para aumentar la velocidad de caída en un 30%, se reduce el daño por caída en 6"
30,Caída rápida,"Manteniendo presionado el botón Shift al caer para aumentar la velocidad de caída en un 40%, disminuya el daño de caída en un 9"
30,Caída rápida,"Manteniendo presionado el botón Shift al caer para aumentar la velocidad de caída en un 50%, disminuya el daño por caída en 15"
30,Caída rápida,"Manteniendo presionado el botón Shift al caer para aumentar la velocidad de caída en un 60%, disminuya el daño por caída en 25"
31,Araña escalada,"Ser capaz de subir en cualquier plano vertical, disminuir la velocidad de movimiento en un 40%, costo 3 durabilidad por segundo"
31,Araña escalada,"Ser capaz de subir en cualquier plano vertical, disminuir la velocidad de movimiento en un 30%, costo 3 durabilidad por segundo"
31,Araña escalada,"Ser capaz de subir en cualquier plano vertical, disminuir la velocidad de movimiento en un 25%, costo 2 durabilidad por segundo"
31,Araña escalada,"Ser capaz de subir en cualquier plano vertical, disminuir la velocidad de movimiento en un 10%, costo 2 durabilidad por segundo"
31,Araña escalada,"Poder escalar en cualquier plano vertical, cuesta 2 durabilidad por segundo"
