ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
40,Latido-DJ del Vacío,Un DJ del Vacío al que le gusta mucho el rock electrónico. Él es la estrella más fulgurante en la escena con un sentido muy fuerte de ritmo.,@Null@,Efectos Corporales: Colas relampagueantes,Avatar: Desbloquear el avatar,Huella: Dejarás huella en la forma de notas músicas al andar.,,,
41,Lancelot-La Justicia,"¿Qué es la Caballería? Donde la espalda se apunta, la justicia se queda.",@Null@,Efectos Corporales: Rodeado por luz de las estrellas!,Avatar: Desbloquear el avatar,@Null@,,,
42,Miauca-Mecha Gata,"He confirmado la conexión de la red, todo está bien. La torre electromagnética está lista. ¿Me llamas un Otaku? NO NO, es la expresión romántica! ¿Bateria agotada? ¡Recárgalo ahora!",@Null@,@Null@,Avatar: Desbloquear el avatar,Huella: Dejarás granos en forma de relámpago dondequiera andes.,,,
43,Senbei-Chico Samurai,¡Buen Kungfu! Pero ¿seguro que me competirías con mi Dual Ejercicio frenético? Se llama-en mi idioma-Nidouryu!,@Null@,@Null@,Avatar: Desbloquear el avatar,Huella: Dejarás huellas de polvos arenosos.,,,
44,Noa - Gata Piloto,"¡El trofeo del campeonato es el regalo de mi cumpleaños!-Noa, la Gata Piloto, es una chica que quiere la vida urbana. Para ella, el triunfar no sólo significa la victoria, sino también un espectáculo. Solo ganar importa...",@Null@,@Null@,Avatar: Desbloquear el avatar,Huella: Dejarás huellas de una forma de amor.,,,
45,Li-Asesino Genki,Una asesina muy enérgica. Siempre se anima a sí misma. Le encanta usar aguja y tejer su ropa con lana.,@Null@,@Null@,Avatar: Desbloquear el avatar,Huella: Dejarás huellas de pelota peluda.,,,
46,An-Asesino Hielo,Quiere fingir un chico despiadado enfrente al público. Pero siempre recibe quejas desde su compañero por su descuido.,@Null@,@Null@,Avatar: Desbloquear el avatar,Huella:Dejarás huellas de dardo.,,,
47,Yoyo-Loro de Oro,"¿Crees que, cada nube en el cielo tiene su propio olor? Quiero ser tu ala que te llevo a visitar los lugares más hermosos en el mundo.",@Null@,Efecto Corporal Especial: Brillan luces de oro en la corona.,Avatar: Desbloquear el avatar,@Null@,,,
48,Mini-S,"Matener la paz, ¡es mi responsabilidad!",@Null@,Efecto Corporal Especial: Rayos dorados y eléctricos en la mecha.,Avatar: Desbloquear el avatar,@Null@,,,
49,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
50,Joker-Payaso Innocuo,"Hola, querido viajero, ¿Te gustaría ver un espectáculo mágico increíble?",@Null@,@Null@,Avatar: Desbloquear el avatar,Huella:dejarás motivos mágicos al andar.,,,
51,Kana-Martillo Suelto,Vengo aquí para romper las reglas. ¿Probarías dulces o mi martillo?,@Null@,@Null@,Avatar: Desbloquear el avatar,Huella:dejarás chupachups,,,
52,Optimus Prime,"Soy Optimus Prime, y envío este mensaje para que nuestros pasados siempre sean recordados, ya que en esos recuerdos vivimos.",@Null@,Efecto Corporal Especial: Se puede transformar como quiera,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,#cda5b0a Transformar: Clic en el boton derecho para alterar modo#n,#cda5b0a Habilidad Exclusiva: Ataque Robot! #n,
53,Megatron,Hago esto solo en beneficio de mis engaños. Me entristece que también puedas beneficiarte.,@Null@,Efecto Corporal Especial: Se puede transformar como quiera,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,#cda5b0a Transformar: Clic en el boton derecho para alterar modo#n,#cda5b0a Habilidad Exclusiva: Misil! #n,
54,Mousse-Señorita Navidad,"Lo más insustituible de la Navidad, son nieve, tarta, magia y tú.",@Null@,@Null@,Avatar: Desbloquear el avatar,Huella:dejarás fresas al andar.,,,
55,Orolo - El Abundante,"¿Sabes que, en mi casa las lluvias son pintadas con el color mas dorado que hay en el cielo? Un par de gemelos, este chico recoge frutos en el otoño y se los ofrecerá a los animales en el invierno.",@Null@,@Null@,Avatar: Desbloquear el avatar,Huella:dejarás castaños al andar.,,,
56,Nevada - La Amable,"""La nieve es mi favorita! Querría transformar las nieves en diamantes"" Un par de gemelos, esta chica siempre ayuda a los animales que sufren en el invierno.",@Null@,Efecto Corporal: flores diseminadas en el cuerpo.,Avatar: Desbloquear el avatar,Huella:dejarás un diseño al andar.,,,
57,Arpapá-Árbol Grande,"Parece un niño descuidado. En realidad, es el poderoso señor de North City y también el maestro de Jinyi, Assassin LI y An. Después de tantos años de lucha, ahora no presta atención a los asuntos de la vida humana.",Desbloq. por Evento,@Null@,Avatar: Desbloquear el avatar,Huellas: Dejarás patrones de cucurbitáceas cuando pasa.,,,
58,Bumblebee,"Soy Bumblebee, tu mejor amigo! Contribuiré todo hasta mi propia vida para Optimus Prime",@Null@,Efectos corporales: Se puede transformar como quiera,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,#cda5b0a Transformar: Clic en el boton derecho para alterar modo#n,#cda5b0a Habilidad Exclusiva: Avispa Corta! #n,
59,Fayoyo-Hada Floral,"Fayoyo-Hada Floral, disfruta paseando por el jardín. Ella planta muchas flores alrededor de su casa. Los niños que caminan son atraídos por la frangrancia. Esta vez, ella escucha que el poder en la estrella mágica cambiará las flores. Como jardinero, está muy contenta de venir.",@Null@,Efectos corporales: Rodeado por la luz estelar.,Avatar: Desbloquear el avatar,@Null@,,,
60,Arell-Aspecto Estelar,"Arell, el aspecto estelar brillante del cielo. Tiene el poder de realizar sueños. Cuando el pequeño amigo pide un deseo, ella escuchará y creará un nuevo mundo con él/ella.",@Null@,Efectos corporales: Rodeado por Arco-iris.,Avatar: Desbloquear el avatar,@Null@,,,
61,Kiu - Leoparda de las Nieves,"Nacida en la montaña nevada, elegida para ser la protectora de la meseta. Ella es suave pero muestra un gran coraje.",Desbloq. por Evento,Efectos corporales: Rodeado por las nieves,Avatar: Desbloquear el avatar,@Null@,,,
62,Kimera-Chica Mágica,Kimera es llevada al país de las maravillas por una carta de póker. Esta es una aventura desconocida. Pero el Sr. Conejo es el mejor compañero. Él siempre estará a su lado.,@Null@,Efectos corporales: Rodeado por las flores,Avatar: Desbloquear el avatar,@Null@,,,
63,Iggy-Ninja Rana,"Oggy-Ninja Rana comenzó a aprender ninjutsu a una edad temprana. Ahora se ha convertido en un maestro, pero el momento que más echa de menos es cuando yace junto al estanque.",Desbloq. por Evento,@Null@,Avatar: Desbloquear el avatar,Huellas: Dejarás huellas de rana cuando pasa.,,,
64,Starscream,Starscream cree que nació para ser el líder de Decepticon. Tiene una lengua afilada y a menudo compite por poder y ganancias con Megatron. Su comportamiento a menudo le molesta a Megatron.,@Null@,Efectos corporales: Se puede transformar como quiera,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,#cda5b0a Transformar: Clic en el boton derecho para alterar modo#n,#cda5b0aHabilidad Exclusiva： Alerta Aérea#n,
65,Hot Rod,"Tranquilo y responsable. Es el nuevo líder de los Autobots, una esperanza de paz en el universo. No tiene miedo al mal. No importa lo peligrosa de la situación, actuará de inmediato sin dudarlo.",@Null@,Efectos corporales: Se puede transformar como quiera,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,#cda5b0a Transformar: Clic en el boton derecho para alterar modo#n,#cda5b0aHabilidad Exclusiva：Relámpago Rojo#n,
66,Galvatron,Es más fuerte y más cruel que Megatron. Su confianza y su ambición de conquista son inigualables. Es la encarnación del poder. El universo entero no llenara el apetito de este vil tirano.,@Null@,Efectos corporales: Se puede transformar como quiera,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,#cda5b0a Transformar: Clic en el boton derecho para alterar modo#n,#cda5b0aHabilidad Exclusiva：Láser de Fusión#n,
67,Raúl-Súper Jugador,"Pasear entre lo virtual y la realidad, Raúl resuelve todos los problemas como jugar en el videojuego. Si ni la suerte ni la fuerza pueden pasar, el TIEMPO será decidida. El tiempo hará que las personas crezcan, y el crecimiento es la respuesta definitiva al problema.",Desbloq. por Evento,Efectos corporales: Rodeado por carácteres,Avatar: Desbloquear el avatar,@Null@,,,
68,Lynn-Chica de Juego,"A Lynn le gusta llevar a su amiga, la pequeña Cube, a viajar entre lo virtual y lo real. Explorar el mundo y disfrutar de la diversión significa mucho para ella. Ella nunca se detiene y siempre busca la luz de neón que puede tocarla.",Desbloq. por Evento,Efectos corporales: Rodeado por partículas moradas!,Avatar: Desbloquear el avatar,@Null@,,,
69,Cian-La Verde,"Descendiente del primer taller de Zongzi, Cian sueña en dominar el Guzheng. Cian hizo un trato con sus padres, siempre y cuando pueda mantener la reputación del taller de Zongzi, ella podrá seguir aprendiendo el Guzheng. Heredar el taller y ser en una maestra del Guzheng no es problema para Cian, porque ella quiere ambos.",@Null@,Efectos corporales: Rodeado por hojas,Avatar: Desbloquear el avatar,@Null@,,,
70,Twilight Sparkle,Twilight Sparkle es la más inteligente. Le gusta leer y tiene liderazgo. La princesa Celestia la ayuda a aprender la magia de la amistad y a crear más.,@Null@,Efectos corporales: Rodeado de partículas mágicas,Avatar: Desbloquear el avatar,@Null@,,,
71,Princesa Celestia,"Ella, la gobernante del Reino de Equestria, tiene el gran poder mágico. Pero ella es una chica linda y muy tranquila. El pastel es siempre su favorito.",@Null@,Efectos corporales: Se puede transformar como quiera,Avatar: Desbloquear el avatar,@Null@,,,
72,Fluttershy,Fluttershy vive vive en una cabaña de madera en el borde de Pony Valley y se hace amigo de una variedad de animales. A menudo los dirige a actuar juntos como el símbolo de la bondad en armonía.,@Null@,Efectos corporales: Se puede transformar como quiera,Avatar: Desbloquear el avatar,@Null@,,,
73,Princesa Luna,"Hermana de la princesa Celestia. Gobierna Equestria haciéndose cargo de la noche, el sueño y el amanecer. Salva a los ponis de sus pesadillas. Luce misteriosa y distante, pero es muy amable.",Desbloq. por Evento,Efectos corporales: rodeado de los patrones de luna,Avatar: Desbloquear el avatar,@Null@,,,
74,Grimlock,Grimlock comanda a los dinosaurios y es el más poderoso. Su personalidad temeraria hace que los autobots sean muy ansiosos. También lidera a los dinobots y salva a los autobots muchas veces.,Desbloq. por Evento,Efectos corporales: chispas electromagnéticas,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,#cda5b0aConvert: Click the button on the right side to switch the autobot/dinobot form!#n,#cda5b0aHabilidad exclusiva de Transformador: Dragón Roar!#n,
75,Swoop,Los pensamientos simples y el comportamiento imprudente de Swoop a veces son molestos. Pero es un guerrero. Él juega un papel importante en el equipo.,@Null@,Efectos corporales: chispas electromagnéticas,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,#cda5b0aConvert: Click the button on the right side to switch the autobot/dinobot form!#n,#cda5b0a Habilidad exclusiva de Transformador: Swift Wing! #n,
76,Snarl,Snarl esta fuera del grupo. No se ocupa de asuntos estratégicos. El solo sigue a Grimlock y asiste a la guerra. Es el luchador más poderoso de Grimlock en el campo de batalla.,@Null@,Efectos corporales: chispas electromagnéticas,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,#cda5b0aConvert: Click the button on the right side to switch the autobot/dinobot form!#n,#cda5b0a Habilidad exclusiva de Transformador: ¡Bone Sweep! #n,
77,Leonardo-Pintador Mágico,Se dice que es un pintor viajero que usa magia de color para purificar el mundo. Los colores cálidos son cambiables y los colores fríos son silenciosos. Lo mismo es cierto para Leonardo: la combinación de naranja y azul es como la calma y el entusiasmo de su personaje.,Desbloq. por Evento,@Null@,Avatar: Desbloquear el avatar,Huella: dejando pigmento azul cuando pasa,,,
78,Thalía,"¡Cambia tus cosas preciosas conmigo! ¡Te daré todo lo que sueñas! Un día, se envían cartas firmadas por Thalía a las personas amantes de la magia en el mini Universo. ¡También hay una isla flotante y una hermosa y misteriosa Reina Thalia en el planeta Offa!",Obtenido de Gashapon,Efecto corporal: Rodeado de flor morada.,Avatar: Desbloquear el avatar,Huella: Dejando pigmento rosa cuando pasa,,,
79,Uta-Recluso Bosque,"Rara vez alguien puede encontrar el Uta. Durante ciertas temporadas, aparecía y usaba la magia para curar las dolencias de la tribu y desterrar las pesadillas. Su adivinación y medicina eran tan efectivas y, sin embargo, tan misteriosas. Era un ermitaño y un digno hijo del bosque.",@Null@,Efecto corporal: rodeado de brujería.,Avatar: Desbloquear el avatar,@Null@,,,
80,Laby-Sr. Conejito,"La mayor alegría del Laby es su capacidad de viajar de planeta en planeta como el Sr. Conejo, pero Kimera parece ser capaz de ver a través de su disfraz. Una carta que cae por casualidad los une y comienza una maravillosa aventura. ¿Es esta la magia del póquer? No, ¡es la magia del destino!",Desbloq. por Evento,Efecto corporal: rodeado por patrones de conejo,Avatar: Desbloquear el avatar,@Null@,#cd65b00Transformar: ¡Haz clic en el botón para cambiar el modo conejo/ humano!#n,#cd65b00Habilidad: ¡Hueso barre!#n,
81,Pinkie Pie,Pinkie Pie es la “poni de fiesta” más famosa y tiene una energía extraordinaria. Le encantan las bromas y el canto. Representa la “risa” en el elemento de la armonía.,@Null@,Efecto corporal: Rodeado de corazones rosas,Avatar: Desbloquear el avatar,@Null@,,,
82,Carol,"A Carol le encantan los dulces, porque los dulces siempre le traen buena suerte. Cuando va por la calle, el dueño de una tienda de dulces la acoge. También se encuentra con el pequeño fantasma y aprende magia allí. ¡Toma un caramelo! ¡El cazo de azúcar de Carol definitivamente te sorprenderá!",@Null@,Efecto corporal: Rodeado de magia de luz.,Avatar: Desbloquear el avatar,@Null@,,,
83,Jerry,"Jerry está lleno de ideas caprichosas, siempre capaz de combinar varios ingredientes para producir los alimentos más inesperados.",Obtenido de Gashapon,@Null@,Avatar: Desbloquear el avatar,Huella: dejará huellas en los lugares por los que ha caminado.,,,
84,Squid,"Squid no quiere vivir bajo el mar para siempre. El mar es vasto, pero prefiere flotar en la superficie y observar las estrellas brillantes.",Obtenido de Gashapon,Efecto Corporal: rodeado de rotación de deriva,Avatar: Desbloquear el avatar,@Null@,,,
85,Oso Gigi,"La vida es una aventura y también un desafío. El peligro puede ayudarlo a enderezarse. No serás abandonado si sigues corriendo. Si quieres desafiar lo imposible, emprende una aventura con el oso Gigi.",Obtenido de Gashapon,@Null@,Avatar: Desbloquear el avatar,Huella: Dejando huella de oso cuando pasa,,,
86,Starlight Glimmer,"Poseedora de la habilidad Twilight Sparkle, trata de establecer una ciudad ""utópica"". Ahora se convierte en amiga de los otros ponis y en directora de Friendship School.",@Null@,Efecto corporal: rodeado por la luz de las estrellas azules,Avatar: Desbloquear el avatar,@Null@,,,
87,Rainbow Dash,Rainbow Dash es valiente y extrovertida. Es una gran fanática de la aventura y la broma. Vuela muy rápido y tiene la cola del arco iris. Ella representa la “lealtad” en el elemento de armonía.,@Null@,Efecto corporal: tiene cola de arco iris,Avatar: Desbloquear el avatar,@Null@,,,
88,Princess Cadence,"Era la estudiante hermosa, amable y considerada de la princesa Celestia. Se convirtió en guardiana del Imperio de Cristal al derrotar al Rey Sombra. La Cutie Mark representa el amor y la luz.",@Null@,Efecto corporal: Rodeada de cristal,Avatar: Desbloquear el avatar,@Null@,,,
89,Audrey,Ven y estudia la magia de la naturaleza! Audrey de la escuela mágica siempre no escatima esfuerzos para recomendar magia sobre insectos. Su diligencia la ayuda a ganarse el favor de Mysia.,@Null@,Efecto corporal: Rodeado de mariposa brillante,Avatar: Desbloquear el avatar,Huella: Dejando huella de mariposa cuando pasa,,,
90,Predaking,"Predaking es la feroz fusión de los cinco Predacons con habilidades superiores y la máquina de guerra más mortal de los Decepticons. Como guerrero, es invencible, como arma, es indestructible.",@Null@,Efecto Corporal Especial: Se puede transformar como quiera,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,#cda5b0aTransformar: ¡Haga clic en el botón Transformar a la derecha para transformar en Forma Combinador! #n,#cda5b0a Habilidad Exclusiva de Transformer: Fuerza Viciosa!#n,
91,Razorclaw,@Null@,@Null@,Efecto Corporal Especial: Se puede transformar como quiera,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,,,
92,Headstrong,@Null@,@Null@,Efecto Corporal Especial: Se puede transformar como quiera,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,,,
93,Tantrum,@Null@,@Null@,Efecto Corporal Especial: Se puede transformar como quiera,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,,,
94,Rampage,@Null@,@Null@,Efecto Corporal Especial: Se puede transformar como quiera,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,,,
95,Divebomb,@Null@,@Null@,Efecto Corporal Especial: Se puede transformar como quiera,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,,,
96,Superion,Superion es el primer combinador de Autobot que compone Aerialbots. Actúa en base a dos principios: Destruir a los Decepticons y Proteger a los Inocentes.,@Null@,Efecto Corporal Especial: Se puede transformar como quiera,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,#cda5b0aTransformar: ¡Haga clic en el botón Transformar a la derecha para transformar en Forma Combinador! #n,#cda5b0a Habilidad Exclusiva de Transformers: Fuerza Intrépida! #n,
97,Silverbolt,@Null@,@Null@,Efecto Corporal Especial: Se puede transformar como quiera,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,,,
98,Slingshot,@Null@,@Null@,Efecto Corporal Especial: Se puede transformar como quiera,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,,,
99,Skydive,@Null@,@Null@,Efecto Corporal Especial: Se puede transformar como quiera,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,,,
100,Air Raid,@Null@,@Null@,Efecto Corporal Especial: Se puede transformar como quiera,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,,,
101,Fireflight,@Null@,@Null@,Efecto Corporal Especial: Se puede transformar como quiera,Avatar: Desbloquear el avatar,Huellas: Dejarás símbolos de su bando cuando pasa.,,,
102,Shengying,Tengo muy buena puntería. Ven a pelear conmigo si no lo crees.,Obtenido de Gashapon,Huella: deja una enorme huella celestial,Avatar: Desbloquear el avatar,@Null@,,,
