接口ID,西班牙语,西班牙语,西班牙语,西班牙语,西班牙语,西班牙语,西班牙语
20016,Mundo,getActorsByBox,"World:getActorsByBox(objtype, x1, y1, z1, x2, y2, z2)","type:number designate type, x1|y1|z1:number starting point, x2|y2|z2:number ending point","ErrorCode.OK, num:number, objids:tableobjid array",Obtener actor en la área designada,"local actorType = 0 --OBJ_TYPE_MONSTER
local x1, y1, z1 = -5, 1, -5
local x2, y2, z2 = 15, 9, 15
local ret, num, array = World:getActorsByBox(actorType, x1,y1,z1, x2,y2,z2)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20017,Mundo,getPlayerTotal,World:getPlayerTotal(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number Number",Obtener todos los jugadores. Se puede controlar el estado supervivencia,local result = World:getPlayerTotal(alive)
20018,Mundo,getAllPlayers,World:getAllPlayers(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number number, array:table player uin array",Obtener todos los jugadores. Se puede controlar el estado supervivencia,"local aliveType = -1 --Get all players data
local ret, num, array = World:getAllPlayers(aliveType)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20019,Mundo,randomOnePlayer,World:randomOnePlayer(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, uin:number",Jugador Aleatorio,"local aliveType = 1 --Any survivors Id
local ret, playerId = World:randomOnePlayer(aliveType)
if ret == ErrorCode.OK then print('Player ===>> ', playerId) end"
20020,Mundo,despawnActor,World:despawnActor(objid),objid:number,ErrorCode.OK,Remover Actor,"local ret, num, array = World:getActorsByBox(aType, x1,y1,z1, x2,y2,z2)
if array and #array>0 then --Remove Actor
        local result = World:despawnActor(array[#array])
        if result == ErrorCode.OK then print('Despawn the last actor') end
end"
20021,Mundo,spawnCreature,"World:spawnCreature(x, y, z, actorid, num)","x|y|z:number, mobid:number, num:number","ErrorCdoe.OK, objids:tableobjid array","Generar Criatura(incluyendo monstruos, NPC, animales)","local x, y, z = 6, 7, 8
local actorId, actorCnt = 3812, 2 --Little cow
local ret, objids = World:spawnCreature(x, y, z, actorId, actorCnt)
if objids and #objids>0 then
        for idx = 1, #objIds do --Set the Oxygen dependence
                Creature:setOxygenNeed(objids[idx], true)
        end 
end"
20022,Mundo,despawnCreature,World:despawnCreature(objid),objid:number,ErrorCode.OK,Remover Criatura,"local result = World:despawnCreature(objids[1])
if result == ErrorCode.OK then print('Despawn the creature') end"
20023,Mundo,spawnItem,"World:spawnItem(x, y, z, itemid, num)","x|y|z:number, itemid:number, num:number","ErrorCode.OK, objid:number",Generar Objetos en lugar designado,"local xPos, yPos, zPos = 5, 6, 7
local itemId, itemCnt = 15003, 30 --Item's id and number
local ret, objIds = World:spawnItem(xPos, yPos, zPos, itemId, itemCnt)
if ret == ErrorCode.OK then print(""Item[1]====>>>"", objIds[1]) end"
20024,Mundo,despawnItemByBox,"World:despawnItemByBox(x1, y1, z1, x2, y2, z2)","x1|y1|z1:number starting point, x2|y2|z2:number ending point",ErrorCode.OK,Remover Objetos (por región),"local x1, y1, z1 = -5, 5, -5
local x2, y2, z2 = 15, 9, 15
local result = World:despawnItemByBox(x1,y1,z1, x2,y2,z2)
if result == ErrorCode.OK then print('Successfully remove Item in designate region') end"
20025,Mundo,despawnItemByObjid,World:despawnItemByObjid(objid),objid:number,ErrorCode.OK,Remover Objetos (por ID),"local result = World:despawnItemByObjid(objIds[1])
if result == ErrorCode.OK then print('Successfully remove designate item') end"
20026,Mundo,spawnProjectile,"World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)","shooter:number, itemid:number, x|y|z:number, dirx|diry|dirz:number, speed:number",ErrorCode.OK,Generar Proyectil,"local result = World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)"
30001,Bloque,isSolidBlock,"Block:isSolidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Si o no el bloque es entidad,"local result = Block:isSolidBlock(x, y, z)"
30002,Bloque,isLiquidBlock,"Block:isLiquidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Si o no el bloque es fluído,"local result = Block:isLiquidBlock(x, y, z)"
30003,Bloque,isAirBlock,"Block:isAirBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Si o no el bloque es aire,"local result = Block:isAirBlock(x, y, z)"
30004,Bloque,getBlockID,"Block:getBlockID(x, y, z)",x|y|z:number,"ErrorCode.OK, id:number",Obtener ID correspodiente del Bloque,"local result = Block:getBlockID(x, y, z)"
30005,Bloque,setBlockAll,"Block:setBlockAll(x, y, z, blockid, data)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Definir Actualización de blockalldata e inform. ,"local result = Block:setBlockAll(x, y, z, blockid, data)"
30006,Bloque,destroyBlock,"Block:destroyBlock(x, y, z, dropitem)","x|y|z:number, dropitem:boolean",ErrorCode.OK,Destruir el bloque,"local result = Block:destroyBlock(x, y, z, dropitem)"
30007,Bloque,placeBlock,"Block:placeBlock(blockid, x, y, z, face)","blockid:number, x|y|z:number, face:number","ErrorCode.OK, ret:boolean whether it is placed right",Colocar el Bloque,"local result = Block:placeBlock(blockid, x, y, z, face)"
30008,Bloque,setBlockAllForUpdate,"Block:setBlockAllForUpdate(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Definir blockalldata e inform bloques alrededor,"local result = Block:setBlockAllForUpdate(x, y, z, blockid)"
30009,Bloque,setBlockAllForNotify,"Block:setBlockAllForNotify(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Definir blockalldata y actualizar bloques en lugar actual,"local result = Block:setBlockAllForNotify(x, y, z, blockid)"
30010,Bloque,setBlockSettingAttState,"Block:setBlockSettingAttState(blockid, atttype, switch)","blockid:number, atttype:BLOCKATTR, switch:boolean",ErrorCode.OK,Definir atributos y estado de bloque,"local result = Block:setBlockSettingAttState(blockid, atttype, switch)"
30011,Bloque,getBlockSwitchStatus,Block:getBlockSwitchStatus(pos),x|y|z:number,"ErrorCode.OK, isactive:boolean",Obtener estado on-off del bloque funcional,local result = Block:getBlockSwitchStatus(pos)
30012,Bloque,setBlockSwitchStatus,"Block:setBlockSwitchStatus(pos, isactive)","x|y|z:number, isactive:boolean",ErrorCode.OK,Definir estado on-off del bloque funcional,"local result = Block:setBlockSwitchStatus(pos, isactive)"
40001,Actor de Juego,isPlayer,Actor:isPlayer(objid),objid,ErrorCode.OK is player is player,Detecta si eres un jugador.,local result = Actor:isPlayer(objid)
40002,Actor de Juego,isMob,Actor:isMob(objid),objid,ErrorCode.OK is monster is monster,Detectar si es un monstruo.,local result = Actor:isMob(objid)
40003,Actor de Juego,getObjType,Actor:getObjType(objid),objid,"ErrorCode.OK, objtype:number",Obtener tipo de actor: criatura / jugador ...,local result = Actor:getObjType(objid)
40004,Actor de Juego,isInAir,Actor:isInAir(objid),objid:number,ErrorCode.OK,Si esta en el aire,local result = Actor:isInAir(objid)
40005,Actor de Juego,getPosition,Actor:getPosition(objid),objid,"ErrorCode.OK, x|y|z:number",Obtener la ubicación del actor,local result = Actor:getPosition(objid)
40006,Actor de Juego,setPosition,"Actor:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Establecer ubicación del actor,"local result = Actor:setPosition(objid, x, y, z)"
40007,Actor de Juego,jump,Actor:jump(objid),objid:number,ErrorCode.OK,Saltar,local result = Actor:jump(objid)
40008,Actor de Juego,killSelf,Actor:killSelf(objid),objid:number,ErrorCode.OK,Suicidate,local result = Actor:killSelf(objid)
40009,Actor de Juego,getCurPlaceDir,Actor:getCurPlaceDir(objid),objid:number,"ErrorCode.OK, dir:number",Obtener direccion actual,local result = Actor:getCurPlaceDir(objid)
40010,Actor de Juego,tryMoveToActor,"Actor:tryMoveToActor(self_objid, target_objid, speed)","self_objid:number, target_objid:number, speed:number",ErrorCode.OK,Mover al actor objetivo,"local result = Actor:tryMoveToActor(self_objid, target_objid, speed)"
40011,Actor de Juego,tryMoveToPos,"Actor:tryMoveToPos(objid, x, y, z, speed)","objid:number, x|y|z:number, speed:number",ErrorCode.OK,Mover al actor objetivo,"local result = Actor:tryMoveToPos(objid, x, y, z, speed)"
40012,Actor de Juego,addBuff,"Actor:addBuff(objid, buffid, bufflv, customticks)","objid:number, buffid:number, bufflv:number, customticks:number",ErrorCode.OK,Obtener buff,"local result = Actor:addBuff(objid, buffid, bufflv, customticks)"
40013,Actor de Juego,hasBuff,"Actor:hasBuff(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ret:boolean",Si tienes alguna afición,"local result = Actor:hasBuff(objid, buffid)"
40014,Actor de Juego,removeBuff,"Actor:removeBuff(objid, buffid)","objid:number, buffid:number",ErrorCode.OK,Eliminar el beneficio,"local result = Actor:removeBuff(objid, buffid)"
40015,Actor de Juego,clearAllBuff,Actor:clearAllBuff(objid),objid:number,ErrorCode.OK,Borrar todo buff,local result = Actor:clearAllBuff(objid)
40016,Actor de Juego,clearAllBadBuff,Actor:clearAllBadBuff(objid),objid:number,ErrorCode.OK,Borrar todos los efectos negativos,local result = Actor:clearAllBadBuff(objid)
40017,Actor de Juego,getBuffList,Actor:getBuffList(objid),objid:number,"ErrorCode.OK, num:numberbuff number, array:tablebuffid array",Obtener la lista de buff,local result = Actor:getBuffList(objid)
40018,Actor de Juego,getBuffLeftTick,"Actor:getBuffLeftTick(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ticks:number",Obtenga el itck restante del buff correspondiente del índice actual.,"local result = Actor:getBuffLeftTick(objid, buffid)"
40019,Actor de Juego,addHP,"Actor:addHP(objid, hp)","objid:number, hp:number",ErrorCode.OK,Aumente HP actual,"local result = Actor:addHP(objid, hp)"
40020,Actor de Juego,getHP,Actor:getHP(objid),objid:number,"ErrorCode.OK, value:number",Obtén el HP actual,local result = Actor:getHP(objid)
40021,Actor de Juego,getMaxHP,Actor:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Obtener HP actual máximo,local result = Actor:getMaxHP(objid)
40022,Actor de Juego,addOxygen,"Actor:addOxygen(objid, oxygen)","objid:number, oxygen:number",ErrorCode.OK,Aumentar el volumen de oxigeno,"local result = Actor:addOxygen(objid, oxygen)"
40023,Actor de Juego,getOxygen,Actor:getOxygen(objid),objid:number,"ErrorCode.OK, value:number",Obtener volumen de oxigeno,local result = Actor:getOxygen(objid)
40024,Actor de Juego,addEnchant,"Actor:addEnchant(objid, slot, enchantId, enchantLevel)","objid:number, slot:number, enchantId:number, enchantLevel:number",ErrorCode.OK,Incrementa el encanto de los equipos correspondientes.,"local result = Actor:addEnchant(objid, slot, enchantId, enchantLevel)"
40025,Actor de Juego,removeEnchant,"Actor:removeEnchant(objid, slot, enchantId)","objid:number, slot:number, enchantId:number",ErrorCode.OK,Encantamiento ligero de los equipos correspondientes.,"local result = Actor:removeEnchant(objid, slot, enchantId)"
40026,Actor de Juego,findNearestBlock,"Actor:findNearestBlock(objid, blockid, blockRange)","objid:number, blockid:number, blockRange","ErrorCode.OK, x|y|z:number",Encuentra el ID de bloque más cercano,"local result = Actor:findNearestBlock(objid, blockid, blockRange)"
40027,Actor de Juego,setFaceYaw,"Actor:setFaceYaw(objid, yaw)","objid:number, yaw:number angle",ErrorCode.OK,Establecer el ángulo de desviación transversal de la visión del actor.,"local result = Actor:setFaceYaw(objid, yaw)"
40028,Actor de Juego,getFaceYaw,Actor:getFaceYaw(objid),objid:number,"ErrorCode.OK, yaw:number",Obtener el ángulo transversal de la visión del actor,local result = Actor:getFaceYaw(objid)
40029,Actor de Juego,turnFaceYaw,"Actor:turnFaceYaw(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Cambiar el ángulo transversal del actor,"local result = Actor:turnFaceYaw(objid, offset)"
40030,Actor de Juego,setFacePitch,"Actor:setFacePitch(objid, pitch)","objid:number, pitch:number upward view",ErrorCode.OK,Establecer el ángulo ascendente de la visión del actor.,"local result = Actor:setFacePitch(objid, pitch)"
40031,Actor de Juego,getFacePitch,Actor:getFacePitch(objid),objid:number,"ErrorCode.OK, pitch:number",Obtener el ángulo ascendente de la visión del actor.,local result = Actor:getFacePitch(objid)
40032,Actor de Juego,turnFacePitch,"Actor:turnFacePitch(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Cambiar el ángulo de desviación hacia arriba del actor,"local result = Actor:turnFacePitch(objid, offset)"
40033,Actor de Juego,playBodyEffect,"Actor:playBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Empieza los efectos,"local result = Actor:playBodyEffect(objid, type)"
40034,Actor de Juego,stopBodyEffect,"Actor:stopBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Detén los efectos,"local result = Actor:stopBodyEffect(objid, type)"
40035,Actor de Juego,playBodyEffectByFile,"Actor:playBodyEffectByFile(objid, filename, sync)","objid:number, filename:string file name, sync:bool synchronize",ErrorCode.OK,Reproducir efectos de archivo,"local result = Actor:playBodyEffectByFile(objid, filename, sync)"
40036,Actor de Juego,stopBodyEffectByFile,"Actor:stopBodyEffectByFile(objid, filename)","objid:number, filename:string file name",ErrorCode.OK,Detener los efectos del archivo.,"local result = Actor:stopBodyEffectByFile(objid, filename)"
40037,Actor de Juego,playSound,"Actor:playSound(objid, name, volume, pitch, flag)","objid:number, name:string, volume:number, pitch:number, flag:number",ErrorCode.OK,Tocar musica,"local result = Actor:playSound(objid, name, volume, pitch, flag)"
40038,Actor de Juego,playSoundSpecial,"Actor:playSoundSpecial(objid, name, type)","objid:number, name:string, type:number designate name (GSOUND_TYPE)",ErrorCode.OK,Reproducir música (tipo específico: GSOUND_TYPE),"local result = Actor:playSoundSpecial(objid, name, type)"
40039,Actor de Juego,clearActorWithId,"Actor:clearActorWithId(actorid, bkill)","actorid:number, bkill:boolean",ErrorCode.OK,Borrar id de criatura cuya id es actorid,"local result = Actor:clearActorWithId(actorid, bkill)"
40040,Actor de Juego,setAttackType,"Actor:setAttackType(objid, attacktype)","objid:number, attacktype:number",ErrorCode.OK,Establecer el tipo de daño,"local result = Actor:setAttackType(objid, attacktype)"
40041,Actor de Juego,setImmuneType,"Actor:setImmuneType(objid, immunetype, isadd)","objid:number, immunetype:number, isadd:number",ErrorCode.OK,Definir el tipo de inmunidad al daño.,"local result = Actor:setImmuneType(objid, immunetype, isadd)"
40042,Actor de Juego,mountActor,"Actor:mountActor(objid, mountobjid, posindex)","objid:number, mountobjid:number, posindex:number ride",ErrorCode.OK,"Entra, sal del vehículo.","local result = Actor:mountActor(objid, mountobjid, posindex)"
40043,Actor de Juego,setActionAttrState,"Actor:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,"Definir comportamiento de criatura, atributo y estado","local result = Actor:setActionAttrState(objid, actionattr, switch)"
40044,Actor de Juego,tryNavigationToPos,"Actor:tryNavigationToPos(objid, x, y, z, cancontrol)","objid:number, x|y|z:number, cancontrol:boolean",ErrorCode.OK,Encuentra la manera de apuntar la ubicación,"local result = Actor:tryNavigationToPos(objid, x, y, z, cancontrol)"
40045,Actor de Juego,getRidingActorObjId,Actor:getRidingActorObjId(objid),objid:number,ErrorCode.OK,Obtener objid de Pferd,local result = Actor:getRidingActorObjId(objid)
50001,Jugador,getAttr,Player:getAttr(attrtype),"objid:number, atttype:number","ErrorCode.OK, value:number",nula,local result = Player:getAttr(attrtype)
50002,Jugador,setAttr,"Player:setAttr(attrtype, val)","objid:number, val:number, atttype:number",ErrorCode.OK,nula,"local result = Player:setAttr(attrtype, val)"
50003,Jugador,getHostUin,Player:getHostUin(),nil,"ErrorCode.OK, uin:number",Recibir el host,local result = Player:getHostUin()
50004,Jugador,isMainPlayer,Player:isMainPlayer(objid),objid:number,ErrorCode.OK is local player is local player,Detecta si eres jugador local.,local result = Player:isMainPlayer(objid)
50005,Jugador,getMainPlayerUin,Player:getMainPlayerUin(),nil,"ErrorCode.OK, uin:number",Consigue jugadores locales en,local result = Player:getMainPlayerUin()
50006,Jugador,getGameResults,Player:getGameResults(objid),objid:number,"ErrorCode.OK, value:number",Obtener el resultado del juego,local result = Player:getGameResults(objid)
50007,Jugador,setGameResults,"Player:setGameResults(objid, result)","objid:number, result",ErrorCode.OK,Establecer el resultado del partido,"local result = Player:setGameResults(objid, result)"
50008,Jugador,getGameScore,Player:getGameScore(objid),objid:number,"ErrorCode.OK, value:number",Obtener puntuación del juego,local result = Player:getGameScore(objid)
50009,Jugador,setGameScore,"Player:setGameScore(objid, score)",objid:number,"ErrorCode.OK, value:number",Establecer puntuación del juego,"local result = Player:setGameScore(objid, score)"
50010,Jugador,getGameRanking,Player:getGameRanking(objid),objid:number,"ErrorCode.OK, rank:number",Obtener puntuación de jugador,local result = Player:getGameRanking(objid)
50011,Jugador,setGameRanking,"Player:setGameRanking(objid, rank)","objid:number, rank:number",ErrorCode.OK,Establecer puntuación de jugador,"local result = Player:setGameRanking(objid, rank)"
50012,Jugador,gainItems,"Player:gainItems(objid, itemid, num, prioritytype)","objid:number, itemid:number, num:number, prioritytype:number(1 is shortcut bar prior 2 is backpack bar prior)",ErrorCode.OK,Añadir objetos a los jugadores.,"local result = Player:gainItems(objid, itemid, num, prioritytype)"
50013,Jugador,teleportHome,Player:teleportHome(objid),objid:number,ErrorCode.OK,Transferencia a punto de espirales,local result = Player:teleportHome(objid)
50014,Jugador,getCurToolID,Player:getCurToolID(objid),objid:number,"ErrorCode.OK, ret",Obtener identificación de,local result = Player:getCurToolID(objid)
50015,Jugador,getNickname,Player:getNickname(objid),objid:number,"ErrorCode.OK, name:string",Obtiene la ID del elemento que ocupa actualmente el jugador.,local result = Player:getNickname(objid)
50016,Jugador,removeBackpackItem,"Player:removeBackpackItem(objid, itemid, num)","objid:number, itemid:number, num:number",ErrorCode.OK,Quitar los artículos en la mochila.,"local result = Player:removeBackpackItem(objid, itemid, num)"
50017,Jugador,getDieTimes,Player:getDieTimes(objid),objid:number,"ErrorCode.OK, value:number",Obtener el número de muertos,local result = Player:getDieTimes(objid)
50018,Jugador,getLeftLifeNum,Player:getLeftLifeNum(objid),objid:number,"ErrorCode.OK, value:number",Consigue el número de vidas que quedan,local result = Player:getLeftLifeNum(objid)
50019,Jugador,setTeam,"Player:setTeam(objid, team)","objid:number, teamid:number",ErrorCode.OK,Establece el equipo de criaturas.,"local result = Player:setTeam(objid, team)"
50020,Jugador,getTeam,Player:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Consigue equipo de criaturas.,local result = Player:getTeam(objid)
50021,Jugador,getFoodLevel,Player:getFoodLevel(objid),objid:number,ErrorCode.OK,Consigue la saciedad actual,local result = Player:getFoodLevel(objid)
50022,Jugador,setFoodLevel,"Player:setFoodLevel(objid, foodLevel)","objid:number, foodLevel:number",ErrorCode.OK,Definir la saciedad actual.,"local result = Player:setFoodLevel(objid, foodLevel)"
50023,Jugador,getCurShotcut,Player:getCurShotcut(objid),objid:number,"ErrorCode.OK, scutIdx:number",Obtener barra de acceso directo actual,local result = Player:getCurShotcut(objid)
50024,Jugador,onCurToolUsed,"Player:onCurToolUsed(objid, num)","objid:number, num:number items number",ErrorCode.OK,Define el consumo de elementos retenidos por el jugador.,"local result = Player:onCurToolUsed(objid, num)"
50025,Jugador,setSkillCD,"Player:setSkillCD(objid, itemid, cd)","objid:number, itemid:number, cd:number",ErrorCode.OK,Conjunto de CD,"local result = Player:setSkillCD(objid, itemid, cd)"
50026,Jugador,reviveToPos,"Player:reviveToPos(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Jugador de reaparición en el punto designado,"local result = Player:reviveToPos(objid, x, y, z)"
50027,Jugador,setRevivePoint,"Player:setRevivePoint(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Cambia el punto de reaparición,"local result = Player:setRevivePoint(objid, x, y, z)"
50028,Jugador,playAct,"Player:playAct(objid, actid)","objid:number, actid:number动作id",ErrorCode.OK,Jugador comenzó dibujos animados,"local result = Player:playAct(objid, actid)"
50029,Jugador,notifyGameInfo2Self,"Player:notifyGameInfo2Self(objid, info)","objid:number, info:string text content",ErrorCode.OK,Mostrar textos en ventana emergente,"local result = Player:notifyGameInfo2Self(objid, info)"
50030,Jugador,useItem,"Player:useItem(objid, itemid, status, onshift)","objid:number, itemid:number, status:number state of using, onshift:boolean whether to press shift",ErrorCode.OK,Hacer que el jugador use el objeto actual,"local result = Player:useItem(objid, itemid, status, onshift)"
50031,Jugador,rotateCamera,"Player:rotateCamera(objid, yaw, pitch)","objid:number, yaw:number, pitch:number",ErrorCode.OK,Rotar la lente del jugador,"local result = Player:rotateCamera(objid, yaw, pitch)"
50032,Jugador,changeViewMode,"Player:changeViewMode(objid, viewmode, islock)","objid:number, viewmode:numberVIEWPORTTYPE, islock:boolean",ErrorCode.OK,Cambiar el modo de ángulo del jugador.,"local result = Player:changeViewMode(objid, viewmode, islock)"
50033,Jugador,setActionAttrState,"Player:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,"Definir comportamiento de criatura, atributo y estado","local result = Player:setActionAttrState(objid, actionattr, switch)"
50034,Jugador,checkActionAttrState,"Player:checkActionAttrState(objid, actionattr)","objid:number, actionattr:numberPLAYERATTR",ErrorCode.OK,"La alternancia de comportamiento del jugador, atributo y estado.","local result = Player:checkActionAttrState(objid, actionattr)"
50035,Jugador,getMaxHP,Player:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Obtener HP actual máximo,local result = Player:getMaxHP(objid)
50036,Jugador,getCurHP,Player:getCurHP(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Obtén el HP actual,local result = Player:getCurHP(objid)
50037,Jugador,getHpRecover,Player:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP se recupera,local result = Player:getHpRecover(objid)
50038,Jugador,getCurFood,Player:getCurFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Saciedad actual,local result = Player:getCurFood(objid)
50039,Jugador,getMaxOxygen,Player:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",[[,local result = Player:getMaxOxygen(objid)
50040,Jugador,getCurOxygen,Player:getCurOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Volumen actual de oxigeno,local result = Player:getCurOxygen(objid)
