ID,名称,描述,说明
1060013,Este projétil atinge o alvo,Quando este tipo de projétil atinge qualquer alvo,
1060014,Este projétil é criado ou consumido,Quando este tipo de projétil é criado ou consumido,
1060015,Este item é consumido,Quando este tipo de item é consumido,
1060016,Este pacote aberto,Quando este tipo de item de pacote é aberto,
1060017,Este equipamento é equipado,Quando este tipo de item de equipamento é equipado,
1060018,Este equipamento é removido,Quando este tipo de item de equipamento é desequipado,
1060019,Este equipamento é destruído,Quando este tipo de item de equipamento é destruído por jogadores ou criaturas,
1060020,Este item é usado,Quando este tipo de item é usado por jogadores,
1060021,Quando o drop é criado na maneira específica,Quando os drops são criados com %1,
1060022,Quando o drop é criado em qualquer maneira,Quando o drop é criado em qualquer maneira,
1070001,Efeito especial é criado no local,Quando o efeito especial é criado no local,
1070002,Efeito especial é criado no jogador,Quando o efeito especial é criado no jogador,
1070003,Efeito especial é criado na criatura,Quando o efeito especial é criado na criatura,
1070004,Efeito especial do projétil é criado,Quando o efeito especial é criado no projétil,
1070005,Quando o efeito especial é criado nos drops,Quando o efeito especial é criado nos drops,
1080001,Este estado é obtido por criaturas,Quando a criatura obtém este tipo de estado,
1080002,Este estado é removido das criaturas,Quando a criatura perde este tipo de estado,
1080003,Este estado é obtido por jogadores,Quando o jogador obtém este tipo de estado,
1080004,Este estado é removido dos jogadores,Quando o jogador perde este tipo de estado,
1090001,Esta formulação está completa,Quando a formulação deste tipo de receita está completa,
1090002,A formulação está completa,Quando a formulação desta receita está completa,
1100001,Fundição começa,Quando a fundição começa,
1100002,Fundição termina,Quando a fundição termina,
1100003,Esta fundição começa,Quando este tipo de fundição começa,
1100004,Esta fundição termina,Quando este tipo de fundição termina,
110001,Veículo do Jogador,Veículo de %1,
1110001,A trama começa,Quando a trama começa,
1110002,A trama termina,Quando a trama termina,
1110003,Esta trama começa,Quando esta trama começa,
1110004,Esta trama termina,Quando esta trama termina,
1120001,Tecla liberada,Qualquer tecla na interface atual é liberada,
1120002,Interface aberta,A interface atual está aberta,
1120003,Interface fechada,A interface atual está fechada,
1120004,Tecla pressionada,Qualquer tecla na interface atual é pressionada,
1120005,O jogador insere a cadeia na interface,Quando o jogador insere qualquer cadeia de caracteres na interface,
1120006,A tecla da interface atual é liberada,%1 da interface atual é liberada,
1120007,A tecla da interface atual é pressionada,%1 da interface atual é pressionada,
1120008,Quando o jogador insere conteúdo na caixa de entrada da interface atual,Quando o jogador insere conteúdo em %1 da interface atual,
1130001,Reproduzir Música,Quando a música da interface começa a tocar,
1140001,Comprar Assinatura (1 mês),Quando o jogador compra a assinatura de 1 mês,
1140002,Purchase Membership (3 Months),When player subscribed 3 months of Membership,
1140003,Qualquer jogador compra ou retira itens da Loja do Desenvolvedor,Quando o jogador compra ou retira itens da Loja do Desenvolvedor,
120001,Tipo aleatório de efeito especial,Tipo aleatório de efeito especial,
120002,Tipo de Efeito Especial,Tipo de Efeito Especial de %1,
120003,Tipo de Efeito Especial,Grupo de Tipo de Efeito Especial de %1,
130001,Obter o nome do espaço do anúncio atual,Obter o nome do espaço do anúncio atual,
140001,Tipo de Bloco,Tipo de Bloqueio de %1,
140002,Grupo de Tipo de Bloco,Grupo de Tipo de Bloco de %1,
140003,Nome de Tipo de Bloco,Nome do Tipo de %1,
140004,Descrição de Tipo de Bloco,Descrição de Plug-in de %1,
140005,Aparência de Tipo de Bloco,Aparência de %1,
150001,Caixa de Texto,"Caixa de texto com conteúdo de %1, tamanho da fonte de %2, opacidade de %3%, ID de %4, Quebra de linha automática %5",
150002,Texto Flutuante,"Texto flutuante com conteúdo de %1, tamanho da fonte de %2, ID de %3",
150003,Barra de Progresso,"Configurações da Barra de Progresso, Valor Atual: %1, Valor Máx.: %2, Cor da Barra: %3, ID: %4",
150004,Flecha apontando para o objeto alvo,"Seta apontando para %1, tamanho de %2, cor %3, ID de %4",
150005,Flecha apontando para a localização,"Seta apontando para %1, tamanho de %2, cor %3, ID de %4",
150006,Área do guia apontando para o objeto alvo,"Área de orientação apontando para %1, tamanho de %2, cor %3, ID de %4",
150007,Área do guia apontando para a localização,"Área de orientação apontando para %1, tamanho de %2, cor %3, ID de %4",
150008,Diretriz apontando para o objeto alvo,"Linha de orientação apontando para %1, tamanho de %2, cor %3, ID de %4",
150009,Diretriz apontando para a localização,"Linha de orientação apontando para %1, tamanho de %2, cor %3, ID de %4",
150010,Imagem,"Imagem é de %1, tamanho é de %2x, opacidade é de %3%, ID é de %4",
160001,Cor Aleatória,Cor Aleatória,
170001,Localização com números específicos no grupo de localização,ID de Localização de %2 em %1,
170002,Localização aleatória no grupo de localização,Localização Aleatória em %1,
180001,Área com números específicos no grupo de área,ID de Área %2 em %1,
180002,Área aleatória no grupo de área,Área Aleatória em %1,
190001,Valor com números específicos no grupo numérico,ID do Valor %2 em %1,
190002,Valor aleatório no grupo numérico,Valor Aleatório em %1,
190003,Obter o valor máximo em um grupo numérico,Obter o valor máximo em %1,
190004,Obter o valor mínimo em um grupo numérico,Obter o valor mínimo em %1,
200001,Cadeia de números específicos no grupo de cadeia,ID de Cadeia de %2 em %1,
200002,Cadeia aleatório no grupo de cadeia,Cadeira Aleatória em %1,
20001,Operação Numérica,%1%2%3,
20002,Restante,%1Mod%2,
20003,Número Aleatório,Gere números inteiros aleatórios: de %1 a %2,
20004,Máx.,%1 e %3 de %2,
20005,Divisão Exata,%2 dividido por %1,
20006,Coordenadas da Localização,Valor das coordenadas de %2 de %1,
20007,Ângulo Horizontal entre Locais,Ângulo horizontal entre %1 e %2,
20008,Ângulo Vertical entre Locais,Ângulo vertical entre %1 e %2,
20009,Exponenciação,%1 elevado à potência de %2,
20010,Radicação,%1 elevado à potência de %2,
20011,Valor Absoluto,Valor Absoluto de %1,
20012,Trigonometria,%1%2%3,
20013,Função de Registro de Base Fixa,%1%2,
20014,Função de Registro de Qualquer Base,Log%1%2,
20015,Rodada,%2%1,
20016,Converte o ângulo em radiano,Converter %1 para %2,
20019,exclusivo ou,%1 ou %2,
20020,Aritmética Avançada,%1%2%3,
2010001,Comparação de Valor,%1%2%3,
2010002,Número Aleatório,%1%2%3,
2010003,Máx. ou Mín.,%1%2%3,
2010004,Divisão Exata,%1%2%3,
2010005,Coordenadas da Localização,%1%2%3,
2010006,Ângulo Horizontal entre Locais,%1%2%3,
2010007,Ângulo Vertical entre Locais,%1%2%3,
2010008,Exponenciação,%1%2%3,
2010009,Radicação,%1%2%3,
2010010,Valor Absoluto,%1%2%3,
2010011,Trigonometria,%1%2%3,
2010012,Rodada,%1%2%3,
2010013,Converte o ângulo em radiano,%1%2%3,
2010018,Comparação de qualquer valor,%1%2%3,
2010019,.e.,%1 e %2,
2010020,.ou.,%1 ou %2,
2010021,.não.,Não %1,
2020001,Momento do Jogo,%1%2%3,
2020002,Número do Jogador,%1%2%3,
2020003,Determina o clima,%1%2%3,
2020004,Determina a gravidade,%1%2%3,
2020005,Determina o estado da ativação,%1 é o estado ativado,
2020006,Determina o estado do Grupo de Ativação,%1 é o estado ativado,
2030001,Determina o atributo da equipe,%1%2%3,
2040001,Determina o atributo do jogador,%1%2%3,
2040002,Número de itens Possuídos,%1%2%3,
2040003,Determina o ID do jogador no grupo de jogadores,%1%2%3,
2040004,Determina a equipe do jogador,%1%2%3,
2040005,Determina o jogador individual,%1%2%3,
2040006,Orientação do Jogador,%1%2%3,
2040007,Determina o grupo de jogadores,%1%2 está em %3,
2040008,Player is in area to determine,%1%2 is in %3,
2040009,Determina o efeito do estado do jogador,%1%2 está em %3,
2040010,Determina o emoji,%1%2 é %3,
2040011,Determina as configurações do jogador,%1's %2 é %3,
2040012,Selecione a tecla de Barra de Atalhos,%1%2%3,
2040013,Determina o tipo de item carregado,%1%2%3,
2040014,Determina a barra de equipamento,%1%2%3,
2040015,Determina se o jogador está equipado,%1%2 é equipado com %3,
2040016,Determina a aparência do jogador,%1%2%3,
2040017,Determina o espaço da mochila do jogador,A barra de atalhos e a mochila de %1 podem salvar %2 %3 como %4,
2040018,Determina os itens carregados pelo jogador na mochila,%3 of %1's %2 é %4,
2040019,Determina o tipo de objeto de destino,O tipo de objeto alvo no evento é %1 como %2,
2040020,Determina a amizade do jogador,%1%2 são amigos de %3,
2040021,Whether player follows the author,%1 has %2,
2050001,Número de Jogadores no Grupo de Jogadores,%1%2%3,
2050002,ID do Jogador no Grupo de Jogadores,%1%2%3,
2050003,Jogador com um número específico no grupo de jogadores,%1%2%3,
2060001,Atributos da Criatura,%1%2%3,
2060003,Determina a criatura do grupo,%1%2 está em %3,
2060004,Determina o tipo de criatura,%1%2%3,
2060005,Determina a criatura individual,%1%2%3,
2060006,Orientação da Criatura,%1%2%3,
2060007,Creature is in area to determine,%1%2 is in %3,
2060008,Determina o efeito do estado da criatura,%1%2 está em %3,
2060009,Determina a equipe da criatura,%1%2%3,
2060010,Determina o ID da criatura no grupo de criaturas,%1%2%3,
2060011,Determina as configurações da criatura,%1's %2 é %3,
2060012,Determina a aparência da criatura,%1%2%3,
2070001,Número de Criaturas no Grupo de Criaturas,%1%2%3,
2070002,Criatura com um número específico no grupo de criaturas,%1%2%3,
2080001,Determina o número de drops,%1%2%3,
2080002,As gotas estão na área,%1%2 está em %3,
2080003,Determina o tipo de item,%1%2%3,
2080004,Os projéteis estão na área,%1%2 está em %3,
2090001,A distância entre locais,%1%2%3,
2090002,Determina o tipo de bloco,%1%2%3,
2090003,Determina o estado do interruptor do bloco,O estado do interruptor do bloco de %1 é %2,
2090004,Determina a área do bloco,%1%2 está em %3,
2090005,Determina a orientação do bloco,Bloco %3 em %1 orientando %2,
2090006,Tipo de bloco na localização específica,Tipo de bloco %2%3 em %1,
2090007,Determina as configurações do bloco,%1's %2 é %3,
2100001,Determina o tempo do temporizador,%1%2%3,
2100002,Comparação de Valores Booleanos,%1%2%3,
2100003,Comparação de Cadeia,%1%2%3,
2100004,Determina o tipo de música,%1%2%3,
2100005,Determina usando o valor obtido na tabela do servidor,Determina %1 usando o valor obtido na tabela do servidor ou na tabela do servidor,"1. Realiza a ação de obter valores da tabela ou da tabela de classificação.
2. Todos os parâmetros do evento serão passados (tal como o jogador que acionou o evento e a criatura que acionou o evento, etc.)."
2100006,Determina o estado de associação do jogador,Mini Assinatura de %1%2 é %3,
210001,Valor booleano com um número específico no grupo booleano,%2 em %1 ID do valor booleano,
210002,Valores booleanos aleatórios em um grupo booleano,Valor booleano aleatório em %1,
2110001,Veículos Específicos do Jogador,%1%2%3,
2120001,Determina o efeito especial,%1%2%3,
2130001,Reproduzir o anúncio e determina,Anúncio atual termina. É determinado como %1,
2140001,Determina o efeito do estado,%1%2%3,
2140002,Determina o bloco,Detectado que %2 de %1 existe %3; modo de detecção %4 requer %5,
2140003,Pode executar determinação de bloco,Detectado que o bloco executável de %2 em %1 existe %3; modo de detecção %4 requer %5,
2140004,Determina o ambiente de execução,Detecta se uma aula está decorrendo,
2150001,Determina o componente,%4 de %1%2%3,
2150002,Determina a página,%1%2%3,
220001,Tipo de bloco com números específicos no grupo de tipo de bloco,ID de Tipo de Bloco de %2 em %1,
220002,Tipo de bloco aleatório no grupo de tipo de bloco,Tipo de Bloco Aleatório em %1,
221001,Detectar semelhança da área,"Detectar similaridade da área: área original de %1, origem de destino de %2, modo de detecção de %3",
221002,Grupo de tipo de bloco na área,Obter grupo de tipo de bloco em %1,
221003,Número total de blocos na área,Obter o número total de blocos em %1,
221004,Número de blocos de tipo específico na área,Obter o número de blocos de tipo %2 em %1,
230001,Tipo de item com números específicos no grupo de tipo de item,ID de Tipo de Item de %2 em %1,
230002,Tipos de item aleatórios no grupo de tipo de item,Tipo de Item Aleatório em %1,
240001,Tipo de criatura com números específicos no grupo de tipo de criatura,ID de Tipo de Criatura de %2 em %1,
240002,Tipo de criatura aleatória no grupo de tipo de criatura,Tipo de Criatura Aleatória em %1,
250001,Temporizador com números específicos no grupo de temporizador,ID de Temporizador de %2 em %1,
250002,Temporizador aleatório no grupo de temporizador,Temporizador Aleatório em %1,
260001,Tipo de efeito especial com números específicos no grupo de tipo de efeito especial,ID de Tipo de Efeito Especial de %2 em %1,
260002,Tipos de efeitos especiais aleatórios no grupo de tipos de efeitos especial,Tipo de Efeito Especial Aleatório em %1,
270004,Ícone de Tipo de Item,Ícone de %1,
270005,Ícone de Criatura,Ícone de %1,
270006,Ícone de Tipo de Criatura,Ícone de %1,
270007,Ícone de Estado,Ícone de %1,
270008,Ícone de Tipo de Bloco,Ícone de %1,
270009,Ícone do personagem atual do jogador,O ícone do personagem %1 atual,
270010,Obter o ícone da barra de atalhos do jogador,Ícone de %2 em %1 da barra de atalhos,
280001,Tipo de Projétil Aleatório,Tipo de Projétil Aleatório,
290001,Efeito Sonoro Aleatório,Efeito Sonoro Aleatório,
300001,Localização obtida pelo servidor,Localização obtida pelo servidor,
300002,Área obtida pelo servidor,Área obtida pelo servidor,
300003,Valor obtido pelo servidor,Valor obtido pelo servidor,
300004,Cadeia de caracteres obtida pelo servidor,Cadeia de caracteres obtida pelo servidor,
300005,Valor booleano obtido pelo servidor,Valor booleano obtido pelo servidor,
300006,Jogador obtido pelo servidor,Jogador obtido pelo servidor,
300007,Tipo de bloco obtido pelo servidor,Tipo de bloco obtido pelo servidor,
300008,Tipo de item obtido pelo servidor,Tipo de item obtido pelo servidor,
300009,Criatura obtida pelo servidor,Criatura obtida pelo servidor,
30001,Horário Atual do Jogo,Horário Atual do Jogo,
300010,Tipo de criatura obtida pelo servidor,Tipo de criatura obtida pelo servidor,
300011,Temporizador obtido pelo servidor,Temporizador obtido pelo servidor,
300012,Tipo de efeito especial obtido pelo servidor,Tipo de efeito especial obtido pelo servidor,
300013,Ranking obtido pela tabela de classificação,Ranking obtido pela tabela de classificação,
300014,Nome obtido pelo servidor (botões),Obter o nome do índice do servidor e da tabela de classificação (botões),
300015,Jogador obtido pelo servidor (botões),Obter os jogadores do índice do servidor e a tabela de classificação (botões),
30002,Equipe de Ranking Específico,Equipe classificada em %1,
30003,Multiplicador de Gravidade do Jogo Atual,Gravidade do Jogo Atual,
3010001,Definir o modo do clima global,Definir o modo do clima global para %1,
3010002,Definir a hora,Definir tempo do jogo para %1,
3010003,Definir a gravidade,Definir gravidade para %1,
