ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
55,Kumquat,"Um dos gêmeos fofos que acabaram de chegar ao Mini World. Os gêmeos são de um lugar rico. O Kumquat gosta de coletar frutas e folhas que caem e fazer coisas para os outros. De acordo com ele, compartilhar é o segredo para ser rico!",@Null@,@Null@,Avatar: desbloquear foto de perfil,Pegada: Deixa o padrão castanha quando passa.,,,
56,Nevada,"Um dos gêmeos fofos que acabam de chegar ao Mini World. Os gêmeos são de um lugar rico. A trabalhadora Snowe passa muito tempo ajudando os outros. Assim que chegou ao Mini World, espera poder fazer mais amigos e passar a força da riqueza para os outros.",@Null@,Efeitos no Corpo: flores espalhadas pelo corpo.,Avatar: desbloquear foto de perfil,Pegada: deixando o padrão de nó chinês quando ela passa.,,,
57,Avô Lin,"Ele parece um garoto desleixado. Na verdade, ele é o poderoso senhor da Cidade do Norte e também o professor de Jinyi, Assassin Li e An. Depois de tantos anos de luta, agora ele não presta atenção aos assuntos da vida humana.",Desbloq. pelo Evento,@Null@,Avatar: desbloquear foto de perfil,Pegada: deixando o padrão de abóbora quando passa.,,,
58,Bumblebee,"Eu sou Bumblebee, seu melhor amigo! Contribuirei com tudo na minha vida para o Optimus Prime",@Null@,Efeito no corpo: Pode ser transformado como você queira,Avatar: desbloquear foto de perfil,Pegada: Você deixará símbolos do lado dele quando ele passar.,#cda5b0a Transformação: clique no botão à direita para alternar o formulário #n,#cda5b0a Habilidade exclusiva do Transformers: Bumblebee Corte！#n,
59,Fada das Flores,"Fada da flor gosta de passear no jardim. Ela planta muitas flores em torno de sua casa. As crianças que passam são atraídas pela frangância. Desta vez, ela ouve que o poder da estrela mágica mudará as flores. Como jardineira, ela está muito feliz por vir.",@Null@,Efeito do corpo: cercado pela luz das estrelas,Avatar: desbloquear foto de perfil,@Null@,,,
60,Arell,"Arell, tem o poder de realizar sonhos. Arell ouvirá isso e criará um novo mundo com ele.",@Null@,Efeito do corpo: Rodeado por Arco-íris,Avatar: desbloquear foto de perfil,@Null@,,,
61,Leoparda da Neve,"Nascida na montanha de neve, mostra grande coragem ao defender sua casa",Desbloq. pelo Evento,Efeito do corpo: Rodeada pela neve,Avatar: desbloquear foto de perfil,@Null@,,,
62,Ellie,Ellie é levada para o país das maravilhas por uma carta de pôquer. Esta é uma aventura desconhecida. Mas o Sr.Coelho é o melhor companheiro. Ele sempre estará ao lado dela.,@Null@,Efeito do corpo: Rodeado por flores,Avatar: desbloquear foto de perfil,@Null@,,,
63,Sapo Ninja,"Sapo Ninja começou a aprender ninjutsu em uma idade jovem. Agora ele se tornou um mestre, mas o tempo que ele mais sente falta é quando fica deitado à beira da lagoa.",Desbloq. pelo Evento,@Null@,Avatar: desbloquear foto de perfil,Pegada: Deixando o padrão do sapo quando passa,,,
64,Starscream,Starscream thinks that he is born to be the leader of Decepticon. He has a sharp tongue and often contends for power and profit with Megatron. His behavior often makes Megatron really annoyed,@Null@,Efeito no corpo: Pode ser transformado como você queira,Avatar: desbloquear foto de perfil,Pegada: Você deixará símbolos do lado dele quando ele passar.,#cda5b0a Transformação: clique no botão à direita para alternar o formulário #n,#cda5b0aHabilidade Exclusiva： Alerta Aéreo#n,
65,Hot Rod,"He is calm and full of responsibility. He is the future leader of the Autobot, the new hope of peace in the universe. No matter how dangerous the situation is, he will act immediately without hesitation.",@Null@,Efeitos no corpo: Pode ser transformado como você queira,Avatar: desbloquear foto de perfil,Pegada: Você deixará símbolos do lado dele quando ele passar.,#cda5b0a Transformação: clique no botão à direita para alternar o formulário #n,#cda5b0a Transformação: clique no botão à direita para alternar o formulário #n,
66,Galvatron,He is stronger and more cruel than the Megatron. His self-confidence and ambition of conquest and rule are unmatched. He is the embodiment of power. The entire universe cannot satisfy the appetite of this ruthless tyrant.,@Null@,Efeitos no corpo: Pode ser transformado como você queira,Avatar: desbloquear foto de perfil,Pegada: Você deixará símbolos do lado dele quando ele passar.,#cda5b0a Transformação: clique no botão à direita para alternar o formulário #n,#cda5b0aHabilidade Transformers: Laser de Fusão!#n,
67,Raul,"Caminhando entre virtual e realidade, Raúl resolve todos os problemas. O tempo fará as pessoas crescerem, e o crescimento é a resposta definitiva para o problema.",Desbloq. pelo Evento,Efeitos no Corpo: Rodeado por personagens,Avatar: desbloquear foto de perfil,@Null@,,,
68,Lynn,Lynn gosta de levar sua amiga Cube entre o virtual e o real. Explorar o mundo e desfrutar da diversão significa muito para ela. Ela nunca para e sempre procura a luz neon que pode tocá-la.,Desbloq. pelo Evento,Efeitos no Corpo: Rodeado por partículas roxas,Avatar: desbloquear foto de perfil,@Null@,,,
69,Cyan,"Como descendente da primeira oficina de zongzi do mundo, Cyan, e os pais fazem um acordo, desde que Cyan possa manter a reputação da oficina de Zongzi, ela poderá continuar aprendendo guzheng. Herdar a oficina de Zongyi e se tornar um mestre de guzheng não são conflitantes para Cyan, porque ela quer as duas coisas.",@Null@,Efeitos no Corpo: Rodeado por Folhas,Avatar: desbloquear foto de perfil,@Null@,,,
70,Twilight Sparkle,Twilight Sparkle é o mais experiente. Ela gosta de ler e tem liderança. A Princesa Celestia ajuda-a a aprender a magia da amizade e a criar mais.,@Null@,Efeitos no Corpo: Rodeado por partículas mágicas,Avatar: desbloquear foto de perfil,@Null@,,,
71,Princesa Celestia,"Ela, a governante do Reino de Equestria, tem o grande poder mágico. Mas ela é uma garota fofa e muito descontraída. Bolo é sempre o seu favorito.",@Null@,Efeitos no Corpo: Rodeado por partículas douradas,Avatar: desbloquear foto de perfil,@Null@,,,
72,Fluttershy,Fluttershy vive em uma cabana de madeira nos limites da Vila do Ponei e faz amizade com vários animais. Ela frequentemente os instrui a agirem juntos como o símbolo da bondade em harmonia,@Null@,Efeitos no Corpo: Rodeado por partículas douradas,Avatar: desbloquear foto de perfil,@Null@,,,
73,Princesa Luna,"Princesa Luna é a irmã da princesa Celestia. O segundo governante de Equestria, que se encarrega da noite, sonho e lua nascendo. Ela costuma salvar os pôneis em pesadelos. Ela parece misteriosa e distante, mas é gentil mesmo.",Desbloq. pelo Evento,Efeitos no Corpo: Rodeado pelo Padrão da Lua,Avatar: desbloquear foto de perfil,@Null@,,,
74,Grimlock,Grimlock é o comandante dos dinobots e também o mais poderoso. Sua personalidade imprudente deixa os autobos muito ansiosos. Mas ele também lidera os dinobots e salva os autobots muitas vezes.,Desbloq. pelo Evento,Efeitos no Corpo: Faíscas Eletromagnéticas,Avatar: desbloquear foto de perfil,Pegada: Você deixará símbolos do lado dele quando ele passar.,#cda5b0aConverter: clique no botão no lado direito para mudar o formulário de autobot/dinobot!#n,#cda5b0aHabilidade Exclusiva Transformers: Rugido do Dragão!#n,
75,Swoop,"Swoop tem o comportamento imprudente às vezes são realmente irritantes. Mas, de fato, ele é um guerreiro de bom coração.",@Null@,Efeitos no Corpo: Faíscas Eletromagnéticas,Avatar: desbloquear foto de perfil,Pegada: Você deixará símbolos do lado dele quando ele passar.,#cda5b0aConverter: clique no botão no lado direito para mudar o formulário de autobot/dinobot!#n,#cda5b0aHabilidade Exclusiva Transformers: Asa Rápida!#n,
76,Snarl,Snarl é um cara fora do grupo. Ele gosta de deixar os outros lidarem com questões estratégicas. Ele só precisa seguir o despacho de Grimlock e participar da guerra. Isso também o torna o lutador mais poderoso de Grimlock no campo de batalha,@Null@,Efeitos no Corpo: Faíscas Eletromagnéticas,Avatar: desbloquear foto de perfil,Pegada: Você deixará símbolos do lado dele quando ele passar.,#cda5b0aConverter: Clique no botão no lado direito para mudar o formulário de autobot/dinobot!#n,#cda5b0aHabilidade Exclusiva do Transformers: Varredura de Osso!#n,
77,Leonardo,Dizem que ele é um pintor viajante que usa a magia das cores para purificar o mundo. As cores quentes são variáveis e as cores frias são silenciosas. O mesmo vale para Leonardo: a combinação de laranja e azul é exatamente como a calma e o entusiasmo de seu personagem,Desbloq. pelo Evento,@Null@,Avatar: desbloquear foto de perfil,Pegada: deixando pigmento azul quando passar,,,
78,Thalía,Troque suas coisas preciosas comigo! Vou te dar tudo o que você sonhar! Cartas assinadas por Thalia são enviadas para as pessoas que gostam de magia no mini universo. Há também uma ilha flutuante e uma bela e misteriosa Rainha Thalia no Planeta Offa!,Obtido no Gacha,Efeitos no Corpo: rodeado por uma flor roxa,Avatar: desbloquear foto de perfil,Pegada: deixando pigmento rosa quando ela passa,,,
79,Uta,"Raramente alguém consegue encontrar o Uta. Durante certas estações, ele aparecia e usava magia para curar as doenças da tribo e banir pesadelos. Sua adivinhação e medicina eram tão eficazes e ainda assim tão misteriosas. Ele era um eremita e um filho digno da floresta.",@Null@,Efeitos no Corpo: rodeado por personagem de bruxaria,Avatar: desbloquear foto de perfil,@Null@,,,
80,Sr. Coelho Laby,"A maior alegria do Laby é sua habilidade de viajar de planeta em planeta como Sr. Coelho. Mas Ellie parece ser capaz de ver através de seu disfarce. Um cartão caído por acaso os reúne e uma aventura maravilhosa começa. É esta a magia do poker? Não, é a magia do destino!",Desbloq. pelo Evento,Efeito Corporal: rodeado por coelho padrão,Avatar: desbloquear foto de perfil,@Null@,#cd65b00Converter: Clique no botão para alternar entre modo coelho/ humano!#n,#cd65b00Habilidade: Rápido!!#n,
81,Pinkie Pie,"Pinkie Pie é o mais famoso “pônei de festa” e tem uma energia extraordinária. Ela tem uma personalidade alegre, adora brincadeiras e canto",@Null@,Efeito Corporal: rodeado por corações rosa,Avatar: desbloquear foto de perfil,@Null@,,,
82,Carol,"Carol adora doces. Quando ela anda pela rua, o dono de uma loja de doces a leva para dentro. Ela também encontra o pequeno fantasma e aprende magia lá. O pote de açúcar da Carol com certeza vai te surpreender!",@Null@,Efeito Corporal: rodeado por magia de luz,Avatar: desbloquear foto de perfil,@Null@,,,
83,Jerry,"Jerry é cheio de ideias caprichosas, sempre consegue combinar vários ingredientes para produzir os alimentos mais inesperados.",Obtido no Gacha,@Null@,Avatar: desbloquear foto de perfil,Pegada: deixará marcas de pegada nos lugares que você caminhou.,,,
84,Squid,"Squid não quer viver no fundo do mar para sempre. O mar é vasto, mas ele prefere flutuar na superfície e observar as estrelas brilhantes.",Obtido no Gacha,Efeito Corporal: rodeado por deriva de rotação,Avatar: desbloquear foto de perfil,@Null@,,,
85,Urso Gigi,"A vida é uma aventura e também um desafio. O perigo pode ajudá-lo a se endireitar. Você não será abandonado pelo tempo se continuar correndo. Se você quer desafiar o impossível, vá em uma aventura com o Urso Gigi.",Obtido no Gacha,@Null@,Avatar: desbloquear foto de perfil,Pegada: deixando pegada de urso quando ele passa,,,
86,Starlight Glimmer,"Ela possui uma habilidade mágica poderosa não menos que Twilight Sparkle, tentando estabelecer uma cidade ""utópica"". Ela agora se torna amiga dos outros pôneis e da diretora da Escola da Amizade.",@Null@,Efeito corporal: rodeado pela luz azul das estrelas,Avatar: desbloquear foto de perfil,@Null@,,,
87,Rainbow Dash,Rainbow Dash é corajosa e extrovertida. Ela é uma grande fã de aventura e brincadeira. Ela voa muito rápido e tem cauda de arco-íris. Ela representa “lealdade” no elemento de harmonia.,@Null@,Efeito corporal: Possui cauda de arco-íris,Avatar: desbloquear foto de perfil,@Null@,,,
88,Princess Cadence,"Ela costumava ser a aluna linda, gentil e atenciosa da Princesa Celestia. Ela se torna a guardiã do Império do Cristal ao derrotar o Rei Sombra. A marca fofa também é um símbolo do Império de Cristal, representando amor e luz.",@Null@,Efeito corporal: rodeado por cristal,Avatar: desbloquear foto de perfil,@Null@,,,
89,Audrey,"Audrey, da escola de magia, sempre não mede esforços para recomendar magia sobre insetos. Sua diligência a ajuda a ganhar o favor de Mísia.",@Null@,Efeito corporal: rodeado por uma borboleta brilhante,Avatar: desbloquear foto de perfil,Pegada: deixando pegada de borboleta quando ela passa,,,
90,Predaking,"Predaking é a fusão feroz de todos os cinco Predacons com habilidades superiores e a máquina de guerra mais mortal dos Decepticons. Como guerreiro, é invencível, como arma, é indestrutível.",@Null@,Efeito Corporal Especial: Pode ser transformado como você queira,Avatar: Desbloquear Avatar,Pegadas: Você deixará símbolos do lado dele quando ele passar.,#cda5b0a DeformaĂ § ĂŁo: Clique no botĂŁo DeformaĂ § ĂŁo Ă esquerda para mudar o modo de combinaĂ § ĂŁo multiplayer! #n,#cda5b0a Habilidad Exclusiva de Transformer: Fuerza Viciosa!#n,
91,Razorclaw,@Null@,@Null@,Efeito Corporal Especial: Pode ser transformado como você queira,Avatar: Desbloquear Avatar,Pegadas: Você deixará símbolos do lado dele quando ele passar.,,,
92,Headstrong,@Null@,@Null@,Efeito Corporal Especial: Pode ser transformado como você queira,Avatar: Desbloquear Avatar,Pegadas: Você deixará símbolos do lado dele quando ele passar.,,,
93,Tantrum,@Null@,@Null@,Efeito Corporal Especial: Pode ser transformado como você queira,Avatar: Desbloquear Avatar,Pegadas: Você deixará símbolos do lado dele quando ele passar.,,,
94,Rampage,@Null@,@Null@,Efeito Corporal Especial: Pode ser transformado como você queira,Avatar: Desbloquear Avatar,Pegadas: Você deixará símbolos do lado dele quando ele passar.,,,
95,Divebomb,@Null@,@Null@,Efeito Corporal Especial: Pode ser transformado como você queira,Avatar: Desbloquear Avatar,Pegadas: Você deixará símbolos do lado dele quando ele passar.,,,
96,Superion,Superion é o primeiro combinador Autobot que compõe os Aerialbots. Ele age com base em dois princípios: Destrua os Decepticons e Proteja os Inocentes.,@Null@,Efeito Corporal Especial: Pode ser transformado como você queira,Avatar: Desbloquear Avatar,Pegadas: Você deixará símbolos do lado dele quando ele passar.,#cda5b0aTransformar: Clique no botão Transformar à direita para transformar em Combinar Forma! #n,#cda5b0aHabilidade Exclusiva Transformers：Força Destemida！#n,
97,Silverbolt,@Null@,@Null@,Efeito Corporal Especial: Pode ser transformado como você queira,Avatar: Desbloquear Avatar,Pegadas: Você deixará símbolos do lado dele quando ele passar.,,,
98,Slingshot,@Null@,@Null@,Efeito Corporal Especial: Pode ser transformado como você queira,Avatar: Desbloquear Avatar,Pegadas: Você deixará símbolos do lado dele quando ele passar.,,,
99,Skydive,@Null@,@Null@,Efeito Corporal Especial: Pode ser transformado como você queira,Avatar: Desbloquear Avatar,Pegadas: Você deixará símbolos do lado dele quando ele passar.,,,
100,Air Raid,@Null@,@Null@,Efeito Corporal Especial: Pode ser transformado como você queira,Avatar: Desbloquear Avatar,Pegadas: Você deixará símbolos do lado dele quando ele passar.,,,
101,Fireflight,@Null@,@Null@,Efeito Corporal Especial: Pode ser transformado como você queira,Avatar: Desbloquear Avatar,Pegadas: Você deixará símbolos do lado dele quando ele passar.,,,
102,Shengying,Sou o lanceiro número um em toda a zona celestial. Venha lutar comigo se você não acredita.,Obtido no Gacha,Pegada: deixa uma enorme pegada celestial,Avatar: Desbloquear Avatar,@Null@,,,
103,Moyan,Eu sou o Senhor do Fogo. Resplandecendo tudo em meu caminho é meu credo.,@Null@,Efeito Corporal: Emite a aura de um Rei Demônio,Avatar: Desbloquear Avatar,@Null@,#cd65b00Transformar: Clique no botão Transformar para alternar entre a forma Touro/Humano! #n,#cd65b00Transformar: Clique no botão Transformar para alternar entre a forma Touro/Humano! #n,
104,Lingyao,"Diz a lenda que dentro do palácio do Deus do Vento vivia uma senhora bonita e elegante. Oh, deve ser eu.",@Null@,Efeito Corporal: pétalas de flores douradas flutuam ao seu redor,Avatar: Desbloquear Avatar,@Null@,,,
105,Ash,"Ash garante que suas aparências estejam em ótimas condições todas as manhãs, para combinar com o status nobre de seu Unicórnio. Ultimamente, muitos estão de olho no Unicórnio, ela nunca vai entregar esse precioso presente de aniversário do Lobo para ninguém!",@Null@,Pegada: deixando rastros de pegadas da Chapeuzinho Vermelho,Avatar: Desbloquear Avatar,@Null@,,,
106,Mini Cool,"Um instrutor da Mini Coding, equipado com os poderes mágicos da programação.",Obtido no Gacha,Efeito Corporal: Partículas científicas flutuando ao seu redor,Avatar: Desbloquear Avatar,Pegada: deixará marcas de pegada nos lugares que você caminhou.,,,
