接口ID,巴西葡萄牙语,巴西葡萄牙语,巴西葡萄牙语,巴西葡萄牙语,巴西葡萄牙语,巴西葡萄牙语,巴西葡萄牙语
20023,Mundo,spawnItem,"World:spawnItem(x, y, z, itemid, num)","x|y|z:number, itemid:number, num:number","ErrorCode.OK, objid:number",Gerar itens em localização designada,"local xPos, yPos, zPos = 5, 6, 7
local itemId, itemCnt = 15003, 30 --Item's id and number
local ret, objIds = World:spawnItem(xPos, yPos, zPos, itemId, itemCnt)
if ret == ErrorCode.OK then print(""Item[1]====>>>"", objIds[1]) end"
20024,Mundo,despawnItemByBox,"World:despawnItemByBox(x1, y1, z1, x2, y2, z2)","x1|y1|z1:number starting point, x2|y2|z2:number ending point",ErrorCode.OK,Remover itens (por região),"local x1, y1, z1 = -5, 5, -5
local x2, y2, z2 = 15, 9, 15
local result = World:despawnItemByBox(x1,y1,z1, x2,y2,z2)
if result == ErrorCode.OK then print('Successfully remove Item in designate region') end"
20025,Mundo,despawnItemByObjid,World:despawnItemByObjid(objid),objid:number,ErrorCode.OK,Remover item (por ID),"local result = World:despawnItemByObjid(objIds[1])
if result == ErrorCode.OK then print('Successfully remove designate item') end"
20026,Mundo,spawnProjectile,"World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)","shooter:number, itemid:number, x|y|z:number, dirx|diry|dirz:number, speed:number",ErrorCode.OK,Gerar Projétil,"local result = World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)"
30001,Bloco,isSolidBlock,"Block:isSolidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Se o bloco é entidade,"local result = Block:isSolidBlock(x, y, z)"
30002,Bloco,isLiquidBlock,"Block:isLiquidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Se o bloco é fluido,"local result = Block:isLiquidBlock(x, y, z)"
30003,Bloco,isAirBlock,"Block:isAirBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Se o bloco é de ar,"local result = Block:isAirBlock(x, y, z)"
30004,Bloco,getBlockID,"Block:getBlockID(x, y, z)",x|y|z:number,"ErrorCode.OK, id:number",Obtenha o id de bloco correspondente,"local result = Block:getBlockID(x, y, z)"
30005,Bloco,setBlockAll,"Block:setBlockAll(x, y, z, blockid, data)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Defina a atualização do blockalldata e informe,"local result = Block:setBlockAll(x, y, z, blockid, data)"
30006,Bloco,destroyBlock,"Block:destroyBlock(x, y, z, dropitem)","x|y|z:number, dropitem:boolean",ErrorCode.OK,Destrua o bloco,"local result = Block:destroyBlock(x, y, z, dropitem)"
30007,Bloco,placeBlock,"Block:placeBlock(blockid, x, y, z, face)","blockid:number, x|y|z:number, face:number","ErrorCode.OK, ret:boolean whether it is placed right",Coloque o bloco,"local result = Block:placeBlock(blockid, x, y, z, face)"
30008,Bloco,setBlockAllForUpdate,"Block:setBlockAllForUpdate(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Defina blockalldata e informe blocos adjacentes,"local result = Block:setBlockAllForUpdate(x, y, z, blockid)"
30009,Bloco,setBlockAllForNotify,"Block:setBlockAllForNotify(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Defina blockalldata e atualize os blocos de localização atuais,"local result = Block:setBlockAllForNotify(x, y, z, blockid)"
30010,Bloco,setBlockSettingAttState,"Block:setBlockSettingAttState(blockid, atttype, switch)","blockid:number, atttype:BLOCKATTR, switch:boolean",ErrorCode.OK,Definir atributo e estado do bloco,"local result = Block:setBlockSettingAttState(blockid, atttype, switch)"
30011,Bloco,getBlockSwitchStatus,Block:getBlockSwitchStatus(pos),x|y|z:number,"ErrorCode.OK, isactive:boolean",Obter estado on-off do bloco de funções,local result = Block:getBlockSwitchStatus(pos)
30012,Bloco,setBlockSwitchStatus,"Block:setBlockSwitchStatus(pos, isactive)","x|y|z:number, isactive:boolean",ErrorCode.OK,Definir estado on-off do bloco de funções,"local result = Block:setBlockSwitchStatus(pos, isactive)"
40001,Ator de Jogo,isPlayer,Actor:isPlayer(objid),objid,ErrorCode.OK is player is player,Detectar se é um jogador,local result = Actor:isPlayer(objid)
40002,Ator de Jogo,isMob,Actor:isMob(objid),objid,ErrorCode.OK is monster is monster,Detectar se é um monstro,local result = Actor:isMob(objid)
40003,Ator de Jogo,getObjType,Actor:getObjType(objid),objid,"ErrorCode.OK, objtype:number",Obtém o tipo de ator: criatura/jogador...,local result = Actor:getObjType(objid)
40004,Ator de Jogo,isInAir,Actor:isInAir(objid),objid:number,ErrorCode.OK,Se estiver no ar,local result = Actor:isInAir(objid)
40005,Ator de Jogo,getPosition,Actor:getPosition(objid),objid,"ErrorCode.OK, x|y|z:number",Obter a localização do ator,local result = Actor:getPosition(objid)
40006,Ator de Jogo,setPosition,"Actor:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Definir a localização do ator,"local result = Actor:setPosition(objid, x, y, z)"
40007,Ator de Jogo,jump,Actor:jump(objid),objid:number,ErrorCode.OK,Saltar,local result = Actor:jump(objid)
40008,Ator de Jogo,killSelf,Actor:killSelf(objid),objid:number,ErrorCode.OK,Mate-se,local result = Actor:killSelf(objid)
40009,Ator de Jogo,getCurPlaceDir,Actor:getCurPlaceDir(objid),objid:number,"ErrorCode.OK, dir:number",Obter a direção atual,local result = Actor:getCurPlaceDir(objid)
40010,Ator de Jogo,tryMoveToActor,"Actor:tryMoveToActor(self_objid, target_objid, speed)","self_objid:number, target_objid:number, speed:number",ErrorCode.OK,Mova-se para o ator alvo,"local result = Actor:tryMoveToActor(self_objid, target_objid, speed)"
40011,Ator de Jogo,tryMoveToPos,"Actor:tryMoveToPos(objid, x, y, z, speed)","objid:number, x|y|z:number, speed:number",ErrorCode.OK,Mova-se para o ator alvo,"local result = Actor:tryMoveToPos(objid, x, y, z, speed)"
40012,Ator de Jogo,addBuff,"Actor:addBuff(objid, buffid, bufflv, customticks)","objid:number, buffid:number, bufflv:number, customticks:number",ErrorCode.OK,Obter Buff,"local result = Actor:addBuff(objid, buffid, bufflv, customticks)"
40013,Ator de Jogo,hasBuff,"Actor:hasBuff(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ret:boolean",Se tiver algum buff,"local result = Actor:hasBuff(objid, buffid)"
40014,Ator de Jogo,removeBuff,"Actor:removeBuff(objid, buffid)","objid:number, buffid:number",ErrorCode.OK,Excluir o buff,"local result = Actor:removeBuff(objid, buffid)"
40015,Ator de Jogo,clearAllBuff,Actor:clearAllBuff(objid),objid:number,ErrorCode.OK,Limpar todo o buff,local result = Actor:clearAllBuff(objid)
40016,Ator de Jogo,clearAllBadBuff,Actor:clearAllBadBuff(objid),objid:number,ErrorCode.OK,Limpar todo o buff negativo,local result = Actor:clearAllBadBuff(objid)
40017,Ator de Jogo,getBuffList,Actor:getBuffList(objid),objid:number,"ErrorCode.OK, num:numberbuff number, array:tablebuffid array",Obter a lista de buff,local result = Actor:getBuffList(objid)
40018,Ator de Jogo,getBuffLeftTick,"Actor:getBuffLeftTick(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ticks:number",Obtenha o itck restante do buff correspondente do índice atual,"local result = Actor:getBuffLeftTick(objid, buffid)"
40019,Ator de Jogo,addHP,"Actor:addHP(objid, hp)","objid:number, hp:number",ErrorCode.OK,Aumentar HP atual,"local result = Actor:addHP(objid, hp)"
40020,Ator de Jogo,getHP,Actor:getHP(objid),objid:number,"ErrorCode.OK, value:number",Obtenha o HP atual,local result = Actor:getHP(objid)
40021,Ator de Jogo,getMaxHP,Actor:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Obter o HP max atual,local result = Actor:getMaxHP(objid)
40022,Ator de Jogo,addOxygen,"Actor:addOxygen(objid, oxygen)","objid:number, oxygen:number",ErrorCode.OK,Aumentar o volume de oxigênio,"local result = Actor:addOxygen(objid, oxygen)"
40023,Ator de Jogo,getOxygen,Actor:getOxygen(objid),objid:number,"ErrorCode.OK, value:number",Obter volume de oxigênio,local result = Actor:getOxygen(objid)
40024,Ator de Jogo,addEnchant,"Actor:addEnchant(objid, slot, enchantId, enchantLevel)","objid:number, slot:number, enchantId:number, enchantLevel:number",ErrorCode.OK,Aumentar o encanto do equipamento correspondente,"local result = Actor:addEnchant(objid, slot, enchantId, enchantLevel)"
40025,Ator de Jogo,removeEnchant,"Actor:removeEnchant(objid, slot, enchantId)","objid:number, slot:number, enchantId:number",ErrorCode.OK,Encantamento claro do equipamento correspondente,"local result = Actor:removeEnchant(objid, slot, enchantId)"
40026,Ator de Jogo,findNearestBlock,"Actor:findNearestBlock(objid, blockid, blockRange)","objid:number, blockid:number, blockRange","ErrorCode.OK, x|y|z:number",Encontre o id do bloco mais próximo,"local result = Actor:findNearestBlock(objid, blockid, blockRange)"
40027,Ator de Jogo,setFaceYaw,"Actor:setFaceYaw(objid, yaw)","objid:number, yaw:number angle",ErrorCode.OK,Definir o ângulo de desvio transversal da visão do ator,"local result = Actor:setFaceYaw(objid, yaw)"
40028,Ator de Jogo,getFaceYaw,Actor:getFaceYaw(objid),objid:number,"ErrorCode.OK, yaw:number",Obter o ângulo de desvio transversal da visão do ator,local result = Actor:getFaceYaw(objid)
40029,Ator de Jogo,turnFaceYaw,"Actor:turnFaceYaw(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Alterar o ângulo de desvio transversal do ator,"local result = Actor:turnFaceYaw(objid, offset)"
40030,Ator de Jogo,setFacePitch,"Actor:setFacePitch(objid, pitch)","objid:number, pitch:number upward view",ErrorCode.OK,Definir o ângulo ascendente da visão do ator,"local result = Actor:setFacePitch(objid, pitch)"
40031,Ator de Jogo,getFacePitch,Actor:getFacePitch(objid),objid:number,"ErrorCode.OK, pitch:number",Obter o ângulo ascendente da visão do ator,local result = Actor:getFacePitch(objid)
40032,Ator de Jogo,turnFacePitch,"Actor:turnFacePitch(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Alterar o ângulo de desvio ascendente do ator,"local result = Actor:turnFacePitch(objid, offset)"
40033,Ator de Jogo,playBodyEffect,"Actor:playBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Comece os efeitos,"local result = Actor:playBodyEffect(objid, type)"
40034,Ator de Jogo,stopBodyEffect,"Actor:stopBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Pare os efeitos,"local result = Actor:stopBodyEffect(objid, type)"
40035,Ator de Jogo,playBodyEffectByFile,"Actor:playBodyEffectByFile(objid, filename, sync)","objid:number, filename:string file name, sync:bool synchronize",ErrorCode.OK,Jogue os efeitos do arquivo,"local result = Actor:playBodyEffectByFile(objid, filename, sync)"
40036,Ator de Jogo,stopBodyEffectByFile,"Actor:stopBodyEffectByFile(objid, filename)","objid:number, filename:string file name",ErrorCode.OK,Pare os efeitos do arquivo,"local result = Actor:stopBodyEffectByFile(objid, filename)"
40037,Ator de Jogo,playSound,"Actor:playSound(objid, name, volume, pitch, flag)","objid:number, name:string, volume:number, pitch:number, flag:number",ErrorCode.OK,Tocar música,"local result = Actor:playSound(objid, name, volume, pitch, flag)"
40038,Ator de Jogo,playSoundSpecial,"Actor:playSoundSpecial(objid, name, type)","objid:number, name:string, type:number designate name (GSOUND_TYPE)",ErrorCode.OK,Tocar Música(specific type:GSOUND_TYPE),"local result = Actor:playSoundSpecial(objid, name, type)"
40039,Ator de Jogo,clearActorWithId,"Actor:clearActorWithId(actorid, bkill)","actorid:number, bkill:boolean",ErrorCode.OK,Limpar o id da criatura cujo id é o actorid,"local result = Actor:clearActorWithId(actorid, bkill)"
40040,Ator de Jogo,setAttackType,"Actor:setAttackType(objid, attacktype)","objid:number, attacktype:number",ErrorCode.OK,Defina o tipo de dano,"local result = Actor:setAttackType(objid, attacktype)"
40041,Ator de Jogo,setImmuneType,"Actor:setImmuneType(objid, immunetype, isadd)","objid:number, immunetype:number, isadd:number",ErrorCode.OK,Defina o tipo de imunidade a danos,"local result = Actor:setImmuneType(objid, immunetype, isadd)"
40042,Ator de Jogo,mountActor,"Actor:mountActor(objid, mountobjid, posindex)","objid:number, mountobjid:number, posindex:number ride",ErrorCode.OK,"Entrar, sair do veículo","local result = Actor:mountActor(objid, mountobjid, posindex)"
40043,Ator de Jogo,setActionAttrState,"Actor:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,"Definir o comportamento, atributo e estado da criatura","local result = Actor:setActionAttrState(objid, actionattr, switch)"
40044,Ator de Jogo,tryNavigationToPos,"Actor:tryNavigationToPos(objid, x, y, z, cancontrol)","objid:number, x|y|z:number, cancontrol:boolean",ErrorCode.OK,Encontre o caminho para segmentar o local,"local result = Actor:tryNavigationToPos(objid, x, y, z, cancontrol)"
40045,Ator de Jogo,getRidingActorObjId,Actor:getRidingActorObjId(objid),objid:number,ErrorCode.OK,Obtenha o Pferd's objid,local result = Actor:getRidingActorObjId(objid)
50001,Jogador,getAttr,Player:getAttr(attrtype),"objid:number, atttype:number","ErrorCode.OK, value:number",nil,local result = Player:getAttr(attrtype)
50002,Jogador,setAttr,"Player:setAttr(attrtype, val)","objid:number, val:number, atttype:number",ErrorCode.OK,nil,"local result = Player:setAttr(attrtype, val)"
50003,Jogador,getHostUin,Player:getHostUin(),nil,"ErrorCode.OK, uin:number",Receba o host,local result = Player:getHostUin()
50004,Jogador,isMainPlayer,Player:isMainPlayer(objid),objid:number,ErrorCode.OK is local player is local player,Detectar se é jogador local,local result = Player:isMainPlayer(objid)
50005,Jogador,getMainPlayerUin,Player:getMainPlayerUin(),nil,"ErrorCode.OK, uin:number",Receba os jogadores locais em,local result = Player:getMainPlayerUin()
50006,Jogador,getGameResults,Player:getGameResults(objid),objid:number,"ErrorCode.OK, value:number",Obter o resultado do jogo,local result = Player:getGameResults(objid)
50007,Jogador,setGameResults,"Player:setGameResults(objid, result)","objid:number, result",ErrorCode.OK,Definir resultado do jogo,"local result = Player:setGameResults(objid, result)"
50008,Jogador,getGameScore,Player:getGameScore(objid),objid:number,"ErrorCode.OK, value:number",Obter pontuação do jogo,local result = Player:getGameScore(objid)
50009,Jogador,setGameScore,"Player:setGameScore(objid, score)",objid:number,"ErrorCode.OK, value:number",Definir pontuação do jogo,"local result = Player:setGameScore(objid, score)"
50010,Jogador,getGameRanking,Player:getGameRanking(objid),objid:number,"ErrorCode.OK, rank:number",Obter a classificação do jogador,local result = Player:getGameRanking(objid)
50011,Jogador,setGameRanking,"Player:setGameRanking(objid, rank)","objid:number, rank:number",ErrorCode.OK,Defina a classificação do jogador,"local result = Player:setGameRanking(objid, rank)"
50012,Jogador,gainItems,"Player:gainItems(objid, itemid, num, prioritytype)","objid:number, itemid:number, num:number, prioritytype:number(1 is shortcut bar prior 2 is backpack bar prior)",ErrorCode.OK,Adicionar itens para jogadores,"local result = Player:gainItems(objid, itemid, num, prioritytype)"
50013,Jogador,teleportHome,Player:teleportHome(objid),objid:number,ErrorCode.OK,Transferir para o ponto de spaw,local result = Player:teleportHome(objid)
50014,Jogador,getCurToolID,Player:getCurToolID(objid),objid:number,"ErrorCode.OK, ret",Obter o id de,local result = Player:getCurToolID(objid)
50015,Jogador,getNickname,Player:getNickname(objid),objid:number,"ErrorCode.OK, name:string",Obtém o ID do item atualmente ocupado pelo jogador,local result = Player:getNickname(objid)
50016,Jogador,removeBackpackItem,"Player:removeBackpackItem(objid, itemid, num)","objid:number, itemid:number, num:number",ErrorCode.OK,Remover itens na mochila,"local result = Player:removeBackpackItem(objid, itemid, num)"
50017,Jogador,getDieTimes,Player:getDieTimes(objid),objid:number,"ErrorCode.OK, value:number",Obter o número de mortes,local result = Player:getDieTimes(objid)
50018,Jogador,getLeftLifeNum,Player:getLeftLifeNum(objid),objid:number,"ErrorCode.OK, value:number",Obter o número de vidas restantes,local result = Player:getLeftLifeNum(objid)
50019,Jogador,setTeam,"Player:setTeam(objid, team)","objid:number, teamid:number",ErrorCode.OK,Defina a equipe de criaturas,"local result = Player:setTeam(objid, team)"
50020,Jogador,getTeam,Player:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Obter a equipe de criaturas,local result = Player:getTeam(objid)
50021,Jogador,getFoodLevel,Player:getFoodLevel(objid),objid:number,ErrorCode.OK,Obter a saciedade atual,local result = Player:getFoodLevel(objid)
50022,Jogador,setFoodLevel,"Player:setFoodLevel(objid, foodLevel)","objid:number, foodLevel:number",ErrorCode.OK,Definir a saciedade atual,"local result = Player:setFoodLevel(objid, foodLevel)"
50023,Jogador,getCurShotcut,Player:getCurShotcut(objid),objid:number,"ErrorCode.OK, scutIdx:number",Obter a barra de atalhos atual,local result = Player:getCurShotcut(objid)
50024,Jogador,onCurToolUsed,"Player:onCurToolUsed(objid, num)","objid:number, num:number items number",ErrorCode.OK,Definir o consumo de item retido pelo jogador,"local result = Player:onCurToolUsed(objid, num)"
50025,Jogador,setSkillCD,"Player:setSkillCD(objid, itemid, cd)","objid:number, itemid:number, cd:number",ErrorCode.OK,Conjunto de CD,"local result = Player:setSkillCD(objid, itemid, cd)"
50026,Jogador,reviveToPos,"Player:reviveToPos(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Respawn player no ponto designado,"local result = Player:reviveToPos(objid, x, y, z)"
50027,Jogador,setRevivePoint,"Player:setRevivePoint(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Mude o ponto de respawn,"local result = Player:setRevivePoint(objid, x, y, z)"
50028,Jogador,playAct,"Player:playAct(objid, actid)","objid:number, actid:number动作id",ErrorCode.OK,Jogador iniciou o desenho animado,"local result = Player:playAct(objid, actid)"
50029,Jogador,notifyGameInfo2Self,"Player:notifyGameInfo2Self(objid, info)","objid:number, info:string text content",ErrorCode.OK,Exibir textos na janela pop-up,"local result = Player:notifyGameInfo2Self(objid, info)"
50030,Jogador,useItem,"Player:useItem(objid, itemid, status, onshift)","objid:number, itemid:number, status:number state of using, onshift:boolean whether to press shift",ErrorCode.OK,Faça o jogador usar o item atual,"local result = Player:useItem(objid, itemid, status, onshift)"
50031,Jogador,rotateCamera,"Player:rotateCamera(objid, yaw, pitch)","objid:number, yaw:number, pitch:number",ErrorCode.OK,Girar a lente do jogador,"local result = Player:rotateCamera(objid, yaw, pitch)"
50032,Jogador,changeViewMode,"Player:changeViewMode(objid, viewmode, islock)","objid:number, viewmode:numberVIEWPORTTYPE, islock:boolean",ErrorCode.OK,Alterar o modo de ângulo do jogador,"local result = Player:changeViewMode(objid, viewmode, islock)"
50033,Jogador,setActionAttrState,"Player:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,"Definir o comportamento, atributo e estado da criatura","local result = Player:setActionAttrState(objid, actionattr, switch)"
50034,Jogador,checkActionAttrState,"Player:checkActionAttrState(objid, actionattr)","objid:number, actionattr:numberPLAYERATTR",ErrorCode.OK,"A alternância de comportamento, atributo e estado do jogador","local result = Player:checkActionAttrState(objid, actionattr)"
50035,Jogador,getMaxHP,Player:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Obter o HP max atual,local result = Player:getMaxHP(objid)
50036,Jogador,getCurHP,Player:getCurHP(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Obtenha o HP atual,local result = Player:getCurHP(objid)
50037,Jogador,getHpRecover,Player:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP recupera,local result = Player:getHpRecover(objid)
50038,Jogador,getCurFood,Player:getCurFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Saciedade atual,local result = Player:getCurFood(objid)
50039,Jogador,getMaxOxygen,Player:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",[[,local result = Player:getMaxOxygen(objid)
50040,Jogador,getCurOxygen,Player:getCurOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Volume de oxigênio atual,local result = Player:getCurOxygen(objid)
