keyid,名字,属性描述
48003,Pular alto!,Habilidade de Pulo +
49001,Transformação,Chance de Transformação do Inimigo +
49002,Transformação,Chance de Transformação do Inimigo +
49003,Transformação,Chance de Transformação do Inimigo +
50001,Proteção de Durabilidade,Chance de não perder a Durabilidade +
50002,Proteção de Durabilidade,Chance de não perder a Durabilidade +
50003,Proteção de Durabilidade,Chance de não perder a Durabilidade +
51001,Pesca Rápida,Velocidade de Pesca +
51002,Pesca Rápida,Velocidade de Pesca +
51003,Pesca Rápida,Velocidade de Pesca +
52001,Lentidão,Chance de deixar o inimigo lento +
52002,Lentidão,Chance de deixar o inimigo lento +
52003,Lentidão,Chance de deixar o inimigo lento +
53001,Redução de Estamina de Escavação,Estamina de Escavação Reduzida
53002,Redução de Estamina de Escavação,Estamina de Escavação Reduzida
53003,Redução de Estamina de Escavação,Estamina de Escavação Reduzida
54001,Queda do Meteoro,Queda do Meteoro
54002,Queda do Meteoro,Queda do Meteoro
54003,Queda do Meteoro,Queda do Meteoro
55001,EXP de Estrela Bônus,Ganho de EXP de Estrela
55002,EXP de Estrela Bônus,Ganho de EXP de Estrela
55003,EXP de Estrela Bônus,Ganho de EXP de Estrela
56001,Aceleração de Habilidade,Resfriamento de Habilidade -
56002,Aceleração de Habilidade,Resfriamento de Habilidade -
56003,Aceleração de Habilidade,Resfriamento de Habilidade -
57001,Último Golpe,Dano do Último Golpe +2%
57002,Último Golpe,Dano do Último Golpe +2%
57003,Último Golpe,Dano do Último Golpe +2%
58001,Resistência a Empurrão,Resistência a Empurrão +5%
58002,Resistência a Empurrão,Resistência a Empurrão +10%
58003,Resistência a Empurrão,Resistência a Empurrão +15%
59001,Bônus de Dano a Bestas,Dano a Bestas +
59002,Bônus de Dano a Bestas,Dano a Bestas +
59003,Bônus de Dano a Bestas,Dano a Bestas +
60001,Dano Bônus a Homem Javali,Dano a Homem Javali +
60002,Dano Bônus a Homem Javali,Dano a Homem Javali +
60003,Dano Bônus a Homem Javali,Dano a Homem Javali +
61001,Bônus de Dano a Elite,Dano a Elite +
61002,Bônus de Dano a Elite,Dano a Elite +
61003,Bônus de Dano a Elite,Dano a Elite +
62001,Bônus de Dano Vazio,Dano a Criaturas do Vazio +
62002,Bônus de Dano Vazio,Dano a Criaturas do Vazio +
62003,Bônus de Dano Vazio,Dano a Criaturas do Vazio +
63001,Bônus de Dano Horas,Dano a Criaturas Horas +
63002,Bônus de Dano Horas,Dano a Criaturas Horas +
63003,Bônus de Dano Horas,Dano a Criaturas Horas +
64001,Bônus de Dano Aquático,Dano a Criaturas Aquáticas +
64002,Bônus de Dano Aquático,Dano a Criaturas Aquáticas +
64003,Bônus de Dano Aquático,Dano a Criaturas Aquáticas +
