iD,巴西葡萄牙语,巴西葡萄牙语
22,Contra-ataque,Oferece 50% de chances de causar 15 pontos de danos durante ataque corpo a corpo.
22,Contra-ataque,Oferece 50% de chances de causar 20 pontos de danos durante ataque corpo a corpo.
22,Contra-ataque,Oferece 50% de chances de causar 25 pontos de danos durante ataque corpo a corpo.
23,Resisência à contra-ataques,Ao ser atacado diminuirá 1 de distância ao ser repelido.
23,Resisência à contra-ataques,Ao ser atacado diminuirá 2 de distância ao ser repelido.
23,Resisência à contra-ataques,Ao ser atacado diminuirá 3 de distância ao ser repelido.
23,Resisência à contra-ataques,Ao ser atacado diminuirá 4 de distância ao ser repelido.
23,Resisência à contra-ataques,Ao ser atacado diminuirá 5 de distância ao ser repelido.
24,Coleção precisa,Obtém cubos durante a coleta.
25,Velocidade,Aumenta a velocidade de coleta em 30%
25,Velocidade,Aumenta a velocidade de coleta em 70%
25,Velocidade,Aumenta a velocidade de coleta em 120%
25,Velocidade,Aumenta a velocidade de coleta em 180%
25,Velocidade,Aumenta a velocidade de coleta em 250%
26,Escavação da Sorte,"Escolha: 16% de chances de obter mais drops.
Pá: aumenta a chance de obter drops em 20%"
26,Escavação da Sorte,"Escolha: 16%/8% de chances de obter drops em dobro/triplo.
Pá: aumenta as chances de drop em 44%"
26,Escavação da Sorte,"Escolha: 20%/10%/4$ de chances de obter drops em dobro/triplo/quádruplo.
Pá: aumenta as chances de drop em 100%."
27,Tiro da Explosão,O alvo explodirá ao ser atingido por uma flecha.
28,Queda lenta do dragão,"Danos por ferimentos diminuirão em 150%, e a velocidade também cairá."
32,Velocidade,Aumenta a velocidade de coleta em 30%
30,Queda rápida,"Pressione o botão Shift ao cair para aumentar a velocidade de queda em 20%, diminua o dano de queda em 3"
30,Queda rápida,"Pressionar o botão Shift ao cair para aumentar a velocidade de queda em 30%, diminuir o dano em queda em 6"
30,Queda rápida,"Pressionar o botão Shift ao cair para aumentar a velocidade de queda em 40%, diminuir o dano em queda em 9"
30,Queda rápida,"Ao pressionar o botão Shift ao cair para aumentar a velocidade de queda em 50%, diminua o dano por queda em 15"
30,Queda rápida,"Pressionar o botão Shift ao cair para aumentar a velocidade de queda em 60%, diminuir o dano em queda em 25"
31,Escalada de aranha,"Ser capaz de subir em qualquer plano vertical, diminuir a velocidade de movimento em 40%, custar 3 de durabilidade por segundo"
31,Escalada de aranha,"Ser capaz de subir em qualquer plano vertical, diminuir a velocidade de movimento em 30%, custar 3 de durabilidade por segundo"
31,Escalada de aranha,"Ser capaz de subir em qualquer plano vertical, diminuir a velocidade de movimento em 25%, custar 2 de durabilidade por segundo"
31,Escalada de aranha,"Ser capaz de subir em qualquer plano vertical, diminuir a velocidade de movimento em 10%, custar 2 de durabilidade por segundo"
31,Escalada de aranha,"Ser capaz de subir em qualquer plano vertical, custa 2 de durabilidade por segundo"
