id编号,标题,内容,作者,是否匿名
93,Ditado,Cada novo dia é um novo presente. Agradeça e viva sempre com muita alegria.,,
94,Ditado,Um pequeno pensamento positivo pela manhã pode mudar todo o seu dia.,,
95,"Dora, a aventureira","Por que a Dora aventureira aprendeu capoeira?
R.: Para ela dar uma voa-Dora.",,
96,Carga pesada,"Por que os elétrons nunca são convidados para festas?
R.: Porque eles são muito negativos.",,
97,Literatura brasileira,"“Há um grande vento frio cavalgando as ondas, mas o céu está limpo e o sol muito claro. Duas aves dançam sobre as espumas assanhadas. As cigarras não cantam mais. Talvez tenha acabado o verão.”
– Rubem Braga",,
98,Literatura brasileira," “Não faço nada pelo bem de ninguém e, decerto, faço mal a algumas pessoas.”
– Paulo Mendes Campos",,
99,Literatura brasileira,"“Amar é ter um pássaro pousado no dedo. Quem tem um pássaro pousado no dedo sabe que, a qualquer momento, ele pode voar”
– Rubem Alves",,
100,Literatura brasileira,"“Veja tudo, de vários ângulos e sinta, não sossegue nunca o olho, siga o exemplo do rio que está sempre indo, mesmo parado vai mudando”
– Autran Dourado",,
101,Caminhão,"Se eu comprasse um caminhão on-line, ele viria dentro de outro caminhão?",GHOST_(◕‿◕✿),
102,Um lobo em pele de cordeiro,"Não acreditar em algumas pessoas, pois podem ser um lobo em pele de cordeiro",DrizzY,
103,Cãozinho,"Na semana em que pegamos o nosso cãozinho, fiquei com problemas intestinais e deixei de ir ao trabalho um dia. Naquela tarde minha mulher me ligou para saber como eu estava.

– Estou bem – respondi –, mas adivinha quem usou a sala de jantar como banheiro?

Minha mulher respondeu:

– Quem?",Sim0n.,
104,Ditado,Flor e o som ligado ao ministério público do calvo,,
105,Quem sou eu?,"Eu falo, mas não tenho boca. Eu ouço, mas não tenho ouvidos. Não tenho corpo, mas vivo com o vento. Quem sou eu?",mini guerreiro,
106,Piada,"O que você pode segurar com a sua mão esquerda, mas jamais com a direita?
-Cotovelo direito",Ukzinho Glenn,
107,Deus ajuda,"Quem cedo madruga, Deus ajuda.",Ge ♡,
108,Vamos ser amigos,"Olá amigo, espero que você esteja tendo um bom dia, que tal sermos amigos? Estar sozinho é ruim, sempre temos alguém em quem confiar. Quando você receber esta mensagem procure pelo meu UID e vamos ser amigos!",Pamela,
109,Mentira,"Falarem palavrão e também mentir sobre a idade como uma amiga do meu melhor amigo que tinha um namorado e ela só tinha 7 anos mas ela falou que tinha mentido que ela tinha 13 anos E TODOS ERAM MUITO MAIS VELHOS
Eu não lembro o nome mas e isso",X×Pluto fofis×X,
110,3 irmãos,"Eram 3 irmãos: o Pum, o Calaboca, e o Respeito. O Pum cometeu um crime e foi preso e o Calaboca e o Respeito foram soltá-lo da cadeia. O Respeito tinha medo da delegacia e então ficou na esquina e o Calaboca entrou. O delegado logo perguntou. — Qual é o seu nome? — Calaboca. — Que isso, cadê o Respeito muleque? — Ficou na esquina. — O que você veio fazer aqui? — Soltar o Pum.",{Pensador},
111,Um belo cumprimento,Você não está sozinho,Rydex_Sam,
112,Letras,Já percebeu que 6 tem quatro letras e 4 tem seis letras?,FrugalSusanna,
113,Lágrimas,As lágrimas podem durar uma noite mas a alegria virá pela manhã,NESSIA DULCE,
114,Ditado,DEUS TIAMAR SE LEVANTA E CONTINUE A LUTA,NESSIA DULCE,
115,Mundo deserto,Né um mundo que se faz deserto temos sede de um amigo,NESSIA DULCE,
116,Julgar,E bem mas fácil julgar os outros do que julgar a sir mesmo .,NESSIA DULCE,
117,Qessoas solitárias,As pessoas são solitárias porque constrói muro ao invés de Pontes,NESSIA DULCE,
118,Piada,"O que pode ser visto no meio de março e no meio de abril, mas não pode ser encontrado no começo ou no fim de nenhum outro mês?
-A letra ‘R’",Ukzinho Glenn,
119,Troca de skin,Por favor me doa skin de menino eu troco com de minina,davi,
120,Ditado,"Não reclame da vida, levante a cabeça e saiba que dias ruins são necessários para os dias bons valerem a pena.",,
121,Ditado,"Viva o hoje, faça o que gosta e esteja sempre ao lado de quem você ama.",,
122,Ditado,"A vida é uma jornada com problemas para resolver e lições para aprender, mas sobretudo, experiências para aproveitar.",,
123,Ditado,A melhor coisa da vida é que a cada manhã você tem uma nova oportunidade de ser a melhor e mais feliz versão de si mesmo.,,
124,Ditado,"Que o dia hoje seja carregado de notícias boas, alegrias inteiras e sorrisos verdadeiros.",,
125,À moda do chef,"- Ouviu falar sobre o novo restaurante, chamado Karma?
- Não. Como é?
- Lá não tem cardápio. Você recebe o que merece.",,
126,Conversa entre bichos,"O que a zebra disse para a mosca?
- Você está na minha lista negra.",,
127,Joãozinho na sala de aula,"Em um momento de irritação com seus estudantes, o professor falou:
- Aquele que se julgar burro, fique em pé.
Todos permaneceram sentados. Após alguns minutos, Joãozinho se levantou.
- Quer dizer que você se acha burro, Joãozinho? - Perguntou o professor.
- Bem, não! Mas fiquei com pena de ver o senhor aí, em pé, sozinho.",,
128,Acidente de trabalho,"Após sofrer um acidente de trabalho, o funcionário de uma empresa precisou engessar o braço. No consultório, ele pergunta ao médico:
- É muito grave, doutor?
- Não é grave.
- Eu vou poder tocar piano?
- Claro! Em um ou dois meses.
- Que legal! Eu nunca tinha tocado piano antes!",,
129,Joãozinho na sala de aula,"Na escola de Joãozinho, o professor de Matemática pegou uma folha de papel e perguntou:
- Se eu dividir essa folha de papel em quatro pedaços, Joãozinho, com o que eu fico?
- Quatro quartos, professor!
- E se eu dividir em oito pedaços?
- Oito oitavos, professor!
- E se eu dividir em cem pedaços?
- Papel picado, professor!",,
130,Os animais pelo rio,"Um vaqueiro chega com seu rebanho de vacas à beira de um rio. Preocupado com os animais, ele pergunta a um menino que ali passava:
- Ô, menino, você sabe se este rio é fundo?
- A criação do meu pai passa com a água no peito. - Respondeu.
Confiante, o vaqueiro segue com seu rebanho, mas todas as vacas se afogam. Furioso, pergunta ao menino:
- O que seu pai cria?
- Pato.",,
131,Coitada da plantinha,"Por que a plantinha não pode ir ao hospital?
- Porque lá só tem médico de plantão!",,
132,Joãozinho na sala de aula,"Joãozinho traz o recibo da mensalidade da escola para seu pai, que exclama ao ver o preço:
- Meu Deus! É muito caro estudar nessa escola!
Ao ouvir isso, o Joãozinho responde:
- Pai, e olhe que eu sou o que menos estuda da minha classe!",,
133,A diferença entre animais,"Qual é a diferença entre o leão, o urso polar e a preguiça?
- O leão mora na floresta, o urso polar mora na neve e a preguiça mora em nós!",,
134,Joãozinho na sala de aula,"Ao passar pelo quarto do Joãozinho, a mãe se surpreende ao ver o filho ajoelhado rezando, e pergunta:
- Filho, nunca vi você rezando assim antes. Por que está rezando?
- Para que o rio Amazonas vá para Minas Gerais.
Sem entender, ela pergunta:
- Mas por quê?
- Porque foi isso que eu escrevi na prova de geografia hoje.",,
135,Saúde da televisão,"Por que a televisão foi ao dentista?
- Para fazer tratamento de canal.",,
136,Seu João no médico,"- Doutor, estou me sentindo tão sozinho.
- Sério, seu João? Por quê?
- Ninguém me liga, ninguém me procura. O senhor tem algum conselho?
- Sim, atrase uma conta.",,
137,Ditado,Aproveite o tempo para aprender algo novo. Ofereça sua companhia ou conforto a alguém que precise.,,
138,Ditado,"Diga obrigado a alguém. Preste atenção quando outros estiverem falando. Faça algo divertido, apenas pelo prazer de fazê-lo.",,
139,Criação no Mini World,"Quero criar uma casa bonita no Mini World, quem pode me ajudar?",,
140,Ditado,Seja mais paciente consigo mesmo e com as pessoas ao seu redor. A vida é tão especial quanto você a faz.,,
141,Ditado,"Seja sempre gentil com as pessoas ao seu redor. Sorria, agradeça e ajude quem precisar. Fazer o bem sempre faz bem! Seja você mesmo e faça a sua parte em todos os dias. É necessário sonhar e lutar para realizar. Acredite no seu potencial!",,
142,Ditado,"Acredite nos seus sonhos, pequeno! A sua vida ainda tem tantos momentos para serem vividos, tantos aprendizados e experiências daqui para frente. A hora não para e você precisa estar sempre se atualizando. Sorria e curta cada dia!",,
143,Ditado,"Seja gentil com os seus amiguinhos, ajude-os sempre que precisarem. Seja com um abraço, um sorriso, compartilhando o seu lanche, ouvindo, conversando, falando sobre os seus sonhos e abrindo o seu coração. Faça sempre o bem, pois você será mais feliz desse jeito!",,
144,Ditado,Seja grato e olhe para cada novo dia com esperança.,,
145,Sua três palavras,Quais são as três palavras que melhor descrevem você?,,
146,Fim de semana,O que você vai fazer no próximo fim de semana?,,
147,Animal de estimação,"Se você pudesse ter qualquer animal de estimação, que animal você escolheria? Gosto de cachorro",,
148,Fazer apresentação,Você já se apresentou na frente de um grupo grande de pessoas? Como foi?,,
149,Ditado,Uma padaria foi aberta perto de nossa casa e o pão está delicioso,,
150,Ditado,Lembre-se: a energia que você espalha é a mesma que você recebe.,,
151,Seu João no médico,"Em um consultório médico, o paciente descreve seus sintomas:
- Doutor, eu esqueço tudo que me falam pouco tempo depois.
- E desde quando isso começou?
- O que começou, doutor?",,
152,Demissão com motivos,"Por que a minhoca foi demitida?
- Porque ela estava fazendo corpo mole.",,
153,Joãozinho na sala de aula,"Joãozinho estava ansioso para saber que nota havia tirado na última prova:
- Professora, a senhora já corrigiu as provas?
Ela respondeu:
- Não, Joãozinho! Peço desculpas, mas tenho várias turmas!
Após seguir com a aula normalmente, a professora questiona aos alunos:
- Turma, vocês fizeram as tarefas de casa?
Joãozinho respondeu:
- Não! Peço desculpa, professora, mas tenho vários professores!",,
154,Solução de padeiro,"Na padaria, o cliente questiona se aquele bolo é de hoje.
- Não, é de ontem. - Diz o atendente.
- E como faço para comer o de hoje? - Pergunta o cliente.
- Volte amanhã. - Replica o atendente.",,
155,Nova receita de café,"Como se faz café à cavalo?
- Coloca muita água e pouco pó, pouco pó, pouco pó.",,
156,Meu jartim,"Meu jartim é muito bonito, você quer jogar comigo?",,
157,Animal de estimação,Eu quero ter um animal de estimação no Mini World,,
158,Quem traz alegria,Quem na sua vida te traz mais alegria?,,
159,Amigos,Quantos amigos você tem no Mini World?,,
160,Mapas divertidos,Alguém pode me recomendar alguns mapas divertidos?,,
161,Joãozinho na padaria,"Na padaria, Joãozinho pergunta:
- Senhor, tem pão?
- Só tem pão dormido, menino. - Responde o padeiro.
- Pois acorde aí dez para mim, faz favor. - Responde Joãozinho.",,
162,Piada,"O que o lápis falou para o papel?
- Ôh, você me deixa desapontado",,
163,Piada,"O que a lua disse para o sol?
- Nossa, você é tão grande e ainda não te deixam sair à noite?",,
164,Notícia boa e  ruim,"Joãozinho chegou para o seu pai e disse:
- Papai, eu tenho uma notícia boa e outra ruim. Qual você quer primeiro?
- A boa, filho.
- Ah, eu fui bem em todas as minhas provas na escola!
- Sério? Que ótimo, filho. E qual é a notícia ruim?
- É que estou mentindo.",,
165,Piada,"O que é que o pernilongo tem maior que o elefante?
- O nome!",,
166,Memória curta,"Um homem vai ao médico e diz:
- Doutor, eu estou com um problema!
Não consigo me lembrar de nada que falam depois de um minuto.
- Há quanto tempo surgiu esse problema?
- Há quanto tempo surgiu qual problema, doutor?",,
167,Lugar mais lindo,Qual foi o lugar mais lindo onde você já esteve?,,
168,Melhor amigo,Quem era o seu melhor amigo na escola primária?,,
169,acordado até depois das 3h00,Com que frequência você fica acordado até depois das 3h00?,,
170,Lugar mais lindo,Qual é o lugar mais lindo perto de onde você mora?,,
171,Evento de PVP,"Ganhei primeiro lugar no evento de PVP, as recompensas são marvilhsas!",,
172,Tempo passa no jogo,Quanto tempo você passa no jogo? O que você costuma fazer?,,
173,Notícia interessante,Qual é a notícia recente mais interessante?,,
174,Pessoa mais bem-sucedida,"Como o sucesso deve ser medido? E, com base nessa medida, quem é a pessoa mais bem-sucedida que você conhece?",,
175,,"Se você pudesse saber a resposta de uma pergunta sobre o seu futuro, qual seria a pergunta?",,
176,,"felicidade não está em viver, mas em saber viver.",,
177,,Estou em modo de sobrevivência há 100 dias!,,
178,,"As vezes é preciso parar e olhar para longe, para podermos enxergar o que está diante de nós.",,
179,,"Ninguém é tão grande que não possa aprender, nem tão pequeno que não possa ensinar.",,
180,,"A cada minuto que passamos com raiva, perdemos 60 segundos felizes.",,
181,,Construir a felicidade é um ato paciente que não se alcança queimando etapas. Percorra.,,
182,,"O caminho para a felicidade está em vivermos o presente. Não volte ao passado, nem fique tentando adivinhar o futuro.",,
183,,Qual foi o melhor período da sua vida até hoje? Qual você acha que será o melhor período de toda a sua vida?,,
184,,O que você faz para melhorar seu humor quando está de mau humor?,,
185,,Quais são algumas das coisas que você deseja realizar antes de morrer?,,
186,,Cite uma pessoa popular atualmente de quem você gosta muito. Por que você gosta tanto dela?,,
187,,Qual é nome da canção você gosta mais?,,
188,,Qual é o melhor nome que você consegue inventar para um tipo específico de animal de estimação?,,
189,,Qual é o seu gênero de filme preferido?,,
190,,Qual foi o pior filme que você viu recentemente?,,
191,,Quando foi a última vez que você foi ao cinema?,,
192,,Qual é a melhor maneira de descobrir músicas novas?,,
193,,"Quando você ler esta mensagem, você ficará feliz.",,
194,,Quais são os três melhores apps no seu celular?,,
195,,Qual foi o jogo de celular mais viciante que você já jogou?,,
196,,Que tipo de mapa gosta mais? Gosto muito de parkour.,,
197,,Você usa mais mensagens de texto ou ligações? Por quê?,,
198,,Quais esportes você gosta de praticar?,,
199,,"Há pessoas que transformam o sol numa simples mancha amarela, mas há também aquelas que fazem de uma simples mancha amarela o próprio sol.",,
200,,"Que a felicidade entre, puxe uma cadeira e fique ao seu lado para sempre.",,
201,Click!,"- Você conhece a piada do fotógrafo?
- Não.
- É porque ainda não foi revelada.",,
202,,As pessoas mais felizes não têm as melhores coisas. Elas sabem fazer o melhor das oportunidades que aparecem em seus caminhos.,,
203,,"Há quatro espécies de amigos que o são sinceramente: o que ajuda, o que permanece igual na prosperidade e no infortúnio, o que dá um bom conselho e o que tem uma simpatia real por nós.",,
204,,Tenha coragem de fazer uma revolução em sua vida e vá atrás do que dita a sua alma.,,
205,,Todos os navios do porto eram brancos.,,
206,,"Esse mundo é pequeno, né?",,
207,,Me fale um pouco sobre você...,,
208,,Tudo o que um sonho precisa para ser realizado é alguém que acredite que ele possa ser realizado.,,
209,,"Ninguém disse que a vida é fácil, apenas se disse que ela vale a pena!",,
210,,Qual é o melhor restaurante do seu bairro?,,
211,,Você comeria num restaurante muito sujo se a comida fosse deliciosa?,,
212,,Qual era o seu restaurante preferido quando criança?,,
213,,Qual é o próximo lugar para onde você gostaria de viajar?,,
214,Dançando,"Quem são as dançarinas do Diabo?
R.: As Diabetes.",,
215,Passarinhos,"O que tem 4 patas e voa?
R.: Um casal de passarinhos",,
216,"Saudades, Nemo","O que o tubarão disse quando comeu o peixe-palhaço?
R.: Que gosto engraçado!",,
217,Bu!,"Por que o fantasma entrou no elevador?
R.: Para elevar o espírito.",,
218,Está servido?,"O que o prato disse para o outro?
R: Esta noite, o jantar é comigo!",,
219,Aquela do paraguaio,"Um senhor aparece na casa de um homem e diz:
- Soy paraguaio e vim para matar-te.
- Para o quê?
- Paraguaio.",,
220,Programação,"Um caipira está assistindo à TV. O amigo chega e pergunta:
- E aí, firme?
- Não, futebor.",,
221,À moda do chef,"- Ouviu falar sobre o novo restaurante, chamado Karma?
- Não. Como é?
- Lá não tem cardápio. Você recebe o que merece.",,
222,Acordando com as galinhas,"Duas galinhas estão na cozinha fazendo café. Uma delas pergunta:
- Pó pô pó?
A outra responde:
- Pó pô.
5. Reale",,
223,Já o quê?,"No primeiro dia de aula, uma aluna nova se apresenta à professora:
- Meu nome é Jaqueline, tenho 13 anos e já namoro.
- Já o quê?
- Jaqueline.",,
224,,"Se o amanhã não for bem aquilo o que eu sonhei, eu tiro um arco-íris da cartola. Refaço, pinto e bordo.",,
225,,O autoconhecimento faz com que nós possamos conhecer mais as diferenças dos outros,,
226,,Como você acha que viajar para vários países diferentes muda uma pessoa?,,
227,,Fale sobre algumas das pessoas interessantes que você conheceu em viagens.,,
228,,"Dançar é também se autoconhecer, se expressar sem palavras.",,
229,Literal,"Um amigo agradece ao outro:
- Muito obrigado.
- Disponha.
- Ponha.",,
230,"Ai, mãe...","Um filho diz para a mãe:
- Mãe, tenho uma festa de 15 anos para ir.
- Mas não dá para ficar só um dia? 15 anos é muito tempo.",,
