ID,名字,描述,获得方式
123,Ghiaccio naturale,È comunemente visto in aree fredde e nevose e si scioglierà in acqua in ambienti a #c0aba1dhigh temperatura # n. Può essere rapidamente raccolto con picconi. Abbasserà #c0aba1dslightly la temperatura circostante#n.,
124,pirosseno,"Roccia comune della stella fiammeggiante, che può essere rapidamente estratta con strumenti a piccone",
125,Sabbia che brucia,La sabbia gialla che emana un odore bruciante può essere rapidamente estratta con strumenti a pala,
126,Mogu roccia,Le pietre in luoghi sconosciuti non sono facilmente distrutte dalle esplosioni,I commercianti a volte vendono
127,blocco di schiuma,Quadrati decorativi,
128,Sabbia rossa,"Rari cumuli di sabbia rossa, ricchi di elementi minerali, possono diventare molto instabili se mescolati con ghiaccio combustibile",A volte si trova nelle isole laterite e nelle isole coralline
129,Neve spessa,,
130,Costumi di neve spessi,"Voglio costruire un pupazzo di neve insieme, o fare una lotta a palle di neve",
131,Ghiaccio solido,Ghiaccio super duro che non può essere scosso,
132,Sabbia di cristallo di zolfo,"Apparendo nella lava della stella di fiamma, può essere estratto solo #n #c0aba1d pala d'oro tungsteno. È uno dei materiali per la creazione di cristalli caotici. Eruzione quando bloccato dal fluido","#c0aba1d la vita è preziosa, per favore non imitare alcun comportamento di gioco #n"
133,Alveare vuoto,"Ora non c'è miele per rimanere, mettere #c0aba1d le foglie di pesco #n possono accumulare miele",
134,Alveare completo,"Un alveare pieno di miele, attenzione alle api! Usa una piccola bottiglia di vetro per il miele in bottiglia",
135,Totem misterioso - Terra,Le statue di pietra di grande importanza nelle civiltà antiche sono ora solo decorative,Cute Eye Star Collezione di reliquie della civiltà Maya
136,Mistero Totem - Cielo,Le statue di pietra di grande importanza nelle civiltà antiche sono ora solo decorative,Cute Eye Star Collezione di reliquie della civiltà Maya
137,Carino occhio stella cratere,,
138,Cubo di inquinamento,,
139,BOSS battaglia utilizzando blocchi,,
140,Livestone,"L'altare magico costruito dagli antichi eroi rappresenta la forza vitale di Myra; secondo la leggenda, posizionare oggetti sacri corrispondenti su tre tipi di altari può liberare il potere creativo del pianeta e costringere le cose malvagie ad apparire",
141,Pietra del coraggio,"L'altare magico costruito dagli antichi eroi rappresenta il coraggio e il potere della stella di fiamma; secondo la leggenda, posizionare i corrispondenti oggetti sacri sui tre altari può liberare il potere creativo del pianeta e costringere le cose malvagie ad apparire",
142,Pietra della saggezza,"L'altare magico costruito dagli antichi eroi rappresenta la saggezza e il potere della stella dagli occhi carini; secondo la leggenda, posizionare oggetti sacri corrispondenti su tre tipi di altari può liberare il potere creativo del pianeta e costringere le cose malvagie ad apparire",
143,Altare rotto,"L'antico altare, a causa della sua età, è stato scavato dopo che non è stato in grado di ripristinare il suo stato originale, ha perso la sua magia; #r leggenda narra che gli antichi eroi costruirono tre altari sacri sul vulcano e collocarono tre oggetti sacri su di esso, che possono liberare il pianeta Il potere della creazione, costringendo le cose malvagie ad apparire",
144,Bottiglia di vetro di mirto rosso,"Una volta posizionato, illumina una piccola area circostante",Cattura le farfalle in piccole bottiglie di vetro sul terreno vuoto dell'isola
145,Bottiglia di vetro a farfalla blu,"Una volta posizionato, illumina una piccola area circostante",Cattura le farfalle in piccole bottiglie di vetro sul terreno vuoto dell'isola
146,Bottiglia di vetro a farfalla profumata,"Una volta posizionato, illumina una piccola area circostante",Cattura le farfalle in piccole bottiglie di vetro sul terreno vuoto dell'isola
147,Bottiglia di vetro a farfalla bianca,"Una volta posizionato, illumina una piccola area circostante",Cattura le farfalle in piccole bottiglie di vetro sul terreno vuoto dell'isola
148,Bottiglia di vetro Longxindie,"Una volta posizionato, illumina una piccola area circostante",Cattura le farfalle in piccole bottiglie di vetro sul terreno vuoto dell'isola
149,Lingua Campana Farfalla Bottiglia di Vetro,"Una volta posizionato, illumina una piccola area circostante",Cattura le farfalle in piccole bottiglie di vetro sul terreno vuoto dell'isola
150,terreni coltivati a laterite,Le colture speciali possono essere coltivate e devono essere mantenute umide vicino all'acqua o irrigate con docce,Ottenuto utilizzando un rastrello per recuperare laterite
151,fossa di laterite,Le piante speciali possono essere coltivate e devono essere mantenute umide vicino all'acqua o irrigate con una doccia,Utilizzare una pala per recuperare laterite per ottenere
152,Pianeta roccia piastra verticale,"Piastre leggere erette, impilabili a spessore variabile",Lavorazione con pietre a stella occhio carino al tavolo dell'artigiano
153,Tavola di bambù foglio verticale,Tavole di legno leggere verticali che possono essere impilate per variare lo spessore,Lavorato con bambù alla tavola dell'artigiano
154,Carmine foglio verticale,Tavole di legno leggere verticali che possono essere impilate per variare lo spessore,Dipinto con vernice al carminio alla tavola dell'artigiano
155,Foglio verticale in mattoni di cemento,"Piastre leggere erette, impilabili a spessore variabile",Lavorazione con mattoni di cemento alla tavola dell'artigiano
156,Foglio verticale in mattoni di zolfo,"Piastre leggere erette, impilabili a spessore variabile",Lavorare con i mattoni di zolfo alla tavola dell'artigiano
157,Foglio verticale in pietra,"Piastre leggere erette, impilabili a spessore variabile",Lavorare con la pietra alla tavola dell'artigiano
158,Foglio verticale in mattoni di pietra raffinata,"Piastre leggere erette, impilabili a spessore variabile",Lavorare con la roccia alla tavola dell'artigiano
159,Foglio verticale in lega di titanio,Piastre metalliche verticali sottili e leggere che possono essere impilate per cambiare spessore,Lavorato con lega di titanio alla tavola dell'artigiano
160,Foglio verticale in ottone,Piastre metalliche verticali sottili e leggere che possono essere impilate per cambiare spessore,Lavorare con l'ottone alla tavola dell'artigiano
161,Foglio verticale in mica,Piastre metalliche verticali sottili e leggere che possono essere impilate per cambiare spessore,Lavorato con mica alla tavola dell'artigiano
162,Piastra verticale in mithril,Piastre metalliche verticali sottili e leggere che possono essere impilate per cambiare spessore,Lavorato con mithril alla tavola dell'artigiano
163,Piastra verticale fiammeggiante,Piastre metalliche verticali sottili e leggere che possono essere impilate per cambiare spessore,Lavorato con fiamme ardenti alla tavola dell'artigiano
164,Piatto verticale giallo limone,Tavole di legno leggere verticali che possono essere impilate per variare lo spessore,Dipinto con vernice giallo limone alla scrivania dell'artigiano
165,Lime foglio verticale,Tavole di legno leggere verticali che possono essere impilate per variare lo spessore,Dipingere con la pittura a calce alla tavola dell'artigiano
166,Piatto sottile verticale rosso castano profondo,Tavole di legno leggere verticali che possono essere impilate per variare lo spessore,Dipinto con vernice di mogano castagna alla tavola dell'artigiano
167,Piatto verticale arancione tramonto,Tavole di legno leggere verticali che possono essere impilate per variare lo spessore,Dipinto con vernice arancione tramonto alla scrivania dell'artigiano
168,Begonia piastra verticale rossa,Tavole di legno leggere verticali che possono essere impilate per variare lo spessore,Dipinto con vernice rossa begonia alla scrivania dell'artigiano
169,Foglio verticale bianco avorio,Tavole di legno leggere verticali che possono essere impilate per variare lo spessore,Dipinto con vernice bianco avorio alla scrivania dell'artigiano
170,Piatto verticale arancione foglia autunnale,Tavole di legno leggere verticali che possono essere impilate per variare lo spessore,Dipinto con vernice arancione foglia autunnale alla scrivania dell'artigiano
171,Foglio verticale,Tavole di legno leggere verticali che possono essere impilate per variare lo spessore,Lavorare il legno alla tavola dell'artigiano
172,Foglio verticale in mattoni gialli,"Piastre leggere erette, impilabili a spessore variabile",Lavorato con mattoni gialli alla tavola dell'artigiano
173,Blocco di manganese foglio verticale,Piastre metalliche verticali sottili e leggere che possono essere impilate per cambiare spessore,Lavorazione con noduli di manganese presso la stazione artigiana
174,Foglio verticale grigio chiaro,Tavole di legno leggere verticali che possono essere impilate per variare lo spessore,Dipinto con vernice grigio chiaro alla scrivania dell'artigiano
200,Legno di ciliegio,"Il tronco di ciliegio, può essere lavorato in @item_800# in @item_11323#, può essere utilizzato per la decorazione, può essere utilizzato anche come carburante",Intarsiare#c0aba1d sull'ascia per ottenere la completa#n runa e poi tagliarla per ottenere
201,Larice,"I tronchi di larice, che possono essere trasformati in @item_800# in @item_11323#, possono essere utilizzati per la decorazione e possono anche essere utilizzati come carburante",Intarsiare#c0aba1d sull'ascia per ottenere la completa#n runa e poi tagliarla per ottenere
202,Pioppo,"Il tronco di pioppo, può essere lavorato in @item_800# in @item_11323#, può essere utilizzato per la decorazione, può essere utilizzato anche come carburante",Intarsiare#c0aba1d sull'ascia per ottenere la completa#n runa e poi tagliarla per ottenere
203,Redwood,"Tronco di sequoia, può essere lavorato in @item_800# in @item_11323#, può essere utilizzato per la decorazione, può essere utilizzato anche come combustibile",Intarsiare#c0aba1d sull'ascia per ottenere la completa#n runa e poi tagliarla per ottenere
204,nanmu,"Il tronco di Nanmu, può essere elaborato in @item_800# in @item_11323#, può essere usato per la decorazione, può anche essere usato come combustibile",Intarsiare#c0aba1d sull'ascia per ottenere la completa#n runa e poi tagliarla per ottenere
205,Noce,"Il tronco di noce, può essere lavorato in @item_800# in @item_11323#, può essere utilizzato per la decorazione, può essere utilizzato anche come carburante",Intarsiare#c0aba1d sull'ascia per ottenere la completa#n runa e poi tagliarla per ottenere
206,tavola di legno,"Materiale da costruzione di base, ampiamente utilizzato negli edifici in legno",Lavorare il legno alla tavola dell'artigiano
207,Tavola arancione foglia autunnale,"Materiale da costruzione di base, ampiamente utilizzato negli edifici in legno",Dipinto con vernice arancione foglia autunnale alla scrivania dell'artigiano
208,Legno bianco avorio,"Materiale da costruzione di base, ampiamente utilizzato negli edifici in legno",Dipinto con vernice bianco avorio alla scrivania dell'artigiano
209,Tavola di legno rosso Begonia,"Materiale da costruzione di base, ampiamente utilizzato negli edifici in legno",Dipinto con vernice rossa begonia alla scrivania dell'artigiano
210,Tavola arancione tramonto,"Materiale da costruzione di base, ampiamente utilizzato negli edifici in legno",Dipinto con vernice arancione tramonto alla scrivania dell'artigiano
211,Tavola di mogano castagno profondo,"Materiale da costruzione di base, ampiamente utilizzato negli edifici in legno",Dipinto con vernice rosso castagna intenso alla tavola dell'artigiano
212,Alberello di ciliegio,"Può essere usato come combustibile, ma brucia molto velocemente",
213,Alberello di larice,"Può essere usato come combustibile, ma brucia molto velocemente",
214,Alberelli di pioppo,"Può essere usato come combustibile, ma brucia molto velocemente",
215,Alberelli di sequoia,"Può essere usato come combustibile, ma brucia molto velocemente",
216,Nanmu alberello,"Può essere usato come combustibile, ma brucia molto velocemente",
217,Alberello di noce,"Può essere usato come combustibile, ma brucia molto velocemente",
218,Foglie dell'albero da Frutta,Può essere usato come carburante per @item_1200# o come copricapo di #c0aba1dsnowman#n.,
219,Foglie di larice,Può essere usato come carburante per @item_1200# o come copricapo di #c0aba1dsnowman#n.,
220,Foglie di pioppo,Può essere usato come carburante per @item_1200# o come copricapo di #c0aba1dsnowman#n.,
221,Foglie di sequoia,Può essere usato come carburante per @item_1200# o come copricapo di #c0aba1dsnowman#n.,
222,Foglie di Phoebe,Può essere usato come carburante per @item_1200# o come copricapo di #c0aba1dsnowman#n.,
223,Foglie di noce,Può essere usato come carburante per @item_1200# o come copricapo di #c0aba1dsnowman#n.,
224,erba,"#c0aba1d distruggere #n, è possibile ottenere #c0aba1d manciata di erba #n","Il cielo è vasto, il selvaggio è vasto, il vento soffia l'erba e vede il bestiame e le pecore"
225,erba appassita,"Utilizzare #c0aba1d #n strumenti per raccogliere #c0aba1d erba morta #n, mentre il resto #c0aba1d una manciata di erbacce #n","Liliyuan è sull'erba, un anno e un anno"
226,Spara al suolo,"Una pianta che prospera nell'ombra e funge da materia prima per cucinare. Consumarlo direttamente #c0aba1dripristina la resistenza#n, ma tieni presente che potrebbe causare #c0aba1dproblemi digestivi#n. Si dice che abbia interazioni intriganti con l'#c0aba1dHoras Spore Tree#n sull'isola di Horas.",
227,Perilla,"Una pianta che prospera nell'ombra e funge da materia prima per cucinare. Consumarlo direttamente #c0aba1dripristina la resistenza#n, ma tieni presente che potrebbe causare #c0aba1dproblemi digestivi#n. Si dice che abbia interazioni intriganti con l'#c0aba1dHoras Spore Tree#n sull'isola di Horas.",
228,Malvarosa,#c0aba1d Dai da mangiare ai cervi con corna#n per facilitarli nello stato di #c0aba1dproduzione di latte#n,Cresce nella #c0aba1draforest#n
229,Mais,Può essere trasformato in @item_344# e @item_344# è la materia prima di base per cucinare. Può essere arrostito su @item_1200#,Pianta @item_11400# su @item_102# o raccogliendo mais selvatico per ottenere
230,Buru gigante,,Pianta @item_11401# su @item_102# per ottenere
231,Piantine di brucella giganti,"Con la luce del sole e l'acqua, dopo un po ', i frutti cresceranno sulle piantine",
232,Radice Rampicante,"Le radici d'aria appese al grande albero sono estremamente resistenti e possono sopportare il peso delle persone. Non salire troppo in alto, fai attenzione a cadere!",
233,laterite,"Terra rossa rara, ingredienti ricchi ed esotici, le piante che crescono su di essa subiranno alcuni cambiamenti magici","La leggenda dice che c'è un'isola in mezzo al mare, dove c'è terra rossa ovunque"
234,riso,"Crescendo nelle acque del #c0aba1d bacino #n, può essere trasformato in una ciotola di riso crudo e quindi cotto in una ciotola di riso cotto in una pentola di pietra #r alimentata all'uccello Dudu può farlo entrare nello stato di riproduzione",Piantare semi di riso su una superficie d'acqua con terra o sabbia gialla sul fondo e un'altezza di una griglia
236,Cetriolo,Può essere coltivato su @item_102#.#rYou può nutrire #c0aba1dDwen#n per ottenere @item_11311#.,Ottenuto per caso distruggendo Clay Jar o sconfiggendo Boom Egg.
237,Frutta di sequoia,La frutta sulla sequoia è la materia prima per cucinare,
238,Erba di rovo,"Erba spinosa, #c0aba1d danno #n dopo che è possibile ottenere #c0aba1d una manciata di erbaccia #n",
239,Megamarina,"È troppo grande, deve essere aperto per essere mangiato! Deve essere lavorato nella tavola dell'artigiano.",I semi di frutta a scala gigante possono essere ottenuti anche su terreni coltivati
240,Piantine di piume di squame giganti,"Con la luce del sole e l'acqua, dopo un po ', i frutti cresceranno sulle piantine",
241,Patata dolce,Può essere piantato su @item_101#. Può essere arrostito su @item_1200#,Ha la possibilità di ottenerlo distruggendo i vasi di argilla
242,Gambo di cactus,"Cresciuto nel #c0aba1d deserto #n, può essere trasformato in armi appuntite con bastoncini di legno!",Disponibile anche in pozzi di terreno con semi di cactus
243,Mais selvatico,È possibile ottenere #c0aba1d mais dopo la distruzione #n,"Mais selvaggiamente coltivato, non molto nutriente a causa della mancanza di cure"
244,Albero di Natale,"Albero sempreverde decorato da Babbo Natale, di solito usato per decorare gli edifici",Acquista nel negozio di Babbo Natale durante gli eventi di Natale
245,piante acquatiche,"Piante acquatiche che crescono in #c0aba1d mare poco profondo #n, a causa della crescita complessa, è facile impigliare le creature e gli oggetti di scena che rimangono su di loro, cerca di non rimanere troppo a lungo, se sei abbastanza fortunato, potresti anche trovare tesori rari in loro",
246,Alga,Le piante acquatiche comuni che crescono in #c0aba1d mare poco profondo #n hanno la probabilità di cadere #c0aba1d alghe dopo la distruzione #n,Intarsio L'acquisizione completa delle rune raccoglierà le alghe
247,Petali galleggianti,"#n sparso sulla #c0aba1d superficie dell'acqua, può essere disposto sulla superficie dell'acqua per la decorazione",
248,Tavola galleggiante,Posizionato sull'acqua #c0aba1d sopportare il peso #n,Lavorazione con tavole di legno alla tavola dell'artigiano
249,pigna,Frutta di larice per cucinare cibi deliziosi,
250,Loto,"Cresce sulla #c0aba1d superficie #n dell'acqua, può essere posizionato sulla superficie dell'acqua per la decorazione",
251,bambù,"Dopo aver usato #c0aba1d il panda #n, è possibile #c0aba1d domare #n #r #c0aba1d alimentare #n il panda domato, si possono ottenere pali di bambù cavi","Coltivato nella #c0aba1d foresta di bambù #n, può essere ottenuto anche piantando germogli di bambù in fosse di terreno"
252,foglie di bambù,"Può essere usato come decorazione, c'è la possibilità di cadere germogli di bambù dopo il danno",
253,germogli di bambù,Piantato in #c0aba1d fossa #n può crescere in bambù,È possibile distruggere le foglie di bambù
254,Mogano,"Con#c0aba1d gli strumenti#n dell'ascia possono essere tagliati rapidamente#r possono essere trasformati in @item_11323#, può anche essere usato come combustibile",
255,Foglie di pesco,Può essere usato come combustibile per @item_1200 # o come materie prime per la produzione di ossigeno.#rFeeding a Redchisk può farlo riprodurre. Può anche essere usato come copricapo di #c0aba1dsnowman#n.,
256,Alberello di fiori di pesco,In #c0aba1d pozzi #n crescono in alberi di pesco,Danneggiare le foglie di pesca ha la possibilità di cadere
257,Zhenmu,"Con#c0aba1d gli strumenti#n dell'ascia possono essere tagliati rapidamente#r possono essere trasformati in @item_11323#, può anche essere usato come combustibile",
258,Foglie di Genwood,Può essere usato come carburante per @item_1200# o come copricapo di #c0aba1dsnowman#n.,
259,Zhenmu alberello,Piantine di legno pregiato,Le foglie di legno prezioso danneggiate hanno la possibilità di cadere
260,Legno pregiato senza foglie,Cresce sulla superficie sterile della stella dell'occhio carino e il frutto dell'ossigeno può essere piantato sul lato,Utilizza #c0aba1d l'ascia #n mithril o strumenti di ascia più avanzati
261,Asta sportiva Starlight,"Piantando germogli di bambù accanto ad esso, la perilla muterà #c0aba1d #n",Crescere nell'ombra sotto #c0aba1d l'isola del cielo #n
262,Muschio,"Una crescita vegetale umida e ricca di umidità. Ha la tendenza a rendere il terreno scivoloso e rompendolo si otterrà @item_11595##r. Anche all'ombra, dove non arriva il caldo sole, il muschio prospera e aggiunge un tocco di verde vitalità",
263,Semi di astrospore,"#c0aba1d piantato #n all'ombra dell'adorabile pietra stellare dell'occhio, dopo un periodo di tempo cresceranno spore di luce stellare",
264,Tavola di legno di tiglio,"Materiale da costruzione di base, ampiamente utilizzato negli edifici in legno",Dipingere con la pittura a calce alla tavola dell'artigiano
265,Tavole di legno pregiato senza foglie,Può essere usato per la decorazione,Realizzato in legno pregiato senza foglie alla tavola dell'artigiano
266,Germogli di bambù mutanti,"#c0aba1d riacquistare 15 resistenza dopo aver consumato #n, e otterrà i seguenti effetti speciali #r #c0aba1d fluorescenza, frenetico scavare o scavare affaticamento.",Spore di luce stellare mutate vicino ai germogli di bambù
267,perilla mutata,"#c0aba1d riacquistare 15 forza fisica dopo aver consumato #n, e otterrà i seguenti effetti speciali #r #c0aba1d fluorescenza, recupero della vita o stato di avvelenamento.",Mutato da spore di luce stellare vicino alla perilla
268,Canna per piante mutate,,Crescere nell'ombra sotto #c0aba1d l'isola del cielo #n
269,Erba colorata fluorescente,Uno dei materiali per realizzare piccole sfere fluorescenti e grandi sfere fluorescenti,Crescere sull' #c0aba1d isola #n
270,astrospore,"#c0aba1d recuperare 15 forza fisica dopo aver mangiato #n e ottenere #c0aba1d stato fluorescente #n, probabilità di ottenere visione notturna o stato di vertigini","Crescendo nell'ombra sotto l'isola del cielo stellato dagli occhi carini, si possono anche ottenere semi di spore di luce stellare"
271,astrospore,"#c0aba1d recuperare 15 forza fisica dopo aver mangiato #n e ottenere #c0aba1d stato fluorescente #n, probabilità di ottenere visione notturna o stato di vertigini","Crescendo nell'ombra sotto l'isola del cielo stellato dagli occhi carini, si possono anche ottenere semi di spore di luce stellare"
272,astrospore,"#c0aba1d recuperare 15 forza fisica dopo aver mangiato #n e ottenere #c0aba1d stato fluorescente #n, probabilità di ottenere visione notturna o stato di vertigini","Crescendo nell'ombra sotto l'isola del cielo stellato dagli occhi carini, si possono anche ottenere semi di spore di luce stellare"
273,astrospore,"#c0aba1d recuperare 15 forza fisica dopo aver mangiato #n e ottenere #c0aba1d stato fluorescente #n, probabilità di ottenere visione notturna o stato di vertigini","Crescendo nell'ombra sotto l'isola del cielo stellato dagli occhi carini, si possono anche ottenere semi di spore di luce stellare"
274,astrospore,"#c0aba1d recuperare 15 forza fisica dopo aver mangiato #n e ottenere #c0aba1d stato fluorescente #n, probabilità di ottenere visione notturna o stato di vertigini","Crescendo nell'ombra sotto l'isola del cielo stellato dagli occhi carini, si possono anche ottenere semi di spore di luce stellare"
