接口ID,意大利语,意大利语,意大利语,意大利语,意大利语,意大利语,意大利语
20016,Mondo,getActorsByBox,"World:getActorsByBox(objtype, x1, y1, z1, x2, y2, z2)","type:number designate type, x1|y1|z1:number starting point, x2|y2|z2:number ending point","ErrorCode.OK, num:number, objids:tableobjid array",Ottenere attore in zona designata,"local actorType = 0 --OBJ_TYPE_MONSTER
local x1, y1, z1 = -5, 1, -5
local x2, y2, z2 = 15, 9, 15
local ret, num, array = World:getActorsByBox(actorType, x1,y1,z1, x2,y2,z2)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20017,Mondo,getPlayerTotal,World:getPlayerTotal(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number Number",Ottenere tutti i giocatori. Può controllare la loro situazione di sopravvivenza,local result = World:getPlayerTotal(alive)
20018,Mondo,getAllPlayers,World:getAllPlayers(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number number, array:table player uin array",Ottenere tutti i giocatori. Può controllare la loro situazione di sopravvivenza,"local aliveType = -1 --Get all players data
local ret, num, array = World:getAllPlayers(aliveType)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20019,Mondo,randomOnePlayer,World:randomOnePlayer(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, uin:number",casuale Player,"local aliveType = 1 --Any survivors Id
local ret, playerId = World:randomOnePlayer(aliveType)
if ret == ErrorCode.OK then print('Player ===>> ', playerId) end"
20020,Mondo,despawnActor,World:despawnActor(objid),objid:number,ErrorCode.OK,rimuovere attore,"local ret, num, array = World:getActorsByBox(aType, x1,y1,z1, x2,y2,z2)
if array and #array>0 then --Remove Actor
        local result = World:despawnActor(array[#array])
        if result == ErrorCode.OK then print('Despawn the last actor') end
end"
20021,Mondo,spawnCreature,"World:spawnCreature(x, y, z, actorid, num)","x|y|z:number, mobid:number, num:number","ErrorCdoe.OK, objids:tableobjid array","Generare creatura (compreso mostro, NPC, animali etc.)","local x, y, z = 6, 7, 8
local actorId, actorCnt = 3812, 2 --Little cow
local ret, objids = World:spawnCreature(x, y, z, actorId, actorCnt)
if objids and #objids>0 then
        for idx = 1, #objIds do --Set the Oxygen dependence
                Creature:setOxygenNeed(objids[idx], true)
        end 
end"
20022,Mondo,despawnCreature,World:despawnCreature(objid),objid:number,ErrorCode.OK,rimuovere creatura,"local result = World:despawnCreature(objids[1])
if result == ErrorCode.OK then print('Despawn the creature') end"
20023,Mondo,spawnItem,"World:spawnItem(x, y, z, itemid, num)","x|y|z:number, itemid:number, num:number","ErrorCode.OK, objid:number",Genera elementi in posizione designato,"local xPos, yPos, zPos = 5, 6, 7
local itemId, itemCnt = 15003, 30 --Item's id and number
local ret, objIds = World:spawnItem(xPos, yPos, zPos, itemId, itemCnt)
if ret == ErrorCode.OK then print(""Item[1]====>>>"", objIds[1]) end"
20024,Mondo,despawnItemByBox,"World:despawnItemByBox(x1, y1, z1, x2, y2, z2)","x1|y1|z1:number starting point, x2|y2|z2:number ending point",ErrorCode.OK,Rimuovere gli elementi (per regione),"local x1, y1, z1 = -5, 5, -5
local x2, y2, z2 = 15, 9, 15
local result = World:despawnItemByBox(x1,y1,z1, x2,y2,z2)
if result == ErrorCode.OK then print('Successfully remove Item in designate region') end"
20025,Mondo,despawnItemByObjid,World:despawnItemByObjid(objid),objid:number,ErrorCode.OK,Elimina voce (Per ID),"local result = World:despawnItemByObjid(objIds[1])
if result == ErrorCode.OK then print('Successfully remove designate item') end"
20026,Mondo,spawnProjectile,"World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)","shooter:number, itemid:number, x|y|z:number, dirx|diry|dirz:number, speed:number",ErrorCode.OK,genera proiettile,"local result = World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)"
30001,Bloccare,isSolidBlock,"Block:isSolidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Se il blocco è un'entità,"local result = Block:isSolidBlock(x, y, z)"
30002,Bloccare,isLiquidBlock,"Block:isLiquidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Se il blocco è fluido,"local result = Block:isLiquidBlock(x, y, z)"
30003,Bloccare,isAirBlock,"Block:isAirBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Se il blocco è dotato di aria,"local result = Block:isAirBlock(x, y, z)"
30004,Bloccare,getBlockID,"Block:getBlockID(x, y, z)",x|y|z:number,"ErrorCode.OK, id:number",Ottenere corrispondente blocco id,"local result = Block:getBlockID(x, y, z)"
30005,Bloccare,setBlockAll,"Block:setBlockAll(x, y, z, blockid, data)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Impostare aggiornamento blockalldata e informare,"local result = Block:setBlockAll(x, y, z, blockid, data)"
30006,Bloccare,destroyBlock,"Block:destroyBlock(x, y, z, dropitem)","x|y|z:number, dropitem:boolean",ErrorCode.OK,Distruggere il blocco,"local result = Block:destroyBlock(x, y, z, dropitem)"
30007,Bloccare,placeBlock,"Block:placeBlock(blockid, x, y, z, face)","blockid:number, x|y|z:number, face:number","ErrorCode.OK, ret:boolean whether it is placed right",Posizionare il blocco,"local result = Block:placeBlock(blockid, x, y, z, face)"
30008,Bloccare,setBlockAllForUpdate,"Block:setBlockAllForUpdate(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Impostare blockalldata e informare i blocchi circostanti,"local result = Block:setBlockAllForUpdate(x, y, z, blockid)"
30009,Bloccare,setBlockAllForNotify,"Block:setBlockAllForNotify(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Impostare blockalldata e aggiornare blocchi posizione corrente,"local result = Block:setBlockAllForNotify(x, y, z, blockid)"
30010,Bloccare,setBlockSettingAttState,"Block:setBlockSettingAttState(blockid, atttype, switch)","blockid:number, atttype:BLOCKATTR, switch:boolean",ErrorCode.OK,attributi e lo stato del blocco Set,"local result = Block:setBlockSettingAttState(blockid, atttype, switch)"
30011,Bloccare,getBlockSwitchStatus,Block:getBlockSwitchStatus(pos),x|y|z:number,"ErrorCode.OK, isactive:boolean",Ottenere stato on-off del blocco funzionale,local result = Block:getBlockSwitchStatus(pos)
30012,Bloccare,setBlockSwitchStatus,"Block:setBlockSwitchStatus(pos, isactive)","x|y|z:number, isactive:boolean",ErrorCode.OK,Set on-off stato di blocco funzionale,"local result = Block:setBlockSwitchStatus(pos, isactive)"
40001,Gioco Attore,isPlayer,Actor:isPlayer(objid),objid,ErrorCode.OK is player is player,Rileva se si tratta di un giocatore,local result = Actor:isPlayer(objid)
40002,Gioco Attore,isMob,Actor:isMob(objid),objid,ErrorCode.OK is monster is monster,Rileva se si tratta di un mostro,local result = Actor:isMob(objid)
40003,Gioco Attore,getObjType,Actor:getObjType(objid),objid,"ErrorCode.OK, objtype:number",Prendi il tipo di attore: creatura / giocatore ...,local result = Actor:getObjType(objid)
40004,Gioco Attore,isInAir,Actor:isInAir(objid),objid:number,ErrorCode.OK,Se è nell'aria,local result = Actor:isInAir(objid)
40005,Gioco Attore,getPosition,Actor:getPosition(objid),objid,"ErrorCode.OK, x|y|z:number",Ottenere la posizione dell'attore,local result = Actor:getPosition(objid)
40006,Gioco Attore,setPosition,"Actor:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Impostare la posizione dell'attore,"local result = Actor:setPosition(objid, x, y, z)"
40007,Gioco Attore,jump,Actor:jump(objid),objid:number,ErrorCode.OK,Saltare,local result = Actor:jump(objid)
40008,Gioco Attore,killSelf,Actor:killSelf(objid),objid:number,ErrorCode.OK,Ucciditi,local result = Actor:killSelf(objid)
40009,Gioco Attore,getCurPlaceDir,Actor:getCurPlaceDir(objid),objid:number,"ErrorCode.OK, dir:number",Prendi la direzione di fronte a corrente,local result = Actor:getCurPlaceDir(objid)
40010,Gioco Attore,tryMoveToActor,"Actor:tryMoveToActor(self_objid, target_objid, speed)","self_objid:number, target_objid:number, speed:number",ErrorCode.OK,Muoversi verso attore bersaglio,"local result = Actor:tryMoveToActor(self_objid, target_objid, speed)"
40011,Gioco Attore,tryMoveToPos,"Actor:tryMoveToPos(objid, x, y, z, speed)","objid:number, x|y|z:number, speed:number",ErrorCode.OK,Muoversi verso attore bersaglio,"local result = Actor:tryMoveToPos(objid, x, y, z, speed)"
40012,Gioco Attore,addBuff,"Actor:addBuff(objid, buffid, bufflv, customticks)","objid:number, buffid:number, bufflv:number, customticks:number",ErrorCode.OK,ottenere Buff,"local result = Actor:addBuff(objid, buffid, bufflv, customticks)"
40013,Gioco Attore,hasBuff,"Actor:hasBuff(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ret:boolean",Se ha qualsiasi appassionato,"local result = Actor:hasBuff(objid, buffid)"
40014,Gioco Attore,removeBuff,"Actor:removeBuff(objid, buffid)","objid:number, buffid:number",ErrorCode.OK,Eliminare il buff,"local result = Actor:removeBuff(objid, buffid)"
40015,Gioco Attore,clearAllBuff,Actor:clearAllBuff(objid),objid:number,ErrorCode.OK,Cancella tutto il buff,local result = Actor:clearAllBuff(objid)
40016,Gioco Attore,clearAllBadBuff,Actor:clearAllBadBuff(objid),objid:number,ErrorCode.OK,Cancella tutto il buff negativo,local result = Actor:clearAllBadBuff(objid)
40017,Gioco Attore,getBuffList,Actor:getBuffList(objid),objid:number,"ErrorCode.OK, num:numberbuff number, array:tablebuffid array",Ottenere l'elenco appassionato,local result = Actor:getBuffList(objid)
40018,Gioco Attore,getBuffLeftTick,"Actor:getBuffLeftTick(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ticks:number",Ottenere l'ITCK rimanente corrispondente appassionato di indice corrente,"local result = Actor:getBuffLeftTick(objid, buffid)"
40019,Gioco Attore,addHP,"Actor:addHP(objid, hp)","objid:number, hp:number",ErrorCode.OK,Aumentare HP corrente,"local result = Actor:addHP(objid, hp)"
40020,Gioco Attore,getHP,Actor:getHP(objid),objid:number,"ErrorCode.OK, value:number",Get HP corrente,local result = Actor:getHP(objid)
40021,Gioco Attore,getMaxHP,Actor:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Ottenere corrente massima di HP,local result = Actor:getMaxHP(objid)
40022,Gioco Attore,addOxygen,"Actor:addOxygen(objid, oxygen)","objid:number, oxygen:number",ErrorCode.OK,Aumentare il volume di ossigeno,"local result = Actor:addOxygen(objid, oxygen)"
40023,Gioco Attore,getOxygen,Actor:getOxygen(objid),objid:number,"ErrorCode.OK, value:number",Ottenere il volume di ossigeno,local result = Actor:getOxygen(objid)
40024,Gioco Attore,addEnchant,"Actor:addEnchant(objid, slot, enchantId, enchantLevel)","objid:number, slot:number, enchantId:number, enchantLevel:number",ErrorCode.OK,Incease l'incanto delle attrezzature corrispondente,"local result = Actor:addEnchant(objid, slot, enchantId, enchantLevel)"
40025,Gioco Attore,removeEnchant,"Actor:removeEnchant(objid, slot, enchantId)","objid:number, slot:number, enchantId:number",ErrorCode.OK,Chiara incanto delle attrezzature corrispondente,"local result = Actor:removeEnchant(objid, slot, enchantId)"
40026,Gioco Attore,findNearestBlock,"Actor:findNearestBlock(objid, blockid, blockRange)","objid:number, blockid:number, blockRange","ErrorCode.OK, x|y|z:number",Trova id del blocco più vicino,"local result = Actor:findNearestBlock(objid, blockid, blockRange)"
40027,Gioco Attore,setFaceYaw,"Actor:setFaceYaw(objid, yaw)","objid:number, yaw:number angle",ErrorCode.OK,Impostare l'angolo di deviazione trasversale di vista dell'attore,"local result = Actor:setFaceYaw(objid, yaw)"
40028,Gioco Attore,getFaceYaw,Actor:getFaceYaw(objid),objid:number,"ErrorCode.OK, yaw:number",Ottenere l'angolo di deviazione trasversale di vista dell'attore,local result = Actor:getFaceYaw(objid)
40029,Gioco Attore,turnFaceYaw,"Actor:turnFaceYaw(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Modificare l'angolo di deviazione trasversale dell'attore,"local result = Actor:turnFaceYaw(objid, offset)"
40030,Gioco Attore,setFacePitch,"Actor:setFacePitch(objid, pitch)","objid:number, pitch:number upward view",ErrorCode.OK,Impostare l'angolo ascendente di vista dell'attore,"local result = Actor:setFacePitch(objid, pitch)"
40031,Gioco Attore,getFacePitch,Actor:getFacePitch(objid),objid:number,"ErrorCode.OK, pitch:number",Prendi l'angolo verso l'alto di vista dell'attore,local result = Actor:getFacePitch(objid)
40032,Gioco Attore,turnFacePitch,"Actor:turnFacePitch(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Modificare l'angolo di deviazione verso l'alto dell'attore,"local result = Actor:turnFacePitch(objid, offset)"
40033,Gioco Attore,playBodyEffect,"Actor:playBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Gioca gli effetti,"local result = Actor:playBodyEffect(objid, type)"
40034,Gioco Attore,stopBodyEffect,"Actor:stopBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Fermare gli effetti,"local result = Actor:stopBodyEffect(objid, type)"
40035,Gioco Attore,playBodyEffectByFile,"Actor:playBodyEffectByFile(objid, filename, sync)","objid:number, filename:string file name, sync:bool synchronize",ErrorCode.OK,Gioca gli effetti di file,"local result = Actor:playBodyEffectByFile(objid, filename, sync)"
40036,Gioco Attore,stopBodyEffectByFile,"Actor:stopBodyEffectByFile(objid, filename)","objid:number, filename:string file name",ErrorCode.OK,Fermare gli effetti di file,"local result = Actor:stopBodyEffectByFile(objid, filename)"
40037,Gioco Attore,playSound,"Actor:playSound(objid, name, volume, pitch, flag)","objid:number, name:string, volume:number, pitch:number, flag:number",ErrorCode.OK,Riprodurre l'audio,"local result = Actor:playSound(objid, name, volume, pitch, flag)"
40038,Gioco Attore,playSoundSpecial,"Actor:playSoundSpecial(objid, name, type)","objid:number, name:string, type:number designate name (GSOUND_TYPE)",ErrorCode.OK,Riproduci suono (tipo specifico: GSOUND_TYPE),"local result = Actor:playSoundSpecial(objid, name, type)"
40039,Gioco Attore,clearActorWithId,"Actor:clearActorWithId(actorid, bkill)","actorid:number, bkill:boolean",ErrorCode.OK,Cancellare id della creatura il cui ID è actorid,"local result = Actor:clearActorWithId(actorid, bkill)"
40040,Gioco Attore,setAttackType,"Actor:setAttackType(objid, attacktype)","objid:number, attacktype:number",ErrorCode.OK,Impostare il tipo di danni,"local result = Actor:setAttackType(objid, attacktype)"
40041,Gioco Attore,setImmuneType,"Actor:setImmuneType(objid, immunetype, isadd)","objid:number, immunetype:number, isadd:number",ErrorCode.OK,Set danni tipo di immunità,"local result = Actor:setImmuneType(objid, immunetype, isadd)"
40042,Gioco Attore,mountActor,"Actor:mountActor(objid, mountobjid, posindex)","objid:number, mountobjid:number, posindex:number ride",ErrorCode.OK,"Get on, off veicolo","local result = Actor:mountActor(objid, mountobjid, posindex)"
40043,Gioco Attore,setActionAttrState,"Actor:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,"Impostare il comportamento, attributi e lo stato di creatura","local result = Actor:setActionAttrState(objid, actionattr, switch)"
40044,Gioco Attore,tryNavigationToPos,"Actor:tryNavigationToPos(objid, x, y, z, cancontrol)","objid:number, x|y|z:number, cancontrol:boolean",ErrorCode.OK,Trovare il modo di indirizzare posizione,"local result = Actor:tryNavigationToPos(objid, x, y, z, cancontrol)"
40045,Gioco Attore,getRidingActorObjId,Actor:getRidingActorObjId(objid),objid:number,ErrorCode.OK,Prendi objid del Pferd,local result = Actor:getRidingActorObjId(objid)
50001,Giocatore,getAttr,Player:getAttr(attrtype),"objid:number, atttype:number","ErrorCode.OK, value:number",zero,local result = Player:getAttr(attrtype)
50002,Giocatore,setAttr,"Player:setAttr(attrtype, val)","objid:number, val:number, atttype:number",ErrorCode.OK,zero,"local result = Player:setAttr(attrtype, val)"
50003,Giocatore,getHostUin,Player:getHostUin(),nil,"ErrorCode.OK, uin:number",Prendi l'host,local result = Player:getHostUin()
50004,Giocatore,isMainPlayer,Player:isMainPlayer(objid),objid:number,ErrorCode.OK is local player is local player,Rilevare se è giocatore locale,local result = Player:isMainPlayer(objid)
50005,Giocatore,getMainPlayerUin,Player:getMainPlayerUin(),nil,"ErrorCode.OK, uin:number",Prendi uin del giocatore locale,local result = Player:getMainPlayerUin()
50006,Giocatore,getGameResults,Player:getGameResults(objid),objid:number,"ErrorCode.OK, value:number",Prendi risultato del gioco,local result = Player:getGameResults(objid)
50007,Giocatore,setGameResults,"Player:setGameResults(objid, result)","objid:number, result",ErrorCode.OK,Impostare risultato del gioco,"local result = Player:setGameResults(objid, result)"
50008,Giocatore,getGameScore,Player:getGameScore(objid),objid:number,"ErrorCode.OK, value:number",Ottenere il punteggio del gioco,local result = Player:getGameScore(objid)
50009,Giocatore,setGameScore,"Player:setGameScore(objid, score)",objid:number,"ErrorCode.OK, value:number",Set punteggio del gioco,"local result = Player:setGameScore(objid, score)"
50010,Giocatore,getGameRanking,Player:getGameRanking(objid),objid:number,"ErrorCode.OK, rank:number",Prendi il rango di giocatore,local result = Player:getGameRanking(objid)
50011,Giocatore,setGameRanking,"Player:setGameRanking(objid, rank)","objid:number, rank:number",ErrorCode.OK,Impostare il rango di giocatore,"local result = Player:setGameRanking(objid, rank)"
50012,Giocatore,gainItems,"Player:gainItems(objid, itemid, num, prioritytype)","objid:number, itemid:number, num:number, prioritytype:number(1 is shortcut bar prior 2 is backpack bar prior)",ErrorCode.OK,Aggiungere elementi per i giocatori,"local result = Player:gainItems(objid, itemid, num, prioritytype)"
50013,Giocatore,teleportHome,Player:teleportHome(objid),objid:number,ErrorCode.OK,Trasferimento a deporre le uova punto,local result = Player:teleportHome(objid)
50014,Giocatore,getCurToolID,Player:getCurToolID(objid),objid:number,"ErrorCode.OK, ret",Prendete l'oggetto id attualmente tenuto dal giocatore,local result = Player:getCurToolID(objid)
50015,Giocatore,getNickname,Player:getNickname(objid),objid:number,"ErrorCode.OK, name:string",Ottenere il nome del giocatore,local result = Player:getNickname(objid)
50016,Giocatore,removeBackpackItem,"Player:removeBackpackItem(objid, itemid, num)","objid:number, itemid:number, num:number",ErrorCode.OK,Rimuovi elementi nello zaino,"local result = Player:removeBackpackItem(objid, itemid, num)"
50017,Giocatore,getDieTimes,Player:getDieTimes(objid),objid:number,"ErrorCode.OK, value:number",Prendi il numero di morti,local result = Player:getDieTimes(objid)
50018,Giocatore,getLeftLifeNum,Player:getLeftLifeNum(objid),objid:number,"ErrorCode.OK, value:number",Prendi il numero di vite rimanenti lasciati,local result = Player:getLeftLifeNum(objid)
50019,Giocatore,setTeam,"Player:setTeam(objid, team)","objid:number, teamid:number",ErrorCode.OK,Impostare la squadra creatura,"local result = Player:setTeam(objid, team)"
50020,Giocatore,getTeam,Player:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Prendi il team di creatura,local result = Player:getTeam(objid)
50021,Giocatore,getFoodLevel,Player:getFoodLevel(objid),objid:number,ErrorCode.OK,Prendi il sazietà corrente,local result = Player:getFoodLevel(objid)
50022,Giocatore,setFoodLevel,"Player:setFoodLevel(objid, foodLevel)","objid:number, foodLevel:number",ErrorCode.OK,Impostare la sazietà corrente,"local result = Player:setFoodLevel(objid, foodLevel)"
50023,Giocatore,getCurShotcut,Player:getCurShotcut(objid),objid:number,"ErrorCode.OK, scutIdx:number",Prendi la barra di collegamento corrente,local result = Player:getCurShotcut(objid)
50024,Giocatore,onCurToolUsed,"Player:onCurToolUsed(objid, num)","objid:number, num:number items number",ErrorCode.OK,Impostare il consumo di prodotto detenuto da giocatore,"local result = Player:onCurToolUsed(objid, num)"
50025,Giocatore,setSkillCD,"Player:setSkillCD(objid, itemid, cd)","objid:number, itemid:number, cd:number",ErrorCode.OK,set CD,"local result = Player:setSkillCD(objid, itemid, cd)"
50026,Giocatore,reviveToPos,"Player:reviveToPos(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,giocatore Respawn a punto designato,"local result = Player:reviveToPos(objid, x, y, z)"
50027,Giocatore,setRevivePoint,"Player:setRevivePoint(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Cambiare il punto di respawn,"local result = Player:setRevivePoint(objid, x, y, z)"
50028,Giocatore,playAct,"Player:playAct(objid, actid)","objid:number, actid:number动作id",ErrorCode.OK,Giocatore di giocare il cartone animato,"local result = Player:playAct(objid, actid)"
50029,Giocatore,notifyGameInfo2Self,"Player:notifyGameInfo2Self(objid, info)","objid:number, info:string text content",ErrorCode.OK,Mostra testi in finestra pop-up,"local result = Player:notifyGameInfo2Self(objid, info)"
50030,Giocatore,useItem,"Player:useItem(objid, itemid, status, onshift)","objid:number, itemid:number, status:number state of using, onshift:boolean whether to press shift",ErrorCode.OK,Fare giocatore usa elemento corrente,"local result = Player:useItem(objid, itemid, status, onshift)"
50031,Giocatore,rotateCamera,"Player:rotateCamera(objid, yaw, pitch)","objid:number, yaw:number, pitch:number",ErrorCode.OK,Ruotare l'obiettivo del giocatore,"local result = Player:rotateCamera(objid, yaw, pitch)"
50032,Giocatore,changeViewMode,"Player:changeViewMode(objid, viewmode, islock)","objid:number, viewmode:numberVIEWPORTTYPE, islock:boolean",ErrorCode.OK,Cambiare modalità angolo di giocatore,"local result = Player:changeViewMode(objid, viewmode, islock)"
50033,Giocatore,setActionAttrState,"Player:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,"Impostare il comportamento, attributi e lo stato di creatura","local result = Player:setActionAttrState(objid, actionattr, switch)"
50034,Giocatore,checkActionAttrState,"Player:checkActionAttrState(objid, actionattr)","objid:number, actionattr:numberPLAYERATTR",ErrorCode.OK,"La leva di comportamento, attributo e lo stato di giocatore","local result = Player:checkActionAttrState(objid, actionattr)"
50035,Giocatore,getMaxHP,Player:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Prendi il max HP corrente,local result = Player:getMaxHP(objid)
50036,Giocatore,getCurHP,Player:getCurHP(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Prendi la corrente di HP,local result = Player:getCurHP(objid)
50037,Giocatore,getHpRecover,Player:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP recuperare,local result = Player:getHpRecover(objid)
50038,Giocatore,getCurFood,Player:getCurFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",sazietà corrente,local result = Player:getCurFood(objid)
