皮肤ID,皮肤名称,皮肤模型,贴图ID,头像,特效类型1[1=脚印，2=飞行，3=周身],特效1命名,特效类型2[1=脚印，2=飞行，3=周身],特效2命名,商店特效,购买天数1,钱类型1/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替6仅激活码解锁,消耗道具ID1,价格1,购买天数2,钱类型2/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替,消耗道具ID2,价格2,购买天数3,钱类型3/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替,消耗道具ID3,价格3,皮肤描述,购买提示类型（1前往家园和取消 2只有确定）,购买提示,标签（1限时 2折扣 3特惠 4典藏）,限时开始,限时结束,开放渠道ID（-1全关，0全开）,音效,高度,宽度,厚度,受击高度,受击宽度,受击厚度,特别效果类型1（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果1图标,特别效果1描述,特别效果类型2（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果2图标,特别效果2描述,特别效果类型3（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果3图标,特别效果3描述,特别效果类型4（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果4图标,特别效果4描述,特别效果类型5（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果5图标,特别效果5描述,特别效果类型6（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果6图标,特别效果6描述,背景图,背景动画文件,背景动画文件,动态商城图标（已废弃，改为读SkinCostDef装扮服务器表）,变形类型[不填=不显示变形按钮，1=变身为坐骑（且优先显示装扮），2=变身为装扮2（且优先显示装扮1），3=变身为坐骑（且优先显示坐骑）],变形关联（填入坐骑、装扮ID）,小窗logo,小窗尺寸(正常不填为2.0),野人举起高度,AR动捕支持（1支持，空则不支持）,备注标准人形骨骼（1为支持，0为不支持）,换装ID,头像框：只能永久,"表情动作（100140,100108）",解锁道具,装扮图片,互动关联,"多重换装ID(index_skinid,index表示对应的第几条特性,skinid表示皮肤id,有多个变色效果时用逗号隔开)",多重换装前置id,切换顺序,是否显示（1=不显示）,语音范围（半径）,出场语音,间隔时间1,初次判断时间1,休闲语音,间隔时间2,初次判断时间2,死亡语音,间隔时间3,社交语音,间隔时间4,初次判断时间3,光照条件,幻化特效,幻化准备时间,功能说明(1:幻化),动作播放顺序,召唤ID,变身条件（1=水环境之外的环境，2=水环境）,变身特效,变身时间,天赋buff,跳转ID（全局跳转id_定制id）,左侧边栏背景色,可搭配部件类型,列表模型缩放比|y轴位移
10,叮叮当,140010,,39,3,140010_1,1,140010,140010_2,,,,,,,,,-1,2,,388,欢乐圣诞谷中生活的小麋鹿，淘气可爱。,,,1,1478102400,1478275200,0,skin10,180,60,60,220,120,120,,bodyeffcet,身体特效：身上散发圣诞光环！,,headicon,头像：解锁鹿蝶儿头像。,,footprint,行走足迹：走过的地方会留下圣诞鹿脚印,,,,,,,,,,,,0,,,,,,180,,,,,,13030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,荒原猎人雪诺,140011,,40,3,140011,1,140011,,,,,,,,,,-1,2,,369,勇敢的雪诺来自极地，雄鹰都成为他的朋友。,,,,,,0,skin11,180,60,60,220,120,120,,bodyeffcet,身体特效：身上散发着凉凉的雪花,,headicon,头像：解锁雪诺头像。,,footprint,行走足迹：走过的地方会留下雪球脚印,,,,,,,,,,,,0,,,,,,180,,,,,,13031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,羽姬,140012,,41,3,140012,,,,,,,,,,,,-1,2,,999,落到凡间的仙子，偶然间邂逅了慕容笑天,,,1,1483632000,1484323200,0,skin12,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着花瓣,,headicon,头像：解锁羽姬头像。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,13032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,慕容笑天,140013,,42,3,140013,1,140013_3,140013_1,,,,,,,,,-1,2,,999,出山修行的隐士，偶然间邂逅了羽姬。,,,,,,0,skin13,180,60,60,220,120,120,,bodyeffcet,身体特效：身上散发着真气,,headicon,头像：解锁慕容笑天头像。,,footprint,行走足迹：走过的地方会留下脚印,,,,,,,,,,,,0,,,,,,180,,,,,,13033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,西部警长乔伊,140014,,43,3,140014_2,1,140014_3,140014_1,,,,,,,,,-1,2,,999,哦，对不起，也许我的子弹并不那么喜欢你,,,,1483632000,1484323200,0,skin14,180,60,60,220,120,120,,bodyeffcet,身体特效：脚步散发着西部牛仔的烟尘,,headicon,头像：解锁西部警长乔伊头像。,,footprint,行走足迹：走过的地方会留下警星脚印,,,,,,,,,,,,0,,,,,,180,,,,,,13034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,篮球队长卢卡斯,140015,,44,,,1,140015_3,140015_1,,,,,,,,,-1,2,,999,犀利的意识，飘逸的走位，华丽的扣篮，掌控全场的明星。,2,暂未开放获得。,3,,,999,skin15,180,60,60,220,120,120,,,,,headicon,头像：解锁小前锋卢卡斯头像。,,footprint,行走足迹：走过的地方会留下篮球脚印,,,,,,,,,,,,0,,,,,,180,,,,,,13035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,啦啦队长克莱尔,140016,,45,,,1,140016_3,140016_1,,,,,,,,,-1,2,,999,和卢卡斯一样，她在场能吸引所有人的目光，魅力四射。,2,暂未开放获得。,3,,,999,skin16,180,60,60,220,120,120,,,,,headicon,头像：解锁啦啦队长克莱尔头像。,,footprint,行走足迹：走过的地方会留下彩带脚印,,,,,,,,,,,,0,,,,,,180,,,,,,13036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,西部玫瑰露西,140017,,46,3,140017_1,,,140017_2,,,,,,,,,-1,2,,999,嗯哼，我的子弹或许喜欢你,2,暂未开放获得。,3,,,999,skin17,180,60,60,220,120,120,,bodyeffcet,身体特效：散发着迷人爱心！,,headicon,头像：解锁露西头像,,,,,,,,,,,,,,,0,,,,,,180,,,,,,13037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,黑帽子船长蒂奇,140018,,47,,,1,140018_3,140018_1,,,,,,,,,-1,2,,999,玛丽，我要成为最负盛名的海盗船长，搜寻大海尽头的宝藏！,2,暂未开放获得。,3,,,999,skin18,180,60,60,220,120,120,,,,,headicon,头像：解锁船长头像。,,footprint,行走足迹：走过的地方会留下脚印,,,,,,,,,,,,0,,,,,1.8,180,,,,,,13038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,甜心玛丽,140019,,48,3,140019_2,,,140019_1,,,,,,,,,-1,2,,999,那我就做最负盛名的海盗船长的小跟班~,2,暂未开放获得。,3,,,999,skin19,180,60,60,220,120,120,,bodyeffcet,身体特效：散发着粉色海洋的味道,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,13039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,程锦衣,140020,,49,,,1,140020_3,140020_1,,,,,,,,,-1,2,,999,小楼昨夜又东风，故国不堪回首月明中,2,暂未开放获得。,3,,,999,skin20,180,60,60,220,120,120,,footprint,行走足迹：脚底生风,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,13040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,花小楼,140021,,50,3,140021_2,,,140021_1,,,,,,,,,-1,2,,999,回想故国还在时与哥哥一起夜观烟火，如今却天涯沦落不知人在何方,2,暂未开放获得。,3,,,999,skin21,180,60,60,220,120,120,,bodyeffcet,身体特效：飘着朵朵桃花,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,0,,,,icon_55,,180,,,,,,13041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,莉莉丝,140022,,51,3,140022_2,,,140022_1,,,,,,,,,-1,2,,999,不给糖吃就捣蛋！,2,,1,1539792000,1541865600,999,skin22,180,60,60,220,120,120,,bodyeffcet,身体特效：散发女巫气息,,headicon,头像：解锁头像,,,,,,,,,,,,,,,0,,,,,,180,,,,,,13042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,月无双,140023,,52,3,140023_2,,,140023_1,,,,,,,,,-1,2,,999,本姑娘可不是那么好欺负的，哼，人家超厉害的！,2,,1,,,999,skin23,180,60,60,220,120,120,,bodyeffcet,身体特效：身上散发蓝花,,headicon,头像：解锁包子头像,,,,,,,,,,,,,,,0,,,,icon_55,,180,,1,,,,13043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,叶小龙,140024,,53,,,1,140024_3,140024_1,,,,,,,,,-1,2,,999,小师妹的世界，由我来守护！,2,,1,,,999,skin24,180,60,60,220,120,120,,footprint,行走足迹：走过的地方留下黑色烟雾。,,headicon,头像：解锁叶小龙头像。,,,,,,,,,,,,,,,0,,,,icon_55,,180,,1,,,,20401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,二郎神,140025,,54,3,140025_2,,,140025_1,,,,,,,,,-1,2,,999,人间竟有如此美妙之地，吾定保此地平安！,2,,1,,,999,skin25,180,60,60,220,120,120,,bodyeffcet,身体特效：身上散发着天罡正气。,,headicon,头像：解锁二郎神头像。,,,,,,,,,,,,,,,0,,,,,1.8,180,,,,,,20402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,余小乐,140026,,55,1,140026_3,,,,,,,,,,,,-1,2,,999,麻麻说，有梦想的鱼才会快乐。,2,,1,,,999,skin26,180,60,60,220,120,120,,bodyeffcet,身体特效：身上散发着梦想的气息……,,headicon,头像：解锁余小乐头像,,,,,,,,,,,,,,,0,,,,,,180,,,,,,20403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,迷梭梭,140027,,56,3,140027_2,,,,7,4,,300,30,3,20035,200,-1,3,20035,500,“世界守护计划”首席环保筑梦师，为绿色家园而战。面对日益严重的荒漠化，《迷你世界》二周年之际，代表所有玩家向阿拉善公益捐赠5万棵“梭梭”树。,2,解锁道具可由世界守护计划获得。,1,,,999,skin27,180,60,60,220,120,120,,bodyeffcet,身体特效：身上散发着树木气息,,headicon,头像：解锁小树人头像,,,,,,,,,,,,,,,0,,,,,,180,,,,,,20404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,幻音,140028,,57,3,140028_2,,,140028_1,,,,,,,,,-1,2,,999,守护时空的少女，喜欢旅行和音乐。,2,,1,,,999,skin28,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着电磁粒子。,,headicon,头像：解锁幻音头像。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,20405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,幻-零式,140029,,58,3,140029_2,,,140029_1,,,,,,,,,-1,2,,999,冰冷的躯壳下有一个炽热的灵魂，目标是星辰大海！,2,,1,,,999,skin29,180,60,60,220,120,120,,bodyeffcet,身体特效：背部飘散着电磁粒子。,,headicon,头像：解锁幻-零式头像。,,,,,,,,,,,,,,,0,,,,,1.65,180,,,,,,20406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,柳仙儿,140030,,59,3,140030_2,1,140030_3,140030_1,,,,,,,,,-1,2,,468,月中起舞的小仙女，传闻只有幸运的人才有缘得见。,2,,1,,,999,skin30,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着月牙。,,headicon,头像：解锁头像。,,,,,,,,,,,,,dtxx_beijingtu01,selrole4,-210,,,,icon_55,,180,,,,,,20407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,帕普奇,140031,,60,3,140031_2,1,140031_3,140031_1,,,,,,,,,-1,2,,268,一位神秘又强大的魔法师，拥有记载奇术的宝典和看似无用的魔法头套。,2,,1,1539792000,1541865600,999,skin31,180,60,60,220,120,120,,bodyeffcet,身体特效：散发魔法气息。,,headicon,头像：解锁南瓜人头像。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,20408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,米娜,140032,,61,3,140032_2,1,140032_3,140032_1,,,,,,,,,-1,2,,99,来自神秘海底王国的小公主，无意间迷路到了迷你世界。让她高兴的人，会听到她优美的歌声。,2,,1,,,999,skin32,180,60,60,220,120,120,,bodyeffcet,身体特效：身上散发着水珠。,,headicon,头像：解锁米娜头像,,footprint,行走足迹：走过的地方会留下贝壳脚印。,,,,,,,,,,,,0,,,,,1.8,180,,,,,,20409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,雪灵,140033,,62,3,140033_2,,,140033_1,,,,,,,,,-1,2,,999,冬天的秘密，就是每片雪花都有生命，它们彼此守护。,2,,1,,,999,skin33,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着雪花。,,headicon,头像：解锁雪灵头像,,,,,,,,,,,,,,,0,,,,,,180,,,,,,20410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,嘟嘟啵啵,140034,,63,,,,,140034_1,,,,,,,,,-1,2,,999,嘟嘟和啵啵是迷斯拉的好哥们，但常因为自己的力量太小而自卑。直到他们听说有一颗星球上能获得色彩魔法，便带着希望一路向前（购买迷你星工场图纸包解锁，集齐嘟嘟、啵啵装扮将解锁变色装扮嘟嘟啵啵！）,2,,4,,,999,skin34,180,60,60,220,120,120,,bodyeffcet,身体特效：随着环境变换颜色！,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,0,,,,,,180,,1,,,,20411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,嘟嘟,140034,1,64,,,,,140034_1,,,,,,,,,-1,2,,999,嘟嘟和啵啵是迷斯拉的好哥们，但常因为自己的力量太小而自卑。直到他们听说有一颗星球上能获得色彩魔法，便带着希望一路向前（购买迷你星工场图纸包解锁，集齐嘟嘟、啵啵装扮将解锁变色装扮嘟嘟啵啵！）,2,,,,,999,skin34,180,60,60,220,120,120,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,,,,0,,,,,,180,,1,,,,20412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,啵啵,140034,2,65,,,,,140034_1,,,,,,,,,-1,2,,999,嘟嘟和啵啵是迷斯拉的好哥们，但常因为自己的力量太小而自卑。直到他们听说有一颗星球上能获得色彩魔法，便带着希望一路向前（购买迷你星工场图纸包解锁，集齐嘟嘟、啵啵装扮将解锁变色装扮嘟嘟啵啵！）,2,,,,,999,skin34,180,60,60,220,120,120,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,,,,0,,,,,,180,,1,,,,20413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,梦歌,140035,,66,,,1,140035_3,140035_1,,,,,,,,,-1,2,,999,如从梦中出走的少女，想来一场说走就走的旅行。这一次不仅为了探险，更为了活出自己想要的样子。,2,,1,,,999,skin35,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下花瓣脚印。,,,,,,,,,,,,,,,0,,,,icon_55,,180,,,,,,20414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,斩浪,140036,,67,3,140036_2,1,140036_3,140036_1,,,,,,,,,-1,2,,999,久经风浪的水军大将，天下皆称此子有天蓬元帅下凡之能。,2,,1,,,999,skin36,180,60,60,220,120,120,,bodyeffcet,身体特效：身上散发水花！,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下水花脚印。,,,,,,,,,,dtxx_beijingtu02,,0,,,,,1.7,180,,,,,,20415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,安吉洛斯,140037,,68,3,140037_2,,,140037_1,,6,,,,,,,,,,,正直善良的安吉洛斯，挥舞手中的星杖，将爱心和希望洒落在迷你大陆的每个角落，守护着一代又一代的探险家们。（安吉洛斯仅能通过活动获得~）,2,解锁道具可由活动获得,1,,,999,skin37,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着羽毛！,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,20416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,暗星,140038,,69,3,140038_2,1,140038_3,140038_1,,,,,,,,,,,,,来自虚空的DJ，最爱劲爆的电音摇滚。有着超强节奏感的他，是派对舞台上最耀眼的星。,2,,1,,,999,skin38,180,60,60,220,120,120,,bodyeffcet,身体特效：尾巴带有闪电！,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下音符脚印。,,,,,,,,,,,,0,,,,,,180,,,,,,20417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,兰斯洛特,140039,,70,3,140039_2,,,140039_1,,,,,,,,,,,,,何为骑士之道？剑锋所指，正义必达！,2,,1,,,999,skin39,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着星光！,,headicon,头像：解锁头像。,,,,,, ,,,,,,,,,0,,,,,,180,,,,,,20418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,喵小糖,140040,,71,,,1,140040_3,140040_1,,,,,,,,,,,,,系统网络连接正常，电磁炮台准备就绪。什么？说我是技术宅？不不不，这可是科学家的浪漫啊！哎？电力不足警告，要，要去充电啦。,2,,1,,,999,skin40,180,60,60,220,120,120,,,,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下电子颗粒。,,,,,,,,,,,,0,,,,,,180,,,,,,20419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,千兵卫,140041,,72,,,1,140041_3,140041_1,,2,,,,,,,,,,,你的武功不错！但那也赶不上我迅捷如风的二刀流哇。,,,,,,999,skin41,180,60,60,220,120,120,,,,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下尘埃脚印。,,,,,,,,,,,,0,,,,,,180,,,,,,20420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,星翼,140042,,73,,,1,140042_3,140042_1,,2,,,,,,,-1,2,,298,“这次比赛的冠军奖杯，就是我的生日礼物!”热爱繁华都市生活的星翼又一次出现在了赛场上。对她来说，冠军固然重要，但更重要的是赢得漂亮！,,,,,,999,skin42,180,60,60,220,120,120,,,,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下小爱心脚印。,,,,,,,,,,,,0,,,,,,180,,,,,,20421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,离,140043,,74,,,1,140043_3,140043_1,,2,,,,,,,-1,2,,268,元气满满的刺客，经常自言自语的给自己打气。最喜欢使用飞针，以及将所有物品都织上毛线套。,,,,,,999,skin43,180,60,60,220,120,120,,,,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下毛球脚印。,,,,,,,,,,,,0,,,,,,180,,,,,,20422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
