搴忓垪ID,鐗╁搧ID,鐗╁搧鍚嶇О,绯诲垪ID,澶х被ID,澶х被鍚嶇О
66,899,鍙ゅ吀璺鐏,12,1,瀹跺叿
67,900,鐜颁唬璺鐏,12,1,瀹跺叿
68,926,榛戣壊閾滃洿鏍,13,1,瀹跺叿
69,927,鐧借壊閾滃洿鏍,13,1,瀹跺叿
70,928,灏忚姳鐩,13,1,瀹跺叿
71,929,澶ц姳鐩,13,1,瀹跺叿
72,931,铚＄儧鍙,12,1,瀹跺叿
73,933,鍚婄伅,12,1,瀹跺叿
74,934,鍏搁泤澹佺伅,12,1,瀹跺叿
75,935,绮捐嚧澹佺伅,12,1,瀹跺叿
76,936,鍙扮伅,12,1,瀹跺叿
77,881,鍠疯姳鐑熻姳,14,4,鑺傛棩
78,940,鏄ヨ妭绐楄姳-绂,14,4,鑺傛棩
79,941,鏄ヨ妭绐楄姳-绂,14,4,鑺傛棩
80,942,鏄ヨ妭绐楄姳-瀵,14,4,鑺傛棩
81,943,鏄ヨ妭绐楄姳-鍠,14,4,鑺傛棩
82,945,涓寮忓鐏,14,4,鑺傛棩
83,946,绾㈣壊闄惰姳鐩,14,4,鑺傛棩
84,947,缁胯壊闄惰姳鐩,14,4,鑺傛棩
85,948,澶х摲鑺辩泦,14,4,鑺傛棩
86,949,鏂版槬瀹鐏,14,4,鑺傛棩
87,12253,鐏绠鑳屽寘,14,4,鑺傛棩
88,12830,瀛旀槑鐏,15,4,鑺傛棩
89,13808,鑽风伅,15,4,鑺傛棩
90,419,绉嬪彾姗欏湴鏉,16,2,寤虹瓚
91,420,娴锋犵孩鍦版澘,16,2,寤虹瓚
92,424,绮惧埗榛勭爾鏉,16,2,寤虹瓚
93,427,绔栨牸閲夐潰鐮,16,2,寤虹瓚
94,428,鍥涙牸閲夐潰鐮,16,2,寤虹瓚
95,429,涓嶈勫垯閲夐潰鐮,16,2,寤虹瓚
96,539,璞＄墮鐧芥爡鏍,17,2,寤虹瓚
97,551,绮楀埗鐭崇爾鍥存爮,17,2,寤虹瓚
98,552,璞＄墮鐧藉洿鏍,17,2,寤虹瓚
99,553,鏈ㄦ爡鏍,17,2,寤虹瓚
100,554,閾滃洿鏍,17,2,寤虹瓚
104,1108,鍘氱橀摱鏉,19,2,寤虹瓚
105,1102,闀滃啺,19,2,寤虹瓚
106,1105,鏄熻兘绉橀摱鍧,19,2,寤虹瓚
107,1109,闀傜┖绉橀摱鏉,19,2,寤虹瓚
108,1103,鍐扮伅,19,2,寤虹瓚
109,1106,鏄熻兘绉橀摱鏉,19,2,寤虹瓚
110,1107,绱绾跨橀摱鍧,19,2,寤虹瓚
111,1110,瀹為獙瀹ょ伅,19,2,寤虹瓚
112,1101,瀹為獙瀹ら棬,19,2,寤虹瓚
113,1104,鑺辩汗鏄熻兘鍧,19,2,寤虹瓚
114,1112,绉橀摱涓濈綉,20,2,寤虹瓚
115,1113,绔栫汗绉橀摱鏉,20,2,寤虹瓚
116,1114,閿堢橀摱鏉,20,2,寤虹瓚
117,1115,鏉＄汗閿堢橀摱鏉,20,2,寤虹瓚
118,1116,闀傜┖閿堢橀摱鏉,20,2,寤虹瓚
119,1119,鑺辩汗绉橀摱鍧,20,2,寤虹瓚
120,1117,鏄熻兘閿堢橀摱鍧,20,2,寤虹瓚
121,1118,鑽у厜鐏,20,2,寤虹瓚
122,1111,閿堢橀摱闂,20,2,寤虹瓚
123,1120,璞＄墮鐧芥棫绉橀摱鍧,20,2,寤虹瓚
124,12589,鑽у厜寮瑰紦,21,3,瑁呭
125,15506,鍦嗙悆鐖嗗脊,21,3,瑁呭
126,15507,鍐伴敟,21,3,瑁呭
127,15508,鐔斿博鐞,21,3,瑁呭
128,12291,鑴夊啿寮,22,3,瑁呭
129,15519,榛戦緳鐔斿博鐞,22,3,瑁呭
130,15520,榛戦緳娣蜂贡鐞,22,3,瑁呭
131,1060,鍙嶅皠闀,22,3,瑁呭
132,1136,闆姊呭睆椋,23,4,鑺傛棩
133,1137,绾㈢儧鐏,23,4,鑺傛棩
134,1145,鏄ヨ妭绐楄姳-鐗,23,4,鑺傛棩
135,1747,鎵嬪伐闆曞-楠嗛┘,25,2,寤虹瓚
136,1748,鏅瑙傝呴グ-鑾楂樼獰涔濆眰濉,25,2,寤虹瓚
137,1749,鎵嬪伐闆曞-鏁︾厡椋炲ぉ,25,2,寤虹瓚
138,1750,鏁︾厡澹佺敾1,25,2,寤虹瓚
139,1751,鏁︾厡澹佺敾2,25,2,寤虹瓚
140,1752,鏁︾厡澹佺敾3,25,2,寤虹瓚
149,1811,涓寮忔呭瓙,27,1,瀹跺叿
150,1812,涓寮忔屽瓙,27,1,瀹跺叿
151,1813,涓寮忔湪妞,27,1,瀹跺叿
152,1814,涓寮忕伀鐐,27,1,瀹跺叿
153,1815,涓寮忔煖瀛,27,1,瀹跺叿
