回收物品ID,名称,0级关联物品ID,类型（0普通物品1解锁型道具2角色3皮肤4坐骑5头像）,获得物品ID1,获得物品数量1,获得物品ID2,获得物品数量2
25024,纸鹤碎片,4571,4,10000,1,10001,1
25025,沙漠之舟碎片,,4,10000,1,10001,1
25026,仙钥碎片,4582,4,10000,1,10001,1
25027,仙剑碎片,4586,4,10000,1,10001,1
25028,画卷碎片,4579,4,10000,1,10001,1
25029,浴缸碎片,4589,4,10000,1,10001,1
25030,狐仙碎片,4593,4,10000,1,10001,1
25031,猫猫车碎片,4597,4,10000,1,10001,1
25032,骆驼碎片,4601,4,10000,1,10001,1
25033,孔雀碎片,4605,4,10000,1,10001,1
25034,月饼碎片,4609,4,10000,1,10001,1
25035,芳华碎片,4613,4,10000,1,10001,1
25036,滑板碎片,4617,4,10000,1,10001,1
25037,飞天小猪碎片,4623,4,10000,1,10001,1
25038,兔子灯碎片,4627,4,10000,1,10001,1
25039,妆盒碎片,4631,4,10000,1,10001,1
25040,雪花碎片,4635,4,10000,1,10001,1
25041,迷你变形车碎片,4643,4,10000,1,10001,1
25042,庆典之书碎片,4645,4,10000,1,10001,1
25043,咕噜兽碎片,4547,4,10000,1,10001,1
25044,粽叶筏碎片,4549,4,10000,1,10001,1
20148,敦煌飞天雕塑碎片,1749,1,10000,1,10001,1
20149,骆驼雕塑碎片,1747,1,10000,1,10001,1
20150,莫高窟九层塔碎片,1748,1,10000,1,10001,1
20151,敦煌壁画1碎片,1750,1,10000,1,10001,1
20152,敦煌壁画2碎片,1751,1,10000,1,10001,1
20153,敦煌壁画3碎片,1752,1,10000,1,10001,1
20154,弦月魔法棒碎片,12301,1,10000,1,10001,1
20155,星翼魔法棒（蓝）碎片,12302,1,10000,1,10001,1
20156,星翼魔法棒（红）碎片,12303,1,10000,1,10001,1
20157,魔仙剑碎片,12304,1,10000,1,10001,1
20158,公主魔法绘本碎片,12305,1,10000,1,10001,1
20159,魔法调色盘（红）碎片,12306,1,10000,1,10001,1
20160,魔法调色盘（黄）碎片,12307,1,10000,1,10001,1
20489,苍林白鹿（永久）,4500,1,10000,1,10001,1
20490,涅盘绘色（永久）,4500,1,10000,1,10001,1
20491,鹿王本生（永久）,4500,1,10000,1,10001,1
25506,星语心愿（永久）,4571,1,10000,1,10001,1
25507,魔法南瓜车（永久） ,4504,1,10000,1,10001,1
25510,玲珑音韵（永久） ,4534,1,10000,1,10001,1
25511,天方夜谭（永久）,4538,1,10000,1,10001,1
25512,逐影之钥（永久）,4582,1,10000,1,10001,1
25513,赤霄长剑（永久）,4586,1,10000,1,10001,1
25514,休闲时光（永久）,4597,1,10000,1,10001,1
25515,萌小狸（永久）,4601,1,10000,1,10001,1
25516,青绿（永久）,4605,1,10000,1,10001,1
25517,心里软（永久）,4609,1,10000,1,10001,1
25518,紫幽铃（永久）,4613,1,10000,1,10001,1
25519,飞行猪噜噜（永久）,4623,1,10000,1,10001,1
25522,迷你变形车（永久）,4644,1,10000,1,10001,1
25523,庆典之书（永久）,4646,1,10000,1,10001,1
25524,咕噜兽（永久）,4648,1,10000,1,10001,1
25525,粽叶筏（永久）,4650,1,10000,1,10001,1
