id,坐骑名称备注,坐骑ID/真实ID=3430+1/2,头像ID,等级,解锁方式/1道具可用迷你币补2只迷你币3只道具,解锁消耗道具ID,解锁数量（改读服务器）,解锁道具跟迷你币比例（改读服务器）,音效,购买提示类型（1前往家园和取消 2只有确定 3前往礼包和取消 4-前往迷你点抽奖和取消 5-前往扭蛋和取消 6-前往坐骑抽奖&取消）,购买提示,能力1,能力2,能力3,商城显示(填1=不显示，不填=显示),能力4,品质标签（1稀有/2珍贵/3传说/4典藏）,IP动态标签,道具ID,道具数量,坐骑类型（1=普通，2=高级）,同一碎片的最高级（1=是）
35,福运哞哞,3488,3489,1,3,24817,300,1,horse3489,2,解锁道具可在福利商店兑换获得,41,,,,,,,,,1,1
36,北辰荧火,3490,3491,1,3,10009,300,298,horse3492,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,1,42,44,,,,,,,2,
37,浮游山海,3490,3492,2,3,24818,600,1,horse3492,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,1,42,43,,44,,,,,2,1
38,,3493,3494,2,3,,,,horse3494,,解锁道具可在家园活动果实中获得，金果实及普通果实中不投放（适度娱乐理性消费）,,,,1,,,,,,,
39,莲花1级,3495,3496,1,3,24819,300,1,horse3497,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,1,47,,,,,,,,2,
40,莲花2级,3495,3497,2,3,24819,600,1,horse3497,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,1,48,,,,,,,,2,1
45,九色鹿1级,4500,4501,1,2,30000,10002,298,horse4503,1,解锁道具可在家园活动果实中获得，金果实及普通果实中不投放（适度娱乐理性消费）,,49,,,,,,20489,1,2,1
46,九色鹿2级,4500,4502,2,3,24820,,300,horse4503,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,,50,,,,,,20490,1,2,
47,九色鹿3级,4500,4503,3,3,24820,,600,horse4503,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,,50,51,,,,,20491,1,2,
48,竹蜻蜓1级,4508,4509,1,3,25003,300,1,horse4510,2,解锁道具可在迷你编程app中获得（在应用商店搜索下载）,,56,57,,,,,,,,1
49,南瓜车1级,4504,4505,1,2,10002,30000,498,horse4507,1,购买解锁（适度娱乐理性消费）,,52,,,,,,25507,1,,1
50,南瓜车2级,4504,4506,2,3,25001,150,1,horse4507,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,,52,54,,,,,,,2,
51,南瓜车3级,4504,4507,3,3,25002,300,1,horse4507,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,,53,55,,,,,,,2,1
52,灰甜绒绒 ,4511,4512,1,3,25004,999,1,horse4515,2,解锁道具可通过运营活动获得。,,,,,,,,,,1,1
53,星愿雪霜 ,4511,4513,2,3,25004,999,1,horse4515,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,59,,,,,,,,,2,
54,绮幻奇旅 ,4511,4514,3,3,25004,999,1,horse4515,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,59,60,,,,,,,,2,
55,曦光绘梦,4511,4515,4,3,25004,999,1,horse4515,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,59,60,61,,,,,,,2,1
56,黑飞机1级,4516,4517,1,3,25009,999,1,horse4518,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,62,66,,,,,,,,2,
57,黑飞机2级,4516,4518,2,3,25009,999,1,horse4518,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,63,67,68,,,,,,,2,1
58,白飞机1级,4519,4520,1,3,25009,999,1,horse4521,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,64,66,,,,,,,,2,
59,白飞机2级,4519,4521,2,3,25009,999,1,horse4521,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,65,67,68,,,,,,,2,1
60,小汽车1级,4522,4523,1,3,25010,999,1,horse4523,2,解锁道具可通过运营活动获得。,69,,,,,,,,,1,1
61,环海洛洛,4524,4525,1,3,25011,999,1,horse4526,1,解锁道具可在家园活动果实中获得，金果实及普通果实中不投放（适度娱乐理性消费）,70,13,,1,,,giflogo_127,25508,1,,
62,环海洛洛-进阶,4524,4526,2,3,25011,999,1,horse4526,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,70,13,71,1,,,giflogo_127,,,2,1
63,尼东洛洛,4527,4528,1,3,25012,999,1,horse4527,1,解锁道具可在家园活动果实中获得，金果实及普通果实中不投放（适度娱乐理性消费）,72,13,,1,,,giflogo_127,25509,1,,
64,尼东洛洛-进阶,4527,4529,2,3,25012,999,1,horse4527,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,72,13,73,1,,,giflogo_127,,,2,1
65,红芒赤蛟,4530,4531,1,2,10002,999,1,horse4528,1,购买解锁（适度娱乐理性消费）,74,,,,,,,,,,
66,九霄金龙,4530,4532,2,3,25013,999,1,horse4528,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,75,20,,,,,,,,2,
67,虚空龙祖,4530,4533,3,3,25013,999,1,horse4528,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,76,21,11,,,,,,,2,1
68,玲珑音韵,4534,4535,1,2,10002,999,1,horse4529,1,购买解锁（适度娱乐理性消费）,77,,,,,,,25510,1,,
69,蝶弄清影,4534,4536,2,3,25014,999,1,horse4529,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,78,3,,,,,,,,2,
70,繁花夜明,4534,4537,3,3,25014,999,1,horse4529,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,79,3,80,,,,,,,2,1
71,天方夜谭,4538,4539,1,2,10002,999,1,horse4530,1,购买解锁（适度娱乐理性消费）,81,,,,,,,25511,1,,
72,波斯飞毯,4538,4540,2,3,25015,999,1,horse4530,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,82,22,,,,,,,,2,
73,星月魔毯,4538,4541,3,3,25015,999,1,horse4530,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,83,22,84,,,,,,,2,1
74,咕咕,4542,4543,1,3,25017,999,1,horse4531,1,购买解锁（适度娱乐理性消费）,85,,,,,,,,,,1
75,炼金雀,4542,4544,2,3,25016,999,1,horse4531,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,85,87,,,,,,,,2,
76,千机隼,4542,4545,3,3,25016,999,1,horse4531,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,86,87,88,,,,,,,2,1
77,最强音浪,4546,4547,1,3,25018,999,1,horse4547,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,89,91,,,,,,,,2,
78,无限电音,4546,4548,2,3,25018,999,1,horse4547,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,90,92,,,,,,,,2,1
79,云中花架,4549,4550,1,3,25019,999,1,horse4550,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,93,94,,,,,,,,2,
80,云梦飞舞,4549,4551,2,3,25019,999,1,horse4550,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,93,94,95,,,,,,,2,1
81,水云游,4552,4553,1,3,25020,999,1,horse4553,2,解锁道具可通过运营活动获得。,96,98,,,,,,,,2,
82,醉花荫,4552,4554,2,3,25020,999,1,horse4553,2,解锁道具可通过运营活动获得。,97,98,99,,,,,,,2,1
83,旺财,4555,4556,1,3,25021,999,1,horse4556,4,解锁道具可在迷你点商城获得。,100,,,,,,,,,1,1
84,超音帝皇驹,4559,4560,1,2,10002,999,1,horse4559,1,购买解锁（适度娱乐理性消费）,101,,,1,,,,25504,1,,
85,陆行帝皇驹,4559,4561,2,3,25022,999,1,horse4559,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,101,103,,1,,,,,,2,
86,帝皇战龙,4559,4562,3,3,25022,999,1,horse4560,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,102,103,104,1,,,,,,2,1
87,小老虎,4563,4564,1,2,10002,999,1,horse4564,1,购买解锁（适度娱乐理性消费）,105,,,1,,,,25505,1,,
88,萌虎下山,4563,4565,2,3,25023,999,1,horse4564,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,105,107,,1,,,,,,2,
89,虎虎生威,4563,4566,3,3,25023,999,1,horse4564,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,106,107,108,1,,,,,,2,1
90,,4567,4568,1,3,,600,1,,2,,,,,1,,,,,,,
91,,4569,4570,1,3,,600,1,,2,,,,,1,,,,,,,
92,星语心愿,4571,4572,1,3,25024,999,1,horse4572,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,109,,,,,,,25506,1,2,
93,华灯初上,4571,4573,2,3,25024,999,1,horse4572,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,110,112,,,,,,,,2,
94,春风燕语,4571,4574,3,3,25024,999,1,horse4572,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,111,112,113,,,,,,,2,1
95,沙漠之舟,4575,4576,1,3,25025,999,1,horse4576,6,解锁道具可在家园果实中获得。（适度娱乐理性消费）,6,,,,,,,,,1,
96,绿洲使者,4575,4577,2,3,25025,999,1,horse4576,6,解锁道具可在家园果实中获得。（适度娱乐理性消费）,6,,,,,,,,,1,
97,华丽神驼,4575,4578,3,3,25025,999,1,horse4576,6,解锁道具可在家园果实中获得。（适度娱乐理性消费）,6,,,,,,,,,1,1
98,梦逍遥,4579,4580,1,3,25028,999,1,horse4580,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,114,116,,,,,,,,2,
99,绘江山,4579,4581,2,3,25028,999,1,horse4580,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,115,116,117,,,,,,,2,1
100,梦璃之钥,4582,4583,1,3,10002,999,1,horse4583,1,购买解锁（适度娱乐理性消费）,118,,,,,,,25512,1,,
101,羽辉之钥,4582,4584,2,3,25026,999,1,horse4583,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,118,9,,,,,,,,2,
102,逐影之钥,4582,4585,3,3,25026,999,1,horse4583,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,119,9,120,,,,,,,2,1
103,赤霄长剑,4586,4587,1,3,10002,999,1,horse4587,1,购买解锁（适度娱乐理性消费）,121,123,,,,,,25513,1,,
104,轩辕圣剑,4586,4588,2,3,25027,999,1,horse4587,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,122,123,124,,,,,,,2,1
105,梦幻浴室,4589,4590,1,3,10002,999,1,horse4590,1,购买解锁（适度娱乐理性消费）,125,,,,,,,25514,1,,
106,鸭子泡泡,4589,4591,2,3,25026,999,1,horse4590,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,125,127,,,,,,,,2,
107,泡澡时光,4589,4592,3,3,25026,999,1,horse4590,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,126,127,128,,,,,,,2,1
108,萌小狸,4593,4594,1,3,10002,999,1,horse4594,1,购买解锁（适度娱乐理性消费）,129,,,,,,,25515,1,,
109,狐灵俐,4593,4595,2,3,25030,999,1,horse4594,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,129,131,,,,,,,,2,
110,赤颜幻姬,4593,4596,3,3,25030,999,1,horse4594,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,130,131,132,,,,,,,2,1
111,喵萌敞篷车,4597,4598,1,3,25031,999,1,horse4598,3,解锁道具可通过特惠礼包获得。（适度娱乐理性消费）,133,,,,,,,,,1,1
112,小骆驼,4601,4602,1,3,25032,999,1,horse4602,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,134,,,,,,,,,1,
113,沙漠之舟,4601,4603,2,3,25032,999,1,horse4602,1,解锁道具可在家园果实中获得。（适度娱乐理性消费）,134,135,,,,,,,,1,1
114,青绿,4605,4606,1,3,10002,999,1,horse4606,1,购买解锁（适度娱乐理性消费）,136,,,,,,,25516,1,,
115,子夜,4605,4607,2,3,25033,999,1,horse4606,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,137,139,,,,,,,,2,
116,韶光,4605,4608,3,3,25033,999,1,horse4606,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,138,139,140,,,,,,,2,1
117,月中桂,4609,4610,1,3,10002,999,1,horse4610,1,购买解锁（适度娱乐理性消费）,141,,,,,,,25517,1,,
118,遥相思,4609,4611,2,3,25034,999,1,horse4610,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,142,143,,,,,,,,2,
119,心里软,4609,4612,3,3,25034,999,1,horse4610,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,142,143,144,,,,,,,2,1
120,紫幽铃,4613,4614,1,3,10002,999,1,horse4614,1,购买解锁（适度娱乐理性消费）,145,,,,,,,25518,1,,
121,铃梦沁蝶,4613,4615,2,3,25035,999,1,horse4614,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,145,147,,,,,,,,2,
122,风铃兰语,4613,4616,3,3,25035,999,1,horse4614,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,146,147,148,,,,,,,2,1
123,枫潮滑板,4617,4618,1,3,25036,999,1,horse4617,6,解锁道具可在家园果实中获得。（适度娱乐理性消费）,149,,,,,,,,,1,
124,极限枫动,4617,4619,2,3,25036,999,1,horse4617,6,解锁道具可在家园果实中获得。（适度娱乐理性消费）,149,150,,,,,,,,1,1
125,天幕星龙 卡珀,4621,4622,1,3,,600,1,,2,,,,,1,,,,,,,
126,飞行猪噜噜,4623,4624,1,3,25037,999,1,horse4623,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,1,151,,,,,,25519,1,2,
127,朋克猪燃燃,4623,4625,2,3,25037,999,1,horse4623,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,1,151,152,,,,,,,2,1
128,流云玉兔,4627,4628,1,3,25038,999,1,horse4627,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,153,154,,,,,,,,2,
129,福兔临门,4627,4629,2,3,25038,999,1,horse4627,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,153,154,155,,,,,,,2,1
130,小粉匣,4631,4632,1,3,10002,999,1,horse4631,1,购买解锁（适度娱乐理性消费）,156,,,,,,,25520,1,,
131,藏星之盒,4631,4633,2,3,25039,999,1,horse4631,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,156,158,,,,,,,,2,
132,揽梦之翼,4631,4634,3,3,25039,999,1,horse4631,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,157,158,159,,,,,,,2,1
133,雪琉璃,4635,4636,1,3,25040,999,1,horse4635,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,160,161,,,,,,25521,1,2,
134,冰霜绽放,4635,4637,2,3,25040,999,1,horse4635,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,160,161,162,,,,,,,2,1
135,魔藤圣导 菲丽茜亚,4639,4640,1,3,,600,1,,2,,,,,1,,,,,,,
136,秘境精灵 菲丽茜亚,4641,4642,1,3,,600,1,,2,,,,,1,,,,,,,
137,迷你变形车,4643,4644,1,3,25041,999,1,horse4644,2,解锁道具可通过运营活动获得。,163,,,,,,,25522,1,1,1
138,庆典之书,4645,4646,1,3,25042,999,1,horse4646,6,解锁道具可通过运营活动获得。,164,165,166,,,,,25523,1,1,1
139,咕噜兽,4647,4648,1,3,25043,999,1,horse4647,2,解锁道具可通过运营活动获得。,167,168,169,,,,,25524,1,1,1
140,粽香摇,4649,4650,1,3,25044,999,1,horse4649,6,解锁道具可通过运营活动获得。,170,171,172,,,,,25525,1,1,1
141,山川云海,4653,4654,1,3,25045,999,1,horse4653,6,解锁道具可通过运营活动获得。,173,174,175,,,,,25526,1,3,1
142,邂逅甜心,4655,4656,1,3,25046,999,1,horse4655,6,解锁道具可通过运营活动获得。,176,177,178,,,,,25527,1,3,1
143,擎天圣,4657,4658,1,3,,600,1,,2,,,,,1,,,,,,,
144,天禄,4659,4660,1,3,25047,999,1,horse4656,2,解锁道具可通过运营活动获得。,179,,,,,,,25528,1,3,1
145,核桃,4661,4662,1,3,25048,999,1,horse4657,2,解锁道具可通过运营活动获得。,180,,,,,,,25529,1,3,1
146,乐见音乐盒,4663,4664,1,3,10002,999,1,horse4663,1,购买解锁（适度娱乐理性消费）,181,,,,,,,25530,1,2,
147,逐星乐盒,4663,4665,2,3,25049,999,1,horse4663,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,181,182,,,,,,,,2,
148,星穹之乐,4663,4666,3,3,25049,999,1,horse4663,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,183,182,184,,,,,,,2,1
149,翠叶新芽,4667,4668,1,3,10002,999,1,horse4667,1,购买解锁（适度娱乐理性消费）,185,,,,,,,25531,1,2,
150,悠扬长枝,4667,4669,2,3,25050,999,1,horse4667,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,185,187,,,,,,,,2,
151,童梦翩跹,4667,4670,3,3,25050,999,1,horse4667,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,186,187,188,,,,,,,2,1
152,微光星贝,4671,4672,1,3,10002,999,1,horse4671,1,购买解锁（适度娱乐理性消费）,189,,,,,,,25532,1,2,
153,浮光梦境,4671,4673,2,3,25051,999,1,horse4671,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,189,191,,,,,,,,2,
154,珊海星歌,4671,4674,3,3,25051,999,1,horse4671,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,190,191,192,,,,,,,2,1
155,冰晶精灵 雪糯儿,4675,4676,1,3,,600,1,,2,,,,,1,,,,,,,
156,锦鲤1级,4677,4678,1,3,10002,999,1,horse4677,1,购买解锁（适度娱乐理性消费）,193,,,,,,,25533,1,2,
157,锦鲤2级,4677,4679,2,3,25052,999,1,horse4677,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,193,195,,,,,,,,2,
158,锦鲤3级,4677,4680,3,3,25052,999,1,horse4677,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,194,195,196,,,,,,,2,1
159,木马1级,4681,4682,1,3,10002,999,1,horse4681,1,购买解锁（适度娱乐理性消费）,197,,,,,,,25534,1,2,
160,木马2级,4681,4683,2,3,25053,999,1,horse4681,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,197,199,,,,,,,,2,
161,木马3级,4681,4684,3,3,25053,999,1,horse4681,6,解锁道具可在坐骑抽卡机中获得。（适度娱乐理性消费）,198,199,200,,,,,,,2,1
162,大块头,4685,4686,1,3,25054,999,1,horse4685,2,解锁道具可通过运营活动获得。,201,,,,,,,25535,1,3,1
163,先行者,4687,4688,1,3,25055,999,1,horse4686,2,解锁道具可通过运营活动获得。,202,,,,,,,25536,1,3,1
164,战狼传说,4689,4690,1,3,25056,999,1,horse4687,2,解锁道具可通过运营活动获得。,203,,,,,,,25537,1,3,1
165,冰晶精灵 雪糯儿,4691,4692,1,3,,600,1,,2,,,,,1,,,,,,,
166,冰晶精灵 雪糯儿,4693,4694,1,3,,600,1,,2,,,,,1,,,,,,,
