ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
21,เสี่ยวโหลว,หวนนึกตอนนั้นยังชมพลุกับพี่ชายอยู่เลย แต่วันนี้กลับไม่รู้พี่อยู่ที่ไหน ฮือ..,@Null@,ลักษณะพิเศษ：รอบร่างกายมีดอกท้อบาน,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,@Null@,,,
22,ลิลิธ,มีลูกอมให้ก็จะไม่ก่อกวน,@Null@,ลักษณะพิเศษ：ส่งกลิ่นลมหายใจของแม่มด,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,@Null@,,,
23,อู๋ซวง,ฉันใจดีใจอ่อนแต่ไม่แสดงว่าฉันอ่อนแอรังแกได้,@Null@,ลักษณะพิเศษ：ร่างกายเปล่งดอกไม้สีฟ้า,รูปโปรไฟล์:ปลดล็อครูปโปรไฟล์อู๋ซวง,@Null@,,,
24,เสี่ยวหลง,โลกของน้องสาว ฉันจะมาปกป้อง,@Null@,ลักษณะพิเศษ：สถานที่ที่เดินผ่านจะทิ้งรอยควันดำ,รูปโปรไฟล์:ปลดล็อครูปโปรไฟล์เสี่ยวหลง,@Null@,,,
25,เทพเอ้อร์หลัง,ฉันจะช่วยปัดวิญญาณชั่วร้ายและทำให้คุณปลอดภัย,@Null@,ลักษณะพิเศษ：ร่างกายมีกลิ่นความเป็นธรรม,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์เทพเอ้อร์หลัง,@Null@,,,
26,เมอร์เมล,แม่บอกว่า ปลาที่มีความฝันจึงจะมีความสุข,@Null@,ลักษณะพิเศษ：ร่างกายมีกลิ่นความฝัน,รูปโปรไฟล์:ปลดล็อครูปโปรไฟล์เมอร์เมล,@Null@,,,
27,มีโซโซ,สถาปนิกด้านสิ่งแวดล้อมอันดับที่หนึ่งของโครงการเฝ้ารักษาโลก ต่อสู้เพื่อบ้านเมืองสีเขียว,ไอเทมปลดล็อคสามารถรับได้จากโครงการเฝ้ารักษาโลก,ลักษณะพิเศษ：ร่างกายมีกลิ่นต้นไม้,รูปโปรไฟล์:ปลดล็อครูปโปรไฟล์มีโซโซ,@Null@,,,
28,Mini-X,หญิงสาวที่คอยเฝ้ารักษาเวลาและอวกาศ ชอบการท่องเที่ยวและดนตรี,@Null@,ลักษณะพิเศษ：ร่างกายปกคลุมด้วยอนุภาคแม่เหล็กไฟฟ้า,รูปโปรไฟล์:ปลดล็อครูปโปรไฟล์Mini-X,@Null@,,,
29,Mini-T,ภายใต้เนื้อหนังมังสาที่เย็นเยือก มีวิญญาณที่ร้อนแผดเผา เป้าหมายของเขาคือดวงดาวและทะเล,@Null@,ลักษณะพิเศษ：ร่างกายปกคลุมด้วยอนุภาคแม่เหล็กไฟฟ้า,รูปโปรไฟล์:ปลดล็อครูปโปรไฟล์Mini-T,@Null@,,,
30,หลิวเซียน,นางฟ้าน้อยที่เต้นอยู่บนพระจันทร์ ในตำนานบอกว่ามีเพียงผู้โชคดีเท่านั้นที่มีโอกาสได้พบเจอ,@Null@,ลักษณะพิเศษ：ร่างกายเปล่งดวงจันทร์เสี้ยว,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์หลิวเซียน,@Null@,,,
31,แจ็ค,นักมายากลลึกลับและทรงพลังที่มีหนังสือบันทึกวิธเวทมนตร์มหัศจรรย์และหมวกคลุมหัวมายากลที่ดูเหมือนไร้ประโยชน์,@Null@,ลักษณะพิเศษ：ร่างกายมีกลิ่นมายากล,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์แจ็ค,@Null@,,,
32,เชลลีย์,องค์หญิงน้อยแห่งอาณาจักรทะเลที่ลึกลับ คนที่ทำให้เธอมีความสุขจะได้ยินเสียงร้องเพลงที่ไพเราะของเธอ,@Null@,ลักษณะพิเศษ：มีฟองอากาศอยู่รอบๆ ร่างกาย,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์เชลลีย์,รอยเท้า:ทิ้งรอยเท้าเปลือกหอยไว้ในสถานที่ที่เดินผ่าน,,,
33,คริสโตเฟอร์,ความลับของฤดูหนาวที่ทุกเกล็ดหิมะยังมีชีวิตอยู่และพวกเขาปกป้องซึ่งกันและกัน,@Null@,ลักษณะพิเศษ：มีเกล็ดหิมะอยู่รอบๆ ร่างกาย,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์คริสโตเฟอร์,@Null@,,,
34,กิ้งก่าเปลี่ยนสี,กิ้งก่าแดง และ กิ้งก่าฟ้า เป็นเพื่อนสนิทกับมิสรา เพราะอ่อนแอ จนได้ยินว่า สามารถรับเวทมนตร์แห่งสีได้เขาก็มีความหวัง,@Null@,ลักษณะพิเศษ：เปลี่ยนสีตามสิ่งแวดล้อม,อวตาร: ปลดล็อกรูปโปรไฟล์,@Null@,,,
35,กิ้งก่าแดง,กิ้งก่าแดง และ กิ้งก่าฟ้า เป็นเพื่อนสนิทกับมิสรา เพราะอ่อนแอ จนได้ยินว่า สามารถรับเวทมนตร์แห่งสีได้เขาก็มีความหวัง,@Null@,อวตาร: ปลดล็อกรูปโปรไฟล์,@Null@,@Null@,,,
36,กิ้งก่าฟ้า,กิ้งก่าแดง และ กิ้งก่าฟ้า เป็นเพื่อนสนิทกับมิสรา เพราะอ่อนแอ จนได้ยินว่า สามารถรับเวทมนตร์แห่งสีได้เขาก็มีความหวัง,@Null@,อวตาร: ปลดล็อกรูปโปรไฟล์,@Null@,@Null@,,,
37,ซากุระ,หญิงสาวผู้ละทิ้งความฝัน และเริ่มออกเดินทาง ไม่ได้ต้องการแค่การผจญภัย แต่อยากไปใช้ชีวิตในแบบที่เธอต้องการ,@Null@,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์ซากุระ,ลักษณะพิเศษ：ทิ้งรอยเท้ากลีบดอกไม้ไว้ในที่ที่เดินผ่าน,@Null@,,,
38,จอมพลจ่านล่าง,จอมพลผู้ผ่านประสบการณ์รบมาอย่างมากมาย เขาเป็นดั่ง ผู้บัญชาการกองทัพเรือแห่งเทพเจ้า,@Null@,ลักษณะพิเศษ：มีหยดน้ำอยู่รอบๆ ร่างกาย,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์จอมพลจ่านล่าง,ลักษณะพิเศษ：ทิ้งรอยเท้าหยดน้ำไว้ในสถานที่ที่เดินผ่าน,,,
39,อีวา,จิตใจที่ดีงามและซื่อตรง หัวใจรักเต็มในทุกที่ทุกมุม ของมินิเวิลด์  (สามารถรับได้จากกิจกรรมเท่านั้น),รับไอเทมปลดล็อคจากกิจกรรม,ลักษณะพิเศษ：มีขนลอยอยู่รอบข้างร่างกาย!,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์Eva,@Null@,,,
40,สตาร์เอโร่,ดีเจที่มาจากโลกว่างเปล่า ชื่นชอบร็อคอิเล็กทรอนิกที่ได้รับความนิยมมากที่สุด เป็นดาวที่แพรวพราวที่สุดในเวทีปาร์ตี้,@Null@,ลักษณะพิเศษ：หางมีสายฟ้า!,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์สตาร์เอโร่,รอยเท้า:ทิ้งรอยเท้าโน้ตเพลงไว้ในสถานที่ที่เดินผ่าน,,,
41,ลานเซลอต,คุณสมบัติของอัศวินคืออะไร? ตรงไหนมีดาบ ตรงนั้นมีความยุติธรรม!,@Null@,ลักษณะพิเศษ：มีแสงดาวอยู่รอบๆ ร่างกาย!,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,@Null@,,,
42,แมวเมชา,กำลังตรวจสอบการเชื่อมต่อเครือข่าย ป้อมปืนแม่เหล็กไฟฟ้าพร้อมแล้ว อ้าว ไฟฟ้าไม่เพียงพอ ฉันไป..ไปชาร์จแบตก่อนละ,@Null@,@Null@,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,รอยเท้า:ทิ้งรอยเท้าอนุภาคอิเล็กทรอนิกส์ไว้ในสถานที่ที่เดินผ่าน,,,
43,ซามูไร เซนไบ,วิทยายุทธของคุณดีมาก แต่ก็สู้วิชาฟันดาบของฉันไม่ได้,@Null@,@Null@,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,รอยเท้า:ทิ้งรอยเท้าฝุ่นไว้ในสถานที่ที่เดินผ่าน,,,
44,นักแข่งรถ,"ของขวัญวันเกิดของฉันก็คือถ้วยรางวัลชนะเลิศครั้งนี้! 
แชมป์เป็นสิ่งสำคัญ แต่ที่สำคัญกว่านั้นคือการชนะอย่างสวยงาม",@Null@,@Null@,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,รอยเท้า:ทิ้งรอยเท้าหัวใจรักเล็กๆ ไว้ในสถานที่ที่เดินผ่าน,,,
45,หลี,ผู้ลอบสังหารหลี เป็นคนที่เต็มไปด้วยพลังงาน มักจะให้กำลังใจตัวเอง,@Null@,@Null@,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,รอยเท้า:ทิ้งรอยเท้ารูปร่างลูกขนไว้ในสถานที่ที่เดินผ่าน,,,
46,แอน,ผู้ลอบสังหารแอน เขาหวังว่าเขาจะเป็นคนดูเท่ ดังนั้นจะชอบแกล้งทำเป็นคนเมินเฉย,@Null@,@Null@,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,รอยเท้า:ทิ้งรอยเท้ารูปร่างใบมีดไว้ในสถานที่ที่เดินผ่าน,,,
47,นกแก้วจิ๋วจิ๋ว,คุณเชื่อไหมว่าก้อนเมฆบนท้องฟ้าทุกใบมีรสชาติที่เป็นเอกลักษณ์,@Null@,ลักษณะพิเศษ：มีแสงสีทองในมงกุฎ,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,@Null@,,,
48,Mini-S,เพื่อความสงบสุข นี่หน้าที่ของฉันที่จะต้องปกป้องเพื่อนและบ้านเกิดเมืองนอนของฉัน,@Null@,ลักษณะพิเศษ：เกราะด้านหลังจะลอยอนุภาคสีทองและแสงไฟฟ้า,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,@Null@,,,
49,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
50,โจ๊กเกอร์,นักเดินทางที่มาจากระยะไกล อยากดูการแสดงมายากลที่มหัศจรรย์หรือไม่?,@Null@,@Null@,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,รอยเท้า:ทิ้งรอยเท้าแบบลวดลายวิทยากลไว้ในสถานที่ที่เดินผ่าน,,,
51,คานะ,ฮ่าฮ่า! กฎใช้เพื่อทำลาย แต่ฉันสามารถให้เหตุผลที่ดีแก่คุณ!,@Null@,@Null@,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,รอยเท้า:ทิ้งรอยเท้าอมยิ้มไว้ในสถานที่ที่เดินผ่าน,,,
52,ออพติมัส ไพร์ม,ผมคือออพติมัส ไพร์ม และผมส่งข้อความนี้ไปยังบอสที่ถูกเนรเทศในอวกาศระหว่างดวงดาวเรา!,@Null@,ลักษณะพิเศษ：สามารถแปลงร่างในเกม!,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,รอยเท้า:ทิ้งรอยเท้าเครื่องหมายค่ายไว้ในสถานที่ที่เดินผ่าน,การเปลี่ยนรูป#cda5b0a: คลิกปุ่มการเปลี่ยนรูปทางด้านซ้ายเพื่อเปลี่ยนรูปแบบหุ่นยนต์ / ยานพาหนะ! #n,#cda5b0aทักษะพิเศษของ Transformers: Autobots โจมตีและป้องกัน! #n,
53,เมกะทรอน,โดยไม่คำนึงถึงความล้มเหลวหรือการทรยศ ผมจะไม่มีวันถูกพิชิตได้ ผมคือเมกะทรอน,@Null@,ลักษณะพิเศษ：สามารถแปลงร่างในเกม!,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,รอยเท้า:ทิ้งรอยเท้าเครื่องหมายค่ายไว้ในสถานที่ที่เดินผ่าน,การเปลี่ยนรูป#cda5b0a: คลิกปุ่มการเปลี่ยนรูปทางด้านซ้ายเพื่อเปลี่ยนรูปแบบหุ่นยนต์ / ยานพาหนะ! #n,#cda5b0aทักษะพิเศษของ Transformers: ปืนใหญ่ฟิวชั่น! #n,
54,ครีม,ในเทศกาลคริสต์มาส ที่ขาดไม่ได้ที่สุดคือ เกล็ดหิมะ ขนมเค้ก วิทยากลที่วิเศษและเธอที่ยิ้มหวาน,@Null@,@Null@,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,รอยเท้า:ทิ้งรอยเท้าสตรอเบอร์รี่ไว้ในสถานที่ที่เดินผ่าน,,,
55,ส้มจี๊ด,หนึ่งในฝาแฝดที่น่ารักที่มาจากสถานที่ที่ร่ำรวยและมั่งคั่ง ในคำพูดของเขา การแบ่งปันคือความลับของ「อุดมสมบูรณ์」,@Null@,@Null@,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,รอยเท้า:ทิ้งรอยเท้าเกาลัดไว้ในสถานที่ที่เดินผ่าน,,,
56,สโนว์,หนึ่งในฝาแฝดที่น่ารัก เธอหวังว่าจะมีเพื่อนมากขึ้นมาช่วยกันส่งต่อพลังงาน「อุดมสมบูรณ์」ไปให้ทุกคน,@Null@,ลักษณะพิเศษ：มีดอกไม้กระจายอยู่รอบๆ ร่างกาย,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,รอยเท้า:ทิ้งรอยเท้าปมปลอดภัยไว้ในสถานที่ที่เดินผ่าน,,,
57,ปู่ต้น,ดูเหมือนจะเป็นชายชราธรรมดาๆ คนหนึ่ง แต่ที่จริงแล้วเขามีศิลปะการต่อสู้สูงมาก,ปลดล็อคจากกิจกรรม,@Null@,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,รอยเท้า:ทิ้งรอยเท้าน้ำเต้าไว้ในสถานที่ที่เดินผ่าน,,,
58,บัมเบิลบี,ผมคือบัมเบิลบี เป็นเพื่อนที่รู้จักมานานที่สุดของคุณ ออพติมัส ไพร์ม ผมยินดีที่จะเสียสละชีวิตของผมเพื่อคุณ,@Null@,ลักษณะพิเศษ：สามารถแปลงร่างในเกม!,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,รอยเท้า:ทิ้งรอยเท้าเครื่องหมายค่ายไว้ในสถานที่ที่เดินผ่าน,การเปลี่ยนรูป#cda5b0a: คลิกปุ่มการเปลี่ยนรูปทางด้านซ้ายเพื่อเปลี่ยนรูปแบบหุ่นยนต์ / ยานพาหนะ! #n,#cda5b0aทักษะพิเศษของ Transformers: Wasp Rush! #n,
59,นางฟ้าดอกไม้,นางฟ้าดอกไม้ที่มีเสน่ห์และสนุกกับความรู้สึกของการอยู่ในทะเลแห่งดอกไม้,@Null@,ลักษณะพิเศษ：มีแสงดาวอยู่รอบๆ ร่างกาย!,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,@Null@,,,
60,ภูติดาว,ภูติดาวที่เปล่งประกายจากท้องฟ้านั้นมีความสามารถแห่งดวงดาวที่ทำให้ความปรารถนาของคนอื่นสมหวัง,@Null@,ลักษณะพิเศษ：มีสายรุ้งอยู่รอบๆ ร่างกาย!,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,@Null@,,,
61,นางเสือดาวหิมะ,เด็กหญิงเสือดาวบนภูเขาหิมะที่ได้รับเลือกให้เป็นผู้พิทักษ์ที่ราบสูง,ปลดล็อคจากกิจกรรม,ลักษณะพิเศษ：มีเกล็ดหิมะอยู่รอบๆ ร่างกาย!,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,@Null@,,,
62,เอลลี,เอลลี หญิงสาวของวิทยาลัยมายากล ถูกไพ่โป๊กเกอร์นำเข้าสู่โลกมหัศจรรย์ เธอได้พบกับคุณกระต่ายที่ใจดีอยู่ที่นั่น,@Null@,ลักษณะพิเศษ：มีภาพพิมพ์ดอกไม้อยู่รอบๆ ร่างกาย!,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,@Null@,,,
63,กบนินจา,เขาได้เรียนรู้มากมายตั้งแต่เขายังเป็นเด็กและเขาได้พัฒนาความต้านทานที่แข็งแกร่งในการโจมตี,ปลดล็อคจากกิจกรรม,@Null@,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,รอยเท้า:ทิ้งรอยเท้ากบไว้ในสถานที่ที่เดินผ่าน,,,
64,สตาร์สครีม,สตาร์สครีมคิดว่าเขาเกิดมาเพื่อเป็นผู้นำของดีเซปทิคอนส์ เขาชอบที่จะแย่งชิงอำนาจกับเมกะทรอน,@Null@,ลักษณะพิเศษ：สามารถแปลงร่างในเกม!,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,รอยเท้า:ทิ้งรอยเท้าเครื่องหมายค่ายไว้ในสถานที่ที่เดินผ่าน,การเปลี่ยนรูป#cda5b0a: คลิกปุ่มการเปลี่ยนรูปทางด้านซ้ายเพื่อเปลี่ยนรูปแบบหุ่นยนต์ / ยานพาหนะ! #n,#cda5b0aทักษะพิเศษของ Transformers: Air Alert! #n,
65,ฮ็อทร็อด,เขาเป็นผู้นำในอนาคตของออโต้บ็อทส์ และเป็นความหวังใหม่เพื่อความสงบสุขของจักรวาล,@Null@,ลักษณะพิเศษ：สามารถแปลงร่างในเกม!,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,รอยเท้า:ทิ้งรอยเท้าเครื่องหมายค่ายไว้ในสถานที่ที่เดินผ่าน,การเปลี่ยนรูป#cda5b0a: คลิกปุ่มการเปลี่ยนรูปทางด้านซ้ายเพื่อเปลี่ยนรูปแบบหุ่นยนต์ / ยานพาหนะ! #n,#cda5b0aทักษะพิเศษของ Transformers: Red Lightning! #n,
66,กัลวาทรอน,เขาเป็นทรราชที่แข็งแกร่งและโหดร้ายกว่าเมกกาตรอน,@Null@,ลักษณะพิเศษ：สามารถแปลงร่างในเกม!,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,รอยเท้า:ทิ้งรอยเท้าเครื่องหมายค่ายไว้ในสถานที่ที่เดินผ่าน,การเปลี่ยนรูป#cda5b0a: คลิกปุ่มการเปลี่ยนรูปทางด้านซ้ายเพื่อเปลี่ยนรูปแบบหุ่นยนต์ / ยานพาหนะ! #n,#cda5b0aทักษะพิเศษของ Transformers: Fusion Laser! #n,
67,ราอุล,เดินทางระหว่างโลกเสมือนกับความเป็นจริง ราอุลใช้ปัญหาในแต่ละวันเป็นเหมือนเกมและแก้ปัญหาทีละขั้นตอน,รับไอเทมปลดล็อคจากกิจกรรม,ลักษณะพิเศษ：มีตัวอักษรอยู่รอบๆ ร่างกาย!,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,@Null@,,,
68,ลินน์,สิ่งที่ลินน์ชื่นชอบมากที่สุดก็คือพาเพื่อนรูบิคคิวบ์น้อยกลิ้งไปๆ มาๆ เหมือนกระสวยระหว่างโลกเสมือนจริงกับโลกแห่งความจริง,ปลดล็อคจากกิจกรรม,ลักษณะพิเศษ：มีอนุภาคสีม่วงรอยู่รอบๆ ร่างกาย!,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,@Null@,,,
69,ฟ้าใส,ฐานะที่เป็นลูกหลานของการประชุมเชิงปฏิบัติการบะจ่าง ความฝันของ guzheng เป็น สีฟ้าและผู้ปกครองทำข้อตกลง,@Null@,ลักษณะพิเศษ：ล้อมรอบด้วยใบ,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,@Null@,,,
70,ทไวไลท์ สปาร์คเคิล,ทไวไลท์ สปาร์คเคิล เป็นผู้ที่เฉลียวฉลาด เธอชอบอ่านหนังสือและมีความเป็นผู้นำ,@Null@,ลักษณะพิเศษ：ล้อมรอบด้วยอนุภาคที่มีมนต์ขลัง,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,@Null@,,,
71,เจ้าหญิงเซเลสเทียร์,เธอผู้ปกครองของราชอาณาจักร Equestria ที่มีอำนาจวิเศษที่ดี แต่เธอเป็นสาวน่ารักมากและง่ายไป เค้กอยู่เสมอที่เธอชื่นชอบ,@Null@,ลักษณะพิเศษ：ล้อมรอบด้วยอนุภาคทอง,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,@Null@,,,
72,ฟลัตเตอร์ชาย,ฟลัตเตอร์ชาย มีชีวิตอาศัยอยู่ในกระท่อมไม้บนขอบของม้าหุบเขาและมาตีความหลากหลายของสัตว์,@Null@,ลักษณะพิเศษ：ล้อมรอบด้วยอนุภาคทอง,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,@Null@,,,
