iD,泰语,泰语
14,ยิงรัว,ไม่ใช้ลูกศรขณะยิงธนูอีก แต่ใช้ค่าทนทานเพิ่ม3แต้ม
14,ยิงรัว,ไม่ใช้ลูกศรขณะยิงธนูอีก แต่ใช้ค่าทนทานเพิ่ม2แต้ม
14,ยิงรัว,ไม่ใช้ลูกศรขณะยิงธนูอีก แต่ใช้ค่าทนทานเพิ่ม1แต้ม
15,ทนทาน,ค่าทนทานของไอเทม +40%
15,ทนทาน,ค่าทนทานของไอเทม +80%
15,ทนทาน,ค่าทนทานของไอเทม +160%
15,ทนทาน,ค่าทนทานของไอเทม +240%
15,ทนทาน,ค่าทนทานของไอเทม +320%
16,ต่อต้านระยะใกล้,ค่าต่อต้านระยะใกล้ +1
16,ต่อต้านระยะใกล้,ค่าต่อต้านระยะใกล้ +3
16,ต่อต้านระยะใกล้,ค่าต่อต้านระยะใกล้ +5
16,ต่อต้านระยะใกล้,ค่าต่อต้านระยะใกล้ +9
16,ต่อต้านระยะใกล้,ค่าต่อต้านระยะใกล้ +15
17,ต่อต้านระยะไกล,ค่าต่อต้านระยะไกล +1
17,ต่อต้านระยะไกล,ค่าต่อต้านระยะไกล +3
17,ต่อต้านระยะไกล,ค่าต่อต้านระยะไกล +5
17,ต่อต้านระยะไกล,ค่าต่อต้านระยะไกล +9
17,ต่อต้านระยะไกล,ค่าต่อต้านระยะไกล +15
18,ต่อต้านระเบิด,ค่าต่อต้านระเบิด +1
18,ต่อต้านระเบิด,ค่าต่อต้านระเบิด +3
18,ต่อต้านระเบิด,ค่าต่อต้านระเบิด +5
18,ต่อต้านระเบิด,ค่าต่อต้านระเบิด +9
18,ต่อต้านระเบิด,ค่าต่อต้านระเบิด +15
19,ต่อต้านเผาไหม้,ค่าต่อต้านไฟ +1
19,ต่อต้านเผาไหม้,ค่าต่อต้านไฟ +3
19,ต่อต้านเผาไหม้,ค่าต่อต้านไฟ +5
19,ต่อต้านเผาไหม้,ค่าต่อต้านไฟ +9
19,ต่อต้านเผาไหม้,ค่าต่อต้านไฟ +15
20,ต่อต้านพิษ,ค่าต่อต้านพิษ +1
20,ต่อต้านพิษ,ค่าต่อต้านพิษ +3
20,ต่อต้านพิษ,ค่าต่อต้านพิษ +5
20,ต่อต้านพิษ,ค่าต่อต้านพิษ +9
20,ต่อต้านพิษ,ค่าต่อต้านพิษ +15
21,ต่อต้านอลวน,ค่าต่อต้านอลวน +1
21,ต่อต้านอลวน,ค่าต่อต้านอลวน +3
21,ต่อต้านอลวน,ค่าต่อต้านอลวน +5
21,ต่อต้านอลวน,ค่าต่อต้านอลวน +9
21,ต่อต้านอลวน,ค่าต่อต้านอลวน +15
22,โต้ตอบ,ถูกโจมตีระยะใกล้ มีโอกาส50% ดาเมจผู้โจมตี5แต้ม
22,โต้ตอบ,ถูกโจมตีระยะใกล้ มีโอกาส50% ดาเมจผู้โจมตี10แต้ม
22,โต้ตอบ,ถูกโจมตีระยะใกล้ มีโอกาส50% ดาเมจผู้โจมตี15แต้ม
22,โต้ตอบ,ถูกโจมตีระยะใกล้ มีโอกาส50% ดาเมจผู้โจมตี20แต้ม
22,โต้ตอบ,ถูกโจมตีระยะใกล้ มีโอกาส50% ดาเมจผู้โจมตี25แต้ม
23,ต่อต้านตีถอย,ขณะถูกโจมตี ลดการถูกตีร่น1ช่อง
23,ต่อต้านตีถอย,ขณะถูกโจมตี ลดการถูกตีร่น2ช่อง
23,ต่อต้านตีถอย,ขณะถูกโจมตี ลดการถูกตีร่น3ช่อง
23,ต่อต้านตีถอย,ขณะถูกโจมตี ลดการถูกตีร่น4ช่อง
23,ต่อต้านตีถอย,ขณะถูกโจมตี ลดการถูกตีร่น5ช่อง
24,เก็บอย่างแม่นยำ,ขณะเก็บบล็อก ก็จะดรอปบล็อกด้วย
25,ความเร็ว,เก็บเร็วขึ้น 30%
25,ความเร็ว,เก็บเร็วขึ้น 70%
25,ความเร็ว,เก็บเร็วขึ้น 120%
25,ความเร็ว,เก็บเร็วขึ้น 180%
25,ความเร็ว,เก็บเร็วขึ้น 250%
26,โชคการขุด,พลั่ว:ขณะขุดแร่ มีโอกาส16% ได้ของดรอป2เท่า
26,โชคการขุด,พลั่ว:ขณะขุดแร่ มีโอกาส16/8% ได้ของดรอป2/3เท่า
26,โชคการขุด,พลั่ว:ขณะขุดแร่ มีโอกาส20/10/4% ได้ของดรอป2/3/4เท่า
27,ยิงระเบิด,หลังยิงลูกศรโดนเป้าหมายจะเกิดการระเบิด
28,มังกรเชื่องช้า,ดาเมจหกล้ม-150 และลดความเร็วลงพื้น
32,ความเร็ว,เก็บเร็วขึ้น 30%
30,ลงด้วยความเร็ว(ขา),ตอนลงสู่พื้นที่กดปุ่มShift ความเร็ว+40% ดาเมจ-15
30,ลงด้วยความเร็ว(ขา),ตอนลงสู่พื้นที่กดปุ่มShift ความเร็ว+55% ดาเมจ-30
30,ลงด้วยความเร็ว(ขา),ตอนลงสู่พื้นที่กดปุ่มShift ความเร็ว+70% ดาเมจ-45
30,ลงด้วยความเร็ว(ขา),ตอนลงสู่พื้นที่กดปุ่มShift ความเร็ว+85% ดาเมจ-70
30,ลงด้วยความเร็ว(ขา),ตอนลงสู่พื้นที่กดปุ่มShift ความเร็ว+100% ดาเมจ-100
31,ปีนกำแพง(เท้า),สามารถเคลื่อนที่ในด้านข้าง(เหมือนมีบันได) ความเร็ว-40% ใช้ค่าทนทาน3แต้ม/2s
31,ปีนกำแพง(เท้า),สามารถเคลื่อนที่ในด้านข้าง(เหมือนมีบันได) ความเร็ว-30% ใช้ค่าทนทาน3แต้ม/2s
31,ปีนกำแพง(เท้า),สามารถเคลื่อนที่ในด้านข้าง(เหมือนมีบันได) ความเร็ว-25% ใช้ค่าทนทาน2แต้ม/2s
31,ปีนกำแพง(เท้า),สามารถเคลื่อนที่ในด้านข้าง(เหมือนมีบันได) ความเร็ว-10% ใช้ค่าทนทาน2แต้ม/2s
31,ปีนกำแพง(เท้า),สามารถเคลื่อนที่ในด้านข้าง(เหมือนมีบันได) ใช้ค่าทนทาน1แต้ม/2s
