ID,名字,描述,获得方式
24,แร่ก้อนแมงกานีส,ใช้เพื่อ#c0aba1dเสริมความแข็งแกร่งให้กับอุปกรณ์ดำน้ำและทำบล็อกแก้วแข็ง#nเพื่อทนต่อแรงดันสูงของทะเลลึก,โลหะแมงกานีสเป็นแร่ที่เกิดจากการควบแน่นอย่างต่อเนื่องของโลหะแมงกานีสในหินตะกอนที่อยู่ลึก ดังนั้นจึงมีแค่เล็กน้อยในทะเลลึก การทำลายมันจะได้รับก้อนแมงกานีส
25,หินโสโครก,เหมาะสำหรับการเจริญเติบโตของปะการัง หลังจากปะการังโตเต็มที่ สีของหินโสโครกจะเปลี่ยนตามไปด้วย,
26,ขวดลอย,#c0aba1dโยน#nมันลงไปในระบบนิเวศน์ของมหาสมุทรและแม่น้ำน้ำจะนำพาความปรารถนาของคุณไปสู่ที่ไกล สักวันหนึ่งอาจจะถูกบางคนค้นพบ,ได้รับจากการวางม้วนหนังไว้ในบล็อกขวด
27,ขวดลอยจากทางไกล,โน้ตที่ผนึกอยู่ในขวดลอยมักจะมีข้อมูลสำคัญหรือความปรารถนาจากใจ ไม่งั้นก็อาจจะเป็นความคิดของใครบางคนในช่วงเวลาหนึ่ง ดูเหมือนว่าขวดลอยนี้ได้ข้ามภูเขาและทะเล เดินทางข้ามเวลา...ลองวางขวดลอยอยู่บนพื้นแล้วหยิบโน้ตออกมาดูหน่อยไหม...,ตกปลาและสำรวจมหาสมุทรจะมีโอกาสได้รับ
28,ขวดแก้วเล็ก (บล็อก),วางออกมาแล้วใส่ม้วนหนังที่มีข้อความเข้าไป,
29,ทรายเหลือง,พบได้ทั่วไปในพื้นที่ริมน้ำและทะเลทราย ใช้เครื่องมือพลั่วสามารถขุดได้อย่างรวดเร็ว  เป็นวัตถุดิบในการผลิตทรายควอทซ์ซึ่งใช้สำหรับการทำกระจก,พบได้ทั่วไปใน#c0aba1d#nริมน้ำและพื้นที่ทะเลทราย#c0aba1d#n
30,@Null@,@Null@,@Null@
31,น้ำแข็งย้อยแข็งแกร่ง,น้ำแข็งย้อยที่#c0aba1dมีความเสถียร#n ใกล้ๆ มันจะต้องสวมหมวกนะคะ,
32,น้ำแข็งย้อยเปราะ,น้ำแข็งย้อยอาจจะ#c0aba1dตกลงมา#nได้ทุกเมื่อ ใกล้ๆ มันจะต้องสวมหมวกนะคะ,
33,แร่แก่นผลึกธรรมดา,ต้องใช้@item_11013# หรืออีเตอร์ระดับสูงกว่าในการขุด,แร่สุดหายาก อาจพบได้ใน#c0aba1dถ้ำภูเขาหิมะ#nของทุ่งน้ำแข็ง และ#c0aba1dใต้ดิน#nในป่าฝน
34,แร่หินไฟฟรอสต์,แร่ที่มีพลังเย็นยะเยือกแผ่ซ่านออกมา ต้องใช้@item_11011#หรืออีเตอร์ระดับสูงกว่าในการขุด จะทำให้#c0aba1dอุณหภูมิรอบๆ ลดลง#n,แร่สุดหายาก อาจพบได้ใน#c0aba1dถ้ำภูเขาหิมะ#nของทุ่งน้ำแข็ง
35,บล็อกหินไฟฟรอสต์,คราฟต์ด้วย@item_11824#มากมาย บล็อกที่แผ่พลังเย็น จะทำให้#c0aba1dอุณหภูมิรอบๆ ลดลงอย่างมาก#n,
36,รีเฟรชทางเข้าถ้ำ,,
37,รีเฟรชทางเดินถ้ำ,,
38,รีเฟรชถ้ำใหญ่,,
39,รีเฟรชถ้ำเล็ก,,
40,ผลึกนภา,บล็อกที่ผสานจากผลึกนภา สามารถส่องสว่างพื้นที่โดยรอบได้ เมื่อวางไว้ด้านล่าง@item_596# มอนสเตอร์ที่ทรงพลังที่สุดจะโจมตีในตอนเช้าของราตรีที่ว่างเปล่า โปรดใช้อย่างระมัดระวัง,
100,บล็อกดินขึ้นหญ้า,บล็อกพื้นผิว ใช้เครื่องมือประเภทพลั่วสามารถขุดได้อย่างรวดเร็ว#c0aba1dใช้เครื่องมือประเภทคราดสามารถเปลี่ยนเป็น@item_102# ใช้เครื่องมือประเภทพลั่วสามารถเปลี่ยนเป็น@item_103#,ใช้@item_11226#กับ@item_101#จะได้รับ
101,บล็อกดิน,พบได้ง่ายในด้านล่างพื้นผิว อาจกลายเป็นบล็อกหญ้าหลังฝนตก ใช้เครื่องมือพลั่วสามารถขุดได้อย่างรวดเร็ว #c0aba1dใช้เครื่องมือคราดจะทำให้เป็นที่ดินเพาะปลูก ใช้เครื่องมือพลั่วจะทำให้เป็นหลุมดิน,พร้อมใช้งานใต้พื้นผิว
102,ที่ดินเพาะปลูก,สามารถปลูกพืชผลได้ อยู่ใกล้กับแหล่งน้ำหรือรดน้ำเพื่อให้ชุ่มชื้น จะมีประโยชน์ต่อการเติบโตของพืช,
103,หลุมดิน,ปลูกเมล็ดพันธุ์ดอกไม้ ต้นกล้าได้ อยู่ใกล้กับแหล่งน้ำหรือรดน้ำเพื่อให้ชุ่มชื้น จะมีประโยชน์ต่อการเติบโตของพืช,
104,หิน,มองเห็นได้ทุกที่ในใต้ดิน ใช้เครื่องมืออีเตอร์สามารถขุดได้อย่างรวดเร็ว,
105,หินมอสส์,วัสดุก่อสร้างที่ทำจากหินและตะไคร่น้ำ,
106,ทรายละเอียดเหลือง,พบได้ทั่วไปในพื้นที่ริมน้ำและทะเลทราย ใช้เครื่องมือพลั่วสามารถขุดได้อย่างรวดเร็ว  เป็นวัตถุดิบในการผลิตทรายควอทซ์ซึ่งใช้สำหรับการทำกระจก#rจะได้รับผลกระทบจากแรงโน้มถ่วง,พบได้ทั่วไปในพื้นที่ริมน้ำและทะเลทราย
107,บล็อกเศษหิน,บล็อกเศษหินที่ถล่มได้ง่าย ใช้เครื่องมือพลั่วสามารถขุดได้อย่างรวดเร็ว #rเมื่อด้านล่างว่างเปล่ายืนอยู่ด้านบนมันจะยุบ ต้องระวัง,
108,อิฐทรายเหลือง,วัสดุก่อสร้างที่คราฟต์ด้วยทรายเหลือง,
109,ดินทราย,ก้อนดินที่ไม่มีปุ๋ย พืชไม่สามารถเติบโตได้ ใช้เครื่องมือพลั่วสามารถขุดได้อย่างรวดเร็ว,
110,หินกระจาย,หินก้อนเล็กๆ ที่ถูกลมพัดพังทลาย หลังจากทำการขุดจะได้รับวัตถุดิบหินซึ่งสามารถใช้ในการทำเครื่องมือหิน,
111,@Null@,@Null@,@Null@
112,คริสตัลสีดำ,ได้รับผลกระทบจากปีศาจแห่งความว่างเปล่าทำให้โครงสร้างทางธรณีวิทยามีการเปลี่ยนแปลงไปอย่างมาก และแร่นี้ก็ได้หายไปอย่างถาวร,
113,น้ำแข็งเปราะ,น้ำแข็งเปราะบนผืนน้ำ หลังจากถูกทุบแตกออกจะกลายเป็นดวงดาวและกระจายหายไประหว่างท้องฟ้าและโลก,
114,ดินตะกอน,บล็อกดินที่อยู่ใต้น้ำ ใช้เครื่องมืออีเตอร์สามารถขุดได้อย่างรวดเร็ว,
115,หิมะอ่อนนุ่ม,แผ่นบางหิมะนุ่มที่มีความสูงเท่ากับ 1/4 ของบล็อก วางซ้อนกันเพื่อเปลี่ยนความหนาได้,
116,บล็อกหินโฮราส,บล็อกหินพิเศษที่อยู่บนดาวโฮราส มีความทนทานต่อการระเบิดสูงมาก ขุดได้ด้วย#c0aba1dอีเตอร์มิธริล#nหรืออีเตอร์ที่ระดับสูงกว่า,
117,บล็อกหญ้าโฮราส,บล็อกหญ้าที่อยู่บนดาวโฮราส มีสารอาหารที่จำเป็นสำหรับพืช สามารถขุดได้ด้วย#c0aba1dพลั่วมิธริล#nหรือพลั่วที่ระดับสูงกว่า,
118,ก้อนเมฆโฮราส,บล็อกเมฆที่อยู่รอบเกาะว่างเปล่าในดาวโฮราส เมื่อเหยียบจะเริ่มแตกเป็นชิ้นเล็กชิ้นน้อย,
119,ดินแห้ง,บนดาวโฮราส ก้อนดินในดาวมิราต้องวางบนสารเพาะพืชต่างดาวถึงจะเก็บสารอาหารได้ ไม่งั้นจะสูญเสียสารอาหารกลายเป็นดินแห้ง,
120,ดินแช่แข็ง,ในสภาพแวดล้อมที่มีอุณหภูมิต่ำ @item_100#และ@item_101#จะแปลงเป็น@item_120# พืชที่ชอบอากาศเย็นจะเติบโตบนที่ดินนี้,
121,หลุมดินแช่แข็ง,สามารถปลูกเมล็ดดอกไม้และต้นไม้ที่ชอบอากาศเย็น,
122,หิมะหนาแน่น,หิมะหนาทึบ หากเจอ#c0aba1dลาวา#nที่มีความร้อนสูงหรืออยู่ในสภาวะอุณหภูมิสูง จะละลายเป็นน้ำ และทำให้#c0aba1dอุณหภูมิรอบๆ ลดลงเล็กน้อย#n,
123,น้ำแข็งธรรมชาติ,พบได้บ่อยในพื้นที่หิมะและน้ำแข็ง ใช้เครื่องมือประเภทอีเตอร์สามารถขุดได้อย่างรวดเร็ว ถ้าเจอ#c0aba1dสภาวะอุณหภูมิสูง#nจะละลายเป็นน้ำ และทำให้#c0aba1dอุณหภูมิรอบๆ ลดลงเล็กน้อย#n,
124,หินกำมะถัน,หินที่พบได้ทั่วไปในดาวเปลวไฟ สามารถหลอม@item_11214#ได้ที่เตาหลอม และสามารถขุดได้อย่างรวดเร็วด้วยเครื่องมืออีเตอร์,
125,ทรายร้อน,ทรายเหลืองที่ส่งกลิ่นไอความร้อน ใช้เครื่องมือพลั่วสามารถขุดได้อย่างรวดเร็ว,
126,หินเมจิก,ไม่รู้ว่ามาจากไหน แต่ถูกทำลายจากการระเบิดได้ยาก,บางครั้งพ่อค้าจะมีขาย
127,บล็อกโฟม,บล็อกที่ใช้สำหรับการตกแต่ง,
128,ทรายแดง,กองทรายแดงที่หายาก อุดมไปด้วยแร่ธาตุ เมื่อผสมกับน้ำแข็งที่ติดไฟได้จะไม่เสถียร,อาจพบเจอในเกาะดินแดงและเกาะปะการัง
129,หิมะหนา,,
130,กองหิมะหนา,อยากจะสร้างมนุษย์หิมะ หรือเล่นบอลหิมะด้วยกันไหม,@Null@
131,น้ำแข็งแข็งแกร่ง,แข็งแกร่งมาก ไม่สามารถทำอะไรได้,@Null@
132,ผลึกกำมะถัน,ปรากฏในดาวเปลวไฟ ขุดด้วย#c0aba1dพลั่วทองทังสเตน#nเท่านั้น เป็นหนึ่งในวัสดุที่ใช้สร้างผลึกอลวน เมื่อถูกของเหลวปิดกั้นจะระเบิด,#c0aba1dโปรดอย่าเลียนแบบพฤติกรรมใดๆ ในเกม#n
133,รังผึ้งเปล่า,รังผึ้งที่ว่างเปล่า วางใน#c0aba1dใต้ใบไม้ของต้นพีช#nจะสามารถสะสมน้ำผึ้งได้,
134,รังผึ้งเต็ม,รังผึ้งที่เต็มไปด้วยนํ้าผึ้ง ระวังผึ้งด้วย！ใช้ขวดแก้วเล็กจะได้รับน้ำผึ้งบรรจุขวด,
135,โทเทมลึกลับ-แม่ธรณี,รูปปั้นหินที่มีความสำคัญยิ่งในอารยธรรมโบราณปัจจุบันใช้สำหรับการตกแต่งเท่านั้น,รวบรวมจากซากอารยธรรมโบราณของดาวโฮราส
136,โทเทมลึกลับ-ท้องฟ้า,รูปปั้นหินที่มีความสำคัญยิ่งในอารยธรรมโบราณปัจจุบันใช้สำหรับการตกแต่งเท่านั้น,รวบรวมจากซากอารยธรรมโบราณของดาวโฮราส
137,หลุมดินของดาวโฮราส,@Null@,@Null@
138,บล็อกมลพิษ,@Null@,@Null@
139,บล็อก-ใช้ต่อสู้กับBOSS,@Null@,@Null@
140,แท่นชีวิต,"แท่นหินที่อารยธรรม ""คนโบราณ"" ทิ้งไว้ เชื่อมโยงกับพลังชีวิตของดาวมิรา",
141,แท่นกล้าหาญ,"แท่นหินที่อารยธรรม ""คนโบราณ"" ทิ้งไว้ เชื่อมโยงกับพลังแห่งความกล้าหาญของดาวเปลวไฟ",
142,แท่นปัญญา,"แท่นหินที่อารยธรรม ""คนโบราณ"" ทิ้งไว้ เชื่อมโยงกับพลังแห่งภูมิปัญญาของดาวโฮราส",
143,แท่นหินแตกหัก,แท่นหินโบราร หลังจากขุดแล้วจะไม่สามารถคืนสู่สภาพเดิมได้อีกต่อไป,
144,ขวดแก้วผีเสื้อสีแดงเข้ม,วางไว้เพื่อทำให้พื้นที่รอบข้างสว่างขึ้น,ได้มาจากการจับผีเสื้อด้วยขวดแก้วเล็กในเกาะว่างเปล่า
145,ขวดแก้วผีเสื้อฟ้า,วางไว้เพื่อทำให้พื้นที่รอบข้างสว่างขึ้น,ได้มาจากการจับผีเสื้อด้วยขวดแก้วเล็กในเกาะว่างเปล่า
146,ขวดแก้วผีเสื้อกลิ่นหอม,วางไว้เพื่อทำให้พื้นที่รอบข้างสว่างขึ้น,ได้มาจากการจับผีเสื้อด้วยขวดแก้วเล็กในเกาะว่างเปล่า
147,ขวดแก้วผีเสื้อขาว,วางไว้เพื่อทำให้พื้นที่รอบข้างสว่างขึ้น,ได้มาจากการจับผีเสื้อด้วยขวดแก้วเล็กในเกาะว่างเปล่า
148,ขวดแก้วผีเสื้อมังกร,วางไว้เพื่อทำให้พื้นที่รอบข้างสว่างขึ้น,ได้มาจากการจับผีเสื้อด้วยขวดแก้วเล็กในเกาะว่างเปล่า
149,ขวดแก้วผีเสื้อเชจง,วางไว้เพื่อทำให้พื้นที่รอบข้างสว่างขึ้น,ได้มาจากการจับผีเสื้อด้วยขวดแก้วเล็กในเกาะว่างเปล่า
150,ดินลูกรัง,สามารถปลูกพืชพิเศษได้ ต้องอยู่ใกล้กับแหล่งน้ำหรือรดน้ำเพื่อให้ชุ่มชื้น,ได้มาจากการบุกเบิกดินลูกรังด้วยคราด
151,หลุมดินลูกรัง,สามารถปลูกพืชพิเศษได้ ต้องอยู่ใกล้กับแหล่งน้ำหรือรดน้ำเพื่อให้ชุ่มชื้น,ได้มาจากการบุกเบิกดินลูกรังด้วยพลั่ว
152,แผ่นหินโฮราสบางแนวตั้ง,แผ่นหินบางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,คราฟต์ด้วยบล็อกหินโฮราสบนโต๊ะคราฟต์
153,แผ่นไม้ไผ่บางแนวตั้ง,แผ่นไม้บางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,คราฟต์ด้วยไม้ไผ่บนโต๊ะคราฟต์
154,แผ่นสีแดงเลือดนกบางแนวตั้ง,แผ่นไม้บางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,ทาสีด้วยเม็ดสีสีแดงเลือดนกบนโต๊ะคราฟต์
155,แผ่นอิฐซีเมนต์บางแนวตั้ง,แผ่นหินบางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,คราฟต์ด้วยอิฐซีเมนต์บนโต๊ะคราฟต์
156,แผ่นอิฐกำมะถันบางแนวตั้ง,แผ่นหินบางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,คราฟต์ด้วยอิฐกำมะถันบนโต๊ะคราฟต์
157,แผ่นหินบางแนวตั้ง,แผ่นหินบางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,คราฟต์ด้วยวัตถุดิบหินบนโต๊ะคราฟต์
158,แผ่นอิฐหินบางแนวตั้ง,แผ่นหินบางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,คราฟต์ด้วยหินบนโต๊ะคราฟต์
159,แผ่นไทเทเนียมบางแนวตั้ง,แผ่นโลหะบางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,คราฟต์ด้วยไทเทเนียมบนโต๊ะคราฟต์
160,แผ่นทองแดงบางแนวตั้ง,แผ่นโลหะบางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,คราฟต์ด้วยทองแดงบนโต๊ะคราฟต์
161,แผ่นไมกาบางแนวตั้ง,แผ่นโลหะบางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,คราฟต์ด้วยไมกาบนโต๊ะคราฟต์
162,แผ่นมิธริลบางแนวตั้ง,แผ่นโลหะบางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,คราฟต์ด้วยมิธริลบนโต๊ะคราฟต์
163,แผ่นลุกโชนบางแนวตั้ง,แผ่นโลหะบางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,คราฟต์ด้วยลุกโชนบนโต๊ะคราฟต์
164,แผ่นมะนาวเหลืองบางแนวตั้ง,แผ่นไม้บางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,ทาสีด้วยเม็ดสีสีเหลืองมะนาวบนโต๊ะคราฟต์
165,แผ่นสีปูนขาวบางแนวตั้ง,แผ่นไม้บางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,ทาสีด้วยเม็ดสีสีปูนขาวบนโต๊ะคราฟต์
166,แผ่นสีน้ำตาลแดงเข้มบางแนวตั้ง,แผ่นไม้บางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,ทาสีด้วยเม็ดสีสีน้ำตาลแดงเข้มบนโต๊ะคราฟต์
167,แผ่นสีส้มพระอาทิตย์ตกบางแนวตั้ง,แผ่นไม้บางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,ทาสีด้วยเม็ดสีสีส้มพระอาทิตย์ตกบนโต๊ะคราฟต์
168,แผ่นบีโกเนียสีแดงบางแนวตั้ง,แผ่นไม้บางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,ทาสีด้วยเม็ดสีบีโกเนียสีแดงบนโต๊ะคราฟต์
169,แผ่นสีขาวงาช้างบางแนวตั้ง,แผ่นไม้บางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,ทาสีด้วยเม็ดสีสีขาวงาช้างบนโต๊ะคราฟต์
170,แผ่นสีส้มใบไม้ร่วงบางแนวตั้ง,แผ่นไม้บางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,ทาสีด้วยเม็ดสีสีส้มใบไม้ร่วงบนโต๊ะคราฟต์
171,แผ่นบางแนวตั้ง,แผ่นไม้บางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,คราฟต์ด้วยวัตถุดิบไม้บนโต๊ะคราฟต์
172,แผ่นอิฐเหลืองบางแนวตั้ง,แผ่นหินบางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,คราฟต์ด้วยอิฐเหลืองบนโต๊ะคราฟต์
173,แผ่นแมงกานีสบางแนวตั้ง,แผ่นโลหะบางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,คราฟต์ด้วยแมงกานีสบนโต๊ะคราฟต์
174,แผ่นสีเทาอ่อนบางแนวตั้ง,แผ่นไม้บางตั้งซ้อนกันได้เพื่อเปลี่ยนความหนา,ทาสีด้วยเม็ดสีสีเทาอ่อนบนโต๊ะคราฟต์
200,ไม้เชอร์รี่,ลำต้นของต้นเชอร์รี่ สามารถคราฟต์เป็น@item_11323#ในบน@item_800#ได้ ใช้สำหรับการตกแต่งหรือเป็นเชื้อเพลิงได้อีกด้วย,ฝังรูน#c0aba1dรับแบบสมบูรณ์#nให้กับเครื่องมือประเภทขวานแล้วทำการตัดเพื่อรับ
201,ไม้สนใบร่วง,ลำต้นของสนใบร่วง สามารถคราฟต์เป็น@item_11323#ในบน@item_800#ได้ ใช้สำหรับการตกแต่งหรือเป็นเชื้อเพลิงได้อีกด้วย,ฝังรูน#c0aba1dรับแบบสมบูรณ์#nให้กับเครื่องมือประเภทขวานแล้วทำการตัดเพื่อรับ
202,ไม้ป็อปลาร์,ลำต้นของต้นป็อปลาร์ สามารถคราฟต์เป็น@item_11323#ในบน@item_800#ได้ ใช้สำหรับการตกแต่งหรือเป็นเชื้อเพลิงได้อีกด้วย,ฝังรูน#c0aba1dรับแบบสมบูรณ์#nให้กับเครื่องมือประเภทขวานแล้วทำการตัดเพื่อรับ
203,ไม้โคสต์เรดวูด,ลำต้นของต้นโคสต์เรดวูด สามารถคราฟต์เป็น@item_11323#ในบน@item_800#ได้ ใช้สำหรับการตกแต่งหรือเป็นเชื้อเพลิงได้อีกด้วย,ฝังรูน#c0aba1dรับแบบสมบูรณ์#nให้กับเครื่องมือประเภทขวานแล้วทำการตัดเพื่อรับ
204,ไม้หนานมู่,ลำต้นของต้นหนานมู่  สามารถคราฟต์เป็น@item_11323#ในบน@item_800#ได้ ใช้สำหรับการตกแต่งหรือเป็นเชื้อเพลิงได้อีกด้วย,ฝังรูน#c0aba1dรับแบบสมบูรณ์#nให้กับเครื่องมือประเภทขวานแล้วทำการตัดเพื่อรับ
205,ไม้วอลนัท,ลำต้นของต้นวอลนัท สามารถคราฟต์เป็น@item_11323#ในบน@item_800#ได้ ใช้สำหรับการตกแต่งหรือเป็นเชื้อเพลิงได้อีกด้วย,ฝังรูน#c0aba1dรับแบบสมบูรณ์#nให้กับเครื่องมือประเภทขวานแล้วทำการตัดเพื่อรับ
206,แผ่นไม้,วัสดุก่อสร้างพื้นฐาน ใช้กันอย่างแพร่หลายในการก่อสร้างที่ทำด้วยไม้,คราฟต์ด้วยวัตถุดิบไม้บนโต๊ะคราฟต์
207,แผ่นไม้สีส้มใบไม้ร่วง,วัสดุก่อสร้างพื้นฐาน ใช้กันอย่างแพร่หลายในการก่อสร้างที่ทำด้วยไม้,ทาสีด้วยเม็ดสีสีส้มใบไม้ร่วงบนโต๊ะคราฟต์
208,แผ่นไม้สีขาวงาช้าง,วัสดุก่อสร้างพื้นฐาน ใช้กันอย่างแพร่หลายในการก่อสร้างที่ทำด้วยไม้,ทาสีด้วยเม็ดสีสีขาวงาช้างบนโต๊ะคราฟต์
209,แผ่นไม้บีโกเนียสีแดง,วัสดุก่อสร้างพื้นฐาน ใช้กันอย่างแพร่หลายในการก่อสร้างที่ทำด้วยไม้,ทาสีด้วยเม็ดสีบีโกเนียสีแดงบนโต๊ะคราฟต์
210,แผ่นไม้สีส้มพระอาทิตย์ตก,วัสดุก่อสร้างพื้นฐาน ใช้กันอย่างแพร่หลายในการก่อสร้างที่ทำด้วยไม้,ทาสีด้วยเม็ดสีสีส้มพระอาทิตย์ตกบนโต๊ะคราฟต์
211,แผ่นไม้สีน้ำตาลแดงเข้ม,วัสดุก่อสร้างพื้นฐาน ใช้กันอย่างแพร่หลายในการก่อสร้างที่ทำด้วยไม้,ทาสีด้วยเม็ดสีสีน้ำตาลแดงเข้มบนโต๊ะคราฟต์
212,ต้นกล้าเชอร์รี่,ใช้เป็นเชื้อเพลิงได้ แต่ไหม้เร็วมาก,
213,ต้นกล้าสนใบร่วง,ใช้เป็นเชื้อเพลิงได้ แต่ไหม้เร็วมาก,
214,ต้นกล้าป็อปลาร์,ใช้เป็นเชื้อเพลิงได้ แต่ไหม้เร็วมาก,
215,ต้นกล้าโคสต์เรดวูด,ใช้เป็นเชื้อเพลิงได้ แต่ไหม้เร็วมาก,
216,ต้นกล้าหนานมู่,ใช้เป็นเชื้อเพลิงได้ แต่ไหม้เร็วมาก,
217,ต้นกล้าวอลนัท,ใช้เป็นเชื้อเพลิงได้ แต่ไหม้เร็วมาก,
218,ใบไม้เชอร์รี่,สามารถใช้ทำ@item_1200#เชื้อเพลิงหรือวัตถุดิบผลิตออกซิเจน และยังสามารถใช้เป็น#c0aba1dเครื่องประดับหัวตุ๊กตาหิมะ#n,
219,ใบไม้สนใบร่วง,สามารถใช้ทำ@item_1200#เชื้อเพลิงหรือวัตถุดิบผลิตออกซิเจน และยังสามารถใช้เป็น#c0aba1dเครื่องประดับหัวตุ๊กตาหิมะ#n,
220,ใบป็อปลาร์,สามารถใช้ทำ@item_1200#เชื้อเพลิงหรือวัตถุดิบผลิตออกซิเจน และยังสามารถใช้เป็น#c0aba1dเครื่องประดับหัวตุ๊กตาหิมะ#n,
221,ใบโคสต์เรดวูด,สามารถใช้ทำ@item_1200#เชื้อเพลิงหรือวัตถุดิบผลิตออกซิเจน และยังสามารถใช้เป็น#c0aba1dเครื่องประดับหัวตุ๊กตาหิมะ#n,
222,ใบต้นหนานมู่,สามารถใช้ทำ@item_1200#เชื้อเพลิงหรือวัตถุดิบผลิตออกซิเจน และยังสามารถใช้เป็น#c0aba1dเครื่องประดับหัวตุ๊กตาหิมะ#n,
223,ใบวอลนัท,สามารถใช้ทำ@item_1200#เชื้อเพลิงหรือวัตถุดิบผลิตออกซิเจน และยังสามารถใช้เป็น#c0aba1dเครื่องประดับหัวตุ๊กตาหิมะ#n,
224,หญ้า,หลัง#c0aba1dทำลาย#nมีโอกาสได้รับ#c0aba1dวัชพืช 1กำมือ#n,ท้องฟ้าเป็นสีเทา ลมพัดหญ้าจึงทำให้เห็นวัวและแกะได้
225,หญ้าแห้ง,ใช้เรื่องมือ#c0aba1dพลั่ว#nจะได้รับ#c0aba1dหญ้าแห้ง#n ใช้เครื่องมืออื่นๆจะได้รับ#c0aba1dวัชพืช 1กำมือ#n,สนามหญ้าปกคลุมไปด้วยหญ้าสีเขียวชอุ่ม ซึ่งจะเหี่ยวเฉาและเปลี่ยนเป็นสีเหลืองในทุกฤดูใบไม้ร่วงและฤดูหนาว และจะเขียวชอุ่มอีกครั้งในฤดูใบไม้ผลิ
