接口ID,泰语,泰语,泰语,泰语,泰语,泰语,泰语
20010,การจัดการโลก,isGameMakerRunMode,World:isGameMakerRunMode(),none,"ErrorCode.OK, result:boolean",โโหมดการใช้งานที่กำหนดวิธีการเล่น,"local result = World:isGameMakerRunMode()
if result==ErrorCode.OK then print('Customized operation mode') end"
20011,การจัดการโลก,getHours,World:getHours(),none,"ErrorCode.OK, result:number",รับเวลาปัจจุบันของเกม(h),"local result, dayTime = World:getHours()
if result==ErrorCode.OK then print('Current time:', dayTime) end"
20012,การจัดการโลก,getCameraEditState,World:getCameraEditState(),none,"ErrorCode.OK, state:number0Default，1Edit，2Test",รับสถานะการแก้ไขมุมอง,"local result, state = World:getCameraEditState()
if result==ErrorCode.OK then print('Current view editing state:', state) end"
20013,การจัดการโลก,setCameraEditState,World:setCameraEditState(state),state:CameraEditState,ErrorCode.OK,ตั้งค่าสถานะการแก้ไขมุมอง,"--Get Camera(userdata)，Back to nil
local result, config = World:getCustomCameraConfig()
if result==ErrorCode.OK and config~=nil then --Customized view
        config:setOption(CAMERA_OPTION_INDEX_CONFIG_SET, CCG_FLATVIEW)
end"
20014,การจัดการโลก,getCustomCameraConfig,World:getCustomCameraConfig(),none,"ErrorCode.OK, config:CameraEditState",รับการกำหนดค่ากล้องที่กำหนดเอง,local result = World:getCustomCameraConfig()
20015,การจัดการโลก,getRangeXZ,World:getRangeXZ(),none,"ErrorCode.OK, startX|startZ|endX|endZ:number",รับขอบเขตของบล็อก(chunk),"local result, startX,startZ,endX,endZ = World:getRangeXZ()
if result==ErrorCode.OK then print('StartXZ=(',startX,', ',startZ,'), EndXZ=(',endX,', ',endZ,')')  end"
20016,การจัดการโลก,getActorsByBox,"World:getActorsByBox(objtype, x1, y1, z1, x2, y2, z2)","type:number designate type, x1|y1|z1:number starting point, x2|y2|z2:number ending point","ErrorCode.OK, num:number, objids:tableobjid array",รับactorที่อยู่ขอบเขตที่กำหนด,"local actorType = 0 --OBJ_TYPE_MONSTER
local x1, y1, z1 = -5, 1, -5
local x2, y2, z2 = 15, 9, 15
local ret, num, array = World:getActorsByBox(actorType, x1,y1,z1, x2,y2,z2)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20017,การจัดการโลก,getPlayerTotal,World:getPlayerTotal(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number Number",รับผู้เล่นทั้งหมด สามารถจำกัดสภาพการอยู่รอด,local result = World:getPlayerTotal(alive)
20018,การจัดการโลก,getAllPlayers,World:getAllPlayers(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number number, array:table player uin array",รับผู้เล่นทั้งหมด สามารถจำกัดสภาพการอยู่รอด,"local aliveType = -1 --Get all players data
local ret, num, array = World:getAllPlayers(aliveType)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20019,การจัดการโลก,randomOnePlayer,World:randomOnePlayer(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, uin:number",สุ่มเอาผู้เล่นหนึ่งคนออก,"local aliveType = 1 --Any survivors Id
local ret, playerId = World:randomOnePlayer(aliveType)
if ret == ErrorCode.OK then print('Player ===>> ', playerId) end"
20020,การจัดการโลก,despawnActor,World:despawnActor(objid),objid:number,ErrorCode.OK,ลบactorออก,"local ret, num, array = World:getActorsByBox(aType, x1,y1,z1, x2,y2,z2)
if array and #array>0 then --Remove Actor
        local result = World:despawnActor(array[#array])
        if result == ErrorCode.OK then print('Despawn the last actor') end
end"
20021,การจัดการโลก,spawnCreature,"World:spawnCreature(x, y, z, actorid, num)","x|y|z:number, mobid:number, num:number","ErrorCdoe.OK, objids:tableobjid array",กำเนิดสิ่งมีชีวิต(รวมถึงมอน NPC สัตวต์เป็นต้น),"local x, y, z = 6, 7, 8
local actorId, actorCnt = 3812, 2 --Little cow
local ret, objids = World:spawnCreature(x, y, z, actorId, actorCnt)
if objids and #objids>0 then
        for idx = 1, #objIds do --Set the Oxygen dependence
                Creature:setOxygenNeed(objids[idx], true)
        end 
end"
20022,การจัดการโลก,despawnCreature,World:despawnCreature(objid),objid:number,ErrorCode.OK,ลบสิ่งมีชีวิตออก,"local result = World:despawnCreature(objids[1])
if result == ErrorCode.OK then print('Despawn the creature') end"
20023,การจัดการโลก,spawnItem,"World:spawnItem(x, y, z, itemid, num)","x|y|z:number, itemid:number, num:number","ErrorCode.OK, objid:number",กำเนิดไอเทมในตำแหน่งที่กำหนด,"local xPos, yPos, zPos = 5, 6, 7
local itemId, itemCnt = 15003, 30 --Item's id and number
local ret, objIds = World:spawnItem(xPos, yPos, zPos, itemId, itemCnt)
if ret == ErrorCode.OK then print(""Item[1]====>>>"", objIds[1]) end"
20024,การจัดการโลก,despawnItemByBox,"World:despawnItemByBox(x1, y1, z1, x2, y2, z2)","x1|y1|z1:number starting point, x2|y2|z2:number ending point",ErrorCode.OK,ลบไอเทมออก(ผ่านขอบเขต),"local x1, y1, z1 = -5, 5, -5
local x2, y2, z2 = 15, 9, 15
local result = World:despawnItemByBox(x1,y1,z1, x2,y2,z2)
if result == ErrorCode.OK then print('Successfully remove Item in designate region') end"
20025,การจัดการโลก,despawnItemByObjid,World:despawnItemByObjid(objid),objid:number,ErrorCode.OK,ลบไอเทมออก(ผ่าน ID),"local result = World:despawnItemByObjid(objIds[1])
if result == ErrorCode.OK then print('Successfully remove designate item') end"
20026,การจัดการโลก,spawnProjectile,"World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)","shooter:number, itemid:number, x|y|z:number, dirx|diry|dirz:number, speed:number",ErrorCode.OK,กำเนิดสิ่ิ่งที่โยน,"local result = World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)"
30001,การจัดการบล็อก,isSolidBlock,"Block:isSolidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",บล็อกใช่ของแข็งหรือไม่,"local result = Block:isSolidBlock(x, y, z)"
30002,การจัดการบล็อก,isLiquidBlock,"Block:isLiquidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",บล็อกใช่ของเหลวหรือไม่,"local result = Block:isLiquidBlock(x, y, z)"
30003,การจัดการบล็อก,isAirBlock,"Block:isAirBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",บล็อกใช่อากาศหรือไม่,"local result = Block:isAirBlock(x, y, z)"
30004,การจัดการบล็อก,getBlockID,"Block:getBlockID(x, y, z)",x|y|z:number,"ErrorCode.OK, id:number",รับ id ที่สอดคล้องกันของblock,"local result = Block:getBlockID(x, y, z)"
30005,การจัดการบล็อก,setBlockAll,"Block:setBlockAll(x, y, z, blockid, data)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,ตั้งค่าblockalldata อัปเดต+การแจ้งเตือน,"local result = Block:setBlockAll(x, y, z, blockid, data)"
30006,การจัดการบล็อก,destroyBlock,"Block:destroyBlock(x, y, z, dropitem)","x|y|z:number, dropitem:boolean",ErrorCode.OK,ทำลายบล็อก,"local result = Block:destroyBlock(x, y, z, dropitem)"
30007,การจัดการบล็อก,placeBlock,"Block:placeBlock(blockid, x, y, z, face)","blockid:number, x|y|z:number, face:number","ErrorCode.OK, ret:boolean whether it is placed right",วางบล็อก,"local result = Block:placeBlock(blockid, x, y, z, face)"
30008,การจัดการบล็อก,setBlockAllForUpdate,"Block:setBlockAllForUpdate(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,ตั้งค่าblockalldata แจ้งเตือนบล็อกรอบข้าง,"local result = Block:setBlockAllForUpdate(x, y, z, blockid)"
30009,การจัดการบล็อก,setBlockAllForNotify,"Block:setBlockAllForNotify(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,ตั้งค่าblockalldata อัปเดตบล็อกที่อยู่ตำแหน่งปัจจุบัน,"local result = Block:setBlockAllForNotify(x, y, z, blockid)"
30010,การจัดการบล็อก,setBlockSettingAttState,"Block:setBlockSettingAttState(blockid, atttype, switch)","blockid:number, atttype:BLOCKATTR, switch:boolean",ErrorCode.OK,ตั้งค่าสถานะลักษณะของบล็อก,"local result = Block:setBlockSettingAttState(blockid, atttype, switch)"
30011,การจัดการบล็อก,getBlockSwitchStatus,Block:getBlockSwitchStatus(pos),x|y|z:number,"ErrorCode.OK, isactive:boolean",รับสถานะสวิตช์ของบล็อกฟังก์ชั่น,local result = Block:getBlockSwitchStatus(pos)
30012,การจัดการบล็อก,setBlockSwitchStatus,"Block:setBlockSwitchStatus(pos, isactive)","x|y|z:number, isactive:boolean",ErrorCode.OK,ตั้งค่าสถานะสวิตช์ของบล็อกฟังก์ชั่น,"local result = Block:setBlockSwitchStatus(pos, isactive)"
40001,Actor เกม,isPlayer,Actor:isPlayer(objid),objid,ErrorCode.OK is player is player,ตรวจสอบว่าใช่ผู้เล่นหรือไม่,local result = Actor:isPlayer(objid)
40002,Actor เกม,isMob,Actor:isMob(objid),objid,ErrorCode.OK is monster is monster,ตรวจสอบว่าใช่สิ่งมีชีวิตหรือไม่,local result = Actor:isMob(objid)
40003,Actor เกม,getObjType,Actor:getObjType(objid),objid,"ErrorCode.OK, objtype:number",รับประเภทactor:สิ่งมีชีวิต/ผู้เล่น...,local result = Actor:getObjType(objid)
40004,Actor เกม,isInAir,Actor:isInAir(objid),objid:number,ErrorCode.OK,อยู่ในอากาศหรือไม่,local result = Actor:isInAir(objid)
40005,Actor เกม,getPosition,Actor:getPosition(objid),objid,"ErrorCode.OK, x|y|z:number",รับตำแหน่งของสักแสดง,local result = Actor:getPosition(objid)
40006,Actor เกม,setPosition,"Actor:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,ตั้งค่าตำแหน่งของสักแสดง,"local result = Actor:setPosition(objid, x, y, z)"
40007,Actor เกม,jump,Actor:jump(objid),objid:number,ErrorCode.OK,กระโดด,local result = Actor:jump(objid)
40008,Actor เกม,killSelf,Actor:killSelf(objid),objid:number,ErrorCode.OK,ฆ่าตัวตาย,local result = Actor:killSelf(objid)
40009,Actor เกม,getCurPlaceDir,Actor:getCurPlaceDir(objid),objid:number,"ErrorCode.OK, dir:number",รับทิศทางที่หันหน้าปัจจุบัน,local result = Actor:getCurPlaceDir(objid)
40010,Actor เกม,tryMoveToActor,"Actor:tryMoveToActor(self_objid, target_objid, speed)","self_objid:number, target_objid:number, speed:number",ErrorCode.OK,เคลื่อนที่ไปยังเป้าหมายactor,"local result = Actor:tryMoveToActor(self_objid, target_objid, speed)"
40011,Actor เกม,tryMoveToPos,"Actor:tryMoveToPos(objid, x, y, z, speed)","objid:number, x|y|z:number, speed:number",ErrorCode.OK,เคลื่อนที่ไปยังเป้าหมายตำแหน่ง,"local result = Actor:tryMoveToPos(objid, x, y, z, speed)"
40012,Actor เกม,addBuff,"Actor:addBuff(objid, buffid, bufflv, customticks)","objid:number, buffid:number, bufflv:number, customticks:number",ErrorCode.OK,เพิ่มbuff,"local result = Actor:addBuff(objid, buffid, bufflv, customticks)"
40013,Actor เกม,hasBuff,"Actor:hasBuff(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ret:boolean",มีbuffบางอย่างหรือไม่,"local result = Actor:hasBuff(objid, buffid)"
40014,Actor เกม,removeBuff,"Actor:removeBuff(objid, buffid)","objid:number, buffid:number",ErrorCode.OK,ลบbuff,"local result = Actor:removeBuff(objid, buffid)"
40015,Actor เกม,clearAllBuff,Actor:clearAllBuff(objid),objid:number,ErrorCode.OK,ลบbuffทั้งหมด,local result = Actor:clearAllBuff(objid)
40016,Actor เกม,clearAllBadBuff,Actor:clearAllBadBuff(objid),objid:number,ErrorCode.OK,ลบdebuffทั้งหมด,local result = Actor:clearAllBadBuff(objid)
40017,Actor เกม,getBuffList,Actor:getBuffList(objid),objid:number,"ErrorCode.OK, num:numberbuff number, array:tablebuffid array",รับรายการbuff,local result = Actor:getBuffList(objid)
40018,Actor เกม,getBuffLeftTick,"Actor:getBuffLeftTick(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ticks:number",รับitckที่เหลือของbuffที่สอดคล้องกันของindexปัจจุบัน,"local result = Actor:getBuffLeftTick(objid, buffid)"
40019,Actor เกม,addHP,"Actor:addHP(objid, hp)","objid:number, hp:number",ErrorCode.OK,เพิ่มค่า HP ปัจจุบัน,"local result = Actor:addHP(objid, hp)"
40020,Actor เกม,getHP,Actor:getHP(objid),objid:number,"ErrorCode.OK, value:number",รับค่า HP ปัจจุบัน,local result = Actor:getHP(objid)
40021,Actor เกม,getMaxHP,Actor:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",รับค่า HP สูงสุดปัจจุบัน,local result = Actor:getMaxHP(objid)
40022,Actor เกม,addOxygen,"Actor:addOxygen(objid, oxygen)","objid:number, oxygen:number",ErrorCode.OK,เพิ่มค่าออกซิเจน,"local result = Actor:addOxygen(objid, oxygen)"
40023,Actor เกม,getOxygen,Actor:getOxygen(objid),objid:number,"ErrorCode.OK, value:number",รับค่าออกซิเจน,local result = Actor:getOxygen(objid)
40024,Actor เกม,addEnchant,"Actor:addEnchant(objid, slot, enchantId, enchantLevel)","objid:number, slot:number, enchantId:number, enchantLevel:number",ErrorCode.OK,เพิ่มการร่ายมนตร์ของอุปกรณ์ที่เกี่ยวข้อง,"local result = Actor:addEnchant(objid, slot, enchantId, enchantLevel)"
40025,Actor เกม,removeEnchant,"Actor:removeEnchant(objid, slot, enchantId)","objid:number, slot:number, enchantId:number",ErrorCode.OK,ลบการร่ายมนตร์ของอุปกรณ์ที่เกี่ยวข้องออก,"local result = Actor:removeEnchant(objid, slot, enchantId)"
40026,Actor เกม,findNearestBlock,"Actor:findNearestBlock(objid, blockid, blockRange)","objid:number, blockid:number, blockRange","ErrorCode.OK, x|y|z:number",ค้นหาบล็อกidที่ใกล้ที่สุด,"local result = Actor:findNearestBlock(objid, blockid, blockRange)"
40027,Actor เกม,setFaceYaw,"Actor:setFaceYaw(objid, yaw)","objid:number, yaw:number angle",ErrorCode.OK,ตั้งค่ามุมเลื่อนที่แนวนอนของมุมมองactor,"local result = Actor:setFaceYaw(objid, yaw)"
40028,Actor เกม,getFaceYaw,Actor:getFaceYaw(objid),objid:number,"ErrorCode.OK, yaw:number",รับมุมเลื่อนที่แนวนอนของมุมมองactor,local result = Actor:getFaceYaw(objid)
40029,Actor เกม,turnFaceYaw,"Actor:turnFaceYaw(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,หมุนมุมเลื่อนที่แนวนอนของมุมมองactor,"local result = Actor:turnFaceYaw(objid, offset)"
40030,Actor เกม,setFacePitch,"Actor:setFacePitch(objid, pitch)","objid:number, pitch:number upward view",ErrorCode.OK,ตั้งค่ามุมมองขึ้นของมุมมองactor,"local result = Actor:setFacePitch(objid, pitch)"
40031,Actor เกม,getFacePitch,Actor:getFacePitch(objid),objid:number,"ErrorCode.OK, pitch:number",รับมุมมองขึ้นของมุมมองactor,local result = Actor:getFacePitch(objid)
40032,Actor เกม,turnFacePitch,"Actor:turnFacePitch(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,หมุนมุมมองขึ้นของมุมมองactor,"local result = Actor:turnFacePitch(objid, offset)"
40033,Actor เกม,playBodyEffect,"Actor:playBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,เล่นเอฟเฟ็กต์,"local result = Actor:playBodyEffect(objid, type)"
40034,Actor เกม,stopBodyEffect,"Actor:stopBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,หยุดเล่นเอฟเฟ็กต์,"local result = Actor:stopBodyEffect(objid, type)"
40035,Actor เกม,playBodyEffectByFile,"Actor:playBodyEffectByFile(objid, filename, sync)","objid:number, filename:string file name, sync:bool synchronize",ErrorCode.OK,เล่นเอฟเฟ็กต์ของไฟล์,"local result = Actor:playBodyEffectByFile(objid, filename, sync)"
40036,Actor เกม,stopBodyEffectByFile,"Actor:stopBodyEffectByFile(objid, filename)","objid:number, filename:string file name",ErrorCode.OK,หยุดเล่นเอฟเฟ็กต์ของไฟล์,"local result = Actor:stopBodyEffectByFile(objid, filename)"
40037,Actor เกม,playSound,"Actor:playSound(objid, name, volume, pitch, flag)","objid:number, name:string, volume:number, pitch:number, flag:number",ErrorCode.OK,เล่นเสียง,"local result = Actor:playSound(objid, name, volume, pitch, flag)"
40038,Actor เกม,playSoundSpecial,"Actor:playSoundSpecial(objid, name, type)","objid:number, name:string, type:number designate name (GSOUND_TYPE)",ErrorCode.OK,เล่นเสียง(กำหนดประเภท:GSOUND_TYPE),"local result = Actor:playSoundSpecial(objid, name, type)"
40039,Actor เกม,clearActorWithId,"Actor:clearActorWithId(actorid, bkill)","actorid:number, bkill:boolean",ErrorCode.OK,ลบสิ่งมีชีวิตที่IDสิ่งมีชีวิตเป็นactorid,"local result = Actor:clearActorWithId(actorid, bkill)"
40040,Actor เกม,setAttackType,"Actor:setAttackType(objid, attacktype)","objid:number, attacktype:number",ErrorCode.OK,ตั้งค่าประเภทดาเมจ,"local result = Actor:setAttackType(objid, attacktype)"
40041,Actor เกม,setImmuneType,"Actor:setImmuneType(objid, immunetype, isadd)","objid:number, immunetype:number, isadd:number",ErrorCode.OK,ตั้งค่าประเภทภูมิคุ้มกันดาเมจ,"local result = Actor:setImmuneType(objid, immunetype, isadd)"
40042,Actor เกม,mountActor,"Actor:mountActor(objid, mountobjid, posindex)","objid:number, mountobjid:number, posindex:number ride",ErrorCode.OK,ขึ้น/ลงจากยานพาหนะ,"local result = Actor:mountActor(objid, mountobjid, posindex)"
40043,Actor เกม,setActionAttrState,"Actor:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,ตั้งค่าสถานะลักษณะการกระทำของสิ่งมีชีวิต,"local result = Actor:setActionAttrState(objid, actionattr, switch)"
40044,Actor เกม,tryNavigationToPos,"Actor:tryNavigationToPos(objid, x, y, z, cancontrol)","objid:number, x|y|z:number, cancontrol:boolean",ErrorCode.OK,หาทางไปที่เป้าหมายตำแหน่ง,"local result = Actor:tryNavigationToPos(objid, x, y, z, cancontrol)"
40045,Actor เกม,getRidingActorObjId,Actor:getRidingActorObjId(objid),objid:number,ErrorCode.OK,รับobjidของสิ่งมีชีวิตที่ขี่,local result = Actor:getRidingActorObjId(objid)
50001,ผู้เล่นเกม,getAttr,Player:getAttr(attrtype),"objid:number, atttype:number","ErrorCode.OK, value:number",nil,local result = Player:getAttr(attrtype)
50002,ผู้เล่นเกม,setAttr,"Player:setAttr(attrtype, val)","objid:number, val:number, atttype:number",ErrorCode.OK,nil,"local result = Player:setAttr(attrtype, val)"
50003,ผู้เล่นเกม,getHostUin,Player:getHostUin(),nil,"ErrorCode.OK, uin:number",รับเจ้าของห้อง,local result = Player:getHostUin()
50004,ผู้เล่นเกม,isMainPlayer,Player:isMainPlayer(objid),objid:number,ErrorCode.OK is local player is local player,ตรวจสอบว่าใช่ผู้เล่นท้องถิ่นหรือไม่,local result = Player:isMainPlayer(objid)
50005,ผู้เล่นเกม,getMainPlayerUin,Player:getMainPlayerUin(),nil,"ErrorCode.OK, uin:number",รับuinของผู้เล่นท้องถิ่น,local result = Player:getMainPlayerUin()
50006,ผู้เล่นเกม,getGameResults,Player:getGameResults(objid),objid:number,"ErrorCode.OK, value:number",รับผลการแข่งขันของผู้เล่น,local result = Player:getGameResults(objid)
50007,ผู้เล่นเกม,setGameResults,"Player:setGameResults(objid, result)","objid:number, result",ErrorCode.OK,ตั้งค่าผลการแข่งขันของผู้เล่น,"local result = Player:setGameResults(objid, result)"
50008,ผู้เล่นเกม,getGameScore,Player:getGameScore(objid),objid:number,"ErrorCode.OK, value:number",รับคะแนนของผู้เล่น,local result = Player:getGameScore(objid)
50009,ผู้เล่นเกม,setGameScore,"Player:setGameScore(objid, score)",objid:number,"ErrorCode.OK, value:number",ตั้งค่าคะแนนของผู้เล่น,"local result = Player:setGameScore(objid, score)"
50010,ผู้เล่นเกม,getGameRanking,Player:getGameRanking(objid),objid:number,"ErrorCode.OK, rank:number",รับอันดับของผู้เล่น,local result = Player:getGameRanking(objid)
50011,ผู้เล่นเกม,setGameRanking,"Player:setGameRanking(objid, rank)","objid:number, rank:number",ErrorCode.OK,จัดอันดับให้กับผู้เล่น,"local result = Player:setGameRanking(objid, rank)"
50012,ผู้เล่นเกม,gainItems,"Player:gainItems(objid, itemid, num, prioritytype)","objid:number, itemid:number, num:number, prioritytype:number(1 is shortcut bar prior 2 is backpack bar prior)",ErrorCode.OK,เพิ่มไอเทมให้กับผู้เล่น,"local result = Player:gainItems(objid, itemid, num, prioritytype)"
50013,ผู้เล่นเกม,teleportHome,Player:teleportHome(objid),objid:number,ErrorCode.OK,วาร์ปไปยังจุดเกิด,local result = Player:teleportHome(objid)
50014,ผู้เล่นเกม,getCurToolID,Player:getCurToolID(objid),objid:number,"ErrorCode.OK, ret",รับidไอเทมที่ผู้เล่นถืออยู่,local result = Player:getCurToolID(objid)
50015,ผู้เล่นเกม,getNickname,Player:getNickname(objid),objid:number,"ErrorCode.OK, name:string",รับชื่อของผู้เล่น,local result = Player:getNickname(objid)
50016,ผู้เล่นเกม,removeBackpackItem,"Player:removeBackpackItem(objid, itemid, num)","objid:number, itemid:number, num:number",ErrorCode.OK,ลบไอเทมในเป้ออก,"local result = Player:removeBackpackItem(objid, itemid, num)"
50017,ผู้เล่นเกม,getDieTimes,Player:getDieTimes(objid),objid:number,"ErrorCode.OK, value:number",รับจำนวนครั้งที่ตายของผู้เล่น,local result = Player:getDieTimes(objid)
50018,ผู้เล่นเกม,getLeftLifeNum,Player:getLeftLifeNum(objid),objid:number,"ErrorCode.OK, value:number",รับจำนวนชีวิตที่เหลืออยู่ของผู้เล่น,local result = Player:getLeftLifeNum(objid)
50019,ผู้เล่นเกม,setTeam,"Player:setTeam(objid, team)","objid:number, teamid:number",ErrorCode.OK,ตั้งค่าทีมของผู้เล่น,"local result = Player:setTeam(objid, team)"
50020,ผู้เล่นเกม,getTeam,Player:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",รับทิีมของผู้เล่น,local result = Player:getTeam(objid)
50021,ผู้เล่นเกม,getFoodLevel,Player:getFoodLevel(objid),objid:number,ErrorCode.OK,รับค่าความหิวปัจจุบัน,local result = Player:getFoodLevel(objid)
50022,ผู้เล่นเกม,setFoodLevel,"Player:setFoodLevel(objid, foodLevel)","objid:number, foodLevel:number",ErrorCode.OK,ตั้งค่าค่าความหิวปัจจุบัน,"local result = Player:setFoodLevel(objid, foodLevel)"
50023,ผู้เล่นเกม,getCurShotcut,Player:getCurShotcut(objid),objid:number,"ErrorCode.OK, scutIdx:number",รับปุ่มแถบไอเทมที่ใช้อยู่ในปัจจุบัน,local result = Player:getCurShotcut(objid)
50024,ผู้เล่นเกม,onCurToolUsed,"Player:onCurToolUsed(objid, num)","objid:number, num:number items number",ErrorCode.OK,ตั้งค่าการใช้ไอเท็มที่ถืออยู่ในมือผู้เล่นปัจจุบัน,"local result = Player:onCurToolUsed(objid, num)"
50025,ผู้เล่นเกม,setSkillCD,"Player:setSkillCD(objid, itemid, cd)","objid:number, itemid:number, cd:number",ErrorCode.OK,ตั้งค่า CD,"local result = Player:setSkillCD(objid, itemid, cd)"
