接口ID,俄语,俄语,俄语,俄语,俄语,俄语,俄语
30010,блок,setBlockSettingAttState,"Block:setBlockSettingAttState(blockid, atttype, switch)","blockid:number, atttype:BLOCKATTR, switch:boolean",ErrorCode.OK,Атрибут набора блоков и состояние,"local result = Block:setBlockSettingAttState(blockid, atttype, switch)"
30011,блок,getBlockSwitchStatus,Block:getBlockSwitchStatus(pos),x|y|z:number,"ErrorCode.OK, isactive:boolean",Получить двухпозиционный состояние функционального блока,local result = Block:getBlockSwitchStatus(pos)
30012,блок,setBlockSwitchStatus,"Block:setBlockSwitchStatus(pos, isactive)","x|y|z:number, isactive:boolean",ErrorCode.OK,Установите двухпозиционный состояние функционального блока,"local result = Block:setBlockSwitchStatus(pos, isactive)"
40001,Игра актера,isPlayer,Actor:isPlayer(objid),objid,ErrorCode.OK is player is player,"Обнаружить, если это игрок",local result = Actor:isPlayer(objid)
40002,Игра актера,isMob,Actor:isMob(objid),objid,ErrorCode.OK is monster is monster,"Обнаружить, если это монстр",local result = Actor:isMob(objid)
40003,Игра актера,getObjType,Actor:getObjType(objid),objid,"ErrorCode.OK, objtype:number",Получить тип актера: существо / игрок ...,local result = Actor:getObjType(objid)
40004,Игра актера,isInAir,Actor:isInAir(objid),objid:number,ErrorCode.OK,Если он находится в воздухе,local result = Actor:isInAir(objid)
40005,Игра актера,getPosition,Actor:getPosition(objid),objid,"ErrorCode.OK, x|y|z:number",Получить расположение актера,local result = Actor:getPosition(objid)
40006,Игра актера,setPosition,"Actor:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Установить местонахождение актера,"local result = Actor:setPosition(objid, x, y, z)"
40007,Игра актера,jump,Actor:jump(objid),objid:number,ErrorCode.OK,Прыгать,local result = Actor:jump(objid)
40008,Игра актера,killSelf,Actor:killSelf(objid),objid:number,ErrorCode.OK,Убей себя,local result = Actor:killSelf(objid)
40009,Игра актера,getCurPlaceDir,Actor:getCurPlaceDir(objid),objid:number,"ErrorCode.OK, dir:number",Получить текущее направление обращенного,local result = Actor:getCurPlaceDir(objid)
40010,Игра актера,tryMoveToActor,"Actor:tryMoveToActor(self_objid, target_objid, speed)","self_objid:number, target_objid:number, speed:number",ErrorCode.OK,Двигайтесь к цели актера,"local result = Actor:tryMoveToActor(self_objid, target_objid, speed)"
40011,Игра актера,tryMoveToPos,"Actor:tryMoveToPos(objid, x, y, z, speed)","objid:number, x|y|z:number, speed:number",ErrorCode.OK,Двигайтесь к цели актера,"local result = Actor:tryMoveToPos(objid, x, y, z, speed)"
40012,Игра актера,addBuff,"Actor:addBuff(objid, buffid, bufflv, customticks)","objid:number, buffid:number, bufflv:number, customticks:number",ErrorCode.OK,Получить Буфф,"local result = Actor:addBuff(objid, buffid, bufflv, customticks)"
40013,Игра актера,hasBuff,"Actor:hasBuff(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ret:boolean",Если это имеет какой-либо положительный эффект,"local result = Actor:hasBuff(objid, buffid)"
40014,Игра актера,removeBuff,"Actor:removeBuff(objid, buffid)","objid:number, buffid:number",ErrorCode.OK,Удалить бафф,"local result = Actor:removeBuff(objid, buffid)"
40015,Игра актера,clearAllBuff,Actor:clearAllBuff(objid),objid:number,ErrorCode.OK,Очистить все бафф,local result = Actor:clearAllBuff(objid)
40016,Игра актера,clearAllBadBuff,Actor:clearAllBadBuff(objid),objid:number,ErrorCode.OK,Очистить весь негативный любитель,local result = Actor:clearAllBadBuff(objid)
40017,Игра актера,getBuffList,Actor:getBuffList(objid),objid:number,"ErrorCode.OK, num:numberbuff number, array:tablebuffid array",Получить список баффов,local result = Actor:getBuffList(objid)
40018,Игра актера,getBuffLeftTick,"Actor:getBuffLeftTick(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ticks:number",Получить оставшийся itck из соответствующих буфф текущего индекса,"local result = Actor:getBuffLeftTick(objid, buffid)"
40019,Игра актера,addHP,"Actor:addHP(objid, hp)","objid:number, hp:number",ErrorCode.OK,Увеличение тока HP,"local result = Actor:addHP(objid, hp)"
40020,Игра актера,getHP,Actor:getHP(objid),objid:number,"ErrorCode.OK, value:number",Получить текущий HP,local result = Actor:getHP(objid)
40021,Игра актера,getMaxHP,Actor:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Получить текущую максимальную HP,local result = Actor:getMaxHP(objid)
40022,Игра актера,addOxygen,"Actor:addOxygen(objid, oxygen)","objid:number, oxygen:number",ErrorCode.OK,Увеличение объема кислорода,"local result = Actor:addOxygen(objid, oxygen)"
40023,Игра актера,getOxygen,Actor:getOxygen(objid),objid:number,"ErrorCode.OK, value:number",Получить объем кислорода,local result = Actor:getOxygen(objid)
40024,Игра актера,addEnchant,"Actor:addEnchant(objid, slot, enchantId, enchantLevel)","objid:number, slot:number, enchantId:number, enchantLevel:number",ErrorCode.OK,Incease очарования соответствующего оборудования,"local result = Actor:addEnchant(objid, slot, enchantId, enchantLevel)"
40025,Игра актера,removeEnchant,"Actor:removeEnchant(objid, slot, enchantId)","objid:number, slot:number, enchantId:number",ErrorCode.OK,Очистить зачарование соответствующего оборудования,"local result = Actor:removeEnchant(objid, slot, enchantId)"
40026,Игра актера,findNearestBlock,"Actor:findNearestBlock(objid, blockid, blockRange)","objid:number, blockid:number, blockRange","ErrorCode.OK, x|y|z:number",Найти идентификатор ближайшего блока,"local result = Actor:findNearestBlock(objid, blockid, blockRange)"
40027,Игра актера,setFaceYaw,"Actor:setFaceYaw(objid, yaw)","objid:number, yaw:number angle",ErrorCode.OK,Установите крестообразный угол отклонения зрения актера,"local result = Actor:setFaceYaw(objid, yaw)"
40028,Игра актера,getFaceYaw,Actor:getFaceYaw(objid),objid:number,"ErrorCode.OK, yaw:number",Получить крестообразный угол отклонения зрения актера,local result = Actor:getFaceYaw(objid)
40029,Игра актера,turnFaceYaw,"Actor:turnFaceYaw(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Изменение крестообразного угла отклонения актера,"local result = Actor:turnFaceYaw(objid, offset)"
40030,Игра актера,setFacePitch,"Actor:setFacePitch(objid, pitch)","objid:number, pitch:number upward view",ErrorCode.OK,Установите вверх угол зрения актера,"local result = Actor:setFacePitch(objid, pitch)"
40031,Игра актера,getFacePitch,Actor:getFacePitch(objid),objid:number,"ErrorCode.OK, pitch:number",Получить вверх угол зрения актера,local result = Actor:getFacePitch(objid)
40032,Игра актера,turnFacePitch,"Actor:turnFacePitch(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Изменение угла отклонения вверх актера,"local result = Actor:turnFacePitch(objid, offset)"
40033,Игра актера,playBodyEffect,"Actor:playBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Играть эффекты,"local result = Actor:playBodyEffect(objid, type)"
40034,Игра актера,stopBodyEffect,"Actor:stopBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Прекратить эффекты,"local result = Actor:stopBodyEffect(objid, type)"
40035,Игра актера,playBodyEffectByFile,"Actor:playBodyEffectByFile(objid, filename, sync)","objid:number, filename:string file name, sync:bool synchronize",ErrorCode.OK,Воспроизведение файлов эффектов,"local result = Actor:playBodyEffectByFile(objid, filename, sync)"
40036,Игра актера,stopBodyEffectByFile,"Actor:stopBodyEffectByFile(objid, filename)","objid:number, filename:string file name",ErrorCode.OK,Прекратить эффекты файлов,"local result = Actor:stopBodyEffectByFile(objid, filename)"
40037,Игра актера,playSound,"Actor:playSound(objid, name, volume, pitch, flag)","objid:number, name:string, volume:number, pitch:number, flag:number",ErrorCode.OK,Воспроизведение звука,"local result = Actor:playSound(objid, name, volume, pitch, flag)"
40038,Игра актера,playSoundSpecial,"Actor:playSoundSpecial(objid, name, type)","objid:number, name:string, type:number designate name (GSOUND_TYPE)",ErrorCode.OK,Воспроизведение звука (определенный тип: GSOUND_TYPE),"local result = Actor:playSoundSpecial(objid, name, type)"
40039,Игра актера,clearActorWithId,"Actor:clearActorWithId(actorid, bkill)","actorid:number, bkill:boolean",ErrorCode.OK,"Очистить идентификатор существ, чей идентификатор actorid","local result = Actor:clearActorWithId(actorid, bkill)"
40040,Игра актера,setAttackType,"Actor:setAttackType(objid, attacktype)","objid:number, attacktype:number",ErrorCode.OK,Установите тип повреждения,"local result = Actor:setAttackType(objid, attacktype)"
40041,Игра актера,setImmuneType,"Actor:setImmuneType(objid, immunetype, isadd)","objid:number, immunetype:number, isadd:number",ErrorCode.OK,Установить повреждение типа иммунитета,"local result = Actor:setImmuneType(objid, immunetype, isadd)"
40042,Игра актера,mountActor,"Actor:mountActor(objid, mountobjid, posindex)","objid:number, mountobjid:number, posindex:number ride",ErrorCode.OK,"Получить, от автомобиля","local result = Actor:mountActor(objid, mountobjid, posindex)"
40043,Игра актера,setActionAttrState,"Actor:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,"Установите поведение, атрибут и состояние существ","local result = Actor:setActionAttrState(objid, actionattr, switch)"
40044,Игра актера,tryNavigationToPos,"Actor:tryNavigationToPos(objid, x, y, z, cancontrol)","objid:number, x|y|z:number, cancontrol:boolean",ErrorCode.OK,Найти путь к целевому местоположения,"local result = Actor:tryNavigationToPos(objid, x, y, z, cancontrol)"
40045,Игра актера,getRidingActorObjId,Actor:getRidingActorObjId(objid),objid:number,ErrorCode.OK,Получить ObjId в Пферд в,local result = Actor:getRidingActorObjId(objid)
50001,игрок,getAttr,Player:getAttr(attrtype),"objid:number, atttype:number","ErrorCode.OK, value:number",ноль,local result = Player:getAttr(attrtype)
50002,игрок,setAttr,"Player:setAttr(attrtype, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ноль,"local result = Player:setAttr(attrtype, val)"
50003,игрок,getHostUin,Player:getHostUin(),nil,"ErrorCode.OK, uin:number",Получить хост,local result = Player:getHostUin()
50004,игрок,isMainPlayer,Player:isMainPlayer(objid),objid:number,ErrorCode.OK is local player is local player,"Обнаружить, если это местный игрок",local result = Player:isMainPlayer(objid)
50005,игрок,getMainPlayerUin,Player:getMainPlayerUin(),nil,"ErrorCode.OK, uin:number",Получить UIN местного игрока,local result = Player:getMainPlayerUin()
50006,игрок,getGameResults,Player:getGameResults(objid),objid:number,"ErrorCode.OK, value:number",Получить результат игры,local result = Player:getGameResults(objid)
50007,игрок,setGameResults,"Player:setGameResults(objid, result)","objid:number, result",ErrorCode.OK,Установить результат игры,"local result = Player:setGameResults(objid, result)"
50008,игрок,getGameScore,Player:getGameScore(objid),objid:number,"ErrorCode.OK, value:number",Получить счет игры,local result = Player:getGameScore(objid)
50009,игрок,setGameScore,"Player:setGameScore(objid, score)",objid:number,"ErrorCode.OK, value:number",Установить счет игры,"local result = Player:setGameScore(objid, score)"
50010,игрок,getGameRanking,Player:getGameRanking(objid),objid:number,"ErrorCode.OK, rank:number","Получить звание игрока,",local result = Player:getGameRanking(objid)
50011,игрок,setGameRanking,"Player:setGameRanking(objid, rank)","objid:number, rank:number",ErrorCode.OK,"Установите ранг игрока,","local result = Player:setGameRanking(objid, rank)"
50012,игрок,gainItems,"Player:gainItems(objid, itemid, num, prioritytype)","objid:number, itemid:number, num:number, prioritytype:number(1 is shortcut bar prior 2 is backpack bar prior)",ErrorCode.OK,Добавление элементов для игроков,"local result = Player:gainItems(objid, itemid, num, prioritytype)"
50013,игрок,teleportHome,Player:teleportHome(objid),objid:number,ErrorCode.OK,Перевести на нерест точки,local result = Player:teleportHome(objid)
50014,игрок,getCurToolID,Player:getCurToolID(objid),objid:number,"ErrorCode.OK, ret",Получить идентификатор элемента в настоящее время проводится игрок,local result = Player:getCurToolID(objid)
50015,игрок,getNickname,Player:getNickname(objid),objid:number,"ErrorCode.OK, name:string",Получить имя игрока,local result = Player:getNickname(objid)
50016,игрок,removeBackpackItem,"Player:removeBackpackItem(objid, itemid, num)","objid:number, itemid:number, num:number",ErrorCode.OK,Удалить элементы в рюкзаке,"local result = Player:removeBackpackItem(objid, itemid, num)"
50017,игрок,getDieTimes,Player:getDieTimes(objid),objid:number,"ErrorCode.OK, value:number",Получить количество смертей,local result = Player:getDieTimes(objid)
50018,игрок,getLeftLifeNum,Player:getLeftLifeNum(objid),objid:number,"ErrorCode.OK, value:number",Получить количество оставшихся жизней остались,local result = Player:getLeftLifeNum(objid)
50019,игрок,setTeam,"Player:setTeam(objid, team)","objid:number, teamid:number",ErrorCode.OK,Установите команду существ,"local result = Player:setTeam(objid, team)"
50020,игрок,getTeam,Player:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Получить команду существо,local result = Player:getTeam(objid)
50021,игрок,getFoodLevel,Player:getFoodLevel(objid),objid:number,ErrorCode.OK,Получить текущую сытость,local result = Player:getFoodLevel(objid)
50022,игрок,setFoodLevel,"Player:setFoodLevel(objid, foodLevel)","objid:number, foodLevel:number",ErrorCode.OK,Установите текущую сытость,"local result = Player:setFoodLevel(objid, foodLevel)"
50023,игрок,getCurShotcut,Player:getCurShotcut(objid),objid:number,"ErrorCode.OK, scutIdx:number",Получить текущую панель быстрого доступа,local result = Player:getCurShotcut(objid)
50024,игрок,onCurToolUsed,"Player:onCurToolUsed(objid, num)","objid:number, num:number items number",ErrorCode.OK,Установите потребление пункта проводится игроком,"local result = Player:onCurToolUsed(objid, num)"
50025,игрок,setSkillCD,"Player:setSkillCD(objid, itemid, cd)","objid:number, itemid:number, cd:number",ErrorCode.OK,Набор CD,"local result = Player:setSkillCD(objid, itemid, cd)"
50026,игрок,reviveToPos,"Player:reviveToPos(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Respawn игрок в назначенном месте,"local result = Player:reviveToPos(objid, x, y, z)"
50027,игрок,setRevivePoint,"Player:setRevivePoint(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Изменение точки респауна,"local result = Player:setRevivePoint(objid, x, y, z)"
50028,игрок,playAct,"Player:playAct(objid, actid)","objid:number, actid:number动作id",ErrorCode.OK,Игрок играет мультфильм,"local result = Player:playAct(objid, actid)"
50029,игрок,notifyGameInfo2Self,"Player:notifyGameInfo2Self(objid, info)","objid:number, info:string text content",ErrorCode.OK,Показать тексты в всплывающем окне,"local result = Player:notifyGameInfo2Self(objid, info)"
50030,игрок,useItem,"Player:useItem(objid, itemid, status, onshift)","objid:number, itemid:number, status:number state of using, onshift:boolean whether to press shift",ErrorCode.OK,Сделать плеер использовать текущий элемент,"local result = Player:useItem(objid, itemid, status, onshift)"
50031,игрок,rotateCamera,"Player:rotateCamera(objid, yaw, pitch)","objid:number, yaw:number, pitch:number",ErrorCode.OK,Поворот объектива игрока,"local result = Player:rotateCamera(objid, yaw, pitch)"
50032,игрок,changeViewMode,"Player:changeViewMode(objid, viewmode, islock)","objid:number, viewmode:numberVIEWPORTTYPE, islock:boolean",ErrorCode.OK,Изменение угла режим плеера,"local result = Player:changeViewMode(objid, viewmode, islock)"
50033,игрок,setActionAttrState,"Player:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,"Установите поведение, атрибут и состояние существ","local result = Player:setActionAttrState(objid, actionattr, switch)"
50034,игрок,checkActionAttrState,"Player:checkActionAttrState(objid, actionattr)","objid:number, actionattr:numberPLAYERATTR",ErrorCode.OK,"Тумблер поведения, атрибут и состояние игрока","local result = Player:checkActionAttrState(objid, actionattr)"
50035,игрок,getMaxHP,Player:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Получить текущую максимальную HP,local result = Player:getMaxHP(objid)
50036,игрок,getCurHP,Player:getCurHP(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Получить текущий HP,local result = Player:getCurHP(objid)
50037,игрок,getHpRecover,Player:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP восстановить,local result = Player:getHpRecover(objid)
50038,игрок,getCurFood,Player:getCurFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",ток насыщения,local result = Player:getCurFood(objid)
50039,игрок,getMaxOxygen,Player:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",[[,local result = Player:getMaxOxygen(objid)
50040,игрок,getCurOxygen,Player:getCurOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Текущий объем кислорода,local result = Player:getCurOxygen(objid)
50041,игрок,getWalkSpeed,Player:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",скорость ходьбы,local result = Player:getWalkSpeed(objid)
50042,игрок,getSwimSpeed,Player:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Скорость плавания (в воде),local result = Player:getSwimSpeed(objid)
50043,игрок,getJumpPower,Player:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Перейти сила,local result = Player:getJumpPower(objid)
50044,игрок,getRunSpeed,Player:getRunSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",скорость движения,local result = Player:getRunSpeed(objid)
