ID,名字,描述,获得方式
109,Песок,"Бедная питательными веществами почва, растения не могут расти на ней. Можно быстро добыть с помощью лопаты.",@Null@
110,Разбросанные камни,"Блоки, разбросанные на поверхности. Голыми руками можно добыть острые камни, которые можно использовать для изготовления каменных инструментов.",@Null@
111,Версия игры слишком устарела,Скачайте последнюю версию игры!,@Null@
112,Черный кристалл,"Под влиянием фантома пустоты геологическая структура резко изменилась, и эта руда больше не существует.",@Null@
113,Тонкий лед,Тонкий лед на поверхности воды. Вроде ничто не выпадет.,@Null@
114,Серый песок,Часто встречается под водой. Можно быстро добыть с помощью лопаты.,@Null@
115,Пушистый снег,Тонкая мягкая снежная пластинка на высоте четверти сетки. Можно штабелировать для изменения толщины.,
116,Камень Хораса,Особый камень Хораса! Очень высокая устойчивость к взрывам. Можно добыть с помощью железной или более совершенной кирки.,@Null@
117,Блок травы Хораса,"Horas Trass Block, содержит основные питательные вещества для растений. Может быть добывается с #c0aba1d железом или более продвинутой лопатой. #n",@Null@
118,Облако Хораса,"Облака, расположенные вокруг плавучих островов Хораса. #rСломается, если на него наступить!",@Null@
119,Засушливая земля,"Блоки земли Мираса, которые потеряли питательные вещества на Хорасе. Можно быстро добыть с помощью кирки.#r Блоки земли Мираса должны быть помещены в растительную среду, чтобы сохранить питательные вещества и влагу.",@Null@
120,Мерзлый грунт,"В холодных условиях @item_100# и @item_101# преобразуются в @item_120#. Растения, которые процветают в холодных условиях, должны расти на этом типе почвы.",
121,Замороженная яма,"Здесь можно посадить семена и саженцы цветов и деревьев, предпочитающих холодную среду.",
122,Толстый снег,"Толстый снег, который тает в воду при встрече #c0aba1dlava#n. Это #c0aba1dslightly снизит температуру окружающей среды#n.",
123,Натуральный лед,Он обычно встречается в холодных и заснеженных районах и тает в воде при #c0aba1dhigh температуре#n. Можно быстро собрать кирками. Это #c0aba1dslightly снизит температуру окружающей среды#n.,
124,Серный камень,Часто всречающиеся камни на Фламасе. Можно быстро добыть с помощью кирки.,@Null@
125,Жгучий песок,"Тонкий песок, который выделяет горячий пар. Можно быстро добыть с помощью лопаты.",@Null@
126,Магический камень,Камень неведомой земли. #rНелегко разрушить взрывом.,Торговцы иногда продают их.
127,Пузырный блок,Декоративный блок.,@Null@
128,Красный песок,Редкий тонкий песок красного цвета.,@Null@
129,Плотный снег,Хоите маленький снежный шар?,@Null@
130,Плотный сугроб,Хотите вместе слепить снеговика или играть в снежки,@Null@
131,Твердый лед,"Сверхтвердый лед, невозможно пошатнуть",@Null@
132,Серный кристаллический песок,Находится в лаве Фламаса. Можно добыть только с помощью #c0aba1dалмазной лопаты#n. #rОдин из материалов создания кристалла хаоса. #rИзвергается при прикрытии жидкостью.,"#c0aba1d Пожалуйста, не имитируйте поведения в игре.#n"
133,Пустые соты,Пустые соты. Можно собрать мед при размещении #c0aba1d под листьями персикового дерева#n.,@Null@
134,Заполненные соты,"Соты, полные медом, привлекают пчел. #rМожно добыть железное ведро с медом с помощью железного ведра.",@Null@
135,Таинственный тотем - Земля,Декоративная каменная статуя.,Коллекция остатков древней цивилизации Хораса.
136,Таинственный тотем - Небо,Декоративная каменная статуя.,Коллекция остатков древней цивилизации Хораса.
137,Яма Хораса,0,@Null@
138,Загрязненный блок,0,@Null@
139,Блок утилиты для борьбы с боссом,0,@Null@
140,Каменное кресло жизни,"Волшебный алтарь, построенный древними героями, представляет жизненную силу Мираса. Согласно легенде, размещение соответствующих священных реликвий на трех алтарях может выпустить силу создания планеты и заставить злым силам воплотиться.",@Null@
141,Каменное кресло храбрости,"Волшебный алтарь, построенный древними героями, представляет храбрость Фламаса. Согласно легенде, размещение соответствующих священных реликвий на трех алтарях может выпустить силу создания планеты и заставить злым силам воплотиться.",@Null@
142,Каменное кресло мудрости,"Волшебный алтарь, построенный древними героями, представляет мудрость Хораса. Согласно легенде, размещение соответствующих священных реликвий на трех алтарях может выпустить силу создания планеты и заставить злым силам воплотиться.",@Null@
143,Сломанный алтарь,"Древний алтарь, потерявший магическую силу, не может быть восстановлен по причине отдаленности по времени; #r Согласно легенде, размещение соответствующих священных реликвий на трех алтарях, построенных древними героями, может выпустить силу создания планеты и заставить злым силам воплотиться.",@Null@
144,Стеклянная бутылка с красной бабочкой,После размещения может осветить небольшую окружающую область.,Получите ловя бабочек в маленьких стеклянных бутылочках на плавучих островах.
145,Стеклянная бутылка с голубой бабочкой,После размещения может осветить небольшую окружающую область.,Получите ловя бабочек в маленьких стеклянных бутылочках на плавучих островах.
146,Стеклянная бутылка с ароматной бабочкой,После размещения может осветить небольшую окружающую область.,Получите ловя бабочек в маленьких стеклянных бутылочках на плавучих островах.
147,Стеклянная бутылка с солнечной бабочкой,После размещения может осветить небольшую окружающую область.,Получите ловя бабочек в маленьких стеклянных бутылочках на плавучих островах.
148,Стеклянная бутылка с драконьей бабочкой,После размещения может осветить небольшую окружающую область.,Получите ловя бабочек в маленьких стеклянных бутылочках на плавучих островах.
149,Стеклянная бутылка с бабочкой Шэчжун,После размещения может осветить небольшую окружающую область.,Получите ловя бабочек маленькой стеклянной бутылочкой на плавучих островах.
150,Версия игры слишком устарела,Скачайте последнюю версию игры!,@Null@
151,латеритовая яма,"Можно выращивать специальные растения ， должны быть близко к воде или орошаться душем, чтобы оставаться влажными.","Используйте лопату, чтобы вернуть латерит, чтобы получить"
152,Planet rock вертикальная плита,Прямолинейные светлые плиты ， штабелируемые для различной толщины,Обработка милыми глазными звездными камнями за столом мастера
153,Бамбуковая доска вертикальный лист,Прямолинейные светлые доски ， штабелируемые для различной толщины,Обработанные бамбуком за столом мастера
154,Кармин вертикальный лист,Прямолинейные светлые доски ， штабелируемые для различной толщины,Окрашены карминовой краской за столом мастера
155,Цементный кирпич вертикальный лист,Прямолинейные светлые плиты ， штабелируемые для различной толщины,Обработка цементными кирпичами за столом мастера
156,Серный кирпич вертикальный лист,Прямолинейные светлые плиты ， штабелируемые для различной толщины,Работа с серными кирпичами за столом мастера
157,Каменный вертикальный лист,Прямолинейные светлые плиты ， штабелируемые для различной толщины,Работа с камнем за столом мастера
158,Рафинированный каменный кирпич вертикальный лист,Прямолинейные светлые плиты ， штабелируемые для различной толщины,Работа с камнем за столом мастера
159,Титановый сплав вертикальный лист,Прямолинейные тонкие и легкие металлические пластины ， штабелируемыми для различной толщины,Обработанный титановым сплавом за столом мастера
160,Латунь вертикальный лист,Прямолинейные тонкие и легкие металлические пластины ， штабелируемыми для различной толщины,Работа с латунью за столом мастера
161,Слюда вертикальный лист,Прямолинейные тонкие и легкие металлические пластины ， штабелируемыми для различной толщины,Обработанная слюдой за столом мастера
162,Митрил вертикальная пластина,Прямолинейные тонкие и легкие металлические пластины ， штабелируемыми для различной толщины,Обработанный митрилом за столом мастера
163,Пылающая вертикальная пластина,Прямолинейные тонкие и легкие металлические пластины ， штабелируемыми для различной толщины,Обработанные с пылающим пламенем на столе мастера
164,Лимонно-желтая вертикальная тарелка,Прямолинейные светлые доски ， штабелируемые для различной толщины,Нарисовано лимонно-желтой краской за столом мастера
165,Лайм вертикальный лист,Прямолинейные светлые доски ， штабелируемые для различной толщины,Рисование известковой краской за столом мастера
166,Глубокая каштановая красная вертикальная тонкая пластина,Прямолинейные светлые доски ， штабелируемые для различной толщины,Окрашены каштановой краской красного дерева за столом мастера
167,закат оранжевый вертикальная пластина,Прямолинейные светлые доски ， штабелируемые для различной толщины,Нарисовано оранжевой краской на закате за столом мастера
168,Бегония красная вертикальная плита,Прямолинейные светлые доски ， штабелируемые для различной толщины,Нарисовано красной краской Бегония за столом мастера
169,Слоновая кость белый вертикальный лист,Прямолинейные светлые доски ， штабелируемые для различной толщины,Окрашены белой краской цвета слоновой кости на столе мастера
170,Осенний лист оранжевый вертикальная тарелка,Прямолинейные светлые доски ， штабелируемые для различной толщины,Окрашены осенними листьями оранжевой краской на столе мастера
171,Вертикальный лист,Прямолинейные светлые доски ， штабелируемые для различной толщины,Работа с деревом за столом мастера
172,Желтый кирпич вертикальный лист,Прямолинейные светлые плиты ， штабелируемые для различной толщины,Обработанные желтым кирпичом за столом мастера
173,Марганцевый блок вертикальный лист,Прямолинейные тонкие и легкие металлические пластины ， штабелируемыми для различной толщины,Обработка марганцевыми конкрециями на станции ремесленников
174,Светло-серый вертикальный лист,Прямолинейные светлые доски ， штабелируемые для различной толщины,Окрашены светло-серой краской на столе мастера
200,Вишневое дерево,"Ствол вишневого дерева, можно обрабатывать в @item_800# в @item_11323#, можно использовать для украшения, можно также использовать в качестве топлива","Нанесите#c0aba1d на инструмент топора, чтобы получить полную руну#n , а затем разрежьте ее, чтобы получить"
201,Лиственница,"Стволы лиственницы, которые могут быть обработаны в @item_800# в @item_11323#, могут быть использованы для украшения, а также могут быть использованы в качестве топлива","Нанесите#c0aba1d на инструмент топора, чтобы получить полную руну#n , а затем разрежьте ее, чтобы получить"
202,Тополь,"Тополиный багажник, может быть обработан в @item_800# в @item_11323#, может использоваться для украшения, также может использоваться в качестве топлива","Нанесите#c0aba1d на инструмент топора, чтобы получить полную руну#n , а затем разрежьте ее, чтобы получить"
203,Редвуд,"Ствол из красного дерева, может быть обработан в @item_800# в @item_11323#, может использоваться для украшения, также может использоваться в качестве топлива","Нанесите#c0aba1d на инструмент топора, чтобы получить полную руну#n , а затем разрежьте ее, чтобы получить"
204,Нанму,"Багажник Nanmu, может быть обработан в @item_800# в @item_11323#, может использоваться для украшения, может также использоваться в качестве топлива","Нанесите#c0aba1d на инструмент топора, чтобы получить полную руну#n , а затем разрежьте ее, чтобы получить"
205,Орех,"Ствол орехового дерева, может быть обработан в @item_800# в @item_11323#, может использоваться для украшения, также может использоваться в качестве топлива","Нанесите#c0aba1d на инструмент топора, чтобы получить полную руну#n , а затем разрежьте ее, чтобы получить"
206,Доска из плодового дерева,Базовый материал для создания деревянных предметов. Можно создать ящик для инструментов и больше других предметов.,@Null@
207,Доска из лиственницы,Базовый материал для создания деревянных предметов. Можно создать ящик для инструментов и больше других предметов.,@Null@
208,Доска из тополя,Базовый материал для создания деревянных предметов. Можно создать ящик для инструментов и больше других предметов.,@Null@
209,Доска из кедра,Базовый материал для создания деревянных предметов. Можно создать ящик для инструментов и больше других предметов.,@Null@
210,Доска из фебы,Базовый материал для создания деревянных предметов. Можно создать ящик для инструментов и больше других предметов.,@Null@
211,Доска из орехового дерева,Базовый материал для создания деревянных предметов. Можно создать ящик для инструментов и больше других предметов.,@Null@
212,Саженец плодового дерева,"#c0aba1d Посадите#n в яму, и через некоторое время вырастит плодовое дерево.",Есть шансы выпадения при разрушении листьев плодового дерева.
213,Саженец лиственницы,"#c0aba1d Посадите#n в яму, и через некоторое время вырастит плодовое дерево.",Есть шансы выпадения при разрушении листьев лиственницы.
214,Саженец тополя,"#c0aba1d Посадите#n в яму, и через некоторое время вырастит тополь.",Есть шансы выпадения при разрушении листьев тополя.
215,Саженец кедра,"#c0aba1d Посадите#n в яму, и через некоторое время вырастит кедр.",Есть шансы выпадения при разрушении листьев кедра.
216,Саженец фебы,"#c0aba1d Посадите#n в яму, и через некоторое время вырастит феба.",Есть шансы выпадения при разрушении листьев фебы.
217,Саженец орехового дерева,"#c0aba1d Посадите#n в яму, и через некоторое время вырастит ореховое дерево.",Есть шансы выпадения при разрушении листьев орехового дерева.
218,Листья вишневого дерева,Может использоваться в качестве топлива для @item_1200# или в качестве головного убора #c0aba1dsnowman#n.,
219,Листья лиственницы,Может использоваться в качестве топлива для @item_1200# или в качестве головного убора #c0aba1dsnowman#n.,
220,Листья тополя,Может использоваться в качестве топлива для @item_1200# или в качестве головного убора #c0aba1dsnowman#n.,
221,Листья красного дерева,Может использоваться в качестве топлива для @item_1200# или в качестве головного убора #c0aba1dsnowman#n.,
222,Фиби уходит,Может использоваться в качестве топлива для @item_1200# или в качестве головного убора #c0aba1dsnowman#n.,
223,Листья грецкого ореха,Может использоваться в качестве топлива для @item_1200# или в качестве головного убора #c0aba1dsnowman#n.,
224,Трава,Возможно получить #c0aba1dсемена пшеницы#n при #c0aba1d разрушении #n.,@Null@
225,Сухая трава,"Сорняки, которые можно найти повсюду.",@Null@
226,Почва-побег,"Растение, которое растет в тени и служит сырьем для приготовления пищи. Его непосредственное употребление #c0aba1dвосстанавливает выносливость#n, но имейте в виду, что это может вызвать #c0aba1dпроблемы с пищеварением#n. Ходят слухи, что он интригующе взаимодействует со споровым деревом #c0aba1dHoras#n на острове Хорас.",
227,Перилла,"Растение, которое растет в тени и служит сырьем для приготовления пищи. Его непосредственное употребление #c0aba1dвосстанавливает выносливость#n, но имейте в виду, что это может вызвать #c0aba1dпроблемы с пищеварением#n. Ходят слухи, что он интригующе взаимодействует со споровым деревом #c0aba1dHoras#n на острове Хорас.",
228,Мальва,"#c0aba1dFeed Рогатых оленей#n, чтобы помочь им перейти в статус #c0aba1dmilkproduction#n",Растет в #c0aba1drainforest#n.
229,Кукуруза,"Может быть переработан в @item_344#, а @item_344# является основным сырьем для приготовления пищи. Можно обжарить на @item_1200#","Посадите @item_11400# на @item_102# или соберите дикую кукурузу, чтобы получить"
230,Гигантский Буру,,"Поместите @item_11401# на @item_102#, чтобы получить"
231,Саженец квадратной тыквы,На соседнем открытом пространстве зрелых саженцев квадратной тыквы могут вырасти квадратные тыквы.,@Null@
232,Лоза,Естественная лестница. По ней можно #c0aba1dкарабкаться#n.,@Null@
233,Красная земляа,"Редкая красная почва может быть добывана с помощью лопаточных инструментов. #R не подходит для роста большинства растений, но он очень подходит для роста грибных растений.",@Null@
234,Поливной рис,"Растет в водах бассейна #c0aba1d #n. #R можно обрабатывать в сырой рис с голой руками, а затем приготовленным в каменном горшке. #R Кормление к курицу может сделать его воспроизводством.","Посадите семена посевного риса на поверхности воды, высотой в один блок и на дне которой земля или песок"
236,Огурец,"Можно выращивать на @item_102#.#rYou можно кормить #c0aba1dDwen#n, чтобы получить @item_11311#.",Получается случайно при уничтожении Глиняного кувшина или победе над Бум-яйцом.
237,Шариковые бобы,Плоды кедра. Можно сделать вкусную пищу.,@Null@
238,Колючая трава,"Для травы, полной шипов, после #c0aba1d разрушают #N, есть шанс получить #c0aba1d горсть сорняков #n.",@Null@
239,Квадратный арбуз,"После #c0aba1d Уничтожение #N, вы получите целую #c0aba1d WABERMELON #N.",Получите посадив семена квадратного арбуза на пахотной земле.
240,Саженец квадратного арбуза,Квадратный арбуз растет на зрелом квадратном рассаде арбуза,@Null@
241,Сладкая картошка,Можно посадить на @item_101#. Можно обжарить на @item_1200#,"Имеет шанс получить, уничтожив глиняные банки."
242,Стебель Cereus,"Завод Indesert#n. Используйте семена Cereus, чтобы посадить в почвенной яме.",Получен путем разрыва Cereus Steam.
243,Дикорастущая трава,"Дикая вокращенная пшеница не очень питательная. После #c0aba1d Уничтожение #n, есть шанс получить #c0aba1d пшеницу #n.",@Null@
244,Рождественская елка,Рождественская елка Санты. Можно использовать в качестве украшения.,Покупайте у Санта-Клауса во время рождественского события.
245,Водоросль,Растут на #c0aba1d мелководье #n.,Получите используя железные ножницы.
246,Морская водоросль,Растут в #c0aba1d океане #n.,Получите используя железные ножницы.
247,Ряска,Растут на #c0aba1d поверхности воды #n. #r Можно разместить на поверхности воды в качестве украшения.,Получите разрушив ряску.
248,Листья лотоса,Растут на #c0aba1d поверхности воды #n. #r При размещении на поверхности воды может #c0aba1d выдерживать вес #n.,Получите разрушив листья лотоса.
249,Сосновая шишка,Скачайте последнюю версию игры!,@Null@
250,Лотос,"Растут на #c0aba1d поверхности воды #n. #r Можно разместить на поверхности воды, ряске, листьях лотоса в качестве украшения.",Получите разрушив лотос.
251,Бамбук,"Растут в #c0aba1d бамбуковом лесу#n. #r После использования на #c0aba1d панде #n, возможно #c0aba1d приручить#n ее. #r#c0aba1d При кормлении #n прирученных панд можно получить полые бамбуковые шесты.",Получите посадив побеги бамбука в яму.
252,Листья бамбука,Можно использовать в качестве украшения. Возможно выпадение побегов бамбука при разрушении.,Получите используя железные ножницы.
253,Побеги бамбука,Можно выращивать бамбук в #c0aba1d ямке #n.,"Есть шансы выпадения, если Вы разрушите листья бамбука."
254,Махагон,"С помощью инструментов#c0aba1d топор#n можно быстро разрезать#r можно обрабатывать в @item_11323#, также можно использовать в качестве топлива",
255,Листья персика,Может быть использован в качестве топлива для @item_1200# или в качестве сырья для производства кислорода.#rFeeding его Редчиск может заставить его размножаться. Его также можно использовать в качестве головного убора #c0aba1dsnowman#n.,
256,Саженец персикового дерева,Можно выращивать персиковое дерево в #c0aba1d ямке #n.,"Есть шансы выпадения, если Вы разрушите листья персикового дерева."
257,Женму,"С помощью инструментов#c0aba1d топор#n можно быстро разрезать#r можно обрабатывать в @item_11323#, также можно использовать в качестве топлива",
258,Листья Genwood,Может использоваться в качестве топлива для @item_1200# или в качестве головного убора #c0aba1dsnowman#n.,
259,Саженец ген-дерева,Саженцы редких деревьев.,"Есть шансы выпадения, если Вы разрушите листья ген-дерева."
260,Безлиственное ген-дерево,Растет на бесплодной поверхности Гора. Сбор урожая с #c0aba1d железом #n или более высокими инструментами AX. #r кислородные фрукты можно посадить на боковой части багажника.,@Null@
261,Стебель споры Хораса,Он растет в #c0aba1d Shadowy Pareake под плавающими островами #n Horas. #R После посадки небольших грибов и маленьких красных грибов рядом с ним произойдет #c0aba1d Mutation #N.,@Null@
262,Мох,"Влажный и богатый влагой рост растений. Он имеет тенденцию делать землю скользкой, и если его сломать, получится @item_11595##r. Даже в тени, куда не проникает теплый солнечный свет, мох растет и добавляет нотку зелени.",
263,Семена спор Хораса,#c0aba1d завод #N в тени на Horas Block.horas Spore будет расти через некоторое время.,@Null@
264,Доска из ген-дерева,"Основные строительные материалы из генового дерева широко используются в деревянном строительстве; #R также можно использовать для изготовления деревянной мебели, такой как ящики для хранения.",@Null@
265,Доска из безлиственного ген-дерева,"Основные строительные материалы, изготовленные из лесных древесин, широко используются в деревянном строительстве; #R также можно использовать для изготовления деревянной мебели, такой как ящики для хранения.",@Null@
