ID,名字,描述
105,Благоприятный,Золотистые пятна и мелкие слитки окружают тело.
106,Благоприятный Тигр,Падающие огни и монеты с облаками и туманом окружают тело.
107,Прыжок тигра,"Прыжок вперед, чтобы нанести урон."
108,Горный рев,"Рев, чтобы нанести урон в пределах определенного диапазона."
109,Метеор,Розово-голубые звезды окружают тело
110,Желтый цветок,Белые цветы и желтая флуоресценция окружают тело.
111,Розовое сердце,Розовые сердца и голубая флуоресценция окружают корпус
112,Летающее перо,"Нажмите и удерживайте кнопку прыжка, чтобы пролететь определенное расстояние в воздухе."
113,Благословение,Здоровье увеличивается при получении смертельного урона
114,Ветер,Листья бамбука и облака окружают тело
115,Тень,Тени гор и рек окружают тело
116,Бесплатно,Увеличивает скорость передвижения при получении урона
117,Панорамный,"Нажмите кнопку использования, чтобы нанести урон монстрам перед вами."
118,Звездная тень,Сияющее пятно вокруг.
119,Божественное сияние,Транс текущий свет вокруг.
120,Мечта Божественная,"Держите прыжок Ключ, чтобы очаровать и получить бафф случайным образом."
121,Император Дао,Шип образует образное пламя.
122,Святой путь,По всему телу пламя стримера.
123,Летающий меч,"Долго нажмите кнопку прыжка, чтобы пролететь некоторое расстояние в воздухе."
124,Имперский меч двойная муха,"Вы можете кататься с друзьями, а двойной меч также может увеличить скорость передвижения."
125,Пузырьковая ванна,Вокруг плавают пузыри.
126,Музыка нота пузырь ванна,Вокруг летают пузыри и музыкальные ноты.
127,Лунатизм,Может плавать на воде.
128,Плавающий пузырь,"Долго нажмите кнопку прыжка, чтобы монстры вокруг вас плавали в воздухе, обернутом пузырьками."
129,Закон милый,Вокруг много любви.
130,Плавающий сон,Все тело будет посыпано красными цветами.
131,Свет,"После нажатия кнопки прыжка нажмите кнопку прыжка еще раз в воздухе, чтобы прыгать в два этапа."
132,Тысяча иллюзий,"Длительное нажатие кнопки прыжка может привести к тому, что близлежащие монстры впадут в фантазию и нападут друг на друга."
133,Прокатиться,По всему телу плавают кошачьи следы.
134,Летающий песок,Вокруг плавали песчинки.
135,Песочная ступенька,После езды он может уменьшить ущерб от песчаных бурь.
136,Как парча,Белые перья развевались по всему телу.
137,Фукуи,Вокруг плавают зеленые перья.
138,Линланг,По всему телу развевались великолепные перья.
139,Блуждая,"Длительное нажатие кнопки прыжка, чтобы пролететь дистанцию в воздухе."
140,Дух птицы,"После езды яркость поля зрения значительно улучшается, а окружение вокруг вас отчетливо видно ночью."
141,Зыбучие пески,"Окруженный струящимся золотым песком, наполняющим сердце."
142,Шпинат,Золотистые цветы османтуса развевались по всему телу.
143,Плавающая луна,Может плавать по воде.
144,Бит торт,Длительное нажатие кнопки прыжка для случайного создания продукта питания.
145,Забудьте о заботах,В окружении розовых ландышей и немного света и тени
146,Не беспокойтесь,"Окруженный розовыми ландышами, маленькими огоньками и бабочками"
147,Ветер куранты,"Длительное нажатие кнопки прыжка, чтобы пролететь дистанцию в воздухе."
148,Ароматный,Имеет супер быструю скорость движения.
149,Слайд,Кленовые листья и свет по всему телу будут двигаться вместе с ветром.
150,Ускорение мощности,"Длительно нажимайте кнопку прыжка, чтобы бежать вперед на расстояние."
151,Пилот,"Дважды щелкните клавишу прыжка, чтобы продолжить полет на малой высоте, но он не может летать по воде и лаве. Дважды щелкните клавишу прыжка еще раз, чтобы приземлиться."
152,Свиньи сопротивляются,При последовательных атаках урон от атаки противника возвращается противнику.
153,Свечи,Вокруг плавают пятна света.
154,Прыжок,"Длительное нажатие кнопки прыжка для экономии энергии, чтобы прыгать выше."
155,Банни удар,"Нажмите кнопку прыжка в воздухе, чтобы быстро приземлиться и уничтожить блоки на земле."
156,Нежность,"Окруженный звездами, тенями и лепестками."
157,Порошок,"Окруженный звездами, лепестками и светло-розовыми полосами света."
158,Путешествие вокруг фантазии,"Длительное нажатие кнопки прыжка, чтобы пролететь дистанцию в воздухе."
159,Пространство мечты,"Нажмите кнопку ""Использовать"" в каждой из двух позиций, чтобы настроить двунаправленный транспортный массив."
160,Снег,Окруженный голубым светом и маленькими снежинками.
161,Ледяное поле,"Монстры, проникающие в окрестности, будут замедляться."
162,Абсолютный ноль,"Длительное нажатие кнопки прыжка, чтобы заморозить близлежащих монстров."
163,Супер энергия,Окруженный апертурой
164,загадываем желание,Окруженный маленькими звездами.
165,сюрприз,"Длительное нажатие кнопки прыжка, чтобы телепортироваться вперед на расстояние."
166,Двойная поездка,Вы можете покататься со своими друзьями.
167,Голлум,Окруженный всевозможными светлыми пятнами маленького зверя Голлума.
168,Чудесная энергия,Длительное нажатие кнопки прыжка для случайного создания биологической яйцеклетки.
169,Трепетать,"Двойной щелчок кнопки прыжка может продолжать летать на малой высоте, но он не может летать по поверхности воды и магме. Повторное щелчок кнопки прыжка может приземлиться."
170,Пельмени ладан,Вокруг тела плавают тонкие маленькие цзунцзы.
171,отплыть,Может плавать на воде.
172,морская рыбалка,"Длительно нажмите кнопку прыжка на воде, чтобы бросить зонгзи и получить морское существо."
173,дымка,Туманные облака
174,Горная панорама,Призвать маунта для увеличения скорости копания
175,Водяные лепестки луны,"Держите прыжок, призывайте существо, атакуйте монстров."
176,Сладкий сон,"Конфеты, частицы, сердца вокруг"
177,Фэнтези,С уменьшением HP у игрока растет ATK.
178,Вечеринка с Куклами,Удерживайте [Прыжок] для Счастливого Медведя и температуры.
179,,
180,,
181,ритм,Окруженный бьющимися музыкальными нотами.
182,Голос Луны,По всему телу бьют фиолетовые и золотые музыкальные ноты в сопровождении звезд и луны.
183,музыка,Двойной щелчок клавиши перехода может ускорить и восстановить точки здоровья на некоторое время.
184,Звездное хранилище Удовольствие,Длительное нажатие кнопки прыжка может оглушить близлежащих монстров.
185,Biye,Окруженный зелеными листьями.
186,Зеленая лечебница,"Окруженный зеленой энергией, цветами и зелеными листьями."
187,Благословение леса,Двойной щелчок клавиши перехода может восстановить точки здоровья на определенный период времени.
188,естественный резонанс,Длительное нажатие кнопки прыжка может нанести урон соседним монстрам.
189,Чудесный свет,Мерцает повсюду
190,Танцовщица морского шелка,Мерцание света морской жизни.
191,Коралловый барьер,Двойное нажатие для прыжка и получения щита
192,Приливная ярость,"Удерживайте для прыжка, чтобы брызгать и отталкивать"
193,Лампа-кипарис (античный фонарь-рыба),Тело излучает яркий свет.
194,Танец рыб-фонарей.,Вокруг меня мелькают маленькие карпы и светящиеся точки.
195,Экран Цзиньфу.,"Двойное нажатие на клавишу прыжка дает щит, который снижает урон."
196,"""Танец богатства и удачи""","Долгое нажатие на кнопку прыжка позволяет освободить силу карпа, восстановив определенное количество здоровья."
197,Фантазия,Вокруг тела мерцание света.
198,Вальс детских фантазий.,Вокруг танцующей сказочной маленькой лошадки кружатся мечты детства.
199,Звездный свет галопом.,Двойной клик на кнопке прыжка дает кратковременный эффект ускорения.
200,Сопричастность мелодии,"Длительное нажатие клавиши прыжка позволяет воспроизводить волшебную мелодию, заставляющую монстров вокруг на короткое время замереть в оцепенении."
201,"Изъянул он поле, как мгновенье.","На нём вихрем поднялась пыль,"
202,Атака сладостями.,Бросайте леденцы вокруг себя.
203,Привидение тени,По всему телу ощущается мерцание теней сковородок.
