ID,名字,类别名,描述
20012,Тригонометрическая функция,Математика,@1||@2||@3
20013,Фиксированная базовая функция журнала,Математика,@1||@2
20014,Любая базовая функция журнала,Математика,Log|@1||@2
20015,Круглый номер,Математика,"Округлить |@1|, способом |@2"
20016,Преобразовать угол в радиан,Математика,Перевести |@1| в |@2
20017,.а также.,Математика,@1| и |@2
20018,.или же.,Математика,@1| или |@2
20019,Эксклюзивный или,Математика,@1| исключающее или |@2
20020,.не.,Математика,Не |@1
20021,Сравнение случайных значений,Математика,@1||@2||@3
30001,Текущее время игры,Игра,Текущее время игры
30002,Выберите ранговую команду,Игра,Команда с рангом |@1
30003,Текущие кратные гравитационные,Игра,Множитель гравитации текущей игры
40001,Team Attritube,команда,@1| |@2
40002,Сравнение команд,команда,@1||@2||@3
50001,Расположение игрока,Игрок,Местоположение |@1
50002,Получить прицел игрока,Игрок,Местоположение прицела |@1
50003,Игрок Attritube,Игрок,@1| из |@2
50004,Количество принадлежащих предметов,Игрок,"Количество |@2|, имеющихся |@1"
50006,Угол обзора игрока,Игрок,Угол направления |@1
50007,Имя игрока,Игрок,Имя |@1
50008,Определить человека,Игрок,@1||@2||@3
50009,Определить набор игроков,Игрок,@1||@2| находится в |@3
50010,Определить регион,Игрок,@1||@2| находится в |@3
50011,Определить статус,Игрок,@1||@2| имеет состояние |@3|ъ
50012,хозяин,Игрок,Хост
50018,Команда игрока,Игрок,Команда |@1
50019,Player's Private Variable(Region),Игрок,@1| |@2| (зона)
50020,Player's Private Variable(Location),Игрок,@1| |@2| (местоположение)
50021,Player's Private Variable(Value),Игрок,@1| |@2| (значение)
50022,Player's Private Variable(String),Игрок,@1| |@2| (строка символов)
50023,Player's Private Variable(Boolean Values),Игрок,@1| |@2| (Булево значение)
50024,Player's Private Variable(Player),Игрок,@1| |@2| (игрок)
50025,Player's Private Variable(Player Group),Игрок,@1| |@2| (группа игроков)
50026,Player's Private Variable(Block Type),Игрок,@1| |@2| (тип блока)
50027,Player's Private Variable(Item Type),Игрок,@1| |@2| (тип предмета)
50028,Player's Private Variable(Creature),Игрок,@1| |@2| (существо)
50029,Player's Private Variable(Creature Type),Игрок,@1| |@2| (тип существа)
50030,Player's Private Variable(Creature Group),Игрок,@1| |@2| (группа существ)
50031,Player's Private Variable(Timer),Игрок,@1| |@2| (таймер)
50032,Игрок Частный переменный (тип специального эффекта),Игрок,@1| |@2| (тип специального эффекта)
50033,La direction que les points à réticule,Игрок,Направление прицела |@1
50034,Тип ручного предмета,Игрок,Тип предмета в руках |@1
50035,Игрок,Игрок,|@1
50036,Группа игроков,Игрок,|@1
50037,Места Внешний вид игрока,Игрок,Внешний вид |@1
50038,Группа игроков,Игрок,|@1
50039,Частная переменная плеера (группа местоположения),Игрок,|@2| of |@1| (Location Group)
50040,Частная переменная игрок (региональная группа),Игрок,|@2| of |@1| (Area Group)
50041,Частная переменная плеера (числовая группа),Игрок,|@2| of |@1| (numeric group)
50042,Частная переменная плеера (строковая группа),Игрок,|@2| of |@1|  (character string group)
50043,Частная переменная плеера (Boolean Group),Игрок,|@2| of |@1| (Boolean group)
50044,Частная переменная плеера (группа блоков),Игрок,|@2| of |@1|  (block type group)
50045,Частная переменная игрока (группа типа реквизита),Игрок,|@2| of |@1|  (props type group)
50046,Частная переменная игрока (группа Cesture Type),Игрок,|@2| of |@1| (Creature Type Group)
50047,Частная переменная плеера (группа таймера),Игрок,|@2| of |@1| (Timer Group)
50048,Частная переменная плеера (тип спецэффектов типа),Игрок,|@2| of |@1| (Special Effect Type Group)
50049,Случайный вид Тип,Игрок,Случайный тип появления
50050,Получить UID игрока,Игрок,Получить UID |@1
50051,Получить игрока с определенным UID,Игрок,Получить игрока с помощью |@1| UID
50052,"Игрок, который стреляет снарядом",Игрок,"Игрок, который стреляет снарядом"
60001,Количество игроков в наборе игроков,Группа игроков,Количество игроков в |@1
60002,Идентификатор игрока в наборе игроков,Группа игроков,Номер |@2| в |@1
60003,Количество игроков в игре,Группа игроков,Количество игроков в текущей игре
60004,Выберите идентификатор игрока в наборе игроков,Группа игроков,Игрок с номером |@2| в |@1
60005,Случайный игрок в наборе игроков,Группа игроков,Случайный игрок в |@1
60006,All Players,Группа игроков,Все игроки
60007,All Players in team,Группа игроков,Все игроки в |@1
60008,All Players in Region,Группа игроков,Все игроки в |@1
70001,Местоположение Существа,Существо,Местоположение |@1
70002,Существо Арртибут,Существо,@1| |@2
70004,Получить идентификатор существа в наборе существ,Существо,Номер |@2| в |@1
70005,"Существо, стоящее перед углом",Существо,Угол направления |@1
70006,Название Типа Существа,Существо,Название типа |@1
70007,Определить человека,Существо,@1||@2||@3
70008,Определить тип,Существо,@1||@2||@3
70009,Определить набор существ,Существо,@1||@2| в |@3
70010,Определить регион,Существо,@1||@2| в |@3
70011,Определить статус,Существо,@1||@2| имеет состояние |@3|
70012,Существо Команда,Существо,Команда |@1
70013,Выберите тип существа,Существо,Тип |@1
70014,Случайный тип существа,Существо,Случайный тип существа
70015,Тип существа,Существо,|@1
70016,Группа существ,Существо,|@1
70017,Места Существо Внешний вид,Существо,Внешний вид |@1
70018,Группа существ,Существо,|@1
70019,Тип существа группы,Существо,|@1
70020,Существо,Существо,|@1
70021,"Существа, которые стреляют снарядами",биология,"Существа, которые стреляют снарядами"
80001,Количество существ в наборе существ,Группа Существ,Количество существ в |@1
80002,Выберите идентификатор существа в наборе существ,Группа Существ,Существо с номером |@2| в |@1
80003,Случайное существо в наборе существ,Группа Существ,Случайное существо в |@1
80004,All Creatures in Team,Группа Существ,Все существа в|@1
80005,All Creatures in Region,Группа Существ,Все существа в|@1
90001,Расположение выпадающего предмета,Предмет,Местоположение |@1
90002,Количество выпадающего предмета,Предмет,Количество |@1
90003,"Количество предметов, которые изменились в рюкзаке игрока",Предмет,"Количество предметов, которые изменились в рюкзаке игрока"
90004,Название типа предмета,Предмет,Название типа |@1
90005,Определить тип,Предмет,@1||@2||@3
90006,Определить область выпадающего предмета,Предмет,@1||@2| в |@3
90007,Определить область снаряда,Предмет,@1||@2| в |@3
90008,Тип выпадающего предмета,Предмет,Тип |@1
90009,Тип предмета,Предмет,|@1
90012,Тип опоры Группа,Предмет,|@1
90013,Случайный тип опоры,Предмет,Случайный тип опоры
100001,Текущий глобальный режим погоды,Мир,Получить текущий режим глобальной погоды
100002,Расстояние от положения до положения,Мир,Расстояние между |@1| и |@2
100003,Сравнение погоды,Мир,@1||@2||@3
100004,Сравнение блока,Мир,@1||@2||@3
100005,Переключить состояние блока,Мир,Состояние переключения блока |@1
100006,Определить местоположение в регионе,Мир,@1||@2| в |@3
100007,Выберите тип блока в определенном месте,Мир,Тип блока |@1
100008,Направление: от одного постиона к другим,Мир,The direction from |@1| to |@2
100009,Направление абсолютных координат осей три,Мир,"Направление X|@1|, Y|@2|, Z|@3"
100010,Направление абсолютных сферических координат,Мир,"Направление азимута |@1|, угла возвышения |@2"
100011,Позиция,Мир,|@1
100012,Область,Мир,|@1
100013,Таймер,Мир,|@1
100014,Расположение группы,Мир,|@1
100015,группа Регион,Мир,|@1
100016,группа таймера,Мир,|@1
100017,Случайная погода,Мир,Случайная погода
100018,Погода для групп местности,Мир,@1| погода
110001,Выберите автомобиль игрока,Мир,Транспортное средство |@1
120001,Случайный тип спецэффекта,Особый эффект,Случайный тип специального эффекта
120002,Тип особого эффекта,Особый эффект,|@1
120003,Специальный тип эффекта группы,Особый эффект,|@1
130001,В настоящее время реклама,Играть,Получить название воспроизводящей рекламы
140001,Тип блока,Блок,|@1
140002,Группа типа блока,Блок,|@1
150001,Текстовое окно,Дисплей Info,"Текстовое окно с содержанием: |@1|, размер шрифта: |@2|, коэффициент непрозрачности фона: |@3|%, номер: |@4"
150002,Плавающий текст,Дисплей Info,"Плавающий текст с содержанием: |@1|, размер шрифта: |@2|, номер: |@3"
150003,прогрессбар Bar,Дисплей Info,"Текущее значение: |@1|, максимальное значение: |@2|, цвет прогресс-бара: |@3|, номер: |@4"
150004,Стрелка указывает на целевой объект,Дисплей Info,"Направление: |@1|, размер стрелки: |@2|, цвет: |@3|, номер: |@4"
150005,Стрелка указывает на местоположение,Дисплей Info,"Направление: |@1|, размер стрелки: |@2|, цвет: |@3|, номер: |@4"
150006,"Руководство область, указывающая на целевой объект",Дисплей Info,"Направление: |@1|, размер зоны руководства: |@2|, цвет: |@3|, номер: |@4"
150007,"Руководство по площади, указывающие на местоположение",Дисплей Info,"Направление: |@1|, размер зоны руководства: |@2|, цвет: |@3|, номер: |@4"
150008,Руководство ссылающийся на целевой объект,Дисплей Info,"Направление: |@1|, размер линии руководства: |@2|, цвет: |@3|, номер: |@4"
150009,Руководство указывающего на место,Дисплей Info,"Направление: |@1|, размер линии руководства: |@2|, цвет: |@3|, номер: |@4"
160001,Случайный цвет,Цвет,Случайный цвет
170001,Позиция ID в группе позиции,Расположение группы,The position ID |@2| in |@1
170002,Случайное расположение в группе местоположения,Расположение группы,Случайное местоположение в |@1
180001,Area ID в группе площади,Региональная группа,Зона с номером |@2| в |@1
180002,Любая область в группе области,Региональная группа,Случайная зона в |@1
190001,Значение идентификатора в группе значений,Численный группа,The value ID |@2| in |@1
190002,Случайное значение в группе значений,Численный группа,Случайное значение в |@1
190003,Получить значение максимального в номер группы,Численный группа,Получить максимальное значение в |@1
190004,Получить минимальное значение в номер группы,Численный группа,Получить минимальное значение в |@1
200001,Строка ID в струнной группе,Строка группы,Строка символов с номером |@2| в |@1
200002,Случайная строка в струнной группе,Строка группы,Случайная строка символов в |@1
210001,Логический ID в группе логического значения,Логическое значение,Булево значение с номером |@2| в |@1
210002,Случайные булевы значения в булевой группе значений,Логическое значение,Случайное Булево значение в |@1
220001,Блок ИД в группе типа блока,Тип блока,Тип блока с номером |@2| в |@1
220002,Случайный тип блока в группе типа блока,Тип блока,Случайный тип блока в |@1
230001,Item ID в группе типа пункта,Тип элемента,Тип предмета с номером |@2| в |@1
230002,Случайные типы элементов в группе типа пункта,Тип элемента,Случайный тип предмета в |@1
240001,Существо ID в группе типа существа,Существо Тип,Тип существа с номером |@2| в |@1
240002,Случайный тип существ в группе типа существа,Существо Тип,Случайный тип существа в |@1
250001,Таймер ID в группе таймера,группа таймера,Таймер с номером |@2| в |@1
250002,Случайный таймер в группе таймера,группа таймера,Случайный таймер в |@1
260001,Особый эффект ID в типе группы специального эффекта,Специальный тип эффекта,Тип специального эффекта с номером |@2| в |@1
260002,Случайные специальные типы эффектов в группе типа особого эффекта,Специальный тип эффекта,Случайный тип специального эффекта в |@1
270004,Получить значок типа элемента,Общий,|@1
270005,Получить значок существа,Общий,|@1
270006,Получить значок типа существа,Общий,|@1
270007,Получить значок статуса,Общий,|@1
270008,Получить тип блока,Общий,|@1
270009,Получите текущий значок персонажа игрока,Общий,Текущий |@1| Значок персонажа
270010,Получить значок ярлыка игрока,Общий,Set |@1| ярлык бара как значок |@2
280001,Случайное бросание типа,Бросание объекта,Случайное бросание типа
290001,Случайный звук,Звук,Случайный звук
300001,"Место, полученное сервером",Хранилище данных,"Место, полученное сервером"
300002,"Площадь, полученная сервером",Хранилище данных,"Площадь, полученная сервером"
300003,"Значение, полученное сервером",Хранилище данных,"Значение, полученное сервером"
300004,"Строка символов, полученная сервером",Хранилище данных,"Строка символов, полученная сервером"
300005,"Логическое значение, полученное сервером",Хранилище данных,"Логическое значение, полученное сервером"
300006,"Игрок, полученный сервером",Хранилище данных,"Игрок, полученный сервером"
300007,"Тип блока, полученный сервером",Хранилище данных,"Тип блока, полученный сервером"
300008,"Тип элемента, полученный сервером",Хранилище данных,"Тип элемента, полученный сервером"
300009,"Существо, полученное сервером",Хранилище данных,"Существо, полученное сервером"
300010,"Тип существа, полученный сервером",Хранилище данных,"Тип существа, полученный сервером"
300011,"Таймер, полученный сервером",Хранилище данных,"Таймер, полученный сервером"
300012,"Тип эффекта, полученный сервером",Хранилище данных,"Тип эффекта, полученный сервером"
300013,"Число, полученное сервером",Хранилище данных,"Число, полученное сервером"
300014,"Имя, полученное сервером (ключи)",Хранилище данных,Получить имя индекса сервера и таблицы лидеров (ключи)
300015,"Игрок, полученный сервером (ключи)",Хранилище данных,Получить имя индекса сервера и игрока (ключи)
