ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
26,Халфиш,"Мама всегда говорила мне, что главное мечтать, и когда-нибудь все мои мечты исполнятся! Я, например, мечтаю стать рыбкой, а ты?",@Null@,Эффект: в окружении мечтательной дымки,Аватар: разблокировать аватар Халфиш.,@Null@,,,
27,Мисосо,"Главный защитник экологии и основатель программы Мини Мир Мечты. Борется за то, чтобы сделать мир лучше.",Получить фрагменты скина можно с помощью ивента Защитник Мира,Эффект: благословение природы,Аватар: разблокировать аватар Мисосо.,@Null@,,,
28,Мини-Икс,"Главный защитник времени Мини Мира. Ты любитель опаздывать? О, тогда тебе лучше не стоять у Мини-Икс на пути!",@Null@,Эффект: в окружении электронных частиц,Аватар: разблокировать аватар Мини-Икс,@Null@,,,
29,Мини-Ти,"Под его холодной железной оболочкой живёт горячая душа, одержимая одной только целью - путешествием к звёздам!",@Null@,Эффект: в окружении электронных частиц,Аватар: разблокировать аватар Мини-Ти,@Null@,,,
30,Лунная Фея,Она танцует в свете луны.,@Null@,Эффект: очертания полумесяца вокруг её тела,Аватар: разблокировать аватар,@Null@,,,
31,Тыковка,"Пускай тебя не смущает её странная и казалось бы, бесполезная шляпа! Тыковка - таинственная и могущественная колдунья. В её магической книге полно разнообразных заклинаний, от телепортации до превращении тебя в шоколадную ватрушку!",@Null@,Эффект: источает магическую ауру,Аватар: разблокировать аватар Тыковки,@Null@,,,
32,Шелли,"Маленькая принцесса из таинственного подводного царства потерялась в Мини Мире. Тот, кто однажды завоюет её сердце, сможет услышать ее чарующее пение и забыть все тревоги.",@Null@,Эффект: в окружении пузырьков,Аватар: разблокировать аватар Шелли,Следы: оставляет отпечатки ракушек после своих шагов,,,
33,Кристофер,"Секрет зимы в том, что каждая снежинка жива сама по себе, а во время снегопада они объединяются, защищая друг друга.",@Null@,Эффект: в окружении парящих снежинок,Аватар: разблокировать аватар Кристофера,@Null@,,,
34,Popo,"Додо и Бобо являются лучшими друзьями с Мишра. Они имеют очень низкую самооценку, поскольку они являются слабыми. Они устанавливаются на путешествие, чтобы найти планету, где они могут получить цветовую Магию с надеждой стать сильнее.",@Null@,Тело эффекты: Изменение его цвет смеси в окружающую среду,Аватар: разблокировать аватар,@Null@,,,
35,дронт,"Додо и Бобо являются лучшими друзьями с Мишра. Они имеют очень низкую самооценку, поскольку они являются слабыми. Они устанавливаются на путешествие, чтобы найти планету, где они могут получить цветовую Магию с надеждой стать сильнее.",@Null@,Аватар: разблокировать аватар,@Null@,@Null@,,,
36,Бобо,"Додо и Бобо являются лучшими друзьями с Мишра. Они имеют очень низкую самооценку, поскольку они являются слабыми. Они устанавливаются на путешествие, чтобы найти планету, где они могут получить цветовую Магию с надеждой стать сильнее.",@Null@,Аватар: разблокировать аватар,@Null@,@Null@,,,
37,Сакура,"Сакура - это девушка, которая оставила свои мечты о будущем, чтобы путешествовать по Мини Миру. Не только ради весёлых приключений, но и ради того чтобы жить так, как она сама захочет.",@Null@,Аватар: разблокировать аватар,Следы: оставляет лепестки после своих шагов,@Null@,,,
38,Маршал Лан,Маршал прошел через много войн. Теперь он великий главнокомандующий Военно-Морскими Силами Рая.,@Null@,Эффект: в окружении водяной пены,Аватар: разблокировать аватар,Следы: оставляет следы воды после своих шагов,,,
39,Ева,Добрая и справедливая Ева с помощью своего магического скипетра несёт любовь в каждый уголок Мини Мира (Скин может быть получен только через ивент).,Разблокировать через ивент,Эффект: в окружении летающих пёрышек,Аватар: разблокировать аватар,@Null@,,,
40,Мини-Бит,"Диджей Пустоты и фанат электронной рок-музыки. Мини-Бит - самая ослепительная звезда сцены, и к тому же, с отличным чувством ритма.",@Null@,Эффект: в окружении молний,Аватар: разблокировать аватар,Следы: оставляет отпечатки музыкальных нот после своих шагов,,,
41,Ланселот,"Что такое рыцарство? Куда укажет остриё меча, там и воцарится справедливость!",@Null@,Эффект: в окружении звездного света,Аватар: разблокировать аватар,@Null@,,,
42,Робокоша,"Биу-биу. Сетевое подключение проверено. Электромагнитная турель готова. Называешь меня чудачкой? Нет-нет, я всего лишь продукт романа науки и техники! Ах? Низка мощность. Где тут можно зарядиться?",@Null@,@Null@,Аватар: разблокировать аватар,Следы: оставляет электронные частицы после своих шагов,,,
43,Самурай Сэнбэй,"Неплохой ход! Но ты уверен, что выстоишь со мной в сражении один на один?",@Null@,@Null@,Аватар: разблокировать аватар,Следы: оставляет клубы пыли после своих шагов,,,
44,Мини Гонщица,Чемпионский трофей - это её подарок на день рождения! Мини Гонщица обожает жизнь большого города и вот она снова на гоночной трассе. Для неё победить красиво намного важнее чем просто победить!,@Null@,@Null@,Аватар: разблокировать аватар,Следы: оставляет отпечатки сердечек после своих шагов,,,
45,Ассасин Ли,"Ли - это ассасин-непоседа! Она всегда найдет чем себя занять. Например, она очень любит вязать разные вещи для своих друзей.",@Null@,@Null@,Аватар: разблокировать аватар,Следы: оставляет отпечатки пушистых шариков после своих шагов,,,
46,Ассасин Ан,Он хочет выглядеть крутым и хладнокровным в глазах других людей. Однако из-за своей холодности часто сам портит отношения с дорогими ему людьми.,@Null@,@Null@,Аватар: разблокировать аватар,Следы: оставляет отпечатки дротиков после своих шагов,,,
47,Попугай Йойо,"А вы люите облака так, как люблю их я? Я стану вашими верными крыльями и унесу вас в самые прекрасные места в Мини Мире! Мы обязательно подружимся!",@Null@,Особый эффект: золотой свет на короне,Аватар: разблокировать аватар,@Null@,,,
48,Мини-Эс,Мой долг - охранять покой моих друзей и родного дома!,@Null@,Специальный эффект: Mecha на спине горит золотыми лучами.,Аватар: разблокировать аватар,@Null@,,,
49,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
50,Джокер,"Эй, дорогой путешественник, не хочешь ли взглянуть на удивительное магическое шоу? Все фантастические выступления собраны здесь!",@Null@,@Null@,Аватар: разблокировать аватар,Следы: оставляет магический узор после своих шагов,,,
51,Кана,"Я пришла сюда, чтобы нарушать правила! Выбирайте, что больше хотите попробовать на вкус, конфеты или удар моего молота?",@Null@,@Null@,Аватар: разблокировать аватар,Следы: оставляет узор из леденцов после своих шагов,,,
52,Optimus Prime,"I am Optimus Prime, and I send this message so that our pasts will always be remembered, for in those memories we live on.",@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0a Деформация: Нажмите кнопку Деформация слева, чтобы переключить форму робота / транспортного средства! #n",#cda5b0a Трансформеры эксклюзивные навыки: Автоботы атака и защита! #n,
53,Megatron,I do this only for the benefit of my deceptions. It grieves me that you may also profit.,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0a Деформация: Нажмите кнопку Деформация слева, чтобы переключить форму робота / транспортного средства! #n",#cda5b0a Трансформеры эксклюзивное мастерство: Fusion Cannon! #n,
54,Конфетка,"Что самое главное в канун Рождества? Снегопад за окном, вкусные пирожные, волшебство и чудесная ты!",@Null@,@Null@,Аватар: разблокировать аватар,Следы: оставляет клубничный узор после своих шагов,,,
55,Бельчонок,"Один из милых близнецов, которые только что появились в Мини Мире. Близнецы приехали из богатого места. Бельчонок любит собирать фрукты и опадающие листья, а также мастерить разные вещи для других. По его словам, делиться с ближними и является главным секретом богатства!",@Null@,@Null@,Аватар: разблокировать аватар,Следы: оставляет каштановый узор после своих шагов,,,
56,Мышка,"Одна из милых близнецов, которые только что появились в Мини Мире. Близнецы приехали из богатого места. Но трудолюбивая Мышка всегда готова помочь нуждающимся. Мышка надеется, что она сможет завести много новых друзей в Мини Мире и передать им сокровенную тайну богатства.",@Null@,Эффект: в окружении цветов,Аватар: разблокировать аватар,Следы: оставляет китайский узор после своих шагов,,,
57,Дедушка Лин,"Кажется, что это просто неряшливый старикашка. Но на самом деле, он могущественный повелитель Северного Города, а также мудрый учитель Бродяги Блэйда, ассасина Ли и Ана. После стольких лет, проведённых в сражениях, дедушку Лина теперь совершенно не заботят мирские дела.",Разблокировать через ивент,@Null@,Аватар: разблокировать аватар,Следы: оставляет узор из винных тыкв после своих шагов,,,
58,Bumblebee,"I am Bumblebee, your best friend. Optimus Prime, I was willing to make any sacrifice for peace.",@Null@,Body Effects: Can convert in game and switch the form,Аватар: разблокировать аватар,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0aДеформация: Нажмите кнопку Деформация слева, чтобы переключить форму робота / транспортного средства! #n",#cda5b0aTransformers Exclusive Skill: Wasp Stab! #n,
59,Цветочная Фея,"Цветочная Фея любит бродить по саду и сажать красивые цветы вокруг своего дома. Никто не может устоять перед этим головокружительным цветочным ароматом! Но что-то странное происходит там, на Магической Звезде... Фея чувствует, что сила Хораса может изменить цветы навсегда!",@Null@,Эффект: в окружении звездного света,Аватар: разблокировать аватар,@Null@,,,
60,Арелл,"Арелл - это сверкающая звёздочка с небосклона, которая может воплотить все твои мечты в жизнь. Когда кто-то загадывает желание, Арелл слышит это и создает для мечтателя новый сказочный мир!",@Null@,Эффект: в окружении радуги,Аватар: разблокировать аватар,@Null@,,,
61,Снежный Барс,"Снежный Барс родилась далеко, в заснеженных горах, а когда выросла, была израна главным защитником плато. Она мягкая, но показывает большое мужество защищая свой дом.",Разблокировать через ивент,Эффект: окруженная снегом,Аватар: разблокировать аватар,@Null@,,,
62,Алиса,"Игральная карта утащила Алису в Страну Чудес. Похоже, это будет самое загадочное приключение в её жизни! Но господин Кролик её верный спутник. Он ни за что не оставит Алису одну!",@Null@,Эффект: в окружении цветов,Аватар: разблокировать аватар,@Null@,,,
63,Фроги,"Лягушонок Фроги начал изучать искусство нинзя еще в юном возрасте. Теперь он стал мастером, но всё равно иногда скучает по безмятежному лежанию у пруда.",Разблокировать через ивент,@Null@,Аватар: разблокировать аватар,Следы: оставляет узор из маленьких лягушек после своих шагов,,,
64,Starscream,Starscream thinks that he is born to be the leader of Decepticon. He has a sharp tongue and often contends for power and profit with Megatron. His behavior often makes Megatron really annoyed,@Null@,Body Effects: Can convert in game and switch the form,Аватар: разблокировать аватар,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0aДеформация: Нажмите кнопку Деформация слева, чтобы переключить форму робота / транспортного средства! #n",#cda5b0a Exclusive Skills: Aerial Alert! #n,
65,Hot Rod,"He is calm and full of responsibility. He is the future leader of the Autobot, the new hope of peace in the universe. No matter how dangerous the situation is, he will act immediately without hesitation.",@Null@,Body Effects: Can convert in game and switch the form,Аватар: разблокировать аватар,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0aДеформация: Нажмите кнопку Деформация слева, чтобы переключить форму робота / транспортного средства! #n",#cda5b0aTransformers Exclusive Skill: Red Lightning! #n,
66,Galvatron,He is stronger and more cruel than the Megatron. His self-confidence and ambition of conquest and rule are unmatched. He is the embodiment of power. The entire universe cannot satisfy the appetite of this ruthless tyrant.,@Null@,Body Effects: Can convert in game and switch the form,Аватар: разблокировать аватар,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0aДеформация: Нажмите кнопку Деформация слева, чтобы переключить форму робота / транспортного средства! #n",#cda5b0aExclusive Skills: Fusion Laser! #n,
67,Рауль,"Путешествуя между виртуальным и реальным миром, Рауль привык решать все жизненные проблемы как отдельные уровни в игре. Если чтобы пройти новый уровень удачи и силы не достаточно, то дайте тогда немного времени! Не было еще ни одного навыка который нельзя отсовершенствовать благодаря времени!",Разблокировать через ивент,Эффект: в окружении символов,Аватар: разблокировать аватар,@Null@,,,
68,Лин,"Непоседа Лин обожает таскать своего маленького друга Кубика из реального мира в виртуальный и обратно. Исследовать всё вокруг и веселиться от души — вот её кредо! Она всегда там, где светит неон и начинаются самые незабываемые приключения.",Разблокировать через ивент,Эффект: в окружении фиолетовых частиц,Аватар: разблокировать аватар,@Null@,,,
69,Сайен,"Сайен - наследница мастерской по изготовлению Рисовых Пирожков. Но её заветная мечта - стать звездой игры на Гучжене (древний инструмент вроде арфы). Получить в наследство мастерскую и стать известным музыкантом, - Сайен не кажется это недостижимым. Она точно сможет достичь всего, чего пожелает!",@Null@,Эффект: в окружении листьев,Аватар: разблокировать фото профиля,@Null@,,,
70,Твайлайт Спаркл,"Твайлайт Спаркл - настоящая всезнайка. Она любит читать, а еще она прирождённый лидер. Принцесса Селестия помогает ей учиться магии дружбы и творить волшебство.",@Null@,Эффект: в окружении волшебной пыльцы,Аватар: разблокировать фото профиля,@Null@,,,
71,Принцесса Селестия,"Селестия, правительница Королевства Эквестрии, обладает великой магической силой. Но сама она - милая и очень покладистая девушка, которая просто обожает сладости!",@Null@,Эффект: в окружении золотой пыльцы,Аватар: разблокировать фото профиля,@Null@,,,
72,Флаттершай,Fluttershy lives lives in a wooden hut on the edge of Pony Valley and befriends a variety of animals. She often directs them to act together as the symbol of kindness in harmony,@Null@,Эффект: в окружении золотой пыльцы,Аватар: разблокировать фото профиля,@Null@,,,
73,Принцесса Луна,"Princess Luna is the sister of Princess Celestia. The second ruler of Equestria who takes charge of the night, dream and moon rising. She often saves the ponies in nightmares. She seems mysterious and distant but she is kind indeed.",Разблокировать через ивент,Body Effects: Surrounded by moon pattern,Аватар: разблокировать фото профиля,@Null@,,,
74,Гримлок,Grimlock is the commander of the dinobots and also the most powerful one. His reckless personality makes autobos very anxious. But he also leads the dinobots and save the autobots many times.,Разблокировать через ивент,Body Effects: Electromagnetic sparks,Аватар: разблокировать фото профиля,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0aДеформация: Нажмите кнопку Деформация слева, чтобы переключить форму робота / механического динозавра! #n",#cda5b0aTransformers Exclusive Skill: Tyrannosaurus Roar! #n,
75,Свуп,Swoop’s simple thoughts and reckless behavior are really annoying. But he is a kind-hearted warrior. He plays a huge role in the dinobots team and shoulders the important missions.,@Null@,Body Effects: Electromagnetic sparks,Аватар: разблокировать фото профиля,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0aДеформация: Нажмите кнопку Деформация слева, чтобы переключить форму робота / механического динозавра! #n",#cda5b0aTransformers Exclusive Skill: Swift Wings! #n,
76,Снарл,Snarl is an out-of-group guy. He likes to let others deal with strategic matters. He only needs to follow Grimlock's dispatch and attend the war. This also makes him the most powerful fighter of Grimlock on the battlefield,@Null@,Body Effects: Electromagnetic sparks,Аватар: разблокировать фото профиля,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0aДеформация: Нажмите кнопку Деформация слева, чтобы переключить форму робота / механического динозавра! #n",#cda5b0aTransformers Exclusive Skill: Bone Spurs Sweep! #n,
77,Леонардо,"Говорят, что он странствующий художник, который использует магию цвета чтобы раскрасить весь мир. Теплые цвета изменчивы, а холодные - спокойны. То же самое верно и для Леонардо: сочетание оранжевого и синего отражает его характер, полный спокойствия и неукротимого энтузиазма!",Разблокировать через ивент,@Null@,Аватар: разблокировать фото профиля,Следы: оставляет голубые пятнышки после своих шагов,,,
78,Талия,"Обменять ценные вещи со мной! Я дам вам все, что вы мечтаете! Однажды, письмо, подписанный Thalia направляется к людям, которые любят магию в мини Вселенной. Существует также плавучий остров и красивый, таинственный Королева Thalia на Офф планете!",Получено в гасяпон,Эффект тела: в окружении фиолетового цветка,Аватар: разблокировать фото профиля,"Footprint: Оставляя розы пигмент, когда он идет",,,
79,Ута,"Редко может кто-нибудь найти Ута. Он всегда прячется глубоко в лесу, общение с животными и эльфами. В определенные сезоны, он появится и использовать магию, чтобы вылечить племени недуги и изгонит nightmares.His гадание и медицина были настолько эффективны, и все же так mysterious.He был отшельником и достойным сыном леса.",@Null@,Эффект тела: в окружении колдовства характера,Аватар: разблокировать фото профиля,@Null@,,,
80,Г-н Кролик Laby,"Самая большая радость The Лабири является его способность путешествовать с планеты на планету, как г-н Rabbit.But Ellie, кажется, быть в состоянии видеть сквозь его disguise.A карта упала случайно их сближает и начинается удивительное приключение. Является ли это магия покер? Нет, это магия судьбы!",Разблокировать через ивент,Эффект кузова: окружен рисунком кролика,Аватар: разблокировать фото профиля,@Null@,"#cd65b00Деформация: Нажмите кнопку Деформация слева, чтобы переключить форму кролика / гуманоида! #n",#cd65b00Mr. Rabbit Exclusive Skill: Время на исходе! #n,
81,Пинки Пай,Pinkie Pie is the most famous “party pony” and has extraordinary energy. She loves pranks and singing and has a cheerful character. She represents “laughter” in the element of harmony.,@Null@,Эффект тела: в окружении розовых сердец,Аватар: разблокировать фото профиля,@Null@,,,
82,Кэрол,"Кэрол любит конфеты, потому что конфеты всегда приносит ей удачу. Когда она бродяги на улице, владелец кондитерского берет ее. Она также встречает маленький призрак и узнает там магию. Возьмите конфету! сахар горшок Кэрол, безусловно, удивит вас!",@Null@,Эффект тела: в окружении светлой магии,Аватар: разблокировать фото профиля,@Null@,,,
83,Джерри,"Почему beancurd желе либо сладкое или соленое? Почему это не может быть сладким и соленым? Немного лимонный сок, кажется, чтобы быть полезными. Джерри полна причудливых идей, всегда можно комбинировать различные ингредиенты, чтобы произвести самые неожиданные продукты питания. Это заставило ее брат Mermale страдать. Каждый вкус является наиболее серьезной проблемой для желудка.",Получено в гасяпон,@Null@,Аватар: разблокировать фото профиля,Следы: оставляет отпечатки ног после своих шагов,,,
84,Кальмар,"В качестве члена своей семьи, Squid не хочет жить в море навсегда. Море огромен, но он предпочитает плавать на поверхности и наблюдает за яркой stars.Though он не имеет крыльев, он может сделать ракету к звездам с помощью своих друзей.",Получено в гасяпон,Эффект тела: Окруженные звуковой волны,Аватар: разблокировать фото профиля,@Null@,,,
85,Gigi медведь,"Жизнь это приключение, а также вызов. Опасность может помочь вам itendify себя. Вы не будете отказаться от времени, если вы продолжаете работать. Если вы хотите, чтобы бросить вызов невозможно, пойти на приключение с Гиги Медведя.",Получено в гасяпон,@Null@,Аватар: разблокировать фото профиля,"СЛЕД: Оставив след медведя, когда он идет",,,
86,Starlight Glimmer,"She possesses a powerful magical ability no less than Twilight Sparkle, trying to establish a Utopian town. She now becomes a friend of the other ponies and the principal of Friendship School.",@Null@,Эффект тела: окруженный голубым светом звезд,Аватар: разблокировать фото профиля,@Null@,,,
87,Рэйнбоу,Рэйнбоу храбр и вне собирается. Она является большим поклонником приключений и шалости. Она летит очень быстро и имеет радужные хвостохранилища. Она представляет собой «лояльность» в элемент гармонии.,@Null@,Эффект тела: Есть радуги хвостохранилища,Аватар: разблокировать фото профиля,@Null@,,,
88,Принцесса Cadence,"She used to be the beautiful, kind and considerate student of Princess Celestia. She becomes the guardian of the Crystal Empire by defeating King Sombra.",@Null@,Эффект корпуса: в окружении кристалла,Аватар: разблокировать фото профиля,@Null@,,,
89,Одри,Приезжайте и изучать магию природы! Одри из магической школы всегда пожалеет усилий не рекомендовать магии о насекомых. Ее трудолюбие помогает ей выиграть пользу Мисию.,@Null@,Эффект тела: Окруженный блестящей бабочкой,Аватар: разблокировать фото профиля,"СЛЕД: Оставляя бабочку след, когда она проходит",,,
90,Predaking,"Predaking является свирепым слиянием всех пяти предаконов с превосходными способностями и deadilest военной машиной десептиконов. Как воин, он непобедим, как оружие, он не поддается разрушению.",@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,"#cda5b0aДеформация: Нажмите кнопку Деформация слева, чтобы переключить режим многопользовательской комбинации! #n",#cda5b0aTransformers Exclusive Skill: Hideous Power! #n,
91,Razorclaw,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
92,Headstrong,@Null@,@Null@,Body effect: Can transform in game and switch the form,Avatar:unlock profile picture,Footprint: Leaving Camp pattern when he goes by.,,,
