keyid,名字,属性描述
19001,Сопротивление горению,Устойчивость к горению+
19002,Сопротивление горению,Устойчивость к горению+
19003,Сопротивление горению,Устойчивость к горению+
20001,Устойчивость к яду,Устойчивость к яду+
20002,Устойчивость к яду,Устойчивость к яду+
20003,Устойчивость к яду,Устойчивость к яду+
21001,Сопротивление хаосу,Сопротивление хаосу+
21002,Сопротивление хаосу,Сопротивление хаосу+
21003,Сопротивление хаосу,Сопротивление хаосу+
22001,Контрудар,Имеет 15% шанс контратаковать ближнего бойца +
22002,Контратака,Имеет 30% шанс контратаковать в ближнем бою +
22003,Контратака.,Имеет 45% шанс контратаковать ближнего бойца +
23001,Уменьшено расстояние отбрасывания назад,Уменьшено расстояние отбрасывания
23002,Расстояние отбрасывания снижено,Расстояние отбрасывания уменьшено
23003,Уменьшено расстояние отбрасывания,Расстояние отбрасывания уменьшено
24001,Полное приобретение,Полное приобретение
24002,Полное приобретение,Полное приобретение
24003,Полное приобретение,Полное приобретение
25001,Скорость копания,Скорость копания +
25002,Скорость копания,Скорость копания +
25003,Скорость копания,Скорость копания +
26001,Удачные раскопки,Уровень удачных копаний
26002,Удачные раскопки,Уровень удачных копаний
26003,Удачные раскопки,Уровень удачных копаний
27001,Взрывной выстрел,Взрывной выстрел+
27002,Взрывной выстрел,Взрывной выстрел+
27003,Взрывной выстрел,Взрывной выстрел+
28001,Падение дракона,Урон падение-
28002,Падение дракона,Урон падение-
28003,Падение дракона,Урон падение-
29001,Копье Гоблина,Копье Гоблина+
29002,Копье Гоблина,Копье Гоблина+
29003,Копье Гоблина,Копье Гоблина+
30001,Скоростной спуск (Гривз),"Приседание в воздухе, скорость падения +"
30002,Скоростной спуск (Гривз),"Приседание в воздухе, скорость падения +"
30003,Скоростной спуск (Гривз),"Приседание в воздухе, скорость падения +"
31001,Скалолазание (обувь),"Включите лазание по стенам, но скорость"
31002,Скалолазание (обувь),"Включите лазание по стенам, но скорость"
31003,Скалолазание (обувь),"Включите лазание по стенам, но скорость"
32001,Кровоточить,Уровень кровотечения
32002,Кровоточить,Уровень кровотечения
32003,Кровоточить,Уровень кровотечения
33001,Молниеносный кнут,Молниеносный хлыст 1-го уровня
33002,Молниеносный кнут,Молниеносный хлыст 2 ур
33003,Молниеносный кнут,Молниеносный хлыст 3 ур
34003,Молниеносный кнут,Молниеносный хлыст 4-го уровня
35003,Молниеносный кнут,Молниеносный хлыст 5 ур
36001,Удачная рыбалка,Уровень удачной рыбалки
36002,Удачная рыбалка,Уровень удачной рыбалки
36003,Удачная рыбалка,Уровень удачной рыбалки
37001,Морозостойкий,Морозостойкий+
37002,Морозостойкий,Морозостойкий+
37003,Морозостойкий,Морозостойкий+
38001,Морозостойкость,Морозостойкость+
38002,Морозостойкость,Морозостойкость+
38003,Морозостойкость,Морозостойкость+
39003,Благословение инструмента,Благословение инструмента
40003,Благословение оружия,Благословение оружия
41003,Благословение оборудования,Благословение оборудования
42001,Повреждения льдом,Уровень урона льдом
42002,Повреждения льдом,Уровень урона льдом
42003,Повреждения льдом,Уровень урона льдом
43001,Бонус физического ближнего ущерба,Физический ближний ущерб +
43002,Бонусный физический урон в ближнем бою,Физический ущерб в ближнем бою +
43003,Бонусный физический урон в ближнем бою,Физический урон в ближнем бою +
44001,Настойчивость,Уменьшение урона +
44002,Упорство,Снижение урона +
44003,Настойчивость,Снижение урона +
45001,Защита на расстоянии,Физический урон на расстоянии -
45002,Защита от дистанционных атак,Дистанционный физический урон -
45003,Защита на дистанции,Физический урон на дистанции -
46001,Бласт-урон,Бласт-урон -
46002,Урон от взрыва,Урон от взрыва -
46003,Ущерб от взрыва,Ущерб от взрыва -
47001,Скорость восстановления устойчивости,Скорость восстановления устойчивости +
47002,Скорость восстановления устойчивости,Скорость восстановления устойчивости +
47003,Скорость восстановления стойкости,Скорость восстановления стойкости +
48001,Высокие прыжки,Способность прыгать +
48002,Высокий прыжок,Умение прыгать +
48003,Высокий прыжок,Умение прыгать +
49001,Преобразовать,Шанс превращения врага +
49002,Трансформироваться,Шанс превращения во врага +
49003,Трансформировать,Шанс трансформации врага +
50001,Защита прочности.,Вероятность не потерять прочность +
50002,Защита прочности,Вероятность сохранения прочности +
50003,Защита прочности,Вероятность не потерять прочность +
51001,Быстрая рыбалка,Скорость рыбалки +
51002,Быстрая ловля,Скорость ловли +
51003,Быстрая рыбалка,Скорость рыбалки +
52001,Замедление,Шанс замедлить врага +
52002,Замедление,Шанс замедлить врага +
52003,Замедление,Шанс замедления врага +
53001,Сокращение выносливости при копании,Снижение выносливости при копании
53002,Сокращение выносливости при копании,Снижение выносливости при копании
53003,Уменьшенная выносливость копания,Сниженная выносливость копания
54001,Падание метеорита,Падение метеорита
54002,Падение метеорита,Падение метеорита
54003,Падение метеорита,Падение метеорита
55001,Бонусный звездный опыт,Получение звездного опыта +
55002,Бонус звездной EXP,Получение звездной EXP +
55003,Бонусный звёздный опыт,Получение звёздного опыта +
56001,Ускорение навыка,Восстановление навыка -
56002,Ускорение навыков,Перезарядка навыков -
56003,Ускорение умения,Перезарядка умения -
57001,Последний удар,+2% Урона последнего удара
57002,Последний удар,+2% урон последнего удара
57003,Последний удар,+ 2% урон при последнем ударе
58001,Сопротивление отбрасыванию,+ 5% Сопротивление отбрасыванию
58002,Сопротивление отбрасыванию,+ 10% Сопротивление отбрасыванию
58003,Сопротивление отбрасыванию,+ 15% Сопротивление отбрасыванию
59001,Бонусный урон по Чудовищам,Урон по Чудовищу +
59002,Бонусный урон по Зверям,Урон по Зверям +
59003,Бонусный урон по Зверям,Урон по Зверю +
60001,Бонусный урон по Cпециалистам по кабаньему охотничьему промыслу,Урон по Cпециалистам по кабаньему охотничьему промыслу +
60002,Бонусный урон по вепряманам,Урон по вепрям+
60003,Бонусный урон по свинобоям,Урон по свинобоям +
61001,Бонусный урон по элитам,Урон по элитам +
61002,Бонусный урон по элите,Урон по элите +
61003,Бонусный урон элитам,Урон элитам +
62001,Бонусный урон пустоты,Урон существам пустоты +
62002,Бонусное Пустое Повреждение,Повреждение Пустых Существ +
62003,Бонус урона Бездне,Урон существам Бездны +
63001,Бонусный урон от Хораса,Урон существам Хораса +
63002,Бонусный урон Хораса,Урон по существам Хораса +
63003,Бонусный урон Хорасу,Урон существам Хораса +
64001,Бонусный урон водным существам,Урон водным существам +
64002,Бонусный урон водным существам,Урон водным существам +
64003,Бонусный водный урон,Ущерб для водных существ +
