iD,俄语,俄语
13,Мощный выстрел,Урон от выстрела стрел повыш. на 50%.
13,Мощный выстрел,Урон от выстрела стрел повыш. на 75%.
13,Мощный выстрел,Урон от выстрела стрел повыш. на 100%.
13,Мощный выстрел,Урон от выстрела стрел повыш. на 125%.
14,Бесконечные выстрелы,"Выстрел из лука не расходует стрелы, а доп. тратит 5 очков стойкости."
14,Бесконечные выстрелы,"Выстрел из лука не расходует стрелы, а доп. тратит 4 очка стойкости."
14,Бесконечные выстрелы,"Выстрел из лука не расходует стрелы, а доп. тратит 3 очка стойкости."
14,Бесконечные выстрелы,"Выстрел из лука не расходует стрелы, а доп. тратит 2 очка стойкости."
14,Бесконечные выстрелы,"Выстрел из лука не расходует стрелы, а доп. тратит 1 очко стойкости."
15,Стойкость,Повыш. стойкость предметов на 40%.
15,Стойкость,Повыш. стойкость предметов на 80%.
15,Стойкость,Повыш. стойкость предметов на 160%.
15,Стойкость,Повыш. стойкость предметов на 240%.
15,Стойкость,Повыш. стойкость предметов на 320%.
16,Ближняя стойкость,Добавляет 1 очко ближней стойкости.
16,Ближняя стойкость,Добавляет 3 очка ближней стойкости.
16,Ближняя стойкость,Добавляет 5 очков ближней стойкости.
16,Ближняя стойкость,Добавляет 9 очков ближней стойкости.
16,Ближняя стойкость,Добавляет 15 очков ближней стойкости.
17,Дальняя стойкость,Добавляет 1 очко дальней стойкости.
17,Дальняя стойкость,Добавляет 3 очка дальней стойкости.
17,Дальняя стойкость,Добавляет 5 очков дальней стойкости.
17,Дальняя стойкость,Добавляет 9 очков дальней стойкости.
17,Дальняя стойкость,Добавляет 15 очков дальней стойкости.
18,Стойкость к взрыву,Добавляет 1 очко стойкости к взрыву.
18,Стойкость к взрыву,Добавляет 3 очка стойкости к взрыву.
18,Стойкость к взрыву,Добавляет 5 очков стойкости к взрыву.
18,Стойкость к взрыву,Добавляет 9 очков стойкости к взрыву.
18,Стойкость к взрыву,Добавляет 15 очков стойкости к взрыву.
19,Стойкость к поджогу,Добавляет 1 очко стойкости к поджогу.
19,Стойкость к поджогу,Добавляет 3 очка стойкости к поджогу.
19,Стойкость к поджогу,Добавляет 5 очков стойкости к поджогу.
19,Стойкость к поджогу,Добавляет 9 очков стойкости к поджогу.
19,Стойкость к поджогу,Добавляет 15 очков стойкости к поджогу.
20,Стойкость к яду,Добавляет 1 очко стойкости к яду.
20,Стойкость к яду,Добавляет 3 очка стойкости к яду.
20,Стойкость к яду,Добавляет 5 очков стойкости к яду.
20,Стойкость к яду,Добавляет 9 очков стойкости к яду.
20,Стойкость к яду,Добавляет 15 очков стойкости к яду.
21,Стойкость к хаосу,Добавляет 1 очко стойкости к хаосу.
21,Стойкость к хаосу,Добавляет 3 очка стойкости к хаосу.
21,Стойкость к хаосу,Добавляет 5 очков стойкости к хаосу.
21,Стойкость к хаосу,Добавляет 9 очков стойкости к хаосу.
21,Стойкость к хаосу,Добавляет 15 очков стойкости к хаосу.
22,Контратака,"Получая ближнюю АТК, есть 50% вер-сти причинить атакующему 5 очков урона."
22,Контратака,"Получая ближнюю АТК, есть 50% вер-сти причинить атакующему 10 очков урона."
22,Контратака,"Получая ближнюю АТК, есть 50% вер-сти причинить атакующему 15 очков урона."
22,Контратака,"Получая ближнюю АТК, есть 50% вер-сти причинить атакующему 20 очков урона."
22,Контратака,"Получая ближнюю АТК, есть 50% вер-сти причинить атакующему 25 очков урона."
23,Стойкость к отражению,"Получая атаку, уменьшает кол-во клеток отражения на 1."
23,Стойкость к отражению,"Получая атаку, уменьшает кол-во клеток отражения на 2."
23,Стойкость к отражению,"Получая атаку, уменьшает кол-во клеток отражения на 3."
23,Стойкость к отражению,"Получая атаку, уменьшает кол-во клеток отражения на 4."
23,Стойкость к отражению,"Получая атаку, уменьшает кол-во клеток отражения на 5."
24,Меткий сбор,"Собирая блоки, получаешь лут блока."
25,Скорость,Повыш. скорость сбора на 30%.
25,Скорость,Повыш. скорость сбора на 70%.
25,Скорость,Повыш. скорость сбора на 120%.
25,Скорость,Повыш. скорость сбора на 180%.
25,Скорость,Повыш. скорость сбора на 250%.
26,Удача в раскопках,"Кирка: собирая минералы, есть 16% вер-сти получить двойной лут.
"
26,Удача в раскопках,"Кирка: собирая минералы, есть 16/8% вер-сти получить двойной/тройной лут.
"
26,Удача в раскопках,"Кирка: собирая минералы, есть 20/10/4% вер-сти получить двойной/тройной/четверной лут.
"
27,Взрывной выстрел,После попадания стрелы во врага происходит взрыв...
28,Падение дракона,"Урон от падения -150, также сниж. скорость падения"
32,Скорость,Повыш. скорость сбора на 30%.
30,Быстрое падение,"Удерживайте кнопку Shift, когда вы падаете, чтобы увеличить скорость падения на 20% и уменьшить урон от падения на 3"
30,Быстрое падение,"Удерживайте кнопку Shift, когда вы падаете, чтобы увеличить скорость падения на 30% и уменьшить урон от падения на 6"
30,Быстрое падение,"Удерживайте кнопку Shift, когда вы падаете, чтобы увеличить скорость падения на 40% и уменьшить урон от падения на 9"
30,Быстрое падение,"Удерживайте кнопку Shift, когда вы падаете, чтобы увеличить скорость падения на 50% и уменьшить урон от падения на 15"
30,Быстрое падение,"Удерживайте кнопку Shift, когда вы падаете, чтобы увеличить скорость падения на 60% и уменьшить урон от падения на 25"
31,Восхождение Паука,Вы можете подняться на любой вертикальной плоскости. Снижает скорость передвижения на 40% и стоит 3 долговечность каждые 2 сек
31,Восхождение Паука,Вы можете подняться на любой вертикальной плоскости. Снижает скорость передвижения на 30% и 3 долговечность каждые 2 сек
31,Восхождение Паука,Вы можете подняться на любой вертикальной плоскости. Снижает скорость передвижения на 25% и стоит 2 ед. прочности каждые 2 сек
31,Восхождение Паука,Вы можете подняться на любой вертикальной плоскости. Снижает скорость передвижения на 10% и стоит 2 ед. прочности каждые 2 сек
31,Восхождение Паука,Вы можете подняться на любой вертикальной плоскости. Стоит 2 прочность каждые 2 сек
