ID,名称,内容,作者,是否匿名
26,villagger rebelion,"the villager gone crazy villagers burn every home,farm and Tents i make this Message we need help i hear to much explosion sound here my location ???/?## (cult for someone attack he/she)",unknow villager/player,1
27,Message to Cog,"Hey Cog, Our Adventuring Team is heading to a deep cave and it might a long time, so i want to ask that if you can take care of my family in the meantime. i hope you can do that, I will try to finish exploring the cave as soon as possible.",Adventurer Bob,
28,Survivor,"To Anyone Who manage to get Blessing stars and Survived the Re:Creation of days, Our Worlds Got Seperated And Wish You healthy And Good luck",Hhuxx1,
29,Messaggio di Motivazione,"Non arrenderti mai amico, segui i tuoi sogni! la vita può essere dura ma continua a seguire i tuoi sogni, non importa cosa può succedere : )",Leo,1
30,Примечание для себя,"Context:Эй, если вы когда-нибудь будете нырять в глубоком море, пожалуйста, помните о ?светящихся палочках?, они похожи на этих странных больших, страшных на вид рыб-удильщиков, и они пытаются обманом заставить вас пойти за светящейся палочкой. если светящаяся палочка кажется странной, ПОЖАЛУЙСТА, НЕ ПРИКАСАЙТЕСЬ К НЕЙ.",The great ocean explorer!,1
31,Love,"I love you, no matter what happened or will happen you'll be still loved by someone, maybe someone who knows you well, but you didn't realise it yet",Claudio,1
32,Stuck Here,"If someone reading this, I need help, I think I got stuck in a war? I don't know how, I was just trying to get some bread.",Domo,1
33,ERR0R 407,"1f y0u'r3 r3?d?ng th1s m3ss4gē, d?m? b??, ???r b?aūty m?d3 th?s m3.sāg3 gl1t?h",AmberDatBish,1
34,mitsuki il maranza,"Rosy ha 16 anni, e sa già fare tante cose. Ad esempio, sa cucinare le patatine fritte come una professionista a soli 16 anni. Rosy sa fare tante cose per la sua età.",AmberDatBish,1
35,Help!,"I'm currently in the ocean and I dont have any item, Please Help!",Him,1
36,Shark Problem,"Dear Bob, Im Currently in My Underwater Base, But Some shark decided to break my Window, and The Water Get into my Storage Room, Can you help me Repair The Window?",Albert,
37,My Burger!,"Made a nice juicy burger today, decided to eat it on the beach so I can enjoy the sound of the waves. Then a seagull came along and snatched it right out of my hands! Broke my heart..",LyraNova,1
38,Perfect?,"Even monkeys fall from trees, nobody's perfect so don't beat yourself up.",LyraNova,1
39,Ships are Crazy!,"Anyone reading this message, Pirates ships are very strong and dangerous. My entire village were destroyed by them. I am alive somewhere far but don't try to fight the ships without gear and tools.",Dona,1
40,My Wish,"I really wanted to see the beauty of the ocean but I can't walk sadly. But people who can do that, I hope you see the beauty of the ocean in my place. Maybe in my next life, I would be able to see the ocean.",Mark,1
41,The real teasure,"The greatest pirate treasure is not jewelry or gold, it is an eternal love never sought",★MG607★,1
42,Did You Know?,"The flying fish you see swimming about in Miras ocean is used in the national dish of Barbados called cou-cou and flying fish. In addition to flying fish, the dish includes cornmeal, okra and is seasoned with salt and pepper.",LyraNova,1
43,Ocean mystery,"Real!... its REAL!! I Hear a very Echoing, Horrible sound like the Voice of a large creature in the middle of the ocean. I don't know what that sound is but it's very scary, Believe or not it's very mysterious!",MisterMini,1
44,The captain's message,"Players from all over the world, the pirate age has begun! If you want my treasures, go find them beyond the horizon! The pirate age begins Now!. Jalulu sailors",Greenmatias,1
45,The last words of the strongest pirate,"The day someone finds that treasure, the world will turn upside down. The one who finds that treasure will be the king of the pirates. The Mini Piece is real!!!",?Jonatham8902?,1
46,Animal lovers,"There are many types of animals on this earth, both tame and ferocious. Please take care of them, don't hurt them, and don't over hunt them. Thank you for reading this letter",Nunki Andas Sahita,1
47,-08 Sunday-,"One day I woke up in a cottage near the beach, I looked out the window. At this time, the sky was clear, the sand glistened like crystals in the reflection of the sun, and there was a vast ocean. There is the sound of a seagull approaching me, aahh no..... he stole my bread I walked along the beach while collecting various kinds of shells and stones for decoration. Listening to the melodious sound of the waves, I want to swim ^^ Wow this sea is very beautiful, there are lots of coral reefs, seaweed and small fish. I want everyone to be able to see this beauty, I hope everyone can see and enjoy it......",Nunki Andas Sahita,1
48,Опасные акулы!,"Эй! Если ты это читаешь, то знай: когда будешь проплывать море, будь осторожнее с акулами. Они всегда знают где ты, и могут напасть на тебя в любую секунду! Также не забывай про других существ которые таятся в глубинах океана, такие как скаты и другие обетатели морского дна.Будь осторожнее, путешественник!",sailor,1
49,That one guy,"He look like he is on the fence. He can't decide weather he can do it or not... Such a dilemma. He need someone, someone who can help him, someone who can free him, free him from the darkness. I don't know what I wrote but I've no regret.",IcyFlame911,1
50,Indifferent,In order to make others happy we become indifferent to those closest to us. And without realizing that the person closest to us is ourselves.,Azriady,1
51,Tsunami,"There has been a lot of tsunami lately, anyone reading this, I've given warnings to the people nearby about this, now Its your turn to send others this message.",Reporter Zhon,1
52,SOS,"Whoever found this please save me.... One night a storm and waves hit my boat so it sank, I was stranded on an island. I've been stranded here for 1 week, I don't know the name of this island. Please find me, food supplies are running low and it's very cold at night.",Nunki Andas Sahita,1
53,Manta Ray Facts #2,"Manta means blanket in Spanish, do you see the connection?",LyraNova,1
54,Mark your presence,"Hi, I was here..hopefully you survives better than me. lol Beware! xoxo",rainEEz,1
55,Il polpo,"Il polpo è uno dei animali più forti e intelligenti del regno animale, ha molte abilità tra cui il mimetismo e sparare inchiostro.",re Mirko ita,1
56,The octopus,"The octopus is one of the strongest and most intelligent animals in the animal kingdom, it has many abilities including camouflage and shooting ink.",re Mirko ita,1
57,Différence sur positif et négatif,"Au pire moment que tu te retrouve, la lumière de la sorti au font du tunnel même que tu ne le voie pas. Il faut rester positif et non négatif, par exemple : positif tu continue a monter les escalier et négatif a descendre les marche sans les voire mais juste les sentir avec vos pied..",Phantanium,1
58,Difference on positive and negative,"At the worst moment that you find yourself, the light came out at the end of the tunnel even that you do not see it. You have to stay positive and not negative, for example: positive you continue to climb the stairs and negative to go down the steps without seeing them but just feeling them with your feet.",Phantanium,1
59,Save the Mini World,"Ancient Collusus and Ancient Black Dragon are coming to Miras from somewhere in Horas and Flamas. What is happening? Hurry up , build a team to defend the Miras !",PRIME CREATOR [PMC],1
60,?,Bir?ey unutmad?n ?yle de?il mi ?,?üpheci Denizci,1
61,?,Kap?y? kilitledin mi ?,?üpheci Denizci,1
62,?,Yeterince erzak ald?n m? ?,?üpheci Denizci,1
63,?,Kaptan ne demi?ti ?,?üpheci Denizci,1
64,Lazy,I'm Too Lazy To Think Of Something,ZombiesZZombies (v03_),1
65,Recipe,Recipe: Fried Ostrich Eggs Tools: Bonfire and stone pot Ingredients: Ostrich eggs How to make: Fry ostrich egg in stone pot until cooked and ready to serve,Nunki Andas Sahita,1
66,Penguin,"Do you know? Penguins love to sing, they live in snowy areas. If you provide haystack, and nest, then feed with ball fruit they will have cute baby penguins.",Nunki Andas Sahita,1
67,Sharks,"t seems I have went to far from land, I have lost track from where I am! Oh no, There are so many sharks!",angry_aries,1
68,Season of Remembrance,"Hey, it's me. I hope you remember the times we spent together. The times where I made you smile and laugh. But it's ok if you don't remember. I'm no important to you anyway. And I can't continue my journey if I'm always walking behind your shadow. So I'm taking all my courage to leave. To live a life that doesn't revolve around you. Don't be sad and don't get mad. I know, you won't. But I just hope you do. So that I'll know that you still remember me.",The_Problem,1
69,The beautiful sea shore,"Content: I wake up on an island, on the sand. What is this? As I sit on the sand, I see a lavender shell. What kind of shell is this? I looked inside the shell. There was nothing inside, but water. When I emptied the shell, it changed from lavender to light orange. Wow!",angry_aries,1
70,Global Warming Issue,"Due to people smoking, and editing other unnecessary emmitions, global warming is making Earth unliveable! Ice melts and arctic animals loose their homes! The ozone is being broken! Please stop smoking! And use you car as little as possible, don't keep it on when going I to a store! Please save the Earth, save our home, save the polar bears!",Paclaicidian3000,1
71,A Promise,I meet everyone eventually. Even you.,RenMar,1
72,The Distance Tide,"When a Viking bent on revenge mistakenly raids the castle of a bookish Irish princess, will she cast her fears aside to befriend the enemy, finally realizing God’s plan for her life?",Heather Day Gilbert,1
73,A Song in the Night,"When a Scottish story-weaver loses her family in a clan war, she finds herself aided by a handsome, secretive bagpiper in a race against time to reunite with someone she never dared hope she'd see again.",Amanda Dykes,1
74,The Forgotten Hope,"As a champion of the sick, a young New Yorker never doubted her worth until a new doctor arrives to work with her father, one who believes her to be nothing more than a social butterfly. Can she gain his respect—and his love?",Maureen Lang,1
75,A River Between Us,"When a Georgian cotton mill worker is arrested and sent North, the Union officer who tries to protect her is the last person she wants to forgive—and the only man who can bring hope and healing to her heart.",Jocelyn Green,1
76,The Swelling Sea,"After washing ashore on the California coastline, a young woman’s yearning to discover her past leads her to the courageous oarsman who helps her find the key.",Joanne Bischof,1
77,Message From The Sea,"The notion of the message in a bottle has come to attain a kind of romanticism, built perhaps on the allure of the exotic mystery its contents might reveal from a faraway place or a long-ago time.",Paul Brown,1
78,Sea Secrets,"You can see the letter inside but can't make out what secrets it holds. Satisfy your inner child’s curiosity and secure yourself a secret message in a bottle, where only you get to read the letter inside. The owner can open the letter shortly after the auction concludes, right here in the ""Unlockable Content"" section. If not claimed, the bottle will be destroyed and lost at sea forever.",RenMar,1
79,Message in a Bottle,"Only the owner will ever know what the letter inside a bottle reads. That could be you! As a child walking on the beach, did you ever dream of finding a message in a bottle? And fantasize about what the letter inside might say?",RenMar,1
80,Geniuous,"I read that a message in a bottle once traveled for seventeen months over 14.500 kilometres from where it was cast into the sea. Isn't that neat? I hope mine goes even farther, and also that whoever finds it is having a very nice day.",RenMar,1
81,The Love,"A secret I share with the sea and no other, for they are alike. While I resemble the tides as they test the boundaries of these shores, returning each night in brilliance. She is as relentlessly free as the sea, untamed and trackless, a force to behold. I would not tame her even if I could.",RenMar,1
82,A Threath,"If you don't leave this bottle where you found it, the next time you're in a room alone, the door will disappear!",RenMar,1
83,A Adventure Wish,"My life is full of memories, and in its twilight, I send a wish into the ocean: Do not fear the shadows surrounding you, but rather step out and shine brightly.",RenMar,1
84,Moon Change,"I often gaze up at the moon and wonder if there is more to life. I just want to change myself, for better or worse.",RenMar,1
85,An Hald Poem,"The endless waves crash to and fro,
who this reaches, I may never know.
Do your eyes sparkle as you read this?
The thought of my rose smiling makes me feverish.",RenMar,1
86,Beatufill Leaves,"I took the train to visit the sea today. Ever since we moved here, I can tell you something... The leaves are beautiful and it's much quieterhere. I think the fresh air is good for the children, but is it good for my husband and me?",RenMar,
87,The Dance,Dance like the wave of the sea,RenMar,
88,Stars,"We are all in the gutter, but some of us are looking at the stars",Oscar Wilde,1
89,Once in a lifetime,Once in a lifetime the longed for tidal wave of justice can rise up and hope and history rhyme.,Seamus Heaney,1
90,Believe in miracles,Believe in miracles and cures and healing wells,Seamus Heaney,
91,The Way,If you have the words there's always the chance you'll find the way,Seamus Heaney,
92,Life in your years,"It’s not the years in your life that count, it’s the life in your years",Abraham Lincoln,
93,What do you see?,"It's not what you look at that maters, its what you see",H.D Thoreau,
94,Greatest Fool,"It is not the greatest fool who can not read, but the one who thinks that everything read is the truth.",RenMar,1
95,Dissapointing,Twenty years from now you will be more disappointed by the things that you didn’t do than by the ones you did do.,RenMar,
96,Lighted Candles,"Thousands of candles can be lighted from a single candle, and the life of the candle will not be shortened. Happiness never decreases by being shared.",RenMar,
97,Be happy with little,"It’s weird how a little is necessary for us to be happy, and even more strange: how often we miss it a little!",RenMar,
98,Reform time,"Whenever you find yourself on the side of the majority, it is time to reform.",RenMar,
99,No wings,The man who has no imagination has no wings.,RenMar,
100,Universe and Humanity,Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,RenMar,
101,Be Yourself,Be yourself; everyone else is already taken,RenMar,
102,Be the change,You must be the change you want to see in the world.,RenMar,
103,Good or Bad,"There is nothing either good or bad, but thinking makes it so.",RenMar,
104,Generalizations,"All generalizations are false, including this one.",RenMar,1
105,Change Ourselves,"When we are no longer able to change a situation, we are challenged to change ourselves.",RenMar,
106,Future,I never think of future – it comes soon enough.,RenMar,
107,Happines of Life,The happiness of your life depends upon the quality of your thoughts; therefore guard accordingly.,RenMar,1
108,The Minds,Strong minds discuss ideas; average minds discuss events; weak minds discuss people.,RenMar,
109,Past vs Future,Study the past if you would define the future.,RenMar,
110,No Charm,There is no charm equal to tenderness of heart,RenMar,
111,No Substitute,There is no substitute for hard work.,RenMar,
112,The Mind,The mind is everything. What you think you become.,RenMar,
113,Loved Job,"Choose a job you love, and you will never have to work a day in your life.",DeMar,
114,Own Dreams,"Build your own dreams, or someone else will hire you to build theirs.",DeMar,
115,No Shortcuts in Life,There are no shortcuts to any place worth going.,DeMar,
116,Strong Person,"Smiling doesn't always mean you're happy. Sometimes, it simply means that you are a strong person.",DeMar,1
117,Life in your way,There is only one success - to spend your life in your own way.,DeMar,
118,Happy vs Dignity,I would always rather be happy than dignified.,DeMar,
119,No Endings,True love stories never have endings.,DeMar,
120,Love by Loving,We can only learn to love by loving.,DeMar,
121,Madness vs Love,"You call it madness, but I call it love.",DeMar,1
122,Love Secret,Love ceases to be a pleasure when it ceases to be a secret.,DeMar,
123,Chocolate Cake,I want someone who will look at me the same way I look at chocolate cake.,DeMar,
124,Stupid Love,Love is being stupid together.,DeMar,
125,Greatest Glory,"The greatest glory in living lies not in never falling, but in rising every time we fall.",DeMar,
126,Always have More,"If you look at what you have in life, you'll always have more. If you look at what you don't have in life, you'll never have enough.",DeMar,
127,Ridiculous Goals,"If you set your goals ridiculously high and it's a failure, you will fail above everyone else's success.",DeMar,
128,Quit Talking,The way to get started is to quit talking and begin doing.,DeMar,
129,Busy with Plans,Life is what happens when you're busy making other plans.,DeMar,
130,Spread Love,Spread love everywhere you go. Let no one ever come to you without leaving happier.,Mother Teresa,
131,You are Unique,Always remember that you are absolutely unique. Just like everyone else.,DeMar,
132,Don't Judge the Day,Don't judge each day by the harvest you reap but by the seeds that you plant.,DeMar,
133,Believe in Buty,The future belongs to those who believe in the beauty of their dreams.,DeMar,
134,Feel with Heart,The best and most beautiful things in the world cannot be seen or even touched — they must be felt with the heart,DeMar,
135,Happines,Whoever is happy will make others happy too.,RenMar,
136,Leave a Trail,"Do not go where the path may lead, go instead where there is no path and leave a trail.",RenMar,
137,Greatest Glory,"The greatest glory in living lies not in never falling, but in rising every time we fall.",RenMar,
138,Many Defeats in Life,"You will face many defeats in life, but never let yourself be defeated.",RenMar,
139,Years in Live,"In the end, it's not the years in your life that count. It's the life in your years.",RenMar,1
140,Don't Fear,Never let the fear of striking out keep you from playing the game.,RenMar,
141,Impossible Journey,The only impossible journey is the one you never begin.,RenMar,
142,Be happy,The purpose of our lives is to be happy.,RenMar,
143,Worhwhile Life,Only a life lived for others is a life worthwhile.,RenMar,
144,Keep Smiling,"Keep smiling, because life is a beautiful thing and there's so much to smile about.",RenMar,
145,Our Life,"Life is ours to be spent, not to be saved.",RenMar,
146,Live in Sunshine,"Live in the sunshine, swim the sea, drink the wild air.",RenMar,
147,Worthwhile Life,Only a life lived for others is a life worthwhile.,RenMar,
148,Purpose of Lives,The purpose of our lives is to be happy.,RenMar,
149,Trying Things,Life is trying things to see if they work.,RenMar,
150,Keep Smiling,"Keep smiling, because life is a beautiful thing and there's so much to smile about.",RenMar,
151,Love is just a Word,Love is just a word until someone comes along and gives it meaning,RenMar,
152,Many Partings in Life,Life is made of ever so many partings welded together.,RenMar,1
153,Success is not Final,Success is not final; failure is not fatal: It is the courage to continue that counts.,DeMar,
154,Criticism,Don't be distracted by criticism. Remember — the only taste of success some people get is to take a bite out of you.,DeMar,
155,Man of Value,Try not to become a man of success. Rather become a man of value.,DeMar,
156,The Dictionary,The only place where success comes before work is in the dictionary.,DeMar,
157,Usual vs Ordinary,"If you are not willing to risk the usual, you will have to settle for the ordinary.",DeMar,
158,Change the World,"I alone cannot change the world, but I can cast a stone across the water to create many ripples.",DeMar,
159,The Shots,You miss 100% of the shots you don't take.,DeMar,
160,People Forget,"I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.",DeMar,
161,The Win,"Winning isn't everything, but wanting to win is.",DeMar,
162,The Stop,The question isn't who is going to let me; it's who is going to stop me.,DeMar,
163,Other side of Fear,Everything you've ever wanted is on the other side of fear.,DeMar,
164,Dream Big,Dream big and dare to fail.,DeMar,
165,Dreaming,"Dreaming, after all, is a form of planning.",DeMar,
166,Fears in your Mind,Dream big and dare to fail." “Don't be pushed around by the fears in your mind.,DeMar,
167,Sunshine & Shadows,Keep your face always toward the sunshine—and shadows will fall behind you.,DeMar,
168,The Smiles,Be the reason someone smiles.,DeMar,
169,The Plan,"All you need is the plan, the road map, and the courage to press on to your destination.",RenMar,
170,Have it All,You can have it all. Just not all at once.,RenMar,
171,Goals Set,Setting goals is the first step in turning the invisible into the visible.,RenMar,
172,Stay Positive,"If you can stay positive in a negative situation, you win.",DeMar,
173,Something Positive,"Say something positive, and you’ll see something positive",DeMar,
174,Darkness,Only in the darkness can you see the stars.,DeMar,
175,Happy Life,You do not find the happy life. You make it.,DeMar,
176,Be Yoursefl,Be yourself and people will like you.,DeMar,
177,Believe in Magic,Those who don’t believe in magic will never find it.,DeMar,
178,Nice Peoples,Most people are nice when you finally see them.,DeMar,
179,The Moment,"The moment where you doubt you can fly, you cease for ever being able to do it.",DeMar,
180,Imagine Something,"When you are imagining, you might as well imagine something worth while.",DeMar,
181,Good Day,Today is a good day to try.,DeMar,
182,Positive People,Surround yourself with positive people.,DeMar,
183,Blue rock,"There was a blue rock under the sea I don't know where or when it was there but there once was. If you see a blue rock, tell me.",Robert,
184,Paths,"The path some people take may not be the one that fits you. Don't force yourself where you don't belong, focus on your goals and what matters.",LyraNova,
185,Mystery,"There's a reason for everything, you said, and though it's a mystery to me now, I know it won't always be so",Ben Sherwood,
186,Counted Sorrows,Your heart’s desire is to be told some mystery. The mystery is that there is no mystery.,RenMar,
187,The Last Song,"Life, he realized, was much like a song. In the beginning there is mystery, in the end there is confirmation, but it’s in the middle where all the emotion resides to make the whole thing worthwhile.",Nicholas Sparks,
188,Blood Meridian,"Holy men tell us life is a mystery.
They embrace that concept happily.
But some mysteries bite and bark
and come to get you in the dark",Dean Koontz,
189,Paper Towns,"Margo always loved mysteries. And in everything that came afterward, I could never stop thinking that maybe she loved mysteries so much that she became one.",John Green,
190,The Raven,Let my heart be still a moment and this mystery explore...,Edgar Allan Poe,
191,The Natural,"There is in the darkness a unity, if you will, that cannot be achieved in any other environment, a blending of self with what the self perceives, an exquisite mystical experience.",Bernard Malamud,
192,Turtles All the Way Down,"You’d think solving mysteries would bring you closure, that closing the loop would comfort and quiet your mind. But it never does. The truth always disappoints.",John Green,
193,Into Thin Air,"I accepted the assignment because I was in the grip of the Everest mystique. In truth, I wanted to climb the mountain as badly as I’d ever wanted anything in my life.",Jon Krakauer,
194,Through the Looking Glass,"It’s a great huge game of chess that’s being played—all over the world—if this is the world at all, you know.",Lewis Carroll,
195,Good Omens,"Firstly, that God moves in extremely mysterious, not to say, circuitous ways. God does not play dice with the universe; He plays an ineffable game of His own devising, which might be compared, from the perspective of any of the other players,* to being involved in an obscure and complex version of poker in a pitch-dark room, with blank cards, for infinite stakes, with a Dealer who won’t tell you the rules, and who smiles all the time.",Neil Gaiman,
196,Wild at Heart,"Though he is powerfully drawn to the woman, he does not know how to fight for her or even that he is to fight for her. Rather, he he finds her mostly a mystery that he knows he cannot solve and so at a soul level he keeps his distance. And privately, secretly, he turns to the imitation.",John Eldredge,
197,Sabriel,Death and what came after death was no great mystery to Sabriel. She just wished it was.,Garth Nix,
198,The Scarlet Pimpernel,"We seek him here, we seek him there,
Those Frenchies seek him everywhere.
Is he in heaven?—Is he in hell?
That demmed, elusive Pimpernel?",Baroness Emma Orczy,
199,Pale Blue Dot,"It is sometimes said that scientists are unromantic, that their passion to figure out robs the world of beauty and mystery.",Carl Sagan,
200,The Absolutely True Diary,"The world, even the smallest parts of it, is filled with things you don’t know.",Sherman Alexie,
201,Nature,The production of a work of art throws a light upon the mystery of humanity.,Ralph Waldo Emerson,
202,A Tale of Two Cities,"A wonderful fact to reflect upon, that every human creature is constituted to be that profound secret and mystery to every other.",Charles Dickens,
203,The Hound of the Baskervilles,"What further inferences may we draw?”
“Do none suggest themselves? You know my methods. Apply them!",Sir Arthur Conan Doyle,
204,Pet Sematary,"Death is a mystery, and burial is a secret.",Stephen King,
205,The Virgin Suicides,The essence of the suicides consisted not of sadness or mystery but simple selfishness.,Jeffrey Eugenides,
206,Way of the Peaceful Warrior,"In fact, you have no knowledge of where anything is or of what anything is or how it came to be. Life is a mystery.",Dan Millman,
207,Reflections of a Man,"I want to enjoy the mystery of not knowing you. Take in every exciting opportunity to learn you. Then, fall in love with the anticipation of one day truly understanding you, so that I can become totally obsessed with the beauty of doing all the things that make you smile.",Amari Soul,
208,The Devil's Delusion,"Darwin’s theory of evolution is the last of the great nineteenth-century mystery religions. And as we speak it is now following Freudians and Marxism into the Nether regions, and I’m quite sure that Freud, Marx and Darwin are commiserating one with the other in the dark dungeon where discarded gods gather.",David Berlinski,
209,Anti-Federalist papers,"The evil genius of darkness presided at its birth, it came forth under the veil of mystery, its true features being carefully concealed, and every deceptive art has been and is practicing to have this spurious brat received as the genuine offspring of heaven-born liberty.”",George Clinton,
210,To Love and Be Loved,The traditional gender ideals of the strong-silent man who plays his cards close to his chest and the mysterious woman who disguises her feelings with coyness go so far as to make a virtue of being unavailable and secretive.,Sam Keen,
211,Finding Violet Park,"This books has a touch of mystery, a healthy dose of coming of age and a surprising amount of introspection.",Jenny Valentine,
212,Finding Violet Park,And don’t ask me to solve it because I am the worst.,Jenny Valentine,
213,I Am the Messenger,"Sometimes people are beautiful.
Not in looks.
Not in what they say.
Just in what they are.",Markus Zusak,
214,The Invisible Road,How could I doubt such a miracle? Isn’t it a miracle that the sun rises every day in the east and sets in the west? Isn’t there mystery in all of nature’s wonders? In the movements of the moon or the stillness of the stars?,Rafael Abalos,
215,Something's Fishy,But will catching the thief solve all of the problems that this fishy mystery has created?,Odo Hirsch,
216,A Pack of Lies,"So they waited, and grumbled, and watched the macaroni cheese congeal between them on the table. But MCC Berkshire never came for his supper. Not that night or any night.",Geraldine McCaughrean,
217,Amos and Boris,"Amos, a little speck of a living thing in the vast living universe, felt thoroughly akin to it all. Overwhelmed by the beauty and mystery of everything, he rolled over and over and right off the deck of his boat and into the sea.",William Steig,
218,The People Could Fly,"She flew clumsily at first, with the child now held tightly in her arms. Then she felt the magic, the African mystery.",Sarah,
219,Thunderwith,But where did he come from? Has he been sent to her for a reason? Who will explain his mystery to her?,Lara Ritchie,
220,The Death Book,"Sometimes you start thinking about death... and you might think death is a big mystery. It is hard to understand what death is... not only when you’re little, but when you’re big, too....",Pernilla Stalfelt,
221,Mystery at School,"Bert and Nan and younger brother and sister Freddie and Flossie and their parents are travelling home on the train, discussing the next school term, when a circus train in front of them hits trouble.",Bert,
222,Rasmus and the Vagabond,"Together they meet more adventure than they ever imagined, solve a mystery, catch the culprits, and find Rasmus a home.",Astrid Lindgren,
223,The Happy Prince,"Dear little swallow,’ said the Prince, ‘you tell me of marvelous things, but more marvelous than anything is the suffering of men and women. There is no mystery so great as Misery. Fly over my city, little swallow, and tell me what you see.",Happy Prince,
224,Leepike Ridge,"So,” Jeffrey said, “where do you want me to look?” Elizabeth sighed. She was trying very hard not to yell. Jeffrey had come when she’d called, and he’d nodded while she’d described her early morning search along the stream and up the hill behind the house. But he had yet to look anywhere himself.",Elizabeth,
225,Redwork,"When Cass and his mother move to the upper floor in an old house, a great curiosity develops about Mr. Magnus, who lives on the ground floor.",Mr. Magnus,
226,Redwork 2,The old man stands before his creation. Silently he tends the fires that feed it...waiting for the right moment to unleash its power upon the world.,The Old Man,
227,Weedy Shadow,"He stood motionless before the stove, wearing a tattered dressing gown trimmed with satin, his thin white hair hanging over the collar. A single bare bulb in the ceiling behind him cast his weedy shadow on the wall.",Michael Bedard,
228,Something Sharp,"Now he moved to one side, and Cass gaped in astonishment...It was unlike anything he had ever seen. He instinctively drew back from the hole and something sharp bit deeply into his leg.",Cass,
229,Pair of Trappers,"For the past week his mother, Alison, and he had been hunting them in earnest, setting out the traps around the apartment at night, shaking out the catch come morning, like a pair of trappers tending their line.",Alison,
230,The Snow Spider,The only person who saw her leave the house was the younger brother - which is why he feels particularly guilty about her disappearance.,Jenny Nimmo,
231,My Friend,"When they are together Chris lives a different, more exciting life than when he’s at home or at his strict and traditional grammar school.",Chris,
232,Storm,"He offers to take Annie to town. Before she can protest, Annie finds herself lifted on to his saddle and off they set on an intense, dream-like journey.",Annie,
233,Johnny's Bicycle,"But now the police have found Johnny’s bicycle abandoned along with others belongings he would never let out of his sight. They want to know what Chris and Johnny did together, where they went and why.",Johnny,
