过滤场景ID,过滤框架ID,过滤组件ID,过滤事件码
4,MINI_MAPINFO_NODOWMLOAD_TOP,MapReview,view
4,MINI_MAPINFO_NODOWMLOAD_TOP,Close,view
4,MINI_MAPINFO_NODOWMLOAD_DETAIL,PersonInformation,view
4,MINI_MAPINFO_NODOWMLOAD_DETAIL,Setup,view
4,MINI_MAPINFO_NODOWMLOAD_DETAIL,MultiplePlayer,view
32,BACK_RECOMEND,page,view
4,MINI_MAPINFO_NODOWMLOAD_DETAIL,CheckMap,view
1003,AD_POPUP,AdPlayButton,view
1003,AD_POPUP,CancleButton,view
48,MINI_MAP_NEW_Comment,OrderButton,view
48,MINI_MAP_NEW_Comment,FirstComment,view
4,MINI_ARCHIVEMAP_MANAGEMAP_1,MyMap,view
4,MINI_ARCHIVEMAP_MANAGEMAP_1,DownloadMap,view
4,MINI_ARCHIVEMAP_MANAGEMAP_1,HistoryMap,view
4,MINI_ARCHIVEMAP_MANAGEMAP_1,CollectionMap,view
4,MINI_ARCHIVEMAP_MANAGEMAP_1,CreateMap,view
4,MINI_ARCHIVEMAP_MANAGEMAP_1,Close,view
4,MINI_ARCHIVEMAP_MANAGEMAP_1,MoreMap,view
4,MINI_MAPINFO_NODOWMLOAD_DETAIL,MapShare,view
10000,MINI_LANDINGPAGE_START_1,Announcement,view
10000,MINI_LANDINGPAGE_START_1,LogIn,view
10000,MINI_LANDINGPAGE_START_1,Enter,view
10000,MINI_LANDINGPAGE_START_1,Language,view
10000,MINI_LANDINGPAGE_START_1,offlinemode,view
4,MINI_MAPINFO_NODOWMLOAD_DETAIL,Comments,view
4,MINI_MAPINFO_UPLOAD_DETAIL,Plugin,view
1003,MINI_QUICK_WORD,-,view
1003,MINI_TOOL_BAR,-,view
1003,MINI_TOOL_BAR,ExpressionButton,view
605,MINI_MY_HOMELAND_FRUITINTERFACE,WaterDrop,view
30,TAB_CONTENT_2,SndLevTab,view
22,SHOP_TOP,SurroundingShopMall,view
22,SHOP_TOP,MiniBoxDrawing,view
22,SHOP_TOP,MiniCoin,view
22,SHOP_TOP,MiniBean,view
22,SHOP_TOP,MiniPoint,view
22,SHOP_TOP,WiFi,view
22,SHOP_TOP,Close,view
22,SHOP_LEFT_TAB,Avatar,view
22,SHOP_LEFT_TAB,Skin,view
22,SHOP_LEFT_TAB,Preference,view
22,SHOP_LEFT_TAB,Fragment,view
22,SHOP_LEFT_TAB,Recharge,view
22,SHOP_LEFT_TAB,StoreHouse,view
1003,MINI_GAMEOPEN_GAME_1,Exit,view
1003,SETTING_POPUP,SettingPopup,view
22,SHOP_FRAGMENT_MOUNT,BuyMount,view
1006,MY_MAP_ARCHIVE_LIST,SelectMap,view
3,creation,MapCard,view
7,PERSONAL_INFO_HOMEPAGE,HomelandButton,view
43,PLAYER_INFO_HOMEPAGE,HomelandButton,view
6001,STORE_POPUP,-,view
31,FRIEND_ADDFRIENDS_CONTENT,Playmate,view
22,SHOP_FRAGMENT_ROLE,RoleButton,view
48,MINI_MAP_DETAIL_1,PersonInformation,view
48,MINI_MAP_DETAIL_1,Subscribe,view
48,MINI_MAP_DETAIL_1,MapCollect,view
48,MINI_MAP_DETAIL_1,MapLike,view
48,MINI_MAP_DETAIL_1,Multiplayer,view
48,MINI_MAP_DETAIL_1,OnlineRoom,view
1006,RECOMMENDATION_LIST,SelectMap,view
22,SHOP_FRAGMENT_MOUNT,LevelPreview,view
22,SHOP_RECHARGE,RechargeNote,view
46,FACE_POPUP,Close,view
46,FACE_POPUP,ActivityButton,view
30,MAIL_CONTENT_2,MailCard,view
3,Subject_1_en,More,view
3,Subject_1_en,SubjectCard,view
1003,PLOT_INTERACT_POPUP,Close,view
1003,SETTING_POPUP,,view
1003,ContinueGame,,view
48,MINI_MAP_DETAIL_1,MapDownload,view
1003,HUDOn,,view
4,MINI_MAPINFO_NODOWMLOAD_DETAIL,SinglePlayer,view
22,SHOP_SKIN_FRAME,DressHouse,view
22,SHOP_SKIN_FRAME,OwnedHouse,view
22,SHOP_SKIN_FRAME,ShowNotOwned,view
22,SHOP_SKIN_FRAME,MiniStarWorkShop,view
6001,PROP_DETAILS,StoreCard,view
54,SEARCH_HISTORY,Clear,view
60,DEVELOPER_SHOP_CONTAINER,Warehouse,view
60,DEVELOPER_SHOP_TOP,Close,view
60,DEVELOPER_SHOP_TOP,MiniBeanRecharge,view
60,DEVELOPER_SHOP_TOP,MiniCoinRecharge,view
7,PERSONAL_INFO_HOMEPAGE,IDCertification,view
7,PERSONAL_INFO_HOMEPAGE,UinCopy,view
7,PERSONAL_INFO_HOMEPAGE,MoodSendButton,view
7,PERSONAL_INFO_HOMEPAGE,AvatarLock,view
60,DEVELOPER_SHOP_CONTAINER,AllContent,view
6001,PROP,-,view
6001,PROP_DETAILS,Explain,view
1003,MINI_GAMEROOM_GAME_1,Grade,view
3,creation_vn,QuickStart,view
3,creation_vn,DownloadMap,view
7,PERSONAL_INFO_TOP,Help,view
7,PERSONAL_INFO_TOP,Close,view
7,PERSONAL_INFO_CONTAINER,HomePageContent,view
7,PERSONAL_INFO_CONTAINER,MapContent,view
7,PERSONAL_INFO_CONTAINER,UpdatesContent,view
7,PERSONAL_INFO_CONTAINER,MedalContent,view
7,PERSONAL_INFO_CONTAINER,Settings,view
7,PERSONAL_INFO_TOP,AuthorCenter,view
1005,AVATAR_INTERACTION,AvatarPit,view
1003,MORE_TELESCOPIC_BAR,Activity,view
1003,MORE_TELESCOPIC_BAR,Friend,view
1003,MORE_TELESCOPIC_BAR,Shop,view
4,MINI_ARCHIVEMAP_HISTORYMAP_1,SmallContentCard,view
3,creation_en,QuickStart,view
5004,RESOURCE_BACKPACK_SHORTCUTBAR,-,view
5005,MINI_ADVANCEDMODEASSEMBLING_BACKPACK,BackPackMain,view
1003,PLOT_INTERACT_POPUP,LeaveOption,view
3,creation_en,DownloadMap,view
22,SHOP_STOREHOUSE_USEPRON,Close,view
3,MINI_WORKSHOP_SUBJECT_1,MapCard,view
1001,FAST_PURCHASE_POPUP,PurchaseButton,view
3,MINI_WORKSHOP_SUBJECT_1,DownloadMap,view
43,PLAYER_INFO_HOMEPAGE,UinCopy,view
1003,MINI_GAMEROOM_GAME_1,AdLimitButton,view
22,SHOP_WELFARE_FRAME,WelfareShop,view
22,SHOP_WELFARE_FRAME,WelfareDraw,view
6001,STORE_POPUP,AdPurchaseButton,view
22,SHOP_STOREHOUSE,SearchButton,view
22,SHOP_STOREHOUSE,More,view
22,SHOP_STOREHOUSE,FilterBar,view
43,PLAYER_INFO_TOP,page,view
43,PLAYER_INFO_TOP,Help,view
43,PLAYER_INFO_TOP,Close,view
43,PLAYER_INFO_CONTAINER,HomePageContent,view
43,PLAYER_INFO_CONTAINER,MapContent,view
43,PLAYER_INFO_CONTAINER,UpdatesContent,view
43,PLAYER_INFO_CONTAINER,MedalContent,view
43,PLAYER_INFO_TOP,Report,view
43,PLAYER_INFO_HOMEPAGE,,view
43,PLAYER_INFO_HOMEPAGE,FriendRequestButton,view
43,PLAYER_INFO_HOMEPAGE,FollowButton,view
48,MINI_MAP_DETAIL_1,SinglePlayer,view
4,MINI_ARCHIVEMAP_DOWNLOADMAP_1,AddCapacity,view
415,GAME_END,GameExit,view
59,USER_INFO_CARD,AddFriends,view
3,Subject_1_en,ClickMore,view
3,Gallery_Featured_en,RefreshButton,view
3,Gallery_Featured_en,ClickMore,view
3,critic,RefreshButton,view
3,critic,ClickMore,view
3,MINI_WORKSHOP_CONTAINER_1,CollectionContent,view
3,MINI_WORKSHOP_CONTAINER_1,SpecialContent,view
3,MINI_WORKSHOP_CONTAINER_1,SearchContent,view
3,MINI_WORKSHOP_CONTAINER_1,MaterialContent,view
3,MINI_WORKSHOP_CONTAINER_1,MapContent,view
3,MINI_WORKSHOP_CONTAINER_1,HomeContent,view
3,MINI_WORKSHOP_BANNER_1,LeftPage,view
3,MINI_WORKSHOP_TOP_1,Help,view
3,MINI_WORKSHOP_BANNER_1,RightPage,view
3,MINI_WORKSHOP_TOP_1,Close,view
3,MINI_WORKSHOP_CONTAINER_1,ResourceContent,view
1001,FAST_PURCHASE_POPUP,AdPurchaseButton,view
605,MINI_MY_HOMELAND_FRUITINTERFACE,Fruit_Free,view
6001,PROP_DETAILS,Close,view
6001,PROP_DETAILS,PurchaseButton,view
1003,MINI_GAMEOPEN_GAME_1,ShareButton,view
605,MINI_MY_HOMELAND_FRIEND,Watering,view
22,SHOP_PREFERENCE_GRAFFITI,Buybutton,view
30,TAB_CONTENT_2,OneLevTab,view
22,SHOP_AVATAR_FRAME,AvatarShop,view
22,SHOP_AVATAR_FRAME,AvatarOwnedHouse,view
11,MINI_MLMAP_INTRO_1,MapReport,view
11,MINI_MLMAP_INTRO_1,Close,view
11,MINI_MLMAP_INTRO_1,MapCollect,view
11,MINI_MLMAP_INTRO_1,Maplookup,view
11,MINI_MLMAP_INTRO_1,JoinButton,view
1003,ROOM_INFORMATION,page,view
1003,"ROOM_INFORMATION	",AddFriendExposure ,view
22,SHOP_PREFERENCE_PRON,PronShow,view
22,SHOP_AVATAR_FRAME,MiniStarWorkShop,view
21,ACTIVITIES_TOP,Close,view
21,ACTIVITIES_CONTAINER,FeaturedContent,view
21,ACTIVITIES_CONTAINER,AvtivityContent,view
21,ACTIVITIES_CONTAINER,BonusContent,view
21,ACTIVITIES_CONTAINER,AnnouncementContent,view
21,ACTIVITIES_CONTAINER,RecommendMapContent,view
21,ACTIVITIES_CONTAINER,NoviceTaskContent,view
22,SHOP_WELFARE_SHOP,Cleanup,view
22,SHOP_WELFARE_SHOP,Question,view
22,SHOP_WELFARE_SHOP,ConsumeReward,view
1005,INVITATION_LIST_CONTAINER,ExternalInvitation,view
1005,INVITATION_LIST_CONTAINER,Friends,view
1005,INVITATION_LIST_CONTAINER,Recent,view
31,FRIEND_ADDFRIENDS_CONTENT,SearchResult,view
1005,TEAM_MATCH_TOP,QuitTeam,view
1005,TEAM_MATCH_TOP,Minimize,view
1005,TEAM_MATCH_CONTAINER,InputBox,view
1005,TEAM_MATCH_CONTAINER,MemberRecall,view
1005,TEAM_MATCH_CONTAINER,MapSelection,view
1005,TEAM_MATCH_CONTAINER,MapRecommendation,view
1005,TEAM_MATCH_CONTAINER,ReadyButton,view
1005,TEAM_MATCH_CONTAINER,GameStart,view
1005,TEAM_MATCH_CONTAINER,ListUnfold,view
1303,ROOM_SETTINGS,GameStart,view
1303,ROOM_LIST_CREAT_ROOM,Close,view
1303,ROOM_SETTINGS,Close,view
1303,ROOM_SETTINGS,MaxMember,view
1303,ROOM_SETTINGS,RoomAuthority,view
1303,ROOM_SETTINGS,GameStyle,view
1303,ROOM_SETTINGS,PassWordInput,view
1005,TEAM_MATCH_CONTAINER,SpeakeButton,view
1303,ROOM_SETTINGS,BackUpButton,view
1005,TEAM_MATCH_CONTAINER,MikeButton,view
22,SHOP_WELFARE_DRAW,Fishing1,view
22,SHOP_WELFARE_DRAW,Fishing10,view
22,SHOP_WELFARE_DRAW,OptionalAwards,view
22,SHOP_Dreambox,jumpflash,view
22,SHOP_Dreambox,Rewardbutton,view
22,SHOP_Dreambox,ShardShopbutton,view
22,SHOP_Dreambox,Exchangestorebutton,view
22,SHOP_Dreambox,addupnumber,view
54,SEARCH_TOP,Close,view
54,SEARCH_ENTRY,InputBox,view
54,SEARCH_ENTRY,StartSearch,view
54,SEARCH_ENTRY,Clear,view
3,Page2_Gallery_Featured_en,DownloadMap,view
54,SEARCH_PAGE,-,view
34,MINI_RESOURCECENTER_TOP_1,Close,view
416,MINI_MAP_NEW_Comment,FirstCommentDislike,view
416,MINI_MAP_NEW_Comment,FirstCommentLike,view
9815,TREASURE_MAINPAGE,ItemIcon,view
605,MINI_MY_HOMELAND_FRUITINTERFACE,StoreHouse,view
605,MINI_MY_HOMELAND_FRUITINTERFACE,PictorialBook,view
605,MINI_MY_HOMELAND_FRUITINTERFACE,Fruit_Glod,view
7,PERSONAL_INFO_UPDATES,Updates,view
7,PERSONAL_INFO_UPDATES,Comment,view
7,PERSONAL_INFO_UPDATES,Like,view
7,PERSONAL_INFO_UPDATES,Avatar,view
7,PERSONAL_INFO_UPDATES,SendUpdatesButton,view
605,MINI_MY_HOMELAND_FRUITINTERFACE,ActivityCoupon,view
6001,PROP_DETAILS,AdPurchaseButton,view
605,MINI_MY_HOMELAND_FRUIT_TOP,Close,view
605,MINI_MY_HOMELAND_FRUITINTERFACE,Fruit_Friends_List_Button,view
54,SEARCH_HOT_WORDS,ChangeOneBatch,view
22,SHOP_FRAGMENT_FRAME,MountButton,view
22,SHOP_FRAGMENT_FRAME,RoleButton,view
22,SHOP_FRAGMENT_MOUNT,MountIntro,view
22,SHOP_Starbox,ShowProbability,view
22,SHOP_Starbox,jumpflash,view
22,SHOP_Starbox,Rewardbutton,view
22,SHOP_Starbox,ShardShopbutton,view
22,SHOP_Starbox,Exchangestorebutton,view
22,SHOP_Starbox,addupnumber,view
43,PLAYER_INFO_UPDATES,Updates,view
43,PLAYER_INFO_UPDATES,Comment,view
43,PLAYER_INFO_UPDATES,Like,view
21,FEATURED_CONTENT,ActivityButton,view
2202,SHOP_SKIN_DETAILS,MiniBean,view
2202,SHOP_SKIN_DETAILS,MiniCoin,view
2202,SHOP_SKIN_DETAILS,MiniPoint,view
3,creation,QuickStart,view
3,creation,DownloadMap,view
31,FRIEND_FRIEND_CONTENT,FriendApply,view
22,SHOP_STOREHOUSE_USEPRON,Extract,view
1003,MINI_GAMEROOM_GAME_1,Comment,view
43,PLAYER_INFO_MAP,PlayerWorksContent,view
43,PLAYER_INFO_MAP,PlayerFavoritesContent,view
605,MINI_MY_HOMELAND_FRIENDS_LIST_CARD,Fruit_Friends_Card,view
1004,ROOM_LIST_CONTAINER,DownLoadButton,view
22,SHOP_STOREHOUSE_USEPRON,Use,view
1302,ROOM_SETTINGS,GameStart,view
1302,ROOM_LIST_CREAT_ROOM,Close,view
1302,ROOM_SETTINGS,Close,view
1302,ROOM_SETTINGS,MaxMember,view
1302,ROOM_SETTINGS,RoomAuthority,view
1302,ROOM_SETTINGS,GameStyle,view
1302,ROOM_SETTINGS,PassWordInput,view
1302,ROOM_SETTINGS,BackUpButton,view
3,Page2_Gallery_Featured_en,MapCard,view
416,MINI_MAP_NEW_Comment,FirstCommentInput,view
60,DEVELOPER_SHOP_CONTAINER,WeaponContent,view
4,MINI_MAPINFO_NODOWMLOAD_DETAIL,Upload,view
10,MINI_MUTIPLAYERLOBBY_ALLCON_1,Refresh,view
1005,TEAM_MATCH_TOP,TeamSettings,view
22,SHOP_FRAGMENT_ROLE,RoleIntro,view
22,SHOP_FRAGMENT_ROLE,ShareButton,view
1003,FAST_PURCHASE_POPUP,PurchaseButton,view
60,DEVELOPER_SHOP_CONTAINER,EquipmentContent,view
3,Page2_critic,DownloadMap,view
22,SHOP_STOREHOUSE_USEPRON,AllRecovery,view
1005,MINIMIZE_HOOVER_BOARD,TeamReturn,view
1003,MINI_GAMEOPEN_GAME_1,ShopEntranceButton,view
2202,SHOP_SKIN_DETAILS,PermanentPurchase,view
4,MINI_MAPINFO_NODOWMLOAD_DETAIL,MapDownload,view
10000,OFFLINE_MODE_POPUP,offlineconfirm,view
10000,OFFLINE_MODE_POPUP,offlinecancel,view
22,SHOP_LEFT_TAB,Recommend,view
4,MINI_MAPINFO_UPLOAD_DETAIL,MapDownload,view
7,PERSONAL_INFO_MAP,MyWorksContent,view
7,PERSONAL_INFO_MAP,MyFavoritesContent,view
10000,MINI_LANDINGPAGE_START_1,Switchuid,view
31,FRIEND_CHAT_CONTENT,,view
22,SHOP_AVATAR_PRESERVE_3,BuyOne,view
1005,TEAM_EXIT_POPUP,ConfirmButton,view
1005,TEAM_EXIT_POPUP,CancleButton,view
1003,MINI_GAMEOPEN_GAME_1,View,view
1007,TEAM_LIST_TOP,Return,view
1007,TEAM_LIST_CONTAINER,CreatTeam,view
22,SHOP_AVATAR_PRESERVE_3,DeleteAvatar,view
1007,TEAM_LIST_CONTAINER,SearchButton,view
1007,TEAM_LIST_CONTAINER,RefreshButton,view
1003,SOCIA_HALL_TOP,-,view
1007,TEAM_LIST,TeamCard,view
4,MINI_MAPINFO_UPLOAD_DETAIL,Backup,view
3,MINI_WORKSHOP_MAPREC_1,ContentComboBox,view
3,MINI_WORKSHOP_MAPREC_1,RankComboBox,view
3,MINI_WORKSHOP_MAPREC_1,Refresh,view
4,MINI_MAPINFO_UPLOAD_DETAIL,Material,view
22,SHOP_STOREHOUSE_RECOVERY,Cancel,view
22,SHOP_STOREHOUSE_RECOVERY,Recovery,view
22,SHOP_STOREHOUSE_RECOVERY,Close,view
2801,INVITE_POP_UP,-,view
2202,SHOP_SKIN_DETAILS,GiveAway,view
3,Page2_critic,MapCard,view
30,MAIL_TOP_2,-,view
22,SHOP_WELFARE_OPTIONALAWARDS,PropButton,view
5003,MAIN_EDITING_SCENE,-,view
1003,FAST_PURCHASE_POPUP,AdPurchaseButton,view
402,MINI_CREATEWORLD__MODESELECTION_1,Close,view
4,MINI_MAPINFO_UPLOAD_DETAIL,EditVideo,view
1005,MESSAGE_LIST,Send,view
1003,MINI_GAMEROOM_GAME_1,Resource,view
1003,KICK_OUT_WARNNING,ConfirmButton,view
1003,KICK_OUT_WARNNING,CancleButton,view
1003,SOCIA_HALL_TOP,GameExit,view
10000,ACCOUNT_MANAGEMENT_POPUP,SwitchAccount,view
10000,ACCOUNT_MANAGEMENT_POPUP,Close,view
1005,INTERACTIVE_POPUP,CaptainTransfer,view
1005,INTERACTIVE_POPUP,RemoveButton,view
1005,INTERACTIVE_POPUP,PersonalCenter,view
60,DEVELOPER_SHOP_CONTAINER,FoodContent,view
59,USER_INFO_CARD_2,InformationCenter,view
1006,TEAM_MAP_CONTAINER,Recommadation,view
1006,TEAM_MAP_CONTAINER,CreatNewMap,view
1006,TEAM_MAP_CONTAINER,Close,view
1006,TEAM_MAP_CONTAINER,MyMapArchive,view
22,SHOP_STOREHOUSE_USEPRON,Sure,view
615,MINI_MY_HOMELAND_SHOP_TAB,AllTab,view
605,MINI_MY_HOMELAND_FRIEND,Lnsecticidal,view
2106,SIGNIN,Buqiancheck,view
5012,MINI_ADVANCEDMODE_RANK,RankButton,view
4,MINI_MAPINFO_UPLOAD_DETAIL,Delete,view
22,SHOP_PREFERENCE_DRAWGIFT_REWARD,Sure,view
22,SHOP_GUN_CATION,SubmachineGunTab,view
22,SHOP_GUN_CATION,HeavyMachineGunTab,view
22,SHOP_GUN_CATION,SniperRifleTab,view
22,SHOP_GUN_CATION,PistolTab,view
22,SHOP_GUN_CATION,SwordTab,view
22,SHOP_WELFARE_BUYCONFIRM,GetMiniPiont,view
22,SHOP_WELFARE_BUYCONFIRM,BuyComfirm,view
22,SHOP_WELFARE_BUYCONFIRM,Close,view
3910,GUIDE_PAGE,-,view
408,PIANO_DETAILS,ChangeCamera,view
59,USER_INFO_CARD,PrivateChat,view
10000,SIGN_IN_PAGE,Register,view
10000,SIGN_IN_PAGE,UidLogin,view
10000,SIGN_IN_PAGE,Guest,view
60,DEVELOPER_SHOP_CONTAINER,PropContent,view
416,MINI_MAP_NEW_Comment,OrderButton,view
416,MINI_MAP_NEW_Comment,FirstComment,view
4,MINI_MAPINFO_NODOWMLOAD_DETAIL,Delete,view
1003,MINI_GAMEROOM_GAME_1,UIedit,view
4,MINI_MAPINFO_NODOWMLOAD_DETAIL,Material,view
4,MINI_MAPINFO_NODOWMLOAD_DETAIL,Backup,view
409,RESURRECTION_NEW_GETREWARD,Sure,view
3,Page2_Subject_1_en,MapCard,view
1003,TOOL_MODEL_BOTTOM,ToolModelNoSelect,view
10000,SIGN_IN_PAGE,FacebookLogin,view
22,SHOP_WELFARE_SHOP,MountTab,view
4,MINI_MAPINFO_NODOWMLOAD_DETAIL,Plugin,view
3,Page2_Subject_1_en,DownloadMap,view
1003,MINI_GAMEROOM_GAME_1,Message,view
4,MINI_ARCHIVEMAP_COLLECTMAP_1,SmallContentCard,view
1003,MINI_VOICE_CHAT,VoicechatButton,view
3,MINI_WORKSHOP_COLLECT_1,RankComboBox,view
3,MINI_WORKSHOP_COLLECT_1,ContentComboBox,view
3,MINI_WORKSHOP_COLLECT_1,Refrech,view
631,MINI_MY_HOMELAND_DAILYTASKLIST,Task,view
614,NOT_ENOUGH_PROPS,Minibean_Unlock_Button,view
7,MOOD_SEND_POPUP,Close,view
7,MOOD_SEND_POPUP,Input,view
7,MOOD_SEND_POPUP,Emoji,view
7,MOOD_SEND_POPUP,SendButton,view
7,MOOD_SEND_POPUP,CancleButton,view
22,SHOP_WELFARE_SHOP,AvatarTab,view
22,SHOP_AVATAR_PRESERVE_1,Cancel,view
22,SHOP_AVATAR_PRESERVE_1,-,view
22,SHOP_AVATAR_PRESERVE_1,Preserve,view
30,MAIL_POP_2,MailPop,view
7,PERSONAL_INFO_SETTINGS,AvatarFrame,view
7,PERSONAL_INFO_SETTINGS,NameChange,view
7,PERSONAL_INFO_SETTINGS,Gender,view
10,MINI_MUTIPLAYERLOBBY_CRECON_1,Refresh,view
7,PERSONAL_INFO_SETTINGS,UpdatesReplyLimit,view
7,PERSONAL_INFO_SETTINGS,UpdatesViewLimit,view
7,PERSONAL_INFO_SETTINGS,Close,view
609,MINI_MY_HOMELAND_FREE,MatureImmediately,view
10,MINI_MUTIPLAYERLOBBY_BATCON_1,Refresh,view
30,MAIL_CONTENT,MailCard,view
30,MAIL_CONTENT,Check,view
30,MAIL_CONTENT,GetButton,view
60,DEVELOPER_SHOP_CONTAINER,ToolContent,view
49,MINI_MAP_UPLOAD,MapName,view
49,MINI_MAP_UPLOAD,MapMode,view
49,MINI_MAP_UPLOAD,MapIntro,view
49,MINI_MAP_UPLOAD,UploadSitting,view
49,MINI_MAP_UPLOAD,CustomCover,view
2203,SHOP_GiVEORASKFOR_TOFRIEND,GiveOrAsk1,view
3,creation_vn,ClickMore,view
22,SHOP_SKIN_DRESSHOUSE,SkinButton,view
605,MINI_MY_HOMELAND_FRUITINTERFACE,Fruit_Friends_Watering,view
22,SHOP_AVATAR_WISHLIST,BuyOne,view
22,SHOP_AVATAR_WISHLIST,DeleteAvatar,view
10,MINI_MUTIPLAYERLOBBY_PARCON_1,Refresh,view
1003,MINI_GAMEROOM_GAME_1,Record,view
22,SHOP_WELFARE_SHOP,PronTab,view
22,SHOP_STOREHOUSE_USEPRON,AllUse,view
35,MINI_RESOURCESHOP_MAIN_1,-,view
35,MINI_RESOURCESHOP_CONTAINER_1,-,view
59,USER_INFO_CARD_2,PrivateChat,view
59,USER_INFO_CARD_2,AddFriend,view
22,SHOP_SKIN_DRESSHOUSE,Skin,view
9,MINI_BEAN_RECHARGE_TOP,close,view
60,DEVELOPER_SHOP_CONTAINER,OtherContent,view
10,MINI_MUTIPLAYERLOBBY_ADVCON_1,Refresh,view
22,SHOP_PREFERENCE_PRONDETAIL,GiftToFriend,view
4,MINI_MAPINFO_UPLOAD_DETAIL,Edited,view
60,DEVELOPER_SHOP_CONTAINER,GiftContent,view
60,DEVELOPER_SHOP_WEAPON,Props,view
22,SHOP_RECOMMEND,SeriesDress,view
54,SEARCH_ENTRY_NEW,SearchEntryNew,view
22,SHOP_FRAGMENT_MOUNT,ChooseMount,view
3,creation_en,ClickMore,view
10,MINI_MUTIPLAYERLOBBY_PUZCON_1,Refresh,view
59,USER_INFO_CARD_2,CaptainTransfer,view
59,USER_INFO_CARD_2,KicOut,view
60,DEVELOPER_SHOP_CONTAINER,ConsumablesContent,view
1003,MINI_GAMEROOM_GAME_1,Devtool,view
1003,MINI_GAMEROOM_GAME_1,Plugin,view
4,MINI_MAPINFO_UPLOAD_DETAIL,Cancled,view
48,MINI_MAP_NEW_Control,CloseArea,view
10,MINI_MUTIPLAYERLOBBY_ROOMCON_1,SmallMapCard,view
22,SHOP_AVATAR_PRESERVE_3,MiniBean,view
22,SHOP_AVATAR_PRESERVE_3,MiniCoin,view
22,SHOP_AVATAR_PRESERVE_3,JoinWishList,view
22,SHOP_AVATAR_PRESERVE_3,Purchase,view
1003,MINI_GAMEROOM_GAME_1,GameOpenSkinChange,view
22,SHOP_WELFARE_SHOP,PriceButton,view
22,SHOP_WELFARE_SHOP,Goods,view
49,MINI_MAP_UPLOAD,Upload,view
22,SHOP_AVATAR_PRESERVE_3,NotOwnedAvatar,view
5012,MINI_ADVANCEDMODE_RANK,RankList,view
22,SHOP_STOREHOUSE_USEPRON,Unlocking,view
22,SHOP_STOREHOUSE_FILTERBAR,All,view
22,SHOP_STOREHOUSE_FILTERBAR,Function,view
22,SHOP_STOREHOUSE_FILTERBAR,Fragment,view
30,MAIL_CONTENT,JumpButton,view
