ID,名字,描述,获得方式
107,자갈 더미,"단단하지 않은 자갈 더미, 삽 도구는 빠르게 채굴될 수 있습니다. #r 아래가 비어 있으면 그 위에 서 있으면 무너질 것입니다. 단단히 서 있도록 조심하십시오.",
108,평범한 노란색 벽돌,황사에서 발사된 건축 자재,
109,모래,"식물이 자랄 수 없는 막대기, 삽 도구는 빠르게 채굴할 수 있습니다.",
110,흩어진 돌,채굴 후 얻은 바람에 의해 착용된 작은 암석은 석기를 가공하는 데 사용됩니다.,
111,게임 버전이 너무 낮습니다.,가서 최신 게임 버전을 다운로드하세요!,
112,블랙 스파,공허의 유령에 영향을 받아 지질 구조가 급격히 변화하여 광석은 더 이상 존재하지 않습니다.,
113,바삭바삭한 얼음,물 위의 부서지기 쉬운 얼음은 부서진 후 별로 변하고 하늘과 땅 사이에서 사라집니다.,
114,실트,"수중 구름, 삽 도구는 빠르게 채굴할 수 있습니다.",
115,부드러운 눈,"4분의 1 높이의 부드러운 눈 시트, 두께를 변경할 수 있도록 쌓을 수 있습니다.",
116,귀여운 아이 스타 스톤,Cute Eye Star의 특수 돌은 강력한 폭발 방지 능력을 가지고 있으며 #c0aba1d 비밀 은 곡괭이 #n 또는 더 고급 곡괭이 도구로 채굴해야 합니다.,
117,귀여운 눈의 별 잔디 블록,귀여운 눈동자의 풀에는 식물의 성장에 필요한 영양소가 들어 있습니다. #c0aba1d 미트릴 삽 #n 또는 그 이상의 고급 삽 도구를 사용하여 채굴하십시오.,
118,귀여운 눈동자 구름,Cute Eye Star Island 주변의 구름은 당신이 그들을 밟으면 부서지기 시작할 것입니다,
119,건조한 토양,Cute Eye에서 Myra의 덩어리를 지구의 식물 배양 배지에 배치하여 영양분을 유지해야 합니다. 그렇지 않으면 영양분을 잃고 건조한 토양이 됩니다.,
120,얼어 붙은 토양,저온에서는 @item_100# 및 @item_101#이 @item_120#으로 변환됩니다. 추위를 좋아하는 식물은 그러한 토양 위에서 자랄 필요가 있습니다.,
121,얼어 붙은 토양 구덩이,추위를 선호하는 꽃 씨앗과 묘목을 심을 수 있습니다,
122,두꺼운 눈,뜨거운 #c0aba1d마그마 #n 만나거나 고온 환경에서 물에 녹는 두꺼운 눈은 #c0aba1d#n 주변의 온도를 약간 낮춥니다.,
123,천연 얼음,춥고 눈이 많이 내리는 지역에서 흔히 볼 수 있는 곡괭이 도구는 빠르게 채굴할 수 있으며 고온 환경#n#c0aba1d 만나면 물에 녹아 #c0aba1d#n 주변의 온도를 약간 낮춥니다.,
124,파이록센,곡괭이 도구로 빠르게 채굴할 수 있는 불타는 별의 흔한 바위,
125,불타는 모래,타는 듯한 냄새를 풍기는 황사는 삽 도구로 빠르게 채굴할 수 있습니다.,
126,모구 바위,알려지지 않은 장소의 돌은 폭발로 인해 쉽게 파괴되지 않습니다.,상인은 때때로 판매합니다
127,폼 블록,장식 사각형,
128,붉은 모래,미네랄 성분이 풍부한 희귀한 붉은 모래 더미는 가연성 얼음과 혼합하면 매우 불안정해질 수 있습니다.,후기 섬과 산호 섬에서 가끔 발견됩니다.
129,두꺼운 눈,,
130,두꺼운 눈사태,함께 눈사람을 만들거나 눈싸움을 하고 싶다,
131,단단한 얼음,흔들릴 수 없는 초강력 얼음,
132,유황 수정 모래,불꽃별의 용암에 나타나 텅스텐 금삽#n#c0aba1d 채굴이 가능하다. 그것은 혼란스러운 결정을 만드는 재료 중 하나입니다. 그것은 액체에 의해 막히면 폭발할 것이다.,#c0aba1d인생은 소중하니 게임 내 행동을 흉내내지 말아주세요#n
133,빈 벌집,이제 머물 꿀이 없어 복숭아나무 잎#c0aba1d 꿀을 축적할 수 #n,
134,풀 벌집,"꿀로 가득 찬 벌집, 꿀벌을 조심하세요! 병에 든 꿀을 위해 작은 유리병을 사용하세요.",
135,신비한 토템 - 지구,고대 문명에서 매우 중요한 석상은 이제 장식적인 것일 뿐입니다.,귀여운 눈동자 별 마야 문명 유물 컬렉션
136,미스터리 토템 - 하늘,고대 문명에서 매우 중요한 석상은 이제 장식적인 것일 뿐입니다.,귀여운 눈동자 별 마야 문명 유물 컬렉션
137,귀여운 눈별 분화구,,
138,오염 큐브,,
139,블록을 이용한 보스 전투,,
140,라이브스톤,"고대 영웅들에 의해 지어진 마법의 제단은 미라의 생명력을 상징합니다; 전설에 따르면, 세 종류의 제단에 상응하는 신성한 물체를 배치하면 행성의 창조력을 방출하고 사악한 것들이 나타나도록 강요할 수 있습니다.",
141,용기의 돌,고대 영웅들에 의해 지어진 마법의 제단은 불꽃 별의 용기와 힘을 나타냅니다. 전설에 따르면 세 개의 제단에 해당하는 성물을 배치하면 행성의 창조력을 방출하고 사악한 것들이 나타나도록 강제할 수 있습니다.,
142,지혜의 돌,"고대 영웅들이 지은 마법의 제단은 귀여운 눈의 별의 지혜와 힘을 상징합니다. 전설에 따르면, 세 종류의 제단에 상응하는 신성한 물체를 배치하면 행성의 창조력을 방출하고 사악한 것들이 나타나도록 강요할 수 있습니다.",
143,부서진 제단,"고대 제단은 그 시대 때문에 원래의 상태를 회복하지 못하고 마법을 잃은 후 발굴되었다. 전설#r 고대 영웅들이 화산에 세 개의 신성한 제단을 세우고 그 위에 세 개의 신성한 물체를 놓아 행성을 풀어줄 수 있다는 전설이 있다. 창조의 힘, 사악한 것들이 나타나도록 강요한다.",
144,빨간 머틀 유리병,배치 시 작은 주변 영역을 조명합니다.,텅 빈 섬 지형에서 작은 유리병에 나비 잡기
145,블루 나비 유리병,배치 시 작은 주변 영역을 조명합니다.,텅 빈 섬 지형에서 작은 유리병에 나비 잡기
146,향긋한 나비 유리병,배치 시 작은 주변 영역을 조명합니다.,텅 빈 섬 지형에서 작은 유리병에 나비 잡기
147,하얀 나비 유리병,배치 시 작은 주변 영역을 조명합니다.,텅 빈 섬 지형에서 작은 유리병에 나비 잡기
148,롱신디 유리병,배치 시 작은 주변 영역을 조명합니다.,텅 빈 섬 지형에서 작은 유리병에 나비 잡기
149,혀 벨 나비 유리병,배치 시 작은 주변 영역을 조명합니다.,텅 빈 섬 지형에서 작은 유리병에 나비 잡기
150,후기 경작지,특수 작물을 재배할 수 있으며 물 근처에서 촉촉하게 유지하거나 샤워로 관개해야 합니다.,레이크를 사용하여 후자를 회수하여 획득
151,후자의 구덩이,특수 식물을 재배할 수 있으며 물 근처에서 촉촉하게 유지하거나 샤워로 관개해야 합니다.,삽을 사용하여 후자를 회수하여 얻습니다.
152,행성 암석 수직 판,다양한 두께로 쌓을 수 있는 라이트 슬래브 설치,장인의 테이블에서 귀여운 아이 스타 스톤으로 가공
153,대나무 판자 수직 시트,다양한 두께로 쌓을 수 있는 직립 라이트 나무 보드,장인의 식탁에서 대나무로 가공
154,카민 수직 시트,다양한 두께로 쌓을 수 있는 직립 라이트 나무 보드,장인의 테이블에 카민 페인트로 칠하기
155,시멘트 벽돌 수직 시트,다양한 두께로 쌓을 수 있는 라이트 슬래브 설치,장인의 테이블에서 시멘트 벽돌로 가공
156,유황 벽돌 수직 시트,다양한 두께로 쌓을 수 있는 라이트 슬래브 설치,장인의 테이블에서 유황 벽돌로 작업
157,돌 수직 시트,다양한 두께로 쌓을 수 있는 라이트 슬래브 설치,장인의 식탁에서 돌로 작업
158,세련된 돌 벽돌 수직 시트,다양한 두께로 쌓을 수 있는 라이트 슬래브 설치,장인의 테이블에서 바위로 작업
159,티타늄 합금 수직 시트,두께를 변경하기 위해 쌓을 수 있는 직립 얇고 가벼운 금속판,장인의 테이블에서 티타늄 합금으로 가공
160,황동 수직 시트,두께를 변경하기 위해 쌓을 수 있는 직립 얇고 가벼운 금속판,장인의 테이블에서 놋쇠로 작업
161,미카 수직 시트,두께를 변경하기 위해 쌓을 수 있는 직립 얇고 가벼운 금속판,장인의 테이블에서 미카로 처리
162,미트릴 수직 플레이트,두께를 변경하기 위해 쌓을 수 있는 직립 얇고 가벼운 금속판,장인의 테이블에서 미트릴로 처리
163,타오르는 수직 플레이트,두께를 변경하기 위해 쌓을 수 있는 직립 얇고 가벼운 금속판,장인의 테이블에서 타오르는 불꽃으로 처리
164,레몬 옐로우 수직 플레이트,다양한 두께로 쌓을 수 있는 직립 라이트 나무 보드,장인의 책상에 레몬 노란색 페인트로 칠하기
165,라임 수직 시트,다양한 두께로 쌓을 수 있는 직립 라이트 나무 보드,장인의 식탁에서 라임 페인트로 그림 그리기
166,깊은 밤 빨간 수직 얇은 접시,다양한 두께로 쌓을 수 있는 직립 라이트 나무 보드,장인의 식탁에 밤 마호가니 페인트로 칠하기
167,선셋 오렌지 수직 플레이트,다양한 두께로 쌓을 수 있는 직립 라이트 나무 보드,장인의 책상에 일몰 오렌지 페인트로 칠하기
168,베고니아 레드 수직 플레이트,다양한 두께로 쌓을 수 있는 직립 라이트 나무 보드,장인의 책상에서 베고니아 레드 페인트로 칠하기
169,아이보리 화이트 세로 시트,다양한 두께로 쌓을 수 있는 직립 라이트 나무 보드,장인의 책상에 상아색 흰색 페인트로 칠함
170,가을 잎 오렌지 수직 접시,다양한 두께로 쌓을 수 있는 직립 라이트 나무 보드,장인의 책상에 가을 잎 주황색 페인트로 칠하기
171,수직 시트,다양한 두께로 쌓을 수 있는 직립 라이트 나무 보드,장인의 식탁에서 나무로 작업
172,노란색 벽돌 수직 시트,다양한 두께로 쌓을 수 있는 라이트 슬래브 설치,장인의 테이블에서 노란색 벽돌로 처리
173,망간 블록 수직 시트,두께를 변경하기 위해 쌓을 수 있는 직립 얇고 가벼운 금속판,장인 스테이션에서 망간 결절로 처리
174,연한 회색 수직 시트,다양한 두께로 쌓을 수 있는 직립 라이트 나무 보드,장인의 책상에 밝은 회색 페인트로 칠함
200,벚나무,벚나무 줄기는 @item_800 # to @item_11323 #에서 처리 가능하며 장식에 사용할 수 있으며 연료로도 사용할 수 있습니다.,도끼 도구에 #c0aba1d을 넣어 완전한 #n룬을 얻은 다음 잘라내어 얻습니다.
201,라치,@item_800 # to @item_11323 #에서 처리할 수 있는 라치 트렁크는 장식용으로 사용할 수 있으며 연료로도 사용할 수 있습니다.,도끼 도구에 #c0aba1d을 넣어 완전한 #n룬을 얻은 다음 잘라내어 얻습니다.
202,포플러,포플러 트렁크는 @item_800 # to @item_11323 #에서 처리 가능하며 장식에 사용할 수 있으며 연료로도 사용할 수 있습니다.,도끼 도구에 #c0aba1d을 넣어 완전한 #n룬을 얻은 다음 잘라내어 얻습니다.
203,삼나무,@item_800 # to @item_11323 #에서 처리 가능한 삼나무 트렁크는 장식에 사용할 수 있으며 연료로도 사용할 수 있습니다.,도끼 도구에 #c0aba1d을 넣어 완전한 #n룬을 얻은 다음 잘라내어 얻습니다.
204,난무,난무 트렁크는 @item_800 # to @item_11323 #에서 처리 가능하며 장식에 사용할 수 있으며 연료로도 사용할 수 있습니다.,도끼 도구에 #c0aba1d을 넣어 완전한 #n룬을 얻은 다음 잘라내어 얻습니다.
205,호두,호두나무 줄기는 @item_800 # to @item_11323 #에서 처리 가능하며 장식에 사용할 수 있으며 연료로도 사용할 수 있습니다.,도끼 도구에 #c0aba1d을 넣어 완전한 #n룬을 얻은 다음 잘라내어 얻습니다.
206,나무판,목조건물에 널리 사용되는 기본 건축자재,장인의 식탁에서 나무로 작업
207,가을 잎 오렌지 보드,목조건물에 널리 사용되는 기본 건축자재,장인의 책상에 가을 잎 주황색 페인트로 칠하기
208,아이보리 화이트 우드,목조건물에 널리 사용되는 기본 건축자재,장인의 책상에 상아색 흰색 페인트로 칠함
209,베고니아 레드 우드 보드,목조건물에 널리 사용되는 기본 건축자재,장인의 책상에서 베고니아 레드 페인트로 칠하기
210,선셋 오렌지 플랭크,목조건물에 널리 사용되는 기본 건축자재,장인의 책상에 일몰 오렌지 페인트로 칠하기
211,깊은 밤 마호가니 보드,목조건물에 널리 사용되는 기본 건축자재,장인의 식탁에 깊은 밤색 붉은 페인트로 칠해진
212,체리 사플링,연료로 사용할 수 있지만 매우 빠르게 연소됩니다.,
213,라치 사플링,연료로 사용할 수 있지만 매우 빠르게 연소됩니다.,
214,포플러 묘목,연료로 사용할 수 있지만 매우 빠르게 연소됩니다.,
215,삼나무 묘목,연료로 사용할 수 있지만 매우 빠르게 연소됩니다.,
216,난무 사플링,연료로 사용할 수 있지만 매우 빠르게 연소됩니다.,
217,호두 사플링,연료로 사용할 수 있지만 매우 빠르게 연소됩니다.,
218,벚꽃 잎,@item_1200# 연료 또는 산소 원료를 만드는 데 사용할 수 있으며 눈사람 머리 장식#n으로도 사용할 수 #c0aba1d.,
219,낙엽송 잎,@item_1200# 연료 또는 산소 원료를 만드는 데 사용할 수 있으며 눈사람 머리 장식#n으로도 사용할 수 #c0aba1d.,
220,포플러 잎,@item_1200# 연료 또는 산소 원료를 만드는 데 사용할 수 있으며 눈사람 머리 장식#n으로도 사용할 수 #c0aba1d.,
221,세쿼이아 잎,@item_1200# 연료 또는 산소 원료를 만드는 데 사용할 수 있으며 눈사람 머리 장식#n으로도 사용할 수 #c0aba1d.,
222,쿠스노키 나뭇잎,@item_1200# 연료 또는 산소 원료를 만드는 데 사용할 수 있으며 눈사람 머리 장식#n으로도 사용할 수 #c0aba1d.,
223,호두 잎,@item_1200# 연료 또는 산소 원료를 만드는 데 사용할 수 있으며 눈사람 머리 장식#n으로도 사용할 수 #c0aba1d.,
224,풀,#c0aba1d#n파괴하면 #c0aba1d 잡초를 얻을 수 #n,하늘은 광대하고 야생은 광대하며 바람은 풀을 불고 소와 양을 봅니다.
225,시든 풀,#c0aba1d#n도구를 사용하여 #c0aba1d 죽은 풀#n을 수확하고 나머지는 잡초 몇 개를 #c0aba1d#n,Lili은 잔디 위에 있습니다. 한 살과 한 살
226,토양 촬영,"그늘 속에서 잘 자라며 요리의 원료로 사용되는 식물입니다. #c0aba1d직접 섭취하면 체력#n이 회복되지만, #c0aba1d소화장애#n이 발생할 수 있으니 주의하세요. 호라스 섬에 있는 #c0aba1d호라스 포자나무#n과 흥미로운 상호작용을 한다는 소문이 있습니다.",
227,들깨,"그늘 속에서 잘 자라며 요리의 원료로 사용되는 식물입니다. #c0aba1d직접 섭취하면 체력#n이 회복되지만, #c0aba1d소화장애#n이 발생할 수 있으니 주의하세요. 호라스 섬에 있는 #c0aba1d호라스 포자나무#n과 흥미로운 상호작용을 한다는 소문이 있습니다.",
228,접시꽃,#c0aba1d사슴에게 먹이를 주어 #n을 #c0aba1d우유 생산#n 상태로 촉진하세요.,#c0aba1drainforest#n에서 자랍니다.
229,옥수수,"@item_344#으로 제작할 수 있으며, @item_344#은 요리의 기본 원료입니다. @item_1200#에 구울 수 있습니다.",@item_102#에 @item_11400#을 심거나 야생 옥수수를 수확하여 획득
230,자이언트 부루,,@item_102#에 @item_11401#을 심어 획득하세요.
231,거대한 브루셀라 묘목,햇빛과 물로 잠시 후 묘목에서 과일이 자랄 것입니다.,
232,공기 뿌리,큰 나무에 매달린 공기 뿌리는 매우 질기고 사람들의 무게를 견딜 수 있습니다. 너무 높이 올라가지 말고 넘어지지 않도록 조심하세요!,
233,나중에,"희귀한 붉은 토양, 풍부하고 이국적인 재료, 그 위에서 자라는 식물은 마법의 변화를 겪을 것입니다.","전설에 따르면 바다 한가운데에 섬이 있고, 사방에 붉은 지구가 있다."
234,쌀,#c0aba1d분지 #n의 물에서 자라면 생쌀 한 그릇으로 가공한 다음 돌솥에 밥을 한 그릇으로 익혀 두두새에게 먹이면 번식 상태에 들어갈 수 #r,바닥에 토양이나 황사가 있고 한 격자의 높이가 있는 수면에 쌀 씨앗을 심습니다.
236,오이,@item_102#에서 성장할 수 있습니다. #r @item_11311##c0aba1d 얻기 위해 던둔 #n 먹일 수 있습니다.,항아리의 파괴와 터지는 달걀을 모두 얻을 수 있습니다
237,삼나무 열매,삼나무 위의 과일은 요리의 원료입니다.,
238,브램블 잔디,"가시가 많은 풀, #c0aba1d 손상#n 한 줌의 잡초를 #c0aba1d수 있게 되면#n",
239,메가마린,너무 커서 먹기 위해 잘라야 해요! 장인의 테이블에서 처리해야 합니다.,거대한 규모의 과일 씨앗은 경작지에서도 얻을 수 있습니다.
240,거대한 비늘 깃털 묘목,햇빛과 물로 잠시 후 묘목에서 과일이 자랄 것입니다.,
241,고구마,@item_101#에 심을 수 있습니다. @item_1200#에 구울 수 있습니다.,점토 항아리를 파괴하면 획득할 수 있는 기회가 있습니다.
242,선인장 줄기,"#c0aba1d 사막에서 자란 #n, 나무 막대기로 뾰족한 무기로 가공할 수 있습니다!",선인장 씨앗을 사용하여 토양 구덩이에서도 사용 가능
243,야생 옥수수,파괴 후 #c0aba1d 옥수수를 얻을 수 #n,"야만적으로 재배된 옥수수, 관리 부족으로 영양가가 높지 않음"
244,크리스마스 트리,"산타클로스에 의해 장식된 상록수, 보통 건물을 장식하는 데 사용됩니다.",크리스마스 이벤트 중 산타 가게에서 구매
245,수생 식물,"얕은 바다에서 자라는 수생식물#c0aba1d 복잡한 성장으로 인해 그 위에 남아있는 생물과 소품을 얽히기 쉽고, 너무 오래 머물지 않도록 노력하고, 운이 좋으면 그 안에서 희귀한 보물을 발견할 수도 있다.",
246,다시마,얕은 바다#c0aba1d 자라는 흔한 수생식물은 파괴 후 다시마#c0aba1d떨어질 확률이 있다#n,인레이 룬의 완전한 획득은 다시마를 수확할 것입니다
247,떠다니는 꽃잎,수면#c0aba1d 흩어져 있는 #n 장식을 위해 수면에 놓을 수 있다.,
248,떠다니는 널빤지,물 위에 #c0aba1d 무게를 견디세요#n,장인의 식탁에서 나무 판자로 가공
249,솔방울,맛있는 음식을 요리하기 위한 라치 과일,
250,연꽃,"#c0aba1d 수면에서 자라는 #n, 장식을 위해 수면에 놓을 수 있습니다.",
251,대나무,"#c0aba1d 팬더#n를 사용하면 길들인 팬더, 속이 빈 대나무 기둥을 얻을 수 있는 #n#r#c0aba1d#n 길들인 팬더, 속이 빈 대나무 기둥을 얻을 수 있다.","#c0aba1d 대나무 숲에서 자라는 #n, 흙 구덩이에 죽순을 심으면 얻을 수 있다"
252,대나무 잎,"장식으로 사용할 수 있으며, 손상 후 죽순이 떨어질 가능성이 있습니다.",
253,죽순,구덩이#c0aba1d심으면 대나무로 자랄 수 #n,대나무 잎을 파괴하는 것은 가능하다
254,마호가니,#c0aba1d도끼 공구로 #n 빠르게 절단할 수 #r @item_11323#로 가공할 수 있으며 연료로도 사용할 수 있습니다.,
255,복숭아 꽃 잎,@item_1200 # 연료 또는 산소 원료를 #r 날으는 닭에게 먹이로 만들어 번식 상태로 만드는 데 사용할 수 있으며 눈사람 머리 장식#c0aba1d로도 사용할 수 있습니다.,
256,복숭아꽃 묘목,구덩이#c0aba1d#n 복숭아나무로 자란다.,복숭아 잎을 손상시키는 것은 떨어질 가능성이 있습니다
257,젠무,#c0aba1d도끼 공구로 #n 빠르게 절단할 수 #r @item_11323#로 가공할 수 있으며 연료로도 사용할 수 있습니다.,
258,희귀 한 나무 잎,@item_1200# 연료 또는 산소 원료를 만드는 데 사용할 수 있으며 눈사람 머리 장식#n으로도 사용할 수 #c0aba1d.,
259,젠무 사플링,귀한 나무의 묘목,손상된 귀한 나무 잎은 떨어질 기회가 있습니다.
260,잎이 없는 귀한 나무,귀여운 눈동자의 척박한 표면에서 자라고 옆에 산소 열매를 심을 수 있습니다.,#c0aba1d미트릴 도끼#n 이상의 고급 도끼 도구 사용
261,별빛 포자 막대,그 옆에 죽순을 심으면 들깨가 돌연변이#c0aba1d#n,#c0aba1d 하늘섬 아래 그늘에서 자라는 #n
262,이끼,"촉촉하고 수분이 풍부한 식물 성장. 땅을 미끄럽게 만드는 경향이 있으며, 부수면 @item_11595##r이 생성됩니다. 따뜻한 햇살이 닿지 않는 그늘에도 이끼가 돋보이며 초록의 생명력을 더해줍니다.",
263,아스트로스포어 씨앗,#c0aba1d 사랑스러운 아이 스타 스톤 그늘에 #n을 심으면 일정 시간이 지나면 별빛 포자가 생깁니다.,
264,라임 나무 보드,목조건물에 널리 사용되는 기본 건축자재,장인의 식탁에서 라임 페인트로 그림 그리기
265,잎이 없는 귀한 나무 판자,장식에 사용할 수 있음,장인의 식탁에 잎이 없는 귀한 나무로 만들어졌습니다.
266,돌연변이 죽순,"#c0aba1d #n을 섭취한 후 15개의 체력을 회복하며, 형광, 광란의 파기 또는 파기 피로#r 다음과 같은 특수 효과를 얻을 것이다.",죽순에 가까운 돌연변이 별빛 포자
267,돌연변이 들깨,"#c0aba1d #n을 섭취한 후 15개의 체력을 회복하며 형광, 생명 회복 또는 중독 상태#r#c0aba1d 다음과 같은 특수 효과를 얻을 수 있습니다.",들깨에 가까운 별빛 포자에서 돌연변이
268,돌연변이 식물 막대,,#c0aba1d 하늘섬 아래 그늘에서 자라는 #n
269,형광색 풀,작은 형광 공과 큰 형광 공을 만드는 재료 중 하나,#c0aba1d섬에서 자라#n
270,아스트로스포어,"#c0aba1d #n을 먹은 후 15개의 체력을 회복하고 #c0aba1d 형광 상태#n, 야간 시력 또는 현기증 상태를 얻을 확률",귀여운 눈의 별이 빛나는 하늘 섬 아래 그림자 속에서 자라면서 별빛 포자 씨앗을 심는 것도 얻을 수 있습니다.
271,아스트로스포어,"#c0aba1d #n을 먹은 후 15개의 체력을 회복하고 #c0aba1d 형광 상태#n, 야간 시력 또는 현기증 상태를 얻을 확률",귀여운 눈의 별이 빛나는 하늘 섬 아래 그림자 속에서 자라면서 별빛 포자 씨앗을 심는 것도 얻을 수 있습니다.
272,아스트로스포어,"#c0aba1d #n을 먹은 후 15개의 체력을 회복하고 #c0aba1d 형광 상태#n, 야간 시력 또는 현기증 상태를 얻을 확률",귀여운 눈의 별이 빛나는 하늘 섬 아래 그림자 속에서 자라면서 별빛 포자 씨앗을 심는 것도 얻을 수 있습니다.
