ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
16,치어리더 클레어,루카스와 마찬가지로 모두의 시선을 사로잡을 만큼 매력적입니다.,@Null@,@Null@,프로필 사진: 치어리더 클레어 프로필 사진 잠금 해제.,걸음걸이: 걸어가는 곳에는 색발자국이 남습니다,,,
17,서부 장미 루시,"으흥, 내 총알은 너를 좋아할까 봐",@Null@,신체 특수 효과: 매혹적인 사랑을 발산합니다!,프로필 사진: 루시 프로필 사진 잠금 해제.,@Null@,,,
18,검은 모자 선장 티치,"마리, 나는 가장 유명한 해적 선장이 되어서, 바다 끝의 보물을 찾고 싶습니다!",@Null@,@Null@,프로필 사진: 선장 프로필 사진 잠금 해제.,걷기 발자국: 걸은 곳에 발자국이 남습니다,,,
19,스위트 마리,그럼 난 해적선장으로 소문난 애들한테~,@Null@,신체 특수효과:핑크빛 바다의 냄새를 풍깁니다,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
20,정금의,"작은 건물이 어젯밤에 또 동풍이어서, 고국은 달 밝은 곳을 돌아볼 수가 없었습니",@Null@,걷기 발자국:발바닥 바람,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
21,화소루,"고국이 있을 때 형과 함께 밤에 불꽃놀이를 구경했던 것을 생각하면, 지금은 하늘 끝에 사람이 있는지 모르겠습니다",@Null@,신체 특수효과: 복숭아꽃 송이가 나부끼고 있습니다.,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
22,리리스,사탕을 주지 않으면 소란을 피워!,@Null@,신체 특수 효과: 마녀의 향기를 발산합니다,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
23,월무쌍,"본처녀는 그렇게 호락호락하지 않다. 흥, 남들은 정말 대단해!",@Null@,신체 특수 효과: 몸에 파란 꽃 발산,프로필 사진: 만두 프로필 사진 잠금 해제.,@Null@,,,
24,엽소용,"후배의 세상, 내가 지켜줄게!",@Null@,걷기 발자국: 걸어가는 곳에 검은 연기가 남습니다.,프로필 사진: 예샤오룽 프로필 사진 잠금 해제.,@Null@,,,
25,이랑신,"세상에 이렇게 아름다운 곳이 있다니, 내가 반드시 이곳의 평안을 보장할게!",@Null@,신체 특수효과:몸에서 천혜정기가 풍깁니다.,프로필 사진: 이랑신 프로필 사진 잠금 해제.,@Null@,,,
26,여소락,마는 꿈이 있어야 생선이 즐겁다고 했습니다.,@Null@,신체 특수효과 : 꿈의 향기가 풍겨......,프로필 사진: 여소락 프로필 사진 잠금 해제.,@Null@,,,
27,미사소소,"녹색 보금자리를 위해 싸우는 '세계 수호 프로그램' 수석 친환경 축몽사. 
 갈수록 심각해지는 사막화에 맞서 '미니월드' 2주년을 맞아 모든 플레이어를 대표해 아라선 공익에 '솔솔' 나무 5만 그루를 기부합니다.",잠금 해제 소품은 월드 데몬 프로그램에서 사용할 수 있습니다.,신체 특수 효과: 몸에 나무 향기가 풍깁니다,프로필 사진: 어린 나무꾼 프로필 사진 잠금 해제.,@Null@,,,
28,환음,"시공간을 지키는 소녀, 여행과 음악을 좋아합니다.",@Null@,신체 특수 효과: 몸에 전자기 입자가 흩날리고 있습니다.,프로필 사진: 환음 프로필 사진 잠금 해제.,@Null@,,,
29,환상- 0식,차가운 껍데기 아래에는 별과 바다가 목표인 불타는 영혼이 있습니다!,@Null@,신체 특수 효과: 등에 전자기 입자가 흩날리고 있습니다.,프로필 사진: 환상- 0식 프로필 사진 잠금 해제.,@Null@,,,
30,유선아,월중에 춤을 추는 어린 선녀는 운이 좋은 사람만이 인연이 있다는 소문입니다.,@Null@,신체 특수효과:몸에 초승달이 흩날리고 있습니다.,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
31,파푸치,기술을 기록한 보물전과 쓸모없어 보이는 마법의 헤드셋을 가진 신비롭고 강력한 마법사.,@Null@,신체 특수 효과: 마법의 기운을 발산합니다.,프로필 사진: 호박인간 프로필 사진 잠금 해제.,@Null@,,,
32,미나,"신비한 해저 왕국에서 온 작은 공주는 의도치 않게 미니월드로 길을 잃었습니다. 
 그녀를 기쁘게 하는 사람은 그녀의 아름다운 노랫소리를 들을 것입니다.",@Null@,신체 특수 효과: 몸에 물방울이 풍깁니다.,프로필 사진: 미나 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 족자락 자국이 남습니다.,,,
33,설령,"겨울의 비밀, 즉 모든 눈송이는 서로 지켜주는 생명이 있다는 것입니다.",@Null@,신체 특수 효과: 몸에 눈송이가 흩날리고 있습니다.,프로필 사진: 설령 프로필 사진 잠금 해제.,@Null@,,,
34,두두뽀뽀,"두두와 뽀뽀는 미슬라의 좋은 형들이지만, 종종 자신의 힘이 너무 작아서 콤플렉스를 가지고 있습니다. 
 별에서 색의 마법을 얻을 수 있다는 소식을 듣고 희망과 함께 앞으로 걸어갑니다. (미니 스타필드 시트팩을 구입해 잠금을 해제하면 두두, 뽀뽀 룩이 잠금 해제됩니다. 두두뽀뽀! )",@Null@,신체 효과: 환경에 맞춰 색을 바꾸세요!,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
35,두두,"두두와 뽀뽀는 미슬라의 좋은 형들이지만, 종종 자신의 힘이 너무 작아서 콤플렉스를 가지고 있습니다. 
 별에서 색의 마법을 얻을 수 있다는 소식을 듣고 희망과 함께 앞으로 걸어갑니다. (미니 스타필드 시트팩을 구입해 잠금을 해제하면 두두, 뽀뽀 룩이 잠금 해제된다. 두두뽀뽀!! )",@Null@,프로필 사진: 프로필 사진 잠금 해제.,@Null@,@Null@,,,
36,뽀뽀,"두두와 뽀뽀는 미슬라의 좋은 형들이지만, 종종 자신의 힘이 너무 작아서 콤플렉스를 가지고 있습니다. 
 별에서 색의 마법을 얻을 수 있다는 소식을 듣고 희망과 함께 앞으로 걸어갑니다. (미니 스타필드 시트팩을 구입해 잠금을 해제하면 두두, 뽀뽀 룩이 잠금 해제됩니다. 두두뽀뽀!! )",@Null@,프로필 사진: 프로필 사진 잠금 해제.,@Null@,@Null@,,,
37,몽가,꿈에서 나간 소녀라면 말하고 가는 여행을 하고 싶습니다. 이번에는 탐험뿐만 아니라 자신이 원하는 모습을 살려내기 위해서였습니다.,@Null@,프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어온 곳에 꽃잎 발자국이 남습니다.,@Null@,,,
38,파도 제거,오랜 세월 풍랑을 겪은 수군의 대장은 천하에서 모두 이 자식이 천봉원수 하범의 능력이 있다고 칭합니다.,@Null@,신체 특수 효과: 몸에 물꽃을 발산하세요!,프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸은 곳에는 물과 발 자국이 남습니다.,,,
39,안젤로스,"정직하고 착한 안젤로스, 손에 든 별 지팡이를 흔들며 미니대륙 구석구석에 사랑과 희망을 뿌리며 한 세대 또 한 세대를 지켜온 탐험가들. 
 (안젤로스는 이벤트로만 ~을 얻을 수 있음)",잠금 해제 소품은 월드 데몬 프로그램에서 사용할 수 있습니다.,신체 특수 효과: 몸에 깃털이 흩날리고 있습니다!,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
40,어두운 별,"허공에서 온 DJ, 힘찬 일렉트로닉 록을 가장 좋아합니다. 
 초강력 리듬감을 자랑하는 그는 파티 무대에서 가장 눈부신 별입니다.",@Null@,신체 특수 효과: 꼬리에 번개가 달려 있어요!,프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에 음표의 발 자국을 남깁니다.,,,
41,랜슬롯,"기사의 길이란 무엇인가? 
 칼끝이 가리키는 바, 정의는 반드시 달할 것입니다!",@Null@,신체 특수효과:몸에 별빛이 흩날리세요!,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
42,야옹야옹 설탕,"시스템 네트워크 연결이 정상이며 전자기 포대가 준비됩니다. 
 뭐? 
 내가 테크니컬 하우스라고? 
 아니, 그건 과학자들의 로망이야! 
 어? 
 전력 부족 경고, 충전하러 갑니다.",@Null@,@Null@,프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 전기 알갱이가 남습니다.,,,
43,천병위,"너의 무공은 훌륭합니다! 
 하지만 그것도 날렵한 내 이도류를 따라잡을 수는 없습니다.",@Null@,@Null@,프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 발 자국이 남습니다.,,,
44,별날개,"""이번 대회 우승 트로피, 바로 내 생일 선물!"" 
 번화한 도시생활을 사랑하는 스타윙이 또 한 번 경기장에 모습을 드러냈습니다. 
 그녀에게 우승도 중요하지만 더 중요한 것은 이쁜이를 이기는 것입니다!",@Null@,@Null@,프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 작은 사랑의 발 자국이 남습니다.,,,
45,분리,"원기가 넘치는 암살자는 혼잣말로 자신에게 화를 내곤 했습니다. 
 플라이바늘 사용과 모든 아이템을 모실세트를 짜는 것을 가장 좋아합니다.",@Null@,@Null@,프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 털구 발 자국이 남습니다.,,,
46,암울,"그는 자신이 다른 사람의 눈에는 냉혹한 사람으로, 일상적으로는 냉혹한 척하기를 원합니다. 
 집중력이 떨어진다는 이유로 파트너에게 토로되는 경우가 많습니다.",@Null@,@Null@,프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 족자락 자국이 남습니다.,,,
47,짹짹,"믿으십니까, 하늘의 모든 구름은 그 독특한 맛을 가지고 있습니다. 
 나는 너의 날개를 만들어 너를 세상에서 가장 아름다운 곳으로 데려가고 싶습니다.",@Null@,신체 특수 효과: 왕관에 금빛이 흩날리고 있습니다!,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
48,화락,"평화, 내가 지킬게, 친구와 집을 위해!",@Null@,신체 특수 효과: 등 기갑은 금색 입자와 전광을 흩날리게 됩니다!,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
49,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
50,초크,"""요! 먼 길을 오시는 여행자, 불가사의한 마술쇼를 보시고 싶으신가요? 가장 경이로운 공연은 모두 여기 있습니다!""",@Null@,@Null@,프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 마술사 사건이 남게 됩니다.,,,
51,어린 쑥,"하하! 규칙은 깨지기 위한 것이지만, 나는 너에게 달콤한 이유를 줄 수 있어!",@Null@,@Null@,프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 막대사탕 발 자국이 남습니다.,,,
52,옵티머스,"저는 옵티머스입니다, 성간에서 망명한 모든 박파인들에게 이 메시지를 보내요, 우리는 여기 있습니다, 당신들을 기다리세요!",@Null@,"신체 특수 효과: 게임 내에서 변형 기능 구현, 형태 전환!",프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 족자락 자국이 남습니다.,#cda5b0a변형: 왼쪽의 변형 버튼을 클릭하여 로봇/차량의 모양을 전환합니다!#n,#cda5b0a트랜스포머 독점 기술: 오토봇의 공격과 방어!#n,
53,위진천,"실패든 배신이든 절대 정복당하지 않을 것이고, 나는 위진천입니다.",@Null@,"신체 특수 효과: 게임 내에서 변형 기능 구현, 형태 전환!",프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 족자락 자국이 남습니다.,#cda5b0a변형: 왼쪽의 변형 버튼을 클릭하여 로봇/차량의 모양을 전환합니다!#n,#cda5b0a트랜스포머 전용 기술: 퓨전 캐넌!#n,
54,무스,"크리스마스에 가장 빠질 수 없는 것은 눈송이, 페이스트리, 현란한 마법, 달콤한 당신!",@Null@,@Null@,프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 딸기 발 자국이 남습니다.,,,
55,금몽유자,"미모 행성에 처음 온 귀여운 쌍둥이는 풍요로운 곳에서 왔습니다. 
 해맑은 금티크는 가을의 열매와 낙엽을 수집한 뒤 겨울에 다양한 아이템으로 만들어 제공하는 것을 가장 좋아합니다. 
 그의 말로는 공유야말로 '풍요'의 비결이라고 합니다.",@Null@,@Null@,프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸은 곳에 밤의 발 자국이 남게 됩니다.,,,
56,희단단,"미모 행성에 처음 온 귀여운 쌍둥이는 풍요로운 곳에서 왔습니다. 
 근면한 기쁨은 언제나 한겨울에 저항하기 어려운 작은 동물을 돕기 위해 자신의 능력으로 많은 시간을 소비합니다. 
 그녀는 이 '풍요'의 힘을 함께 전할 더 많은 파트너가 있기를 바랍니다.",@Null@,신체 특수효과:몸에 꽃이 흩날려요!,프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸었던 곳에는 무사히 발 자국이 맺히게 됩니다.,,,
57,린첸수,"변폭을 고치지 않는 늙은 개구쟁이처럼 보이지만, 사실 무공이 강하고 삭노성 장로인 동시에 성금의, 이화환의 스승이기도 합니다. 
 그는 오늘날 세상에 싸울 만한 것이 하나도 없다고 생각하여 성질이 온화하고 여러 해 동안 강호에게 묻지 않았습니다.",잠금 해제 소품은 월드 데몬 프로그램에서 사용할 수 있습니다.,@Null@,프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 술고래 발 자국이 남습니다.,,,
58,호넷,"나는 범블비이고, 너와 가장 오랫동안 알고 지낸 친구, 옵티머스 프라임, 나는 기꺼이 너를 위해 내 목숨을 바칠 것입니다.",@Null@,"신체 특수 효과: 게임 내에서 변형 기능 구현, 형태 전환!",프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 족자락 자국이 남습니다.,#cda5b0a변형: 왼쪽의 변형 버튼을 클릭하여 로봇/차량의 모양을 전환합니다!#n,#cda5b0a트랜스포머 전용 기술: Wasp Stab!#n,
59,그윽한 꽃,"선기가 물씬 풍기는 꽃은 그윽하고 화해에 휩싸여 있는 느낌을 즐깁니다. 
 그녀의 집 앞집 뒤엔 꽃들이 가득 심어져 있었고 지나가던 꼬마들은 모두 타오르는 향기에 매료되었습니다. 
 그리고 이번에는 마법 행성의 에너지가 꽃에 묘한 변화를 일으킬 수 있다는 소식을 듣고 원예사였던 그녀는 흔쾌히 찾아갔습니다.",@Null@,신체 특수효과:몸에 별빛이 흩날려요!,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
60,성령,"하늘에서 온 반짝이는 별들 하나하나가 그 뜻과 맞는 꼬마를 찾고 있습니다. 
 꼬마가 하늘에 대고 소원을 빌 때, 그것은 소회를 듣고 어린 친구에게 와서 함께 새로운 세상을 창조할 수 있습니다.",@Null@,신체 특수효과:몸에 무지개가 흩날려요!,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
61,눈덩이,"설산의 표범 소녀는 태어날 때부터 고원의 수호자로 선정되어 어릴 때부터 이 정토를 철저히 보호해 왔습니다. 
 부드러웠지만 삶의 위기를 맞닥뜨렸을 때 감탄할 만한 용기와 강인함을 보여줬습니다.",잠금 해제 소품은 월드 데몬 프로그램에서 사용할 수 있습니다.,신체 특수 효과: 몸에 눈송이가 흩날려요!,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
62,앨리스,"마법 학원의 소녀 앨리스는 한 장의 포커 카드에 의해 경이로운 세계로 들여왔습니다. 
 그곳에서 그녀는 착한 토끼를 만났습니다. 
 미지의 모험임에도 불구하고 토끼씨와 함께만 있다면 어디에서나 기묘한 여행입니다.",@Null@,신체 특수 효과: 프린트가 몸에 흩날려요!,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
63,개구리,"미몽개구리족에서 자란 그는 어려서부터 많은 참음을 배웠고 막강한 항타력을 연마했습니다. 
 훈련보다 개구리 타로가 가장 좋아하는 일은 역시 여름 밤 연못가의 갈대에 누워 개구리 소리를 듣는 것입니다.",잠금 해제 소품은 월드 데몬 프로그램에서 사용할 수 있습니다.,@Null@,프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 개구리 발 자국이 남습니다.,,,
64,붉은거미,"붉은 거미는 ""운명적으로 디셉티콘 리더""라고 느꼈고, 순간적인 구설수에 오르는 것을 좋아했고, 위진천과의 권력 다툼을 늘 생각하다 보니 본의 아니게 많은 광파의 공격 계획을 파괴해 위진천을 골치 아프게 했습니다.",@Null@,"신체 특수 효과: 게임 내에서 변형 기능 구현, 형태 전환!",프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 족자락 자국이 남습니다.,#cda5b0a변형: 왼쪽의 변형 버튼을 클릭하여 로봇/차량의 모양을 전환합니다!#n,#cda5b0a변압기 전용 기술: 항공 경보!#n,
65,열파,차분하고 냉정하며 책임감이 넘치는 그는 박파의 미래 지도자이며 우주 평화에 대한 새로운 희망으로 악에 맞서 두려움 없이 상황이 아무리 위험해도 주저하지 않고 바로 행동할 것입니다.,@Null@,"신체 특수 효과: 게임 내에서 변형 기능 구현, 형태 전환!",프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 족자락 자국이 남습니다.,#cda5b0a변형: 왼쪽의 변형 버튼을 클릭하여 로봇/차량의 모양을 전환합니다!#n,#cda5b0a트랜스포머 독점 기술: 붉은 번개!#n,
66,경파천,위진천보다 더 강력하고 무자비한 폭군이었던 그는 개조를 거쳐 그의 정복과 통치의 자신감과 야망을 누구도 따라올 수 없었던 힘의 화신으로 온 우주가 이 무자비한 폭군의 입맛을 만족시킬 수 없었습니다.,@Null@,"신체 특수 효과: 게임 내에서 변형 기능 구현, 형태 전환!",프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 족자락 자국이 남습니다.,#cda5b0a변형: 왼쪽의 변형 버튼을 클릭하여 로봇/차량의 모양을 전환합니다!#n,#cda5b0a트랜스포머 전용 기술: 퓨전 레이저!#n,
67,프로게이머 라울,"가상과 현실 사이를 헤엄치며 라울은 삶의 여러 문제들을 게임의 한 가지 레벨로 해결하는 습관이 있습니다. 
 운도 실력도 통관이 안 된다면 시간에 맡기세요. 
 시간은 사람을 성장시키는 반면 성장은 문제를 해결하는 최종 답입니다.",잠금 해제 소품은 월드 데몬 프로그램에서 사용할 수 있습니다.,신체 특수 효과: 몸에 문자가 흩날리고 있습니다!,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
68,비디오 게임 소녀 벨소리,"전기놀이 소녀벨음이 가장 좋아하는 일은 기계 파트너 리틀 큐브를 가지고 가상과 현실 사이를 누비며 흥미롭게 이 세상을 탐험하는 재미로 흥겹고 번화가를 만끽하는 것입니다. 
 하지만 그때마다 벨소리는 그저 잠깐 머물렀을 뿐인데, 그녀는 그녀에게 실제로 와 닿을 수 있는 네온 광채를 찾고 있었기 때문입니다.",잠금 해제 소품은 월드 데몬 프로그램에서 사용할 수 있습니다.,신체 특수 효과: 몸에 보라색 입자가 흩날리고 있습니다!,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
69,청현,"쭝예방'의 전인이지만 청현은 고희대사를 꿈꿉니다. 
 그녀는 부모님과 함께 그녀가 '쭝예방'이 명성을 떨치게 할 수만 있다면 가족들은 그녀가 고귀한 공부를 하는 것을 막을 수 없다고 약속했습니다. 
 청현에게 '쭝예방'은 '고희대사'와, 결코 2선일이 아니었는데, 그녀는 둘 다 하기 때문입니다.",@Null@,신체 특수효과: 몸에 꼬막잎이 흩날려 있습니다!,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
70,쯔웨걸,"주기쁨은 가장 학식이 풍부한 조랑말입니다. 
 그녀는 독서를 사랑하고 리더를 잘합니다. 
 우주공주는 그녀를 포니진에 가서 우정의 마법을 배우게 했고, 그녀는 지식을 습득했을 뿐만 아니라 새로운 우정의 마법을 창조했습니다.",@Null@,신체 특수 효과: 몸에 마법 문자가 흩날려요!,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
71,우주 프린세스 걸,"그녀는 강력한 마법을 가진 매우 영향력 있는 포니나라의 통치자들 중 한 명입니다. 
 낮을 관장하는 우주공주임에도 평이하고 케이크를 좋아한다는 점에서 단아하고 우아함에도 귀여운 면이 있습니다.",@Null@,신체 특수 효과: 몸에 금빛 입자가 흩날려요!,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
72,부드러운 걸,"포니 밸리의 가장자리에 있는 통나무집에 유유히 거주하며, 다양한 동물들과 의사소통을 하고 그들과 친구가 될 수 있으며, 함께 행동하도록 지휘할 수도 있습니다. 
 그녀는 화합의 원에서 '착함'을 나타냅니다.",@Null@,신체 특수 효과: 몸에 금빛 입자가 흩날려요!,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
73,달 프린세스 걸,"달 공주는 우주 공주의 여동생이자 아기 마리아의 제2 통치자로서 밤과 꿈나라를 관장하고 달을 뜨며 악몽 속 조랑말을 자주 구합니다. 
 그녀는 겉으로는 신비롭고 냉담하지만, 실은 상냥하고 상냥합니다.",잠금 해제 소품은 월드 데몬 프로그램에서 사용할 수 있습니다.,신체 특수효과:몸에 달 무늬가 흩날려요!,프로필 사진: 프로필 사진 잠금 해제.,@Null@,,,
74,철제 자물쇠,"강철잠금쇠는 기계공룡의 지휘관으로 가장 강력한 기계공룡으로, 무모한 그의 개성이 자동차 사람들을 두통으로 몰아넣었지만, 그의 용감함으로 공룡들을 거느리고 여러 차례 자동차맨을 위태롭게 구하기도 했습니다.",잠금 해제 소품은 월드 데몬 프로그램에서 사용할 수 있습니다.,신체 특수 효과: 전자기 스파크 깜박임,프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 족자락 자국이 남습니다.,#cda5b0a변형: 왼쪽의 변형 버튼을 클릭하여 로봇/기계 공룡 형태를 전환합니다!#n,#cda5b0a트랜스포머 독점 기술: 티라노사우루스 포효!#n,
75,표적,"비표의 단순 사상과 무모한 행동은 때때로 두통을 일으키기도 하지만, 사실 그는 기계 공룡 행렬에서 큰 역할을 하며 전쟁 전 수사의 중요한 사명을 짊어지고 있는 마음씨 착한 용사입니다.",@Null@,신체 특수 효과: 전자기 스파크 깜박임,프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 족자락 자국이 남습니다.,#cda5b0a변형: 왼쪽의 변형 버튼을 클릭하여 로봇/기계 공룡 형태를 전환합니다!#n,#cda5b0a트랜스포머 전용 기술: 빠른 날개!#n,
76,울부짖다,"울부짖는 것은 비합리적인 녀석입니다. 그는 다른 사람들이 전략적인 일을 처리하게 하는 것을 좋아하고, 자신은 강철쇠 파견에 따라 직접 전쟁에 나가면 좋겠습니다. 
 이것은 또한 그를 강철 자물쇠가 전장에서 가장 유능한 전사로 만들었습니다.",@Null@,신체 특수 효과: 전자기 스파크 깜박임,프로필 사진: 프로필 사진 잠금 해제.,걷기 발자국: 걸어가는 곳에는 족자락 자국이 남습니다.,#cda5b0a변형: 왼쪽의 변형 버튼을 클릭하여 로봇/기계 공룡 형태를 전환합니다!#n,#cda5b0a트랜스포머 독점 기술: 본 스퍼스 스위프!#n,
