ID,名字,类别名,描述
50034,플레이어의 소품 유형,플레이어,@1|의 핸디 소품 유형
50035,플레이어,플레이어,|@1
50036,플레이어 팀,플레이어,|@1
50037,플레이어 모양 지정,플레이어,@1|의 모양
50038,플레이어 그룹,플레이어,|@1
50039,플레이어의 개인 변수 (위치 그룹),플레이어,|@2| of |@1| (Location Group)
50040,플레이어의 개인 변수 (지역 그룹),플레이어,|@2| of |@1| (Area Group)
50041,플레이어의 개인 변수 (숫자 그룹),플레이어,|@2| of |@1| (numeric group)
50042,플레이어의 개인 변수 (문자열 그룹),플레이어,|@2| of |@1|  (character string group)
50043,플레이어의 개인 변수 (부울 그룹),플레이어,|@2| of |@1| (Boolean group)
50044,플레이어의 개인 변수 (블록 유형 그룹),플레이어,|@2| of |@1|  (block type group)
50045,플레이어의 개인 변수 (PROPS 유형 그룹),플레이어,|@2| of |@1|  (props type group)
50046,플레이어의 개인 변수 (Creature Type Group),플레이어,|@2| of |@1| (Creature Type Group)
50047,플레이어의 개인 변수 (타이머 그룹),플레이어,|@2| of |@1| (Timer Group)
50048,플레이어의 개인 변수 (특수 효과 형 그룹),플레이어,|@2| of |@1| (Special Effect Type Group)
50049,무작위 모양 유형,플레이어,무작위 모양 유형
50050,플레이어의 UID 얻기,플레이어,@1|의 UID 얻기
50051,특정 UID를 가진 플레이어 얻기,플레이어,@1|로 플레이어 획득 UID
50052,발사체를 발사하는 플레이어,플레이어,발사체를 발사하는 플레이어
60001,플레이어 팀의 플레이어 수,선수 그룹,@1|중 플레이어 수
60002,플레이어 팀의 플레이어 번호,선수 그룹,@1|중간|@2|의 번호
60003,게임 내 플레이어 수,선수 그룹,현재 게임 내 플레이어 수
60004,플레이어 팀에 지정된 번호의 플레이어,선수 그룹,@1|중간 번호가|@2|인 플레이어
60005,플레이어 팀의 임의 플레이어,선수 그룹,@1|의 랜덤 플레이어
60006,모든 플레이어,선수 그룹,모든 플레이어
60007,팀중 모든 플레이어,선수 그룹,@1|모든 플레이어
60008,영역중 모든 플레이어,선수 그룹,@1|모든 플레이어
70001,바이오의 위치,생물,@1|의 위치
70002,바이오의 속성,생물,@1|의|@2
70004,생체 그룹 내 생체 번호 가져오기,생물,@1|중간|@2|의 번호
70005,생물이 지향하는 각도,생물,@1|지향적인 각도
70006,바이오의 유형 이름,생물,@1|유형 이름
70007,객체 판단,생물,@1||@2||@3
70008,유형 판단,생물,@1||@2||@3
70009,생물체 판단에 처함,생물,@1||@2|위치|@3
70010,영역 판단에 처함,생물,@1||@2|위치|@3|중
70011,상태 판단,생물,@1||@2|소유|@3|의 상태
70012,바이오의 팀,생물,@1|의 그룹
70013,지정 바이오 유형,생물,@1|의 유형
70014,임의 생물 유형,생물,무작위 바이오 유형
70015,바이오 유형,생물,|@1
70016,바이오 팀,생물,|@1
70017,지정 바이오 모양,생물,@1|의 모양
70018,생물 그룹,생물,|@1
70019,생물 유형 그룹,생물,|@1
70020,생물,생물,|@1
70021,발사체를 발사하는 생물,생물학,발사체를 발사하는 생물
80001,바이오 그룹에 있는 바이오의 수,생물 그룹,@1|중 바이오의 수량
80002,바이오 그룹에 지정된 번호의 바이오,생물 그룹,@1|중번호는|@2|인 바이오
80003,바이오 그룹의 무작위 바이오,생물 그룹,@1|중 무작위 바이오
80004,그룹중의 모든 바이오,생물 그룹,@1|중 모든 바이오
80005,영역 중의 모든 바이오,생물 그룹,@1|중 모든 바이오
90001,추락물의 위치,목,@1|의 위치
90002,추락물의 수량,목,@1|의 수량
90003,플레이어 백팩이 변경되는 소품의 수,목,플레이어 백팩이 변경되는 소품의 수량
90004,아이템의 유형 이름,목,@1|유형 이름
90005,유형 판단,목,@1||@2||@3
90006,추락물은 영역 판단에 있습니다,목,@1||@2|위치|@3|중
90007,투척물은 영역 판단에 있습니다,목,@1||@2|위치|@3|중
90008,추락물의 유형,목,@1|의 유형
90009,아이템 유형,목,|@1
90012,소품 유형 그룹,목,|@1
90013,무작위 소품 유형,목,무작위 소품 유형
100001,현재 글로벌 날씨 모드,세계,현재 글로벌 날씨 모드 가져오기
100002,위치로부터의 거리,세계,@1|와|@2|의 거리
100003,날씨 유형 비교,세계,@1||@2||@3
100004,네모 유형 비교,세계,@1||@2||@3
100005,네모의 스위치 상태,세계,@1|의 정사각형 스위치 상태
100006,위치가 영역 판단에 있음,세계,@1||@2|위치|@3|중
100007,위치의 네모 유형 지정,세계,@1|의 네모 유형
100008,위치 방향,세계,The direction from |@1| to |@2
100009,절대 3축 좌표 방향,세계,"X|@1|,Y|@2|,Z|@3|의 방향"
100010,절대 구 방향,세계,"방위각|@1|, 양곤|@2|의 방향"
100011,위치,세계,|@1
100012,영역,세계,|@1
100013,타이머,세계,|@1
100014,위치 그룹,세계,|@1
100015,영역 그룹,세계,|@1
100016,타이머 그룹,세계,|@1
100017,무작위 날씨,세계,무작위 날씨
100018,지형 그룹을 위한 날씨,세계,@1| 날씨
110001,플레이어의 캐리어 지정,세계,@1|의 캐리어
120001,임의 효과 유형,특수 효과,임의 효과 유형
120002,특수 효과 유형,특수 효과,|@1
120003,특별 효과 형 그룹,특수 효과,|@1
130001,현재 재생 광고 비트의 이름을 가져옵니다.,놀이,현재 재생 광고 비트의 이름을 가져옵니다.
140001,네모 유형,블록,|@1
140002,블록 유형 그룹,블록,|@1
150001,문자판,그래픽 정보,"텍스트 상자 내용 : |@1|, 글꼴 크기 : |@2|, 배경 불투명도 : |@3| %, ID : |@4"
150002,떠다니는 문자,그래픽 정보,"문자 내용은|@1|의 떠다니는 문자이며 글꼴 크기는|@2|, 번호는|@3|입니다."
150003,진행률 표시줄,그래픽 정보,"현재 값|@1|, 최대값|@2|의 진행 표시줄, 진행 표시줄 색상|@3|, 번호|@4"
150004,객체를 가리키는 화살표,그래픽 정보,"@1|, 화살표 크기는|@2|, 색상은|@3|, 번호는|@4|를 가리킵니다."
150005,위치를 가리키는 화살표,그래픽 정보,"@1|, 화살표 크기는|@2|, 색상은|@3|, 번호는|@4|를 가리킵니다."
150006,객체의 안내면을 가리킵니다.,그래픽 정보,"다음을 가리키면|@1|, 부트 면 크기는|@2|, 색상은|@3|, 번호는|@4|입니다."
150007,위치를 가리키는 안내면,그래픽 정보,"다음을 가리키면|@1|, 부트 면 크기는|@2|, 색상은|@3|, 번호는|@4|입니다."
150008,객체를 가리키는 안내선,그래픽 정보,"@1|, 안내선 크기는|@2|, 색상은|@3|, 번호는|@4|입니다."
150009,위치를 가리키는 안내선,그래픽 정보,"@1|, 안내선 크기는|@2|, 색상은|@3|, 번호는|@4|입니다."
160001,임의 색상,색깔,임의 색상
170001,위치 그룹에 지정된 번호의 위치,위치 그룹,The position ID |@2| in |@1
170002,위치 그룹의 임의 위치,위치 그룹,@1|의 임의 위치
180001,영역 그룹에 지정된 번호의 영역,지역 그룹,@1|중간 번호가|@2|인 영역
180002,영역 그룹의 임의 영역,지역 그룹,@1|의 임의 영역
190001,숫자 그룹에 지정된 번호의 숫자 값,수치 그룹,The value ID |@2| in |@1
190002,숫자 그룹의 임의 숫자 값,수치 그룹,@1|의 임의 숫자
190003,팩트 그룹의 최대값 가져오기,수치 그룹,|@1|에서 최대값 가져오기
190004,팩트 그룹의 최소값 가져오기,수치 그룹,|@1|에서 최소값 가져오기
200001,문자열 그룹에 지정된 번호의 문자열,문자열 그룹,@1|중간 번호가|@2|인 문자열
200002,문자열 그룹의 임의 문자열,문자열 그룹,@1|의 임의 문자열
210001,부울 그룹의 지정된 번호에 대한 부울 값,부울 값,@1|중간 번호가|@2|인 부울 값
210002,부울 그룹의 임의 부울 값,부울 값,@1|의 임의 부울 값
220001,네모 유형 그룹에 지정된 번호의 네모 유형,블록 형,@1|중간 번호|@2|의 네모 유형
220002,네모 유형 그룹의 임의 네모 유형,블록 형,@1|의 임의 네모 유형
230001,소품 유형 그룹에서 지정된 번호의 소품 유형,항목 형식,@1|중간 번호가|@2|인 소품 유형
230002,소품 유형 그룹의 임의 소품 유형,항목 형식,@1|의 임의 소품 유형
240001,바이오 유형 그룹에서 지정된 번호의 바이오 유형,생물 유형,@1|중간 번호|@2|의 바이오 유형
240002,생물학적 유형 그룹의 임의의 생물학적 유형,생물학적 유형 그룹,@1|의 임의의 생물 유형
250001,타이머 그룹에 지정된 번호의 타이머,타이머 그룹,@1|중간 번호가|@2|인 타이머
250002,타이머 그룹의 임의 타이머,타이머 그룹,@1|의 임의 타이머
260001,특수 효과 유형 그룹에 지정된 번호의 특수 효과 유형,특수 효과 유형,@1|중간 번호|@2|의 특수 효과 유형
260002,특수 효과 유형 그룹의 임의 효과 유형,특수 효과 유형,@1|의 임의 특수 효과 유형
270004,항목 유형 아이콘 가져 오기,일반,|@1
270005,생물 아이콘을 얻으십시오,일반,|@1
270006,생물 유형 아이콘을 얻으십시오,일반,|@1
270007,상태 아이콘을 얻으십시오,일반,|@1
270008,블록 유형 아이콘을 가져옵니다,일반,|@1
270009,플레이어의 현재 문자 아이콘을 가져옵니다,일반,현재 |@1| 문자 아이콘
270010,플레이어 바로 가기 막대 아이콘을 가져옵니다,일반,세트 |@1||@2|의 아이콘으로 바로 가기 바
280001,무작위 던지기 유형,던지는 물체,무작위 던지기 유형
290001,무작위 사운드,소리,무작위 사운드
300001,서버에서 얻은 위치,데이터 저장고,서버에서 얻은 위치
300002,서버가 획득한 영역,데이터 저장고,서버가 획득한 영역
300003,서버에서 얻은 값,데이터 저장고,서버에서 얻은 값
300004,서버에서 얻은 문자열,데이터 저장고,서버에서 얻은 문자열
300005,서버에서 얻은 부울 값,데이터 저장고,서버에서 얻은 부울 값
300006,서버에서 얻은 플레이어,데이터 저장고,서버에서 얻은 플레이어
300007,서버에서 얻은 블록 유형,데이터 저장고,서버에서 얻은 블록 유형
300008,서버에서 획득한 아이템 유형,데이터 저장고,서버에서 획득한 아이템 유형
300009,서버에서 얻은 생물,데이터 저장고,서버에서 얻은 생물
300010,서버에서 얻은 생물 유형,데이터 저장고,서버에서 얻은 생물 유형
300011,서버에서 얻은 타이머,데이터 저장고,서버에서 얻은 타이머
300012,서버에서 획득한 효과 유형,데이터 저장고,서버에서 획득한 효과 유형
300013,서버에서 얻은 번호,데이터 저장고,서버에서 얻은 번호
300014,서버에서 얻은 이름(키),데이터 저장고,서버 및 리더보드 인덱스 이름(키) 가져오기
300015,서버에서 획득한 플레이어(키),데이터 저장고,서버 및 플레이어 인덱스 이름(키) 가져오기
