iD,韩语,韩语
15,내구성,아이템의 내구성을 40% 증가.
15,내구성,아이템의 내구성을 80% 증가.
15,내구성,아이템의 내구성을 160% 증가.
15,내구성,아이템의 내구성을 240% 증가.
15,내구성,아이템의 내구성을 320% 증가.
16,근접 보호,근접 저항 +1
16,근접 보호,근접 저항 +3
16,근접 보호,근접 저항 +5
16,근접 보호,근접 저항 +9
16,근접 보호,근접 저항 +15
17,장거리 저항,원거리 저항 +1
17,장거리 저항,원거리 저항 +3
17,장거리 저항,원거리 저항 +5
17,장거리 저항,원거리 저항 +9
17,장거리 저항,원거리 저항 +15
18,폭발 보호,폭발 저항 +1
18,폭발 보호,폭발 저항 +3
18,폭발 보호,폭발 저항 +5
18,폭발 보호,폭발 저항 +9
18,폭발 보호,폭발 저항 +15
19,화염 보호,화염 저항 +1
19,화염 보호,화염 저항 +3
19,화염 보호,화염 저항 +5
19,화염 보호,화염 저항 +9
19,화염 보호,화염 저항 +15
20,독 보호,독 저항 +1
20,독 보호,독 저항 +3
20,독 보호,독 저항 +5
20,독 보호,독 저항 +9
20,독 보호,독 저항 +15
21,혼돈 보호,혼돈 저항 +1
21,혼돈 보호,혼돈 저항 +3
21,혼돈 보호,혼돈 저항 +5
21,혼돈 보호,혼돈 저항 +9
21,혼돈 보호,혼돈 저항 +15
22,역공,근접 공격 중 50% 확률로 공격자에게 1 대미지를 줄 수 있습니다
22,역공,근접 공격 중 50% 확률로 공격자에게 2 대미지를 줄 수 있습니다
22,역공,근접 공격 중 50% 확률로 공격자에게 3 대미지를 줄 수 있습니다
22,역공,근접 공격 중 50% 확률로 공격자에게 4 대미지를 줄 수 있습니다
22,역공,근접 공격 중 50% 확률로 공격자에게 5 대미지를 줄 수 있습니다
23,밀어내기 저항,공격받을 시 밀어내기 거리 1m 감소.
23,밀어내기 저항,공격받을 시 밀어내기 거리 2m 감소.
23,밀어내기 저항,공격받을 시 밀어내기 거리 3m 감소.
23,밀어내기 저항,공격받을 시 밀어내기 거리 4m 감소.
23,밀어내기 저항,공격받을 시 밀어내기 거리 5m 감소.
24,정확한 수집,큐브를 수집할 때. 큐브가 떨어집니다.
25,속도,수집 속도 30% 증가.
25,속도,수집 속도 70% 증가.
25,속도,수집 속도 120% 증가.
25,속도,수집 속도 180% 증가.
25,속도,수집 속도 250% 증가.
26,행운의 땅파기,곡괭이: 16% 확률로 더블 광석 드롭 획득.
26,행운의 땅파기,곡괭이: 16%/8% 확률로 더블/트리플 광석 드롭 획득.
26,행운의 땅파기,곡괭이: 20%/10%/4% 확률로 더블/트리플/쿼드러플 광석 드롭 획득.
27,폭발 공격,화살 공격 시 목표를 폭파시킵니다.
28,드래곤의 느린 안착,추락 대미지를 150으로 감소시키고 추락 속도를 감소시킵니다.
32,속도,수집 속도 30% 증가.
30,빠른 속도로 떨어지는,떨어지는 속도를 20 % 증가 시키려면 하락시 Shift 버튼을 누르고 떨어지는 데미지는 3만큼 감소시킵니다
30,빠른 속도로 떨어지는,떨어지는 속도를 30 % 증가 시키려면 하락시 Shift 버튼을 누르고 떨어지는 데미지는 6만큼 감소시킵니다
30,빠른 속도로 떨어지는,떨어지는 속도를 40 % 증가 시키려면 떨어 뜨릴 때 Shift 버튼을 누르고 떨어지는 데미지는 9만큼 감소시킵니다.
30,빠른 속도로 떨어지는,떨어지는 속도를 50 % 증가 시키려면 하락시 Shift 버튼을 누르고 떨어지는 데미지는 15만큼 감소시킵니다
30,빠른 속도로 떨어지는,떨어지는 속도를 60 % 증가 시키려면 하락시 Shift 버튼을 누르고 떨어지는 데미지는 25만큼 감소시킵니다
31,스파이더 클라이밍,"수직면에서 올라갈 수 있고, 이동 속도가 40 % 감소하고, 2 초마다 3 회 내구성이 든다."
31,스파이더 클라이밍,"수직면에서 올라갈 수 있고, 이동 속도가 30 % 감소하고, 2 초마다 3 회 내구성이 든다."
31,스파이더 클라이밍,"
수직면을 오르면 이동 속도가 25 % 감소하고 2 초당 내구성이 2가됩니다"
31,스파이더 클라이밍,"
수직면에서 올라갈 수 있고 이동 속도가 10 % 감소하며 2 초당 내구성이 2입니다"
31,스파이더 클라이밍,수직면에서 올라갈 수 있어야하며 2 초당 1 회의 내구성이 있어야합니다.
