ID,名称,描述,说明
10032,Obtenir le nombre de valeurs dans n'importe quel groupe,Obtient le nombre de valeurs médianes dans %1,
10033,Obtenir le nombre de valeurs arbitraires dans n'importe quel groupe,Obtenir le nombre de %2 dans %1,
10034,Obtenir le nombre de n'importe quelle valeur dans n'importe quel groupe,Obtenir le nombre de %2 dans %1,
10035,Tout jugement de valeur existe dans n'importe quel groupe,%2 dans %1,
10036,Tout groupe spécifié nombre existence jugement de valeur,La valeur existe au numéro de position %2 dans %1,
10037,Chaîne d'interception,Intercepter %2- %3 chiffres de %1,
10038,Convertir une chaîne en valeur,Convertir %1 en valeur,
10039,Obtenir l'heure de l'appareil hôte,Obtenir le périphérique %1 fois,
10040,Obtenez l'heure complète de l'appareil hôte,Obtenez le temps complet de l'appareil,
10041,Type de bloc aléatoire,Type de bloc aléatoire,
10042,Chaîne fendue,"Fractionner %1, fractionner à %2, intercepter le segment %3 après fractionnement",
10043,Obtain the string with the JSON-specified mark,"Obtain %1 in JSON, content with the key name being %2",
10044,Obtenir l'heure du serveur de jeu,Obtenir %1 heure du temps du serveur de jeu,
10045,Convertir l'horodatage en unité de temps,Convertir l'horodatage %1 en %2,
10046,Obtenez du temps de serveur complet,Obtenez du temps de serveur complet,
10047,Convertir l'horodatage en temps plein,Convertir l'horodatage %1 en temps plein,
10048,Obtenir la longueur de la chaîne,Obtenir la longueur de %1,
10049,Nom du type de statut,Nom de type pour %1,
10050,description du type d'état,Description du module externe pour %1,
10051,Obtenir les coordonnées du type de bloc,"Obtenez les coordonnées %2 les plus proches de %1, recherchez sur l'axe XYZ un rayon de %3 carrés",
10052,Barre d'accessoires pour sac à dos,Obtenir %1,
10053,Bouton de la barre de raccourcis,Obtenir %1,
10054,Colonne d'équipement,Obtenir %1,
10055,Convertir le type de bloc en type d'élément,%1 convertit en type d'élément,
10056,Convertir le type d'élément en type de bloc,Convertir %1 en type de bloc,
10057,Obtenir l'identifiant actuel de la chambre,Obtenir l'identifiant actuel de la chambre,
1010001,Changement de temps,Quand le temps change,"Le temps passe de ensoleillé à pluvieux, quand il pleut à ensoleillé"
1010002,Lorsque le temps dans le groupe de terrain change,Lorsque la météo pour %1 spécifié change,Groupe commun : plaine / forêt / falaise / jungle / bassin / île vide / rivière ; groupe océanique : plage / mer profonde / mer peu profonde / île ; groupe désertique : désert / oasis ; zone froide ordinaire : forêt de conifères / champ de glace ; zone froide de pointe : iceberg ; groupe volcanique : volcan ; groupe de zones humides : forêt tropicale / marécage ; île plate et vide
1020001,Création de jeux,Lorsque le jeu est créé,"Après le compte à rebours pour entrer dans le jeu 3, 2, 1 est terminé, lorsque le jeu commence"
1020002,Temps de jeu,Quand le temps de jeu est %1,Lorsque l'heure actuelle du jeu est au moment spécifié
1020003,Exécution du jeu,Quand le jeu s'exécute %1 secondes,"Après être entré dans le jeu, exécutez après l'heure spécifiée"
1020004,Le joueur gagne,Quand le joueur gagne,
1020005,Le joueur échoue,"Quand, joueur, échoue",
1020007,Le joueur entre dans le jeu,Quand le joueur entre dans le jeu,
1020008,Le joueur quitte le jeu,Quand le joueur quitte le jeu,
1020009,Changement de minuterie,Lorsque la minuterie change,Quand une variable de minuterie dans la bibliothèque de variables change
1020010,Spécifier le changement de minuterie,Quand %1 change,Lorsque la variable de temporisation spécifiée dans la bibliothèque de variables change
1020011,Chaque fois que le jeu s'exécute (boucle),Toutes les %1 seconde le jeu s'exécute,"1. La valeur minimale est 0,05 secondes, 0.01-0 .09 prendra 0,05
2. Le jeu se déclenchera (boucle) à chaque fois qu'il s'exécutera pendant un temps spécifié"
1020012,Lorsque la salle de service cloud reçoit un message,Lorsque la salle de serveurs cloud reçoit des informations,
1020013,Recevoir la diffusion,"Lors de la réception, diffusion %1",
1020014,Les conditions sont établies,Lorsque %1 est établi,
1020015,Lorsque vous placez des plans,Lorsque le plan est placé,
1020016,Lorsque la salle de serveurs cloud reçoit le message de diffusion du serveur,Lorsque la salle de serveurs cloud reçoit la diffusion du serveur %1,
1030001,Le joueur est vaincu,Quand le joueur est vaincu,
1030002,Résurrection du joueur,Quand le joueur est ressuscité,
1030003,Changement des attributs du joueur,Lorsque l'attribut %1 du joueur change,"Lorsque l'attribut d'un joueur, tel que HP, change"
1030004,Le joueur bat la cible,"Quand, le joueur, bat la cible","Quand un joueur bat un autre joueur, créature. Le joueur vaincu, créature est le joueur cible dans l'événement, créature"
1030005,Les attaques des joueurs,Quand le joueur commence à attaquer,
1030006,Attaque du joueur,"Quand, joueur, l'attaque frappe","Quand un joueur attaque et frappe un autre joueur, créature. Le joueur touché, créature est le joueur cible dans l'événement, créature"
1030007,Le joueur inflige des dégâts,"Quand, le joueur, inflige des dégâts","Lorsqu'un joueur inflige des blessures à d'autres joueurs ou créatures. Le joueur blessé, la créature est le joueur ciblé dans l'événement, la créature"
1030008,Le joueur subit des dégâts,Lorsque le joueur est blessé,
1030009,Mouvement du joueur,Lorsque le joueur s'éloigne d'un espace,
1030010,Les joueurs utilisent des expressions animées,Lorsque les joueurs utilisent des expressions animées,
1030011,Les joueurs utilisent des objets,"Quand, joueurs, utilisez des accessoires",
1030012,Les joueurs obtiennent des objets,Lorsque le joueur obtient l'objet,
1030013,Le joueur consomme des objets,Lorsque le joueur consomme des objets,
1030014,Le joueur clique sur la créature ou le joueur,"Quand, joueur, cliquez sur la créature ou le joueur",
1030015,Le joueur clique sur le bloc,Lorsque le joueur clique sur la case,
1030016,Balade du joueur,Lorsque le joueur monte une monture / un véhicule,
1030017,Le joueur annule le trajet,Lorsque le joueur annule le trajet,
1030018,Changement d'état de mouvement du joueur,Quand le joueur démarre %1,
1030019,Les joueurs se heurtent,Lorsque le joueur entre en collision avec n'importe quel joueur / créature,
1030020,Le joueur ramasse des objets,Lorsque le joueur ramasse la goutte,
1030021,Zone d'entrée des joueurs,Quand le joueur entre %1,"L'entrée et la sortie d'événements de zone ne peuvent pas déclencher d'actions liées aux développeurs, telles que la lecture d'annonces, l'affichage de fenêtres d'achat de produits, l'ouverture de magasins de développeurs"
1030022,Le joueur quitte la zone,Quand le joueur quitte %1,"L'entrée et la sortie d'événements de zone ne peuvent pas déclencher d'actions liées aux développeurs, telles que la lecture d'annonces, l'affichage de fenêtres d'achat de produits, l'ouverture de magasins de développeurs"
1030023,Changements de la barre d'équipement du joueur,Quand la barre d'équipement du joueur change,
1030024,Changements de la barre du sac à dos du joueur,Quand la barre du sac à dos du joueur change,
1030025,Changements de la barre de raccourcis du joueur,Lorsque la barre de raccourcis du joueur change,
1030026,Le joueur sélectionne la barre de raccourcis,Lorsque le joueur sélectionne la barre de raccourcis,
1030027,Le joueur se défausse des objets,"Quand, le joueur, se défausse de l'objet",
1030028,Le joueur met son équipement,"Quand, joueur, mets ton équipement",
1030029,Le joueur enlève l'équipement,"Quand, joueur, enlève ton équipement",
1030030,Le joueur affiche les informations du chat,Lorsque la boîte de discussion du joueur affiche %1,
1030031,Le joueur entre les informations du chat,Quand le joueur envoie %1 dans la boîte de discussion,
1030032,Le joueur appuie sur le bouton,"Quand, joueur, appuyez sur %1",
1030033,Le joueur appuie sur le bouton long,"Quand le joueur, appuyez longuement sur %1",
1030034,Bouton de libération du joueur,Quand le joueur libère %1,
1030035,Le joueur gagne le statut,Quand le joueur gagne le statut,
1030036,Le joueur perd son état,Lorsque le joueur perd l'état,
1030037,Le joueur perd l'état spécifié,Quand le joueur perd le statut %1,
1030038,Le niveau du joueur a changé,Quand le niveau du joueur change,
1030039,Le joueur entre les informations du chat (y compris la chaîne),Lorsqu'un joueur entre un message contenant %1 dans la boîte de discussion,Lorsque le joueur entre le texte spécifié dans la boîte de discussion et l'envoie
1030040,Lorsque le joueur sélectionne l'élément spécifié,Lorsque le joueur sélectionne %1 dans la barre de raccourcis,
1030041,Le joueur invite des amis,Lorsque le joueur invite des amis,
1040001,Les créatures sont blessées,Quand la créature est blessée,
1040002,Attaque biologique,Quand les créatures commencent à attaquer,
1040003,Attaque biologique frappée,Quand l'attaque de la créature frappe,
1040004,Les créatures causent des dégâts,"Quand, créatures, causent des dégâts",
1040005,Les créatures sont vaincues,Quand les créatures sont vaincues,
1040006,La créature bat la cible,Quand la créature bat la cible,
1040007,Zone d'entrée biologique,Quand la créature entre dans %1,
1040008,Zone de départ biologique,Quand la créature quitte %1,
1040009,Changements dans l'état de mouvement biologique,Quand la créature démarre %1,
1040010,Collision biologique,Quand une créature entre en collision avec n'importe quel joueur / créature,
1040011,Changements dans les propriétés biologiques,Quand la propriété %1 de la créature change,
1040012,Les créatures sont créées,Quand une créature est créée,
1040013,État d'acquisition biologique,Lorsqu'une créature acquiert un état,
1040014,Perte d'état biologique,Quand les créatures perdent leur état,
1040015,Les créatures perdent leur état désigné,Quand la créature perd %1,
1040016,Cette créature est blessée,Quand de telles créatures sont blessées,
1040017,Cette créature attaque,Quand de telles créatures commencent à attaquer,
1040018,Cette attaque de créature frappe,Lorsque de telles créatures attaquent la cible,
1040019,Cette créature inflige des blessures,Lorsque de telles créatures causent des dégâts à la cible,
1040020,Cette créature est vaincue,Quand de telles créatures sont vaincues,
1040021,Cette créature bat la cible,Lorsque de telles créatures battent la cible,
1040022,L'état d'action de cette créature change,Quand une telle créature démarre %1,
1040023,Cette créature entre en collision,Lorsqu'une telle créature entre en collision avec n'importe quel joueur / créature,
1040024,Cette propriété biologique change,"Quand, les propriétés de cette créature %1 changent",
1040025,Cette créature a été créée,Quand de telles créatures sont créées,
1040026,Cette créature acquiert le statut,Lorsque de telles créatures acquièrent un état,
1040027,Cette créature perd son état,Quand de telles créatures perdent leur état,
1040028,Cette créature est cliquée par le joueur,Lorsque de telles créatures sont cliquées par le joueur,
1050001,Le bloc a été fouillé,Quand le cube est creusé,
1050002,Le cube est détruit,Lorsque le cube est détruit,
1050003,Changement d'état du commutateur de bloc,Lorsque l'état de commutation du bloc change,
1050004,Les éléments du conteneur de stockage ont changé,Lorsque le contenu du conteneur de stockage change,
1050005,Les blocs sont créés,Lorsqu'un bloc est créé,
1050006,Les conteneurs de stockage sont placés dans des accessoires,Lorsque le conteneur de stockage est mis dans l'accessoire,
1050007,Le conteneur de stockage est retiré des accessoires,Lorsque le conteneur de stockage est retiré de l'article,
1050008,Les blocs sont extraits,Lorsque les blocs sont extraits,
1050009,Le bloc est interrompu par l'exploitation minière,Lorsque le bloc est extrait mais interrompu,
1050010,Ce bloc est miné,Lorsque de tels blocs sont extraits,
1050011,Ce bloc a été fouillé,"Lorsque, un tel bloc, l'exploitation minière est terminée",
1050012,Ce bloc a été interrompu par l'exploitation minière,"Lorsque, pour de tels blocs, l'exploitation minière est interrompue",
1050013,Ce bloc est détruit,Lorsque de tels blocs sont détruits,
1050014,Ce bloc est créé,Lorsqu'un tel bloc est créé,
1050015,Ce changement d'état du commutateur de bloc,Lorsque l'état de commutation d'un tel bloc change,
1050016,Ce bloc est acquis,Lorsque le joueur / créature obtient un tel blocage,
1050017,Ce bloc est cliqué par le joueur,Lorsque le joueur clique sur un tel bloc,
1050018,Changement de couleur du carré,Quand la couleur du cube change,
1060001,Le projectile touche la cible,Quand un jet touche n'importe quel joueur / créature / bloc,
1060002,Zone d'entrée jetable,"Lorsque vous lancez des objets, entrez %1",
1060003,Les lanceurs quittent la zone,Quand le jet quitte %1,
1060004,Zone d'entrée directe,Quand l'objet drop entre %1,
1060005,Zone de dépôt,Lorsque l'objet déposé quitte %1,
1060006,Fallout a ramassé,"Quand, les objets tombés sont ramassés",
1060007,Fallout disparaît,"Quand, tombant, disparaissant",
1060008,Les lanceurs sont créés,Lorsqu'un lancer est créé,
1060009,,,
1060010,Cet article est jeté,Lorsque ces accessoires sont jetés,
1060011,Cet élément disparaît,"Lorsque de tels accessoires, la goutte disparaît",
1060012,Cet article est endommagé,Lorsque ces accessoires sont endommagés,
1060013,Ce projectile atteint la cible,Quand un tel projectile touche une cible,
1060014,Ce lancer a été créé ou consommé,Lorsque de tels projectiles sont créés ou consommés,
1060015,Cet article est consommé,Lorsque de tels articles sont consommés,
1060016,Ce paquet est ouvert,Lorsque de tels accessoires d'emballage sont ouverts,
1060017,Cet équipement est mis,Lorsque de tels équipements et accessoires sont mis,
1060018,Cet équipement est retiré,Lorsque ces équipements et accessoires sont enlevés,
1060019,Cet équipement est détruit,Lorsque de tels objets d'équipement sont détruits par le joueur / la créature,
1060020,Cet article est utilisé,Lorsque de tels objets sont utilisés par le joueur,
1060021,Lorsque le drop est créé de la manière spécifiée,Quand drop a été créé en tant que %1,
1060022,Lorsqu'une goutte est créée de quelque manière que ce soit,Lorsqu'une goutte est créée de quelque manière que ce soit,
1070001,Les effets de localisation sont créés,Lorsque des effets spéciaux sont créés à l'emplacement,
1070002,Des effets spéciaux sont créés sur le joueur,Lorsque des effets spéciaux sont créés sur le joueur,
1070003,Des effets spéciaux sur la créature sont créés,Lorsque des effets spéciaux sont créés dans les créatures,
1070004,Des effets d'objet de lancer sont créés,Lorsque des effets spéciaux sont créés sur les lancers,
1070005,Lorsque des effets spéciaux sont créés sur des objets déposés,Lorsque des effets spéciaux sont créés sur des objets déposés,
1080001,Cet état est acquis par les créatures,Lorsqu'un organisme acquiert un tel état,
1080002,Cet état est retiré de la créature,Quand les êtres vivants perdent cet état,
1080003,Ce statut est obtenu par le joueur,"Lorsque, le joueur obtient un tel état",
1080004,Ce statut est supprimé du lecteur,Lorsque le joueur perd un tel état,
1090001,Cette recette est complète,Lorsque de telles formulations sont synthétisées,
1090002,Synthèse de la formulation terminée,Lorsque la formule est synthétisée,
1100001,La fonte commence,"Quand, la fusion, commence",
1100002,Fusion terminée,"Quand, fusion, fait",
1100003,Cette fusion commence,Quand une telle fusion commence,
1100004,Cette fusion est terminée,Lorsque cette fusion est terminée,
110001,Véhicule du joueur,Véhicule pour %1,
1110001,L'intrigue commence,Quand l'intrigue commence,
1110002,Fin de l'histoire,Quand l'intrigue se termine,
1110003,Cette intrigue commence,"Quand, cette intrigue commence",
1110004,Fin de cet épisode,Quand cet épisode se termine,
1120001,Le bouton est relâché,N'importe quel bouton de l'interface courante est relâché,
1120002,L'interface est ouverte,L'interface actuelle est ouverte,
1120003,Interface fermée,L'interface actuelle est fermée,
1120004,Le bouton est enfoncé,N'importe quel bouton de l'interface courante est enfoncé,
1120005,Le joueur entre une chaîne de caractères sur l'interface,Lorsque le joueur entre n'importe quelle chaîne dans l'interface,
1120006,Le bouton de l'interface courante est relâché,%1 de l'interface courante est libéré,
1120007,Le bouton de l'interface courante est enfoncé,%1 de l'interface courante est enfoncé,
1120008,Lorsque le lecteur saisit un contenu dans la zone de texte de l'interface courante,Lorsque le lecteur entre du contenu dans %1 de l'interface courante,
1130001,lecture de musique,Lorsque la musique de l'interface commence à jouer,
1140001,Achat Membre Majeur (1 mois),Lorsque le joueur achète un abonnement de 1 mois,
1140002,Purchase Membership (3 Months),When player subscribed 3 months of Membership,
1140003,Tout joueur achète ou extrait des éléments de la boutique des développeurs,Lorsque le joueur achète ou extrait des éléments de la boutique des développeurs,
120001,Type d'effet aléatoire,Type d'effet aléatoire,
120002,Type d'effet,Type d'effet %1,
120003,Type d'effet,Type d'effet Groupe %1,
130001,Obtenez le nom de l'emplacement publicitaire en cours de lecture,Obtenez le nom de l'emplacement publicitaire en cours de lecture,
140001,Type de bloc,Type de bloc %1,
140002,Groupe de type de bloc,Type de bloc Groupe %1,
140003,Nom du type de bloc,Nom de type pour %1,
140004,Description du type de bloc,Description du module externe pour %1,
140005,Apparition des types de blocs,Apparition de %1,
150001,Tableau de mots,"Tableau de texte avec contenu %1, taille de police %2, opacité %3 %, numéro %4, Saut de ligne automatique %5",
150002,texte flottant,"Texte flottant avec contenu %1, taille de police %2, numéro %3",
150003,barre de progression,"Valeur actuelle %1, barre de progression pour la valeur maximale %2, couleur %3, nombre %4",
150004,Flèche pointant vers l'objet,"Flèche pointant vers %1, taille %2, couleur %3, nombre %4",
150005,Flèche pointant vers l'emplacement,"Flèche pointant vers %1, taille %2, couleur %3, nombre %4",
150006,Surface de guidage vers l'objet,"Surface de guidage pointant vers %1, taille %2, couleur %3, numéro %4",
150007,Surface de guidage de pointage de position,"Surface de guidage pointant vers %1, taille %2, couleur %3, numéro %4",
150008,Ligne de guidage vers l'objet,"Guide pour %1, taille %2, couleur %3, numéro %4",
150009,Ligne de guidage pointant vers l'emplacement,"Guide pour %1, taille %2, couleur %3, numéro %4",
150010,photo,"L'image est %1, la taille est %2x, l'opacité est %3 %, le nombre est %4",
160001,Couleur aléatoire,Couleur aléatoire,
170001,L'emplacement du numéro spécifié dans le groupe d'emplacements,Emplacement numéroté %2 dans %1,
170002,Emplacement aléatoire dans le groupe d'emplacement,Position aléatoire dans %1,
180001,La zone numérotée spécifiée dans le groupe de zones,Zone numérotée %2 dans %1,
180002,Zones aléatoires dans les groupes de zones,Zone aléatoire dans %1,
190001,La valeur numérique du nombre spécifié dans le groupe numérique,Valeur numérotée %2 dans %1,
190002,Valeurs aléatoires dans les groupes numériques,Valeur aléatoire dans %1,
190003,Obtenir la valeur maximale dans un groupe numérique,Obtenir la valeur maximale dans %1,
190004,Obtenir la plus petite valeur dans un groupe numérique,Obtenir la valeur minimale dans %1,
200001,String La chaîne avec le nombre spécifié dans le groupe,Chaîne %2 dans %1,
200002,Chaîne Chaîne aléatoire dans le groupe,Chaîne aléatoire dans %1,
20001,Opération numérique,%1 %2 %3,
20002,excédent,%1Mod %2,
20003,nombre aléatoire,Générer des entiers aléatoires & # 160 ; : %1 à %2,
20004,valeur maximale,%1 et %3 de %2,
20005,divisible,%1 divise %2,
20006,Valeur coordonnée de l'emplacement,%2 valeur de la coordonnée de %1,
20007,Angle horizontal entre les positions,Angle horizontal entre %1 et %2,
20008,Angle vertical entre les positions,Angle vertical entre %1 et %2,
20009,Exponentiation,%1 à la puissance de %2,
20010,carré,%1 à la puissance de %2,
20011,valeur absolue,Valeur absolue de %1,
20012,fonction trigonométrique,%1 %2 %3,
20013,Fonction logarithmique de fond fixe,%1 %2,
20014,Fonction logarithmique inférieure arbitraire,Journal %1 %2,
20015,arrondi,%2 %1,
20016,Conversion d'angle et de radian,Convertir %1 en %2,
20019,XOR logique,%1 XOR %2,
20020,4 arithmétique avancée,%1 %2 %3,
2010001,comparaison numérique,%1 %2 %3,
2010002,nombre aléatoire,%1 %2 %3,
2010003,Valeur maximale ou minimale,%1 %2 %3,
2010004,divisible,%1 %2 %3,
2010005,Valeur coordonnée de l'emplacement,%1 %2 %3,
2010006,Angle de position horizontal et position,%1 %2 %3,
2010007,Angle vertical de position à position,%1 %2 %3,
2010008,Exponentiation,%1 %2 %3,
2010009,carré,%1 %2 %3,
2010010,valeur absolue,%1 %2 %3,
2010011,fonction trigonométrique,%1 %2 %3,
2010012,arrondi,%1 %2 %3,
2010013,Conversion d'angle et de radian,%1 %2 %3,
2010018,Comparaison arbitraire des valeurs,%1 %2 %3,
2010019,logique et,%1 et %2,
2010020,logique ou,%1 ou %2,
2010021,logique non,Pas %1,
2020001,Temps de jeu,%1 %2 %3,
2020002,Nombre de joueurs,%1 %2 %3,
2020003,Jugement météorologique,%1 %2 %3,
2020004,Jugement par gravité,%1 %2 %3,
2020005,Jugement sur l'état du déclencheur,%1 est activé,
2020006,Jugement du statut du groupe de déclenchement,%1 est activé,
2030001,Jugement des attributs de l'équipe,%1 %2 %3,
2040001,Jugement des attributs du joueur,%1 %2 %3,
2040002,Nombre d'articles possédés,%1 %2 %3,
2040003,Jugement du numéro de joueur dans le groupe de joueurs,%1 %2 %3,
2040004,Jugement de l'équipe de joueurs,%1 %2 %3,
2040005,Jugement individuel du joueur,%1 %2 %3,
2040006,Orientation du joueur,%1 %2 %3,
2040007,Jugement dans le groupe de joueurs,%1 %2 dans %3,
2040008,Player is in area to determine,%1%2 is in %3,
2040009,Jugement de l'effet du statut du joueur,%1 %2 dans %3,
2040010,Jugement de l'expression de l'animation,%1 %2 est %3,
2040011,Jugement du joueur,%2 de %1 est %3,
2040012,Sélectionnez la touche de la barre de raccourcis,%1 %2 %3,
2040013,Jugement du type d'article portable,%1 %2 %3,
2040014,Jugement de la colonne d'équipement,%1 %2 %3,
2040015,Joueur portant le jugement de l'équipement,%1 %2 porte %3,
2040016,Jugement de l'apparence du joueur,%1 %2 %3,
2040017,Jugement de l'espace du sac à dos du joueur,La barre de raccourcis %1 et le sac à dos peuvent enregistrer %2 %3 pour %4,
2040018,Sac à dos de joueur tenant des accessoires pour juger,%2 de %1 détient %3 pour %4,
2040019,Jugement du type d'objet cible,Le type d'objet cible dans l'événement est %1 pour %2,
2040020,Déterminer l'amitié des joueurs,%1 %2 est une relation d'ami de %3,
2040021,Whether player follows the author,%1 has %2,
2050001,Nombre de joueurs dans un groupe de joueurs,%1 %2 %3,
2050002,Nombre de joueurs dans le groupe de joueurs,%1 %2 %3,
2050003,Joueurs avec le nombre spécifié dans le groupe de joueurs,%1 %2 %3,
2060001,propriétés biologiques,%1 %2 %3,
2060003,Le jugement dans le groupe biologique,%1 %2 dans %3,
2060004,Jugement de type biologique,%1 %2 %3,
2060005,Jugement individuel biologique,%1 %2 %3,
2060006,Orientation biologique,%1 %2 %3,
2060007,Creature is in area to determine,%1%2 is in %3,
2060008,Jugement de l'effet de l'état biologique,%1 %2 dans %3,
2060009,Jugement de l'équipe biologique,%1 %2 %3,
2060010,Jugement du nombre biologique dans le groupe biologique,%1 %2 %3,
2060011,Jugement du cadre biologique,%2 de %1 est %3,
2060012,Jugement de l'apparence biologique,%1 %2 %3,
2070001,Le nombre d'organismes dans le biome,%1 %2 %3,
2070002,Nombre spécifié d'organismes dans le groupe biologique,%1 %2 %3,
2080001,Jugement du nombre d'objets lâchés,%1 %2 %3,
2080002,Drop est dans la région,%1 %2 dans %3,
2080003,Type de poste jugement,%1 %2 %3,
2080004,Le projectile est dans la zone,%1 %2 dans %3,
2090001,Distance entre l'emplacement et la localisation,%1 %2 %3,
2090002,Jugement de type bloc,%1 %2 %3,
2090003,Jugement de l'état du commutateur de bloc,Bloquer l'état du commutateur pour %1 est %2,
2090004,Le bloc est dans le jugement de zone,%1 %2 dans %3,
2090005,Jugement d'orientation des blocs,Les blocs à %1 en regard de %2 sont %3,
2090006,Type de bloc à l'emplacement spécifié,Type de bloc %2 %3 à %1,
2090007,Jugement de réglage de bloc,%2 de %1 est %3,
2100001,Jugement temporel de la minuterie,%1 %2 %3,
2100002,Comparaison booléenne,%1 %2 %3,
2100003,Comparaison de chaînes,%1 %2 %3,
2100004,Jugement de type musical,%1 %2 %3,
2100005,Obtenir la valeur de la table du serveur pour compléter le jugement,Obtenir la valeur de la table du serveur ou du classement le jugement complet est %1,"1. Entreprendre des actions pour obtenir des valeurs à partir de tableaux ou de classements
2. Tous les paramètres de l'événement seront passés au-dessus (comme le joueur de l'événement déclencheur, la créature de l'événement déclencheur, etc.)"
2100006,Juger de l'appartenance du joueur,%1 %2 Le membre Mini World Big est %3,
210001,Valeur booléenne du nombre spécifié dans le groupe de valeurs booléennes,Booléen numéroté %2 dans %1,
210002,Valeurs booléennes aléatoires dans les groupes booléens,Booléen aléatoire dans %1,
2110001,Véhicules spécifiques aux joueurs,%1 %2 %3,
2120001,jugement d'effet,%1 %2 %3,
2130001,Faire jouer la publicité pour compléter le jugement,L'annonce en cours de lecture est définie comme %1,
2140001,Statut effet jugement,%1 %2 %3,
2140002,Jugement des éléments constitutifs,%2 de %1 détecté %3 mode de détection %4 requis %5,
2140003,Jugement exécutable,Détection du bloc de construction exécutable %2 de %1 pour le mode de détection %3 %4 requis %5,
2140004,Jugement de l'environnement d'exploitation,Vérifiez s'il est actuellement en cours d'exécution dans la classe,
2150001,Jugement des composantes,%1 %2 %3 sur %4,
2150002,Jugement de page,%1 %2 %3,
220001,Le type de bloc avec le numéro spécifié dans le groupe de type de bloc,Type de bloc numéroté %2 dans %1,
220002,Type de bloc aléatoire dans le groupe de type de bloc,Type de bloc aléatoire dans %1,
221001,"Détection, similitude de zone",Similarité de la zone de détection & # 160 ; : zone d'origine %1 destination origine %2 mode de détection %3,
221002,Groupe de type bloc dans la zone,Obtenir le groupe de type de bloc dans %1,
221003,Nombre total de blocs dans la zone,Obtenir le nombre total de blocs dans %1,
221004,Nombre de blocs du type spécifié dans la zone,Obtient le nombre de blocs de type %2 dans %1,
230001,Le type de poste avec le numéro spécifié dans le groupe de types de poste,Type d'élément numéroté %2 dans %1,
230002,Type de poste aléatoire dans le groupe de types de poste,Type d'élément aléatoire dans %1,
240001,Le type d'organisme avec le numéro spécifié dans le groupe de types biologiques,Type biologique numéroté %2 dans %1,
240002,Types biologiques aléatoires dans le groupe des types biologiques,Type de créature aléatoire dans %1,
250001,Minuterie avec le numéro spécifié dans le groupe de minuterie,Minuterie numérotée %2 dans %1,
250002,Minuterie aléatoire dans le groupe de minuterie,Minuterie aléatoire dans %1,
260001,Le type d'effet avec le numéro spécifié dans le groupe de types d'effet,Type d'effet numéroté %2 dans %1,
260002,Types d'effets aléatoires dans le groupe de types d'effets,Type d'effet aléatoire dans %1,
270004,Icône pour le type d'article,Icône pour %1,
270005,Icône biologique,Icône pour %1,
270006,Icône de type de créature,Icône pour %1,
270007,Icône de statut,Icône pour %1,
270008,Icône de type de bloc,Icône pour %1,
