ID,名字,描述,获得方式
125,Sable brûlant,Le sable jaune dégageant une odeur brûlante peut être rapidement extrait avec des outils de pelle,
126,Mogu rock,Les pierres dans des endroits inconnus ne sont pas facilement détruites par des explosions,Les marchands vendent parfois
127,bloc de mousse,Carrés décoratifs,
128,Sable rouge,"De rares tas de sable rouge, riches en éléments minéraux, peuvent devenir très instables lorsqu'ils sont mélangés à de la glace combustible",Parfois trouvé dans les îles de latérite et les îles de corail
129,Neige épaisse,,
130,Épaisses congères,"Je veux construire un bonhomme de neige ensemble, ou avoir un combat de boules de neige",
131,Glace solide,Glace super dure qui ne peut pas être secouée,
132,Sable de cristal de soufre,"Apparaissant dans la lave de l'étoile de flamme, elle ne peut être extraite que #n #c0aba1d pelle en or tungstène. C'est l'un des matériaux permettant de fabriquer des cristaux chaotiques. Elle éclatera lorsqu'elle sera bloquée par du fluide","#c0aba1d la vie est précieuse, merci de n'imiter aucun comportement in-game #n"
133,Ruche vide,"Maintenant, il n'y a pas de miel pour rester, mettez #c0aba1d des feuilles de pêcher #n peuvent accumuler du miel",
134,Ruche pleine,"Une ruche pleine de miel, attention aux abeilles! Utilisez une petite bouteille en verre pour le miel en bouteille",
135,Totem mystérieux - Terre,Les statues de pierre de grande importance dans les civilisations anciennes ne sont plus que décoratives.,Collection de reliques de la civilisation maya
136,Totem mystérieux - Ciel,Les statues de pierre de grande importance dans les civilisations anciennes ne sont plus que décoratives.,Collection de reliques de la civilisation maya
137,Cratère d'étoiles aux yeux mignons,,
138,Cube de pollution,,
139,Bataille BOSS à l'aide de blocs,,
140,Livestone,"L'autel magique construit par les héros antiques représente la force vitale de Myra ; selon la légende, placer des objets sacrés correspondants sur trois types d'autels peut libérer le pouvoir créateur de la planète et forcer les choses mauvaises à apparaître",
141,Pierre de courage,"L'autel magique construit par les héros antiques représente le courage et la puissance de l'étoile de flamme ; selon la légende, placer les objets saints correspondants sur les trois autels peut libérer le pouvoir créateur de la planète et forcer les mauvaises choses à apparaître",
142,Pierre de sagesse,"L'autel magique construit par les héros antiques représente la sagesse et la puissance de l'étoile aux yeux mignons ; selon la légende, placer des objets sacrés correspondants sur trois types d'autels peut libérer le pouvoir créateur de la planète et forcer les mauvaises choses à apparaître",
143,Autel brisé,"L'ancien autel, en raison de son âge, a été fouillé après avoir été incapable de restaurer son état d'origine, a perdu sa magie ; #r la légende raconte que les anciens héros ont construit trois autels sacrés sur le volcan et y ont placé trois objets sacrés, ce qui peut libérer la planète Le pouvoir de la création, forçant les choses mauvaises à apparaître",
144,Bouteille en verre de myrte rouge,"Lorsqu'il est placé, il illumine une petite zone environnante",Attraper des papillons dans de petites bouteilles en verre sur un terrain insulaire vide
145,Bouteille en verre papillon bleu,"Lorsqu'il est placé, il illumine une petite zone environnante",Attraper des papillons dans de petites bouteilles en verre sur un terrain insulaire vide
146,Bouteille en verre papillon parfumé,"Lorsqu'il est placé, il illumine une petite zone environnante",Attraper des papillons dans de petites bouteilles en verre sur un terrain insulaire vide
147,Bouteille en verre papillon blanc,"Lorsqu'il est placé, il illumine une petite zone environnante",Attraper des papillons dans de petites bouteilles en verre sur un terrain insulaire vide
148,Bouteille en verre Longxindie,"Lorsqu'il est placé, il illumine une petite zone environnante",Attraper des papillons dans de petites bouteilles en verre sur un terrain insulaire vide
149,Bouteille en verre papillon cloche languette,"Lorsqu'il est placé, il illumine une petite zone environnante",Attraper des papillons dans de petites bouteilles en verre sur un terrain insulaire vide
150,terres cultivées en latérite,Des cultures spéciales peuvent être cultivées et doivent être maintenues humides près de l'eau ou irriguées avec des douches,Obtenu en utilisant un râteau pour récupérer la latérite
151,fosse de latérite,Des plantes spéciales peuvent être cultivées et doivent être maintenues humides près de l'eau ou irriguées avec une douche,Utiliser une pelle pour récupérer la latérite afin d'obtenir
152,Planète roche plaque verticale,"Dalles légères érigées, empilables pour varier l'épaisseur",Traitement avec de jolies pierres étoiles à la table de l'artisan
153,Panneau de bambou feuille verticale,Planches de bois légères verticales qui peuvent être empilées pour varier l'épaisseur,Transformé avec du bambou à la table de l'artisan
154,Feuille verticale carmin,Planches de bois légères verticales qui peuvent être empilées pour varier l'épaisseur,Peint à la peinture carmin à la table de l'artisan
155,Brique de ciment feuille verticale,"Dalles légères érigées, empilables pour varier l'épaisseur",Usinage avec des briques de ciment à la table de l'artisan
156,Feuille verticale de brique de soufre,"Dalles légères érigées, empilables pour varier l'épaisseur",Travailler avec des briques de soufre à la table de l'artisan
157,Feuille verticale en pierre,"Dalles légères érigées, empilables pour varier l'épaisseur",Travailler la pierre à la table de l'artisan
158,Tôle verticale en brique de pierre raffinée,"Dalles légères érigées, empilables pour varier l'épaisseur",Travailler avec la roche à la table de l'artisan
159,Feuille verticale en alliage de titane,Plaques métalliques verticales minces et légères qui peuvent être empilées pour changer d'épaisseur,Usiné à l'alliage de titane à la table de l'artisan
160,Feuille verticale en laiton,Plaques métalliques verticales minces et légères qui peuvent être empilées pour changer d'épaisseur,Travailler avec le laiton à la table de l'artisan
161,Mica feuille verticale,Plaques métalliques verticales minces et légères qui peuvent être empilées pour changer d'épaisseur,Transformé avec du mica à la table de l'artisan
162,Plaque verticale en mithril,Plaques métalliques verticales minces et légères qui peuvent être empilées pour changer d'épaisseur,Transformé au mithril à la table de l'artisan
163,Plaque verticale flamboyante,Plaques métalliques verticales minces et légères qui peuvent être empilées pour changer d'épaisseur,Traitée avec des flammes flamboyantes à la table de l'artisan
164,Assiette verticale jaune citron,Planches de bois légères verticales qui peuvent être empilées pour varier l'épaisseur,Peint à la peinture jaune citron au bureau de l'artisan
165,Feuille verticale à la chaux,Planches de bois légères verticales qui peuvent être empilées pour varier l'épaisseur,Peinture à la peinture à la chaux à la table de l'artisan
166,Plaque mince verticale rouge châtaignier profond,Planches de bois légères verticales qui peuvent être empilées pour varier l'épaisseur,Peint à la peinture acajou châtaignier à la table de l'artisan
167,Plaque verticale orange coucher de soleil,Planches de bois légères verticales qui peuvent être empilées pour varier l'épaisseur,Peint avec de la peinture orange coucher de soleil au bureau de l'artisan
168,Plaque verticale rouge bégonia,Planches de bois légères verticales qui peuvent être empilées pour varier l'épaisseur,Peint avec de la peinture rouge Begonia au bureau de l'artisan
169,Feuille verticale blanc ivoire,Planches de bois légères verticales qui peuvent être empilées pour varier l'épaisseur,Peint à la peinture blanc ivoire au bureau de l'artisan
170,Assiette verticale orange feuille d'automne,Planches de bois légères verticales qui peuvent être empilées pour varier l'épaisseur,Peint avec de la peinture orange feuille d'automne au bureau de l'artisan
171,Feuille verticale,Planches de bois légères verticales qui peuvent être empilées pour varier l'épaisseur,Travailler le bois à la table de l'artisan
172,Feuille verticale en brique jaune,"Dalles légères érigées, empilables pour varier l'épaisseur",Traitée avec des briques jaunes à la table de l'artisan
173,Bloc de manganèse feuille verticale,Plaques métalliques verticales minces et légères qui peuvent être empilées pour changer d'épaisseur,Traitement avec des nodules de manganèse à la station de l'artisan
174,Feuille verticale gris clair,Planches de bois légères verticales qui peuvent être empilées pour varier l'épaisseur,Peint avec de la peinture gris clair au bureau de l'artisan
200,Bois de cerisier,"Tronc de cerisier, peut être transformé en @item_800# en @item_11323#, peut être utilisé pour la décoration, peut également être utilisé comme carburant","Incrustez#c0aba1d sur l'outil de hache pour obtenir la rune complète#n , puis coupez-la pour obtenir"
201,Mélèze,"Les troncs de mélèze, qui peuvent être transformés en @item_800# en @item_11323#, peuvent être utilisés pour la décoration et peuvent également être utilisés comme combustible","Incrustez#c0aba1d sur l'outil de hache pour obtenir la rune complète#n , puis coupez-la pour obtenir"
202,Peuplier,"Tronc de peuplier, peut être transformé en @item_800# en @item_11323#, peut être utilisé pour la décoration, peut également être utilisé comme combustible","Incrustez#c0aba1d sur l'outil de hache pour obtenir la rune complète#n , puis coupez-la pour obtenir"
203,Redwood,"Tronc de séquoia, peut être transformé en @item_800# en @item_11323#, peut être utilisé pour la décoration, peut également être utilisé comme combustible","Incrustez#c0aba1d sur l'outil de hache pour obtenir la rune complète#n , puis coupez-la pour obtenir"
204,nanmu,"Tronc Nanmu, peut être traité dans @item_800# dans @item_11323#, peut être utilisé pour la décoration, peut également être utilisé comme carburant","Incrustez#c0aba1d sur l'outil de hache pour obtenir la rune complète#n , puis coupez-la pour obtenir"
205,Noyer,"Tronc de noyer, peut être transformé en @item_800# en @item_11323#, peut être utilisé pour la décoration, peut également être utilisé comme combustible","Incrustez#c0aba1d sur l'outil de hache pour obtenir la rune complète#n , puis coupez-la pour obtenir"
206,planche de bois,"Matériau de construction de base, largement utilisé dans les bâtiments en bois",Travailler le bois à la table de l'artisan
207,Planche orange feuille d'automne,"Matériau de construction de base, largement utilisé dans les bâtiments en bois",Peint avec de la peinture orange feuille d'automne au bureau de l'artisan
208,Bois blanc ivoire,"Matériau de construction de base, largement utilisé dans les bâtiments en bois",Peint à la peinture blanc ivoire au bureau de l'artisan
209,Planche de bois rouge Begonia,"Matériau de construction de base, largement utilisé dans les bâtiments en bois",Peint avec de la peinture rouge Begonia au bureau de l'artisan
210,Planche orange coucher de soleil,"Matériau de construction de base, largement utilisé dans les bâtiments en bois",Peint avec de la peinture orange coucher de soleil au bureau de l'artisan
211,Planche en acajou châtaignier profond,"Matériau de construction de base, largement utilisé dans les bâtiments en bois",Peint à la peinture rouge châtain profond à la table de l'artisan
212,Sapling de cerisier,"Peut être utilisé comme combustible, mais brûle très vite",
213,Mélèze,"Peut être utilisé comme combustible, mais brûle très vite",
214,Les gaules de peuplier,"Peut être utilisé comme combustible, mais brûle très vite",
215,Jeunes arbres de séquoia,"Peut être utilisé comme combustible, mais brûle très vite",
216,Nanmu sapling,"Peut être utilisé comme combustible, mais brûle très vite",
217,Sapling de noyer,"Peut être utilisé comme combustible, mais brûle très vite",
218,Feuilles de cerisier,Peut être utilisé comme carburant pour @item_1200# ou comme couvre-chef de #c0aba1dsnowman#n.,
219,Feuilles de mélèze,Peut être utilisé comme carburant pour @item_1200# ou comme couvre-chef de #c0aba1dsnowman#n.,
220,Feuilles de peuplier,Peut être utilisé comme carburant pour @item_1200# ou comme couvre-chef de #c0aba1dsnowman#n.,
221,Feuilles de séquoia,Peut être utilisé comme carburant pour @item_1200# ou comme couvre-chef de #c0aba1dsnowman#n.,
222,Phoebe s'en va,Peut être utilisé comme carburant pour @item_1200# ou comme couvre-chef de #c0aba1dsnowman#n.,
223,Feuilles de noyer,Peut être utilisé comme carburant pour @item_1200# ou comme couvre-chef de #c0aba1dsnowman#n.,
224,herbe,"#c0aba1d détruire #n, il est possible d'obtenir #c0aba1d poignée de mauvaises herbes #n","Le ciel est vaste, le sauvage est vaste, le vent souffle l'herbe et voit le bétail et les moutons"
225,herbe desséchée,"Utilisez #c0aba1d #n outils pour récolter #c0aba1d l'herbe morte #n, tandis que le reste #c0aba1d une poignée de mauvaises herbes #n","Liliyuan est sur l'herbe, un an et un an"
226,Pousse de sol,"Une plante qui prospère dans l’ombre et sert de matière première pour la cuisine. Le consommer directement #c0aba1drestaure l'Endurance#n, mais sachez que cela peut provoquer des #c0aba1dproblèmes digestifs#n. La rumeur dit qu'il aurait des interactions intrigantes avec l'arbre à spores #c0aba1dHoras#n sur l'île d'Horas.",
227,Périlla,"Une plante qui prospère dans l’ombre et sert de matière première pour la cuisine. Le consommer directement #c0aba1drestaure l'Endurance#n, mais sachez que cela peut provoquer des #c0aba1dproblèmes digestifs#n. La rumeur dit qu'il aurait des interactions intrigantes avec l'arbre à spores #c0aba1dHoras#n sur l'île d'Horas.",
228,Trémière,#c0aba1dNourrir les cerfs à bois#n pour les aider à accéder au statut de #c0aba1dproduction de lait#n,Pousse dans la #c0aba1drainforest#n
229,Maïs,"Peut être transformé en @item_344#, et @item_344# est la matière première de base pour la cuisine. Peut être rôti sur @item_1200#","Plantez @item_11400# sur @item_102#, ou en récoltant du maïs sauvage pour obtenir"
230,Buru géant,,Plantez @item_11401# sur @item_102# pour obtenir
231,Semis de brucelles géantes,"Avec la lumière du soleil et de l'eau, après un certain temps, les fruits pousseront sur les semis",
232,racine d'air,"Les racines aériennes suspendues au grand arbre sont extrêmement résistantes et peuvent supporter le poids des personnes. Ne grimpez pas trop haut, faites attention à tomber!",
233,latérite,"Sol rouge rare, ingrédients riches et exotiques, les plantes qui y poussent subiront des changements magiques","La légende raconte qu'il y a une île au milieu de la mer, où il y a de la terre rouge partout"
234,riz,"Cultivant dans les eaux du #c0aba1d bassin #n, il peut être transformé en bol de riz cru, puis cuit dans un bol de riz cuit dans un pot en pierre #r nourri à l'oiseau Dudu peut le faire entrer dans l'état de reproduction",Planter des graines de riz sur une surface d'eau avec de la terre ou du sable jaune au fond et une hauteur d'une grille
236,Concombre,Peut être cultivé sur @item_102#.#rYou peut nourrir #c0aba1dDwen#n pour obtenir @item_11311#.,Obtenu par hasard en détruisant Clay Jar ou en battant Boom Egg.
237,Fruit séquoia,Le fruit sur le séquoia est la matière première pour la cuisson,
238,Herbe de ronce,"Herbe épineuse, #c0aba1d dommages #n après qu'il est possible d'obtenir #c0aba1d une poignée de mauvaises herbes #n",
239,Mégamarine,"Il est trop gros, il doit être coupé pour être mangé! Il doit être traité dans la table de l'artisan.",Des graines de fruits à écailles géantes peuvent également être obtenues sur des terres cultivées
240,Semis de plumes à écailles géantes,"Avec la lumière du soleil et de l'eau, après un certain temps, les fruits pousseront sur les semis",
241,Patate douce,Peut être planté sur @item_101#. Peut être rôti sur @item_1200#,A une chance d'être obtenu en détruisant les pots d'argile
242,Tige de cactus,"Cultivé dans #c0aba1d le désert #n, il peut être transformé en armes épineuses avec des bâtons de bois!",Également disponible dans les fosses de sol en utilisant des graines de cactus
243,Maïs sauvage,Il est possible d'obtenir #c0aba1d du maïs après destruction #n,"Maïs cultivé sauvagement, peu nutritif en raison du manque de soins"
244,Sapin de Noël,"Arbre à feuilles persistantes décoré par le Père Noël, généralement utilisé pour décorer les bâtiments",Acheter dans le magasin du Père Noël lors des événements de Noël
245,plantes aquatiques,"Plantes aquatiques qui poussent dans #c0aba1d la mer peu profonde #n, en raison de la croissance complexe, il est facile d'emmêler les créatures et les accessoires qui restent sur eux, essayez de ne pas rester trop longtemps, si vous êtes assez chanceux, vous pouvez également trouver des trésors rares en eux",
246,Kelp,Les plantes aquatiques communes qui poussent en #c0aba1d mer peu profonde #n ont la probabilité de tomber #c0aba1d varech après destruction #n,Inlay Acquisition complète de runes pour récolter le varech
247,Pétales flottants,"#n dispersé sur #c0aba1d surface de l'eau, peut être placé sur la surface de l'eau pour la décoration",
248,Planche flottante,Posé sur l'eau #c0aba1d supporter le poids #n,Usinage avec des planches de bois à la table de l'artisan
249,pomme de pin,Mélèze pour cuisiner des plats délicieux,
250,Lotus,"Se développe sur #c0aba1d la surface de l'eau #n, peut être placé sur la surface de l'eau pour la décoration",
251,bambou,"Après avoir utilisé #c0aba1d panda #n, il est possible d' #c0aba1d apprivoiser #n #r #c0aba1d nourrir #n panda apprivoisé, des perches creuses en bambou peuvent être obtenues","Cultivé dans #c0aba1d la forêt #nde bambous, peut également être obtenu en plantant des pousses de bambou dans des fosses de sol"
252,feuilles de bambou,"Peut être utilisé comme décoration, il y a un risque de chute de pousses de bambou après des dommages.",
253,pousses de bambou,Planté dans #c0aba1d fosse #n peut se transformer en bambou,Il est possible de détruire les feuilles de bambou
254,Acajou,"Avec#c0aba1d les outils de hache#n peuvent être rapidement coupés#r peuvent être transformés en @item_11323#, peuvent également être utilisés comme combustible",
255,Feuilles de pêcher,Peut être utilisé comme combustible pour @item_1200# ou comme matière première pour la production d'oxygène.#rFeeding il à Redchisk peut le faire se reproduire. Il peut également être utilisé comme couvre-chef de #c0aba1dsnowman#n.,
256,Floraison de pêcher,Dans #c0aba1d les fosses #n se transforment en pêchers,Endommager les feuilles de pêcher a une chance de tomber
257,Zhenmu,"Avec#c0aba1d les outils de hache#n peuvent être rapidement coupés#r peuvent être transformés en @item_11323#, peuvent également être utilisés comme combustible",
258,Feuilles de genwood,Peut être utilisé comme carburant pour @item_1200# ou comme couvre-chef de #c0aba1dsnowman#n.,
259,Zhenmu sapling,Semis de bois précieux,Les feuilles de bois précieux endommagées ont une chance de tomber
260,Bois précieux sans feuilles,"Se développe sur la surface stérile de l'étoile de l'oeil mignon, et le fruit de l'oxygène peut être planté sur le côté",Utiliser une #c0aba1d hache en mithril #n ou des outils de hache plus avancés
261,Tige de spores Starlight,"En plantant des pousses de bambou à côté, la périlla mutera #c0aba1d #n",Croissant dans l'ombre sous #c0aba1d Sky Island #n
262,Mousse,"Une croissance végétale humide et riche en humidité. Il a tendance à rendre le sol glissant, et le briser donnera @item_11595##r. Même à l'ombre, là où la chaleur du soleil n'atteint pas, la mousse prospère et ajoute une touche de vitalité verte.",
263,Graines d'astrospores,"#c0aba1d planté #n à l'ombre de l'adorable pierre d'étoile des yeux, après un certain temps, des spores de lumière des étoiles pousseront",
264,Planche en bois de tilleul,"Matériau de construction de base, largement utilisé dans les bâtiments en bois",Peinture à la peinture à la chaux à la table de l'artisan
265,Planches de bois précieux sans feuilles,Peut être utilisé pour la décoration,En bois précieux sans feuilles à la table de l'artisan
266,Pousses de bambou mutant,"#c0aba1d retrouver 15 d'endurance après avoir consommé #net obtiendront les effets spéciaux suivants #r #c0aba1d fluorescence, creuser frénétique ou creuser la fatigue.",Spores de starlight mutées près des pousses de bambou
267,perilla mutée,"#c0aba1d retrouver 15 de force physique après avoir consommé #n, et obtiendront les effets spéciaux suivants #r #c0aba1d état de fluorescence, de récupération de vie ou d'empoisonnement.",Mutations de spores de lumière stellaire près de la pérille
268,Tige de plante mutée,,Croissant dans l'ombre sous #c0aba1d Sky Island #n
269,Gazon de couleur fluorescente,Un des matériaux pour la fabrication de petites boules fluorescentes et de grosses boules fluorescentes,Grandir sur #c0aba1d île #n
270,astrospore,"#c0aba1d récupérer 15 de force physique après avoir mangé #n, et obtenir #c0aba1d état fluorescent #n, probabilité d'obtenir une vision nocturne ou un état vertigineux","Cultivant dans l'ombre sous l'île du ciel étoilé aux yeux mignons, la plantation de graines de spores de lumière des étoiles peut également être obtenue"
271,astrospore,"#c0aba1d récupérer 15 de force physique après avoir mangé #n, et obtenir #c0aba1d état fluorescent #n, probabilité d'obtenir une vision nocturne ou un état vertigineux","Cultivant dans l'ombre sous l'île du ciel étoilé aux yeux mignons, la plantation de graines de spores de lumière des étoiles peut également être obtenue"
272,astrospore,"#c0aba1d récupérer 15 de force physique après avoir mangé #n, et obtenir #c0aba1d état fluorescent #n, probabilité d'obtenir une vision nocturne ou un état vertigineux","Cultivant dans l'ombre sous l'île du ciel étoilé aux yeux mignons, la plantation de graines de spores de lumière des étoiles peut également être obtenue"
273,astrospore,"#c0aba1d récupérer 15 de force physique après avoir mangé #n, et obtenir #c0aba1d état fluorescent #n, probabilité d'obtenir une vision nocturne ou un état vertigineux","Cultivant dans l'ombre sous l'île du ciel étoilé aux yeux mignons, la plantation de graines de spores de lumière des étoiles peut également être obtenue"
274,astrospore,"#c0aba1d récupérer 15 de force physique après avoir mangé #n, et obtenir #c0aba1d état fluorescent #n, probabilité d'obtenir une vision nocturne ou un état vertigineux","Cultivant dans l'ombre sous l'île du ciel étoilé aux yeux mignons, la plantation de graines de spores de lumière des étoiles peut également être obtenue"
275,astrospore,"#c0aba1d récupérer 15 de force physique après avoir mangé #n, et obtenir #c0aba1d état fluorescent #n, probabilité d'obtenir une vision nocturne ou un état vertigineux","Cultivant dans l'ombre sous l'île du ciel étoilé aux yeux mignons, la plantation de graines de spores de lumière des étoiles peut également être obtenue"
