iD,法语,法语
18,Protection contre les explosions,Résistance aux explosions +1
18,Protection contre les explosions,Résistance aux explosions +3
18,Protection contre les explosions,Résistance aux explosions +5
18,Protection contre les explosions,Résistance aux explosions +9
18,Protection contre les explosions,Résistance aux explosions +15
19,Protection contre les flammes,Résistance aux flammes +1
19,Protection contre les flammes,Résistance aux flammes +3
19,Protection contre les flammes,Résistance aux flammes +5
19,Protection contre les flammes,Résistance aux flammes +9
19,Protection contre les flammes,Résistance aux flammes +15
20,Protection contre le poison,Résistance au poison +1
20,Protection contre le poison,Résistance au poison +3
20,Protection contre le poison,Résistance au poison +5
20,Protection contre le poison,Résistance au poison +9
20,Protection contre le poison,Résistance au poison +15
21,Protection contre le chaos,Résistance au chaos +1
21,Protection contre le chaos,Résistance au chaos +3
21,Protection contre le chaos,Résistance au chaos +5
21,Protection contre le chaos,Résistance au chaos +9
21,Protection contre le chaos,Résistance au chaos +15
22,Contre-attaque,Donne 50% de chance d'infliger 5 pt de dégâts aux assaillants pendant une attaque de melée
22,Contre-attaque,Donne 50% de chance d'infliger 10 pt de dégâts aux assaillants pendant une attaque de melée
22,Contre-attaque,Donne 50% de chance d'infliger 15 pt de dégâts aux assaillants pendant une attaque de melée
22,Contre-attaque,Donne 50% de chance d'infliger 20 pt de dégâts aux assaillants pendant une attaque de melée
22,Contre-attaque,Donne 50% de chance d'infliger 25 pt de dégâts aux assaillants pendant une attaque de melée
23,Résistance aux revers,Diminue la distance de revers de 1 m lors d'une attaque.
23,Résistance aux revers,Diminue la distance de revers de 2 m lors d'une attaque.
23,Résistance aux revers,Diminue la distance de revers de 3 m lors d'une attaque.
23,Résistance aux revers,Diminue la distance de revers de 4 m lors d'une attaque.
23,Résistance aux revers,Diminue la distance de revers de 5 m lors d'une attaque.
24,Collection précise,"Lorsque vous collectez des cubes, les cubes tomberont."
25,Vitesse,Augmente la vitesse de collection de 30%.
25,Vitesse,Augmente la vitesse de collection de 70%.
25,Vitesse,Augmente la vitesse de collection de 120%.
25,Vitesse,Augmente la vitesse de collection de 180%.
25,Vitesse,Augmente la vitesse de collection de 250%.
26,Creusement chanceux,"« Pioche : 16% de chance d'obtenir le double de drops de minerai. 
Pelle : Augmente la chance de drops du gravier de 20%. »"
26,Creusement chanceux,"« Pioche : 16%/8% de chance d'obtenir le double/le triple de drops de minerai. 
Pelle : Augmente la chance de drops du gravier de 33%. »"
26,Creusement chanceux,"« Pioche : 20%/10%/4% de chance d'obtenir le double/le triple/le quadruple de drops de minerai. 
Pelle : Augmente la chance de drops du gravier de 100%. »"
27,Tir explosif,La cible explosera lorsqu'elle est frappée par une flèche.
28,Chute lente du dragon,Les dégâts de chute sont réduits de 150 et la vitesse de chute diminue.
32,Vitesse,Augmente la vitesse de collection de 30%.
30,Chute rapide,"En maintenant le bouton Shift enfoncé pour augmenter la vitesse de chute de 20%, diminuez les dégâts de 3"
30,Chute rapide,"En maintenant le bouton Shift enfoncé pour augmenter la vitesse de chute de 30%, diminuez les dégâts de 6"
30,Chute rapide,"En maintenant le bouton Shift enfoncé pour augmenter la vitesse de chute de 40%, diminuez les dégâts de 9"
30,Chute rapide,"En maintenant le bouton Shift enfoncé pour augmenter la vitesse de chute de 50%, diminuez les dégâts de 15"
30,Chute rapide,"En maintenant le bouton Shift enfoncé pour augmenter la vitesse de chute de 60%, diminuez les dégâts de 25"
31,Spider Climbing,"Être capable de grimper sur n'importe quel plan vertical, diminuer la vitesse de déplacement de 40%, coûter 3 durabilité toutes les 2 secondes"
31,Spider Climbing,"Être capable de grimper sur n'importe quel plan vertical, diminuer la vitesse de déplacement de 30%, coûter 3 durabilité toutes les 2 secondes"
31,Spider Climbing,"
Être capable de grimper sur n'importe quel plan vertical, diminuer la vitesse de déplacement de 25%, coûter 2 points de durabilité toutes les 2 secondes"
31,Spider Climbing,"
Être capable de grimper sur n'importe quel plan vertical, diminuer la vitesse de déplacement de 10%, coûter 2 durabilité pour 2 secondes"
31,Spider Climbing,"Être capable de monter sur n'importe quel plan vertical, coûte 1 durabilité toutes les 2 secondes"
