ID,名字,类别名,描述
50006,Angle face au joueur,Joueur,@1|'s facing angle
50007,Nom de joueur,Joueur,@1|'s name
50008,Déterminer l'individu,Joueur,@1||@2||@3
50009,Déterminer l'ensemble de joueurs,Joueur,@1||@2| in |@3
50010,Déterminer la région,Joueur,@1||@2| in Area |@3
50011,Déterminer le statut,Joueur,@1||@2| obtains |@3| effect
50012,Hôte,Joueur,Host
50018,Équipe du joueur,Joueur,@1|'s team
50019,Player's Private Variable(Region),Joueur,@1|'s |@2|(Area)
50020,Player's Private Variable(Location),Joueur,@1|'s |@2|(Location)
50021,Player's Private Variable(Value),Joueur,@1|'s |@2|(Value)
50022,Player's Private Variable(String),Joueur,@1|'s |@2|(String)
50023,Player's Private Variable(Boolean Values),Joueur,@1|'s |@2|(Boolean Values)
50024,Player's Private Variable(Player),Joueur,@1|'s |@2|(Player)
50025,Player's Private Variable(Player Group),Joueur,@1|'s |@2|(Player Group)
50026,Player's Private Variable(Block Type),Joueur,@1|'s |@2|(Block Type)
50027,Player's Private Variable(Item Type),Joueur,@1|'s |@2|(Item Type)
50028,Player's Private Variable(Creature),Joueur,@1|'s |@2|(Creature)
50029,Player's Private Variable(Creature Type),Joueur,@1|'s |@2|(Creature Type)
50030,Player's Private Variable(Creature Group),Joueur,@1|'s |@2|(Creature Group)
50031,Player's Private Variable(Timer),Joueur,@1|'s |@2|(Timer)
50032,Joueur de variable privée (type d'effet spécial),Joueur,@1| 's |@2| (type d'effet spécial)
50033,La direction que les points à réticule,Joueur,La direction |@1| les points à réticule
50034,Le type d'élément de poche,Joueur,Le type d'élément de poche |@1
50035,Joueur,Joueur,|@1
50036,Groupe joueur,Joueur,|@1
50037,Joueur désigné Apparence,Joueur,@1| apparence
50038,Groupe de joueurs,Joueur,|@1
50039,Variable privée du joueur (groupe de localisation),Joueur,|@2| of |@1| (Location Group)
50040,Variable privée du joueur (groupe régional),Joueur,|@2| of |@1| (Area Group)
50041,Variable privée du joueur (groupe numérique),Joueur,|@2| of |@1| (numeric group)
50042,Variable privée du joueur (groupe de cordes),Joueur,|@2| of |@1|  (character string group)
50043,Variable privée du joueur (groupe booléen),Joueur,|@2| of |@1| (Boolean group)
50044,Variable privée du joueur (groupe de types de bloc),Joueur,|@2| of |@1|  (block type group)
50045,Variable privée du joueur (groupe de type accessoires),Joueur,|@2| of |@1|  (props type group)
50046,Variable privée du joueur (groupe de types de créature),Joueur,|@2| of |@1| (Creature Type Group)
50047,Variable privée du joueur (groupe de minuterie),Joueur,|@2| of |@1| (Timer Group)
50048,Variable privée du joueur (groupe de types d'effets spéciaux),Joueur,|@2| of |@1| (Special Effect Type Group)
50049,Type d'apparence aléatoire,Joueur,Type d'apparence aléatoire
50050,Obtenir l'UID du joueur,Joueur,Obtenir l'UID de |@1
50051,Obtenir un joueur avec un UID spécifique,Joueur,Obtenir un joueur avec |@1| UID
50052,Le joueur qui tire le projectile,Joueur,Le joueur qui tire le projectile
60001,Nombre de joueurs dans l'ensemble de joueurs,Groupe de joueurs,Number of player in |@1
60002,ID du joueur dans l'ensemble de joueurs,Groupe de joueurs,@2|'s ID in |@1
60003,Nombre de joueurs en jeu,Groupe de joueurs,Number of players in current game
60004,Sélectionner l'ID du joueur dans l'ensemble de joueurs,Groupe de joueurs,Player numbered |@2| in |@1
60005,Joueur aléatoire dans un ensemble de joueurs,Groupe de joueurs,Random players in |@1
60006,All Players,Groupe de joueurs,All Players
60007,All Players in team,Groupe de joueurs,All Players in |@1
60008,All Players in Region,Groupe de joueurs,All Players in |@1
70001,L'emplacement de la créature,Biologie,Localisation de |@1
70002,Créature Arrtibute,Créature,@1|'s |@2
70004,Obtenir un identifiant de créature dans le jeu de créatures,Créature,ID of |@2| in |@1
70005,Angle face à la créature,Créature,@1|'s facing angle
70006,Nom du type de créature,Créature,Type name of |@1
70007,Déterminer l'individu,Créature,@1||@2||@3
70008,Déterminer le type,Créature,@1||@2||@3
70009,Déterminer le groupe de créatures,Créature,@1||@2| in set |@3
70010,Déterminer la région,Créature,@1||@2| in Area |@3
70011,Déterminer le statut,Créature,@1||@2| obtains |@3| effect
70012,Équipe de créature,Créature,@1|'s team
70013,Sélectionnez le type de créature,Créature,Type of |@1
70014,Type de créature aléatoire,Créature,type de créature au hasard
70015,Creature Type,Créature,|@1
70016,Creature Group,Créature,|@1
70017,Apparence de créature désignée,Créature,@1|Appearance
70018,Creature Group,Créature,|@1
70019,Groupe de types de créature,Créature,|@1
70020,Créature,Créature,|@1
70021,Des créatures qui tirent des projectiles,biologie,Des créatures qui tirent des projectiles
80001,Nombre de créatures dans l'ensemble de créatures,Groupe de créature,Number of creature in |@1
80002,Sélectionner un identifiant de créature dans le groupe de créatures,Groupe de créature,Creature numbered |@2| in |@1
80003,Créature aléatoire dans le groupe de créatures,Groupe de créature,Random creature in |@1
80004,All Creatures in Team,Groupe de créature,All Creatures in |@1
80005,All Creatures in Region,Groupe de créature,All Creatures in |@1
90001,Lieu de dépôt,Article,Location of |@1
90002,Nombre d'élément de largage,Article,Number of |@1
90003,Nombre d'éléments ayant changé dans le sac à dos du joueur,Article,The number of items that have changed in the player's backpack
90004,Nom du type d'élément,Article,Type name of |@1
90005,Déterminer le type,Article,@1||@2||@3
90006,Déterminer la zone de dépôt,Article,@1||@2| in Area |@3
90007,Déterminer la région du projectile,Article,@1||@2| in Area |@3
90008,Déposer le type d'élément,Article,Type of |@1
90009,Type d'élément,Article,|@1
90012,Groupe de type prop,Article,|@1
90013,Type de repère aléatoire,Article,Type de repère aléatoire
100001,Mode météorologique mondial actuel,Monde,Obtenez le mode météo global actuel
100002,Distance de position à position,Monde,The distance between |@1| and |@2
100003,Comparaison de la météo,Monde,@1||@2||@3
100004,Comparaison de bloc,Monde,@1||@2||@3
100005,Basculer l'état du bloc,Monde,Toggle state of blocks in |@1
100006,Déterminer l'emplacement dans la région,Monde,@1||@2| in Area |@3
100007,Sélectionnez le type de bloc dans un emplacement spécifique,Monde,Block type of |@1
100008,Réalisation: d'une postion à l'autre,Monde,The direction from |@1| to |@2
100009,La direction des trois axes de coordonnées absolues,Monde,"The direction of X|@1|, Y|@2|, Z|@3"
100010,La direction de coordonnées sphériques absolues,Monde,"The direction of azimuth angle |@1|, elevation|@2"
100011,Position,Monde,|@1
100012,Région,Monde,|@1
100013,Minuteur,Monde,|@1
100014,groupe Emplacement,Monde,|@1
100015,groupe Région,Monde,|@1
100016,groupe Timer,Monde,|@1
100017,Temps aléatoire,Monde,Temps aléatoire
100018,Météo pour les groupes de terrain,Monde,@1| météo
110001,Sélectionnez le véhicule du joueur,Monde,Vehicle of |@1
120001,Type aléatoire d'effets spéciaux,Effets spéciaux,Type aléatoire d'effets spéciaux
120002,Effet spéciaux Type,Effets spéciaux,|@1
120003,Groupe de types d'effet spécial,Effets spéciaux,|@1
130001,L'annonce actuelle,Jouer,L'annonce actuelle
140001,Type de bloc,Bloquer,|@1
140002,Groupe de types de blocs,Bloquer,|@1
150001,Zone de texte,affichage infos,"Contenu de la zone de texte: |@1|, Taille de la police: |@2|, opacité de fond: |@3|%, ID: |@4"
150002,texte flottant,affichage infos,"contenu du texte flottant: |@1|, Taille de la police: |@2|, ID: |@3|"
150003,Progess Bar,affichage infos,"Réglages pour la barre de progression, Valeur actuelle: |@1|, Max Valeur: |@2|, Bar Couleur: |@3|, ID: |@4|"
150004,Flèche pointant vers l'objet cible,affichage infos,"Point à |@1|, la taille de la flèche est |@2|, la couleur est |@3|, l'ID est |@4"
150005,Flèche pointant vers l'emplacement,affichage infos,"Point à |@1|, la taille de la flèche est |@2|, la couleur est |@3|, l'ID est |@4"
150006,zone Guide pointage pour objet cible,affichage infos,"Point à |@1|, la taille de la zone de guidage est |@2|, la couleur est |@3|, l'ID est |@4"
150007,Guide de zone indiquant l'emplacement,affichage infos,"Point à |@1|, la taille de la zone de guidage est |@2|, la couleur est |@3|, l'ID est |@4"
150008,Ligne directrice pointant vers l'objet cible,affichage infos,"Point à |@1|, la taille de la ligne directrice est |@2|, la couleur est |@3|, l'ID est |@4"
150009,Ligne directrice de pointage à l'emplacement,affichage infos,"Point à |@1|, la taille de la ligne directrice est |@2|, la couleur est |@3|, l'ID est |@4"
160001,Couleur aléatoire,Couleur,Couleur aléatoire
170001,ID de position dans le groupe de position,groupe Emplacement,The position ID |@2| in |@1
170002,emplacement aléatoire dans le groupe de localisation,groupe Emplacement,Position aléatoire dans |@1
180001,ID de zone dans le groupe de la zone,groupe régional,La zone ID |@2| dans |@1
180002,zone aléatoire dans le groupe de la zone,groupe régional,Zone aléatoire dans le |@1
190001,Valeur ID dans le groupe de valeurs,groupe numérique,The value ID |@2| in |@1
190002,valeur aléatoire dans le groupe de valeurs,groupe numérique,Valeur aléatoire dans |@1
190003,Obtenez la valeur maximale dans un groupe de nombre,groupe numérique,Obtenez la valeur maximale dans |@1
190004,Obtenez la valeur minimale dans un groupe de nombre,groupe numérique,Obtenir la valeur minimale dans |@1
200001,ID de chaîne dans le groupe de chaîne,groupe String,L'ID de chaîne |@2| dans |@1
200002,chaîne aléatoire dans le groupe de chaîne,groupe String,Chaîne aléatoire dans |@1
210001,ID booléenne dans le groupe de valeur booléenne,valeur booléenne,L'identifiant booléen |@2| dans |@1
210002,Aléatoire valeurs booléennes dans un groupe de valeur booléenne,valeur booléenne,Boolean aléatoire dans le |@1
220001,ID bloc dans le groupe de type de bloc,Type de bloc,L'ID de bloc |@2| dans |@1
220002,type de bloc aléatoire dans le groupe de type de bloc,Type de bloc,Type de bloc aléatoire dans |@1
230001,ID de l'article dans le groupe de type d'élément,Type d'élément,L'identifiant de l'article |@2| dans |@1
230002,types d'éléments aléatoires dans le groupe type d'élément,Type d'élément,Type d'article aléatoire dans |@1
240001,Créature ID dans le groupe type de créature,Type de Créature,L'identifiant de la créature |@2| dans |@1
240002,type de créature au hasard dans le groupe type de créature,Type de Créature,Créature aléatoire Type dans |@1
250001,ID Timer dans le groupe de temporisateurs,groupe Timer,L'identifiant de la minuterie |@2| dans |@1
250002,minuterie aléatoire dans le groupe de temporisateurs,groupe Timer,Type de minuterie aléatoire dans |@1
260001,Effet spécial ID dans le groupe de type effet spécial,Effet spéciaux Type,L'ID d'effet spécial |@2| dans |@1
260002,types aléatoires d'effets spéciaux dans le groupe de type effet spécial,Effet spéciaux Type,Effet spécial aléatoire Type de type |@1
270004,Obtenir l'icône Type d'article,Général,|@1
270005,Obtenez une icône de créature,Général,|@1
270006,Obtenez l'icône Type de créature,Général,|@1
270007,Obtenir l'icône de statut,Général,|@1
270008,Obtenir l'icône de type bloc,Général,|@1
270009,Obtenez l'icône du personnage actuel du joueur,Général,Courant |@1| Icône de caractère
270010,Obtenez l'icône de barre de raccourci du joueur,Général,Ensemble |@1| Barre de raccourci comme icône de |@2
280001,Type de lancement aléatoire,Objection,Type de lancement aléatoire
290001,Son aléatoire,Sonner,Son aléatoire
300001,Localisation obtenue par le serveur,Stockage de données,Localisation obtenue par le serveur
300002,Zone obtenue par le serveur,Stockage de données,Zone obtenue par le serveur
300003,Valeur obtenue par le serveur,Stockage de données,Valeur obtenue par le serveur
300004,Chaîne de caractères obtenue par le serveur,Stockage de données,Chaîne de caractères obtenue par le serveur
300005,Valeur booléenne obtenue par le serveur,Stockage de données,Valeur booléenne obtenue par le serveur
300006,Joueur obtenu par le serveur,Stockage de données,Joueur obtenu par le serveur
300007,Type de bloc obtenu par le serveur,Stockage de données,Type de bloc obtenu par le serveur
300008,Type d'objet obtenu par le serveur,Stockage de données,Type d'objet obtenu par le serveur
300009,Créature obtenue par le serveur,Stockage de données,Créature obtenue par le serveur
300010,Type de créature obtenu par le serveur,Stockage de données,Type de créature obtenu par le serveur
300011,Timer obtenu par le serveur,Stockage de données,Timer obtenu par le serveur
300012,Type d'effet obtenu par le serveur,Stockage de données,Type d'effet obtenu par le serveur
300013,Numéro obtenu par le serveur,Stockage de données,Numéro obtenu par le serveur
300014,Nom obtenu par le serveur (clés),Stockage de données,Obtenir le nom de l'index du serveur et du classement (clés)
300015,Joueur obtenu par le serveur (clés),Stockage de données,Obtenir le nom de l'index du serveur et du lecteur (clés)
