接口ID,法语,法语,法语,法语,法语,法语,法语
20004,Monde,isGodMode,World:isGodMode(),none,"ErrorCode.OK, result:boolean",mode de création multi-joueurs ou en mode d'édition personnalisé,"local result = World:isGodMode()
if result==ErrorCode.OK then print('Multiplayer mode') end"
20005,Monde,isExtremityMode,World:isExtremityMode(),none,"ErrorCode.OK, result:boolean",Hardcore,"local result = World:isExtremityMode()
if result==ErrorCode.OK then print('Hardcore mode') end"
20006,Monde,isFreeMode,World:isFreeMode(),none,"ErrorCode.OK, result:boolean",Survival Mode - Mode gratuit,"local result = World:isFreeMode()
if result==ErrorCode.OK then print('Survival mode-Free mode') end"
20007,Monde,isSurviveMode,World:isSurviveMode(),none,"ErrorCode.OK, result:boolean",mode simple ou en mode Survie - Mode gratuit,"local result = World:isSurviveMode()
if result==ErrorCode.OK then print('Single Survival mode') end"
20008,Monde,isCreateRunMode,World:isCreateRunMode(),none,"ErrorCode.OK, result:boolean",Mode Survie tourné du mode de création,"local result = World:isCreateRunMode()
if result==ErrorCode.OK then print('Survival mode, turned from creation mode') end"
20009,Monde,isGameMakerMode,World:isGameMakerMode(),none,"ErrorCode.OK, result:boolean",mode d'édition sur mesure,"local result = World:isGameMakerMode()
if result==ErrorCode.OK then print('Customized edit mode') end"
20010,Monde,isGameMakerRunMode,World:isGameMakerRunMode(),none,"ErrorCode.OK, result:boolean",Mode personnalisé fonctionnent,"local result = World:isGameMakerRunMode()
if result==ErrorCode.OK then print('Customized operation mode') end"
20011,Monde,getHours,World:getHours(),none,"ErrorCode.OK, result:number",Heure actuelle (h),"local result, dayTime = World:getHours()
if result==ErrorCode.OK then print('Current time:', dayTime) end"
20012,Monde,getCameraEditState,World:getCameraEditState(),none,"ErrorCode.OK, state:number0Default，1Edit，2Test",Obtenir afficher l'état d'édition,"local result, state = World:getCameraEditState()
if result==ErrorCode.OK then print('Current view editing state:', state) end"
20013,Monde,setCameraEditState,World:setCameraEditState(state),state:CameraEditState,ErrorCode.OK,Set afficher l'état d'édition,"--Get Camera(userdata)，Back to nil
local result, config = World:getCustomCameraConfig()
if result==ErrorCode.OK and config~=nil then --Customized view
        config:setOption(CAMERA_OPTION_INDEX_CONFIG_SET, CCG_FLATVIEW)
end"
20014,Monde,getCustomCameraConfig,World:getCustomCameraConfig(),none,"ErrorCode.OK, config:CameraEditState",Obtenir la configuration de la caméra sur mesure,local result = World:getCustomCameraConfig()
20015,Monde,getRangeXZ,World:getRangeXZ(),none,"ErrorCode.OK, startX|startZ|endX|endZ:number",Obtenir la plage de bloc (bloc),"local result, startX,startZ,endX,endZ = World:getRangeXZ()
if result==ErrorCode.OK then print('StartXZ=(',startX,', ',startZ,'), EndXZ=(',endX,', ',endZ,')')  end"
20016,Monde,getActorsByBox,"World:getActorsByBox(objtype, x1, y1, z1, x2, y2, z2)","type:number designate type, x1|y1|z1:number starting point, x2|y2|z2:number ending point","ErrorCode.OK, num:number, objids:tableobjid array",Obtenir acteur dans une zone désignée,"local actorType = 0 --OBJ_TYPE_MONSTER
local x1, y1, z1 = -5, 1, -5
local x2, y2, z2 = 15, 9, 15
local ret, num, array = World:getActorsByBox(actorType, x1,y1,z1, x2,y2,z2)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20017,Monde,getPlayerTotal,World:getPlayerTotal(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number Number",Obtenir tous les joueurs. Peut contrôler leur situation de survie,local result = World:getPlayerTotal(alive)
20018,Monde,getAllPlayers,World:getAllPlayers(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number number, array:table player uin array",Obtenir tous les joueurs. Peut contrôler leur situation de survie,"local aliveType = -1 --Get all players data
local ret, num, array = World:getAllPlayers(aliveType)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20019,Monde,randomOnePlayer,World:randomOnePlayer(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, uin:number",Joueur aléatoire,"local aliveType = 1 --Any survivors Id
local ret, playerId = World:randomOnePlayer(aliveType)
if ret == ErrorCode.OK then print('Player ===>> ', playerId) end"
20020,Monde,despawnActor,World:despawnActor(objid),objid:number,ErrorCode.OK,Retirez acteur,"local ret, num, array = World:getActorsByBox(aType, x1,y1,z1, x2,y2,z2)
if array and #array>0 then --Remove Actor
        local result = World:despawnActor(array[#array])
        if result == ErrorCode.OK then print('Despawn the last actor') end
end"
20021,Monde,spawnCreature,"World:spawnCreature(x, y, z, actorid, num)","x|y|z:number, mobid:number, num:number","ErrorCdoe.OK, objids:tableobjid array","Générer créature (y compris monstre, NPC, animaux, etc.)","local x, y, z = 6, 7, 8
local actorId, actorCnt = 3812, 2 --Little cow
local ret, objids = World:spawnCreature(x, y, z, actorId, actorCnt)
if objids and #objids>0 then
        for idx = 1, #objIds do --Set the Oxygen dependence
                Creature:setOxygenNeed(objids[idx], true)
        end 
end"
20022,Monde,despawnCreature,World:despawnCreature(objid),objid:number,ErrorCode.OK,Retirez la créature,"local result = World:despawnCreature(objids[1])
if result == ErrorCode.OK then print('Despawn the creature') end"
20023,Monde,spawnItem,"World:spawnItem(x, y, z, itemid, num)","x|y|z:number, itemid:number, num:number","ErrorCode.OK, objid:number",Générer des éléments dans l'emplacement désigné,"local xPos, yPos, zPos = 5, 6, 7
local itemId, itemCnt = 15003, 30 --Item's id and number
local ret, objIds = World:spawnItem(xPos, yPos, zPos, itemId, itemCnt)
if ret == ErrorCode.OK then print(""Item[1]====>>>"", objIds[1]) end"
20024,Monde,despawnItemByBox,"World:despawnItemByBox(x1, y1, z1, x2, y2, z2)","x1|y1|z1:number starting point, x2|y2|z2:number ending point",ErrorCode.OK,Supprimer des éléments (par région),"local x1, y1, z1 = -5, 5, -5
local x2, y2, z2 = 15, 9, 15
local result = World:despawnItemByBox(x1,y1,z1, x2,y2,z2)
if result == ErrorCode.OK then print('Successfully remove Item in designate region') end"
20025,Monde,despawnItemByObjid,World:despawnItemByObjid(objid),objid:number,ErrorCode.OK,Supprimer l'élément (par ID),"local result = World:despawnItemByObjid(objIds[1])
if result == ErrorCode.OK then print('Successfully remove designate item') end"
20026,Monde,spawnProjectile,"World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)","shooter:number, itemid:number, x|y|z:number, dirx|diry|dirz:number, speed:number",ErrorCode.OK,générer Projectile,"local result = World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)"
30001,Bloc,isSolidBlock,"Block:isSolidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Si le bloc est l'entité,"local result = Block:isSolidBlock(x, y, z)"
30002,Bloc,isLiquidBlock,"Block:isLiquidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Si le bloc est fluide,"local result = Block:isLiquidBlock(x, y, z)"
30003,Bloc,isAirBlock,"Block:isAirBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Si le bloc est l'air,"local result = Block:isAirBlock(x, y, z)"
30004,Bloc,getBlockID,"Block:getBlockID(x, y, z)",x|y|z:number,"ErrorCode.OK, id:number",Obtenir id bloc correspondant,"local result = Block:getBlockID(x, y, z)"
30005,Bloc,setBlockAll,"Block:setBlockAll(x, y, z, blockid, data)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Mettre à jour blockalldata et informer,"local result = Block:setBlockAll(x, y, z, blockid, data)"
30006,Bloc,destroyBlock,"Block:destroyBlock(x, y, z, dropitem)","x|y|z:number, dropitem:boolean",ErrorCode.OK,Détruire le bloc,"local result = Block:destroyBlock(x, y, z, dropitem)"
30007,Bloc,placeBlock,"Block:placeBlock(blockid, x, y, z, face)","blockid:number, x|y|z:number, face:number","ErrorCode.OK, ret:boolean whether it is placed right",Placez le bloc,"local result = Block:placeBlock(blockid, x, y, z, face)"
30008,Bloc,setBlockAllForUpdate,"Block:setBlockAllForUpdate(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Définir blockalldata et informer les blocs environnants,"local result = Block:setBlockAllForUpdate(x, y, z, blockid)"
30009,Bloc,setBlockAllForNotify,"Block:setBlockAllForNotify(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Définir blockalldata et mettre à jour les blocs de position actuelle,"local result = Block:setBlockAllForNotify(x, y, z, blockid)"
30010,Bloc,setBlockSettingAttState,"Block:setBlockSettingAttState(blockid, atttype, switch)","blockid:number, atttype:BLOCKATTR, switch:boolean",ErrorCode.OK,Définir l'attribut de bloc et de l'état,"local result = Block:setBlockSettingAttState(blockid, atttype, switch)"
30011,Bloc,getBlockSwitchStatus,Block:getBlockSwitchStatus(pos),x|y|z:number,"ErrorCode.OK, isactive:boolean",Obtenir état de marche-arrêt du bloc fonctionnel,local result = Block:getBlockSwitchStatus(pos)
30012,Bloc,setBlockSwitchStatus,"Block:setBlockSwitchStatus(pos, isactive)","x|y|z:number, isactive:boolean",ErrorCode.OK,Mettre en état d'arrêt du bloc fonctionnel,"local result = Block:setBlockSwitchStatus(pos, isactive)"
40001,Acteur de jeu,isPlayer,Actor:isPlayer(objid),objid,ErrorCode.OK is player is player,Détecter s'il est un joueur,local result = Actor:isPlayer(objid)
40002,Acteur de jeu,isMob,Actor:isMob(objid),objid,ErrorCode.OK is monster is monster,Détecter si elle est un monstre,local result = Actor:isMob(objid)
40003,Acteur de jeu,getObjType,Actor:getObjType(objid),objid,"ErrorCode.OK, objtype:number",Obtenez le type d'acteur: créature / joueur ...,local result = Actor:getObjType(objid)
40004,Acteur de jeu,isInAir,Actor:isInAir(objid),objid:number,ErrorCode.OK,Si elle est dans l'air,local result = Actor:isInAir(objid)
40005,Acteur de jeu,getPosition,Actor:getPosition(objid),objid,"ErrorCode.OK, x|y|z:number",Obtenez l'emplacement de l'acteur,local result = Actor:getPosition(objid)
40006,Acteur de jeu,setPosition,"Actor:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Définissez l'emplacement de l'acteur,"local result = Actor:setPosition(objid, x, y, z)"
40007,Acteur de jeu,jump,Actor:jump(objid),objid:number,ErrorCode.OK,Saut,local result = Actor:jump(objid)
40008,Acteur de jeu,killSelf,Actor:killSelf(objid),objid:number,ErrorCode.OK,Tuez-vous,local result = Actor:killSelf(objid)
40009,Acteur de jeu,getCurPlaceDir,Actor:getCurPlaceDir(objid),objid:number,"ErrorCode.OK, dir:number",Obtenez la direction actuelle face,local result = Actor:getCurPlaceDir(objid)
40010,Acteur de jeu,tryMoveToActor,"Actor:tryMoveToActor(self_objid, target_objid, speed)","self_objid:number, target_objid:number, speed:number",ErrorCode.OK,Déplacer vers l'acteur cible,"local result = Actor:tryMoveToActor(self_objid, target_objid, speed)"
40011,Acteur de jeu,tryMoveToPos,"Actor:tryMoveToPos(objid, x, y, z, speed)","objid:number, x|y|z:number, speed:number",ErrorCode.OK,Déplacer vers l'acteur cible,"local result = Actor:tryMoveToPos(objid, x, y, z, speed)"
40012,Acteur de jeu,addBuff,"Actor:addBuff(objid, buffid, bufflv, customticks)","objid:number, buffid:number, bufflv:number, customticks:number",ErrorCode.OK,obtenir Buff,"local result = Actor:addBuff(objid, buffid, bufflv, customticks)"
40013,Acteur de jeu,hasBuff,"Actor:hasBuff(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ret:boolean",Si elle a un buff,"local result = Actor:hasBuff(objid, buffid)"
40014,Acteur de jeu,removeBuff,"Actor:removeBuff(objid, buffid)","objid:number, buffid:number",ErrorCode.OK,Supprimer le buff,"local result = Actor:removeBuff(objid, buffid)"
40015,Acteur de jeu,clearAllBuff,Actor:clearAllBuff(objid),objid:number,ErrorCode.OK,Effacer tout le buff,local result = Actor:clearAllBuff(objid)
40016,Acteur de jeu,clearAllBadBuff,Actor:clearAllBadBuff(objid),objid:number,ErrorCode.OK,Effacer tout le buff négatif,local result = Actor:clearAllBadBuff(objid)
40017,Acteur de jeu,getBuffList,Actor:getBuffList(objid),objid:number,"ErrorCode.OK, num:numberbuff number, array:tablebuffid array",Obtenez la liste des buff,local result = Actor:getBuffList(objid)
40018,Acteur de jeu,getBuffLeftTick,"Actor:getBuffLeftTick(objid, buffid)","objid:number, buffid:number","ErrorCode.OK, ticks:number",Obtenez le itck restante de buff correspondante de l'indice courant,"local result = Actor:getBuffLeftTick(objid, buffid)"
40019,Acteur de jeu,addHP,"Actor:addHP(objid, hp)","objid:number, hp:number",ErrorCode.OK,Augmenter HP courant,"local result = Actor:addHP(objid, hp)"
40020,Acteur de jeu,getHP,Actor:getHP(objid),objid:number,"ErrorCode.OK, value:number",Obtenez HP en cours,local result = Actor:getHP(objid)
40021,Acteur de jeu,getMaxHP,Actor:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Obtenez HP actuelle max,local result = Actor:getMaxHP(objid)
40022,Acteur de jeu,addOxygen,"Actor:addOxygen(objid, oxygen)","objid:number, oxygen:number",ErrorCode.OK,Augmenter le volume d'oxygène,"local result = Actor:addOxygen(objid, oxygen)"
40023,Acteur de jeu,getOxygen,Actor:getOxygen(objid),objid:number,"ErrorCode.OK, value:number",Obtenez le volume d'oxygène,local result = Actor:getOxygen(objid)
40024,Acteur de jeu,addEnchant,"Actor:addEnchant(objid, slot, enchantId, enchantLevel)","objid:number, slot:number, enchantId:number, enchantLevel:number",ErrorCode.OK,Incease le charme de l'équipement correspondant,"local result = Actor:addEnchant(objid, slot, enchantId, enchantLevel)"
40025,Acteur de jeu,removeEnchant,"Actor:removeEnchant(objid, slot, enchantId)","objid:number, slot:number, enchantId:number",ErrorCode.OK,enchantement clair de l'équipement correspondant,"local result = Actor:removeEnchant(objid, slot, enchantId)"
40026,Acteur de jeu,findNearestBlock,"Actor:findNearestBlock(objid, blockid, blockRange)","objid:number, blockid:number, blockRange","ErrorCode.OK, x|y|z:number",Trouver tous les ID du bloc le plus proche,"local result = Actor:findNearestBlock(objid, blockid, blockRange)"
40027,Acteur de jeu,setFaceYaw,"Actor:setFaceYaw(objid, yaw)","objid:number, yaw:number angle",ErrorCode.OK,Réglez l'angle de déviation en travers de la vue de l'acteur,"local result = Actor:setFaceYaw(objid, yaw)"
40028,Acteur de jeu,getFaceYaw,Actor:getFaceYaw(objid),objid:number,"ErrorCode.OK, yaw:number",Obtenez l'angle de déviation en travers de la vue de l'acteur,local result = Actor:getFaceYaw(objid)
40029,Acteur de jeu,turnFaceYaw,"Actor:turnFaceYaw(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Changer l'angle de déviation en travers de l'acteur,"local result = Actor:turnFaceYaw(objid, offset)"
40030,Acteur de jeu,setFacePitch,"Actor:setFacePitch(objid, pitch)","objid:number, pitch:number upward view",ErrorCode.OK,Réglez l'angle vers le haut de la vue de l'acteur,"local result = Actor:setFacePitch(objid, pitch)"
40031,Acteur de jeu,getFacePitch,Actor:getFacePitch(objid),objid:number,"ErrorCode.OK, pitch:number",Obtenez l'angle vers le haut de la vue de l'acteur,local result = Actor:getFacePitch(objid)
40032,Acteur de jeu,turnFacePitch,"Actor:turnFacePitch(objid, offset)","objid:number, offset:number rotation angle",ErrorCode.OK,Changer l'angle de déviation vers le haut de l'acteur,"local result = Actor:turnFacePitch(objid, offset)"
40033,Acteur de jeu,playBodyEffect,"Actor:playBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Jouez les effets,"local result = Actor:playBodyEffect(objid, type)"
40034,Acteur de jeu,stopBodyEffect,"Actor:stopBodyEffect(objid, type)","objid:number, type:number effect type ACTORBODY_EFFECT",ErrorCode.OK,Arrêtez les effets,"local result = Actor:stopBodyEffect(objid, type)"
40035,Acteur de jeu,playBodyEffectByFile,"Actor:playBodyEffectByFile(objid, filename, sync)","objid:number, filename:string file name, sync:bool synchronize",ErrorCode.OK,Jouez les effets de fichiers,"local result = Actor:playBodyEffectByFile(objid, filename, sync)"
40036,Acteur de jeu,stopBodyEffectByFile,"Actor:stopBodyEffectByFile(objid, filename)","objid:number, filename:string file name",ErrorCode.OK,Arrêtez les effets de fichiers,"local result = Actor:stopBodyEffectByFile(objid, filename)"
40037,Acteur de jeu,playSound,"Actor:playSound(objid, name, volume, pitch, flag)","objid:number, name:string, volume:number, pitch:number, flag:number",ErrorCode.OK,Jouer son,"local result = Actor:playSound(objid, name, volume, pitch, flag)"
40038,Acteur de jeu,playSoundSpecial,"Actor:playSoundSpecial(objid, name, type)","objid:number, name:string, type:number designate name (GSOUND_TYPE)",ErrorCode.OK,Lire le son (type spécifique: GSOUND_TYPE),"local result = Actor:playSoundSpecial(objid, name, type)"
40039,Acteur de jeu,clearActorWithId,"Actor:clearActorWithId(actorid, bkill)","actorid:number, bkill:boolean",ErrorCode.OK,Effacer id de la créature dont l'identifiant est ActorID,"local result = Actor:clearActorWithId(actorid, bkill)"
40040,Acteur de jeu,setAttackType,"Actor:setAttackType(objid, attacktype)","objid:number, attacktype:number",ErrorCode.OK,Définissez le type de dégâts,"local result = Actor:setAttackType(objid, attacktype)"
40041,Acteur de jeu,setImmuneType,"Actor:setImmuneType(objid, immunetype, isadd)","objid:number, immunetype:number, isadd:number",ErrorCode.OK,Régler le type d'immunité de dommages,"local result = Actor:setImmuneType(objid, immunetype, isadd)"
40042,Acteur de jeu,mountActor,"Actor:mountActor(objid, mountobjid, posindex)","objid:number, mountobjid:number, posindex:number ride",ErrorCode.OK,"Enfourchez, hors du véhicule","local result = Actor:mountActor(objid, mountobjid, posindex)"
40043,Acteur de jeu,setActionAttrState,"Actor:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,"Définir le comportement, l'attribut et l'état de créature","local result = Actor:setActionAttrState(objid, actionattr, switch)"
40044,Acteur de jeu,tryNavigationToPos,"Actor:tryNavigationToPos(objid, x, y, z, cancontrol)","objid:number, x|y|z:number, cancontrol:boolean",ErrorCode.OK,Trouver le chemin vers la cible,"local result = Actor:tryNavigationToPos(objid, x, y, z, cancontrol)"
40045,Acteur de jeu,getRidingActorObjId,Actor:getRidingActorObjId(objid),objid:number,ErrorCode.OK,Obtenez objid du Pferd,local result = Actor:getRidingActorObjId(objid)
50001,Joueur,getAttr,Player:getAttr(attrtype),"objid:number, atttype:number","ErrorCode.OK, value:number",néant,local result = Player:getAttr(attrtype)
50002,Joueur,setAttr,"Player:setAttr(attrtype, val)","objid:number, val:number, atttype:number",ErrorCode.OK,néant,"local result = Player:setAttr(attrtype, val)"
50003,Joueur,getHostUin,Player:getHostUin(),nil,"ErrorCode.OK, uin:number",Obtenez l'hôte,local result = Player:getHostUin()
50004,Joueur,isMainPlayer,Player:isMainPlayer(objid),objid:number,ErrorCode.OK is local player is local player,Détecter s'il est joueur local,local result = Player:isMainPlayer(objid)
50005,Joueur,getMainPlayerUin,Player:getMainPlayerUin(),nil,"ErrorCode.OK, uin:number",Obtenez le uin du joueur local,local result = Player:getMainPlayerUin()
50006,Joueur,getGameResults,Player:getGameResults(objid),objid:number,"ErrorCode.OK, value:number",Obtenir le résultat du jeu,local result = Player:getGameResults(objid)
50007,Joueur,setGameResults,"Player:setGameResults(objid, result)","objid:number, result",ErrorCode.OK,Définir résultat du jeu,"local result = Player:setGameResults(objid, result)"
50008,Joueur,getGameScore,Player:getGameScore(objid),objid:number,"ErrorCode.OK, value:number",Obtenir un meilleur score du jeu,local result = Player:getGameScore(objid)
50009,Joueur,setGameScore,"Player:setGameScore(objid, score)",objid:number,"ErrorCode.OK, value:number",Set score de jeu,"local result = Player:setGameScore(objid, score)"
50010,Joueur,getGameRanking,Player:getGameRanking(objid),objid:number,"ErrorCode.OK, rank:number",Obtenez le rang de joueur,local result = Player:getGameRanking(objid)
50011,Joueur,setGameRanking,"Player:setGameRanking(objid, rank)","objid:number, rank:number",ErrorCode.OK,Réglez le rang de joueur,"local result = Player:setGameRanking(objid, rank)"
50012,Joueur,gainItems,"Player:gainItems(objid, itemid, num, prioritytype)","objid:number, itemid:number, num:number, prioritytype:number(1 is shortcut bar prior 2 is backpack bar prior)",ErrorCode.OK,Ajouter des articles pour les joueurs,"local result = Player:gainItems(objid, itemid, num, prioritytype)"
50013,Joueur,teleportHome,Player:teleportHome(objid),objid:number,ErrorCode.OK,Transfert à frayer le point,local result = Player:teleportHome(objid)
50014,Joueur,getCurToolID,Player:getCurToolID(objid),objid:number,"ErrorCode.OK, ret",Obtenez l'ID d'article actuellement détenu par le joueur,local result = Player:getCurToolID(objid)
50015,Joueur,getNickname,Player:getNickname(objid),objid:number,"ErrorCode.OK, name:string",Obtenez le nom du joueur,local result = Player:getNickname(objid)
50016,Joueur,removeBackpackItem,"Player:removeBackpackItem(objid, itemid, num)","objid:number, itemid:number, num:number",ErrorCode.OK,Supprimer des éléments dans sac à dos,"local result = Player:removeBackpackItem(objid, itemid, num)"
50017,Joueur,getDieTimes,Player:getDieTimes(objid),objid:number,"ErrorCode.OK, value:number",Obtenez le nombre de décès,local result = Player:getDieTimes(objid)
50018,Joueur,getLeftLifeNum,Player:getLeftLifeNum(objid),objid:number,"ErrorCode.OK, value:number",Obtenez le nombre de vies restantes à gauche,local result = Player:getLeftLifeNum(objid)
50019,Joueur,setTeam,"Player:setTeam(objid, team)","objid:number, teamid:number",ErrorCode.OK,Définir l'équipe de créature,"local result = Player:setTeam(objid, team)"
50020,Joueur,getTeam,Player:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Obtenez l'équipe de créature,local result = Player:getTeam(objid)
50021,Joueur,getFoodLevel,Player:getFoodLevel(objid),objid:number,ErrorCode.OK,Obtenez le courant satiété,local result = Player:getFoodLevel(objid)
50022,Joueur,setFoodLevel,"Player:setFoodLevel(objid, foodLevel)","objid:number, foodLevel:number",ErrorCode.OK,Réglez le courant satiété,"local result = Player:setFoodLevel(objid, foodLevel)"
50023,Joueur,getCurShotcut,Player:getCurShotcut(objid),objid:number,"ErrorCode.OK, scutIdx:number",Obtenez la barre de raccourcis en cours,local result = Player:getCurShotcut(objid)
50024,Joueur,onCurToolUsed,"Player:onCurToolUsed(objid, num)","objid:number, num:number items number",ErrorCode.OK,Régler la consommation du produit détenu par joueur,"local result = Player:onCurToolUsed(objid, num)"
50025,Joueur,setSkillCD,"Player:setSkillCD(objid, itemid, cd)","objid:number, itemid:number, cd:number",ErrorCode.OK,Set CD,"local result = Player:setSkillCD(objid, itemid, cd)"
50026,Joueur,reviveToPos,"Player:reviveToPos(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,joueur respawn au point désigné,"local result = Player:reviveToPos(objid, x, y, z)"
50027,Joueur,setRevivePoint,"Player:setRevivePoint(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Modifier le point de respawn,"local result = Player:setRevivePoint(objid, x, y, z)"
50028,Joueur,playAct,"Player:playAct(objid, actid)","objid:number, actid:number动作id",ErrorCode.OK,Joueur joue le dessin animé,"local result = Player:playAct(objid, actid)"
50029,Joueur,notifyGameInfo2Self,"Player:notifyGameInfo2Self(objid, info)","objid:number, info:string text content",ErrorCode.OK,Les textes affichés dans la fenêtre pop-up,"local result = Player:notifyGameInfo2Self(objid, info)"
50030,Joueur,useItem,"Player:useItem(objid, itemid, status, onshift)","objid:number, itemid:number, status:number state of using, onshift:boolean whether to press shift",ErrorCode.OK,Assurez-vous joueur en utilisant l'élément courant,"local result = Player:useItem(objid, itemid, status, onshift)"
50031,Joueur,rotateCamera,"Player:rotateCamera(objid, yaw, pitch)","objid:number, yaw:number, pitch:number",ErrorCode.OK,Faire pivoter la lentille du lecteur,"local result = Player:rotateCamera(objid, yaw, pitch)"
50032,Joueur,changeViewMode,"Player:changeViewMode(objid, viewmode, islock)","objid:number, viewmode:numberVIEWPORTTYPE, islock:boolean",ErrorCode.OK,Changer le mode d'angle de lecteur,"local result = Player:changeViewMode(objid, viewmode, islock)"
50033,Joueur,setActionAttrState,"Player:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,"Définir le comportement, l'attribut et l'état de créature","local result = Player:setActionAttrState(objid, actionattr, switch)"
50034,Joueur,checkActionAttrState,"Player:checkActionAttrState(objid, actionattr)","objid:number, actionattr:numberPLAYERATTR",ErrorCode.OK,"La bascule du comportement, attribut et état de lecteur","local result = Player:checkActionAttrState(objid, actionattr)"
50035,Joueur,getMaxHP,Player:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Obtenez le HP courant max,local result = Player:getMaxHP(objid)
50036,Joueur,getCurHP,Player:getCurHP(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Obtenez le HP en cours,local result = Player:getCurHP(objid)
50037,Joueur,getHpRecover,Player:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP récupérer,local result = Player:getHpRecover(objid)
50038,Joueur,getCurFood,Player:getCurFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",courant satiété,local result = Player:getCurFood(objid)
50039,Joueur,getMaxOxygen,Player:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",[[,local result = Player:getMaxOxygen(objid)
